Local time in Dunhua,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
28.03.2020 02:00,-4.5,716.6,765.3,,38,Wind blowing from the south-west,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,3.5,,,2500 or more  or no clouds.,,,30.0,-16.7,0.2,12,,,,
27.03.2020 20:00,-3.2,716.4,765.4,1.6,60,Wind blowing from the west-southwest,2,,,100%.,Rain and snow or ice pellets not falling as shower(s). ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,3.5,,,1000-1500,,,30.0,-9.9,0.1,12,,,,
27.03.2020 17:00,0.8,714.8,763.6,0.4,30,Wind blowing from the north-northwest,5,,12,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,3.5,,,600-1000,,,30.0,-14.8,No precipitation,12,,,,
27.03.2020 14:00,2.8,714.4,762.7,-1.5,20,Wind blowing from the north-northwest,5,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,5.2,,,,,,17.0,-18.0,No precipitation,12,,,,
27.03.2020 11:00,0.9,715.9,764.4,-1.2,23,Wind blowing from the north-northwest,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,,,,,,,30.0,-17.9,No precipitation,12,,,,
27.03.2020 08:00,-2.9,717.1,765.9,-0.2,30,Wind blowing from the north-northwest,4,,7,20–30%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,,,,2500 or more  or no clouds.,,,30.0,-18.1,0.7,12,,,,
27.03.2020 05:00,-5.5,717.3,766.3,0.3,51,Wind blowing from the west-northwest,1,,9,,Cloud development not observed or not observable. ,,,-5.5,,,,2500 or more  or no clouds.,,,30.0,-14.1,2.0,12,,,,
27.03.2020 02:00,-2.3,717.0,765.3,,67,Wind blowing from the north-northwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,12.9,,,2500 or more  or no clouds.,,,24.0,-7.6,2.0,12,,,,
26.03.2020 20:00,-0.4,717.6,765.6,1.7,57,Wind blowing from the south-west,3,,12,100%.,Snow not falling as shower(s). ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,12.9,,,1000-1500,,,29.0,-7.9,2.0,12,,,,
26.03.2020 17:00,0.7,715.9,764.0,,75,Wind blowing from the north-northwest,4,,12,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,12.9,,,1000-1500,,,19.0,-3.2,No precipitation,6,,,,
26.03.2020 14:00,5.3,714.9,762.7,0.2,59,Wind blowing from the north-northwest,5,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,13.6,,,2500 or more  or no clouds.,,,15.0,-2.1,No precipitation,12,,,,
26.03.2020 11:00,12.5,714.7,761.7,,35,Wind blowing from the west,4,,10,90  or more  but not 100%, ,,,0.8,13.6,,,2500 or more  or no clouds.,,,14.0,-2.5,No precipitation,6,,,,
26.03.2020 08:00,6.8,715.3,762.5,0.6,41,Wind blowing from the south,1,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,13.6,,,1000-1500,,,13.0,-5.5,No precipitation,12,,,,
