Local time in Linyi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,20.1,752.3,763.3,-1.2,24,Wind blowing from the south-southwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,21.3,,,2500 or more  or no clouds.,,,21.0,-1.1,No precipitation,12,,,,
06.04.2020 14:00,20.9,753.5,764.5,-2.2,18,Wind blowing from the west-southwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,21.1,,,2500 or more  or no clouds.,,,25.0,-4.3,No precipitation,12,,,,
06.04.2020 11:00,16.4,755.7,766.8,-0.7,38,Wind blowing from the west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,18.5,,,2500 or more  or no clouds.,,,13.0,2.1,No precipitation,12,,,,
06.04.2020 08:00,10.2,756.4,767.6,0.5,57,Wind blowing from the south-southwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,18.5,,,2500 or more  or no clouds.,,,10.0,2.1,No precipitation,12,,,,
06.04.2020 05:00,8.1,755.9,767.0,-1.1,57,Wind blowing from the south-east,1,,5,,Cloud development not observed or not observable. ,,,3.5,18.5,,,2500 or more  or no clouds.,,,13.0,-0.1,No precipitation,12,,,,
06.04.2020 02:00,10.2,757.0,768.1,-0.7,50,Wind blowing from the east-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,18.5,,,2500 or more  or no clouds.,,,16.0,0.2,No precipitation,12,,,,
05.04.2020 23:00,11.2,757.7,768.9,0.1,39,Wind blowing from the north,0,,5,,Cloud development not observed or not observable. ,,,3.5,18.5,,,2500 or more  or no clouds.,,,21.0,-2.2,No precipitation,12,,,,
05.04.2020 20:00,13.9,757.6,768.7,0.9,34,Wind blowing from the south-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,18.5,,,2500 or more  or no clouds.,,,14.0,-1.7,No precipitation,12,,,,
05.04.2020 17:00,17.6,756.7,767.9,-1.8,22,Wind blowing from the south,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,18.5,,,2500 or more  or no clouds.,,,18.0,-4.4,No precipitation,12,,,,
05.04.2020 14:00,16.8,758.5,769.7,-2.4,15,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,18.9,,,2500 or more  or no clouds.,,,25.0,-10.0,No precipitation,12,,,,
05.04.2020 11:00,13.9,760.9,772.2,-0.6,17,Wind blowing from the south-southeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,18.9,,,2500 or more  or no clouds.,,,24.0,-10.7,No precipitation,12,,,,
05.04.2020 08:00,7.9,761.5,772.8,0.4,36,Wind blowing from the south-southeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,18.9,,,2500 or more  or no clouds.,,,17.0,-6.2,No precipitation,12,,,,
05.04.2020 05:00,3.9,761.1,772.3,0.2,46,Wind blowing from the south,1,,7,,Cloud development not observed or not observable. ,,,3.9,18.9,,,2500 or more  or no clouds.,,,27.0,-6.9,No precipitation,12,,,,
05.04.2020 02:00,5.9,760.9,772.1,-0.2,30,Wind blowing from the south-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,18.9,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
04.04.2020 23:00,9.1,761.1,772.3,1.1,28,Wind blowing from the east-southeast,3,,8,,Cloud development not observed or not observable. ,,,6.7,18.9,,,2500 or more  or no clouds.,,,19.0,-8.4,No precipitation,12,,,,
04.04.2020 20:00,13.3,760.0,771.1,1.4,42,Wind blowing from the south-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,18.9,,,2500 or more  or no clouds.,,,10.0,0.7,No precipitation,12,,,,
04.04.2020 17:00,18.0,758.6,769.8,-0.5,20,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,19.7,,,2500 or more  or no clouds.,,,13.0,-5.3,No precipitation,12,,,,
04.04.2020 14:00,18.6,759.1,770.2,-0.4,25,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,19.7,,,2500 or more  or no clouds.,,,10.0,-1.8,No precipitation,12,,,,
04.04.2020 11:00,17.5,759.5,770.6,0.9,32,Wind blowing from the east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,19.7,,,2500 or more  or no clouds.,,,8.0,0.6,No precipitation,12,,,,
04.04.2020 08:00,13.3,758.6,769.7,2.2,44,Wind blowing from the south-east,1,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,19.7,,,2500 or more  or no clouds.,,,6.0,1.3,No precipitation,12,,,,
04.04.2020 05:00,8.1,756.4,767.5,0.3,59,Wind blowing from the west,1,,5,,Haze. ,,,4.5,19.7,,,2500 or more  or no clouds.,,,7.0,0.6,No precipitation,12,,,,
04.04.2020 02:00,9.8,756.1,767.2,-0.2,56,Wind blowing from the north-west,1,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,19.7,,,2500 or more  or no clouds.,,,7.0,1.4,No precipitation,12,,,,
03.04.2020 23:00,12.2,756.3,767.4,0.8,48,Wind blowing from the west-northwest,1,,5,,Haze. ,,,4.5,19.7,,,2500 or more  or no clouds.,,,6.0,1.5,No precipitation,12,,,,
03.04.2020 20:00,14.8,755.5,766.6,0.9,48,Wind blowing from the west-southwest,2,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,19.7,,,2500 or more  or no clouds.,,,6.0,3.9,No precipitation,12,,,,
03.04.2020 17:00,19.5,754.6,765.7,-1.2,18,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,19.7,,,2500 or more  or no clouds.,,,15.0,-5.4,No precipitation,12,,,,
03.04.2020 14:00,18.2,755.8,766.9,,20,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,18.3,,,2500 or more  or no clouds.,,,17.0,-5.1,No precipitation,12,,,,
03.04.2020 08:00,8.9,757.9,769.2,0.9,72,Wind blowing from the west-northwest,1,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,12.1,,,2500 or more  or no clouds.,,,4.6,4.1,No precipitation,12,,,,
03.04.2020 05:00,4.8,757.0,768.4,-0.5,84,Wind blowing from the south-west,1,,4,,Mist. ,,,4.8,12.1,,,2500 or more  or no clouds.,,,5.0,2.3,No precipitation,12,,,,
03.04.2020 02:00,5.6,757.5,768.8,-0.6,81,Wind blowing from the north-west,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,12.1,,,2500 or more  or no clouds.,,,6.0,2.6,No precipitation,12,,,,
02.04.2020 23:00,7.8,758.1,769.3,0.4,70,Wind blowing from the north,0,,4,,Mist. ,,,7.6,12.1,,,2500 or more  or no clouds.,,,6.0,2.7,No precipitation,12,,,,
02.04.2020 20:00,10.4,757.7,769.0,1.0,54,Wind blowing from the south-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,14.0,,,2500 or more  or no clouds.,,,7.0,1.5,Trace of precipitation,12,,,,
02.04.2020 17:00,11.7,756.7,768.0,-1.2,55,Wind blowing from the north-northwest,2,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,16.0,,,2500 or more  or no clouds.,,,7.0,3.0,No precipitation,12,,,,
02.04.2020 14:00,12.0,757.9,769.0,-0.9,49,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,,,,2500 or more  or no clouds.,,,10.0,1.6,No precipitation,12,,,,
02.04.2020 11:00,10.7,758.8,770.0,0.3,61,Wind blowing from the south-southeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,,,,2500 or more  or no clouds.,,,8.0,3.3,No precipitation,12,,,,
02.04.2020 08:00,8.9,758.5,769.7,0.1,67,Wind blowing from the east-southeast,2,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,17.0,,,2500 or more  or no clouds.,,,9.0,3.1,No precipitation,12,,,,
02.04.2020 05:00,9.2,758.4,769.6,0.4,34,Wind blowing from the north-northwest,1,,6,,Cloud development not observed or not observable. ,,,9.0,17.0,,,2500 or more  or no clouds.,,,18.0,-5.8,No precipitation,12,,,,
02.04.2020 02:00,10.3,758.0,769.1,0.1,28,Wind blowing from the south-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,17.0,,,2500 or more  or no clouds.,,,30.0,-7.4,No precipitation,12,,,,
01.04.2020 23:00,11.4,757.9,769.0,1.0,23,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,,,9.0,17.0,,,2500 or more  or no clouds.,,,30.0,-9.0,No precipitation,12,,,,
01.04.2020 20:00,14.0,756.9,768.0,1.1,21,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,17.0,,,2500 or more  or no clouds.,,,24.0,-8.0,No precipitation,12,,,,
01.04.2020 17:00,16.0,755.8,766.9,-0.6,19,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,17.0,,,2500 or more  or no clouds.,,,26.0,-7.6,No precipitation,12,,,,
01.04.2020 14:00,16.3,756.4,767.5,-1.8,18,Wind blowing from the east-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,16.5,,,2500 or more  or no clouds.,,,29.0,-8.1,No precipitation,12,,,,
01.04.2020 11:00,14.8,758.2,769.3,1.0,24,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,15.2,,,2500 or more  or no clouds.,,,26.0,-5.6,No precipitation,12,,,,
01.04.2020 08:00,11.8,757.2,768.4,2.0,40,Wind blowing from the east-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,15.2,,,2500 or more  or no clouds.,,,9.0,-1.4,No precipitation,12,,,,
01.04.2020 05:00,10.0,755.2,766.3,0.9,81,Wind blowing from the west-northwest,1,,4,,Mist. ,,,6.8,15.2,,,2500 or more  or no clouds.,,,3.0,6.9,No precipitation,12,,,,
01.04.2020 02:00,10.8,754.3,765.4,0.3,80,Wind blowing from the west-northwest,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,15.2,,,2500 or more  or no clouds.,,,3.4,7.5,No precipitation,12,,,,
31.03.2020 23:00,12.0,754.0,765.1,1.2,74,Wind blowing from the west,1,,5,,Mist. ,,,,15.2,,,2500 or more  or no clouds.,,,4.5,7.5,No precipitation,12,,,,
31.03.2020 20:00,12.8,752.8,763.9,1.8,66,Wind blowing from the south-west,1,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,15.2,,,2500 or more  or no clouds.,,,4.8,6.6,No precipitation,12,,,,
31.03.2020 17:00,13.4,751.0,762.1,-0.3,62,Wind blowing from the south,2,,5,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,15.5,,,2500 or more  or no clouds.,,,6.0,6.3,No precipitation,12,,,,
31.03.2020 14:00,14.2,751.3,762.4,-2.1,57,Wind blowing from the east,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.5,,,2500 or more  or no clouds.,,,7.0,5.8,No precipitation,12,,,,
31.03.2020 11:00,12.9,753.4,764.5,0.0,60,Wind blowing from the south-west,1,,2,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.5,,,2500 or more  or no clouds.,,,5.0,5.3,No precipitation,12,,,,
31.03.2020 08:00,9.2,753.4,764.5,0.4,77,Wind blowing from the south-southwest,1,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.5,,,2500 or more  or no clouds.,,,3.4,5.4,No precipitation,12,,,,
31.03.2020 05:00,6.9,753.0,764.1,-1.1,83,Wind blowing from the west-southwest,0,,5,,Mist. ,,,3.5,16.5,,,2500 or more  or no clouds.,,,3.6,4.2,No precipitation,12,,,,
31.03.2020 02:00,7.8,754.1,765.2,-0.5,77,Wind blowing from the north,0,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,16.5,,,2500 or more  or no clouds.,,,6.0,4.0,No precipitation,12,,,,
30.03.2020 23:00,10.2,754.6,765.7,0.9,63,Wind blowing from the west-southwest,1,,6,,Cloud development not observed or not observable. ,,,3.5,16.5,,,2500 or more  or no clouds.,,,8.0,3.5,No precipitation,12,,,,
30.03.2020 20:00,11.9,753.7,764.9,0.9,37,Wind blowing from the south-east,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,16.5,,,,,,9.0,-2.3,No precipitation,12,,,,
30.03.2020 17:00,15.5,752.8,764.0,-0.6,26,Wind blowing from the south,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,16.5,,,,,,16.0,-3.9,No precipitation,12,,,,
30.03.2020 14:00,16.0,753.4,764.5,-1.8,28,Wind blowing from the east-southeast,3,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,16.2,,,,,,7.0,-2.5,No precipitation,12,,,,
30.03.2020 11:00,13.0,755.2,766.3,-0.1,41,Wind blowing from the north,2,,4,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,13.2,,,2500 or more  or no clouds.,,,8.0,0.1,No precipitation,12,,,,
30.03.2020 08:00,7.1,755.3,766.6,0.9,72,Wind blowing from the south-southwest,1,,2,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,13.2,,,2500 or more  or no clouds.,,,5.0,2.4,No precipitation,12,,,,
30.03.2020 05:00,4.4,754.4,765.7,-0.4,84,Wind blowing from the north,0,,5,,Mist. ,,,4.2,13.2,,,2500 or more  or no clouds.,,,6.0,1.9,No precipitation,12,,,,
30.03.2020 02:00,5.4,754.8,766.0,-0.1,71,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,13.2,,,2500 or more  or no clouds.,,,9.0,0.6,No precipitation,12,,,,
29.03.2020 23:00,7.3,754.9,766.1,0.8,58,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,6.0,13.2,,,2500 or more  or no clouds.,,,12.0,-0.6,No precipitation,12,,,,
29.03.2020 20:00,9.8,754.1,765.4,0.7,45,Wind blowing from the south,1,,5,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,13.2,,,2500 or more  or no clouds.,,,15.0,-1.6,No precipitation,12,,,,
29.03.2020 17:00,11.9,753.4,764.6,-1.3,43,Wind blowing from the south-southeast,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,14.6,,,2500 or more  or no clouds.,,,15.0,-0.3,No precipitation,12,,,,
29.03.2020 14:00,12.0,754.7,765.9,-2.0,37,Wind blowing from the west,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,15.2,,,2500 or more  or no clouds.,,,22.0,-2.2,No precipitation,12,,,,
29.03.2020 11:00,10.1,756.7,768.0,0.3,54,Wind blowing from the south-west,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,15.2,,,2500 or more  or no clouds.,,,13.0,1.0,No precipitation,12,,,,
29.03.2020 08:00,7.2,756.4,767.7,0.0,63,Wind blowing from the south-east,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,15.2,,,2500 or more  or no clouds.,,,11.0,0.6,No precipitation,12,,,,
29.03.2020 05:00,6.6,756.4,767.5,-0.9,61,Wind blowing from the east-southeast,1,,,,Cloud development not observed or not observable. ,,,5.9,15.2,,,2500 or more  or no clouds.,,,15.0,-0.4,No precipitation,12,,,,
29.03.2020 02:00,7.6,757.3,768.4,-0.2,54,Wind blowing from the south-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,15.2,,,2500 or more  or no clouds.,,,20.0,-1.1,No precipitation,12,,,,
28.03.2020 23:00,8.6,757.5,768.7,0.5,47,Wind blowing from the east-southeast,2,,9,,Cloud development not observed or not observable. ,,,5.9,15.2,,,2500 or more  or no clouds.,,,21.0,-2.1,No precipitation,12,,,,
28.03.2020 20:00,11.4,757.0,768.3,1.0,29,Wind blowing from the south-east,3,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,15.2,,,2500 or more  or no clouds.,,,18.0,-6.0,No precipitation,12,,,,
28.03.2020 17:00,14.4,756.0,767.2,-1.6,14,Wind blowing from the south-east,1,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,15.2,,,2500 or more  or no clouds.,,,25.0,-12.8,No precipitation,12,,,,
28.03.2020 14:00,14.4,757.6,768.8,-2.4,16,Wind blowing from the north,2,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,14.8,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
28.03.2020 11:00,12.4,760.0,771.2,-0.3,14,Wind blowing from the north-northeast,5,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,13.4,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
28.03.2020 08:00,7.8,760.3,771.6,0.8,34,Wind blowing from the west-northwest,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,13.4,,,,,,15.0,-7.1,No precipitation,12,,,,
28.03.2020 05:00,6.4,759.5,770.8,0.1,53,Wind blowing from the south-southwest,1,,6,,Cloud development not observed or not observable. ,,,6.4,13.4,,,2500 or more  or no clouds.,,,25.0,-2.7,No precipitation,12,,,,
28.03.2020 02:00,7.9,759.4,770.6,0.0,34,Wind blowing from the south,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,13.4,,,2500 or more  or no clouds.,,,30.0,-7.0,No precipitation,12,,,,
27.03.2020 23:00,9.4,759.4,770.7,0.3,28,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,,,7.5,13.4,,,2500 or more  or no clouds.,,,30.0,-8.2,No precipitation,12,,,,
27.03.2020 20:00,10.3,759.1,770.4,2.0,27,Wind blowing from the east-southeast,1,,7,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,13.4,,,2500 or more  or no clouds.,,,19.0,-7.9,No precipitation,12,,,,
27.03.2020 17:00,12.9,757.1,768.4,-0.3,23,Wind blowing from the west-southwest,1,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,13.4,,,2500 or more  or no clouds.,,,29.0,-7.7,No precipitation,12,,,,
27.03.2020 14:00,13.2,757.4,768.6,-2.0,24,Wind blowing from the north-west,2,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,17.8,,,2500 or more  or no clouds.,,,30.0,-6.9,No precipitation,12,,,,
27.03.2020 11:00,10.8,759.4,770.7,1.1,27,Wind blowing from the east-northeast,3,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,,,,2500 or more  or no clouds.,,,29.0,-7.4,No precipitation,12,,,,
