Local time in Kunming,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,22.6,605.2,753.1,-1.6,26,Wind blowing from the south-west,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,23.3,,,2500 or more  or no clouds.,,,24.0,2.1,No precipitation,12,,,,
06.04.2020 14:00,21.4,606.8,755.2,-2.4,30,Wind blowing from the west-southwest,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,22.5,,,2500 or more  or no clouds.,,,22.0,3.1,No precipitation,12,,,,
06.04.2020 11:00,18.3,609.2,758.5,0.0,43,Wind blowing from the south-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,20.7,,,2500 or more  or no clouds.,,,13.0,5.5,No precipitation,12,,,,
06.04.2020 08:00,10.2,609.2,760.1,0.7,91,Wind blowing from the east,0,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,20.7,,,2500 or more  or no clouds.,,,6.0,8.8,No precipitation,12,,,,
06.04.2020 05:00,12.0,608.5,758.2,-0.7,83,Wind blowing from the east-northeast,1,,12,,Cloud development not observed or not observable. ,,,11.8,20.7,,,2500 or more  or no clouds.,,,7.0,9.2,No precipitation,12,,,,
06.04.2020 02:00,12.9,609.2,759.3,-0.1,78,Wind blowing from the east-northeast,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,20.7,,,2500 or more  or no clouds.,,,8.0,9.2,No precipitation,12,,,,
05.04.2020 23:00,15.1,609.3,759.0,1.5,76,Wind blowing from the south-southeast,3,,13,,Cloud development not observed or not observable. ,,,9.4,20.7,,,2500 or more  or no clouds.,,,10.0,10.9,No precipitation,12,,,,
05.04.2020 20:00,17.6,607.8,757.7,0.6,46,Wind blowing from the south-west,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,20.7,,,2500 or more  or no clouds.,,,18.0,5.9,No precipitation,12,,,,
05.04.2020 17:00,19.7,607.2,756.4,-1.9,38,Wind blowing from the south-west,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,20.7,,,2500 or more  or no clouds.,,,17.0,5.0,No precipitation,12,,,,
05.04.2020 14:00,17.7,609.1,760.2,-1.6,43,Wind blowing from the south-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,19.2,,,2500 or more  or no clouds.,,,19.0,5.0,0.1,12,,,,
05.04.2020 11:00,16.8,610.7,762.0,0.1,69,Wind blowing from the south-southeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,20.4,,,2500 or more  or no clouds.,,,8.0,11.1,0.1,12,,,,
05.04.2020 08:00,12.3,610.6,762.8,1.3,86,Wind blowing from the south-east,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,,,,2500 or more  or no clouds.,,,6.0,10.0,0.1,12,,,,
05.04.2020 05:00,12.0,609.3,759.4,-0.7,89,Wind blowing from the north-east,2,,12,,Mist. ,,,9.4,20.4,,,2500 or more  or no clouds.,,,5.0,10.2,1.0,12,,,,
05.04.2020 02:00,9.6,610.0,762.5,-0.3,94,Wind blowing from the west-northwest,0,,12,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,20.4,,,2500 or more  or no clouds.,,,3.4,8.7,1.0,12,,,,
04.04.2020 23:00,10.9,610.3,760.6,1.2,93,Wind blowing from the west,1,,,,Mist. ,,,10.9,20.4,,,2500 or more  or no clouds.,,,5.0,9.8,2.0,12,,,,
04.04.2020 20:00,12.3,609.1,760.8,0.4,89,Wind blowing from the south-west,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,20.9,,,2500 or more  or no clouds.,,,9.0,10.5,2.0,12,,,,
04.04.2020 17:00,18.4,608.7,758.5,-1.8,55,Wind blowing from the south-west,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,23.5,,,2500 or more  or no clouds.,,,18.0,9.2,1.0,12,,,,
04.04.2020 14:00,13.5,610.5,762.3,0.1,77,Wind blowing from the west,3,,,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,24.8,,,2500 or more  or no clouds.,,,10.0,9.6,1.0,12,,,,
04.04.2020 11:00,19.9,610.4,759.1,0.1,46,Wind blowing from the south-east,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,24.8,,,2500 or more  or no clouds.,,,9.0,8.0,No precipitation,12,,,,
04.04.2020 08:00,12.6,610.3,759.8,1.2,69,Wind blowing from the west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,24.8,,,2500 or more  or no clouds.,,,9.0,7.1,No precipitation,12,,,,
04.04.2020 05:00,12.8,609.1,757.8,-0.4,68,Wind blowing from the west,1,,11,,Cloud development not observed or not observable. ,,,9.5,24.8,,,2500 or more  or no clouds.,,,9.0,7.0,No precipitation,12,,,,
04.04.2020 02:00,12.3,609.5,758.2,0.1,64,Wind blowing from the east-southeast,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,24.8,,,2500 or more  or no clouds.,,,9.0,5.7,No precipitation,12,,,,
03.04.2020 23:00,16.5,609.4,757.9,1.6,59,Wind blowing from the west,1,,16,,Cloud development not observed or not observable. ,,,9.5,24.8,,,2500 or more  or no clouds.,,,8.0,8.5,No precipitation,12,,,,
03.04.2020 20:00,20.9,607.8,757.3,0.9,34,Wind blowing from the south-west,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,24.8,,,2500 or more  or no clouds.,,,17.0,4.5,No precipitation,12,,,,
03.04.2020 17:00,22.8,606.9,755.0,-1.3,29,Wind blowing from the west-southwest,5,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,24.8,,,2500 or more  or no clouds.,,,16.0,3.9,No precipitation,12,,,,
03.04.2020 14:00,23.5,608.2,757.0,-2.0,29,Wind blowing from the west-southwest,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,25.8,,,2500 or more  or no clouds.,,,16.0,4.5,No precipitation,12,,,,
03.04.2020 11:00,19.6,610.2,759.8,0.5,43,Wind blowing from the south-west,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,25.8,,,2500 or more  or no clouds.,,,12.0,6.7,No precipitation,12,,,,
03.04.2020 08:00,10.5,609.7,761.2,1.3,83,Wind blowing from the south-southwest,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,,,,2500 or more  or no clouds.,,,10.0,7.7,2.0,12,,,,
03.04.2020 05:00,12.8,608.4,756.9,-0.2,71,Wind blowing from the west-southwest,2,,21,,Cloud development not observed or not observable. ,,,10.9,25.8,,,2500 or more  or no clouds.,,,9.0,7.7,2.0,12,,,,
03.04.2020 02:00,11.1,608.6,756.8,-0.4,89,Wind blowing from the west-southwest,1,,21,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,25.8,,,2500 or more  or no clouds.,,,4.9,9.4,2.0,12,,,,
02.04.2020 23:00,13.4,609.0,757.6,1.3,83,Wind blowing from the west,3,,21,,Haze. ,,,12.8,25.8,,,2500 or more  or no clouds.,,,5.0,10.6,2.0,12,,,,
02.04.2020 20:00,15.3,607.7,757.3,1.7,62,Wind blowing from the west-southwest,3,,21,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.3,25.8,,,2500 or more  or no clouds.,,,17.0,8.1,0.1,12,,,,
02.04.2020 17:00,22.6,606.0,752.8,-0.8,27,Wind blowing from the south-west,7,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,26.8,,,2500 or more  or no clouds.,,,16.0,2.7,No precipitation,12,,,,
02.04.2020 14:00,25.7,606.8,752.7,-2.0,18,Wind blowing from the south-west,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,27.2,,,2500 or more  or no clouds.,,,17.0,-0.4,No precipitation,12,,,,
02.04.2020 11:00,22.2,608.8,756.2,0.9,28,Wind blowing from the south-west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,27.2,,,2500 or more  or no clouds.,,,15.0,2.8,No precipitation,12,,,,
02.04.2020 08:00,15.8,607.9,755.5,1.2,51,Wind blowing from the west-southwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,27.2,,,2500 or more  or no clouds.,,,12.0,5.7,No precipitation,12,,,,
02.04.2020 05:00,16.8,606.7,752.6,-0.6,40,Wind blowing from the south-west,2,,,,Cloud development not observed or not observable. ,,,13.7,27.2,,,2500 or more  or no clouds.,,,9.0,3.1,No precipitation,12,,,,
02.04.2020 02:00,18.0,607.3,753.1,-0.2,34,Wind blowing from the south-west,2,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,27.2,,,2500 or more  or no clouds.,,,11.0,1.9,No precipitation,12,,,,
01.04.2020 23:00,17.5,607.5,754.3,1.8,54,Wind blowing from the west,2,,16,,Cloud development not observed or not observable. ,,,13.7,27.2,,,2500 or more  or no clouds.,,,9.0,8.1,No precipitation,12,,,,
01.04.2020 20:00,22.6,605.7,752.8,1.2,24,Wind blowing from the south-west,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,27.2,,,2500 or more  or no clouds.,,,18.0,1.0,No precipitation,12,,,,
01.04.2020 17:00,26.8,604.5,750.4,-1.6,16,Wind blowing from the south-west,5,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,28.0,,,2500 or more  or no clouds.,,,21.0,-1.1,No precipitation,12,,,,
01.04.2020 14:00,26.2,606.1,751.8,-2.5,16,Wind blowing from the west-southwest,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,28.0,,,2500 or more  or no clouds.,,,19.0,-1.6,No precipitation,12,,,,
01.04.2020 11:00,23.1,608.6,755.2,0.4,22,Wind blowing from the south-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,28.0,,,2500 or more  or no clouds.,,,15.0,0.2,No precipitation,12,,,,
01.04.2020 08:00,15.7,608.2,755.5,1.0,42,Wind blowing from the west-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,28.0,,,2500 or more  or no clouds.,,,9.0,2.8,No precipitation,12,,,,
01.04.2020 05:00,15.1,607.2,753.4,0.0,39,Wind blowing from the south-west,2,,10,,Cloud development not observed or not observable. ,,,15.1,28.0,,,2500 or more  or no clouds.,,,12.0,1.3,No precipitation,12,,,,
01.04.2020 02:00,17.7,607.2,753.2,-0.3,32,Wind blowing from the south-west,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,28.0,,,2500 or more  or no clouds.,,,16.0,0.8,No precipitation,12,,,,
31.03.2020 23:00,19.5,607.5,754.1,1.4,31,Wind blowing from the west,3,,10,,Cloud development not observed or not observable. ,,,16.3,28.0,,,2500 or more  or no clouds.,,,14.0,1.9,No precipitation,12,,,,
31.03.2020 20:00,23.6,606.1,752.8,1.1,16,Wind blowing from the south-west,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,28.0,,,,,,21.0,-3.7,No precipitation,12,,,,
31.03.2020 17:00,27.8,605.0,749.8,-2.2,10,Wind blowing from the south-southwest,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,27.9,,,,,,28.0,-6.6,No precipitation,12,,,,
31.03.2020 14:00,25.8,607.2,753.0,-1.7,18,Wind blowing from the south-southeast,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,27.8,,,,,,27.0,-0.3,No precipitation,12,,,,
31.03.2020 11:00,22.1,608.9,755.4,0.9,20,Wind blowing from the south-west,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,27.8,,,,,,19.0,-1.9,No precipitation,12,,,,
31.03.2020 08:00,16.3,608.0,755.1,1.5,32,Wind blowing from the west-southwest,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,27.8,,,,,,26.0,-0.4,No precipitation,12,,,,
31.03.2020 05:00,18.2,606.5,751.9,-0.3,26,Wind blowing from the west-southwest,4,,15,,Cloud development not observed or not observable. ,,,14.5,27.8,,,2500 or more  or no clouds.,,,28.0,-1.6,No precipitation,12,,,,
31.03.2020 02:00,18.6,606.8,752.3,0.5,35,Wind blowing from the west-southwest,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,27.8,,,2500 or more  or no clouds.,,,20.0,2.9,No precipitation,12,,,,
30.03.2020 23:00,21.3,606.3,752.0,1.9,27,Wind blowing from the south-west,2,,15,,Cloud development not observed or not observable. ,,,14.5,27.8,,,2500 or more  or no clouds.,,,20.0,1.6,No precipitation,12,,,,
30.03.2020 20:00,24.0,604.4,750.9,1.2,21,Wind blowing from the south-west,4,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,27.8,,,,,,21.0,0.3,No precipitation,12,,,,
30.03.2020 17:00,27.2,603.2,748.6,-1.6,18,Wind blowing from the west-southwest,7,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,27.8,,,,,,24.0,0.8,No precipitation,12,,,,
30.03.2020 14:00,26.5,604.8,750.0,-2.2,19,Wind blowing from the south-west,6,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,27.4,,,,,,20.0,1.0,No precipitation,12,,,,
30.03.2020 11:00,22.4,607.0,753.1,0.4,28,Wind blowing from the west-southwest,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,27.4,,,,,,20.0,3.0,No precipitation,12,,,,
30.03.2020 08:00,15.3,606.6,753.7,0.9,45,Wind blowing from the south-west,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,27.4,,,,,,18.0,3.4,No precipitation,12,,,,
30.03.2020 05:00,15.1,605.7,751.7,-0.4,52,Wind blowing from the west-southwest,2,,14,,Cloud development not observed or not observable. ,,,15.1,27.4,,,2500 or more  or no clouds.,,,16.0,5.3,No precipitation,12,,,,
30.03.2020 02:00,18.1,606.1,751.6,0.3,38,Wind blowing from the south-west,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,27.4,,,2500 or more  or no clouds.,,,18.0,3.6,No precipitation,12,,,,
29.03.2020 23:00,20.5,605.8,751.6,1.9,33,Wind blowing from the south-west,3,,14,,Cloud development not observed or not observable. ,,,16.3,27.4,,,2500 or more  or no clouds.,,,17.0,3.7,No precipitation,12,,,,
29.03.2020 20:00,23.6,603.9,749.8,1.1,28,Wind blowing from the south-west,4,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,27.4,,,,,,18.0,4.0,No precipitation,12,,,,
29.03.2020 17:00,26.9,602.8,747.5,-1.4,22,Wind blowing from the south-west,6,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,27.4,,,,,,18.0,3.4,No precipitation,12,,,,
29.03.2020 14:00,26.4,604.2,749.3,-2.0,24,Wind blowing from the south-west,5,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,26.6,,,,,,16.0,4.2,No precipitation,12,,,,
29.03.2020 11:00,22.5,606.2,752.3,0.9,35,Wind blowing from the west,7,,16,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,25.2,,,2500 or more  or no clouds.,,,14.0,6.3,No precipitation,12,,,,
29.03.2020 08:00,17.3,605.3,752.0,0.7,56,Wind blowing from the west-southwest,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,25.2,,,,,,10.0,8.4,No precipitation,12,,,,
29.03.2020 05:00,17.6,604.6,750.6,-0.7,56,Wind blowing from the west-southwest,3,,13,,Cloud development not observed or not observable. ,,,10.8,25.2,,,2500 or more  or no clouds.,,,12.0,8.7,No precipitation,12,,,,
29.03.2020 02:00,18.1,605.3,751.0,-0.1,53,Wind blowing from the west-southwest,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,25.2,,,2500 or more  or no clouds.,,,14.0,8.4,No precipitation,12,,,,
28.03.2020 23:00,19.9,605.4,751.7,1.4,47,Wind blowing from the west-southwest,3,,13,,Cloud development not observed or not observable. ,,,,25.2,,,2500 or more  or no clouds.,,,17.0,8.3,No precipitation,12,,,,
28.03.2020 20:00,22.0,604.0,751.6,0.6,38,Wind blowing from the west-southwest,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,25.2,,,2500 or more  or no clouds.,,,19.0,7.0,No precipitation,12,,,,
28.03.2020 17:00,23.8,603.4,750.9,-1.8,34,Wind blowing from the west-southwest,6,,,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,26.8,,,600-1000,,,20.0,7.0,No precipitation,12,,,,
28.03.2020 14:00,24.7,605.2,752.2,-2.7,30,Wind blowing from the south-west,5,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,26.8,,,600-1000,,,21.0,6.0,No precipitation,12,,,,
28.03.2020 11:00,20.9,607.9,755.5,0.0,47,Wind blowing from the south,2,,5,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,26.8,,,600-1000,,,13.0,9.2,No precipitation,12,,,,
28.03.2020 08:00,12.8,607.9,756.3,0.6,75,Wind blowing from the south-west,1,,8,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,26.8,,,600-1000,,,9.0,8.5,No precipitation,12,,,,
28.03.2020 05:00,11.1,607.3,755.0,-1.2,79,Wind blowing from the west,0,,10,,Cloud development not observed or not observable. ,,,11.1,26.8,,,2500 or more  or no clouds.,,,9.0,7.6,No precipitation,12,,,,
28.03.2020 02:00,13.6,608.5,756.1,0.1,64,Wind blowing from the south,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,26.8,,,2500 or more  or no clouds.,,,14.0,6.9,No precipitation,12,,,,
27.03.2020 23:00,17.5,608.4,756.2,2.4,50,Wind blowing from the south,1,,10,,Cloud development not observed or not observable. ,,,11.2,26.8,,,2500 or more  or no clouds.,,,18.0,7.0,No precipitation,12,,,,
27.03.2020 20:00,22.6,606.0,753.7,1.1,32,Wind blowing from the south-west,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,26.8,,,,,,24.0,5.1,No precipitation,12,,,,
27.03.2020 17:00,26.5,604.9,751.6,-1.5,25,Wind blowing from the south-east,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,26.8,,,,,,24.0,4.9,No precipitation,12,,,,
27.03.2020 14:00,25.2,606.4,753.9,-1.8,28,Wind blowing from the south,3,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,25.6,,,,,,24.0,5.4,No precipitation,12,,,,
27.03.2020 11:00,20.4,608.2,756.2,0.6,35,Wind blowing from the west-southwest,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,25.6,,,,,,18.0,4.4,No precipitation,12,,,,
