Local time in Dongtai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
02.04.2020 08:00,10.5,768.7,769.2,0.6,69,Wind blowing from the north-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,16.7,,,2500 or more  or no clouds.,,,21.0,5.1,No precipitation,12,,,,
02.04.2020 05:00,5.1,768.1,768.6,-0.2,100,Wind blowing from the north-northeast,1,,7,,Mist. ,,,5.1,16.7,,,2500 or more  or no clouds.,,,2.2,5.1,No precipitation,12,,,,
02.04.2020 02:00,7.3,768.3,768.7,0.3,100,Wind blowing from the north,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,16.7,,,2500 or more  or no clouds.,,,12.0,7.3,No precipitation,12,,,,
01.04.2020 23:00,8.3,768.0,768.4,0.2,82,Wind blowing from the west,1,,9,,Cloud development not observed or not observable. ,,,7.9,16.7,,,2500 or more  or no clouds.,,,21.0,5.4,No precipitation,12,,,,
01.04.2020 20:00,9.6,767.8,768.2,1.1,66,Wind blowing from the north-east,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,16.7,,,2500 or more  or no clouds.,,,24.0,3.4,No precipitation,12,,,,
01.04.2020 17:00,12.0,766.7,767.2,0.7,58,Wind blowing from the north-east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,16.7,,,2500 or more  or no clouds.,,,18.0,4.0,,,,,,
01.04.2020 14:00,16.1,766.0,766.5,-1.3,56,Wind blowing from the north,3,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,16.7,,,2500 or more  or no clouds.,,,5.0,7.3,0.1,12,,,,
01.04.2020 11:00,14.9,767.3,767.8,0.3,72,Wind blowing from the north,3,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,14.9,,,2500 or more  or no clouds.,,,4.0,9.9,1.0,12,,,,
01.04.2020 08:00,9.8,767.0,767.5,1.9,100,Wind blowing from the north-west,3,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,,,,2500 or more  or no clouds.,,,4.2,9.8,3.0,12,,,,
01.04.2020 05:00,8.1,765.1,765.6,0.7,100,Wind blowing from the west-northwest,1,,5,,Mist. ,,,7.9,14.4,,,2500 or more  or no clouds.,,,0.7,8.1,5.0,12,,,,
01.04.2020 02:00,8.8,764.4,764.8,0.1,100,Wind blowing from the north-northwest,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,14.4,,,2500 or more  or no clouds.,,,1.8,8.8,5.0,12,,,,
31.03.2020 23:00,9.2,764.3,764.8,1.0,100,Wind blowing from the north,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,8.6,14.4,,,2500 or more  or no clouds.,,,3.2,9.2,4.0,12,,,,
31.03.2020 20:00,9.6,763.3,763.8,1.2,100,Wind blowing from the north-east,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,14.4,,,600-1000,,,6.0,9.6,2.0,12,,,,
31.03.2020 17:00,11.2,762.1,762.6,0.2,90,Wind blowing from the east,3,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,14.4,,,600-1000,,,12.0,9.6,0.3,12,,,,
31.03.2020 14:00,13.4,761.9,762.3,-1.6,75,Wind blowing from the east,1,,6,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,14.4,,,600-1000,,,25.0,9.1,Trace of precipitation,12,,,,
31.03.2020 11:00,14.4,763.5,763.9,-0.1,70,Wind blowing from the east,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,14.4,,,600-1000,,,30.0,9.0,No precipitation,12,,,,
31.03.2020 08:00,11.3,763.6,764.1,-0.6,83,Wind blowing from the east-northeast,2,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,12.3,,,2500 or more  or no clouds.,,,18.0,8.5,No precipitation,12,,,,
31.03.2020 05:00,8.9,764.2,764.7,-0.5,99,Wind blowing from the east-northeast,1,,5,,Cloud development not observed or not observable. ,,,6.9,12.3,,,2500 or more  or no clouds.,,,15.0,8.8,No precipitation,12,,,,
31.03.2020 02:00,8.7,764.7,765.1,-0.9,97,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,12.3,,,2500 or more  or no clouds.,,,13.0,8.3,No precipitation,12,,,,
30.03.2020 23:00,8.7,765.6,766.0,0.6,91,Wind blowing from the east-northeast,1,,5,,Cloud development not observed or not observable. ,,,6.6,12.3,,,2500 or more  or no clouds.,,,13.0,7.3,No precipitation,12,,,,
30.03.2020 20:00,9.2,765.0,765.4,0.6,89,Wind blowing from the east-northeast,2,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,12.3,,,2500 or more  or no clouds.,,,16.0,7.5,No precipitation,12,,,,
30.03.2020 17:00,11.6,764.4,764.8,-0.4,78,Wind blowing from the east,3,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,12.3,,,600-1000,,,26.0,7.9,No precipitation,12,,,,
30.03.2020 14:00,12.0,764.8,765.2,-1.2,78,Wind blowing from the east-northeast,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,12.0,,,600-1000,,,27.0,8.3,0.1,12,,,,
30.03.2020 11:00,10.7,766.0,766.4,0.1,87,Wind blowing from the north-east,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,10.7,,,600-1000,,,30.0,8.6,0.3,12,,,,
30.03.2020 08:00,7.8,765.9,766.3,0.8,100,Wind blowing from the north-east,2,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,,,,600-1000,,,9.0,7.8,0.4,12,,,,
30.03.2020 05:00,6.9,765.1,765.6,-0.3,100,Wind blowing from the north-northeast,2,,5,,Mist. ,,,5.8,,,,2500 or more  or no clouds.,,,1.1,6.9,0.7,12,,,,
30.03.2020 02:00,6.8,765.4,765.9,-0.3,100,Wind blowing from the north,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,10.0,,,2500 or more  or no clouds.,,,2.4,6.8,0.9,12,,,,
29.03.2020 23:00,6.9,765.7,766.1,0.9,100,Wind blowing from the north-northwest,0,,9,,Cloud development not observed or not observable. ,,,4.6,10.0,,,2500 or more  or no clouds.,,,14.0,6.9,0.7,12,,,,
29.03.2020 20:00,6.9,764.8,765.3,-0.8,98,Wind blowing from the east,2,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,10.0,,,600-1000,,,15.0,6.6,0.6,12,,,,
29.03.2020 17:00,7.7,765.6,766.0,-0.1,90,Wind blowing from the south-east,2,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,10.6,,,600-1000,,,15.0,6.2,0.3,12,,,,
29.03.2020 14:00,8.9,765.7,766.2,-1.4,67,Wind blowing from the east,3,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,12.1,,,600-1000,,,23.0,3.1,Trace of precipitation,12,,,,
29.03.2020 11:00,9.9,767.1,767.5,-0.7,58,Wind blowing from the east-northeast,4,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,12.1,,,600-1000,,,28.0,2.0,No precipitation,12,,,,
29.03.2020 08:00,7.6,767.8,768.3,0.0,62,Wind blowing from the east-northeast,2,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,,,,2500 or more  or no clouds.,,,30.0,0.6,No precipitation,12,,,,
29.03.2020 05:00,6.0,767.8,768.2,0.1,68,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,,,4.4,12.1,,,2500 or more  or no clouds.,,,27.0,0.5,No precipitation,12,,,,
29.03.2020 02:00,5.0,767.7,768.1,-0.8,78,Wind blowing from the north,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,12.1,,,2500 or more  or no clouds.,,,19.0,1.5,No precipitation,12,,,,
28.03.2020 23:00,5.8,768.5,769.0,-0.6,69,Wind blowing from the east-northeast,1,,8,,Cloud development not observed or not observable. ,,,3.7,12.1,,,2500 or more  or no clouds.,,,27.0,0.4,No precipitation,12,,,,
28.03.2020 20:00,6.6,769.1,769.6,1.3,65,Wind blowing from the north-east,2,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,12.1,,,2500 or more  or no clouds.,,,24.0,0.5,No precipitation,12,,,,
28.03.2020 17:00,10.6,767.8,768.2,-0.9,50,Wind blowing from the north-east,4,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,12.1,,,600-1000,,,28.0,0.6,No precipitation,12,,,,
28.03.2020 14:00,10.9,768.7,769.1,-1.3,46,Wind blowing from the north-east,4,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,12.6,,,2500 or more  or no clouds.,,,30.0,-0.3,5.0,12,,,,
28.03.2020 11:00,7.6,770.0,770.5,0.1,85,Wind blowing from the south-west,3,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,13.1,,,600-1000,,,20.0,5.2,8.0,12,,,,
28.03.2020 08:00,6.5,769.9,770.4,1.7,88,Wind blowing from the west-northwest,1,,12,100%.,Rain (not freezing) not falling as shower(s). ,Rain and snow or other types of solid precipitation,Rain.,3.7,13.1,,,600-1000,,,23.0,4.7,8.0,12,,,,
28.03.2020 05:00,4.4,768.2,768.7,-0.9,99,Wind blowing from the east,2,,12,,Rain  not freezing  intermittent  slight at time of observation. ,,,3.7,13.1,,,2500 or more  or no clouds.,,,20.0,4.3,8.0,12,,,,
28.03.2020 02:00,4.0,769.1,769.6,-0.4,99,Wind blowing from the north,5,,12,,Rain  not freezing  intermittent  moderate at time of observation. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,13.1,,,2500 or more  or no clouds.,,,11.0,3.9,3.0,12,,,,
27.03.2020 23:00,8.3,769.5,769.9,0.8,54,Wind blowing from the north,1,,12,,Cloud development not observed or not observable. ,,,8.3,13.1,,,2500 or more  or no clouds.,,,26.0,-0.5,No precipitation,12,,,,
27.03.2020 20:00,8.7,768.7,769.1,0.9,47,Wind blowing from the north,3,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,14.1,,,2500 or more  or no clouds.,,,21.0,-2.0,No precipitation,12,,,,
27.03.2020 17:00,10.1,767.8,768.3,0.5,44,Wind blowing from the north-northeast,5,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,18.6,,,2500 or more  or no clouds.,,,24.0,-1.6,0.2,12,,,,
27.03.2020 14:00,12.4,767.3,767.8,-0.7,39,Wind blowing from the north-northeast,6,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,18.6,,,2500 or more  or no clouds.,,,29.0,-1.2,2.0,12,,,,
27.03.2020 11:00,11.6,768.0,768.4,1.5,50,Wind blowing from the north,5,,14,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,,,,600-1000,,,28.0,1.3,2.0,12,,,,
