Local time in Ruoqiang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 17:00,17.1,690.4,767.0,-1.1,19,Wind blowing from the south-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,17.5,,,2500 or more  or no clouds.,,,18.0,-6.7,No precipitation,12,,,,
03.04.2020 14:00,15.4,691.5,768.7,0.0,23,Wind blowing from the west-northwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,15.7,,,2500 or more  or no clouds.,,,16.0,-5.6,No precipitation,12,,,,
03.04.2020 11:00,12.7,691.5,768.9,1.2,29,Wind blowing from the west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,15.7,,,2500 or more  or no clouds.,,,15.0,-4.9,No precipitation,12,,,,
03.04.2020 08:00,8.5,690.3,767.4,1.0,34,Wind blowing from the west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,15.7,,,2500 or more  or no clouds.,,,17.0,-6.5,No precipitation,12,,,,
03.04.2020 05:00,9.5,689.3,766.1,0.4,23,Wind blowing from the south-west,1,,3,,Cloud development not observed or not observable. ,,,3.3,15.7,,,2500 or more  or no clouds.,,,15.0,-10.6,No precipitation,12,,,,
03.04.2020 02:00,8.6,688.9,766.0,-0.1,30,Wind blowing from the south-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,15.7,,,2500 or more  or no clouds.,,,11.0,-8.0,No precipitation,12,,,,
02.04.2020 23:00,9.7,689.0,766.8,1.3,26,Wind blowing from the south-west,1,,5,,Cloud development not observed or not observable. ,,,3.3,15.7,,,2500 or more  or no clouds.,,,10.0,-8.9,No precipitation,12,,,,
02.04.2020 20:00,14.7,687.7,765.3,0.3,15,Wind blowing from the west-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,15.7,,,2500 or more  or no clouds.,,,12.0,-11.7,No precipitation,12,,,,
02.04.2020 17:00,15.4,687.4,764.5,-0.5,14,Wind blowing from the north-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,18.2,,,2500 or more  or no clouds.,,,11.0,-12.0,No precipitation,12,,,,
02.04.2020 14:00,13.5,687.9,765.1,-0.4,21,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,18.4,,,2500 or more  or no clouds.,,,16.0,-8.4,No precipitation,12,,,,
02.04.2020 11:00,8.2,688.3,765.7,0.8,17,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,18.4,,,2500 or more  or no clouds.,,,27.0,-15.4,No precipitation,12,,,,
02.04.2020 08:00,3.4,687.5,765.0,0.5,23,Wind blowing from the north,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,18.4,,,2500 or more  or no clouds.,,,27.0,-15.8,No precipitation,12,,,,
02.04.2020 05:00,5.4,687.0,763.7,0.1,24,Wind blowing from the north-east,2,,13,,Cloud development not observed or not observable. ,,,1.6,18.4,,,2500 or more  or no clouds.,,,16.0,-13.6,No precipitation,12,,,,
02.04.2020 02:00,7.1,686.9,763.8,0.4,22,Wind blowing from the north-east,1,,13,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,18.4,,,2500 or more  or no clouds.,,,7.0,-13.2,No precipitation,12,,,,
01.04.2020 23:00,11.4,686.5,763.9,2.2,20,Wind blowing from the north-east,3,,13,,Haze. ,,,1.6,18.4,,,2500 or more  or no clouds.,,,4.7,-10.8,No precipitation,12,,,,
01.04.2020 20:00,15.3,684.3,761.6,1.1,14,Wind blowing from the north-east,5,,13,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,18.4,,,2500 or more  or no clouds.,,,4.9,-12.0,No precipitation,12,,,,
01.04.2020 17:00,18.1,683.2,759.4,-0.9,12,Wind blowing from the north-east,6,,13,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,18.4,,,2500 or more  or no clouds.,,,4.3,-11.7,No precipitation,12,,,,
01.04.2020 14:00,15.3,684.1,760.8,-1.2,21,Wind blowing from the east-northeast,6,,12,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,16.9,,,2500 or more  or no clouds.,,,5.0,-6.9,No precipitation,12,,,,
01.04.2020 11:00,6.6,685.3,762.7,0.2,35,Wind blowing from the east-northeast,3,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,16.9,,,2500 or more  or no clouds.,,,6.0,-7.8,No precipitation,12,,,,
01.04.2020 08:00,1.8,685.1,762.6,0.4,27,Wind blowing from the north,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,16.9,,,2500 or more  or no clouds.,,,14.0,-15.2,No precipitation,12,,,,
01.04.2020 05:00,5.4,684.7,761.4,0.3,23,Wind blowing from the north-east,3,,13,,Cloud development not observed or not observable. ,,,5.0,16.9,,,2500 or more  or no clouds.,,,27.0,-14.1,No precipitation,12,,,,
01.04.2020 02:00,6.3,684.4,761.2,-0.2,24,Wind blowing from the north-east,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,16.9,,,2500 or more  or no clouds.,,,23.0,-12.8,No precipitation,12,,,,
31.03.2020 23:00,10.6,684.6,761.4,-0.1,20,Wind blowing from the east-northeast,4,,14,,Cloud development not observed or not observable. ,,,5.3,16.9,,,2500 or more  or no clouds.,,,13.0,-11.4,No precipitation,12,,,,
31.03.2020 20:00,15.0,684.7,761.5,-0.4,16,Wind blowing from the north-east,4,,15,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,17.5,,,2500 or more  or no clouds.,,,18.0,-10.6,No precipitation,12,,,,
31.03.2020 17:00,16.7,685.1,761.7,-1.4,15,Wind blowing from the north-east,7,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,19.6,,,2500 or more  or no clouds.,,,12.0,-10.1,No precipitation,12,,,,
31.03.2020 14:00,14.9,686.5,763.1,-0.6,17,Wind blowing from the east-northeast,6,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,19.8,,,2500 or more  or no clouds.,,,8.0,-9.9,No precipitation,12,,,,
31.03.2020 11:00,10.7,687.1,763.9,0.6,20,Wind blowing from the east-northeast,7,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,19.8,,,2500 or more  or no clouds.,,,7.0,-11.3,No precipitation,12,,,,
31.03.2020 08:00,6.3,686.5,763.2,0.3,23,Wind blowing from the east-northeast,5,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,19.8,,,2500 or more  or no clouds.,,,15.0,-13.3,No precipitation,12,,,,
31.03.2020 05:00,6.3,686.2,762.6,0.9,26,Wind blowing from the east-northeast,5,,11,,Haze. ,,,5.6,19.8,,,2500 or more  or no clouds.,,,4.1,-11.8,No precipitation,12,,,,
31.03.2020 02:00,8.9,685.3,761.5,0.9,22,Wind blowing from the north-east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,19.8,,,2500 or more  or no clouds.,,,13.0,-11.7,No precipitation,12,,,,
30.03.2020 23:00,12.1,684.4,761.1,1.2,20,Wind blowing from the north-east,6,,11,,Haze. ,,,5.6,19.8,,,2500 or more  or no clouds.,,,5.0,-10.2,No precipitation,12,,,,
30.03.2020 20:00,17.5,683.2,759.4,-0.5,17,Wind blowing from the east-northeast,4,,10,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,19.8,,,2500 or more  or no clouds.,,,6.0,-7.8,No precipitation,12,,,,
30.03.2020 17:00,19.0,683.7,759.4,-1.4,16,Wind blowing from the north-east,4,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,19.8,,,2500 or more  or no clouds.,,,5.0,-7.4,No precipitation,12,,,,
30.03.2020 14:00,16.5,685.1,761.3,-0.7,20,Wind blowing from the east-northeast,4,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,18.7,,,2500 or more  or no clouds.,,,8.0,-6.5,No precipitation,12,,,,
30.03.2020 11:00,9.8,685.8,762.5,0.4,30,Wind blowing from the north-east,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,18.7,,,2500 or more  or no clouds.,,,15.0,-6.9,No precipitation,12,,,,
30.03.2020 08:00,5.9,685.4,762.1,0.9,40,Wind blowing from the north-east,3,,6,100%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,18.7,,,2500 or more  or no clouds.,,,4.5,-6.7,No precipitation,12,,,,
30.03.2020 05:00,8.7,684.5,760.5,0.5,46,Wind blowing from the north-northwest,1,,13,,Haze. ,,,5.4,18.7,,,2500 or more  or no clouds.,,,3.9,-2.3,No precipitation,12,,,,
30.03.2020 02:00,9.0,684.0,760.0,0.4,48,Wind blowing from the south,1,,13,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,18.7,,,2500 or more  or no clouds.,,,3.7,-1.4,No precipitation,12,,,,
29.03.2020 23:00,12.7,683.6,759.4,0.4,38,Wind blowing from the south,1,,13,,Haze. ,,,5.4,18.7,,,2500 or more  or no clouds.,,,3.5,-1.2,No precipitation,12,,,,
29.03.2020 20:00,16.2,683.2,759.7,0.2,30,Wind blowing from the south-southwest,3,,13,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,18.7,,,2500 or more  or no clouds.,,,3.0,-1.4,No precipitation,12,,,,
29.03.2020 17:00,18.2,683.0,759.2,-0.9,21,Wind blowing from the south-west,4,,10,100%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,18.7,,,2500 or more  or no clouds.,,,5.0,-4.5,No precipitation,12,,,,
29.03.2020 14:00,17.7,683.9,760.0,-0.6,15,Wind blowing from the west-northwest,4,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,18.3,,,2500 or more  or no clouds.,,,8.0,-9.3,No precipitation,12,,,,
29.03.2020 11:00,14.9,684.5,760.9,0.8,17,Wind blowing from the west,1,,2,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,18.3,,,2500 or more  or no clouds.,,,14.0,-9.9,No precipitation,12,,,,
29.03.2020 08:00,5.8,683.7,760.3,-0.2,33,Wind blowing from the west,1,,2,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,18.3,,,2500 or more  or no clouds.,,,19.0,-9.2,No precipitation,12,,,,
29.03.2020 05:00,5.9,683.9,760.3,-0.5,42,Wind blowing from the south,2,,6,,Cloud development not observed or not observable. ,,,3.6,18.3,,,2500 or more  or no clouds.,,,22.0,-6.0,No precipitation,12,,,,
29.03.2020 02:00,8.0,684.4,760.9,-0.1,31,Wind blowing from the south-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,18.3,,,2500 or more  or no clouds.,,,19.0,-8.1,No precipitation,12,,,,
28.03.2020 23:00,9.3,684.5,761.7,1.0,28,Wind blowing from the south-west,0,,6,,Cloud development not observed or not observable. ,,,3.6,18.3,,,2500 or more  or no clouds.,,,16.0,-8.3,No precipitation,12,,,,
28.03.2020 20:00,15.9,683.5,760.4,-0.1,14,Wind blowing from the north,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,18.3,,,2500 or more  or no clouds.,,,19.0,-11.6,No precipitation,12,,,,
28.03.2020 17:00,18.0,683.6,759.7,-1.8,12,Wind blowing from the north-northeast,3,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,18.3,,,2500 or more  or no clouds.,,,18.0,-11.8,No precipitation,12,,,,
28.03.2020 14:00,15.4,685.4,761.8,-0.8,15,Wind blowing from the north-east,2,,5,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,16.3,,,2500 or more  or no clouds.,,,24.0,-11.1,No precipitation,12,,,,
28.03.2020 11:00,9.3,686.2,763.1,0.3,18,Wind blowing from the north-northwest,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,16.3,,,2500 or more  or no clouds.,,,18.0,-13.8,No precipitation,12,,,,
28.03.2020 08:00,3.9,685.9,763.1,0.4,28,Wind blowing from the north-northwest,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,16.3,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
28.03.2020 05:00,7.5,685.5,762.1,-0.7,18,Wind blowing from the north-east,2,,6,,Cloud development not observed or not observable. ,,,1.1,16.3,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
28.03.2020 02:00,9.7,686.2,763.0,-0.6,16,Wind blowing from the east-northeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,16.3,,,2500 or more  or no clouds.,,,29.0,-14.9,No precipitation,12,,,,
27.03.2020 23:00,11.9,686.8,764.2,0.5,13,Wind blowing from the east-northeast,3,,6,,Cloud development not observed or not observable. ,,,1.1,16.3,,,2500 or more  or no clouds.,,,24.0,-15.7,No precipitation,12,,,,
27.03.2020 20:00,15.0,686.3,763.9,-1.4,11,Wind blowing from the north-east,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,16.3,,,2500 or more  or no clouds.,,,18.0,-15.2,No precipitation,12,,,,
