Local time in Shijiazhuang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 20:00,16.6,757.0,765.2,0.8,35,Wind blowing from the south-southeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,23.7,,,2500 or more  or no clouds.,,,19.0,1.1,No precipitation,12,,,,
03.04.2020 17:00,22.3,756.2,764.4,-1.1,22,Wind blowing from the south,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,23.7,,,2500 or more  or no clouds.,,,30.0,-0.4,No precipitation,12,,,,
03.04.2020 14:00,23.1,757.3,765.4,-2.1,11,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,23.1,,,2500 or more  or no clouds.,,,30.0,-9.0,No precipitation,12,,,,
03.04.2020 11:00,20.9,759.4,767.6,-0.2,14,Wind blowing from the north-northwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,21.0,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
03.04.2020 08:00,13.7,759.6,767.8,1.0,31,Wind blowing from the north,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,18.4,,,2500 or more  or no clouds.,,,17.0,-3.1,No precipitation,12,,,,
03.04.2020 05:00,8.3,758.6,766.9,-0.7,50,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,,,5.3,18.4,,,2500 or more  or no clouds.,,,16.0,-1.5,No precipitation,12,,,,
03.04.2020 02:00,7.4,759.3,767.5,,80,Wind blowing from the north-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,18.4,,,2500 or more  or no clouds.,,,7.0,4.2,No precipitation,12,,,,
02.04.2020 20:00,13.5,759.1,767.4,0.8,40,Wind blowing from the south-east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,18.4,,,2500 or more  or no clouds.,,,15.0,0.2,No precipitation,12,,,,
02.04.2020 17:00,18.0,758.3,766.6,-1.5,18,Wind blowing from the south,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,18.4,,,2500 or more  or no clouds.,,,30.0,-6.7,No precipitation,12,,,,
02.04.2020 14:00,17.3,759.8,768.1,-1.7,15,Wind blowing from the south-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,17.3,,,2500 or more  or no clouds.,,,30.0,-9.6,No precipitation,12,,,,
02.04.2020 11:00,14.8,761.5,769.9,0.3,36,Wind blowing from the north-northeast,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,14.8,,,2500 or more  or no clouds.,,,22.0,-0.1,No precipitation,12,,,,
02.04.2020 08:00,7.0,761.2,769.6,0.9,91,Wind blowing from the south,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,11.6,,,2500 or more  or no clouds.,,,4.1,5.6,No precipitation,12,,,,
02.04.2020 05:00,5.9,760.3,768.7,0.0,90,Wind blowing from the south-southeast,1,,5,,Mist. ,,,5.9,11.6,,,2500 or more  or no clouds.,,,6.0,4.4,No precipitation,12,,,,
02.04.2020 02:00,6.8,760.3,768.7,,82,Wind blowing from the south-east,2,,5,, ,,,6.2,12.9,,,,,,9.0,3.9,No precipitation,6,,,,
01.04.2020 20:00,9.5,760.9,769.3,0.3,63,Wind blowing from the south-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,13.3,,,2500 or more  or no clouds.,,,10.0,2.8,0.6,12,,,,
01.04.2020 17:00,10.8,760.6,769.0,-1.5,55,Wind blowing from the north-northwest,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,16.0,,,2500 or more  or no clouds.,,,14.0,2.1,5.0,12,,,,
01.04.2020 14:00,11.0,762.1,770.4,-2.4,53,Wind blowing from the north,3,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,16.9,,,2500 or more  or no clouds.,,,16.0,1.8,10.0,12,,,,
01.04.2020 11:00,8.1,764.5,772.9,0.2,79,Wind blowing from the north-northwest,4,,17,,Rain (not freezing) not falling as shower(s). ,Rain.,Rain.,6.2,16.9,,,2500 or more  or no clouds.,,,11.0,4.7,10.0,12,,,,
01.04.2020 08:00,6.2,764.3,772.7,3.4,94,Wind blowing from the north-east,3,,17,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,16.9,,,2500 or more  or no clouds.,,,4.0,5.3,10.0,12,,,,
01.04.2020 05:00,8.6,760.9,769.2,2.2,98,Wind blowing from the north,5,,17,,Rain  not freezing  intermittent  slight at time of observation. ,,,6.8,16.9,,,2500 or more  or no clouds.,,,2.1,8.3,5.0,12,,,,
01.04.2020 02:00,12.9,758.7,766.9,,75,Wind blowing from the north,3,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.9,,,2500 or more  or no clouds.,,,3.6,8.6,No precipitation,12,,,,
31.03.2020 20:00,13.3,755.5,763.7,,69,Wind blowing from the south-west,1,,9,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.9,,,2500 or more  or no clouds.,,,4.6,7.7,No precipitation,6,,,,
31.03.2020 17:00,16.0,752.4,760.6,0.6,59,Wind blowing from the south-east,4,,9,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.9,,,2500 or more  or no clouds.,,,5.0,8.0,No precipitation,12,,,,
31.03.2020 14:00,16.3,751.8,760.0,-1.6,56,Wind blowing from the south-east,4,,,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,17.5,,,2500 or more  or no clouds.,,,4.5,7.5,No precipitation,12,,,,
31.03.2020 11:00,13.4,753.4,761.5,0.0,64,Wind blowing from the south,2,,4,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,17.5,,,2500 or more  or no clouds.,,,4.4,6.7,No precipitation,12,,,,
31.03.2020 08:00,8.3,753.4,761.7,0.4,85,Wind blowing from the south,1,,7,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,17.5,,,2500 or more  or no clouds.,,,3.3,5.9,No precipitation,12,,,,
31.03.2020 05:00,7.7,753.0,761.2,-1.0,85,Wind blowing from the south-southwest,2,,12,,Mist. ,,,3.8,17.5,,,2500 or more  or no clouds.,,,4.3,5.3,No precipitation,12,,,,
31.03.2020 02:00,10.1,754.0,762.2,,71,Wind blowing from the south-east,3,,12,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,17.5,,,2500 or more  or no clouds.,,,5.0,5.1,No precipitation,12,,,,
30.03.2020 20:00,13.9,753.7,762.0,,53,Wind blowing from the south-southeast,4,,12,90  or more  but not 100%, ,,,3.8,17.5,,,2500 or more  or no clouds.,,,10.0,4.5,No precipitation,6,,,,
30.03.2020 17:00,16.9,752.5,760.7,-1.2,44,Wind blowing from the south-southeast,7,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,17.5,,,2500 or more  or no clouds.,,,10.0,4.6,No precipitation,12,,,,
30.03.2020 14:00,16.8,753.7,761.9,-2.0,44,Wind blowing from the south-east,5,,9,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,17.2,,,2500 or more  or no clouds.,,,5.0,4.5,No precipitation,12,,,,
30.03.2020 11:00,13.3,755.7,763.9,-0.1,47,Wind blowing from the south-southeast,3,,6,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,17.2,,,2500 or more  or no clouds.,,,7.0,2.2,No precipitation,12,,,,
30.03.2020 08:00,5.4,755.8,764.1,0.8,89,Wind blowing from the south,1,,,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,17.2,,,2500 or more  or no clouds.,,,3.9,3.7,No precipitation,12,,,,
30.03.2020 05:00,4.4,755.0,763.3,-0.3,90,Wind blowing from the south-southwest,1,,11,,Mist. ,,,4.3,17.2,,,2500 or more  or no clouds.,,,4.6,2.9,No precipitation,12,,,,
30.03.2020 02:00,5.8,755.3,763.6,,74,Wind blowing from the south,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,17.2,,,2500 or more  or no clouds.,,,8.0,1.5,No precipitation,12,,,,
29.03.2020 20:00,11.7,754.2,762.5,1.3,44,Wind blowing from the south-east,5,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,17.2,,,2500 or more  or no clouds.,,,17.0,-0.1,No precipitation,12,,,,
29.03.2020 17:00,16.1,752.9,761.2,-1.7,30,Wind blowing from the south-southeast,7,,11,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,17.2,,,2500 or more  or no clouds.,,,14.0,-1.5,No precipitation,12,,,,
29.03.2020 14:00,15.8,754.6,762.9,-2.4,33,Wind blowing from the south,6,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,16.1,,,,,,14.0,-0.4,No precipitation,12,,,,
29.03.2020 11:00,12.9,757.0,765.3,-0.5,34,Wind blowing from the south,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,12.9,,,,,,15.0,-2.6,No precipitation,12,,,,
29.03.2020 08:00,5.9,757.5,765.9,0.5,62,Wind blowing from the south,2,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,12.7,,,2500 or more  or no clouds.,,,10.0,-0.8,No precipitation,12,,,,
29.03.2020 05:00,4.7,757.0,765.4,-1.1,65,Wind blowing from the north-northwest,2,,8,,Cloud development not observed or not observable. ,,,3.6,12.7,,,2500 or more  or no clouds.,,,13.0,-1.3,No precipitation,12,,,,
29.03.2020 02:00,6.2,758.1,766.4,,52,Wind blowing from the north,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,12.7,,,2500 or more  or no clouds.,,,17.0,-2.9,No precipitation,12,,,,
28.03.2020 20:00,9.5,758.5,766.9,0.3,40,Wind blowing from the south,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,12.7,,,,,,23.0,-3.4,No precipitation,12,,,,
28.03.2020 17:00,12.5,758.2,766.6,-2.5,31,Wind blowing from the south-southeast,4,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,13.6,,,2500 or more  or no clouds.,,,26.0,-4.2,No precipitation,12,,,,
28.03.2020 14:00,12.1,760.7,769.1,,25,Wind blowing from the south-east,4,,9,20–30%., ,,,3.6,13.9,,,2500 or more  or no clouds.,,,30.0,-7.3,No precipitation,6,,,,
28.03.2020 11:00,9.9,764.2,772.7,-0.5,20,Wind blowing from the south-southeast,3,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,13.9,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
28.03.2020 08:00,6.3,764.7,773.2,1.0,41,Wind blowing from the west-northwest,1,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,13.9,,,2500 or more  or no clouds.,,,25.0,-6.0,No precipitation,12,,,,
28.03.2020 05:00,5.2,763.7,772.1,0.6,61,Wind blowing from the north-west,1,,9,,Cloud development not observed or not observable. ,,,3.8,13.9,,,2500 or more  or no clouds.,,,20.0,-1.7,No precipitation,12,,,,
28.03.2020 02:00,4.7,763.1,771.5,,78,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,13.9,,,2500 or more  or no clouds.,,,12.0,1.2,No precipitation,12,,,,
27.03.2020 20:00,9.3,762.1,770.5,1.1,43,Wind blowing from the south-east,2,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,13.9,,,2500 or more  or no clouds.,,,24.0,-2.6,No precipitation,12,,,,
27.03.2020 17:00,13.6,761.0,769.4,-0.9,20,Wind blowing from the east-southeast,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,13.9,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
27.03.2020 14:00,13.1,761.9,770.2,-2.7,24,Wind blowing from the north-east,3,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,13.1,,,2500 or more  or no clouds.,,,30.0,-7.0,No precipitation,12,,,,
27.03.2020 11:00,10.9,764.6,773.0,0.2,27,Wind blowing from the north-northwest,2,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,10.9,,,2500 or more  or no clouds.,,,30.0,-7.4,No precipitation,12,,,,
27.03.2020 08:00,6.8,764.4,772.9,0.8,34,Wind blowing from the north-west,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,9.3,,,,,,30.0,-8.0,No precipitation,12,,,,
27.03.2020 05:00,4.9,763.6,772.1,0.3,39,Wind blowing from the north-west,2,,8,,Cloud development not observed or not observable. ,,,4.9,,,,2500 or more  or no clouds.,,,30.0,-7.9,No precipitation,12,,,,
27.03.2020 02:00,6.9,763.3,771.7,,48,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,,,,2500 or more  or no clouds.,,,30.0,-3.6,0.1,12,,,,
26.03.2020 20:00,7.7,762.4,770.8,2.1,87,Wind blowing from the south-east,1,,10,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,,,,2500 or more  or no clouds.,,,26.0,5.7,5.0,12,,,,
26.03.2020 17:00,7.9,760.3,768.6,,83,Wind blowing from the west,1,,14,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,19.9,,,2500 or more  or no clouds.,,,30.0,5.2,3.0,6,,,,
26.03.2020 14:00,7.4,760.0,768.3,1.3,93,Wind blowing from the north-east,4,,14,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Rain.,7.1,20.9,,,2500 or more  or no clouds.,,,30.0,6.3,8.0,12,,,,
26.03.2020 11:00,8.1,758.7,766.9,,93,Wind blowing from the north-northeast,5,,14,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,8.1,20.9,,,2500 or more  or no clouds.,,,5.0,7.0,5.0,6,,,,
26.03.2020 08:00,9.3,755.2,763.4,4.8,97,Wind blowing from the north,5,,14,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,20.9,,,2500 or more  or no clouds.,,,5.0,8.8,3.0,12,,,,
26.03.2020 05:00,16.2,750.4,758.4,,71,Calm  no wind,0,,,,Mist. ,,,10.9,20.9,,,,,,2.5,10.9,No precipitation,6,,,,
26.03.2020 02:00,15.4,748.9,756.9,,71,Wind blowing from the north-northwest,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,20.9,,,2500 or more  or no clouds.,,,2.5,10.2,No precipitation,12,,,,
