Local time in Hulin,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 20:00,2.4,753.5,763.0,0.2,64,Wind blowing from the west-northwest,5,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,3.3,,,2500 or more  or no clouds.,,,30.0,-3.7,0.3,12,,,,
05.04.2020 17:00,3.1,753.3,762.7,0.0,66,Wind blowing from the north-northwest,6,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,3.1,,,2500 or more  or no clouds.,,,30.0,-2.8,0.3,12,,,,
05.04.2020 14:00,2.2,753.3,762.7,-0.2,72,Wind blowing from the north-northwest,7,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,2.2,,,2500 or more  or no clouds.,,,30.0,-2.3,0.3,12,,,,
05.04.2020 11:00,0.3,753.5,763.0,0.7,76,Wind blowing from the north,10,,17,,Rain  not freezing  intermittent  slight at time of observation. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,0.3,,,2500 or more  or no clouds.,,,30.0,-3.4,0.3,12,,,,
05.04.2020 08:00,-1.0,752.8,762.3,0.8,82,Wind blowing from the north-northwest,8,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,-0.1,,,2500 or more  or no clouds.,,,30.0,-3.8,0.1,12,,,,
05.04.2020 05:00,-1.2,752.0,761.5,1.3,87,Wind blowing from the north-northwest,9,,20,,Intermittent fall of snowflakes  slight at time of observation. ,,,-1.7,-0.1,,,2500 or more  or no clouds.,,,21.0,-3.1,2.0,12,,,,
05.04.2020 02:00,-0.6,750.7,760.1,,94,Wind blowing from the north-northwest,9,,20,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-0.1,,,2500 or more  or no clouds.,,,13.0,-1.4,3.0,12,,,,
04.04.2020 20:00,-0.2,748.7,758.1,2.3,99,Wind blowing from the north-northwest,11,,20,,Snow not falling as shower(s). ,Snow and/or other types of solid precipitation,Fog or ice fog or thick haze.,-1.7,,,,2500 or more  or no clouds.,,,1.6,-0.3,5.0,12,,,,
04.04.2020 17:00,-0.2,746.4,755.8,0.9,98,Wind blowing from the north,13,,20,,Mist. ,Snow and/or other types of solid precipitation,Fog or ice fog or thick haze.,-1.7,,,,2500 or more  or no clouds.,,,0.8,-0.5,4.0,12,,,,
04.04.2020 14:00,-0.5,745.5,754.9,-0.2,96,Wind blowing from the north-northwest,11,,18,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,,,,2500 or more  or no clouds.,,,0.8,-1.1,2.0,12,,,,
04.04.2020 11:00,-1.4,745.7,755.1,-0.2,93,Wind blowing from the north-northwest,10,,18,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,,,,2500 or more  or no clouds.,,,1.6,-2.4,1.0,12,,,,
04.04.2020 08:00,-0.9,745.9,755.2,-0.2,93,Wind blowing from the north-northwest,8,,15,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,10.0,,,2500 or more  or no clouds.,,,2.9,-1.9,0.1,12,,,,
04.04.2020 05:00,-0.8,746.1,755.3,-0.2,90,Wind blowing from the north-west,7,,13,,Cloud development not observed or not observable. ,,,-1.8,10.0,,,2500 or more  or no clouds.,,,30.0,-2.2,0.1,12,,,,
04.04.2020 02:00,-0.8,746.3,755.5,,83,Wind blowing from the west-northwest,6,,13,,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,10.0,,,2500 or more  or no clouds.,,,30.0,-3.3,0.1,12,,,,
03.04.2020 20:00,6.2,745.0,754.2,0.6,67,Wind blowing from the west,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,10.0,,,2500 or more  or no clouds.,,,28.0,0.5,No precipitation,12,,,,
03.04.2020 17:00,8.4,744.4,753.7,-1.9,47,Wind blowing from the south-southeast,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,10.0,,,2500 or more  or no clouds.,,,30.0,-2.3,No precipitation,12,,,,
03.04.2020 14:00,8.0,746.3,755.5,-3.0,42,Wind blowing from the south,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,12.0,,,2500 or more  or no clouds.,,,30.0,-4.4,No precipitation,12,,,,
03.04.2020 11:00,7.5,749.3,758.5,-1.9,38,Wind blowing from the south,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,12.3,,,2500 or more  or no clouds.,,,30.0,-6.2,No precipitation,12,,,,
03.04.2020 08:00,3.4,751.2,760.5,-0.4,51,Wind blowing from the south-west,6,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,12.3,,,2500 or more  or no clouds.,,,30.0,-6.0,No precipitation,12,,,,
03.04.2020 05:00,-1.8,751.6,760.9,-0.6,70,Wind blowing from the south-west,4,,13,,Cloud development not observed or not observable. ,,,-2.8,12.3,,,2500 or more  or no clouds.,,,30.0,-6.7,No precipitation,12,,,,
03.04.2020 02:00,-0.8,752.2,761.4,,49,Wind blowing from the west,2,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,12.3,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
02.04.2020 20:00,2.8,750.2,759.5,2.7,64,Wind blowing from the north,4,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,12.3,,,2500 or more  or no clouds.,,,30.0,-3.5,No precipitation,12,,,,
02.04.2020 17:00,6.4,747.5,756.8,2.0,57,Wind blowing from the north,10,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,12.3,,,2500 or more  or no clouds.,,,30.0,-1.5,No precipitation,12,,,,
02.04.2020 14:00,11.6,745.5,754.6,-1.6,39,Wind blowing from the south-southwest,9,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,12.3,,,2500 or more  or no clouds.,,,23.0,-1.9,No precipitation,12,,,,
02.04.2020 11:00,10.2,747.1,756.2,-1.5,44,Wind blowing from the south-southwest,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,10.7,,,2500 or more  or no clouds.,,,14.0,-1.5,No precipitation,12,,,,
02.04.2020 08:00,3.3,748.6,757.9,-0.9,64,Wind blowing from the south,4,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,10.7,,,2500 or more  or no clouds.,,,15.0,-2.9,No precipitation,12,,,,
02.04.2020 05:00,-2.1,749.5,758.8,-0.9,89,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,,,-2.2,10.7,,,2500 or more  or no clouds.,,,30.0,-3.7,No precipitation,12,,,,
02.04.2020 02:00,0.0,750.4,759.6,,62,Wind blowing from the south,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,10.7,,,2500 or more  or no clouds.,,,30.0,-6.6,No precipitation,12,,,,
01.04.2020 20:00,1.5,751.9,761.2,1.2,65,Wind blowing from the south-west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,10.7,,,2500 or more  or no clouds.,,,30.0,-4.4,No precipitation,12,,,,
01.04.2020 17:00,9.3,750.7,759.9,-0.3,34,Wind blowing from the west-southwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,10.7,,,2500 or more  or no clouds.,,,30.0,-5.8,No precipitation,12,,,,
01.04.2020 14:00,10.1,751.0,760.2,-1.8,27,Wind blowing from the west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,10.5,,,2500 or more  or no clouds.,,,30.0,-8.0,No precipitation,12,,,,
01.04.2020 11:00,8.5,752.8,762.0,-0.6,35,Wind blowing from the west,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,10.5,,,2500 or more  or no clouds.,,,30.0,-6.1,No precipitation,12,,,,
01.04.2020 08:00,5.2,753.4,762.7,0.7,58,Wind blowing from the north-northwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,10.5,,,2500 or more  or no clouds.,,,30.0,-2.4,1.0,12,,,,
01.04.2020 05:00,1.7,752.7,762.0,0.9,73,Wind blowing from the north-northwest,6,,10,,Cloud development not observed or not observable. ,,,1.4,10.5,,,2500 or more  or no clouds.,,,30.0,-2.6,1.0,12,,,,
01.04.2020 02:00,3.3,751.8,761.0,,87,Wind blowing from the north-west,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,10.5,,,2500 or more  or no clouds.,,,16.0,1.3,1.0,12,,,,
31.03.2020 20:00,4.8,750.4,759.7,1.5,90,Wind blowing from the north-northwest,6,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,10.5,,,2500 or more  or no clouds.,,,6.0,3.3,Trace of precipitation,12,,,,
31.03.2020 17:00,7.5,748.9,758.1,0.9,77,Wind blowing from the north,5,,16,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,10.5,,,1000-1500,,,9.0,3.7,No precipitation,12,,,,
31.03.2020 14:00,9.3,748.0,757.1,-1.4,77,Wind blowing from the south-southwest,9,,16,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,12.2,,,2500 or more  or no clouds.,,,28.0,5.5,No precipitation,12,,,,
31.03.2020 11:00,9.2,749.4,758.5,-1.1,76,Wind blowing from the south-southwest,9,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,12.2,,,1000-1500,,,29.0,5.2,No precipitation,12,,,,
31.03.2020 08:00,4.9,750.5,759.7,-0.8,90,Wind blowing from the south-southwest,8,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,12.2,,,2500 or more  or no clouds.,,,19.0,3.4,No precipitation,12,,,,
31.03.2020 05:00,2.4,751.3,760.5,-0.2,95,Wind blowing from the south-southwest,7,,12,,Cloud development not observed or not observable. ,,,0.7,12.2,,,2500 or more  or no clouds.,,,19.0,1.7,No precipitation,12,,,,
31.03.2020 02:00,2.4,751.5,760.6,,94,Wind blowing from the south,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,12.2,,,2500 or more  or no clouds.,,,24.0,1.5,No precipitation,12,,,,
30.03.2020 20:00,5.5,751.0,760.2,0.9,71,Wind blowing from the south-southwest,6,,13,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,12.2,,,2500 or more  or no clouds.,,,30.0,0.5,No precipitation,12,,,,
30.03.2020 17:00,9.0,750.1,759.3,-0.1,59,Wind blowing from the south-southwest,6,,13,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,12.2,,,2500 or more  or no clouds.,,,30.0,1.4,No precipitation,12,,,,
30.03.2020 14:00,11.8,750.2,759.4,-1.4,52,Wind blowing from the south,7,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,12.0,,,2500 or more  or no clouds.,,,30.0,2.3,No precipitation,12,,,,
30.03.2020 11:00,9.3,751.6,760.8,-0.4,62,Wind blowing from the south-southwest,8,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,9.3,,,2500 or more  or no clouds.,,,30.0,2.4,No precipitation,12,,,,
30.03.2020 08:00,4.0,752.0,761.3,0.4,77,Wind blowing from the south-southwest,7,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,8.6,,,2500 or more  or no clouds.,,,30.0,0.2,No precipitation,12,,,,
30.03.2020 05:00,0.8,751.6,760.9,0.3,88,Wind blowing from the south-southwest,7,,15,,Cloud development not observed or not observable. ,,,-3.5,8.6,,,2500 or more  or no clouds.,,,30.0,-1.0,No precipitation,12,,,,
30.03.2020 02:00,0.6,751.3,760.6,,87,Wind blowing from the south-southwest,6,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,8.6,,,2500 or more  or no clouds.,,,30.0,-1.3,No precipitation,12,,,,
29.03.2020 20:00,3.6,751.9,761.2,0.9,53,Wind blowing from the south-west,10,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,8.6,,,,,,30.0,-5.3,No precipitation,12,,,,
29.03.2020 17:00,5.9,751.0,760.3,-0.5,51,Wind blowing from the south-southwest,6,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,8.6,,,,,,30.0,-3.7,No precipitation,12,,,,
29.03.2020 14:00,8.2,751.5,760.8,-2.1,43,Wind blowing from the south-southwest,10,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,8.2,,,,,,30.0,-3.9,No precipitation,12,,,,
29.03.2020 11:00,5.0,753.6,763.0,-1.0,50,Wind blowing from the south-southwest,8,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,5.1,,,,,,30.0,-4.6,No precipitation,12,,,,
29.03.2020 08:00,1.8,754.6,764.1,-0.1,51,Wind blowing from the south-southwest,7,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,2.6,,,2500 or more  or no clouds.,,,30.0,-7.5,No precipitation,12,,,,
29.03.2020 05:00,-3.5,754.7,764.2,0.1,68,Wind blowing from the south-west,2,,8,,Cloud development not observed or not observable. ,,,-3.8,2.6,,,2500 or more  or no clouds.,,,30.0,-8.7,No precipitation,12,,,,
29.03.2020 02:00,-2.8,754.6,764.0,,65,Wind blowing from the south-west,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,2.6,,,2500 or more  or no clouds.,,,30.0,-8.5,No precipitation,12,,,,
28.03.2020 20:00,-1.0,754.4,763.9,1.8,59,Wind blowing from the south-west,3,,18,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,2.6,,,,,,28.0,-8.0,No precipitation,12,,,,
28.03.2020 17:00,1.8,752.6,762.1,0.4,36,Wind blowing from the west,5,,18,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,2.6,,,1000-1500,,,30.0,-11.7,No precipitation,12,,,,
28.03.2020 14:00,2.1,752.2,761.7,-0.8,39,Wind blowing from the west,9,,18,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,3.7,,,1000-1500,,,30.0,-10.7,No precipitation,12,,,,
28.03.2020 11:00,-0.6,753.0,762.4,0.2,44,Wind blowing from the west-northwest,9,,18,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,3.7,,,1000-1500,,,30.0,-11.6,No precipitation,12,,,,
28.03.2020 08:00,-1.2,752.8,762.3,0.9,50,Wind blowing from the west,7,,12,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,3.7,,,1000-1500,,,30.0,-10.3,No precipitation,12,,,,
28.03.2020 05:00,-3.8,751.9,761.4,1.2,65,Wind blowing from the west-southwest,5,,13,,Cloud development not observed or not observable. ,,,-4.0,3.7,,,2500 or more  or no clouds.,,,30.0,-9.4,No precipitation,12,,,,
28.03.2020 02:00,-2.5,750.7,760.1,,59,Wind blowing from the west,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,3.7,,,2500 or more  or no clouds.,,,30.0,-9.4,No precipitation,12,,,,
27.03.2020 20:00,0.1,750.9,760.3,1.0,39,Wind blowing from the west-northwest,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,5.6,,,,,,30.0,-12.2,No precipitation,12,,,,
27.03.2020 17:00,1.9,749.9,759.3,0.3,39,Wind blowing from the west-northwest,6,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,6.7,,,,,,30.0,-10.6,No precipitation,12,,,,
27.03.2020 14:00,3.4,749.6,759.0,-1.4,37,Wind blowing from the west-northwest,7,,12,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,7.6,,,1000-1500,,,30.0,-9.9,0.4,12,,,,
27.03.2020 11:00,2.7,751.0,760.3,-1.2,50,Wind blowing from the west,8,,12,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,7.6,,,1000-1500,,,30.0,-6.7,1.0,12,,,,
27.03.2020 08:00,-0.4,752.2,761.5,-0.1,78,Wind blowing from the west-southwest,6,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Rain.,-3.1,7.6,,,2500 or more  or no clouds.,,,30.0,-3.9,2.0,12,,,,
27.03.2020 05:00,-1.4,752.3,761.6,-0.8,93,Wind blowing from the south-west,3,,9,,Cloud development not observed or not observable. ,,,-1.5,7.6,,,2500 or more  or no clouds.,,,30.0,-2.4,2.0,12,,,,
27.03.2020 02:00,-0.7,753.1,762.4,,98,Wind blowing from the west-northwest,5,,9,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,7.6,,,2500 or more  or no clouds.,,,3.1,-1.0,2.0,12,,,,
26.03.2020 20:00,5.6,751.6,760.9,1.4,69,Wind blowing from the west-northwest,4,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,7.6,,,2500 or more  or no clouds.,,,30.0,0.2,No precipitation,12,,,,
26.03.2020 17:00,6.6,750.2,759.4,,95,Wind blowing from the south-west,2,,8,100%., ,,,1.1,7.6,,,2500 or more  or no clouds.,,,4.3,5.9,No precipitation,6,,,,
26.03.2020 14:00,7.2,749.5,758.8,-1.0,91,Wind blowing from the south-southeast,3,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,10.3,,,2500 or more  or no clouds.,,,13.0,5.8,No precipitation,12,,,,
26.03.2020 11:00,4.5,750.5,759.8,,99,Wind blowing from the south,6,,8,100%.,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,,,,2500 or more  or no clouds.,,,6.0,4.4,No precipitation,6,,,,
