Local time in Luzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,14.4,733.8,766.8,0.5,86,Wind blowing from the west-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,14.4,,,2500 or more  or no clouds.,,,8.0,12.1,No precipitation,12,,,,
06.04.2020 08:00,11.7,733.3,766.4,0.4,98,Wind blowing from the south-east,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,14.4,,,2500 or more  or no clouds.,,,5.0,11.4,No precipitation,12,,,,
06.04.2020 05:00,11.5,732.9,766.0,-1.2,98,Wind blowing from the north-east,1,,,,Mist. ,,,10.9,14.4,,,2500 or more  or no clouds.,,,5.0,11.2,No precipitation,12,,,,
06.04.2020 02:00,12.1,734.1,767.2,,97,Wind blowing from the north-northeast,2,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,14.4,,,2500 or more  or no clouds.,,,8.0,11.6,No precipitation,12,,,,
05.04.2020 20:00,13.1,733.9,767.1,1.0,89,Wind blowing from the east,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,14.4,,,2500 or more  or no clouds.,,,10.0,11.3,,,,,,
05.04.2020 17:00,13.7,732.9,766.0,-1.9,84,Wind blowing from the south-west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,14.4,,,2500 or more  or no clouds.,,,14.0,11.0,0.3,12,,,,
05.04.2020 14:00,13.3,734.8,768.1,-1.8,87,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,13.3,,,2500 or more  or no clouds.,,,12.0,11.2,0.5,12,,,,
05.04.2020 11:00,11.6,736.6,770.0,0.9,95,Wind blowing from the south-west,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,12.3,,,2500 or more  or no clouds.,,,6.0,10.8,2.0,12,,,,
05.04.2020 08:00,11.1,735.7,769.1,0.9,99,Wind blowing from the west,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,4.5,10.9,3.0,12,,,,
05.04.2020 05:00,11.0,734.8,768.1,-1.3,99,Wind blowing from the west,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.9,12.3,,,2500 or more  or no clouds.,,,4.4,10.8,3.0,12,,,,
05.04.2020 02:00,11.0,736.1,769.5,,99,Wind blowing from the west-northwest,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,12.3,,,2500 or more  or no clouds.,,,5.0,10.8,2.0,12,,,,
04.04.2020 20:00,11.1,735.7,769.1,0.9,98,Wind blowing from the west,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,12.3,,,2500 or more  or no clouds.,,,4.8,10.8,0.5,12,,,,
04.04.2020 17:00,11.7,734.8,768.1,-1.2,92,Wind blowing from the west,2,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,12.9,,,2500 or more  or no clouds.,,,24.0,10.4,3.0,12,,,,
04.04.2020 14:00,12.0,736.0,769.3,-1.1,93,Wind blowing from the west,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,13.0,10.9,5.0,12,,,,
04.04.2020 11:00,11.4,737.1,770.5,1.1,99,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,14.0,11.2,7.0,12,,,,
04.04.2020 08:00,11.0,736.0,769.3,1.3,100,Wind blowing from the west-northwest,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,14.2,,,2500 or more  or no clouds.,,,8.0,11.0,10.0,12,,,,
04.04.2020 05:00,11.3,734.7,767.9,-0.2,100,Wind blowing from the north-west,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.3,14.2,,,2500 or more  or no clouds.,,,3.4,11.3,14.0,12,,,,
04.04.2020 02:00,11.7,734.9,768.1,,100,Wind blowing from the north-northwest,3,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,14.5,,,2500 or more  or no clouds.,,,1.9,11.7,13.0,12,,,,
03.04.2020 20:00,12.3,733.4,766.5,2.1,98,Wind blowing from the east-northeast,2,,5,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,,,,2500 or more  or no clouds.,,,1.1,12.0,7.0,12,,,,
03.04.2020 17:00,13.0,731.3,764.2,-0.5,98,Wind blowing from the north-east,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,,,,2500 or more  or no clouds.,,,2.5,12.7,2.0,12,,,,
03.04.2020 14:00,13.5,731.8,764.7,-1.1,88,Wind blowing from the east-northeast,3,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,,,,2500 or more  or no clouds.,,,9.0,11.6,4.0,12,,,,
03.04.2020 11:00,13.8,732.9,765.7,0.9,95,Wind blowing from the north-northeast,3,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,,,,2500 or more  or no clouds.,,,6.0,13.0,4.0,12,,,,
03.04.2020 08:00,13.2,732.0,764.8,1.4,95,Wind blowing from the east-northeast,2,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,18.2,,,2500 or more  or no clouds.,,,11.0,12.4,4.0,12,,,,
03.04.2020 05:00,13.5,730.6,763.2,-0.5,99,Wind blowing from the north,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,13.5,18.2,,,2500 or more  or no clouds.,,,2.2,13.3,3.0,12,,,,
03.04.2020 02:00,14.5,731.1,763.6,,89,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,18.2,,,2500 or more  or no clouds.,,,13.0,12.7,No precipitation,12,,,,
02.04.2020 20:00,16.3,730.0,762.7,1.6,79,Wind blowing from the east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,18.2,,,2500 or more  or no clouds.,,,17.0,12.7,No precipitation,12,,,,
02.04.2020 17:00,17.3,728.4,760.9,-0.8,78,Wind blowing from the south-east,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,18.6,,,2500 or more  or no clouds.,,,13.0,13.4,No precipitation,12,,,,
02.04.2020 14:00,17.9,729.2,761.7,-1.5,76,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,18.9,,,2500 or more  or no clouds.,,,12.0,13.6,No precipitation,12,,,,
02.04.2020 11:00,16.0,730.7,763.3,1.2,84,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,18.9,,,2500 or more  or no clouds.,,,12.0,13.3,No precipitation,12,,,,
02.04.2020 08:00,14.0,729.5,762.1,1.0,90,Wind blowing from the north-northwest,0,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,18.9,,,2500 or more  or no clouds.,,,11.0,12.4,No precipitation,12,,,,
02.04.2020 05:00,14.3,728.5,760.9,-0.3,84,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,,,13.7,18.9,,,2500 or more  or no clouds.,,,18.0,11.6,No precipitation,12,,,,
02.04.2020 02:00,14.7,728.8,761.2,,81,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,18.9,,,2500 or more  or no clouds.,,,17.0,11.5,No precipitation,12,,,,
01.04.2020 20:00,16.7,727.7,760.3,1.3,74,Wind blowing from the east,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,18.9,,,2500 or more  or no clouds.,,,15.0,12.0,No precipitation,12,,,,
01.04.2020 17:00,18.7,726.4,758.8,-1.5,63,Wind blowing from the east-southeast,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,19.9,,,2500 or more  or no clouds.,,,15.0,11.5,No precipitation,12,,,,
01.04.2020 14:00,18.8,727.9,760.3,-2.3,62,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,20.5,,,2500 or more  or no clouds.,,,17.0,11.4,No precipitation,12,,,,
01.04.2020 11:00,16.4,730.2,762.7,0.3,75,Wind blowing from the north-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,20.5,,,2500 or more  or no clouds.,,,13.0,12.0,No precipitation,12,,,,
01.04.2020 08:00,13.9,729.9,762.4,1.3,90,Wind blowing from the south-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,20.5,,,2500 or more  or no clouds.,,,11.0,12.3,No precipitation,12,,,,
01.04.2020 05:00,14.4,728.6,760.9,0.0,76,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,,,11.4,20.5,,,2500 or more  or no clouds.,,,20.0,10.2,No precipitation,12,,,,
01.04.2020 02:00,15.1,728.6,760.9,,71,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,20.5,,,2500 or more  or no clouds.,,,23.0,9.9,No precipitation,12,,,,
31.03.2020 20:00,17.2,727.0,759.5,0.7,62,Wind blowing from the east-northeast,4,,7,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,20.5,,,2500 or more  or no clouds.,,,30.0,9.9,No precipitation,12,,,,
31.03.2020 17:00,19.9,726.3,758.7,-2.5,49,Wind blowing from the north-east,2,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,20.5,,,1000-1500,,,30.0,8.9,No precipitation,12,,,,
31.03.2020 14:00,19.1,728.8,761.4,-2.4,50,Wind blowing from the south-east,2,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,19.3,,,1000-1500,,,29.0,8.4,No precipitation,12,,,,
31.03.2020 11:00,16.3,731.2,764.0,0.0,65,Wind blowing from the west,1,,4,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,16.5,,,1000-1500,,,23.0,9.7,No precipitation,12,,,,
31.03.2020 08:00,11.9,731.2,764.2,1.0,95,Wind blowing from the south,1,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,,,,2000-2500,,,7.0,11.1,Trace of precipitation,12,,,,
31.03.2020 05:00,11.9,730.2,763.1,-0.9,93,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,,,10.6,16.5,,,2500 or more  or no clouds.,,,12.0,10.8,0.4,12,,,,
31.03.2020 02:00,12.3,731.1,763.9,,90,Wind blowing from the west-northwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,16.5,,,2500 or more  or no clouds.,,,15.0,10.7,0.4,12,,,,
30.03.2020 20:00,12.9,728.5,761.5,2.7,90,Wind blowing from the east-northeast,2,,6,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,16.5,,,1500-2000,,,14.0,11.3,0.4,12,,,,
30.03.2020 17:00,14.1,725.8,758.6,-0.7,76,Wind blowing from the east-northeast,3,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,16.5,,,1500-2000,,,17.0,9.9,No precipitation,12,,,,
30.03.2020 14:00,15.6,726.5,759.2,-1.9,69,Wind blowing from the east-northeast,3,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,16.5,,,1500-2000,,,25.0,9.9,No precipitation,12,,,,
30.03.2020 11:00,15.1,728.4,761.2,0.0,75,Wind blowing from the north,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,15.3,,,1000-1500,,,24.0,10.7,0.2,12,,,,
30.03.2020 08:00,10.8,728.4,761.5,0.1,99,Wind blowing from the east-southeast,2,,3,100%.,Cloud development not observed or not observable. ,Rain.,Drizzle.,10.1,,,,2000-2500,,,7.0,10.6,2.0,12,,,,
30.03.2020 05:00,10.8,728.3,761.2,-1.7,99,Wind blowing from the south,1,,3,,Mist. ,,,9.6,13.0,,,2500 or more  or no clouds.,,,4.2,10.6,3.0,12,,,,
30.03.2020 02:00,10.6,730.0,763.1,,99,Wind blowing from the south-southwest,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,13.0,,,2500 or more  or no clouds.,,,4.1,10.4,3.0,12,,,,
29.03.2020 20:00,11.2,729.4,762.5,0.8,96,Wind blowing from the east,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,13.0,,,1500-2000,,,4.5,10.6,0.7,12,,,,
29.03.2020 17:00,12.9,728.6,761.6,-1.7,81,Wind blowing from the west-southwest,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,13.1,,,2000-2500,,,27.0,9.7,0.6,12,,,,
29.03.2020 14:00,12.5,730.3,763.4,-1.2,80,Wind blowing from the north-northwest,2,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,13.5,,,2000-2500,,,26.0,9.1,2.0,12,,,,
29.03.2020 11:00,11.2,731.5,764.6,1.9,93,Wind blowing from the north-west,2,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,,,,1500-2000,,,15.0,10.1,2.0,12,,,,
29.03.2020 08:00,10.1,729.6,762.7,1.7,98,Wind blowing from the north-west,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,14.1,,,1500-2000,,,13.0,9.8,2.0,12,,,,
29.03.2020 05:00,9.7,727.9,760.9,0.2,98,Wind blowing from the east,2,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.7,14.1,,,2500 or more  or no clouds.,,,5.0,9.4,2.0,12,,,,
29.03.2020 02:00,9.8,727.7,760.6,,96,Wind blowing from the east,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,14.1,,,2500 or more  or no clouds.,,,10.0,9.2,2.0,12,,,,
28.03.2020 20:00,12.2,725.9,758.7,0.7,93,Wind blowing from the east-northeast,4,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,14.1,,,1500-2000,,,14.0,11.1,1.0,12,,,,
28.03.2020 17:00,12.8,725.2,757.9,-2.4,95,Wind blowing from the east-northeast,4,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,12.7,14.5,,,1500-2000,,,7.0,12.0,1.0,12,,,,
28.03.2020 14:00,13.5,727.6,760.4,-2.9,93,Wind blowing from the east-northeast,2,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,14.5,,,1500-2000,,,4.8,12.4,0.1,12,,,,
28.03.2020 11:00,13.9,730.5,763.3,-0.4,94,Wind blowing from the south-west,0,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,14.5,,,2000-2500,,,12.0,13.0,2.0,12,,,,
28.03.2020 08:00,12.9,730.9,763.7,-0.3,96,Wind blowing from the east,0,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,14.5,,,2000-2500,,,13.0,12.3,2.0,12,,,,
28.03.2020 05:00,12.9,731.2,764.0,-1.8,99,Wind blowing from the east,1,,4,,Rain (not freezing) not falling as shower(s). ,,,12.9,14.5,,,2500 or more  or no clouds.,,,2.7,12.7,2.0,12,,,,
28.03.2020 02:00,13.2,733.0,766.0,,96,Wind blowing from the south-west,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,14.5,,,2500 or more  or no clouds.,,,4.6,12.6,2.0,12,,,,
27.03.2020 20:00,14.1,732.1,765.0,1.5,84,Wind blowing from the north-northwest,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,,,,2000-2500,,,30.0,11.4,1.0,12,,,,
27.03.2020 17:00,14.2,730.6,763.5,0.3,85,Wind blowing from the north-northwest,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,,,,1000-1500,,,30.0,11.7,1.0,12,,,,
27.03.2020 14:00,13.7,730.3,763.2,0.0,93,Wind blowing from the north-west,2,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,,,,1500-2000,,,18.0,12.6,4.0,12,,,,
27.03.2020 11:00,13.7,730.3,762.5,1.6,96,Wind blowing from the north-northwest,3,,14,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,,,,1000-1500,,,6.0,13.1,18.0,12,,,,
27.03.2020 08:00,13.9,728.7,760.7,1.2,92,Wind blowing from the west,2,,14,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,28.5,,,2000-2500,,,29.0,12.6,18.0,12,,,,
27.03.2020 05:00,13.0,727.5,759.4,0.5,96,Wind blowing from the west,2,,14,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.7,28.5,,,2500 or more  or no clouds.,,,16.0,12.4,6.0,12,,,,
27.03.2020 02:00,13.5,727.0,758.9,,92,Wind blowing from the north-northwest,4,,14,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,28.5,,,2500 or more  or no clouds.,,,30.0,12.2,3.0,12,,,,
26.03.2020 20:00,26.6,721.2,752.6,1.3,57,Wind blowing from the north-northeast,2,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,28.5,,,2500 or more  or no clouds.,,,17.0,17.4,No precipitation,12,,,,
26.03.2020 17:00,28.2,719.9,751.2,,52,Wind blowing from the north-east,3,,,no clouds, ,,,,,,,,,,19.0,17.4,,,,,,
26.03.2020 14:00,27.8,720.7,751.9,-1.5,55,Wind blowing from the north,3,,5,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,28.8,,,1000-1500,,,18.0,17.9,No precipitation,12,,,,
26.03.2020 11:00,24.0,722.2,753.5,,67,Wind blowing from the west-northwest,2,,4,no clouds, ,,,17.3,28.8,,,,,,10.0,17.5,No precipitation,6,,,,
26.03.2020 08:00,18.2,721.0,752.5,1.5,91,Wind blowing from the south-southeast,1,,6,70 – 80%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,28.8,,,1000-1500,,,6.0,16.7,No precipitation,12,,,,
26.03.2020 05:00,19.0,719.5,750.7,,87,Wind blowing from the west,1,,6,, ,,,16.7,28.8,,,,,,6.0,16.8,No precipitation,6,,,,
26.03.2020 02:00,20.7,719.4,750.6,,80,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.7,28.8,,,2500 or more  or no clouds.,,,11.0,17.1,No precipitation,12,,,,
25.03.2020 20:00,25.6,717.7,749.1,0.0,57,Wind blowing from the east,4,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.7,28.8,,,2500 or more  or no clouds.,,,20.0,16.5,No precipitation,12,,,,
25.03.2020 17:00,28.1,717.7,748.9,,47,Wind blowing from the east-northeast,3,,,20–30%., ,,,,,,,1000-1500,,,25.0,15.7,,,,,,
