Local time in Erenhot,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 11:00,12.4,684.8,769.6,0.3,13,Wind blowing from the west-northwest,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,13.4,,,2500 or more  or no clouds.,,,27.0,-15.3,No precipitation,12,,,,
03.04.2020 08:00,3.9,684.5,769.7,0.3,24,Wind blowing from the west,4,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,13.4,,,2500 or more  or no clouds.,,,27.0,-14.8,No precipitation,12,,,,
03.04.2020 05:00,-2.8,684.2,769.6,-0.3,37,Wind blowing from the west-southwest,1,,9,,Cloud development not observed or not observable. ,,,-5.5,13.4,,,2500 or more  or no clouds.,,,27.0,-15.5,No precipitation,12,,,,
03.04.2020 02:00,-0.8,684.5,769.6,-0.2,31,Wind blowing from the west-southwest,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,13.4,,,2500 or more  or no clouds.,,,24.0,-15.8,No precipitation,12,,,,
02.04.2020 23:00,1.2,684.7,770.3,0.2,28,Wind blowing from the west-southwest,2,,10,,Cloud development not observed or not observable. ,,,-6.2,13.4,,,2500 or more  or no clouds.,,,18.0,-15.3,No precipitation,12,,,,
02.04.2020 20:00,7.0,684.5,770.5,0.7,19,Wind blowing from the north-west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,13.4,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,12,,,,
02.04.2020 17:00,12.7,683.8,769.3,-0.4,13,Wind blowing from the east-northeast,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,13.4,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
02.04.2020 14:00,12.8,684.2,769.8,-1.2,13,Wind blowing from the north-west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,12.9,,,2500 or more  or no clouds.,,,30.0,-14.9,No precipitation,12,,,,
02.04.2020 11:00,7.3,685.4,771.5,0.4,12,Wind blowing from the west-northwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,8.6,,,2500 or more  or no clouds.,,,30.0,-20.3,No precipitation,12,,,,
02.04.2020 08:00,-0.8,685.0,771.8,1.0,16,Wind blowing from the west-southwest,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,8.6,,,2500 or more  or no clouds.,,,30.0,-23.5,No precipitation,12,,,,
02.04.2020 05:00,-4.8,684.0,770.4,-0.4,20,Wind blowing from the south-west,3,,10,,Cloud development not observed or not observable. ,,,-10.8,8.6,,,2500 or more  or no clouds.,,,29.0,-24.3,No precipitation,12,,,,
02.04.2020 02:00,-4.2,684.4,770.8,0.0,21,Wind blowing from the west-southwest,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,8.6,,,2500 or more  or no clouds.,,,29.0,-23.3,No precipitation,12,,,,
01.04.2020 23:00,-1.3,684.4,770.7,0.5,17,Wind blowing from the west-southwest,4,,10,,Cloud development not observed or not observable. ,,,,8.6,,,2500 or more  or no clouds.,,,27.0,-23.2,No precipitation,12,,,,
01.04.2020 20:00,2.1,683.9,771.4,0.4,14,Wind blowing from the west,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,8.6,,,2500 or more  or no clouds.,,,29.0,-22.7,No precipitation,12,,,,
01.04.2020 17:00,8.2,683.5,770.6,-1.5,9,Wind blowing from the west-northwest,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,8.6,,,2500 or more  or no clouds.,,,30.0,-22.8,No precipitation,12,,,,
01.04.2020 14:00,7.2,685.0,772.0,-1.8,9,Wind blowing from the west,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,7.3,,,2500 or more  or no clouds.,,,30.0,-23.6,No precipitation,12,,,,
01.04.2020 11:00,5.2,686.8,774.1,-0.6,10,Wind blowing from the west-northwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,6.0,,,2500 or more  or no clouds.,,,30.0,-24.0,No precipitation,12,,,,
01.04.2020 08:00,-5.6,687.4,775.6,,25,Wind blowing from the south-west,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,6.0,,,2500 or more  or no clouds.,,,30.0,-22.5,No precipitation,12,,,,
01.04.2020 05:00,-10.1,686.6,774.8,,33,Wind blowing from the west,2,,9,,Cloud development not observed or not observable. ,,,-10.1,6.0,,,2500 or more  or no clouds.,,,30.0,-23.3,No precipitation,12,,,,
01.04.2020 02:00,-6.5,687.2,774.7,,24,Wind blowing from the north-west,2,,12,,Cloud development not observed or not observable. ,,,-6.8,6.0,,,2500 or more  or no clouds.,,,29.0,-23.8,No precipitation,12,,,,
31.03.2020 23:00,-5.1,687.4,774.8,0.9,22,Wind blowing from the west-northwest,2,,12,,Cloud development not observed or not observable. ,,,-5.1,6.0,,,2500 or more  or no clouds.,,,21.0,-23.5,No precipitation,12,,,,
31.03.2020 20:00,0.5,686.5,773.8,1.2,15,Wind blowing from the east-northeast,2,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,6.7,,,,,,30.0,-23.2,No precipitation,12,,,,
31.03.2020 17:00,4.6,685.3,772.0,0.2,12,Wind blowing from the east-northeast,7,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,13.6,,,,,,30.0,-22.4,No precipitation,12,,,,
31.03.2020 14:00,5.5,685.1,771.4,-0.7,14,Wind blowing from the west-northwest,7,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,,,,,,,30.0,-19.9,No precipitation,12,,,,
31.03.2020 11:00,4.7,685.8,771.7,1.1,15,Wind blowing from the east-northeast,4,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,,,,,,,30.0,-19.8,No precipitation,12,,,,
31.03.2020 08:00,-0.7,684.7,770.7,2.6,27,Wind blowing from the east-northeast,5,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,,,,,,,30.0,-17.4,No precipitation,12,,,,
31.03.2020 05:00,-2.1,682.1,766.9,1.4,30,Wind blowing from the east-northeast,4,,16,,Cloud development not observed or not observable. ,,,-2.1,17.3,,,2500 or more  or no clouds.,,,27.0,-17.4,No precipitation,12,,,,
31.03.2020 02:00,-0.6,680.7,764.5,1.9,31,Wind blowing from the east-northeast,6,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,17.3,,,2500 or more  or no clouds.,,,24.0,-15.6,No precipitation,12,,,,
30.03.2020 23:00,2.6,678.8,762.7,2.9,23,Wind blowing from the north-east,10,,19,,Cloud development not observed or not observable. ,,,-0.8,17.3,,,2500 or more  or no clouds.,,,11.0,-16.5,No precipitation,12,,,,
30.03.2020 20:00,6.8,675.9,760.3,2.2,20,Wind blowing from the east-northeast,8,,19,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,17.3,,,1500-2000,,,22.0,-14.6,No precipitation,12,,,,
30.03.2020 17:00,13.6,673.7,757.0,0.3,7,Wind blowing from the west-northwest,10,,19,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,17.3,,,2500 or more  or no clouds.,,,12.0,-21.6,No precipitation,12,,,,
30.03.2020 14:00,17.1,673.4,756.1,-1.2,8,Wind blowing from the west,11,,18,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,17.1,,,2500 or more  or no clouds.,,,20.0,-17.4,No precipitation,12,,,,
30.03.2020 11:00,12.0,674.6,758.4,0.1,10,Wind blowing from the west-southwest,8,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,14.7,,,1500-2000,,,20.0,-18.7,No precipitation,12,,,,
30.03.2020 08:00,2.5,674.5,758.8,0.5,28,Wind blowing from the west-southwest,5,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,14.7,,,1500-2000,,,18.0,-14.2,No precipitation,12,,,,
30.03.2020 05:00,0.9,674.0,757.3,-0.5,33,Wind blowing from the west-southwest,5,,,,Cloud development not observed or not observable. ,,,-3.7,14.7,,,2500 or more  or no clouds.,,,17.0,-13.6,No precipitation,12,,,,
30.03.2020 02:00,1.0,674.5,757.8,-0.2,23,Wind blowing from the south-west,5,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,14.7,,,2500 or more  or no clouds.,,,19.0,-17.8,No precipitation,12,,,,
29.03.2020 23:00,0.2,674.7,758.8,0.5,18,Wind blowing from the west-southwest,2,,19,,Cloud development not observed or not observable. ,,,-4.1,14.7,,,2500 or more  or no clouds.,,,22.0,-21.3,No precipitation,12,,,,
29.03.2020 20:00,7.0,674.2,758.6,0.8,10,Wind blowing from the west,3,,19,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,14.7,,,,,,22.0,-22.6,No precipitation,12,,,,
29.03.2020 17:00,14.2,673.4,757.3,-1.4,7,Wind blowing from the west,9,,19,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,14.7,,,,,,25.0,-21.2,No precipitation,12,,,,
29.03.2020 14:00,13.9,674.8,758.8,-2.0,14,Wind blowing from the west-southwest,7,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,14.1,,,,,,23.0,-13.2,No precipitation,12,,,,
29.03.2020 11:00,9.7,676.8,761.5,-0.4,39,Wind blowing from the west-southwest,6,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,9.8,,,,,,11.0,-3.6,No precipitation,12,,,,
29.03.2020 08:00,0.6,677.2,762.6,0.6,68,Wind blowing from the west-southwest,5,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,9.7,,,2500 or more  or no clouds.,,,6.0,-4.6,No precipitation,12,,,,
29.03.2020 05:00,-3.7,676.6,761.7,-0.6,75,Wind blowing from the south-west,4,,8,,Cloud development not observed or not observable. ,,,-8.8,9.7,,,2500 or more  or no clouds.,,,8.0,-7.5,No precipitation,12,,,,
29.03.2020 02:00,-2.8,677.2,762.4,-0.3,59,Wind blowing from the south-west,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,9.7,,,2500 or more  or no clouds.,,,13.0,-9.7,No precipitation,12,,,,
28.03.2020 23:00,-2.0,677.5,763.0,-0.1,18,Wind blowing from the east-southeast,2,,13,,Cloud development not observed or not observable. ,,,-8.8,9.7,,,2500 or more  or no clouds.,,,21.0,-23.2,No precipitation,12,,,,
28.03.2020 20:00,3.4,677.6,763.9,-0.5,12,Wind blowing from the south-east,4,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,9.7,,,,,,27.0,-23.4,No precipitation,12,,,,
28.03.2020 17:00,9.4,678.1,764.1,-2.0,8,Wind blowing from the west-southwest,4,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,9.7,,,,,,30.0,-23.3,No precipitation,12,,,,
28.03.2020 14:00,8.7,680.1,766.4,-2.4,8,Wind blowing from the south-west,7,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,8.9,,,,,,30.0,-23.8,No precipitation,12,,,,
28.03.2020 11:00,5.6,682.5,769.4,-0.5,12,Wind blowing from the south-west,7,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,5.6,,,,,,30.0,-21.6,No precipitation,12,,,,
28.03.2020 08:00,-4.2,683.0,771.0,-0.2,24,Wind blowing from the south-west,6,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,2.1,,,,,,28.0,-21.8,No precipitation,12,,,,
28.03.2020 05:00,-8.4,683.2,771.1,-1.2,30,Wind blowing from the south-west,3,,9,,Cloud development not observed or not observable. ,,,-10.9,2.1,,,2500 or more  or no clouds.,,,28.0,-22.9,No precipitation,12,,,,
28.03.2020 02:00,-7.9,684.4,772.6,-1.0,28,Wind blowing from the south-west,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.9,2.1,,,2500 or more  or no clouds.,,,30.0,-23.2,No precipitation,12,,,,
27.03.2020 23:00,-6.9,685.4,773.8,-0.3,27,Wind blowing from the south-west,3,,20,,Cloud development not observed or not observable. ,,,-10.9,2.1,,,2500 or more  or no clouds.,,,30.0,-22.8,No precipitation,12,,,,
27.03.2020 20:00,-2.7,685.7,774.5,-0.3,18,Wind blowing from the west,2,,20,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.9,2.1,,,,,,30.0,-23.8,No precipitation,12,,,,
27.03.2020 17:00,1.5,686.0,774.1,-1.0,13,Wind blowing from the west-northwest,7,,20,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.9,2.1,,,,,,30.0,-24.0,No precipitation,12,,,,
27.03.2020 14:00,1.3,687.0,775.3,-0.9,13,Wind blowing from the north-northwest,7,,20,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.9,1.3,,,,,,30.0,-24.1,No precipitation,12,,,,
