Local time in Enshi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,19.9,722.2,762.1,-1.2,41,Wind blowing from the west,0,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,21.3,,,2500 or more  or no clouds.,,,23.0,6.3,No precipitation,12,,,,
06.04.2020 14:00,20.3,723.4,763.3,-2.7,39,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,20.6,,,2500 or more  or no clouds.,,,23.0,5.9,No precipitation,12,,,,
06.04.2020 11:00,16.8,726.1,766.3,-0.3,54,Wind blowing from the north-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,17.1,,,2500 or more  or no clouds.,,,12.0,7.4,No precipitation,12,,,,
06.04.2020 08:00,10.8,726.4,767.0,0.5,85,Wind blowing from the west-southwest,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,15.7,,,2500 or more  or no clouds.,,,9.0,8.4,No precipitation,12,,,,
06.04.2020 05:00,10.8,725.9,766.3,-1.4,85,Wind blowing from the south,0,,2,,Cloud development not observed or not observable. ,,,10.7,15.7,,,2500 or more  or no clouds.,,,9.0,8.4,No precipitation,12,,,,
06.04.2020 02:00,11.8,727.3,767.8,-0.6,83,Wind blowing from the south,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,15.7,,,2500 or more  or no clouds.,,,9.0,9.0,No precipitation,12,,,,
05.04.2020 23:00,12.4,727.9,768.5,0.9,77,Wind blowing from the east-southeast,1,,3,,Cloud development not observed or not observable. ,,,10.7,15.7,,,2500 or more  or no clouds.,,,8.0,8.5,No precipitation,12,,,,
05.04.2020 20:00,13.6,727.0,767.5,0.7,71,Wind blowing from the south-southwest,0,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,15.7,,,2500 or more  or no clouds.,,,5.0,8.4,No precipitation,12,,,,
05.04.2020 17:00,15.4,726.3,766.7,-1.4,49,Wind blowing from the south-west,0,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,16.1,,,2500 or more  or no clouds.,,,15.0,4.8,No precipitation,12,,,,
05.04.2020 14:00,14.2,727.7,768.3,-1.7,67,Wind blowing from the west-southwest,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,16.3,,,2500 or more  or no clouds.,,,9.0,8.2,No precipitation,12,,,,
05.04.2020 11:00,13.0,729.4,770.1,0.7,73,Wind blowing from the south,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,16.3,,,2500 or more  or no clouds.,,,8.0,8.3,No precipitation,12,,,,
05.04.2020 08:00,10.7,728.7,769.3,1.0,84,Wind blowing from the south,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,16.3,,,2500 or more  or no clouds.,,,7.0,8.1,No precipitation,12,,,,
05.04.2020 05:00,10.7,727.7,768.1,-0.8,83,Wind blowing from the north,0,,2,,Cloud development not observed or not observable. ,,,10.3,16.3,,,2500 or more  or no clouds.,,,9.0,7.9,No precipitation,12,,,,
05.04.2020 02:00,11.4,728.5,769.1,-0.7,76,Wind blowing from the south-southwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,16.3,,,2500 or more  or no clouds.,,,11.0,7.3,No precipitation,12,,,,
04.04.2020 23:00,12.3,729.2,769.9,1.6,72,Wind blowing from the west,1,,3,,Rain (not freezing) not falling as shower(s). ,,,10.3,16.3,,,2500 or more  or no clouds.,,,12.0,7.4,No precipitation,12,,,,
04.04.2020 20:00,13.8,727.6,768.3,0.6,56,Wind blowing from the west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,16.3,,,2500 or more  or no clouds.,,,12.0,5.2,No precipitation,12,,,,
04.04.2020 17:00,16.1,727.0,767.5,-1.3,40,Wind blowing from the east-northeast,0,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,16.3,,,2500 or more  or no clouds.,,,16.0,2.5,No precipitation,12,,,,
04.04.2020 14:00,14.5,728.3,768.9,-1.7,65,Wind blowing from the west-northwest,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,14.5,,,2500 or more  or no clouds.,,,6.0,8.0,No precipitation,12,,,,
04.04.2020 11:00,12.3,730.0,770.8,0.7,77,Wind blowing from the west-southwest,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,13.8,,,2500 or more  or no clouds.,,,,8.4,No precipitation,12,,,,
04.04.2020 08:00,10.5,729.3,770.1,1.4,90,Wind blowing from the north,0,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,13.8,,,2500 or more  or no clouds.,,,3.9,8.9,No precipitation,12,,,,
04.04.2020 05:00,10.6,727.9,768.5,-0.2,90,Wind blowing from the north,0,,2,,Mist. ,,,10.4,13.8,,,2500 or more  or no clouds.,,,3.6,9.0,No precipitation,12,,,,
04.04.2020 02:00,11.1,728.1,768.7,-0.4,83,Wind blowing from the east,1,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,13.8,,,2500 or more  or no clouds.,,,5.0,8.3,No precipitation,12,,,,
03.04.2020 23:00,12.0,728.5,769.2,1.2,81,Wind blowing from the west-southwest,0,,5,,Mist. ,,,11.0,13.8,,,2500 or more  or no clouds.,,,5.0,8.8,No precipitation,12,,,,
03.04.2020 20:00,12.8,727.3,767.9,1.2,73,Wind blowing from the south-southwest,1,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,13.8,,,2500 or more  or no clouds.,,,5.0,8.1,No precipitation,12,,,,
03.04.2020 17:00,13.8,726.1,766.6,-0.8,60,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,14.3,,,2500 or more  or no clouds.,,,7.0,6.2,No precipitation,12,,,,
03.04.2020 14:00,13.0,726.9,767.5,-1.4,73,Wind blowing from the north-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,14.6,,,2500 or more  or no clouds.,,,9.0,8.3,No precipitation,12,,,,
03.04.2020 11:00,11.7,728.3,769.0,0.8,89,Wind blowing from the west-southwest,1,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,,,,2500 or more  or no clouds.,,,5.0,9.9,No precipitation,12,,,,
03.04.2020 08:00,11.3,727.5,768.1,1.3,91,Wind blowing from the south-southwest,0,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,14.6,,,2500 or more  or no clouds.,,,6.0,9.9,No precipitation,12,,,,
03.04.2020 05:00,11.1,726.2,766.7,-0.3,91,Wind blowing from the south,1,,4,,Mist. ,,,11.0,14.6,,,2500 or more  or no clouds.,,,5.0,9.7,No precipitation,12,,,,
03.04.2020 02:00,11.4,726.5,766.9,-0.7,88,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,14.8,,,2500 or more  or no clouds.,,,7.0,9.5,No precipitation,12,,,,
02.04.2020 23:00,11.9,727.2,767.7,1.1,86,Wind blowing from the south-southwest,1,,4,,Cloud development not observed or not observable. ,,,11.9,16.1,,,2500 or more  or no clouds.,,,8.0,9.6,No precipitation,12,,,,
02.04.2020 20:00,13.6,726.1,766.5,1.8,70,Wind blowing from the east,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,,,,2500 or more  or no clouds.,,,7.0,8.2,No precipitation,12,,,,
02.04.2020 17:00,14.3,724.3,764.5,-0.6,63,Wind blowing from the west,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,,,,2500 or more  or no clouds.,,,11.0,7.4,No precipitation,12,,,,
02.04.2020 14:00,14.4,724.9,765.1,-1.2,60,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,,,,2500 or more  or no clouds.,,,11.0,6.7,No precipitation,12,,,,
02.04.2020 11:00,14.1,726.1,766.3,1.3,62,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,,,,2500 or more  or no clouds.,,,10.0,6.9,No precipitation,12,,,,
02.04.2020 08:00,13.9,724.8,764.8,1.3,65,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,22.5,,,2500 or more  or no clouds.,,,10.0,7.4,No precipitation,12,,,,
02.04.2020 05:00,13.6,723.5,763.3,-0.2,76,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,8.9,22.5,,,2500 or more  or no clouds.,,,28.0,9.5,No precipitation,12,,,,
02.04.2020 02:00,14.8,723.7,763.3,-0.3,66,Wind blowing from the north-west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,22.5,,,2500 or more  or no clouds.,,,28.0,8.5,No precipitation,12,,,,
01.04.2020 23:00,16.1,724.0,763.9,2.3,60,Wind blowing from the west-northwest,1,,9,,Cloud development not observed or not observable. ,,,8.9,22.5,,,2500 or more  or no clouds.,,,25.0,8.3,No precipitation,12,,,,
01.04.2020 20:00,17.8,721.7,761.8,1.4,48,Wind blowing from the south-southeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,22.5,,,2500 or more  or no clouds.,,,27.0,6.7,No precipitation,12,,,,
01.04.2020 17:00,20.3,720.3,760.1,-1.3,37,Wind blowing from the south,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,22.5,,,2500 or more  or no clouds.,,,26.0,5.1,No precipitation,12,,,,
01.04.2020 14:00,20.7,721.6,761.4,-3.3,43,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,21.0,,,2500 or more  or no clouds.,,,30.0,7.7,No precipitation,12,,,,
01.04.2020 11:00,16.1,724.9,765.1,-0.7,62,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,16.2,,,2500 or more  or no clouds.,,,22.0,8.8,No precipitation,12,,,,
01.04.2020 08:00,10.1,725.6,766.1,1.3,91,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,15.7,,,2500 or more  or no clouds.,,,18.0,8.7,No precipitation,12,,,,
01.04.2020 05:00,9.2,724.3,764.7,0.7,93,Wind blowing from the south-southeast,2,,4,,Cloud development not observed or not observable. ,,,9.1,15.7,,,2500 or more  or no clouds.,,,14.0,8.1,No precipitation,12,,,,
01.04.2020 02:00,10.0,723.6,764.0,-0.5,92,Wind blowing from the north,0,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,15.7,,,2500 or more  or no clouds.,,,15.0,8.8,No precipitation,12,,,,
31.03.2020 23:00,11.6,724.1,764.5,1.7,87,Wind blowing from the north-northwest,1,,3,,Cloud development not observed or not observable. ,,,9.8,15.7,,,2500 or more  or no clouds.,,,14.0,9.5,No precipitation,12,,,,
31.03.2020 20:00,14.2,722.4,763.0,1.1,74,Wind blowing from the north-west,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,15.7,,,2500 or more  or no clouds.,,,13.0,9.6,No precipitation,12,,,,
31.03.2020 17:00,15.5,721.3,761.7,-1.5,62,Wind blowing from the west,1,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,15.7,,,600-1000,,,29.0,8.3,No precipitation,12,,,,
31.03.2020 14:00,14.3,722.8,763.4,-1.2,65,Wind blowing from the south-west,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,14.4,,,600-1000,,,28.0,7.8,No precipitation,12,,,,
31.03.2020 11:00,12.5,724.0,764.8,0.7,73,Wind blowing from the south,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,13.2,,,600-1000,,,30.0,7.8,No precipitation,12,,,,
31.03.2020 08:00,10.0,723.3,764.1,0.5,85,Wind blowing from the south,1,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,13.2,,,2500 or more  or no clouds.,,,30.0,7.6,Trace of precipitation,12,,,,
31.03.2020 05:00,10.1,722.8,763.6,-0.4,84,Wind blowing from the north-west,1,,4,,Cloud development not observed or not observable. ,,,9.0,13.2,,,2500 or more  or no clouds.,,,17.0,7.5,No precipitation,12,,,,
31.03.2020 02:00,10.6,723.2,763.9,-0.5,78,Wind blowing from the east,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,13.2,,,2500 or more  or no clouds.,,,30.0,6.9,No precipitation,12,,,,
30.03.2020 23:00,10.9,723.7,764.5,1.7,75,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,,,8.9,13.2,,,2500 or more  or no clouds.,,,30.0,6.6,No precipitation,12,,,,
30.03.2020 20:00,11.5,722.0,762.8,1.3,71,Wind blowing from the south,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,13.2,,,2500 or more  or no clouds.,,,30.0,6.4,No precipitation,12,,,,
30.03.2020 17:00,12.4,720.7,761.4,-0.9,64,Wind blowing from the north,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,13.2,,,600-1000,,,30.0,5.8,No precipitation,12,,,,
30.03.2020 14:00,12.8,721.6,762.4,-2.1,65,Wind blowing from the south,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,13.2,,,600-1000,,,30.0,6.4,No precipitation,12,,,,
30.03.2020 11:00,11.6,723.7,764.6,0.3,69,Wind blowing from the north-northeast,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,11.6,,,600-1000,,,30.0,6.1,No precipitation,12,,,,
30.03.2020 08:00,9.2,723.4,764.5,0.8,86,Wind blowing from the south,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,10.1,,,1500-2000,,,24.0,7.0,No precipitation,12,,,,
30.03.2020 05:00,9.0,722.6,763.6,-1.2,86,Wind blowing from the north,0,,3,,Cloud development not observed or not observable. ,,,,10.1,,,2500 or more  or no clouds.,,,29.0,6.8,No precipitation,12,,,,
30.03.2020 02:00,9.3,723.8,764.9,-0.4,83,Wind blowing from the north-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,10.1,,,2500 or more  or no clouds.,,,30.0,6.6,No precipitation,12,,,,
29.03.2020 23:00,9.5,724.2,765.4,1.0,85,Wind blowing from the south-west,1,,3,,Cloud development not observed or not observable. ,,,6.3,10.1,,,2500 or more  or no clouds.,,,29.0,7.1,No precipitation,12,,,,
29.03.2020 20:00,9.7,723.2,764.4,1.0,79,Wind blowing from the west-southwest,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,10.1,,,2500 or more  or no clouds.,,,30.0,6.2,0.4,12,,,,
29.03.2020 17:00,9.9,722.2,763.3,-1.0,71,Wind blowing from the south-southwest,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,10.1,,,600-1000,,,30.0,4.9,1.0,12,,,,
29.03.2020 14:00,9.4,723.2,764.2,-1.5,76,Wind blowing from the west-northwest,1,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,9.9,,,300-600,,,30.0,5.4,3.0,12,,,,
29.03.2020 11:00,7.3,724.7,766.1,0.5,87,Wind blowing from the south,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,6.3,,,,300-600,,,13.0,5.3,10.0,12,,,,
29.03.2020 08:00,6.7,724.2,765.6,1.5,88,Wind blowing from the east-northeast,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,6.3,10.8,,,300-600,,,30.0,4.9,11.0,12,,,,
29.03.2020 05:00,6.5,722.7,763.9,-1.1,93,Wind blowing from the west-northwest,1,,6,,Rain (not freezing) not falling as shower(s). ,,,6.3,10.8,,,2500 or more  or no clouds.,,,8.0,5.5,13.0,12,,,,
29.03.2020 02:00,6.5,723.8,765.1,-0.8,91,Wind blowing from the north-west,2,,6,,Rain (not freezing) not falling as shower(s). ,Drizzle.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,10.8,,,2500 or more  or no clouds.,,,10.0,5.1,11.0,12,,,,
28.03.2020 23:00,7.4,724.6,765.7,0.9,83,Wind blowing from the north-east,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,7.3,10.8,,,2500 or more  or no clouds.,,,24.0,4.7,5.0,12,,,,
28.03.2020 20:00,8.3,723.7,764.8,0.1,87,Wind blowing from the north-northwest,1,,7,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,10.8,,,300-600,,,4.7,6.3,3.0,12,,,,
28.03.2020 17:00,9.6,723.6,764.7,-1.7,73,Wind blowing from the south-southeast,1,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,11.0,,,300-600,,,30.0,5.0,0.3,12,,,,
28.03.2020 14:00,9.7,725.3,766.5,-2.6,75,Wind blowing from the south-southwest,2,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,11.5,,,300-600,,,30.0,5.5,0.2,12,,,,
28.03.2020 11:00,10.2,727.9,769.1,-0.5,60,Wind blowing from the north-northeast,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,11.5,,,2500 or more  or no clouds.,,,30.0,2.8,No precipitation,12,,,,
28.03.2020 08:00,9.6,728.4,769.6,0.4,63,Wind blowing from the north-east,3,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,,,,2500 or more  or no clouds.,,,30.0,2.9,Trace of precipitation,12,,,,
28.03.2020 05:00,9.0,728.0,769.3,-1.4,66,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,,,9.0,,,,2500 or more  or no clouds.,,,30.0,3.0,1.0,12,,,,
28.03.2020 02:00,9.2,729.4,770.6,0.1,68,Wind blowing from the north-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,,,,2500 or more  or no clouds.,,,30.0,3.6,3.0,12,,,,
27.03.2020 23:00,9.4,729.3,770.5,1.9,71,Wind blowing from the north,3,,9,,Cloud development not observed or not observable. ,,,9.3,,,,2500 or more  or no clouds.,,,30.0,4.4,7.0,12,,,,
27.03.2020 20:00,9.8,727.4,768.3,2.2,77,Wind blowing from the north,3,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,9.8,19.8,,,300-600,,,30.0,6.0,17.0,12,,,,
27.03.2020 17:00,11.0,725.2,765.5,0.5,80,Wind blowing from the north,3,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,11.0,,,,300-600,,,26.0,7.7,18.0,12,,,,
27.03.2020 14:00,11.2,724.7,765.0,-0.4,83,Wind blowing from the north,3,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,11.1,30.0,,,300-600,,,14.0,8.4,16.0,12,,,,
27.03.2020 11:00,11.5,725.1,765.4,3.2,86,Wind blowing from the north,3,,9,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,30.0,,,2500 or more  or no clouds.,,,14.0,9.2,11.0,12,,,,
27.03.2020 08:00,14.9,721.9,761.5,1.8,74,Wind blowing from the north,4,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Shower(s).,Rain.,14.9,,,,300-600,,,30.0,10.3,1.0,12,,,,
27.03.2020 05:00,18.4,720.1,758.7,0.5,66,Wind blowing from the north-east,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,17.4,30.0,,,2500 or more  or no clouds.,,,30.0,11.9,3.0,12,,,,
27.03.2020 02:00,19.4,719.6,758.2,-0.6,74,Wind blowing from the north-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.4,30.0,,,2500 or more  or no clouds.,,,30.0,14.7,3.0,12,,,,
