Local time in Rikaze,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 02:00,6.2,478.4,750.4,0.5,9,Wind blowing from the south-west,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,12.8,,,2500 or more  or no clouds.,,,30.0,-24.4,No precipitation,12,,,,
05.04.2020 23:00,6.3,477.9,751.9,1.2,8,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,3.1,12.8,,,2500 or more  or no clouds.,,,30.0,-25.6,No precipitation,12,,,,
05.04.2020 20:00,9.8,476.7,750.1,0.0,0,Wind blowing from the north-west,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,12.8,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
05.04.2020 17:00,11.2,476.7,748.3,-1.4,0,Wind blowing from the west,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,13.6,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
05.04.2020 14:00,11.0,478.1,749.6,-1.0,1,Wind blowing from the west-southwest,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,13.6,,,2500 or more  or no clouds.,,,30.0,-43.5,No precipitation,12,,,,
05.04.2020 11:00,7.0,479.1,752.3,1.1,7,Wind blowing from the west-southwest,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,13.6,,,2500 or more  or no clouds.,,,15.0,-26.6,No precipitation,12,,,,
05.04.2020 08:00,3.4,478.0,751.4,1.0,10,Wind blowing from the south-west,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,13.6,,,2500 or more  or no clouds.,,,30.0,-25.4,No precipitation,12,,,,
05.04.2020 05:00,5.2,477.0,748.0,-0.2,8,Wind blowing from the west-southwest,4,,10,,Cloud development not observed or not observable. ,,,-5.2,13.6,,,2500 or more  or no clouds.,,,30.0,-26.5,No precipitation,12,,,,
05.04.2020 02:00,6.8,477.2,748.6,0.6,6,Wind blowing from the west-southwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.6,,,2500 or more  or no clouds.,,,30.0,-28.4,No precipitation,12,,,,
04.04.2020 23:00,9.0,476.6,748.0,1.1,5,Wind blowing from the south-west,4,,10,,Cloud development not observed or not observable. ,,,,13.6,,,2500 or more  or no clouds.,,,30.0,-28.7,No precipitation,12,,,,
04.04.2020 20:00,11.0,475.5,752.5,-0.9,0,Wind blowing from the south-west,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,13.6,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
04.04.2020 17:00,12.3,476.4,751.5,-2.4,0,Wind blowing from the west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,12.9,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
04.04.2020 14:00,10.3,478.8,752.6,-1.4,0,Wind blowing from the north-northwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,13.4,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
04.04.2020 11:00,7.6,480.2,754.0,0.9,0,Wind blowing from the north-northwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,13.4,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
04.04.2020 08:00,-5.1,479.3,758.4,0.9,28,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,13.4,,,2500 or more  or no clouds.,,,30.0,-20.8,No precipitation,12,,,,
04.04.2020 05:00,-2.3,478.4,754.6,0.5,16,Wind blowing from the north-east,1,,13,,Cloud development not observed or not observable. ,,,-2.8,13.4,,,2500 or more  or no clouds.,,,30.0,-24.7,No precipitation,12,,,,
04.04.2020 02:00,4.3,477.9,750.2,1.4,3,Wind blowing from the west,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,13.4,,,2500 or more  or no clouds.,,,30.0,-37.3,No precipitation,12,,,,
03.04.2020 23:00,8.4,476.5,748.5,2.3,1,Wind blowing from the west-southwest,5,,13,,Cloud development not observed or not observable. ,,,0.0,13.4,,,2500 or more  or no clouds.,,,30.0,-45.1,No precipitation,12,,,,
03.04.2020 20:00,11.3,474.2,747.1,0.2,0,Wind blowing from the west,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,13.4,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
03.04.2020 17:00,12.3,474.0,744.1,-2.2,0,Wind blowing from the west-southwest,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,13.5,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
03.04.2020 14:00,12.0,476.2,746.8,-1.9,0,Wind blowing from the south-west,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,13.5,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
03.04.2020 11:00,7.0,478.1,751.3,0.6,7,Wind blowing from the south-southwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,13.5,,,2500 or more  or no clouds.,,,30.0,-26.6,No precipitation,12,,,,
03.04.2020 08:00,0.2,477.5,752.5,0.9,17,Wind blowing from the north,0,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,13.5,,,2500 or more  or no clouds.,,,20.0,-22.0,No precipitation,12,,,,
03.04.2020 05:00,3.7,476.6,748.0,0.1,8,Wind blowing from the west-southwest,2,,14,,Cloud development not observed or not observable. ,,,2.6,13.5,,,2500 or more  or no clouds.,,,30.0,-27.6,No precipitation,12,,,,
03.04.2020 02:00,5.6,476.5,748.0,0.7,4,Wind blowing from the west-southwest,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,13.5,,,2500 or more  or no clouds.,,,30.0,-33.5,No precipitation,12,,,,
02.04.2020 23:00,7.9,475.8,747.9,2.4,2,Wind blowing from the south-west,6,,16,,Cloud development not observed or not observable. ,,,1.7,13.5,,,2500 or more  or no clouds.,,,30.0,-38.8,No precipitation,12,,,,
02.04.2020 20:00,11.1,473.4,744.2,-0.5,0,Wind blowing from the west-southwest,5,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,13.5,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
02.04.2020 17:00,12.7,473.9,743.6,-2.3,0,Wind blowing from the north-west,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,13.2,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
02.04.2020 14:00,10.6,476.2,749.5,-1.6,0,Wind blowing from the west-southwest,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,14.1,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
02.04.2020 11:00,6.7,477.8,751.6,1.1,3,Wind blowing from the south-west,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,14.1,,,2500 or more  or no clouds.,,,30.0,-35.6,No precipitation,12,,,,
02.04.2020 08:00,3.4,476.7,749.6,0.6,16,Wind blowing from the west-southwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,14.1,,,2500 or more  or no clouds.,,,30.0,-20.1,No precipitation,12,,,,
02.04.2020 05:00,4.1,476.1,746.8,0.0,15,Wind blowing from the south-west,1,,12,,Cloud development not observed or not observable. ,,,-4.6,14.1,,,2500 or more  or no clouds.,,,30.0,-20.2,No precipitation,12,,,,
02.04.2020 02:00,2.3,476.1,747.5,0.1,26,Wind blowing from the south-southeast,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,14.1,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,12,,,,
01.04.2020 23:00,6.9,476.0,747.7,1.4,16,Wind blowing from the south-southwest,1,,12,,Cloud development not observed or not observable. ,,,,14.1,,,2500 or more  or no clouds.,,,30.0,-17.2,No precipitation,12,,,,
01.04.2020 20:00,10.7,474.6,750.8,0.1,7,Wind blowing from the south-west,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,14.1,,,2500 or more  or no clouds.,,,30.0,-23.8,No precipitation,12,,,,
01.04.2020 17:00,13.0,474.5,748.0,-2.0,2,Wind blowing from the west-northwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,14.7,,,2500 or more  or no clouds.,,,30.0,-35.5,No precipitation,12,,,,
01.04.2020 14:00,13.6,476.5,749.8,-2.5,2,Wind blowing from the south-west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,15.5,,,2500 or more  or no clouds.,,,30.0,-35.1,No precipitation,12,,,,
01.04.2020 11:00,8.5,479.0,753.8,0.5,10,Wind blowing from the east,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,15.5,,,2500 or more  or no clouds.,,,30.0,-21.4,No precipitation,12,,,,
01.04.2020 08:00,-4.4,478.5,756.5,0.3,37,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,15.5,,,2500 or more  or no clouds.,,,30.0,-16.9,No precipitation,12,,,,
01.04.2020 05:00,-2.2,478.2,753.6,-0.3,28,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,-4.4,15.5,,,2500 or more  or no clouds.,,,30.0,-18.3,No precipitation,12,,,,
01.04.2020 02:00,-0.4,478.5,753.1,0.3,22,Wind blowing from the north,0,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,15.5,,,2500 or more  or no clouds.,,,30.0,-19.5,No precipitation,12,,,,
31.03.2020 23:00,4.5,478.2,751.9,1.2,10,Wind blowing from the north-northeast,0,,14,,Cloud development not observed or not observable. ,,,-4.4,15.5,,,2500 or more  or no clouds.,,,30.0,-24.5,No precipitation,12,,,,
31.03.2020 20:00,11.7,477.0,754.0,0.0,0,Wind blowing from the north-west,4,,14,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,15.5,,,1500-2000,,,30.0,-80.0,No precipitation,12,,,,
31.03.2020 17:00,13.4,477.0,751.7,-1.8,0,Wind blowing from the west-southwest,5,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,15.5,,,1500-2000,,,30.0,-80.0,No precipitation,12,,,,
31.03.2020 14:00,13.2,478.8,752.5,-1.5,0,Wind blowing from the west,5,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,14.5,,,1500-2000,,,30.0,-80.0,No precipitation,12,,,,
31.03.2020 11:00,9.6,480.3,754.5,0.9,0,Wind blowing from the south-west,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,14.5,,,,,,30.0,-80.0,No precipitation,12,,,,
31.03.2020 08:00,-4.3,479.4,757.9,0.9,24,Wind blowing from the east-southeast,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,14.5,,,,,,30.0,-21.9,No precipitation,12,,,,
31.03.2020 05:00,-2.3,478.5,754.6,-0.4,19,Wind blowing from the east,1,,17,,Cloud development not observed or not observable. ,,,-2.5,14.5,,,2500 or more  or no clouds.,,,30.0,-22.8,No precipitation,12,,,,
31.03.2020 02:00,1.4,478.9,754.1,0.3,8,Wind blowing from the south-east,1,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,14.5,,,2500 or more  or no clouds.,,,30.0,-29.4,No precipitation,12,,,,
30.03.2020 23:00,5.6,478.6,754.0,0.9,2,Wind blowing from the east-southeast,1,,17,,Cloud development not observed or not observable. ,,,2.3,14.5,,,2500 or more  or no clouds.,,,29.0,-40.4,No precipitation,12,,,,
30.03.2020 20:00,11.7,477.7,751.2,-0.4,0,Wind blowing from the north-west,2,,17,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,14.5,,,2000-2500,,,23.0,-80.0,No precipitation,12,,,,
30.03.2020 17:00,12.5,478.1,750.3,-2.2,0,Wind blowing from the west,5,,15,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,17.2,,,1500-2000,,,30.0,-80.0,No precipitation,12,,,,
30.03.2020 14:00,10.9,480.3,754.0,-0.3,0,Wind blowing from the west-southwest,5,,,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,17.5,,,1500-2000,,,30.0,-80.0,No precipitation,12,,,,
30.03.2020 11:00,6.1,480.6,755.3,1.6,5,Wind blowing from the west-southwest,6,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,17.5,,,,,,30.0,-30.8,No precipitation,12,,,,
30.03.2020 08:00,2.4,479.0,752.5,1.5,10,Wind blowing from the west-southwest,4,,19,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,17.5,,,,,,30.0,-26.2,No precipitation,12,,,,
30.03.2020 05:00,4.1,477.5,746.5,0.5,8,Wind blowing from the west,4,,19,,Cloud development not observed or not observable. ,,,1.4,17.5,,,2500 or more  or no clouds.,,,30.0,-27.3,No precipitation,12,,,,
30.03.2020 02:00,5.3,477.0,747.5,0.5,8,Wind blowing from the south-west,1,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,17.5,,,2500 or more  or no clouds.,,,30.0,-26.4,No precipitation,12,,,,
29.03.2020 23:00,8.7,476.5,747.4,2.2,3,Wind blowing from the west-southwest,4,,19,,Cloud development not observed or not observable. ,,,1.4,17.5,,,2500 or more  or no clouds.,,,30.0,-34.3,No precipitation,12,,,,
29.03.2020 20:00,12.9,474.3,745.6,0.5,0,Wind blowing from the south-west,7,,19,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,17.5,,,1500-2000,,,23.0,-80.0,No precipitation,12,,,,
29.03.2020 17:00,17.4,473.8,739.9,-3.8,0,Wind blowing from the south-west,8,,18,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,18.2,,,1500-2000,,,20.0,-80.0,No precipitation,12,,,,
29.03.2020 14:00,13.2,477.6,746.8,-2.2,0,Wind blowing from the west,3,,14,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,18.4,,,1500-2000,,,30.0,-80.0,No precipitation,12,,,,
29.03.2020 11:00,8.6,479.8,751.6,0.7,0,Wind blowing from the south-southeast,2,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,18.4,,,,,,30.0,-80.0,No precipitation,12,,,,
29.03.2020 08:00,1.6,479.1,752.2,0.7,2,Wind blowing from the south,2,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,18.4,,,,,,30.0,-43.1,No precipitation,12,,,,
29.03.2020 05:00,5.6,478.4,746.5,0.1,1,Wind blowing from the west-southwest,3,,17,,Cloud development not observed or not observable. ,,,2.6,18.4,,,2500 or more  or no clouds.,,,30.0,-46.8,No precipitation,12,,,,
29.03.2020 02:00,8.1,478.3,746.2,1.3,3,Wind blowing from the west-southwest,5,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,18.4,,,2500 or more  or no clouds.,,,30.0,-34.7,No precipitation,12,,,,
28.03.2020 23:00,10.5,477.0,745.2,2.4,0,Wind blowing from the west,4,,21,,Cloud development not observed or not observable. ,,,2.6,18.4,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
28.03.2020 20:00,14.4,474.6,744.2,0.3,0,Wind blowing from the west-southwest,8,,21,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,18.4,,,,,,30.0,-80.0,No precipitation,12,,,,
28.03.2020 17:00,18.3,474.3,739.7,-2.2,0,Wind blowing from the west,9,,21,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,19.4,,,,,,8.0,-80.0,No precipitation,12,,,,
28.03.2020 14:00,16.3,476.5,741.7,-2.2,0,Wind blowing from the west,5,,11,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,19.5,,,1500-2000,,,30.0,-80.0,No precipitation,12,,,,
28.03.2020 11:00,12.1,478.7,746.2,-0.1,15,Wind blowing from the south,4,,7,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,19.5,,,1500-2000,,,30.0,-13.8,No precipitation,12,,,,
28.03.2020 08:00,3.1,478.8,749.5,0.4,36,Wind blowing from the east,1,,9,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,19.5,,,2000-2500,,,30.0,-10.5,No precipitation,12,,,,
28.03.2020 05:00,6.6,478.4,745.3,-0.2,22,Wind blowing from the south-southeast,1,,12,,Cloud development not observed or not observable. ,,,0.0,19.5,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
28.03.2020 02:00,11.2,478.6,745.0,0.4,13,Wind blowing from the south-west,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,19.5,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
27.03.2020 23:00,13.4,478.2,745.4,1.3,9,Wind blowing from the west-southwest,3,,13,,Cloud development not observed or not observable. ,,,,19.5,,,2500 or more  or no clouds.,,,30.0,-18.9,No precipitation,12,,,,
27.03.2020 20:00,16.6,476.9,747.8,-0.5,4,Wind blowing from the south-west,5,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,19.5,,,1500-2000,,,30.0,-25.7,No precipitation,12,,,,
27.03.2020 17:00,19.5,477.4,745.6,-2.7,0,Wind blowing from the west-southwest,4,,13,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,19.5,,,1500-2000,,,30.0,-80.0,No precipitation,12,,,,
