Local time in Huai'an,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
04.04.2020 20:00,9.4,769.7,771.0,0.8,52,Wind blowing from the east,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,19.3,,,,,,22.0,0.0,No precipitation,12,,,,
04.04.2020 17:00,14.3,768.9,770.2,0.5,48,Wind blowing from the north-east,5,,10,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,19.3,,,2500 or more  or no clouds.,,,11.0,3.4,No precipitation,12,,,,
04.04.2020 14:00,18.2,768.4,769.6,-0.2,53,Wind blowing from the north-east,5,,9,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,19.3,,,600-1000,,,5.0,8.5,No precipitation,12,,,,
04.04.2020 11:00,18.4,768.6,769.9,0.6,42,Wind blowing from the north-northeast,4,,7,10%  or less  but not 0,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,18.4,,,2500 or more  or no clouds.,,,6.0,5.3,No precipitation,12,,,,
04.04.2020 08:00,12.1,768.0,769.3,1.9,78,Wind blowing from the north-west,2,,4,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,17.9,,,,,,3.9,8.4,No precipitation,12,,,,
04.04.2020 05:00,8.2,766.1,767.4,,95,Wind blowing from the west,1,,4,50%.,Mist. ,,,4.6,17.9,,,2500 or more  or no clouds.,,,2.0,7.4,No precipitation,12,,,,
04.04.2020 02:00,8.4,766.2,767.5,,93,Wind blowing from the west-northwest,0,,4,40%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,17.9,,,2500 or more  or no clouds.,,,2.1,7.3,No precipitation,6,,,,
03.04.2020 23:00,10.3,766.6,767.8,0.6,82,Wind blowing from the west-southwest,1,,5,40%.,Mist. ,,,4.6,17.9,,,2500 or more  or no clouds.,,,3.1,7.4,No precipitation,12,,,,
03.04.2020 20:00,12.8,766.0,767.3,0.5,66,Wind blowing from the south-west,1,,5,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,17.9,,,2500 or more  or no clouds.,,,6.0,6.6,No precipitation,12,,,,
03.04.2020 17:00,16.1,765.5,766.8,-0.7,53,Wind blowing from the south-west,3,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,17.9,,,1500-2000,,,8.0,6.5,No precipitation,12,,,,
03.04.2020 14:00,16.9,766.2,767.5,-1.5,45,Wind blowing from the west-southwest,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,17.5,,,2500 or more  or no clouds.,,,9.0,4.9,No precipitation,12,,,,
03.04.2020 11:00,16.0,767.7,769.0,0.2,44,Wind blowing from the east-northeast,2,,,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,17.1,,,2500 or more  or no clouds.,,,10.0,3.8,No precipitation,12,,,,
03.04.2020 08:00,9.7,767.5,768.7,0.3,84,Wind blowing from the north,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,17.1,,,,,,8.0,7.1,No precipitation,12,,,,
03.04.2020 05:00,5.5,767.2,768.4,0.2,93,Wind blowing from the north-west,0,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,,,5.5,17.1,,,2500 or more  or no clouds.,,,11.0,4.5,No precipitation,12,,,,
03.04.2020 02:00,6.8,767.0,768.3,-0.5,88,Calm  no wind,0,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,17.1,,,2500 or more  or no clouds.,,,13.0,5.0,No precipitation,12,,,,
02.04.2020 23:00,9.7,767.5,768.8,-0.2,74,Wind blowing from the east,2,,7,70 – 80%.,Cloud development not observed or not observable. ,,,6.8,17.1,,,2500 or more  or no clouds.,,,17.0,5.3,No precipitation,12,,,,
02.04.2020 20:00,10.3,767.7,769.0,1.7,74,Wind blowing from the north-east,2,,7,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,17.1,,,2500 or more  or no clouds.,,,9.0,5.9,No precipitation,12,,,,
02.04.2020 17:00,14.5,766.0,767.2,-1.1,56,Wind blowing from the north-northeast,3,,7,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,17.1,,,2500 or more  or no clouds.,,,15.0,5.8,No precipitation,12,,,,
02.04.2020 14:00,16.3,767.1,768.4,-0.8,42,Wind blowing from the north-northeast,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.4,,,2500 or more  or no clouds.,,,17.0,3.4,No precipitation,12,,,,
02.04.2020 11:00,15.1,767.9,769.2,-0.6,39,Wind blowing from the east,4,,6,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.2,,,2500 or more  or no clouds.,,,21.0,1.3,No precipitation,12,,,,
02.04.2020 08:00,10.1,768.5,769.8,1.2,63,Wind blowing from the east-northeast,3,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,,,,2500 or more  or no clouds.,,,19.0,3.4,No precipitation,12,,,,
02.04.2020 05:00,7.2,767.3,768.6,-0.4,79,Wind blowing from the north-east,2,,6,100%.,Cloud development not observed or not observable. ,,,7.2,16.2,,,2500 or more  or no clouds.,,,16.0,3.8,No precipitation,12,,,,
02.04.2020 02:00,7.5,767.7,769.0,0.2,75,Wind blowing from the east-northeast,1,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,16.2,,,2500 or more  or no clouds.,,,18.0,3.4,No precipitation,12,,,,
01.04.2020 23:00,8.8,767.5,768.7,0.6,64,Wind blowing from the south-southwest,1,,9,70 – 80%.,Cloud development not observed or not observable. ,,,8.7,16.2,,,2500 or more  or no clouds.,,,20.0,2.4,No precipitation,12,,,,
01.04.2020 20:00,10.1,766.9,768.1,1.2,63,Wind blowing from the east-northeast,2,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,16.2,,,2500 or more  or no clouds.,,,18.0,3.4,No precipitation,12,,,,
01.04.2020 17:00,13.4,765.7,767.0,-0.1,58,Wind blowing from the north-east,4,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,16.2,,,2500 or more  or no clouds.,,,9.0,5.3,No precipitation,12,,,,
01.04.2020 14:00,15.3,765.8,767.1,-1.4,55,Wind blowing from the north-east,5,,8,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,16.2,,,2500 or more  or no clouds.,,,6.0,6.3,No precipitation,12,,,,
01.04.2020 11:00,14.8,767.2,768.5,0.9,64,Wind blowing from the north-east,5,,8,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,14.9,,,2500 or more  or no clouds.,,,3.7,8.1,0.1,12,,,,
01.04.2020 08:00,10.9,766.3,767.5,1.6,97,Wind blowing from the west-northwest,1,,3,60%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,12.7,,,2500 or more  or no clouds.,,,2.0,10.4,1.0,12,,,,
01.04.2020 05:00,9.3,764.7,766.0,0.8,98,Wind blowing from the west-southwest,1,,3,100%.,Mist. ,,,9.3,12.7,,,2000-2500,,,1.2,9.0,5.0,12,,,,
01.04.2020 02:00,9.6,763.9,765.1,0.0,98,Wind blowing from the north,1,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,12.7,,,100-200,,,1.7,9.3,5.0,12,,,,
31.03.2020 23:00,9.5,763.9,765.1,1.2,97,Wind blowing from the east-southeast,1,,4,100%.,Rain (not freezing) not falling as shower(s). ,,,9.5,12.7,,,1500-2000,,,3.2,9.0,5.0,12,,,,
31.03.2020 20:00,9.9,762.7,763.9,1.2,96,Wind blowing from the east-southeast,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,12.7,,,200-300,,,2.9,9.3,4.0,12,,,,
31.03.2020 17:00,10.9,761.5,762.7,0.0,89,Wind blowing from the north-east,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,12.7,,,1000-1500,,,5.0,9.2,0.2,12,,,,
31.03.2020 14:00,12.3,761.5,762.8,-1.5,68,Wind blowing from the east-northeast,2,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,13.5,,,1500-2000,,,15.0,6.6,No precipitation,12,,,,
31.03.2020 11:00,12.1,763.0,764.3,-0.2,71,Wind blowing from the east,2,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,14.0,,,1500-2000,,,13.0,7.0,No precipitation,12,,,,
31.03.2020 08:00,10.4,763.2,764.5,-0.3,85,Wind blowing from the east,2,,,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,14.0,,,2500 or more  or no clouds.,,,7.0,8.0,No precipitation,12,,,,
31.03.2020 05:00,10.1,763.5,764.8,-0.6,89,Wind blowing from the west-northwest,1,,5,100%.,Cloud development not observed or not observable. ,,,7.1,14.0,,,1000-1500,,,7.0,8.4,No precipitation,12,,,,
31.03.2020 02:00,10.5,764.1,765.4,-0.7,85,Wind blowing from the south-southeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,14.0,,,1000-1500,,,9.0,8.1,No precipitation,12,,,,
30.03.2020 23:00,11.5,764.8,766.0,0.6,76,Wind blowing from the south-east,3,,5,100%.,Cloud development not observed or not observable. ,,,,14.0,,,1000-1500,,,12.0,7.4,No precipitation,12,,,,
30.03.2020 20:00,11.6,764.2,765.4,0.9,78,Wind blowing from the north,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,14.0,,,1000-1500,,,10.0,7.9,No precipitation,12,,,,
30.03.2020 17:00,12.7,763.3,764.5,-0.7,66,Wind blowing from the south-east,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,14.0,,,1000-1500,,,18.0,6.5,No precipitation,12,,,,
30.03.2020 14:00,13.0,764.0,765.3,-1.2,63,Wind blowing from the west-southwest,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,14.0,,,1000-1500,,,22.0,6.1,No precipitation,12,,,,
30.03.2020 11:00,12.9,765.2,766.5,0.0,55,Wind blowing from the east-northeast,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,12.9,,,1000-1500,,,17.0,4.1,No precipitation,12,,,,
30.03.2020 08:00,9.4,765.2,766.5,0.5,70,Wind blowing from the north,3,,4,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,11.3,,,2500 or more  or no clouds.,,,13.0,4.2,No precipitation,12,,,,
30.03.2020 05:00,7.2,764.7,766.0,-0.1,82,Wind blowing from the north-northeast,1,,5,100%.,Cloud development not observed or not observable. ,,,5.4,11.3,,,1000-1500,,,14.0,4.3,No precipitation,12,,,,
30.03.2020 02:00,7.4,764.8,766.1,-0.1,85,Wind blowing from the north,0,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,11.3,,,1000-1500,,,15.0,5.0,No precipitation,12,,,,
29.03.2020 23:00,7.4,764.9,766.2,0.7,83,Wind blowing from the south-southwest,2,,6,100%.,Cloud development not observed or not observable. ,,,5.4,11.3,,,2000-2500,,,20.0,4.7,No precipitation,12,,,,
29.03.2020 20:00,8.4,764.2,765.4,0.3,65,Wind blowing from the south-southeast,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,11.3,,,2500 or more  or no clouds.,,,28.0,2.2,No precipitation,12,,,,
29.03.2020 17:00,10.0,763.9,765.1,-1.2,54,Wind blowing from the east,3,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,11.7,,,2500 or more  or no clouds.,,,30.0,0.9,No precipitation,12,,,,
29.03.2020 14:00,10.9,765.1,766.4,-1.6,51,Wind blowing from the east-southeast,3,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,13.2,,,2500 or more  or no clouds.,,,19.0,1.2,No precipitation,12,,,,
29.03.2020 11:00,10.4,766.7,768.0,-0.1,39,Wind blowing from the east,3,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,13.2,,,2500 or more  or no clouds.,,,23.0,-3.0,No precipitation,12,,,,
29.03.2020 08:00,7.8,766.8,768.1,0.2,68,Wind blowing from the north-northeast,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,,,,2500 or more  or no clouds.,,,15.0,2.3,No precipitation,12,,,,
29.03.2020 05:00,5.6,766.6,767.8,-0.8,73,Wind blowing from the south,0,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,,,5.5,13.2,,,2500 or more  or no clouds.,,,20.0,1.1,No precipitation,12,,,,
29.03.2020 02:00,6.3,767.4,768.7,-0.1,69,Wind blowing from the south-southwest,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,13.2,,,2500 or more  or no clouds.,,,22.0,1.0,No precipitation,12,,,,
28.03.2020 23:00,6.3,767.5,768.8,-0.6,71,Wind blowing from the east,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,,,5.8,13.2,,,2500 or more  or no clouds.,,,15.0,1.4,No precipitation,12,,,,
28.03.2020 20:00,8.0,768.1,769.3,1.2,53,Wind blowing from the east,1,,7,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,13.2,,,2500 or more  or no clouds.,,,21.0,-1.0,No precipitation,12,,,,
28.03.2020 17:00,11.8,766.9,768.2,-1.5,45,Wind blowing from the east-northeast,3,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,13.2,,,1000-1500,,,21.0,0.3,No precipitation,12,,,,
28.03.2020 14:00,12.4,768.4,769.6,-1.5,35,Wind blowing from the north-east,3,,7,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,12.8,,,600-1000,,,27.0,-2.6,No precipitation,12,,,,
28.03.2020 11:00,10.1,769.9,771.2,-0.2,45,Wind blowing from the north-east,4,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,12.5,,,2500 or more  or no clouds.,,,30.0,-1.3,No precipitation,12,,,,
28.03.2020 08:00,6.9,770.1,771.4,1.2,58,Wind blowing from the north,2,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,12.5,,,2500 or more  or no clouds.,,,30.0,-0.8,1.0,12,,,,
28.03.2020 05:00,6.1,768.9,770.2,0.0,62,Wind blowing from the north,2,,6,100%.,Cloud development not observed or not observable. ,,,5.8,12.5,,,2500 or more  or no clouds.,,,30.0,-0.8,1.0,12,,,,
28.03.2020 02:00,6.2,768.9,770.2,-0.3,80,Wind blowing from the north-west,1,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,12.5,,,2500 or more  or no clouds.,,,23.0,3.0,1.0,12,,,,
27.03.2020 23:00,5.9,769.2,770.5,0.7,82,Wind blowing from the south-southwest,3,,11,100%.,Rain (not freezing) not falling as shower(s). ,,,5.8,12.5,,,1500-2000,,,26.0,3.1,1.0,12,,,,
27.03.2020 20:00,8.8,768.5,769.8,1.6,58,Wind blowing from the east-northeast,2,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,12.6,,,2500 or more  or no clouds.,,,18.0,1.0,No precipitation,12,,,,
27.03.2020 17:00,10.5,766.9,768.2,-0.7,45,Wind blowing from the north-northeast,4,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,12.9,,,2500 or more  or no clouds.,,,21.0,-0.9,No precipitation,12,,,,
27.03.2020 14:00,12.5,767.6,768.9,-0.8,45,Wind blowing from the north-east,5,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,14.4,,,2500 or more  or no clouds.,,,24.0,0.9,No precipitation,12,,,,
