Local time in Tonghe,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 08:00,2.7,754.3,764.7,-0.5,52,Wind blowing from the south,4,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,9.7,,,2500 or more  or no clouds.,,,17.0,-6.2,No precipitation,12,,,,
06.04.2020 05:00,-2.9,754.8,765.1,-0.4,70,Wind blowing from the south-west,4,,8,,Cloud development not observed or not observable. ,,,-5.3,9.7,,,2500 or more  or no clouds.,,,23.0,-7.6,No precipitation,12,,,,
06.04.2020 02:00,-2.7,755.2,765.5,-0.4,74,Wind blowing from the south-west,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,9.7,,,2500 or more  or no clouds.,,,25.0,-6.7,No precipitation,12,,,,
05.04.2020 23:00,-0.6,755.6,766.0,-0.2,59,Wind blowing from the west-northwest,2,,,,Cloud development not observed or not observable. ,,,-5.3,9.7,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
05.04.2020 20:00,-1.3,755.8,766.2,1.0,70,Wind blowing from the west-southwest,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,9.7,,,2500 or more  or no clouds.,,,30.0,-6.1,No precipitation,12,,,,
05.04.2020 17:00,8.2,754.8,765.2,-0.5,33,Wind blowing from the west,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,9.7,,,2500 or more  or no clouds.,,,30.0,-7.1,No precipitation,12,,,,
05.04.2020 14:00,9.2,755.3,765.7,-1.4,34,Wind blowing from the west,10,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,9.5,,,2500 or more  or no clouds.,,,30.0,-5.8,No precipitation,12,,,,
05.04.2020 11:00,6.3,756.7,767.0,-1.2,45,Wind blowing from the west,10,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,6.7,,,2500 or more  or no clouds.,,,30.0,-4.8,No precipitation,12,,,,
05.04.2020 08:00,1.8,757.9,768.3,0.7,57,Wind blowing from the west,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,6.7,,,2500 or more  or no clouds.,,,30.0,-6.0,No precipitation,12,,,,
05.04.2020 05:00,-5.3,757.2,767.7,0.2,80,Wind blowing from the west,2,,8,,Cloud development not observed or not observable. ,,,-5.3,6.7,,,2500 or more  or no clouds.,,,30.0,-8.2,No precipitation,12,,,,
05.04.2020 02:00,-2.8,757.0,767.4,0.4,65,Wind blowing from the west,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,6.7,,,2500 or more  or no clouds.,,,30.0,-8.5,No precipitation,12,,,,
04.04.2020 23:00,0.2,756.6,767.0,0.1,52,Wind blowing from the north-west,3,,13,,Cloud development not observed or not observable. ,,,-2.7,6.7,,,2500 or more  or no clouds.,,,30.0,-8.7,No precipitation,12,,,,
04.04.2020 20:00,-0.2,756.5,767.0,1.7,54,Wind blowing from the north-west,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,6.7,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
04.04.2020 17:00,5.2,754.8,765.1,0.6,37,Wind blowing from the north-west,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,6.7,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,12,,,,
04.04.2020 14:00,5.7,754.2,764.5,-0.5,33,Wind blowing from the north-west,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,9.0,,,2500 or more  or no clouds.,,,30.0,-9.3,No precipitation,12,,,,
04.04.2020 11:00,2.3,754.7,765.1,0.4,37,Wind blowing from the north-west,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
04.04.2020 08:00,-0.4,754.3,764.8,1.1,39,Wind blowing from the north-west,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
04.04.2020 05:00,-1.8,753.2,763.6,0.8,48,Wind blowing from the north-west,5,,,,Cloud development not observed or not observable. ,,,-4.1,,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
04.04.2020 02:00,-0.9,752.4,762.7,0.8,49,Wind blowing from the north-northwest,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,11.2,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
03.04.2020 23:00,-0.7,751.6,761.9,0.6,69,Wind blowing from the north-west,6,,17,,Cloud development not observed or not observable. ,,,-4.1,11.2,,,2500 or more  or no clouds.,,,30.0,-5.7,No precipitation,12,,,,
03.04.2020 20:00,0.0,751.0,761.4,4.5,55,Wind blowing from the north-northwest,5,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,11.2,,,2500 or more  or no clouds.,,,30.0,-8.0,No precipitation,12,,,,
03.04.2020 17:00,2.3,746.5,756.9,2.4,63,Wind blowing from the west-northwest,10,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,11.2,,,2500 or more  or no clouds.,,,30.0,-4.0,No precipitation,12,,,,
03.04.2020 14:00,6.2,744.1,754.3,-0.5,79,Wind blowing from the west,4,,17,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,12.1,,,2500 or more  or no clouds.,,,7.0,2.7,No precipitation,12,,,,
03.04.2020 11:00,8.7,744.6,754.8,-3.4,30,Wind blowing from the south,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,13.0,,,2500 or more  or no clouds.,,,30.0,-7.9,No precipitation,12,,,,
03.04.2020 08:00,4.0,748.0,758.2,-2.3,40,Wind blowing from the south,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,13.0,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
03.04.2020 05:00,-3.5,750.3,760.6,-1.9,70,Wind blowing from the south-southwest,2,,,,Cloud development not observed or not observable. ,,,-4.7,13.0,,,2500 or more  or no clouds.,,,30.0,-8.2,No precipitation,12,,,,
03.04.2020 02:00,-1.1,752.2,762.4,-0.8,49,Wind blowing from the west-northwest,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,13.0,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
02.04.2020 23:00,-1.6,753.0,763.3,0.2,64,Wind blowing from the west-southwest,2,,19,,Cloud development not observed or not observable. ,,,-4.7,13.0,,,2500 or more  or no clouds.,,,30.0,-7.5,No precipitation,12,,,,
02.04.2020 20:00,1.4,752.8,763.0,2.4,40,Wind blowing from the west-northwest,4,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,13.0,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
02.04.2020 17:00,8.1,750.4,760.7,2.1,26,Wind blowing from the west-northwest,7,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,13.0,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
02.04.2020 14:00,12.0,748.3,758.5,0.3,36,Wind blowing from the west,11,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,13.0,,,2500 or more  or no clouds.,,,30.0,-2.6,No precipitation,12,,,,
02.04.2020 11:00,10.1,748.0,758.2,-0.3,42,Wind blowing from the west,10,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,10.7,,,2500 or more  or no clouds.,,,14.0,-2.2,No precipitation,12,,,,
02.04.2020 08:00,5.5,748.3,758.5,0.0,49,Wind blowing from the south-southwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,10.7,,,2500 or more  or no clouds.,,,14.0,-4.4,No precipitation,12,,,,
02.04.2020 05:00,-3.8,748.3,758.6,-0.3,82,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,,,-3.9,10.7,,,2500 or more  or no clouds.,,,9.0,-6.4,No precipitation,12,,,,
02.04.2020 02:00,1.3,748.6,758.7,-1.3,56,Wind blowing from the south,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,10.7,,,2500 or more  or no clouds.,,,13.0,-6.5,No precipitation,12,,,,
01.04.2020 23:00,0.7,749.9,760.1,-0.8,65,Wind blowing from the south-southwest,2,,15,,Haze. ,,,-2.8,10.7,,,2500 or more  or no clouds.,,,7.0,-5.3,No precipitation,12,,,,
01.04.2020 20:00,4.6,750.7,760.9,0.4,43,Wind blowing from the south-southwest,4,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,10.7,,,2500 or more  or no clouds.,,,30.0,-6.9,No precipitation,12,,,,
01.04.2020 17:00,9.5,750.3,760.5,-1.0,34,Wind blowing from the west,4,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,10.7,,,2500 or more  or no clouds.,,,30.0,-5.6,No precipitation,12,,,,
01.04.2020 14:00,10.3,751.3,761.6,-2.1,26,Wind blowing from the west,9,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,12.3,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
01.04.2020 11:00,7.8,753.4,763.6,-0.9,33,Wind blowing from the west,8,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,12.3,,,2500 or more  or no clouds.,,,30.0,-7.5,No precipitation,12,,,,
01.04.2020 08:00,2.6,754.3,764.6,0.3,52,Wind blowing from the west,6,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,,,,2500 or more  or no clouds.,,,28.0,-6.3,No precipitation,12,,,,
01.04.2020 05:00,-1.5,754.0,764.2,0.9,70,Wind blowing from the west,5,,9,,Cloud development not observed or not observable. ,,,-2.8,12.3,,,2500 or more  or no clouds.,,,30.0,-6.3,No precipitation,12,,,,
01.04.2020 02:00,-2.2,753.1,763.4,0.6,76,Wind blowing from the west-northwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,12.3,,,2500 or more  or no clouds.,,,30.0,-5.9,No precipitation,12,,,,
31.03.2020 23:00,-0.5,752.5,762.7,1.5,76,Wind blowing from the west-southwest,2,,17,,Cloud development not observed or not observable. ,,,-1.0,12.3,,,2500 or more  or no clouds.,,,30.0,-4.2,No precipitation,12,,,,
31.03.2020 20:00,1.4,751.0,761.3,2.1,70,Wind blowing from the west-southwest,1,,17,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,12.3,,,1500-2000,,,21.0,-3.5,No precipitation,12,,,,
31.03.2020 17:00,10.1,748.9,759.1,0.6,45,Wind blowing from the west,6,,17,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,12.7,,,600-1000,,,30.0,-1.3,No precipitation,12,,,,
31.03.2020 14:00,10.5,748.3,758.4,0.3,53,Wind blowing from the west,9,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,14.8,,,2500 or more  or no clouds.,,,12.0,1.3,No precipitation,12,,,,
31.03.2020 11:00,12.1,748.0,758.0,0.0,51,Wind blowing from the west,5,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,14.8,,,2500 or more  or no clouds.,,,8.0,2.3,No precipitation,12,,,,
31.03.2020 08:00,6.3,748.0,758.1,0.7,67,Wind blowing from the west-southwest,1,,6,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,14.8,,,2500 or more  or no clouds.,,,4.7,0.6,No precipitation,12,,,,
31.03.2020 05:00,2.1,747.3,757.3,-0.9,75,Wind blowing from the west-southwest,1,,6,,Cloud development not observed or not observable. ,,,-2.0,14.8,,,2500 or more  or no clouds.,,,10.0,-2.0,No precipitation,12,,,,
31.03.2020 02:00,6.5,748.2,758.2,-0.5,53,Wind blowing from the south,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,14.8,,,2500 or more  or no clouds.,,,18.0,-2.6,No precipitation,12,,,,
30.03.2020 23:00,3.1,748.7,758.8,0.3,66,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,,,-2.0,14.8,,,2500 or more  or no clouds.,,,7.0,-2.8,No precipitation,12,,,,
30.03.2020 20:00,8.8,748.4,758.5,0.2,51,Wind blowing from the south,3,,6,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,14.8,,,,,,1.6,-1.0,No precipitation,12,,,,
30.03.2020 17:00,12.7,748.2,758.3,-0.3,33,Wind blowing from the east-northeast,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,14.8,,,,,,21.0,-3.1,No precipitation,12,,,,
30.03.2020 14:00,14.1,748.5,758.5,-1.7,27,Wind blowing from the west-northwest,1,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,14.1,,,2500 or more  or no clouds.,,,21.0,-4.6,No precipitation,12,,,,
30.03.2020 11:00,10.9,750.2,760.3,-0.6,34,Wind blowing from the west-northwest,4,,9,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,12.5,,,2500 or more  or no clouds.,,,22.0,-4.3,No precipitation,12,,,,
30.03.2020 08:00,6.0,750.8,761.0,0.5,51,Wind blowing from the south-west,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,12.5,,,,,,14.0,-3.4,No precipitation,12,,,,
30.03.2020 05:00,1.1,750.3,760.5,0.8,60,Wind blowing from the south,2,,,,Cloud development not observed or not observable. ,,,-4.3,12.5,,,2500 or more  or no clouds.,,,15.0,-5.8,No precipitation,12,,,,
30.03.2020 02:00,1.5,749.5,759.7,0.6,61,Wind blowing from the north,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,12.5,,,2500 or more  or no clouds.,,,22.0,-5.2,No precipitation,12,,,,
29.03.2020 23:00,4.2,748.9,759.1,0.1,52,Wind blowing from the south-southeast,3,,10,,Cloud development not observed or not observable. ,,,-4.9,12.5,,,2500 or more  or no clouds.,,,23.0,-4.8,No precipitation,12,,,,
29.03.2020 20:00,4.9,748.8,759.0,0.8,55,Wind blowing from the south,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,12.5,,,,,,21.0,-3.6,No precipitation,12,,,,
29.03.2020 17:00,10.3,748.0,758.2,-1.3,37,Wind blowing from the south-southwest,6,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,12.5,,,,,,30.0,-3.7,No precipitation,12,,,,
29.03.2020 14:00,11.7,749.3,759.5,-1.9,25,Wind blowing from the south-west,4,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,12.2,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
29.03.2020 11:00,8.5,751.2,761.5,-1.4,31,Wind blowing from the west-southwest,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,8.8,,,,,,30.0,-7.7,No precipitation,12,,,,
29.03.2020 08:00,3.4,752.6,763.0,-0.1,49,Wind blowing from the west-northwest,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,3.6,,,,,,27.0,-6.3,No precipitation,12,,,,
29.03.2020 05:00,-3.0,752.7,763.1,-0.1,66,Wind blowing from the south-southeast,2,,10,,Cloud development not observed or not observable. ,,,-5.4,3.6,,,2500 or more  or no clouds.,,,15.0,-8.5,No precipitation,12,,,,
29.03.2020 02:00,-1.6,752.8,763.2,-0.3,63,Wind blowing from the south,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,3.6,,,2500 or more  or no clouds.,,,30.0,-7.9,No precipitation,12,,,,
28.03.2020 23:00,-1.7,753.1,763.6,0.0,65,Wind blowing from the south,2,,17,,Cloud development not observed or not observable. ,,,-5.7,3.6,,,2500 or more  or no clouds.,,,26.0,-7.4,No precipitation,12,,,,
28.03.2020 20:00,-0.3,753.1,763.6,0.5,50,Wind blowing from the south,3,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,3.6,,,,,,28.0,-9.5,No precipitation,12,,,,
28.03.2020 17:00,2.9,752.6,763.1,-0.6,37,Wind blowing from the west,7,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,3.6,,,,,,30.0,-10.4,No precipitation,12,,,,
28.03.2020 14:00,3.1,753.2,763.7,-1.2,33,Wind blowing from the west,10,,17,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,3.3,,,600-1000,,,28.0,-11.6,No precipitation,12,,,,
28.03.2020 11:00,1.1,754.4,764.9,-0.2,39,Wind blowing from the west,12,,16,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,2.8,,,600-1000,,,30.0,-11.6,No precipitation,12,,,,
28.03.2020 08:00,-2.4,754.6,765.1,1.5,60,Wind blowing from the west,8,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,,,,,,,30.0,-9.1,No precipitation,12,,,,
28.03.2020 05:00,-5.4,753.1,763.6,0.6,74,Wind blowing from the west,5,,11,,Cloud development not observed or not observable. ,,,-5.7,2.8,,,2500 or more  or no clouds.,,,30.0,-9.3,No precipitation,12,,,,
28.03.2020 02:00,-4.9,752.5,763.0,0.3,77,Wind blowing from the west,4,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,2.8,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,12,,,,
27.03.2020 23:00,-4.5,752.2,762.7,0.3,79,Wind blowing from the west-southwest,4,,18,,Cloud development not observed or not observable. ,,,-4.6,2.8,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
27.03.2020 20:00,-3.3,751.9,762.4,0.8,68,Wind blowing from the west-southwest,4,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,2.8,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
27.03.2020 17:00,0.1,751.1,761.6,0.1,52,Wind blowing from the west,8,,18,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,3.1,,,600-1000,,,30.0,-8.6,No precipitation,12,,,,
27.03.2020 14:00,2.5,751.0,761.4,-1.2,37,Wind blowing from the west,10,,18,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,4.0,,,600-1000,,,28.0,-10.7,No precipitation,12,,,,
