Local time in Dunhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,16.5,756.7,763.2,-1.2,69,Wind blowing from the south-southwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,17.7,,,2500 or more  or no clouds.,,,9.0,10.8,No precipitation,12,,,,
06.04.2020 14:00,16.5,757.9,764.4,-1.9,69,Wind blowing from the north,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,16.6,,,2500 or more  or no clouds.,,,9.0,10.8,No precipitation,12,,,,
06.04.2020 11:00,15.4,759.8,766.4,0.5,74,Wind blowing from the south-west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,15.6,,,2500 or more  or no clouds.,,,7.0,10.8,No precipitation,12,,,,
06.04.2020 08:00,13.1,759.3,765.9,0.3,93,Wind blowing from the north-northwest,1,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,14.9,,,2500 or more  or no clouds.,,,4.2,12.0,No precipitation,12,,,,
06.04.2020 05:00,12.4,759.0,765.6,-0.5,93,Calm  no wind,0,,,,Mist. ,,,12.4,14.9,,,2500 or more  or no clouds.,,,4.7,11.3,No precipitation,12,,,,
06.04.2020 02:00,12.6,759.5,766.1,-1.4,91,Wind blowing from the east,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,14.9,,,2500 or more  or no clouds.,,,5.0,11.2,No precipitation,12,,,,
05.04.2020 23:00,13.3,760.9,767.5,0.6,87,Wind blowing from the south-southwest,1,,5,,Mist. ,,,13.0,14.9,,,2500 or more  or no clouds.,,,6.0,11.2,No precipitation,12,,,,
05.04.2020 20:00,14.0,760.3,766.9,0.9,79,Wind blowing from the north,0,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,14.9,,,2500 or more  or no clouds.,,,9.0,10.4,No precipitation,12,,,,
05.04.2020 17:00,14.4,759.4,766.0,-1.3,74,Wind blowing from the north-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,16.8,,,2500 or more  or no clouds.,,,11.0,9.8,No precipitation,12,,,,
05.04.2020 14:00,14.5,760.7,767.3,-0.9,78,Wind blowing from the north-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,,,,2500 or more  or no clouds.,,,10.0,10.7,No precipitation,12,,,,
05.04.2020 11:00,13.9,761.6,768.2,0.3,82,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,,,,2500 or more  or no clouds.,,,11.0,10.9,No precipitation,12,,,,
05.04.2020 08:00,13.3,761.3,767.9,1.6,93,Wind blowing from the north-northwest,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,,,,2500 or more  or no clouds.,,,5.0,12.2,0.1,12,,,,
05.04.2020 05:00,13.2,759.7,766.3,-1.1,93,Wind blowing from the east-northeast,1,,3,,Mist. ,,,10.6,16.8,,,2500 or more  or no clouds.,,,6.0,12.1,0.1,12,,,,
05.04.2020 02:00,13.5,760.8,767.4,-0.7,91,Wind blowing from the west-northwest,1,,3,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,16.8,,,2500 or more  or no clouds.,,,7.0,12.1,0.1,12,,,,
04.04.2020 23:00,13.8,761.5,768.1,0.4,93,Wind blowing from the west,1,,4,,Mist. ,,,10.5,16.8,,,2500 or more  or no clouds.,,,4.7,12.7,0.1,12,,,,
04.04.2020 20:00,14.4,761.1,767.7,0.8,87,Calm  no wind,0,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,16.8,,,2500 or more  or no clouds.,,,6.0,12.3,No precipitation,12,,,,
04.04.2020 17:00,16.7,760.3,766.9,-0.6,70,Wind blowing from the north,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,16.8,,,2500 or more  or no clouds.,,,10.0,11.2,No precipitation,12,,,,
04.04.2020 14:00,15.5,760.9,767.5,-1.8,73,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,16.0,,,2500 or more  or no clouds.,,,10.0,10.7,No precipitation,12,,,,
04.04.2020 11:00,13.5,762.7,769.4,0.3,87,Wind blowing from the west-southwest,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,13.5,,,2500 or more  or no clouds.,,,7.0,11.4,0.2,12,,,,
04.04.2020 08:00,11.2,762.4,769.0,1.7,94,Wind blowing from the west-northwest,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,13.2,,,2500 or more  or no clouds.,,,5.0,10.3,1.0,12,,,,
04.04.2020 05:00,10.7,760.7,767.3,,96,Wind blowing from the north-northeast,1,,7,,Mist. ,,,10.5,13.2,,,2500 or more  or no clouds.,,,4.3,10.1,2.0,12,,,,
04.04.2020 02:00,10.5,760.6,767.2,,97,Wind blowing from the north-northwest,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,13.2,,,,,,3.1,10.0,1.0,6,,,,
03.04.2020 23:00,10.6,761.4,768.1,1.1,97,Wind blowing from the north,2,,7,,Rain (not freezing) not falling as shower(s). ,,,10.6,13.2,,,2500 or more  or no clouds.,,,3.1,10.1,4.0,12,,,,
03.04.2020 20:00,12.1,760.3,766.9,1.2,96,Wind blowing from the north,2,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,13.2,,,2500 or more  or no clouds.,,,3.5,11.5,7.0,12,,,,
03.04.2020 17:00,12.8,759.1,765.7,-0.3,94,Wind blowing from the north-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,13.2,,,2500 or more  or no clouds.,,,9.0,11.9,17.0,12,,,,
03.04.2020 14:00,13.0,759.4,766.0,-1.8,94,Wind blowing from the north-northeast,1,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,13.2,,,2500 or more  or no clouds.,,,15.0,12.1,22.0,12,,,,
03.04.2020 11:00,12.8,761.2,767.8,0.9,96,Wind blowing from the north,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,12.9,,,2500 or more  or no clouds.,,,6.0,12.2,27.0,12,,,,
03.04.2020 08:00,11.8,760.3,766.9,1.2,98,Wind blowing from the north-east,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.0,,,2500 or more  or no clouds.,,,3.2,11.5,30.0,12,,,,
03.04.2020 05:00,11.7,759.1,765.7,0.9,98,Wind blowing from the north-northwest,1,,5,,Rain  not freezing  intermittent  moderate at time of observation. ,,,,12.0,,,2500 or more  or no clouds.,,,3.1,11.4,22.0,12,,,,
03.04.2020 02:00,11.8,758.2,764.8,-2.1,98,Wind blowing from the east,2,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,12.0,,,2500 or more  or no clouds.,,,4.6,11.5,22.0,12,,,,
02.04.2020 23:00,11.8,760.3,766.9,1.5,98,Wind blowing from the north-northeast,1,,5,,Rain  not freezing  intermittent  moderate at time of observation. ,,,10.9,12.0,,,2500 or more  or no clouds.,,,2.8,11.5,23.0,12,,,,
02.04.2020 20:00,11.7,758.8,765.4,-0.6,98,Wind blowing from the south-east,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,12.4,,,2500 or more  or no clouds.,,,5.0,11.4,19.0,12,,,,
02.04.2020 17:00,11.7,759.4,766.0,0.9,97,Wind blowing from the west-northwest,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,4.2,11.2,23.0,12,,,,
02.04.2020 14:00,11.4,758.5,765.1,-1.5,97,Wind blowing from the north-northwest,1,,5,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,2.8,10.9,23.0,12,,,,
02.04.2020 11:00,11.4,760.0,766.6,0.2,96,Wind blowing from the west-southwest,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,3.2,10.8,17.0,12,,,,
02.04.2020 08:00,10.9,759.8,766.4,2.0,97,Wind blowing from the north,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Shower(s).,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,3.5,10.4,14.0,12,,,,
02.04.2020 05:00,10.9,757.8,764.4,-0.6,96,Wind blowing from the east-southeast,1,,5,,Mist. ,,,10.2,16.4,,,2500 or more  or no clouds.,,,4.4,10.3,6.0,12,,,,
02.04.2020 02:00,11.6,758.4,765.0,-0.7,90,Wind blowing from the south-west,2,,4,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,16.4,,,2500 or more  or no clouds.,,,4.2,10.0,2.0,12,,,,
01.04.2020 23:00,12.1,759.1,765.7,1.0,85,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,,,10.2,16.4,,,2500 or more  or no clouds.,,,11.0,9.7,No precipitation,12,,,,
01.04.2020 20:00,12.4,758.1,764.7,0.7,82,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,16.4,,,2500 or more  or no clouds.,,,13.0,9.4,No precipitation,12,,,,
01.04.2020 17:00,13.3,757.4,764.0,-1.2,75,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,16.4,,,2500 or more  or no clouds.,,,16.0,9.0,No precipitation,12,,,,
01.04.2020 14:00,13.9,758.6,765.2,-1.6,72,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,16.4,,,2500 or more  or no clouds.,,,17.0,8.9,No precipitation,12,,,,
01.04.2020 11:00,13.8,760.2,766.8,0.3,75,Wind blowing from the north-northeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,14.0,,,2500 or more  or no clouds.,,,15.0,9.5,No precipitation,12,,,,
01.04.2020 08:00,11.0,759.9,766.6,1.2,94,Wind blowing from the north,0,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,11.0,,,2500 or more  or no clouds.,,,9.0,10.1,No precipitation,12,,,,
01.04.2020 05:00,10.2,758.7,765.4,0.3,96,Wind blowing from the north-east,1,,2,,Mist. ,,,,10.8,,,2500 or more  or no clouds.,,,6.0,9.6,No precipitation,12,,,,
01.04.2020 02:00,10.5,758.4,765.1,-0.7,92,Wind blowing from the south-southwest,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,10.8,,,2500 or more  or no clouds.,,,10.0,9.3,No precipitation,12,,,,
31.03.2020 23:00,10.6,759.1,765.7,1.2,92,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,8.9,10.8,,,2500 or more  or no clouds.,,,12.0,9.4,No precipitation,12,,,,
31.03.2020 20:00,10.7,757.9,764.6,1.5,89,Wind blowing from the south-east,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,10.7,,,1500-2000,,,13.0,9.0,0.7,12,,,,
31.03.2020 17:00,10.5,756.4,763.1,-0.3,89,Wind blowing from the north,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,10.5,,,1500-2000,,,15.0,8.8,0.8,12,,,,
31.03.2020 14:00,10.3,756.7,763.4,-0.8,89,Wind blowing from the north-west,1,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,10.4,,,1500-2000,,,15.0,8.6,1.0,12,,,,
31.03.2020 11:00,9.6,757.5,764.2,0.2,95,Wind blowing from the north-west,1,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,9.9,,,300-600,,,9.0,8.8,1.0,12,,,,
31.03.2020 08:00,9.3,757.3,764.0,1.2,96,Wind blowing from the north,0,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,300-600,,,3.6,8.7,2.0,12,,,,
31.03.2020 05:00,9.2,756.1,762.7,-1.3,96,Wind blowing from the north-west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,,,,,2500 or more  or no clouds.,,,5.0,8.6,6.0,12,,,,
31.03.2020 02:00,9.1,757.4,764.1,-1.0,95,Wind blowing from the north,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,9.9,,,2500 or more  or no clouds.,,,7.0,8.3,6.0,12,,,,
30.03.2020 23:00,9.0,758.4,765.1,1.3,96,Wind blowing from the north-northeast,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,,9.9,,,2500 or more  or no clouds.,,,5.0,8.4,6.0,12,,,,
30.03.2020 20:00,9.0,757.1,763.8,0.6,95,Wind blowing from the north-northeast,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,9.9,,,300-600,,,6.0,8.2,6.0,12,,,,
30.03.2020 17:00,9.2,756.5,763.2,-1.0,93,Wind blowing from the east,1,,3,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,9.9,,,300-600,,,17.0,8.1,15.0,12,,,,
30.03.2020 14:00,9.5,757.5,764.2,-1.3,89,Wind blowing from the north-northwest,1,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,9.9,,,1000-1500,,,21.0,7.8,25.0,12,,,,
30.03.2020 11:00,9.0,758.8,765.4,0.3,91,Wind blowing from the north,1,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,9.0,,,300-600,,,23.0,7.6,27.0,12,,,,
30.03.2020 08:00,7.7,758.5,765.1,0.3,97,Wind blowing from the north-northeast,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,7.5,,,,300-600,,,9.0,7.3,35.0,12,,,,
30.03.2020 05:00,7.6,758.2,764.9,0.0,97,Wind blowing from the north,1,,5,,Rain (not freezing) not falling as shower(s). ,,,7.5,8.5,,,2500 or more  or no clouds.,,,4.7,7.2,34.0,12,,,,
30.03.2020 02:00,7.7,758.2,764.9,-0.5,96,Wind blowing from the north,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,8.5,,,2500 or more  or no clouds.,,,8.0,7.1,31.0,12,,,,
29.03.2020 23:00,7.6,758.7,765.4,1.5,96,Wind blowing from the north-northeast,1,,5,,Rain  not freezing  intermittent  moderate at time of observation. ,,,7.6,8.5,,,2500 or more  or no clouds.,,,8.0,7.0,33.0,12,,,,
29.03.2020 20:00,7.8,757.2,763.9,0.8,96,Wind blowing from the north-northeast,2,,5,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,,,,300-600,,,6.0,7.2,27.0,12,,,,
29.03.2020 17:00,8.4,756.4,763.0,-0.2,95,Wind blowing from the north,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,,,,300-600,,,10.0,7.6,20.0,12,,,,
29.03.2020 14:00,8.3,756.6,763.3,-1.3,93,Wind blowing from the east-northeast,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,,,,300-600,,,18.0,7.2,18.0,12,,,,
29.03.2020 11:00,8.1,757.9,764.5,0.8,95,Wind blowing from the north,2,,5,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,,,,300-600,,,7.0,7.3,14.0,12,,,,
29.03.2020 08:00,7.8,757.1,763.8,1.3,97,Wind blowing from the north-northeast,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,11.4,,,300-600,,,4.2,7.4,10.0,12,,,,
29.03.2020 05:00,7.9,755.8,762.4,-1.8,94,Wind blowing from the east-northeast,1,,7,,Rain  not freezing  intermittent  moderate at time of observation. ,,,7.9,11.4,,,2500 or more  or no clouds.,,,5.0,7.0,5.0,12,,,,
29.03.2020 02:00,8.1,757.6,764.3,-2.8,84,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,11.4,,,2500 or more  or no clouds.,,,28.0,5.6,No precipitation,12,,,,
28.03.2020 23:00,8.2,760.4,767.1,0.7,81,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,,,8.2,12.7,,,2500 or more  or no clouds.,,,27.0,5.1,No precipitation,12,,,,
28.03.2020 20:00,10.0,759.7,766.3,-0.1,74,Wind blowing from the east,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,14.1,,,1500-2000,,,25.0,5.6,No precipitation,12,,,,
28.03.2020 17:00,10.9,759.8,766.5,-0.5,69,Wind blowing from the north-east,3,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,,,,1500-2000,,,27.0,5.4,0.4,12,,,,
28.03.2020 14:00,10.8,760.3,767.0,-2.3,74,Wind blowing from the north,3,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,,,,1500-2000,,,24.0,6.4,1.0,12,,,,
28.03.2020 11:00,9.8,762.6,769.3,0.6,85,Wind blowing from the north-northeast,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,,,,1500-2000,,,23.0,7.4,3.0,12,,,,
28.03.2020 08:00,9.1,762.0,768.7,1.9,90,Wind blowing from the north-northeast,3,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,20.7,,,300-600,,,29.0,7.5,7.0,12,,,,
28.03.2020 05:00,9.2,760.1,766.7,0.7,94,Wind blowing from the north,2,,9,,Rain (not freezing) not falling as shower(s). ,,,9.1,20.7,,,2500 or more  or no clouds.,,,23.0,8.3,8.0,12,,,,
28.03.2020 02:00,10.4,759.4,766.0,1.6,94,Wind blowing from the north-northeast,4,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,20.7,,,2500 or more  or no clouds.,,,15.0,9.5,11.0,12,,,,
27.03.2020 23:00,12.6,757.8,764.3,2.6,96,Wind blowing from the north-northeast,3,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.6,20.7,,,2500 or more  or no clouds.,,,9.0,11.9,10.0,12,,,,
27.03.2020 20:00,14.1,755.2,761.6,1.2,93,Wind blowing from the north-northeast,4,,7,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,20.7,,,300-600,,,12.0,13.0,12.0,12,,,,
27.03.2020 17:00,15.2,754.0,760.4,-0.2,94,Wind blowing from the north,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,22.6,,,300-600,,,10.0,14.2,36.0,12,,,,
27.03.2020 14:00,17.6,754.2,760.6,-0.6,91,Wind blowing from the north-northwest,2,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,22.6,,,300-600,,,12.0,16.1,32.0,12,,,,
27.03.2020 11:00,19.6,754.8,761.2,0.1,92,Wind blowing from the north,1,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,,,,300-600,,,15.0,18.3,32.0,12,,,,
27.03.2020 08:00,18.6,754.7,761.1,2.3,97,Wind blowing from the west,3,,7,100%.,Rain  not freezing  intermittent  heavy at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,24.0,,,300-600,,,2.1,18.1,25.0,12,,,,
27.03.2020 05:00,17.6,752.4,758.8,-0.5,97,Wind blowing from the north-northwest,1,,3,,Cloud development not observed or not observable. ,,,17.6,24.0,,,2500 or more  or no clouds.,,,8.0,17.1,No precipitation,12,,,,
27.03.2020 02:00,18.8,752.9,759.3,-0.4,97,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,24.0,,,2500 or more  or no clouds.,,,7.0,18.3,2.0,12,,,,
