Local time in Beihai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 14:00,14.6,762.7,763.9,-1.2,96,Wind blowing from the north-northwest,3,,10,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,,,,2500 or more  or no clouds.,,,2.2,14.0,14.0,12,,,,
05.04.2020 11:00,14.7,763.9,765.2,0.9,96,Wind blowing from the north-northwest,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,,,,2500 or more  or no clouds.,,,5.0,14.1,9.0,12,,,,
05.04.2020 08:00,15.0,763.0,764.2,1.4,96,Wind blowing from the north-east,3,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,17.4,,,2500 or more  or no clouds.,,,5.0,14.4,9.0,12,,,,
05.04.2020 05:00,15.0,761.6,762.9,-1.0,94,Wind blowing from the north-northeast,2,,9,,Rain (not freezing) not falling as shower(s). ,,,14.9,17.4,,,2500 or more  or no clouds.,,,11.0,14.0,4.0,12,,,,
05.04.2020 02:00,15.1,762.6,763.9,-0.5,93,Wind blowing from the north-northwest,4,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,18.2,,,2500 or more  or no clouds.,,,6.0,14.0,1.0,12,,,,
04.04.2020 23:00,15.8,763.1,764.4,1.2,94,Wind blowing from the north,2,,8,,Rain (not freezing) not falling as shower(s). ,,,15.5,,,,2500 or more  or no clouds.,,,6.0,14.8,1.0,12,,,,
04.04.2020 20:00,16.1,761.9,763.2,1.0,93,Wind blowing from the north,2,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,,,,2500 or more  or no clouds.,,,6.0,15.0,0.5,12,,,,
04.04.2020 17:00,16.2,760.9,762.2,-1.0,92,Wind blowing from the north-east,4,,11,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,,,,2500 or more  or no clouds.,,,11.0,14.9,0.1,12,,,,
04.04.2020 14:00,16.8,761.9,763.2,-1.7,89,Wind blowing from the north-east,3,,11,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,20.6,,,2500 or more  or no clouds.,,,13.0,15.0,0.1,12,,,,
04.04.2020 11:00,15.6,763.6,764.8,1.2,95,Wind blowing from the north,4,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,20.8,,,2500 or more  or no clouds.,,,3.5,14.8,No precipitation,12,,,,
04.04.2020 08:00,16.5,762.4,763.7,1.8,93,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.5,20.8,,,2500 or more  or no clouds.,,,7.0,15.4,No precipitation,12,,,,
04.04.2020 05:00,17.1,760.6,761.8,-0.3,93,Wind blowing from the north,2,,7,,Rain (not freezing) not falling as shower(s). ,,,17.1,21.7,,,2500 or more  or no clouds.,,,5.0,16.0,No precipitation,12,,,,
04.04.2020 02:00,18.1,760.9,762.2,-0.3,92,Wind blowing from the north-northwest,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,21.7,,,2500 or more  or no clouds.,,,7.0,16.8,No precipitation,12,,,,
03.04.2020 23:00,18.9,761.2,762.4,1.5,91,Wind blowing from the north-northwest,3,,7,,Cloud development not observed or not observable. ,,,18.3,21.7,,,2500 or more  or no clouds.,,,12.0,17.4,No precipitation,12,,,,
03.04.2020 20:00,19.8,759.7,760.9,1.2,89,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,21.7,,,2500 or more  or no clouds.,,,9.0,17.9,No precipitation,12,,,,
03.04.2020 17:00,20.5,758.5,759.7,-1.2,87,Wind blowing from the north-east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,21.7,,,2500 or more  or no clouds.,,,9.0,18.3,,,,,,
03.04.2020 14:00,20.6,759.7,761.0,-1.8,91,Wind blowing from the north-northwest,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,21.7,,,2500 or more  or no clouds.,,,3.9,19.1,7.0,12,,,,
03.04.2020 11:00,18.7,761.5,762.7,0.7,98,Wind blowing from the north-northwest,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,21.7,,,2500 or more  or no clouds.,,,2.9,18.4,7.0,12,,,,
03.04.2020 08:00,19.4,760.8,762.1,1.9,98,Wind blowing from the north-west,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,21.7,,,2500 or more  or no clouds.,,,2.4,19.1,7.0,12,,,,
03.04.2020 05:00,19.6,758.9,760.2,0.1,98,Wind blowing from the north-northwest,2,,4,,Rain  not freezing  intermittent  moderate at time of observation. ,,,,20.9,,,2500 or more  or no clouds.,,,1.5,19.3,4.0,12,,,,
03.04.2020 02:00,20.3,758.8,760.1,-1.0,98,Wind blowing from the north,0,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,20.9,,,2500 or more  or no clouds.,,,2.8,20.0,0.4,12,,,,
02.04.2020 23:00,20.1,759.8,761.1,1.5,98,Wind blowing from the north-northwest,1,,5,,Mist. ,,,,20.9,,,2500 or more  or no clouds.,,,2.7,19.8,0.4,12,,,,
02.04.2020 20:00,20.3,758.3,759.6,0.1,97,Wind blowing from the east-northeast,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,20.8,,,2500 or more  or no clouds.,,,2.5,19.8,0.3,12,,,,
02.04.2020 17:00,19.8,758.2,759.5,-0.9,97,Wind blowing from the north,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,20.8,,,2500 or more  or no clouds.,,,2.2,19.3,0.1,12,,,,
02.04.2020 14:00,20.4,759.1,760.4,-1.8,95,Wind blowing from the north-northwest,2,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,20.8,,,2500 or more  or no clouds.,,,1.9,19.6,0.4,12,,,,
02.04.2020 11:00,19.8,760.9,762.2,0.9,97,Wind blowing from the north-west,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,20.2,,,2500 or more  or no clouds.,,,1.8,19.3,0.4,12,,,,
02.04.2020 08:00,17.6,760.0,761.2,1.3,99,Wind blowing from the north,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.2,19.5,,,2500 or more  or no clouds.,,,2.0,17.4,0.4,12,,,,
02.04.2020 05:00,16.5,758.7,760.0,-0.1,98,Wind blowing from the east-northeast,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,16.2,19.5,,,2500 or more  or no clouds.,,,2.4,16.2,0.4,12,,,,
02.04.2020 02:00,17.3,758.8,760.1,-0.6,98,Wind blowing from the north-northeast,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.2,19.5,,,2500 or more  or no clouds.,,,1.7,17.0,No precipitation,12,,,,
01.04.2020 23:00,18.1,759.4,760.7,1.0,97,Wind blowing from the north-northeast,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,15.9,19.5,,,2500 or more  or no clouds.,,,1.8,17.6,No precipitation,12,,,,
01.04.2020 20:00,18.1,758.4,759.7,1.1,92,Wind blowing from the north-northeast,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,19.5,,,2500 or more  or no clouds.,,,3.2,16.8,No precipitation,12,,,,
01.04.2020 17:00,18.4,757.3,758.5,-0.9,87,Wind blowing from the north,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,19.5,,,2500 or more  or no clouds.,,,6.0,16.2,No precipitation,12,,,,
01.04.2020 14:00,18.9,758.2,759.4,-2.4,84,Wind blowing from the north-northeast,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,18.9,,,2500 or more  or no clouds.,,,6.0,16.1,No precipitation,12,,,,
01.04.2020 11:00,16.9,760.6,761.8,0.8,91,Wind blowing from the north-east,2,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,16.9,,,2500 or more  or no clouds.,,,5.0,15.4,No precipitation,12,,,,
01.04.2020 08:00,16.2,759.8,761.1,1.7,90,Wind blowing from the north-northeast,3,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.5,,,2500 or more  or no clouds.,,,7.0,14.6,No precipitation,12,,,,
01.04.2020 05:00,16.3,758.1,759.4,-0.3,86,Wind blowing from the north-east,3,,9,,Cloud development not observed or not observable. ,,,,16.3,,,2500 or more  or no clouds.,,,8.0,14.0,No precipitation,12,,,,
01.04.2020 02:00,16.2,758.4,759.7,-0.9,81,Wind blowing from the east-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.2,,,2500 or more  or no clouds.,,,13.0,12.9,No precipitation,12,,,,
31.03.2020 23:00,15.9,759.3,760.6,1.1,80,Wind blowing from the north,1,,11,,Cloud development not observed or not observable. ,,,14.1,16.2,,,2500 or more  or no clouds.,,,14.0,12.5,No precipitation,12,,,,
31.03.2020 20:00,15.9,758.2,759.4,0.7,80,Wind blowing from the north-east,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,16.3,,,2500 or more  or no clouds.,,,15.0,12.5,No precipitation,12,,,,
31.03.2020 17:00,16.0,757.5,758.8,-1.6,78,Wind blowing from the north-east,3,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,17.2,,,600-1000,,,17.0,12.2,No precipitation,12,,,,
31.03.2020 14:00,15.5,759.1,760.3,-1.1,79,Wind blowing from the north,5,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,18.0,,,600-1000,,,18.0,11.9,No precipitation,12,,,,
31.03.2020 11:00,14.8,760.2,761.5,0.8,84,Wind blowing from the north,4,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,18.0,,,600-1000,,,15.0,12.1,No precipitation,12,,,,
31.03.2020 08:00,14.3,759.4,760.6,2.6,91,Wind blowing from the north,4,,10,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,18.0,,,600-1000,,,7.0,12.9,No precipitation,12,,,,
31.03.2020 05:00,15.3,756.8,758.1,0.1,95,Wind blowing from the north,2,,7,,Mist. ,,,14.0,18.0,,,2500 or more  or no clouds.,,,3.2,14.5,No precipitation,12,,,,
31.03.2020 02:00,15.9,756.7,758.0,-0.6,92,Wind blowing from the north-northeast,2,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,18.0,,,2500 or more  or no clouds.,,,4.3,14.6,No precipitation,12,,,,
30.03.2020 23:00,16.2,757.3,758.5,1.2,86,Wind blowing from the north-northeast,1,,11,,Mist. ,,,14.0,,,,2500 or more  or no clouds.,,,6.0,13.9,No precipitation,12,,,,
30.03.2020 20:00,16.3,756.1,757.4,0.5,82,Wind blowing from the north-northeast,2,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,,,,600-1000,,,8.0,13.2,No precipitation,12,,,,
30.03.2020 17:00,17.1,755.6,756.9,-1.4,79,Wind blowing from the north-northwest,3,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,,,,600-1000,,,10.0,13.4,No precipitation,12,,,,
30.03.2020 14:00,16.7,757.0,758.3,-1.8,75,Wind blowing from the north-northwest,4,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,,,,600-1000,,,13.0,12.3,No precipitation,12,,,,
30.03.2020 11:00,15.3,758.8,760.0,0.2,80,Wind blowing from the north,4,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,28.9,,,600-1000,,,14.0,11.9,No precipitation,12,,,,
30.03.2020 08:00,14.1,758.6,759.9,2.2,84,Wind blowing from the north,5,,11,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,28.9,,,600-1000,,,13.0,11.4,Trace of precipitation,12,,,,
30.03.2020 05:00,15.5,756.4,757.6,-0.1,85,Wind blowing from the north-northwest,5,,9,,Cloud development not observed or not observable. ,,,15.5,28.9,,,2500 or more  or no clouds.,,,14.0,13.0,No precipitation,12,,,,
30.03.2020 02:00,17.6,756.5,757.7,0.2,85,Wind blowing from the north,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,28.9,,,2500 or more  or no clouds.,,,14.0,15.1,No precipitation,12,,,,
29.03.2020 23:00,21.0,756.3,757.5,1.7,88,Wind blowing from the north-northwest,3,,7,,Mist. ,,,20.9,28.9,,,2500 or more  or no clouds.,,,5.0,18.9,No precipitation,12,,,,
29.03.2020 20:00,25.5,754.6,755.8,0.6,84,Wind blowing from the north-northwest,1,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.9,28.9,,,1500-2000,,,17.0,22.6,No precipitation,12,,,,
29.03.2020 17:00,28.0,754.0,755.2,-1.4,72,Wind blowing from the west,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.9,28.9,,,,,,20.0,22.5,0.4,12,,,,
29.03.2020 14:00,28.0,755.4,756.6,-2.4,74,Wind blowing from the south-southeast,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.9,28.1,,,600-1000,,,18.0,22.9,0.7,12,,,,
29.03.2020 11:00,26.5,757.8,759.0,0.8,84,Wind blowing from the south-east,3,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.9,26.5,,,600-1000,,,10.0,23.6,0.7,12,,,,
29.03.2020 08:00,24.2,757.0,758.2,0.9,96,Wind blowing from the east-southeast,4,,7,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.9,26.4,,,600-1000,,,5.0,23.5,0.7,12,,,,
29.03.2020 05:00,22.7,756.1,757.3,-1.2,95,Wind blowing from the east-southeast,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,20.9,26.4,,,2500 or more  or no clouds.,,,4.1,21.9,0.3,12,,,,
29.03.2020 02:00,21.9,757.3,758.5,-0.1,83,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,26.4,,,2500 or more  or no clouds.,,,10.0,18.9,No precipitation,12,,,,
28.03.2020 23:00,21.4,757.4,758.6,1.0,84,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,,,21.3,26.4,,,2500 or more  or no clouds.,,,8.0,18.6,No precipitation,12,,,,
28.03.2020 20:00,21.7,756.4,757.6,0.8,76,Wind blowing from the north-east,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.7,26.7,,,600-1000,,,13.0,17.3,No precipitation,12,,,,
28.03.2020 17:00,24.2,755.6,756.8,-1.5,74,Wind blowing from the north-east,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,29.1,,,600-1000,,,13.0,19.3,No precipitation,12,,,,
28.03.2020 14:00,26.1,757.1,758.3,-2.0,69,Wind blowing from the north-east,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,,,,600-1000,,,12.0,20.0,No precipitation,12,,,,
28.03.2020 11:00,23.7,759.1,760.3,0.9,76,Wind blowing from the north-east,4,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,,,,600-1000,,,13.0,19.2,No precipitation,12,,,,
28.03.2020 08:00,24.1,758.2,759.4,1.2,91,Wind blowing from the north-east,3,,6,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.1,29.7,,,600-1000,,,5.0,22.5,Trace of precipitation,12,,,,
28.03.2020 05:00,25.0,757.0,758.2,0.0,90,Wind blowing from the north-east,3,,6,,Cloud development not observed or not observable. ,,,24.3,29.7,,,2500 or more  or no clouds.,,,9.0,23.2,No precipitation,12,,,,
28.03.2020 02:00,24.8,757.0,758.2,-0.2,92,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.1,29.7,,,2500 or more  or no clouds.,,,8.0,23.4,No precipitation,12,,,,
27.03.2020 23:00,25.6,757.2,758.4,1.6,79,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,,,24.1,29.7,,,2500 or more  or no clouds.,,,9.0,21.7,No precipitation,12,,,,
27.03.2020 20:00,26.7,755.6,756.8,1.0,73,Wind blowing from the north-west,2,,6,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.1,29.7,,,600-1000,,,22.0,21.5,No precipitation,12,,,,
27.03.2020 17:00,29.1,754.6,755.8,-1.2,59,Wind blowing from the north-northwest,2,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.1,29.7,,,600-1000,,,25.0,20.3,No precipitation,12,,,,
27.03.2020 14:00,28.2,755.8,757.0,-2.0,63,Wind blowing from the south-east,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.1,28.6,,,600-1000,,,23.0,20.5,No precipitation,12,,,,
