Local time in Rizhao,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 20:00,6.8,763.2,769.3,0.5,61,Wind blowing from the east,0,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,12.5,,,2500 or more  or no clouds.,,,30.0,-0.2,No precipitation,12,,,,
05.04.2020 17:00,10.4,762.7,768.8,-1.6,41,Wind blowing from the south-southeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,12.5,,,2500 or more  or no clouds.,,,30.0,-2.3,No precipitation,12,,,,
05.04.2020 14:00,11.3,764.3,770.5,-1.7,19,Wind blowing from the south-southeast,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,12.2,,,2500 or more  or no clouds.,,,30.0,-11.5,No precipitation,12,,,,
05.04.2020 11:00,11.2,766.0,772.0,-0.6,15,Wind blowing from the east-southeast,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,13.3,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
05.04.2020 08:00,9.1,766.6,772.8,0.8,18,Wind blowing from the north-east,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,14.6,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
05.04.2020 05:00,5.1,765.8,772.0,-0.1,23,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,,,4.0,14.6,,,2500 or more  or no clouds.,,,29.0,-14.3,No precipitation,12,,,,
05.04.2020 02:00,4.1,765.9,772.0,-0.8,50,Wind blowing from the north-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,14.6,,,2500 or more  or no clouds.,,,27.0,-5.4,No precipitation,12,,,,
04.04.2020 23:00,5.9,766.7,772.8,0.6,43,Wind blowing from the north-northeast,3,,12,,Cloud development not observed or not observable. ,,,5.8,14.6,,,2500 or more  or no clouds.,,,30.0,-5.7,No precipitation,12,,,,
04.04.2020 20:00,6.3,766.1,772.2,1.3,64,Wind blowing from the east-northeast,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,14.6,,,2500 or more  or no clouds.,,,27.0,0.0,No precipitation,12,,,,
04.04.2020 17:00,9.3,764.8,770.8,0.0,54,Wind blowing from the south-southeast,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,14.6,,,2500 or more  or no clouds.,,,25.0,0.5,No precipitation,12,,,,
04.04.2020 14:00,11.5,764.8,770.8,-0.2,52,Wind blowing from the east-southeast,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,14.6,,,2500 or more  or no clouds.,,,14.0,2.0,No precipitation,12,,,,
04.04.2020 11:00,13.4,765.0,771.0,1.6,39,Wind blowing from the east,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,14.6,,,2500 or more  or no clouds.,,,9.0,-0.3,No precipitation,12,,,,
04.04.2020 08:00,12.5,763.4,769.5,2.3,52,Wind blowing from the north-northeast,6,,13,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,14.4,,,2500 or more  or no clouds.,,,5.0,2.9,No precipitation,12,,,,
04.04.2020 05:00,9.2,761.1,767.1,1.0,65,Wind blowing from the west,2,,6,,Haze. ,,,7.0,14.0,,,2500 or more  or no clouds.,,,5.0,3.0,No precipitation,12,,,,
04.04.2020 02:00,11.4,760.1,766.1,-0.8,59,Wind blowing from the west-northwest,4,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,14.0,,,2500 or more  or no clouds.,,,5.0,3.7,No precipitation,12,,,,
03.04.2020 23:00,10.5,760.9,766.9,0.4,73,Wind blowing from the west-northwest,3,,7,,Haze. ,,,7.0,14.0,,,2500 or more  or no clouds.,,,3.9,5.9,No precipitation,12,,,,
03.04.2020 20:00,9.2,760.5,766.5,0.5,80,Wind blowing from the north-northeast,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,14.0,,,2500 or more  or no clouds.,,,5.0,5.8,No precipitation,12,,,,
03.04.2020 17:00,13.3,760.0,766.0,-0.9,55,Wind blowing from the south-southeast,2,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,14.0,,,2500 or more  or no clouds.,,,6.0,4.5,No precipitation,12,,,,
03.04.2020 14:00,13.0,760.9,766.9,,52,Wind blowing from the south-southeast,4,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,14.0,,,2500 or more  or no clouds.,,,5.0,3.4,No precipitation,12,,,,
03.04.2020 08:00,11.1,762.9,769.0,0.8,65,Wind blowing from the south,0,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,13.6,,,2500 or more  or no clouds.,,,4.8,4.8,No precipitation,12,,,,
03.04.2020 05:00,7.5,762.1,768.1,0.0,67,Wind blowing from the west,2,,6,,Haze. ,,,7.2,13.6,,,2500 or more  or no clouds.,,,6.0,1.8,No precipitation,12,,,,
03.04.2020 02:00,8.3,762.1,768.2,-0.9,64,Wind blowing from the west,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,13.6,,,2500 or more  or no clouds.,,,16.0,1.9,No precipitation,12,,,,
02.04.2020 23:00,8.8,763.0,769.0,0.8,69,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,,,6.8,13.6,,,2500 or more  or no clouds.,,,27.0,3.4,No precipitation,12,,,,
02.04.2020 20:00,8.7,762.2,768.3,0.6,56,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,13.6,,,2500 or more  or no clouds.,,,22.0,0.4,No precipitation,12,,,,
02.04.2020 17:00,11.8,761.6,767.7,-0.9,35,Wind blowing from the south-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,13.6,,,2500 or more  or no clouds.,,,30.0,-3.2,No precipitation,12,,,,
02.04.2020 14:00,12.1,762.5,768.6,-0.9,24,Wind blowing from the south,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,14.7,,,2500 or more  or no clouds.,,,30.0,-7.9,No precipitation,12,,,,
02.04.2020 11:00,13.1,763.4,769.4,-0.3,14,Wind blowing from the south-east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,15.8,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
02.04.2020 08:00,9.4,763.7,769.8,0.7,19,Wind blowing from the north-east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
02.04.2020 05:00,7.6,763.0,769.1,0.1,26,Wind blowing from the east,1,,10,,Cloud development not observed or not observable. ,,,6.8,15.8,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
02.04.2020 02:00,7.9,762.9,768.9,0.2,25,Wind blowing from the north-northwest,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,15.8,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
01.04.2020 23:00,9.0,762.7,768.7,0.3,22,Wind blowing from the north,4,,10,,Cloud development not observed or not observable. ,,,9.0,15.8,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
01.04.2020 20:00,10.3,762.4,768.5,0.9,25,Wind blowing from the north,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,15.8,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
01.04.2020 17:00,12.1,761.5,767.5,0.1,35,Wind blowing from the south-southeast,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,15.8,,,2500 or more  or no clouds.,,,23.0,-2.9,No precipitation,12,,,,
01.04.2020 14:00,14.6,761.4,767.4,-1.6,25,Wind blowing from the south-east,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,15.8,,,2500 or more  or no clouds.,,,27.0,-5.2,No precipitation,12,,,,
01.04.2020 11:00,14.1,763.0,769.0,0.7,21,Wind blowing from the east-northeast,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,14.4,,,2500 or more  or no clouds.,,,29.0,-7.9,No precipitation,12,,,,
01.04.2020 08:00,10.3,762.3,768.4,2.6,39,Wind blowing from the north-northeast,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,,,,2500 or more  or no clouds.,,,11.0,-3.0,No precipitation,12,,,,
01.04.2020 05:00,9.8,759.7,765.7,0.8,65,Wind blowing from the north-northeast,5,,9,,Haze. ,,,,13.3,,,2500 or more  or no clouds.,,,4.7,3.5,No precipitation,12,,,,
01.04.2020 02:00,10.1,758.9,764.9,-0.1,76,Wind blowing from the north-northeast,1,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,13.3,,,2500 or more  or no clouds.,,,5.0,6.1,No precipitation,12,,,,
31.03.2020 23:00,10.4,759.0,765.0,1.4,79,Wind blowing from the west,2,,6,,Haze. ,,,5.5,13.3,,,2500 or more  or no clouds.,,,7.0,6.9,No precipitation,12,,,,
31.03.2020 20:00,10.1,757.6,763.6,1.2,84,Wind blowing from the north-east,1,,6,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,13.3,,,2500 or more  or no clouds.,,,5.0,7.5,No precipitation,12,,,,
31.03.2020 17:00,11.7,756.4,762.4,-0.2,67,Wind blowing from the south,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,13.3,,,2500 or more  or no clouds.,,,8.0,5.8,No precipitation,12,,,,
31.03.2020 14:00,13.0,756.6,762.6,-1.8,64,Wind blowing from the south-east,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,13.2,,,2500 or more  or no clouds.,,,7.0,6.4,No precipitation,12,,,,
31.03.2020 11:00,11.7,758.4,764.4,-0.2,69,Wind blowing from the south-east,3,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,13.2,,,2500 or more  or no clouds.,,,7.0,6.2,No precipitation,12,,,,
31.03.2020 08:00,9.5,758.6,764.7,0.1,76,Wind blowing from the west,1,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,13.2,,,600-1000,,,7.0,5.5,No precipitation,12,,,,
31.03.2020 05:00,6.2,758.5,764.5,-0.7,83,Wind blowing from the west-northwest,2,,6,,Cloud development not observed or not observable. ,,,4.2,13.2,,,2500 or more  or no clouds.,,,10.0,3.5,No precipitation,12,,,,
31.03.2020 02:00,7.2,759.2,765.2,-0.7,86,Wind blowing from the west,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,13.2,,,2500 or more  or no clouds.,,,21.0,5.0,No precipitation,12,,,,
30.03.2020 23:00,6.8,759.9,766.0,0.3,80,Wind blowing from the north,0,,7,,Cloud development not observed or not observable. ,,,4.2,13.2,,,2500 or more  or no clouds.,,,30.0,3.6,No precipitation,12,,,,
30.03.2020 20:00,6.9,759.6,765.7,0.9,78,Wind blowing from the east-southeast,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,13.2,,,,,,18.0,3.2,No precipitation,12,,,,
30.03.2020 17:00,10.5,758.7,764.8,-0.5,59,Wind blowing from the south,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,13.2,,,,,,18.0,2.8,No precipitation,12,,,,
30.03.2020 14:00,12.6,759.2,765.3,-1.2,44,Wind blowing from the south-southeast,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,13.0,,,2500 or more  or no clouds.,,,15.0,0.7,No precipitation,12,,,,
30.03.2020 11:00,11.8,760.4,766.5,-0.1,53,Wind blowing from the south-east,4,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,12.4,,,,,,12.0,2.5,No precipitation,12,,,,
30.03.2020 08:00,8.1,760.5,766.6,1.1,63,Wind blowing from the south-west,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,10.1,,,,,,11.0,1.5,No precipitation,12,,,,
30.03.2020 05:00,4.6,759.4,765.4,-0.5,76,Wind blowing from the north-northwest,1,,7,,Cloud development not observed or not observable. ,,,4.6,10.1,,,2500 or more  or no clouds.,,,14.0,0.6,No precipitation,12,,,,
30.03.2020 02:00,6.0,759.9,766.0,-0.2,75,Wind blowing from the west-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,10.1,,,2500 or more  or no clouds.,,,30.0,1.9,No precipitation,12,,,,
29.03.2020 23:00,6.1,760.1,766.2,0.5,72,Wind blowing from the south-west,1,,7,,Cloud development not observed or not observable. ,,,4.7,10.1,,,2500 or more  or no clouds.,,,30.0,1.4,No precipitation,12,,,,
29.03.2020 20:00,7.8,759.6,765.7,0.2,62,Wind blowing from the south,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,10.1,,,2500 or more  or no clouds.,,,30.0,0.8,No precipitation,12,,,,
29.03.2020 17:00,8.2,759.4,765.4,-0.9,63,Wind blowing from the south,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,10.1,,,2500 or more  or no clouds.,,,28.0,1.4,No precipitation,12,,,,
29.03.2020 14:00,8.9,760.3,766.3,-1.8,62,Wind blowing from the south,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,10.1,,,2500 or more  or no clouds.,,,22.0,2.0,No precipitation,12,,,,
29.03.2020 11:00,9.3,762.1,768.1,0.2,63,Wind blowing from the south,4,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,10.1,,,2500 or more  or no clouds.,,,21.0,2.6,No precipitation,12,,,,
29.03.2020 08:00,7.8,761.9,768.0,0.1,71,Wind blowing from the south,1,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,9.5,,,2500 or more  or no clouds.,,,16.0,2.9,No precipitation,12,,,,
29.03.2020 05:00,5.2,761.8,767.9,-0.8,71,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,4.3,9.5,,,2500 or more  or no clouds.,,,25.0,0.4,No precipitation,12,,,,
29.03.2020 02:00,5.6,762.6,768.7,-0.7,68,Wind blowing from the west-northwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,9.5,,,2500 or more  or no clouds.,,,26.0,0.0,No precipitation,12,,,,
28.03.2020 23:00,6.1,763.3,769.4,0.2,63,Wind blowing from the west-northwest,2,,9,,Cloud development not observed or not observable. ,,,4.3,9.5,,,2500 or more  or no clouds.,,,28.0,-0.4,No precipitation,12,,,,
28.03.2020 20:00,6.7,763.1,769.3,0.8,58,Wind blowing from the south,2,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,9.5,,,2500 or more  or no clouds.,,,28.0,-1.0,No precipitation,12,,,,
28.03.2020 17:00,7.7,762.3,768.4,-1.4,48,Wind blowing from the south-southeast,4,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,9.5,,,2500 or more  or no clouds.,,,30.0,-2.6,No precipitation,12,,,,
28.03.2020 14:00,8.9,763.7,769.9,-1.6,48,Wind blowing from the south-southeast,5,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,11.4,,,,,,30.0,-1.5,No precipitation,12,,,,
28.03.2020 11:00,8.8,765.3,771.4,0.0,37,Wind blowing from the east-southeast,5,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,11.4,,,2500 or more  or no clouds.,,,30.0,-5.1,No precipitation,12,,,,
28.03.2020 08:00,6.8,765.3,771.4,1.1,30,Wind blowing from the north-east,2,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,,,,600-1000,,,30.0,-9.6,No precipitation,12,,,,
28.03.2020 05:00,5.9,764.2,770.3,0.0,24,Wind blowing from the north-east,1,,11,,Cloud development not observed or not observable. ,,,5.7,11.4,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
28.03.2020 02:00,6.0,764.2,770.3,-0.1,24,Wind blowing from the north-northeast,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,11.4,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
27.03.2020 23:00,6.1,764.3,770.4,-0.2,25,Wind blowing from the east-northeast,2,,13,,Cloud development not observed or not observable. ,,,5.8,11.4,,,2500 or more  or no clouds.,,,30.0,-12.5,No precipitation,12,,,,
27.03.2020 20:00,7.4,764.5,770.6,1.8,27,Wind blowing from the north-northeast,4,,14,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,11.4,,,2500 or more  or no clouds.,,,30.0,-10.4,No precipitation,12,,,,
27.03.2020 17:00,9.3,762.7,768.7,0.3,19,Wind blowing from the north-northeast,5,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,11.4,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
27.03.2020 14:00,10.9,762.4,768.4,-1.8,21,Wind blowing from the north-northeast,6,,17,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,14.1,,,2500 or more  or no clouds.,,,29.0,-10.6,No precipitation,12,,,,
27.03.2020 11:00,10.0,764.2,770.3,1.8,34,Wind blowing from the north,5,,21,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,14.1,,,2500 or more  or no clouds.,,,21.0,-5.1,No precipitation,12,,,,
