Local time in Chifeng,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 02:00,3.2,705.9,764.8,-1.0,30,Wind blowing from the north-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,18.7,,,2500 or more  or no clouds.,,,14.0,-12.7,No precipitation,12,,,,
05.04.2020 23:00,6.3,706.9,766.2,0.1,24,Wind blowing from the north,0,,9,,Cloud development not observed or not observable. ,,,,18.7,,,2500 or more  or no clouds.,,,12.0,-12.8,No precipitation,12,,,,
05.04.2020 20:00,11.3,706.8,766.6,1.3,16,Wind blowing from the east,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.7,,,2500 or more  or no clouds.,,,13.0,-13.6,No precipitation,12,,,,
05.04.2020 17:00,17.3,705.5,765.1,-0.8,12,Wind blowing from the east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,18.7,,,2500 or more  or no clouds.,,,21.0,-12.4,No precipitation,12,,,,
05.04.2020 14:00,18.0,706.3,765.8,-2.0,13,Wind blowing from the east,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,18.1,,,2500 or more  or no clouds.,,,16.0,-10.8,No precipitation,12,,,,
05.04.2020 11:00,11.8,708.3,768.4,-1.3,18,Wind blowing from the east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,11.9,,,2500 or more  or no clouds.,,,9.0,-11.8,No precipitation,12,,,,
05.04.2020 08:00,3.1,709.6,770.3,-0.6,25,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,10.3,,,2500 or more  or no clouds.,,,11.0,-15.0,No precipitation,12,,,,
05.04.2020 05:00,-2.4,710.2,771.1,-1.1,29,Wind blowing from the west-southwest,1,,4,,Cloud development not observed or not observable. ,,,-3.1,10.3,,,2500 or more  or no clouds.,,,17.0,-18.0,No precipitation,12,,,,
05.04.2020 02:00,-1.2,711.3,772.1,-0.8,26,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,10.3,,,2500 or more  or no clouds.,,,19.0,-18.3,No precipitation,12,,,,
04.04.2020 23:00,0.5,712.1,773.2,-0.2,22,Wind blowing from the east-northeast,1,,11,,Cloud development not observed or not observable. ,,,-2.9,10.3,,,2500 or more  or no clouds.,,,6.0,-18.8,No precipitation,12,,,,
04.04.2020 20:00,5.2,712.3,773.5,0.4,14,Wind blowing from the south-southwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,10.3,,,2500 or more  or no clouds.,,,13.0,-20.1,No precipitation,12,,,,
04.04.2020 17:00,9.8,711.9,772.9,-1.2,7,Wind blowing from the east,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,16.5,,,2500 or more  or no clouds.,,,30.0,-24.5,No precipitation,12,,,,
04.04.2020 14:00,9.3,713.1,773.9,-1.6,8,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,,,,2500 or more  or no clouds.,,,30.0,-23.3,No precipitation,12,,,,
04.04.2020 11:00,5.6,714.7,775.4,-0.6,12,Wind blowing from the north,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,,,,2500 or more  or no clouds.,,,30.0,-21.6,No precipitation,12,,,,
04.04.2020 08:00,0.8,715.3,776.2,1.2,23,Wind blowing from the north,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
04.04.2020 05:00,-2.6,714.1,774.5,0.6,31,Wind blowing from the north-northwest,2,,15,,Cloud development not observed or not observable. ,,,-2.6,19.1,,,2500 or more  or no clouds.,,,30.0,-17.4,No precipitation,12,,,,
04.04.2020 02:00,0.2,713.5,773.4,1.8,27,Wind blowing from the north,4,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,19.1,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
03.04.2020 23:00,5.6,711.7,770.9,2.7,17,Wind blowing from the north,7,,17,,Cloud development not observed or not observable. ,,,0.9,19.1,,,2500 or more  or no clouds.,,,12.0,-17.5,No precipitation,12,,,,
03.04.2020 20:00,10.2,709.0,768.6,3.6,17,Wind blowing from the north,5,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,19.1,,,2500 or more  or no clouds.,,,28.0,-13.8,No precipitation,12,,,,
03.04.2020 17:00,16.5,705.4,764.6,0.9,13,Wind blowing from the north,8,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,19.1,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
03.04.2020 14:00,18.6,704.5,763.3,-1.1,9,Wind blowing from the north-northwest,9,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,19.1,,,2500 or more  or no clouds.,,,7.0,-14.9,No precipitation,12,,,,
03.04.2020 11:00,16.8,705.6,764.4,-1.3,12,Wind blowing from the west-northwest,7,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,16.8,,,2500 or more  or no clouds.,,,11.0,-12.8,No precipitation,12,,,,
03.04.2020 08:00,6.8,706.9,766.5,-0.5,31,Wind blowing from the north-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,16.2,,,2500 or more  or no clouds.,,,27.0,-9.1,No precipitation,12,,,,
03.04.2020 05:00,2.2,707.4,766.9,-0.6,40,Wind blowing from the south,1,,8,,Cloud development not observed or not observable. ,,,-0.1,16.2,,,2500 or more  or no clouds.,,,30.0,-10.0,No precipitation,12,,,,
03.04.2020 02:00,3.3,708.0,767.3,-0.1,37,Wind blowing from the north,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,16.2,,,2500 or more  or no clouds.,,,7.0,-10.0,No precipitation,12,,,,
02.04.2020 23:00,5.3,708.1,767.5,0.6,30,Wind blowing from the south-southeast,1,,13,,Cloud development not observed or not observable. ,,,-0.5,16.2,,,2500 or more  or no clouds.,,,27.0,-10.9,No precipitation,12,,,,
02.04.2020 20:00,9.8,707.5,767.0,1.4,20,Wind blowing from the north-west,2,,13,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,16.2,,,2500 or more  or no clouds.,,,4.8,-12.1,No precipitation,12,,,,
02.04.2020 17:00,15.1,706.1,765.7,-0.2,13,Wind blowing from the north-northwest,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,16.2,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
02.04.2020 14:00,15.6,706.3,765.8,-0.6,12,Wind blowing from the north,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,16.2,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
02.04.2020 11:00,13.9,706.9,766.1,-0.8,12,Wind blowing from the west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,14.1,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
02.04.2020 08:00,6.9,707.7,767.5,0.2,17,Wind blowing from the west-northwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,13.5,,,2500 or more  or no clouds.,,,28.0,-16.5,No precipitation,12,,,,
02.04.2020 05:00,-0.1,707.5,767.5,-0.3,28,Wind blowing from the west-northwest,1,,9,,Cloud development not observed or not observable. ,,,-2.5,13.5,,,2500 or more  or no clouds.,,,7.0,-16.4,No precipitation,12,,,,
02.04.2020 02:00,0.9,707.8,767.8,-0.1,26,Wind blowing from the south-east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,13.5,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
01.04.2020 23:00,5.1,707.9,767.8,0.4,16,Wind blowing from the west-northwest,4,,9,,Cloud development not observed or not observable. ,,,-2.5,13.5,,,2500 or more  or no clouds.,,,30.0,-18.7,No precipitation,12,,,,
01.04.2020 20:00,7.5,707.5,767.8,1.0,13,Wind blowing from the west-northwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,13.5,,,2500 or more  or no clouds.,,,30.0,-19.2,No precipitation,12,,,,
01.04.2020 17:00,12.7,706.5,766.6,-1.2,8,Wind blowing from the north-west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,13.5,,,2500 or more  or no clouds.,,,30.0,-20.8,No precipitation,12,,,,
01.04.2020 14:00,12.3,707.7,767.8,-2.7,8,Wind blowing from the west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,12.5,,,2500 or more  or no clouds.,,,30.0,-21.1,No precipitation,12,,,,
01.04.2020 11:00,8.6,710.4,771.0,-0.7,13,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,9.9,,,2500 or more  or no clouds.,,,30.0,-18.3,No precipitation,12,,,,
01.04.2020 08:00,1.9,711.1,772.3,0.3,24,Wind blowing from the west-northwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,9.9,,,2500 or more  or no clouds.,,,7.0,-16.5,No precipitation,12,,,,
01.04.2020 05:00,-2.2,710.8,771.8,0.0,30,Wind blowing from the west-northwest,4,,11,,Cloud development not observed or not observable. ,,,-2.3,9.9,,,2500 or more  or no clouds.,,,21.0,-17.4,No precipitation,12,,,,
01.04.2020 02:00,-1.1,710.8,771.7,-0.3,28,Wind blowing from the west,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,9.9,,,2500 or more  or no clouds.,,,30.0,-17.3,No precipitation,12,,,,
31.03.2020 23:00,0.7,711.1,772.0,1.2,20,Wind blowing from the west-northwest,2,,12,,Cloud development not observed or not observable. ,,,0.7,11.2,,,2500 or more  or no clouds.,,,30.0,-19.7,No precipitation,12,,,,
31.03.2020 20:00,3.8,709.9,770.6,2.7,19,Wind blowing from the north,4,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,13.8,,,,,,30.0,-17.7,No precipitation,12,,,,
31.03.2020 17:00,7.7,707.2,766.9,0.2,15,Wind blowing from the north-northeast,7,,12,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,,,,1500-2000,,,30.0,-17.3,No precipitation,12,,,,
31.03.2020 14:00,8.7,707.0,766.5,-0.8,15,Wind blowing from the north-northeast,5,,11,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,,,,1500-2000,,,30.0,-16.5,No precipitation,12,,,,
31.03.2020 11:00,6.4,707.8,767.2,1.5,19,Wind blowing from the north,6,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,18.5,,,1500-2000,,,30.0,-15.6,No precipitation,12,,,,
31.03.2020 08:00,4.5,706.3,765.6,3.0,26,Wind blowing from the north,7,,10,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,18.5,,,1500-2000,,,30.0,-13.3,No precipitation,12,,,,
31.03.2020 05:00,7.5,703.3,761.8,1.6,34,Wind blowing from the north-northeast,5,,10,,Cloud development not observed or not observable. ,,,2.9,18.5,,,2500 or more  or no clouds.,,,8.0,-7.3,No precipitation,12,,,,
31.03.2020 02:00,8.6,701.7,759.7,0.3,45,Wind blowing from the west-southwest,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,18.5,,,2500 or more  or no clouds.,,,10.0,-2.7,No precipitation,12,,,,
30.03.2020 23:00,11.2,701.4,759.4,0.3,36,Wind blowing from the south-west,4,,12,,Cloud development not observed or not observable. ,,,2.5,18.5,,,2500 or more  or no clouds.,,,11.0,-3.3,No precipitation,12,,,,
30.03.2020 20:00,13.8,701.1,759.4,1.2,28,Wind blowing from the south-west,5,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,18.5,,,1500-2000,,,14.0,-4.4,No precipitation,12,,,,
30.03.2020 17:00,16.5,699.9,758.5,-1.0,23,Wind blowing from the south-southwest,5,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,18.5,,,1500-2000,,,12.0,-4.7,No precipitation,12,,,,
30.03.2020 14:00,17.7,700.9,759.3,-1.6,14,Wind blowing from the west,7,,12,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,17.8,,,1500-2000,,,19.0,-10.1,No precipitation,12,,,,
30.03.2020 11:00,15.7,702.5,760.9,-0.5,24,Wind blowing from the west-southwest,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,15.9,,,,,,14.0,-4.8,No precipitation,12,,,,
30.03.2020 08:00,8.8,703.0,761.9,0.5,39,Wind blowing from the south-west,2,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,15.9,,,,,,13.0,-4.4,No precipitation,12,,,,
30.03.2020 05:00,2.9,702.5,761.6,-0.3,54,Wind blowing from the south-west,2,,9,,Cloud development not observed or not observable. ,,,-1.7,15.9,,,2500 or more  or no clouds.,,,15.0,-5.5,No precipitation,12,,,,
30.03.2020 02:00,4.8,702.8,761.7,0.2,47,Wind blowing from the south,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,15.9,,,2500 or more  or no clouds.,,,19.0,-5.8,No precipitation,12,,,,
29.03.2020 23:00,8.5,702.6,761.2,0.9,33,Wind blowing from the west,4,,11,,Cloud development not observed or not observable. ,,,-1.7,15.9,,,2500 or more  or no clouds.,,,24.0,-6.8,No precipitation,12,,,,
29.03.2020 20:00,9.7,701.7,761.0,1.1,30,Wind blowing from the west-southwest,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,15.9,,,,,,27.0,-7.0,No precipitation,12,,,,
29.03.2020 17:00,14.3,700.6,759.9,-1.1,21,Wind blowing from the west-southwest,4,,11,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,15.9,,,1000-1500,,,26.0,-7.7,No precipitation,12,,,,
29.03.2020 14:00,14.5,701.7,761.1,-2.1,23,Wind blowing from the south-west,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,15.0,,,,,,23.0,-6.4,No precipitation,12,,,,
29.03.2020 11:00,13.2,703.8,763.0,-1.3,18,Wind blowing from the west-southwest,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,13.2,,,,,,30.0,-10.6,No precipitation,12,,,,
29.03.2020 08:00,4.7,705.1,765.1,-0.2,30,Wind blowing from the south-southwest,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,10.7,,,,,,26.0,-11.4,No precipitation,12,,,,
29.03.2020 05:00,-0.9,705.3,765.5,-0.7,42,Wind blowing from the south-west,2,,8,,Cloud development not observed or not observable. ,,,-6.8,10.7,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
29.03.2020 02:00,-0.6,706.0,766.3,-0.3,45,Wind blowing from the west-southwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,10.7,,,2500 or more  or no clouds.,,,26.0,-11.3,No precipitation,12,,,,
28.03.2020 23:00,3.9,706.3,766.6,0.5,28,Wind blowing from the west-southwest,3,,11,,Cloud development not observed or not observable. ,,,,10.7,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
28.03.2020 20:00,6.2,705.8,766.5,0.5,23,Wind blowing from the west,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,10.7,,,,,,30.0,-13.4,No precipitation,12,,,,
28.03.2020 17:00,9.7,705.3,766.2,-1.3,15,Wind blowing from the north-west,5,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,10.7,,,,,,30.0,-15.7,No precipitation,12,,,,
28.03.2020 14:00,9.2,706.6,767.5,-2.5,14,Wind blowing from the west-southwest,6,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,9.5,,,,,,30.0,-16.9,No precipitation,12,,,,
28.03.2020 11:00,6.1,709.1,770.2,-1.3,15,Wind blowing from the west,5,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,6.5,,,,,,30.0,-18.6,No precipitation,12,,,,
28.03.2020 08:00,-0.6,710.4,772.3,0.5,36,Wind blowing from the east,1,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,4.0,,,,,,4.5,-13.8,No precipitation,12,,,,
28.03.2020 05:00,-6.4,709.9,772.1,-0.5,46,Wind blowing from the east-northeast,1,,13,,Haze. ,,,-6.8,4.0,,,2500 or more  or no clouds.,,,6.0,-16.1,No precipitation,12,,,,
28.03.2020 02:00,-5.7,710.4,772.3,-0.1,48,Wind blowing from the east,1,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,4.0,,,2500 or more  or no clouds.,,,28.0,-15.0,No precipitation,12,,,,
27.03.2020 23:00,-2.4,710.5,772.3,-0.1,29,Wind blowing from the west,3,,16,,Cloud development not observed or not observable. ,,,-4.4,4.0,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
27.03.2020 20:00,-1.1,710.6,772.5,0.8,26,Wind blowing from the north-west,2,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,4.0,,,,,,23.0,-18.2,No precipitation,12,,,,
27.03.2020 17:00,1.4,709.8,771.7,0.6,19,Wind blowing from the north-west,8,,16,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,4.0,,,1000-1500,,,30.0,-19.7,No precipitation,12,,,,
