Local time in Longzi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 08:00,-0.9,477.2,760.9,0.3,66,Wind blowing from the west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,,,,2500 or more  or no clouds.,,,30.0,-6.6,No precipitation,12,,,,
06.04.2020 05:00,-0.6,476.9,756.3,-0.9,70,Wind blowing from the west-northwest,1,,11,,Cloud development not observed or not observable. ,,,-2.2,9.8,,,2500 or more  or no clouds.,,,30.0,-5.4,No precipitation,12,,,,
06.04.2020 02:00,-0.6,477.8,757.2,,88,Wind blowing from the north-west,1,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,9.8,,,2500 or more  or no clouds.,,,30.0,-2.3,No precipitation,12,,,,
05.04.2020 20:00,0.9,476.4,759.9,1.5,78,Wind blowing from the south-southwest,2,,17,,Intermittent fall of snowflakes  heavy at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,9.8,,,2500 or more  or no clouds.,,,19.0,-2.5,No precipitation,12,,,,
05.04.2020 17:00,7.4,474.9,752.7,0.0,37,Wind blowing from the west-southwest,4,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,9.8,,,2500 or more  or no clouds.,,,30.0,-6.3,No precipitation,12,,,,
05.04.2020 14:00,8.3,474.9,751.0,-2.1,22,Wind blowing from the south-southeast,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,10.7,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
05.04.2020 11:00,4.3,477.0,755.9,0.7,35,Wind blowing from the north-northwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,11.1,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
05.04.2020 08:00,-1.3,476.3,756.7,0.5,75,Wind blowing from the south-southeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,11.1,,,2500 or more  or no clouds.,,,30.0,-5.2,No precipitation,12,,,,
05.04.2020 05:00,0.2,475.8,754.0,-0.9,73,Wind blowing from the east-northeast,3,,11,,Cloud development not observed or not observable. ,,,-3.3,11.1,,,2500 or more  or no clouds.,,,30.0,-4.1,No precipitation,12,,,,
05.04.2020 02:00,2.0,476.7,753.1,,62,Wind blowing from the east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,11.1,,,2500 or more  or no clouds.,,,30.0,-4.5,No precipitation,12,,,,
04.04.2020 20:00,5.8,475.5,756.6,0.5,38,Wind blowing from the east-northeast,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,11.1,,,2500 or more  or no clouds.,,,30.0,-7.4,No precipitation,12,,,,
04.04.2020 17:00,7.7,475.0,752.4,-1.0,26,Wind blowing from the west,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,11.1,,,2500 or more  or no clouds.,,,30.0,-10.6,No precipitation,12,,,,
04.04.2020 14:00,9.7,476.0,750.8,-1.6,15,Wind blowing from the west,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,13.6,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
04.04.2020 11:00,6.0,477.6,754.9,0.9,33,Wind blowing from the west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,13.6,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,12,,,,
04.04.2020 08:00,-3.2,476.7,757.8,1.2,74,Wind blowing from the west-northwest,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,13.6,,,2500 or more  or no clouds.,,,30.0,-7.2,No precipitation,12,,,,
04.04.2020 05:00,0.6,475.5,751.6,-0.2,63,Wind blowing from the east-southeast,1,,12,,Cloud development not observed or not observable. ,,,-4.9,13.6,,,2500 or more  or no clouds.,,,30.0,-5.8,No precipitation,12,,,,
04.04.2020 02:00,3.8,475.7,749.0,,38,Wind blowing from the west,1,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,13.6,,,2500 or more  or no clouds.,,,30.0,-9.2,No precipitation,12,,,,
03.04.2020 20:00,7.0,474.3,754.9,1.2,25,Wind blowing from the west,5,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,13.6,,,2500 or more  or no clouds.,,,30.0,-11.7,No precipitation,12,,,,
03.04.2020 17:00,10.2,473.1,748.5,-1.0,19,Wind blowing from the south-southwest,8,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,13.6,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
03.04.2020 14:00,12.0,474.1,746.8,-1.9,8,Wind blowing from the west,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,13.3,,,2500 or more  or no clouds.,,,30.0,-21.3,No precipitation,12,,,,
03.04.2020 11:00,6.5,476.0,752.2,0.3,28,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,13.2,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
03.04.2020 08:00,-4.7,475.7,757.1,1.2,73,Wind blowing from the north-northwest,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,13.2,,,2500 or more  or no clouds.,,,29.0,-8.8,No precipitation,12,,,,
03.04.2020 05:00,-0.5,474.5,749.6,-0.1,68,Wind blowing from the south-southwest,1,,12,,Cloud development not observed or not observable. ,,,-3.6,13.2,,,2500 or more  or no clouds.,,,30.0,-5.7,No precipitation,12,,,,
03.04.2020 02:00,3.3,474.6,748.8,,38,Wind blowing from the south-southeast,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,13.2,,,2500 or more  or no clouds.,,,30.0,-9.7,No precipitation,12,,,,
02.04.2020 20:00,7.0,473.1,752.1,1.1,26,Wind blowing from the west,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,13.2,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
02.04.2020 17:00,12.0,472.0,745.2,-1.5,14,Wind blowing from the west-southwest,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,13.2,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
02.04.2020 14:00,10.1,473.5,747.6,-1.9,21,Wind blowing from the south-east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,13.5,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
02.04.2020 11:00,5.8,475.4,751.7,0.6,39,Wind blowing from the east-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,13.5,,,2500 or more  or no clouds.,,,30.0,-7.1,No precipitation,12,,,,
02.04.2020 08:00,-3.3,474.8,755.3,0.2,82,Wind blowing from the west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,13.5,,,2500 or more  or no clouds.,,,30.0,-5.9,No precipitation,12,,,,
02.04.2020 05:00,0.4,474.6,749.6,-0.8,66,Wind blowing from the east,3,,15,,Cloud development not observed or not observable. ,,,-4.0,13.5,,,2500 or more  or no clouds.,,,30.0,-5.2,No precipitation,12,,,,
02.04.2020 02:00,2.3,475.4,749.4,,51,Wind blowing from the east-northeast,2,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,13.5,,,2500 or more  or no clouds.,,,30.0,-6.8,No precipitation,12,,,,
01.04.2020 20:00,6.2,474.8,755.6,1.3,31,Wind blowing from the south-west,2,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,13.5,,,2500 or more  or no clouds.,,,30.0,-9.7,No precipitation,12,,,,
01.04.2020 17:00,11.5,473.5,749.5,-1.2,15,Wind blowing from the south-southwest,7,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,13.5,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
01.04.2020 14:00,12.1,474.7,748.3,-3.0,23,Wind blowing from the east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,15.3,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
01.04.2020 11:00,4.7,477.7,756.1,0.0,53,Wind blowing from the north,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,,,,2500 or more  or no clouds.,,,30.0,-4.1,No precipitation,12,,,,
01.04.2020 08:00,-3.7,477.7,758.7,0.6,84,Wind blowing from the east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,15.3,,,2500 or more  or no clouds.,,,30.0,-6.0,No precipitation,12,,,,
01.04.2020 05:00,-2.3,477.1,754.0,-0.7,82,Wind blowing from the north-northwest,1,,13,,Cloud development not observed or not observable. ,,,-6.5,15.3,,,2500 or more  or no clouds.,,,30.0,-5.0,No precipitation,12,,,,
01.04.2020 02:00,2.2,477.8,753.1,,68,Wind blowing from the east,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,15.3,,,2500 or more  or no clouds.,,,30.0,-3.1,No precipitation,12,,,,
31.03.2020 20:00,8.7,475.1,756.1,1.1,26,Wind blowing from the south,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,15.3,,,2500 or more  or no clouds.,,,30.0,-9.7,No precipitation,12,,,,
31.03.2020 17:00,13.4,474.0,750.1,-1.5,11,Wind blowing from the west-southwest,6,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,15.3,,,600-1000,,,30.0,-16.5,No precipitation,12,,,,
31.03.2020 14:00,12.3,475.5,750.3,-2.5,11,Wind blowing from the south-southeast,1,,5,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,14.5,,,1000-1500,,,30.0,-17.3,No precipitation,12,,,,
31.03.2020 11:00,5.3,478.0,755.5,0.4,40,Wind blowing from the west-southwest,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,,,,,,,30.0,-7.2,No precipitation,12,,,,
31.03.2020 08:00,-6.3,477.6,759.0,0.3,80,Wind blowing from the south-southwest,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,14.5,,,,,,24.0,-9.2,No precipitation,12,,,,
31.03.2020 05:00,-4.1,477.3,755.0,-0.6,76,Wind blowing from the north-west,1,,16,,Cloud development not observed or not observable. ,,,-4.3,14.5,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
31.03.2020 02:00,0.7,477.9,754.0,,53,Wind blowing from the north,1,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,14.5,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
30.03.2020 20:00,10.6,475.2,753.6,0.8,6,Wind blowing from the west-northwest,5,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,14.5,,,2500 or more  or no clouds.,,,30.0,-25.6,No precipitation,12,,,,
30.03.2020 17:00,14.0,474.4,747.4,-0.9,5,Wind blowing from the west,10,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,15.8,,,2500 or more  or no clouds.,,,30.0,-25.1,No precipitation,12,,,,
30.03.2020 14:00,12.6,475.3,747.7,-0.8,5,Wind blowing from the west-northwest,10,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,17.0,,,,,,20.0,-26.1,No precipitation,12,,,,
30.03.2020 11:00,7.8,476.1,749.9,0.8,16,Wind blowing from the west,4,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,17.0,,,,,,30.0,-16.5,No precipitation,12,,,,
30.03.2020 08:00,-3.7,475.3,754.2,1.0,47,Wind blowing from the west-southwest,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,17.0,,,,,,30.0,-13.6,No precipitation,12,,,,
30.03.2020 05:00,1.2,474.3,746.2,-1.1,36,Wind blowing from the north-east,1,,13,,Cloud development not observed or not observable. ,,,-4.2,17.0,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
30.03.2020 02:00,4.3,475.4,746.8,,37,Wind blowing from the north-west,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,17.0,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,12,,,,
29.03.2020 20:00,9.8,473.4,751.3,0.5,33,Wind blowing from the south-southwest,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,17.0,,,2500 or more  or no clouds.,,,30.0,-5.7,No precipitation,12,,,,
29.03.2020 17:00,15.7,472.9,745.6,-2.0,15,Wind blowing from the south-west,6,,15,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,17.0,,,1000-1500,,,30.0,-10.9,No precipitation,12,,,,
29.03.2020 14:00,14.4,474.9,746.2,-1.9,5,Wind blowing from the west-southwest,3,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,17.9,,,1000-1500,,,30.0,-24.8,No precipitation,12,,,,
29.03.2020 11:00,10.0,476.8,750.1,0.7,11,Wind blowing from the west-southwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,,,,2500 or more  or no clouds.,,,30.0,-19.1,No precipitation,12,,,,
29.03.2020 08:00,-3.8,476.1,754.3,1.2,65,Wind blowing from the north-northeast,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,,,,,,,30.0,-9.4,No precipitation,12,,,,
29.03.2020 05:00,-1.5,474.9,748.0,0.0,58,Wind blowing from the north-west,1,,12,,Cloud development not observed or not observable. ,,,-4.2,17.9,,,2500 or more  or no clouds.,,,30.0,-8.7,No precipitation,12,,,,
29.03.2020 02:00,4.1,474.9,745.5,,43,Wind blowing from the east,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,17.9,,,2500 or more  or no clouds.,,,30.0,-7.4,No precipitation,12,,,,
28.03.2020 20:00,11.7,472.8,749.2,0.5,26,Wind blowing from the west,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,17.9,,,2500 or more  or no clouds.,,,30.0,-7.2,No precipitation,12,,,,
28.03.2020 17:00,16.8,472.3,744.1,-2.1,18,Wind blowing from the west-southwest,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,17.9,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
28.03.2020 14:00,15.5,474.4,745.0,-3.0,24,Wind blowing from the south-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,18.4,,,2500 or more  or no clouds.,,,30.0,-5.0,No precipitation,12,,,,
28.03.2020 11:00,6.3,477.4,753.7,-0.5,53,Wind blowing from the north-northwest,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,,,,2500 or more  or no clouds.,,,30.0,-2.6,No precipitation,12,,,,
28.03.2020 08:00,-4.0,477.9,756.5,0.3,84,Wind blowing from the north,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,,,,2500 or more  or no clouds.,,,30.0,-6.3,No precipitation,12,,,,
28.03.2020 05:00,-1.7,477.6,752.4,-0.7,76,Wind blowing from the west,0,,,,Cloud development not observed or not observable. ,,,-5.5,18.4,,,2500 or more  or no clouds.,,,30.0,-5.4,No precipitation,12,,,,
28.03.2020 02:00,3.8,478.3,751.2,,59,Wind blowing from the east-northeast,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.4,,,2500 or more  or no clouds.,,,30.0,-3.5,No precipitation,12,,,,
27.03.2020 20:00,13.2,475.5,753.4,0.3,22,Wind blowing from the east,3,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,18.4,,,1000-1500,,,30.0,-8.0,No precipitation,12,,,,
27.03.2020 17:00,16.8,475.2,749.2,-2.1,12,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,18.4,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
27.03.2020 14:00,15.4,477.3,750.3,-2.4,15,Wind blowing from the east-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
27.03.2020 11:00,6.5,479.7,757.6,0.6,47,Wind blowing from the east-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,,,,2500 or more  or no clouds.,,,30.0,-4.0,No precipitation,12,,,,
27.03.2020 08:00,-5.2,479.1,758.9,0.6,85,Wind blowing from the south-west,0,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,,,,,,,30.0,-7.3,No precipitation,12,,,,
27.03.2020 05:00,-2.6,478.5,753.6,-0.1,80,Wind blowing from the north-east,0,,19,,Cloud development not observed or not observable. ,,,-6.1,18.4,,,2500 or more  or no clouds.,,,30.0,-5.6,No precipitation,12,,,,
27.03.2020 02:00,2.6,478.6,753.8,,65,Wind blowing from the east-southeast,2,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.4,,,2500 or more  or no clouds.,,,30.0,-3.3,No precipitation,12,,,,
26.03.2020 20:00,13.5,474.5,752.0,0.5,12,Wind blowing from the west,2,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,18.4,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
26.03.2020 17:00,18.2,474.0,747.1,,6,Wind blowing from the west-northwest,9,,18,, ,,,-6.1,18.4,,,,,,30.0,-20.0,No precipitation,6,,,,
26.03.2020 14:00,12.8,476.4,751.6,-1.8,18,Wind blowing from the south-west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,14.2,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
26.03.2020 11:00,5.2,478.2,756.2,,40,Wind blowing from the south-southeast,1,,6,10%  or less  but not 0, ,,,-6.1,,,,1000-1500,,,30.0,-7.3,No precipitation,6,,,,
26.03.2020 08:00,-6.0,477.1,760.2,0.7,85,Wind blowing from the east,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.9,14.2,,,2500 or more  or no clouds.,,,30.0,-8.1,No precipitation,12,,,,
