Local time in Yuanping,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,16.1,692.7,763.7,-0.4,27,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,18.3,,,2500 or more  or no clouds.,,,27.0,-2.9,No precipitation,12,,,,
06.04.2020 08:00,8.7,693.1,764.9,0.6,46,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,18.3,,,2500 or more  or no clouds.,,,19.0,-2.3,No precipitation,12,,,,
06.04.2020 05:00,8.4,692.5,764.1,-0.4,45,Wind blowing from the south-east,1,,6,,Cloud development not observed or not observable. ,,,4.6,18.3,,,2500 or more  or no clouds.,,,30.0,-3.1,No precipitation,12,,,,
06.04.2020 02:00,10.2,692.9,764.3,,37,Wind blowing from the north-west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,18.3,,,2500 or more  or no clouds.,,,30.0,-3.8,No precipitation,12,,,,
05.04.2020 20:00,16.4,693.1,765.3,0.9,20,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,18.3,,,2500 or more  or no clouds.,,,30.0,-6.6,No precipitation,12,,,,
05.04.2020 17:00,17.5,692.2,764.2,-1.4,20,Wind blowing from the west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,18.8,,,2500 or more  or no clouds.,,,30.0,-5.7,No precipitation,12,,,,
05.04.2020 14:00,17.4,693.6,765.4,-2.5,19,Wind blowing from the south-west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,19.3,,,2500 or more  or no clouds.,,,30.0,-6.4,No precipitation,12,,,,
05.04.2020 11:00,12.9,696.1,768.3,-1.3,26,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,19.3,,,2500 or more  or no clouds.,,,30.0,-6.1,No precipitation,12,,,,
05.04.2020 08:00,6.1,697.4,770.2,0.6,44,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,19.3,,,2500 or more  or no clouds.,,,19.0,-5.5,No precipitation,12,,,,
05.04.2020 05:00,5.4,696.8,769.1,-0.4,43,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,,,4.6,19.3,,,2500 or more  or no clouds.,,,29.0,-6.2,No precipitation,12,,,,
05.04.2020 02:00,7.3,697.2,769.3,,37,Wind blowing from the north-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,19.3,,,2500 or more  or no clouds.,,,27.0,-6.4,No precipitation,12,,,,
04.04.2020 20:00,14.4,695.8,768.3,0.8,16,Wind blowing from the south-east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,19.3,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
04.04.2020 17:00,18.8,695.0,767.0,-1.7,9,Wind blowing from the south-east,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,19.3,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
04.04.2020 14:00,18.0,696.7,768.9,-1.8,8,Wind blowing from the south-southeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,18.3,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
04.04.2020 11:00,15.3,698.5,771.0,0.1,14,Wind blowing from the south,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,18.3,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
04.04.2020 08:00,7.7,698.4,771.1,1.5,26,Wind blowing from the east-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,18.3,,,2500 or more  or no clouds.,,,30.0,-10.6,No precipitation,12,,,,
04.04.2020 05:00,5.9,696.9,769.2,0.7,24,Wind blowing from the north-northwest,3,,10,,Cloud development not observed or not observable. ,,,-0.1,18.3,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
04.04.2020 02:00,7.3,696.2,768.4,,22,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,18.3,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
03.04.2020 20:00,14.1,694.7,767.7,1.2,12,Wind blowing from the north-northwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,18.3,,,2500 or more  or no clouds.,,,30.0,-14.9,No precipitation,12,,,,
03.04.2020 17:00,18.1,693.5,766.3,-1.1,5,Wind blowing from the north-northeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,18.3,,,2500 or more  or no clouds.,,,30.0,-22.2,No precipitation,12,,,,
03.04.2020 14:00,17.3,694.6,767.2,-2.4,6,Wind blowing from the north-east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,17.4,,,2500 or more  or no clouds.,,,30.0,-20.7,No precipitation,12,,,,
03.04.2020 11:00,11.6,697.0,770.2,-0.6,16,Wind blowing from the south-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,14.0,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
03.04.2020 08:00,3.0,697.6,771.5,1.1,32,Wind blowing from the north-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,14.0,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
03.04.2020 05:00,0.2,696.5,770.2,-0.3,37,Wind blowing from the west-northwest,1,,8,,Cloud development not observed or not observable. ,,,0.2,14.0,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
03.04.2020 02:00,3.2,696.8,770.2,,26,Wind blowing from the north-west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,14.0,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
02.04.2020 20:00,9.4,695.4,769.3,1.0,17,Wind blowing from the west-northwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,14.0,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
02.04.2020 17:00,13.6,694.4,767.8,-1.1,5,Wind blowing from the north-northeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,14.0,,,2500 or more  or no clouds.,,,30.0,-25.4,No precipitation,12,,,,
02.04.2020 14:00,12.8,695.5,769.0,-1.7,8,Wind blowing from the north-northeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,12.8,,,2500 or more  or no clouds.,,,30.0,-20.7,No precipitation,12,,,,
02.04.2020 11:00,9.8,697.2,770.9,0.2,24,Wind blowing from the north-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,9.8,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
02.04.2020 08:00,1.7,697.0,771.7,0.8,76,Wind blowing from the north-northwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,5.9,,,2500 or more  or no clouds.,,,12.0,-2.2,No precipitation,12,,,,
02.04.2020 05:00,0.8,696.2,770.8,0.4,81,Wind blowing from the north-west,3,,4,,Cloud development not observed or not observable. ,,,0.6,6.9,,,2500 or more  or no clouds.,,,11.0,-2.1,No precipitation,12,,,,
02.04.2020 02:00,1.9,695.8,770.5,,81,Wind blowing from the west-northwest,1,,4,, ,,,0.6,7.8,,,,,,23.0,-1.0,No precipitation,6,,,,
01.04.2020 20:00,5.0,695.3,769.8,0.3,65,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,12.5,,,2500 or more  or no clouds.,,,30.0,-1.2,3.0,12,,,,
01.04.2020 17:00,5.6,695.0,768.7,-1.2,63,Wind blowing from the north-northwest,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,16.5,,,2500 or more  or no clouds.,,,30.0,-0.9,4.0,12,,,,
01.04.2020 14:00,4.2,696.2,770.1,-2.0,73,Wind blowing from the north-northwest,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,19.1,,,2500 or more  or no clouds.,,,30.0,-0.2,4.0,12,,,,
01.04.2020 11:00,1.5,698.2,772.4,0.8,89,Wind blowing from the north-northeast,3,,10,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,19.2,,,2500 or more  or no clouds.,,,12.0,-0.1,4.0,12,,,,
01.04.2020 08:00,1.9,697.4,771.1,3.0,83,Wind blowing from the north-east,2,,10,,Rain or drizzle and snow  slight. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,19.2,,,2500 or more  or no clouds.,,,9.0,-0.7,0.6,12,,,,
01.04.2020 05:00,6.9,694.4,766.6,0.3,20,Wind blowing from the north,3,,10,,Cloud development not observed or not observable. ,,,5.0,19.2,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
01.04.2020 02:00,7.8,694.1,765.8,,18,Wind blowing from the north-northwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,19.2,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,12,,,,
31.03.2020 20:00,12.5,690.9,763.3,,15,Wind blowing from the north-northwest,4,,11,70 – 80%., ,,,5.0,19.2,,,1000-1500,,,30.0,-13.4,No precipitation,6,,,,
31.03.2020 17:00,16.6,688.4,760.0,0.7,14,Wind blowing from the north,5,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,19.2,,,1000-1500,,,29.0,-11.0,No precipitation,12,,,,
31.03.2020 14:00,18.8,687.7,758.8,-2.2,11,Wind blowing from the north-northeast,3,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,19.2,,,1000-1500,,,30.0,-12.3,No precipitation,12,,,,
31.03.2020 11:00,13.6,689.9,761.4,-0.2,31,Wind blowing from the south-southwest,2,,5,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,17.8,,,1000-1500,,,14.0,-3.2,No precipitation,12,,,,
31.03.2020 08:00,6.5,690.1,762.1,0.8,55,Wind blowing from the north,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,17.8,,,1000-1500,,,10.0,-1.9,No precipitation,12,,,,
31.03.2020 05:00,6.3,689.3,760.9,-0.5,57,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,,,3.1,17.8,,,2500 or more  or no clouds.,,,11.0,-1.6,No precipitation,12,,,,
31.03.2020 02:00,7.6,689.8,761.5,,50,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,17.8,,,2500 or more  or no clouds.,,,16.0,-2.2,No precipitation,12,,,,
30.03.2020 20:00,15.1,688.6,760.6,,19,Wind blowing from the south,2,,6,50%., ,,,3.1,17.8,,,1000-1500,,,30.0,-8.3,No precipitation,6,,,,
30.03.2020 17:00,17.2,687.7,759.4,-1.4,16,Wind blowing from the south,3,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,17.8,,,1000-1500,,,30.0,-8.8,No precipitation,12,,,,
30.03.2020 14:00,15.4,689.1,761.0,-2.5,24,Wind blowing from the south,2,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,15.8,,,1000-1500,,,23.0,-5.1,No precipitation,12,,,,
30.03.2020 11:00,10.5,691.6,763.9,0.0,35,Wind blowing from the south-southwest,2,,5,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,14.9,,,1000-1500,,,20.0,-4.3,No precipitation,12,,,,
30.03.2020 08:00,4.6,691.6,764.3,1.0,55,Wind blowing from the west-northwest,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,14.9,,,1000-1500,,,16.0,-3.7,No precipitation,12,,,,
30.03.2020 05:00,4.1,690.6,763.0,0.0,54,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,,,1.9,14.9,,,2500 or more  or no clouds.,,,19.0,-4.4,No precipitation,12,,,,
30.03.2020 02:00,5.5,690.6,763.0,,50,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,14.9,,,2500 or more  or no clouds.,,,25.0,-4.1,No precipitation,12,,,,
29.03.2020 20:00,11.9,688.6,761.2,0.6,32,Wind blowing from the north,1,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,14.9,,,2500 or more  or no clouds.,,,19.0,-4.3,No precipitation,12,,,,
29.03.2020 17:00,13.8,688.0,760.4,-1.8,25,Wind blowing from the south-east,2,,5,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,14.9,,,2500 or more  or no clouds.,,,30.0,-5.9,No precipitation,12,,,,
29.03.2020 14:00,12.9,689.8,762.2,-2.2,26,Wind blowing from the west-southwest,2,,5,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,13.0,,,2500 or more  or no clouds.,,,29.0,-6.1,No precipitation,12,,,,
29.03.2020 11:00,8.3,692.0,765.0,-0.4,31,Wind blowing from the south-west,2,,5,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,11.3,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
29.03.2020 08:00,2.9,692.4,765.9,0.5,40,Wind blowing from the north-northwest,2,,5,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,11.3,,,2500 or more  or no clouds.,,,30.0,-9.4,No precipitation,12,,,,
29.03.2020 05:00,2.2,691.9,765.2,-0.9,40,Wind blowing from the north-west,3,,5,,Cloud development not observed or not observable. ,,,-2.8,11.3,,,2500 or more  or no clouds.,,,30.0,-10.0,No precipitation,12,,,,
29.03.2020 02:00,4.3,692.8,766.0,,33,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,11.3,,,2500 or more  or no clouds.,,,30.0,-10.6,No precipitation,12,,,,
28.03.2020 20:00,8.9,691.6,765.5,0.4,26,Wind blowing from the south-east,2,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,11.3,,,2500 or more  or no clouds.,,,30.0,-9.6,No precipitation,12,,,,
28.03.2020 17:00,10.9,691.2,764.9,-2.2,14,Wind blowing from the south-east,2,,9,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,11.3,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
28.03.2020 14:00,9.4,693.4,767.3,,17,Wind blowing from the south,3,,,10%  or less  but not 0, ,,,-2.8,9.8,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,6,,,,
28.03.2020 11:00,6.6,696.9,771.4,-1.0,20,Wind blowing from the south-southeast,2,,5,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,8.4,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
28.03.2020 08:00,-0.8,697.9,773.0,0.6,46,Wind blowing from the north-northwest,2,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,8.4,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
28.03.2020 05:00,-1.8,697.3,772.1,-0.3,44,Wind blowing from the north-west,1,,10,,Cloud development not observed or not observable. ,,,-2.2,8.4,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
28.03.2020 02:00,-0.5,697.6,772.3,,37,Wind blowing from the west-northwest,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,8.4,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
27.03.2020 20:00,4.9,697.1,772.0,0.9,20,Wind blowing from the north,2,,14,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,8.4,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
27.03.2020 17:00,8.0,696.2,770.8,-0.5,11,Wind blowing from the north,5,,14,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,8.4,,,2500 or more  or no clouds.,,,30.0,-20.7,No precipitation,12,,,,
27.03.2020 14:00,7.6,696.7,771.3,-2.3,14,Wind blowing from the north,7,,14,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,7.9,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
27.03.2020 11:00,4.8,699.0,774.1,0.2,14,Wind blowing from the north,5,,12,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,5.4,,,2500 or more  or no clouds.,,,30.0,-20.5,No precipitation,12,,,,
27.03.2020 08:00,0.1,698.8,774.3,0.6,36,Wind blowing from the north-northeast,1,,8,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,5.4,,,2500 or more  or no clouds.,,,30.0,-13.2,No precipitation,12,,,,
27.03.2020 05:00,-1.4,698.2,773.6,-0.4,42,Wind blowing from the north-east,2,,9,,Cloud development not observed or not observable. ,,,-1.4,5.4,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
27.03.2020 02:00,-0.6,698.6,773.8,,40,Wind blowing from the west-northwest,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,7.2,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
26.03.2020 20:00,2.7,697.2,772.0,1.4,27,Wind blowing from the north,2,,14,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
26.03.2020 17:00,4.4,695.8,770.2,,21,Calm  no wind,0,,,100%., ,,,3.2,,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,6,,,,
26.03.2020 14:00,5.0,694.5,768.1,-0.1,29,Wind blowing from the north-northeast,4,,14,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,,,,2500 or more  or no clouds.,,,30.0,-11.6,4.0,12,,,,
26.03.2020 11:00,4.2,694.6,767.2,,50,Wind blowing from the north-west,5,,17,100%., ,,,3.2,,,,2500 or more  or no clouds.,,,30.0,-5.3,0.8,6,,,,
26.03.2020 08:00,3.7,692.6,764.8,2.6,62,Wind blowing from the north-northwest,7,,17,100%.,Rain and snow or ice pellets not falling as shower(s). ,Rain and snow or other types of solid precipitation,Rain.,3.6,21.6,,,2500 or more  or no clouds.,,,30.0,-2.9,6.0,12,,,,
26.03.2020 05:00,3.6,690.0,761.4,,74,Wind blowing from the north-northwest,5,,17,,Rain or drizzle and snow  slight. ,,,3.6,21.6,,,,,,23.0,-0.6,5.0,6,,,,
