Local time in Huadian,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
28.03.2020 05:00,-3.5,743.1,768.1,0.6,47,Wind blowing from the west,3,,12,,Cloud development not observed or not observable. ,,,-6.2,5.6,,,2500 or more  or no clouds.,,,30.0,-13.2,No precipitation,12,,,,
28.03.2020 02:00,-3.2,742.5,767.3,,54,Wind blowing from the west-southwest,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,5.6,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
27.03.2020 20:00,-0.4,741.5,766.5,1.5,51,Wind blowing from the west-southwest,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,5.6,,,,,,19.0,-9.3,No precipitation,12,,,,
27.03.2020 17:00,3.0,740.0,765.0,0.5,32,Wind blowing from the west-northwest,4,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,5.6,,,2500 or more  or no clouds.,,,16.0,-12.1,No precipitation,12,,,,
27.03.2020 14:00,5.2,739.5,764.2,-1.8,22,Wind blowing from the west-northwest,4,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,5.6,,,600-1000,,,27.0,-14.8,No precipitation,12,,,,
27.03.2020 11:00,2.1,741.3,766.1,-1.2,27,Wind blowing from the west,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,8.3,,,,,,20.0,-15.0,No precipitation,12,,,,
27.03.2020 08:00,-1.3,742.5,767.5,0.0,40,Wind blowing from the west,2,,7,no clouds,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,,,,,,,14.0,-13.2,0.9,12,,,,
27.03.2020 05:00,-5.0,742.5,767.6,0.0,63,Wind blowing from the west,1,,7,,Cloud development not observed or not observable. ,,,-5.0,10.5,,,2500 or more  or no clouds.,,,22.0,-11.0,1.0,12,,,,
27.03.2020 02:00,-1.5,742.5,767.4,,96,Wind blowing from the west-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,,,,2500 or more  or no clouds.,,,9.0,-2.1,1.0,12,,,,
26.03.2020 20:00,0.4,742.3,767.0,1.2,85,Wind blowing from the south-west,4,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,10.5,,,1000-1500,,,18.0,-1.8,0.3,12,,,,
26.03.2020 17:00,1.2,741.1,766.0,,96,Wind blowing from the west,3,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,13.9,,,1000-1500,,,6.0,0.6,0.2,6,,,,
26.03.2020 14:00,2.3,740.7,765.5,0.9,82,Wind blowing from the north-west,4,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,15.2,,,1000-1500,,,16.0,-0.5,No precipitation,12,,,,
26.03.2020 11:00,8.3,739.8,764.2,,53,Wind blowing from the north-west,3,,9,100%., ,,,-0.8,15.2,,,1000-1500,,,10.0,-0.7,No precipitation,6,,,,
26.03.2020 08:00,5.2,739.1,763.3,1.0,71,Wind blowing from the south-southeast,0,,2,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,15.2,,,1000-1500,,,6.0,0.4,No precipitation,12,,,,
26.03.2020 05:00,1.3,738.1,762.2,,88,Wind blowing from the west,1,,10,,Rain (not freezing) not falling as shower(s). ,,,-0.8,15.2,,,,,,12.0,-0.5,No precipitation,6,,,,
