Local time in Zhangjiakou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,20.7,693.9,760.7,-0.4,7,Wind blowing from the north,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,23.2,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
06.04.2020 14:00,22.4,694.3,760.7,-2.3,6,Wind blowing from the west,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,22.9,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
06.04.2020 11:00,16.2,696.6,763.3,-0.8,22,Wind blowing from the south-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,19.5,,,2500 or more  or no clouds.,,,19.0,-5.5,No precipitation,12,,,,
06.04.2020 08:00,7.1,697.4,765.0,0.5,39,Wind blowing from the west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,19.5,,,2500 or more  or no clouds.,,,16.0,-5.9,No precipitation,12,,,,
06.04.2020 05:00,4.4,696.9,764.3,-0.4,48,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,,,0.9,19.5,,,2500 or more  or no clouds.,,,19.0,-5.9,No precipitation,12,,,,
06.04.2020 02:00,6.5,697.3,764.6,-0.1,43,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,19.5,,,2500 or more  or no clouds.,,,15.0,-5.2,No precipitation,12,,,,
05.04.2020 23:00,11.7,697.4,764.8,0.7,31,Wind blowing from the east-southeast,2,,7,,Cloud development not observed or not observable. ,,,0.9,19.5,,,2500 or more  or no clouds.,,,18.0,-4.9,No precipitation,12,,,,
05.04.2020 20:00,15.1,696.7,764.4,1.0,25,Wind blowing from the east-southeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,19.5,,,2500 or more  or no clouds.,,,17.0,-4.8,No precipitation,12,,,,
05.04.2020 17:00,18.4,695.7,763.3,-1.9,18,Wind blowing from the south-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,19.5,,,2500 or more  or no clouds.,,,19.0,-6.3,No precipitation,12,,,,
05.04.2020 14:00,17.6,697.6,765.2,-2.7,19,Wind blowing from the west-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,19.0,,,2500 or more  or no clouds.,,,19.0,-6.3,No precipitation,12,,,,
05.04.2020 11:00,11.4,700.3,768.4,-1.2,31,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,19.0,,,2500 or more  or no clouds.,,,17.0,-5.1,No precipitation,12,,,,
05.04.2020 08:00,5.0,701.5,770.1,0.4,35,Wind blowing from the west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,19.0,,,2500 or more  or no clouds.,,,27.0,-9.2,No precipitation,12,,,,
05.04.2020 05:00,1.9,701.1,769.2,-0.6,38,Wind blowing from the north-northwest,1,,6,,Cloud development not observed or not observable. ,,,1.9,19.0,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
05.04.2020 02:00,4.0,701.7,769.7,0.0,33,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,19.0,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
04.04.2020 23:00,8.5,701.7,769.7,1.1,26,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,,,2.6,19.0,,,2500 or more  or no clouds.,,,26.0,-9.9,No precipitation,12,,,,
04.04.2020 20:00,12.5,700.6,768.7,0.8,7,Wind blowing from the north-east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,19.0,,,2500 or more  or no clouds.,,,10.0,-22.4,No precipitation,12,,,,
04.04.2020 17:00,18.7,699.8,767.3,-2.0,4,Wind blowing from the west-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,19.8,,,2500 or more  or no clouds.,,,30.0,-24.3,No precipitation,12,,,,
04.04.2020 14:00,17.6,701.8,769.5,-2.1,8,Wind blowing from the west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,20.1,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
04.04.2020 11:00,13.1,703.9,771.8,0.0,14,Wind blowing from the south-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,20.1,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
04.04.2020 08:00,7.1,703.9,772.0,1.6,23,Wind blowing from the west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,20.1,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
04.04.2020 05:00,5.5,702.3,769.9,0.8,27,Wind blowing from the north-northwest,3,,11,,Cloud development not observed or not observable. ,,,0.1,20.1,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
04.04.2020 02:00,6.7,701.5,769.0,1.2,27,Wind blowing from the north-northwest,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,20.1,,,2500 or more  or no clouds.,,,2.9,-11.0,No precipitation,12,,,,
03.04.2020 23:00,10.8,700.3,767.8,1.8,18,Wind blowing from the north-northwest,2,,14,,Cloud development not observed or not observable. ,,,,20.1,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
03.04.2020 20:00,15.8,698.5,766.5,1.5,10,Wind blowing from the north,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,20.1,,,2500 or more  or no clouds.,,,13.0,-15.8,No precipitation,12,,,,
03.04.2020 17:00,19.4,697.0,764.6,-1.2,7,Wind blowing from the north-northwest,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,20.1,,,2500 or more  or no clouds.,,,30.0,-17.3,No precipitation,12,,,,
03.04.2020 14:00,18.9,698.2,765.7,-2.6,9,Wind blowing from the north-northwest,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,19.1,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
03.04.2020 11:00,13.1,700.8,768.9,-0.4,16,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,15.7,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
03.04.2020 08:00,3.7,701.2,770.3,0.7,31,Wind blowing from the west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,15.7,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
03.04.2020 05:00,1.5,700.5,769.0,0.1,33,Wind blowing from the north-west,2,,8,,Cloud development not observed or not observable. ,,,-2.5,15.7,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
03.04.2020 02:00,4.0,700.4,768.7,0.6,27,Wind blowing from the west-northwest,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,15.7,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
02.04.2020 23:00,7.0,699.8,768.3,0.9,20,Wind blowing from the north-northwest,2,,10,,Cloud development not observed or not observable. ,,,-2.5,15.7,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
02.04.2020 20:00,8.9,698.9,768.3,0.6,16,Wind blowing from the north-east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,15.7,,,2500 or more  or no clouds.,,,15.0,-15.6,No precipitation,12,,,,
02.04.2020 17:00,15.3,698.3,767.0,-1.1,9,Wind blowing from the north-northwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,15.7,,,2500 or more  or no clouds.,,,30.0,-17.4,No precipitation,12,,,,
02.04.2020 14:00,14.6,699.4,768.0,-2.0,9,Wind blowing from the north-northwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,14.6,,,2500 or more  or no clouds.,,,30.0,-17.9,No precipitation,12,,,,
02.04.2020 11:00,9.5,701.4,770.3,-0.5,11,Wind blowing from the west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.1,,,2500 or more  or no clouds.,,,30.0,-19.5,No precipitation,12,,,,
02.04.2020 08:00,-0.1,701.9,771.8,0.9,27,Wind blowing from the west-northwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.1,,,2500 or more  or no clouds.,,,30.0,-16.9,No precipitation,12,,,,
02.04.2020 05:00,-1.4,701.0,770.5,0.6,30,Wind blowing from the west-northwest,3,,6,,Cloud development not observed or not observable. ,,,-1.4,11.1,,,2500 or more  or no clouds.,,,30.0,-16.7,No precipitation,12,,,,
02.04.2020 02:00,1.4,700.4,769.6,0.4,23,Wind blowing from the west-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,11.1,,,2500 or more  or no clouds.,,,30.0,-17.5,No precipitation,12,,,,
01.04.2020 23:00,4.9,700.0,769.1,0.8,16,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,,,1.3,11.1,,,2500 or more  or no clouds.,,,30.0,-18.8,No precipitation,12,,,,
01.04.2020 20:00,7.0,699.2,768.6,0.7,13,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,11.1,,,2500 or more  or no clouds.,,,30.0,-19.6,No precipitation,12,,,,
01.04.2020 17:00,10.8,698.5,767.3,-1.6,9,Wind blowing from the west,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,11.7,,,2500 or more  or no clouds.,,,30.0,-20.8,No precipitation,12,,,,
01.04.2020 14:00,10.0,700.1,769.0,-2.3,9,Wind blowing from the west-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,14.0,,,2500 or more  or no clouds.,,,30.0,-21.5,No precipitation,12,,,,
01.04.2020 11:00,7.0,702.4,771.6,-0.3,12,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,14.3,,,2500 or more  or no clouds.,,,30.0,-20.5,No precipitation,12,,,,
01.04.2020 08:00,2.4,702.7,772.3,1.0,20,Wind blowing from the north-west,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,14.4,,,2500 or more  or no clouds.,,,30.0,-18.3,No precipitation,12,,,,
01.04.2020 05:00,2.0,701.7,770.7,0.0,25,Wind blowing from the north-northwest,3,,14,,Cloud development not observed or not observable. ,,,2.0,14.4,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
01.04.2020 02:00,3.7,701.7,770.3,0.6,22,Wind blowing from the north-northwest,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,14.4,,,2500 or more  or no clouds.,,,30.0,-16.1,No precipitation,12,,,,
31.03.2020 23:00,5.6,701.1,769.3,2.7,17,Wind blowing from the north,4,,16,,Cloud development not observed or not observable. ,,,2.6,14.4,,,2500 or more  or no clouds.,,,30.0,-17.5,No precipitation,12,,,,
31.03.2020 20:00,7.6,698.4,767.1,2.2,18,Wind blowing from the north,6,,16,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,14.4,,,1500-2000,,,30.0,-15.2,No precipitation,12,,,,
31.03.2020 17:00,11.8,696.2,764.5,1.3,16,Wind blowing from the north,7,,16,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,17.0,,,1500-2000,,,30.0,-13.2,No precipitation,12,,,,
31.03.2020 14:00,13.4,694.9,762.5,-0.4,16,Wind blowing from the north,8,,15,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,17.3,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
31.03.2020 11:00,14.4,695.3,762.3,0.8,18,Wind blowing from the north-northwest,6,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,17.3,,,2500 or more  or no clouds.,,,30.0,-9.6,No precipitation,12,,,,
31.03.2020 08:00,5.9,694.5,762.2,1.1,52,Wind blowing from the north-west,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,17.3,,,1500-2000,,,9.0,-3.2,No precipitation,12,,,,
31.03.2020 05:00,3.6,693.4,760.8,-0.1,59,Wind blowing from the north-west,2,,7,,Cloud development not observed or not observable. ,,,0.7,17.3,,,2500 or more  or no clouds.,,,8.0,-3.7,No precipitation,12,,,,
31.03.2020 02:00,6.2,693.5,760.7,0.2,52,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,17.3,,,2500 or more  or no clouds.,,,9.0,-2.9,No precipitation,12,,,,
30.03.2020 23:00,10.6,693.3,760.4,0.5,41,Wind blowing from the east,4,,7,,Cloud development not observed or not observable. ,,,0.7,17.3,,,2500 or more  or no clouds.,,,10.0,-2.1,No precipitation,12,,,,
30.03.2020 20:00,12.6,692.8,760.7,0.9,35,Wind blowing from the east,4,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,17.3,,,2500 or more  or no clouds.,,,8.0,-2.4,No precipitation,12,,,,
30.03.2020 17:00,17.0,691.9,759.5,-0.9,22,Wind blowing from the south,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,17.3,,,2500 or more  or no clouds.,,,15.0,-4.9,No precipitation,12,,,,
30.03.2020 14:00,15.5,692.8,760.3,-2.1,28,Wind blowing from the north,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,15.7,,,2500 or more  or no clouds.,,,11.0,-2.9,No precipitation,12,,,,
30.03.2020 11:00,11.7,694.9,762.4,0.0,37,Wind blowing from the south-southeast,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,13.6,,,2500 or more  or no clouds.,,,10.0,-2.5,No precipitation,12,,,,
30.03.2020 08:00,3.5,694.9,763.4,0.6,62,Wind blowing from the north-west,1,,7,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,13.6,,,2500 or more  or no clouds.,,,8.0,-3.1,No precipitation,12,,,,
30.03.2020 05:00,0.9,694.3,762.7,-0.1,69,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,,,0.4,13.6,,,2500 or more  or no clouds.,,,9.0,-4.3,No precipitation,12,,,,
30.03.2020 02:00,3.4,694.4,762.4,0.4,62,Wind blowing from the west-northwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,13.6,,,2500 or more  or no clouds.,,,10.0,-3.2,No precipitation,12,,,,
29.03.2020 23:00,8.7,694.0,761.8,0.6,41,Wind blowing from the east-southeast,3,,8,,Cloud development not observed or not observable. ,,,-0.7,13.6,,,2500 or more  or no clouds.,,,14.0,-3.8,No precipitation,12,,,,
29.03.2020 20:00,9.5,693.4,761.8,0.6,46,Wind blowing from the east-southeast,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,13.6,,,1500-2000,,,9.0,-1.8,No precipitation,12,,,,
29.03.2020 17:00,12.1,692.8,761.1,-1.3,40,Wind blowing from the south,2,,8,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,13.6,,,1500-2000,,,13.0,-1.1,No precipitation,12,,,,
29.03.2020 14:00,13.3,694.1,762.5,-2.1,31,Wind blowing from the south,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,13.6,,,1500-2000,,,18.0,-3.5,No precipitation,12,,,,
29.03.2020 11:00,8.6,696.2,765.2,-0.5,26,Wind blowing from the south,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,9.9,,,1500-2000,,,30.0,-9.8,No precipitation,12,,,,
29.03.2020 08:00,2.8,696.7,766.1,0.6,38,Wind blowing from the south-southwest,1,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,9.9,,,1500-2000,,,30.0,-10.4,No precipitation,12,,,,
29.03.2020 05:00,0.7,696.1,765.0,-0.9,40,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,,,-7.5,9.9,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
29.03.2020 02:00,-0.5,697.0,766.3,-0.1,43,Wind blowing from the north-northwest,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,9.9,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
28.03.2020 23:00,0.9,697.1,766.9,0.1,38,Wind blowing from the south-southeast,1,,9,,Cloud development not observed or not observable. ,,,-7.5,9.9,,,2500 or more  or no clouds.,,,20.0,-12.1,No precipitation,12,,,,
28.03.2020 20:00,4.0,697.0,767.3,0.3,27,Wind blowing from the east-northeast,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,9.9,,,,,,30.0,-13.3,No precipitation,12,,,,
28.03.2020 17:00,9.5,696.7,766.6,-2.3,15,Wind blowing from the south-southwest,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,9.9,,,,,,30.0,-15.9,No precipitation,12,,,,
28.03.2020 14:00,8.0,699.0,769.0,-3.0,15,Wind blowing from the west,2,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,8.1,,,1500-2000,,,30.0,-17.1,No precipitation,12,,,,
28.03.2020 11:00,3.5,702.0,772.5,-0.8,19,Wind blowing from the west,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,6.4,,,,,,30.0,-18.0,No precipitation,12,,,,
28.03.2020 08:00,-3.8,702.8,774.1,0.5,39,Wind blowing from the north-west,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,6.4,,,,,,28.0,-16.0,No precipitation,12,,,,
28.03.2020 05:00,-6.7,702.3,773.5,-0.1,45,Wind blowing from the north-west,1,,12,,Cloud development not observed or not observable. ,,,-8.1,6.4,,,2500 or more  or no clouds.,,,30.0,-16.7,No precipitation,12,,,,
28.03.2020 02:00,-3.5,702.4,773.0,-0.3,35,Wind blowing from the north-west,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,6.4,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
27.03.2020 23:00,-0.9,702.7,773.2,0.1,24,Wind blowing from the west-northwest,2,,15,,Cloud development not observed or not observable. ,,,-8.1,6.4,,,2500 or more  or no clouds.,,,30.0,-18.9,No precipitation,12,,,,
27.03.2020 20:00,1.7,702.6,774.1,0.7,18,Wind blowing from the north,6,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,6.4,,,,,,30.0,-20.1,No precipitation,12,,,,
27.03.2020 17:00,4.8,701.9,772.9,-0.8,18,Wind blowing from the north-northwest,7,,15,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,6.4,,,1500-2000,,,30.0,-17.5,No precipitation,12,,,,
