Local time in Danzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,18.8,744.7,759.7,-1.3,92,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,21.9,,,2500 or more  or no clouds.,,,17.0,17.5,,,,,,
06.04.2020 14:00,19.6,746.0,760.9,-1.6,96,Wind blowing from the north,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.6,22.6,,,2500 or more  or no clouds.,,,1.2,18.9,1.0,12,,,,
06.04.2020 11:00,20.6,747.6,762.5,1.1,96,Wind blowing from the north,3,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.6,,,,2500 or more  or no clouds.,,,2.9,19.9,3.0,12,,,,
06.04.2020 08:00,21.5,746.5,761.4,0.8,97,Wind blowing from the north,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.6,,,,2500 or more  or no clouds.,,,7.0,21.0,3.0,12,,,,
06.04.2020 05:00,20.9,745.7,760.6,-0.8,98,Wind blowing from the north-northwest,1,,4,,Mist. ,,,20.6,23.0,,,2500 or more  or no clouds.,,,1.3,20.6,3.0,12,,,,
06.04.2020 02:00,21.0,746.5,761.4,-1.2,98,Wind blowing from the west,1,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.6,24.0,,,2500 or more  or no clouds.,,,2.2,20.7,3.0,12,,,,
05.04.2020 23:00,21.3,747.7,762.5,0.7,97,Wind blowing from the north-northeast,1,,7,,Mist. ,,,20.6,24.3,,,2500 or more  or no clouds.,,,3.3,20.8,1.0,12,,,,
05.04.2020 20:00,21.4,747.0,761.9,1.1,97,Wind blowing from the north-northeast,2,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.6,25.2,,,2500 or more  or no clouds.,,,2.7,20.9,,,,,,
05.04.2020 17:00,21.8,745.9,760.7,-1.1,94,Wind blowing from the north-east,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.6,,,,2500 or more  or no clouds.,,,3.5,20.8,,,,,,
05.04.2020 14:00,22.6,747.0,761.8,-1.8,89,Wind blowing from the north-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.6,28.2,,,2500 or more  or no clouds.,,,12.0,20.7,0.4,12,,,,
05.04.2020 11:00,21.7,748.8,763.6,0.6,94,Wind blowing from the east,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.6,29.9,,,2500 or more  or no clouds.,,,2.9,20.7,0.4,12,,,,
05.04.2020 08:00,20.7,748.2,763.0,1.8,97,Wind blowing from the east-northeast,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.6,29.9,,,2500 or more  or no clouds.,,,1.0,20.2,0.3,12,,,,
05.04.2020 05:00,22.4,746.4,761.1,-0.4,95,Wind blowing from the north,3,,6,,Rain (not freezing) not falling as shower(s). ,,,22.4,29.9,,,2500 or more  or no clouds.,,,1.3,21.6,0.2,12,,,,
05.04.2020 02:00,24.0,746.8,761.4,-0.7,93,Wind blowing from the east-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.9,29.9,,,2500 or more  or no clouds.,,,9.0,22.8,2.0,12,,,,
04.04.2020 23:00,24.3,747.5,762.1,1.3,92,Wind blowing from the east-northeast,1,,6,,Cloud development not observed or not observable. ,,,23.9,29.9,,,2500 or more  or no clouds.,,,11.0,22.9,2.0,12,,,,
04.04.2020 20:00,25.2,746.2,760.9,0.5,89,Wind blowing from the south-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.9,29.9,,,2500 or more  or no clouds.,,,10.0,23.3,,,,,,
04.04.2020 17:00,26.3,745.7,760.3,-0.2,85,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.9,31.1,,,2500 or more  or no clouds.,,,8.0,23.6,,,,,,
04.04.2020 14:00,28.3,745.9,760.6,-1.5,69,Wind blowing from the east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.9,33.2,,,2500 or more  or no clouds.,,,17.0,22.1,No precipitation,12,,,,
04.04.2020 11:00,29.0,747.4,762.1,0.3,67,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.9,33.2,,,2500 or more  or no clouds.,,,25.0,22.3,No precipitation,12,,,,
04.04.2020 08:00,24.9,747.1,761.8,1.5,88,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.9,,,,2500 or more  or no clouds.,,,15.0,22.8,No precipitation,12,,,,
04.04.2020 05:00,24.1,745.6,760.1,-0.1,88,Wind blowing from the east-southeast,1,,8,,Cloud development not observed or not observable. ,,,23.4,33.2,,,2500 or more  or no clouds.,,,12.0,22.0,No precipitation,12,,,,
04.04.2020 02:00,24.4,745.7,760.2,-0.5,89,Wind blowing from the south-east,1,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.4,33.2,,,2500 or more  or no clouds.,,,4.8,22.5,No precipitation,12,,,,
03.04.2020 23:00,24.9,746.2,760.8,1.4,87,Wind blowing from the north-west,1,,8,,Mist. ,,,23.4,33.2,,,2500 or more  or no clouds.,,,6.0,22.6,No precipitation,12,,,,
03.04.2020 20:00,27.7,744.8,759.4,1.3,66,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.4,33.2,,,2500 or more  or no clouds.,,,28.0,20.8,No precipitation,12,,,,
03.04.2020 17:00,31.1,743.5,758.1,-1.2,56,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.4,33.2,,,2500 or more  or no clouds.,,,22.0,21.3,No precipitation,12,,,,
03.04.2020 14:00,32.4,744.7,759.2,-2.3,47,Wind blowing from the south-southwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.4,32.6,,,2500 or more  or no clouds.,,,30.0,19.6,No precipitation,12,,,,
03.04.2020 11:00,29.8,747.0,761.5,0.6,61,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.4,31.0,,,2500 or more  or no clouds.,,,30.0,21.5,No precipitation,12,,,,
03.04.2020 08:00,24.8,746.4,761.0,1.9,86,Wind blowing from the south-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.4,,,,2500 or more  or no clouds.,,,22.0,22.3,No precipitation,12,,,,
03.04.2020 05:00,23.6,744.5,759.1,-0.2,90,Wind blowing from the south-east,2,,6,,Cloud development not observed or not observable. ,,,23.3,31.0,,,2500 or more  or no clouds.,,,23.0,21.9,No precipitation,12,,,,
03.04.2020 02:00,23.9,744.7,759.2,-1.0,87,Wind blowing from the south-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.3,31.0,,,2500 or more  or no clouds.,,,23.0,21.6,No precipitation,12,,,,
02.04.2020 23:00,25.3,745.7,760.3,1.2,80,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,,,23.3,31.0,,,2500 or more  or no clouds.,,,21.0,21.6,No precipitation,12,,,,
02.04.2020 20:00,26.2,744.5,759.1,0.8,75,Wind blowing from the north,0,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.3,31.0,,,2500 or more  or no clouds.,,,20.0,21.4,No precipitation,12,,,,
02.04.2020 17:00,28.4,743.7,758.3,-0.8,70,Wind blowing from the north-west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.3,31.0,,,2500 or more  or no clouds.,,,17.0,22.4,No precipitation,12,,,,
02.04.2020 14:00,30.5,744.5,759.1,-2.0,55,Wind blowing from the south-east,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.3,35.0,,,2500 or more  or no clouds.,,,28.0,20.4,No precipitation,12,,,,
02.04.2020 11:00,28.3,746.5,761.2,0.8,69,Wind blowing from the south-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.3,35.0,,,2500 or more  or no clouds.,,,30.0,22.1,No precipitation,12,,,,
02.04.2020 08:00,24.4,745.7,760.4,1.3,83,Wind blowing from the south-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,,,,2500 or more  or no clouds.,,,19.0,21.3,No precipitation,12,,,,
02.04.2020 05:00,23.3,744.4,758.9,0.1,90,Wind blowing from the south-west,0,,7,,Mist. ,,,20.1,35.0,,,2500 or more  or no clouds.,,,6.0,21.6,No precipitation,12,,,,
02.04.2020 02:00,24.2,744.3,758.8,-0.7,89,Wind blowing from the east-southeast,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,35.0,,,2500 or more  or no clouds.,,,5.0,22.3,No precipitation,12,,,,
01.04.2020 23:00,24.7,745.0,759.5,1.2,91,Wind blowing from the east-northeast,1,,7,,Mist. ,,,20.1,35.0,,,2500 or more  or no clouds.,,,4.3,23.1,No precipitation,12,,,,
01.04.2020 20:00,25.1,743.8,758.5,1.6,86,Wind blowing from the north-northwest,2,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,35.0,,,2500 or more  or no clouds.,,,7.0,22.6,No precipitation,12,,,,
01.04.2020 17:00,30.8,742.2,756.7,-0.8,62,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,35.0,,,2500 or more  or no clouds.,,,10.0,22.7,No precipitation,12,,,,
01.04.2020 14:00,33.5,743.0,757.6,-2.7,43,Wind blowing from the south-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,33.8,,,2500 or more  or no clouds.,,,30.0,19.2,No precipitation,12,,,,
01.04.2020 11:00,29.8,745.7,760.3,-0.2,56,Wind blowing from the south-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,29.8,,,2500 or more  or no clouds.,,,30.0,20.1,No precipitation,12,,,,
01.04.2020 08:00,21.6,745.9,760.7,1.5,94,Wind blowing from the south-southwest,3,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,,,,2500 or more  or no clouds.,,,3.0,20.6,No precipitation,12,,,,
01.04.2020 05:00,20.3,744.4,759.1,-0.1,96,Wind blowing from the south-southeast,1,,5,,Mist. ,,,20.2,,,,2500 or more  or no clouds.,,,1.6,19.6,No precipitation,12,,,,
01.04.2020 02:00,20.4,744.5,759.2,-0.5,96,Wind blowing from the north-west,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.4,29.6,,,2500 or more  or no clouds.,,,1.4,19.7,No precipitation,12,,,,
31.03.2020 23:00,21.0,745.0,759.7,1.3,92,Wind blowing from the north-northeast,1,,7,,Mist. ,,,21.0,29.6,,,2500 or more  or no clouds.,,,3.0,19.7,No precipitation,12,,,,
31.03.2020 20:00,21.4,743.7,758.5,0.8,90,Wind blowing from the east-northeast,1,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.2,29.6,,,600-1000,,,5.0,19.7,No precipitation,12,,,,
31.03.2020 17:00,23.1,742.9,757.7,-0.4,83,Wind blowing from the north,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.7,29.6,,,600-1000,,,7.0,20.1,No precipitation,12,,,,
31.03.2020 14:00,28.6,743.3,757.9,-2.0,69,Wind blowing from the north,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.7,32.4,,,600-1000,,,7.0,22.4,No precipitation,12,,,,
31.03.2020 11:00,26.7,745.3,759.9,1.1,73,Wind blowing from the north,2,,4,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.7,32.4,,,600-1000,,,7.0,21.5,No precipitation,12,,,,
31.03.2020 08:00,23.1,744.2,758.9,1.6,86,Wind blowing from the north,1,,3,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.7,,,,600-1000,,,7.0,20.6,No precipitation,12,,,,
31.03.2020 05:00,21.9,742.6,757.2,0.3,95,Wind blowing from the north-northwest,1,,5,,Mist. ,,,21.7,32.4,,,2500 or more  or no clouds.,,,1.5,21.1,No precipitation,12,,,,
31.03.2020 02:00,22.0,742.3,756.8,-0.3,90,Wind blowing from the north-northwest,2,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,32.4,,,2500 or more  or no clouds.,,,6.0,20.3,No precipitation,12,,,,
30.03.2020 23:00,23.6,742.6,757.2,0.7,84,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,,,22.5,32.4,,,2500 or more  or no clouds.,,,10.0,20.7,No precipitation,12,,,,
30.03.2020 20:00,25.0,741.9,756.5,1.2,78,Wind blowing from the north-east,1,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,32.4,,,600-1000,,,13.0,20.9,No precipitation,12,,,,
30.03.2020 17:00,28.6,740.7,755.2,-1.0,66,Wind blowing from the north,3,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,32.7,,,1500-2000,,,13.0,21.6,No precipitation,12,,,,
30.03.2020 14:00,31.0,741.7,756.1,-2.3,61,Wind blowing from the north,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,35.0,,,600-1000,,,16.0,22.6,No precipitation,12,,,,
30.03.2020 11:00,27.5,744.0,758.5,0.8,70,Wind blowing from the north-northwest,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,35.0,,,600-1000,,,10.0,21.5,No precipitation,12,,,,
30.03.2020 08:00,23.6,743.2,757.8,1.8,88,Wind blowing from the north-east,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,,,,1500-2000,,,8.0,21.5,No precipitation,12,,,,
30.03.2020 05:00,22.6,741.4,755.9,-0.1,89,Wind blowing from the west-southwest,1,,7,,Cloud development not observed or not observable. ,,,22.5,35.0,,,2500 or more  or no clouds.,,,12.0,20.7,No precipitation,12,,,,
30.03.2020 02:00,24.7,741.5,755.9,-0.5,72,Wind blowing from the south-southwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,35.0,,,2500 or more  or no clouds.,,,30.0,19.3,No precipitation,12,,,,
29.03.2020 23:00,25.9,742.0,756.4,0.9,71,Wind blowing from the east-southeast,1,,10,,Cloud development not observed or not observable. ,,,23.0,35.0,,,2500 or more  or no clouds.,,,25.0,20.2,No precipitation,12,,,,
29.03.2020 20:00,26.9,741.1,755.7,1.0,69,Wind blowing from the east-northeast,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,35.0,,,,,,27.0,20.7,No precipitation,12,,,,
29.03.2020 17:00,32.7,740.1,754.5,-1.0,50,Wind blowing from the north-west,2,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,35.0,,,600-1000,,,28.0,20.9,No precipitation,12,,,,
29.03.2020 14:00,34.0,741.1,755.5,-2.7,44,Wind blowing from the south-southwest,3,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,35.1,,,600-1000,,,29.0,20.0,No precipitation,12,,,,
29.03.2020 11:00,30.7,743.8,758.2,0.3,55,Wind blowing from the south-southeast,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,35.1,,,,,,28.0,20.6,No precipitation,12,,,,
29.03.2020 08:00,24.6,743.5,758.1,0.9,74,Wind blowing from the south-east,1,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.9,,,,2500 or more  or no clouds.,,,30.0,19.7,No precipitation,12,,,,
29.03.2020 05:00,23.3,742.6,757.1,-0.6,84,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,,,22.1,35.1,,,2500 or more  or no clouds.,,,30.0,20.4,No precipitation,12,,,,
29.03.2020 02:00,24.0,743.2,757.6,-0.5,83,Wind blowing from the east-southeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.1,35.1,,,2500 or more  or no clouds.,,,12.0,20.9,No precipitation,12,,,,
28.03.2020 23:00,24.5,743.7,758.2,1.5,87,Wind blowing from the west,1,,6,,Cloud development not observed or not observable. ,,,22.1,35.1,,,2500 or more  or no clouds.,,,7.0,22.2,No precipitation,12,,,,
28.03.2020 20:00,27.4,742.2,756.8,1.4,70,Wind blowing from the north-west,2,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.1,35.1,,,2500 or more  or no clouds.,,,23.0,21.4,No precipitation,12,,,,
28.03.2020 17:00,33.0,740.8,755.2,-1.7,54,Wind blowing from the north,2,,5,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.1,35.1,,,600-1000,,,21.0,22.5,No precipitation,12,,,,
28.03.2020 14:00,34.2,742.5,756.9,-2.2,38,Wind blowing from the west-southwest,1,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.1,36.6,,,600-1000,,,25.0,17.9,No precipitation,12,,,,
28.03.2020 11:00,29.8,744.7,759.2,0.5,57,Wind blowing from the south-west,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.1,36.6,,,,,,24.0,20.4,No precipitation,12,,,,
28.03.2020 08:00,22.8,744.2,758.8,1.1,85,Wind blowing from the south-west,2,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.1,36.6,,,,,,11.0,20.1,No precipitation,12,,,,
28.03.2020 05:00,22.8,743.1,757.6,0.2,82,Wind blowing from the west,1,,6,,Cloud development not observed or not observable. ,,,22.8,36.6,,,2500 or more  or no clouds.,,,18.0,19.6,No precipitation,12,,,,
28.03.2020 02:00,24.6,742.9,757.3,-0.6,71,Wind blowing from the west,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.3,36.6,,,2500 or more  or no clouds.,,,23.0,19.0,No precipitation,12,,,,
27.03.2020 23:00,26.2,743.5,758.0,1.6,63,Wind blowing from the north,0,,8,,Cloud development not observed or not observable. ,,,24.3,36.6,,,2500 or more  or no clouds.,,,23.0,18.6,No precipitation,12,,,,
27.03.2020 20:00,28.7,741.9,756.4,1.2,54,Wind blowing from the north,1,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.3,36.6,,,600-1000,,,26.0,18.5,No precipitation,12,,,,
27.03.2020 17:00,34.1,740.7,755.1,-1.0,43,Wind blowing from the north,3,,8,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.3,36.6,,,600-1000,,,30.0,19.7,No precipitation,12,,,,
27.03.2020 14:00,36.6,741.7,756.0,-2.4,35,Wind blowing from the north-northwest,1,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.3,36.6,,,600-1000,,,25.0,18.7,No precipitation,12,,,,
27.03.2020 11:00,31.2,744.1,758.5,0.8,47,Wind blowing from the south,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.3,33.3,,,,,,30.0,18.6,No precipitation,12,,,,
27.03.2020 08:00,26.0,743.3,757.9,1.0,60,Wind blowing from the south-southwest,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.3,,,,,,,30.0,17.6,No precipitation,12,,,,
