Local time in Jarud,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 08:00,1.9,745.3,770.2,0.1,13,Wind blowing from the north-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,11.1,,,2500 or more  or no clouds.,,,10.0,-23.7,No precipitation,12,,,,
05.04.2020 05:00,-3.8,745.2,770.0,-0.9,26,Wind blowing from the north-west,1,,5,,Cloud development not observed or not observable. ,,,-3.9,11.1,,,2500 or more  or no clouds.,,,30.0,-20.5,No precipitation,12,,,,
05.04.2020 02:00,-2.3,746.1,771.0,-0.4,19,Wind blowing from the north-northwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,11.1,,,2500 or more  or no clouds.,,,27.0,-22.8,No precipitation,12,,,,
04.04.2020 23:00,0.3,746.5,771.5,-0.3,16,Wind blowing from the north,0,,8,,Cloud development not observed or not observable. ,,,-1.8,11.1,,,2500 or more  or no clouds.,,,7.0,-22.6,No precipitation,12,,,,
04.04.2020 20:00,5.3,746.8,771.7,0.6,7,Wind blowing from the south,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,11.1,,,2500 or more  or no clouds.,,,18.0,-27.8,No precipitation,12,,,,
04.04.2020 17:00,10.9,746.2,771.0,-1.2,5,Wind blowing from the north,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,11.1,,,2500 or more  or no clouds.,,,30.0,-27.3,No precipitation,12,,,,
04.04.2020 14:00,9.2,747.4,772.3,-2.1,4,Wind blowing from the north-west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,14.9,,,2500 or more  or no clouds.,,,30.0,-30.9,No precipitation,12,,,,
04.04.2020 11:00,5.4,749.5,774.5,-0.4,11,Wind blowing from the north-northwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,,,,2500 or more  or no clouds.,,,30.0,-22.8,No precipitation,12,,,,
04.04.2020 08:00,1.3,749.9,774.9,1.0,20,Wind blowing from the north,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,,,,2500 or more  or no clouds.,,,30.0,-19.2,No precipitation,12,,,,
04.04.2020 05:00,-1.6,748.9,773.8,0.6,24,Wind blowing from the north-northwest,2,,15,,Cloud development not observed or not observable. ,,,-1.6,17.0,,,2500 or more  or no clouds.,,,30.0,-19.5,No precipitation,12,,,,
04.04.2020 02:00,0.0,748.3,772.9,1.2,22,Wind blowing from the north-west,2,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,17.0,,,2500 or more  or no clouds.,,,30.0,-19.2,No precipitation,12,,,,
03.04.2020 23:00,2.3,747.1,771.5,2.4,20,Wind blowing from the north-northwest,3,,19,,Cloud development not observed or not observable. ,,,2.3,17.0,,,2500 or more  or no clouds.,,,30.0,-18.4,No precipitation,12,,,,
03.04.2020 20:00,5.4,744.7,769.1,4.7,17,Wind blowing from the north-northwest,4,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,17.0,,,2500 or more  or no clouds.,,,30.0,-17.7,No precipitation,12,,,,
03.04.2020 17:00,10.5,740.0,764.3,2.8,10,Wind blowing from the north-northwest,6,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,17.0,,,2500 or more  or no clouds.,,,18.0,-19.9,No precipitation,12,,,,
03.04.2020 14:00,15.0,737.2,761.1,0.8,14,Wind blowing from the west-northwest,7,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,17.9,,,2500 or more  or no clouds.,,,12.0,-12.3,No precipitation,12,,,,
03.04.2020 11:00,16.6,736.4,760.2,-0.5,13,Wind blowing from the north-west,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,17.9,,,2500 or more  or no clouds.,,,20.0,-11.9,No precipitation,12,,,,
03.04.2020 08:00,11.5,736.9,760.8,-0.7,19,Wind blowing from the north-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,17.9,,,2500 or more  or no clouds.,,,24.0,-11.3,No precipitation,12,,,,
03.04.2020 05:00,4.0,737.6,761.6,-2.0,29,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,,,3.7,17.9,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
03.04.2020 02:00,6.2,739.6,763.5,-1.2,24,Wind blowing from the west-northwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,17.9,,,2500 or more  or no clouds.,,,30.0,-12.9,No precipitation,12,,,,
02.04.2020 23:00,7.4,740.8,764.8,0.5,22,Wind blowing from the west,2,,11,,Cloud development not observed or not observable. ,,,1.4,17.9,,,2500 or more  or no clouds.,,,30.0,-12.9,No precipitation,12,,,,
02.04.2020 20:00,11.7,740.3,764.3,1.3,16,Wind blowing from the west-northwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,17.9,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
02.04.2020 17:00,16.1,739.0,763.1,0.0,14,Wind blowing from the west-northwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,17.9,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
02.04.2020 14:00,17.2,739.0,763.0,-0.6,13,Wind blowing from the north,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,17.3,,,2500 or more  or no clouds.,,,30.0,-11.5,No precipitation,12,,,,
02.04.2020 11:00,15.3,739.6,763.6,0.9,16,Wind blowing from the north-northwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,15.9,,,2500 or more  or no clouds.,,,30.0,-10.4,No precipitation,12,,,,
02.04.2020 08:00,10.8,738.7,762.7,0.7,16,Wind blowing from the west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,15.9,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
02.04.2020 05:00,4.2,738.0,762.1,-0.2,21,Wind blowing from the west-northwest,1,,10,,Cloud development not observed or not observable. ,,,-0.1,15.9,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
02.04.2020 02:00,5.4,738.2,762.2,-0.2,16,Wind blowing from the west-northwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,15.9,,,2500 or more  or no clouds.,,,30.0,-18.4,No precipitation,12,,,,
01.04.2020 23:00,8.3,738.4,762.5,-0.1,11,Wind blowing from the west,3,,11,,Cloud development not observed or not observable. ,,,-1.1,15.9,,,2500 or more  or no clouds.,,,30.0,-20.5,No precipitation,12,,,,
01.04.2020 20:00,9.6,738.5,762.8,0.6,11,Wind blowing from the west,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,15.9,,,2500 or more  or no clouds.,,,30.0,-19.5,No precipitation,12,,,,
01.04.2020 17:00,15.0,737.9,762.1,-1.5,8,Wind blowing from the west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,15.9,,,2500 or more  or no clouds.,,,30.0,-19.0,No precipitation,12,,,,
01.04.2020 14:00,14.7,739.4,763.7,-2.9,8,Wind blowing from the west,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,15.3,,,2500 or more  or no clouds.,,,30.0,-19.2,No precipitation,12,,,,
01.04.2020 11:00,11.4,742.3,766.8,-1.1,13,Wind blowing from the west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,12.1,,,2500 or more  or no clouds.,,,30.0,-16.1,No precipitation,12,,,,
01.04.2020 08:00,5.1,743.4,768.1,0.0,19,Wind blowing from the west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,10.9,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
01.04.2020 05:00,0.2,743.4,768.1,-0.5,26,Wind blowing from the west-northwest,2,,12,,Cloud development not observed or not observable. ,,,-1.1,10.9,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
01.04.2020 02:00,0.3,743.9,768.6,-0.2,26,Wind blowing from the west-northwest,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,10.9,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
31.03.2020 23:00,1.1,744.1,768.8,0.6,23,Wind blowing from the west,2,,,,Cloud development not observed or not observable. ,,,1.1,10.9,,,2500 or more  or no clouds.,,,30.0,-17.7,No precipitation,12,,,,
31.03.2020 20:00,4.7,743.5,768.1,2.2,15,Wind blowing from the west-northwest,3,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,16.2,,,,,,30.0,-19.8,No precipitation,12,,,,
31.03.2020 17:00,8.2,741.3,765.7,0.5,12,Wind blowing from the north-west,5,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,,,,1000-1500,,,30.0,-19.5,No precipitation,12,,,,
31.03.2020 14:00,10.1,740.8,765.0,-0.8,10,Wind blowing from the north-west,5,,12,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,,,,2500 or more  or no clouds.,,,30.0,-20.2,No precipitation,12,,,,
31.03.2020 11:00,8.8,741.6,765.7,1.1,12,Wind blowing from the north-northwest,5,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,,,,2500 or more  or no clouds.,,,30.0,-19.1,No precipitation,12,,,,
31.03.2020 08:00,6.9,740.5,764.5,2.3,15,Wind blowing from the north-northwest,4,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,21.8,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
31.03.2020 05:00,5.9,738.2,762.0,2.5,20,Wind blowing from the north-northwest,4,,11,,Cloud development not observed or not observable. ,,,-0.4,21.8,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
31.03.2020 02:00,7.7,735.7,759.4,1.9,22,Wind blowing from the north-northwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,21.8,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
30.03.2020 23:00,10.7,733.8,757.3,2.0,26,Wind blowing from the north-northwest,5,,9,,Cloud development not observed or not observable. ,,,,21.8,,,2500 or more  or no clouds.,,,30.0,-8.0,No precipitation,12,,,,
30.03.2020 20:00,14.7,731.8,755.7,0.9,11,Wind blowing from the south-west,1,,9,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,21.8,,,,,,5.0,-15.5,No precipitation,12,,,,
30.03.2020 17:00,20.9,730.9,754.6,-1.1,6,Wind blowing from the west-southwest,2,,9,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,21.8,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
30.03.2020 14:00,20.6,732.0,755.7,-1.7,7,Wind blowing from the west-southwest,5,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,21.1,,,1000-1500,,,30.0,-16.4,No precipitation,12,,,,
30.03.2020 11:00,17.5,733.7,757.4,-0.7,13,Wind blowing from the south-southeast,1,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,18.5,,,2500 or more  or no clouds.,,,22.0,-11.2,No precipitation,12,,,,
30.03.2020 08:00,5.0,734.4,758.5,0.7,20,Wind blowing from the west-northwest,1,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,18.5,,,2500 or more  or no clouds.,,,11.0,-16.1,No precipitation,12,,,,
30.03.2020 05:00,-0.1,733.7,757.7,0.0,27,Wind blowing from the west-northwest,1,,9,,Cloud development not observed or not observable. ,,,-3.8,18.5,,,2500 or more  or no clouds.,,,30.0,-16.9,No precipitation,12,,,,
30.03.2020 02:00,2.9,733.7,757.6,0.2,27,Wind blowing from the west-northwest,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,18.5,,,2500 or more  or no clouds.,,,24.0,-14.3,No precipitation,12,,,,
29.03.2020 23:00,6.3,733.5,757.3,0.8,26,Wind blowing from the east-northeast,1,,12,,Cloud development not observed or not observable. ,,,,18.5,,,2500 or more  or no clouds.,,,15.0,-11.8,No precipitation,12,,,,
29.03.2020 20:00,11.7,732.7,756.7,0.9,19,Wind blowing from the west-southwest,2,,,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.5,,,2500 or more  or no clouds.,,,23.0,-11.2,No precipitation,12,,,,
29.03.2020 17:00,17.3,731.8,755.9,-1.3,11,Wind blowing from the south-west,4,,12,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,18.5,,,1000-1500,,,30.0,-13.4,No precipitation,12,,,,
29.03.2020 14:00,17.3,733.1,757.1,-2.3,10,Wind blowing from the west-southwest,6,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,18.1,,,,,,30.0,-14.6,No precipitation,12,,,,
29.03.2020 11:00,13.8,735.4,759.6,-1.8,11,Wind blowing from the west-southwest,6,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,14.2,,,,,,30.0,-16.2,No precipitation,12,,,,
29.03.2020 08:00,4.1,737.2,761.6,-0.4,20,Wind blowing from the north-west,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,12.5,,,,,,9.0,-16.9,No precipitation,12,,,,
29.03.2020 05:00,-3.4,737.6,762.1,-0.3,34,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,,,-8.2,12.5,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
29.03.2020 02:00,-1.1,737.9,762.4,0.2,29,Wind blowing from the west-northwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,12.5,,,2500 or more  or no clouds.,,,30.0,-16.9,No precipitation,12,,,,
28.03.2020 23:00,1.0,737.7,762.2,0.2,23,Wind blowing from the west-northwest,1,,11,,Cloud development not observed or not observable. ,,,,12.5,,,2500 or more  or no clouds.,,,18.0,-17.8,No precipitation,12,,,,
28.03.2020 20:00,5.0,737.5,762.2,0.3,19,Wind blowing from the north,0,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.5,,,,,,11.0,-16.7,No precipitation,12,,,,
28.03.2020 17:00,12.2,737.2,761.8,-2.0,10,Wind blowing from the west,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,12.5,,,,,,30.0,-18.5,No precipitation,12,,,,
28.03.2020 14:00,10.6,739.2,763.9,-2.6,10,Wind blowing from the west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,10.6,,,,,,30.0,-19.8,No precipitation,12,,,,
28.03.2020 11:00,7.5,741.8,766.6,-1.4,11,Wind blowing from the west-northwest,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,7.5,,,,,,30.0,-21.1,No precipitation,12,,,,
28.03.2020 08:00,-0.9,743.2,768.4,0.0,23,Wind blowing from the west-northwest,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,3.4,,,,,,18.0,-19.4,No precipitation,12,,,,
28.03.2020 05:00,-5.8,743.2,768.5,-0.2,34,Wind blowing from the east,2,,14,,Cloud development not observed or not observable. ,,,-6.5,3.4,,,2500 or more  or no clouds.,,,30.0,-19.2,No precipitation,12,,,,
28.03.2020 02:00,-6.1,743.4,768.7,-0.3,35,Wind blowing from the north,0,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,3.4,,,2500 or more  or no clouds.,,,30.0,-19.1,No precipitation,12,,,,
27.03.2020 23:00,-3.2,743.7,768.9,0.2,31,Wind blowing from the west,1,,16,,Cloud development not observed or not observable. ,,,-6.4,3.4,,,2500 or more  or no clouds.,,,21.0,-17.9,No precipitation,12,,,,
27.03.2020 20:00,-0.2,743.5,768.6,1.2,26,Wind blowing from the west-northwest,2,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,3.4,,,,,,29.0,-17.4,No precipitation,12,,,,
27.03.2020 17:00,2.0,742.3,767.5,0.3,21,Wind blowing from the west-northwest,5,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,3.6,,,,,,30.0,-18.0,No precipitation,12,,,,
