Local time in Ruili,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 11:00,21.8,696.5,760.9,1.0,48,Wind blowing from the east,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,30.4,,,2500 or more  or no clouds.,,,4.6,10.3,No precipitation,12,,,,
03.04.2020 08:00,15.6,695.5,759.9,1.3,78,Wind blowing from the north,0,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,30.4,,,2500 or more  or no clouds.,,,4.1,11.8,No precipitation,12,,,,
03.04.2020 05:00,17.5,694.2,757.6,0.1,70,Wind blowing from the north-northwest,1,,7,,Haze. ,,,16.6,30.4,,,2500 or more  or no clouds.,,,4.8,12.0,No precipitation,12,,,,
03.04.2020 02:00,17.8,694.1,757.8,,70,Wind blowing from the west,1,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,30.4,,,2500 or more  or no clouds.,,,4.9,12.3,No precipitation,12,,,,
02.04.2020 20:00,24.7,692.0,755.8,0.5,39,Wind blowing from the east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,30.4,,,2500 or more  or no clouds.,,,8.0,9.8,No precipitation,12,,,,
02.04.2020 17:00,30.1,691.5,754.6,-1.9,31,Wind blowing from the west,4,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,30.7,,,2500 or more  or no clouds.,,,7.0,11.1,No precipitation,12,,,,
02.04.2020 14:00,27.3,693.4,757.0,-1.5,48,Wind blowing from the south-west,2,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,30.7,,,2500 or more  or no clouds.,,,3.1,15.3,No precipitation,12,,,,
02.04.2020 11:00,21.0,694.9,758.9,,70,Wind blowing from the south-west,1,,2,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,,,,,,,2.0,15.3,No precipitation,6,,,,
02.04.2020 08:00,16.8,693.6,757.5,1.2,89,Wind blowing from the north-west,1,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,30.7,,,2500 or more  or no clouds.,,,1.8,15.0,No precipitation,12,,,,
02.04.2020 05:00,17.4,692.4,755.5,-0.5,84,Wind blowing from the west-northwest,1,,4,,Haze. ,,,15.3,30.7,,,2500 or more  or no clouds.,,,2.5,14.7,No precipitation,12,,,,
02.04.2020 02:00,18.6,692.9,756.4,,79,Wind blowing from the west,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,30.7,,,2500 or more  or no clouds.,,,2.8,14.9,No precipitation,12,,,,
01.04.2020 20:00,25.3,691.0,754.9,0.1,52,Wind blowing from the north-west,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,30.7,,,2500 or more  or no clouds.,,,4.3,14.7,No precipitation,12,,,,
01.04.2020 17:00,30.7,690.9,754.0,-2.1,29,Wind blowing from the west-southwest,2,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,33.1,,,2500 or more  or no clouds.,,,5.0,10.6,No precipitation,12,,,,
01.04.2020 14:00,27.2,693.0,756.4,-2.2,39,Wind blowing from the south-southwest,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,33.1,,,2500 or more  or no clouds.,,,4.2,12.1,No precipitation,12,,,,
01.04.2020 11:00,20.0,695.2,759.3,0.7,66,Wind blowing from the south-southwest,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,,,,2500 or more  or no clouds.,,,2.4,13.5,No precipitation,12,,,,
01.04.2020 08:00,15.6,694.5,758.4,1.3,83,Wind blowing from the west,0,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,33.1,,,2500 or more  or no clouds.,,,2.5,12.7,No precipitation,12,,,,
01.04.2020 05:00,16.0,693.2,756.4,-0.2,83,Wind blowing from the west-northwest,1,,8,,Haze. ,,,14.0,33.1,,,2500 or more  or no clouds.,,,2.8,13.1,No precipitation,12,,,,
01.04.2020 02:00,18.6,693.4,756.7,,74,Wind blowing from the north-west,1,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,33.1,,,2500 or more  or no clouds.,,,3.7,13.9,No precipitation,12,,,,
31.03.2020 20:00,27.7,691.7,755.5,0.5,37,Wind blowing from the south,1,,8,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,33.1,,,1000-1500,,,7.0,11.7,No precipitation,12,,,,
31.03.2020 17:00,32.8,691.2,754.2,-2.6,23,Wind blowing from the south,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,33.0,,,,,,8.0,9.0,No precipitation,12,,,,
31.03.2020 14:00,28.5,693.8,757.3,,33,Wind blowing from the south-west,1,,3,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,32.8,,,,,,5.0,10.7,No precipitation,6,,,,
31.03.2020 11:00,19.9,696.1,760.3,1.5,63,Wind blowing from the north-west,1,,3,10%  or less  but not 0,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,,,,1000-1500,,,3.2,12.7,No precipitation,12,,,,
31.03.2020 08:00,14.3,694.6,758.8,0.9,86,Wind blowing from the west-southwest,1,,3,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,32.8,,,,,,3.3,12.0,No precipitation,12,,,,
31.03.2020 05:00,15.8,693.7,756.9,-0.2,82,Wind blowing from the west-southwest,1,,7,,Haze. ,,,15.3,32.8,,,2500 or more  or no clouds.,,,3.2,12.7,No precipitation,12,,,,
31.03.2020 02:00,17.9,693.9,757.3,,75,Wind blowing from the north,0,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,32.8,,,2500 or more  or no clouds.,,,5.0,13.4,No precipitation,12,,,,
30.03.2020 20:00,26.9,691.6,755.4,0.9,50,Wind blowing from the west-northwest,1,,9,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,32.8,,,1000-1500,,,5.0,15.6,No precipitation,12,,,,
30.03.2020 17:00,32.6,690.7,753.6,-2.0,31,Wind blowing from the west,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,32.8,,,,,,10.0,13.3,No precipitation,12,,,,
30.03.2020 14:00,29.4,692.7,755.9,-1.6,39,Wind blowing from the west-southwest,2,,4,10%  or less  but not 0,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,33.4,,,2500 or more  or no clouds.,,,6.0,14.0,No precipitation,12,,,,
30.03.2020 11:00,22.5,694.3,758.1,0.9,56,Wind blowing from the west-southwest,1,,3,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,,,,,,,4.1,13.3,No precipitation,12,,,,
30.03.2020 08:00,15.3,693.4,757.3,1.4,85,Wind blowing from the west,0,,3,10%  or less  but not 0,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,33.4,,,600-1000,,,3.7,12.8,No precipitation,12,,,,
30.03.2020 05:00,16.6,692.0,755.0,-0.8,86,Wind blowing from the west-northwest,1,,8,,Mist. ,,,16.5,33.4,,,2500 or more  or no clouds.,,,3.6,14.3,No precipitation,12,,,,
30.03.2020 02:00,18.5,692.8,756.0,,75,Wind blowing from the west,1,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.1,33.4,,,2500 or more  or no clouds.,,,5.0,14.0,No precipitation,12,,,,
29.03.2020 20:00,26.3,690.9,754.4,0.2,50,Wind blowing from the west-northwest,1,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.1,33.4,,,1000-1500,,,7.0,15.1,No precipitation,12,,,,
29.03.2020 17:00,32.6,690.7,753.5,-1.9,23,Wind blowing from the west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.1,33.4,,,2500 or more  or no clouds.,,,15.0,8.8,No precipitation,12,,,,
29.03.2020 14:00,30.1,692.6,755.6,-1.7,37,Wind blowing from the south-west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.1,32.3,,,2500 or more  or no clouds.,,,8.0,13.8,No precipitation,12,,,,
29.03.2020 11:00,22.0,694.3,758.2,1.7,64,Wind blowing from the east-southeast,1,,3,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.1,,,,600-1000,,,3.8,14.9,No precipitation,12,,,,
29.03.2020 08:00,17.5,692.6,756.1,,87,Wind blowing from the south-west,0,,3,60%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,32.3,,,1000-1500,,,3.0,15.3,No precipitation,6,,,,
29.03.2020 05:00,17.8,691.4,754.3,-0.6,83,Wind blowing from the west-southwest,1,,8,,Haze. ,,,15.3,32.3,,,2500 or more  or no clouds.,,,3.3,14.9,No precipitation,12,,,,
29.03.2020 02:00,19.4,692.0,755.1,,78,Wind blowing from the west-southwest,1,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,32.3,,,2500 or more  or no clouds.,,,4.0,15.5,No precipitation,12,,,,
28.03.2020 20:00,27.3,690.7,754.2,0.3,46,Wind blowing from the south-southeast,1,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,32.3,,,1000-1500,,,7.0,14.7,No precipitation,12,,,,
28.03.2020 17:00,32.1,690.4,753.4,-2.3,30,Wind blowing from the west,4,,8,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,32.3,,,1000-1500,,,11.0,12.4,No precipitation,12,,,,
28.03.2020 14:00,29.1,692.7,756.0,-2.5,41,Wind blowing from the south-southwest,3,,5,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,31.1,,,1000-1500,,,7.0,14.5,No precipitation,12,,,,
28.03.2020 11:00,22.0,695.2,759.1,0.6,60,Wind blowing from the south-southeast,1,,2,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,31.1,,,1000-1500,,,4.4,13.9,No precipitation,12,,,,
28.03.2020 08:00,15.7,694.6,758.6,1.1,88,Wind blowing from the north,0,,2,60%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,31.1,,,1500-2000,,,3.4,13.7,No precipitation,12,,,,
28.03.2020 05:00,16.7,693.5,756.9,,83,Wind blowing from the west-southwest,0,,7,,Haze. ,,,14.5,31.1,,,,,,5.0,13.8,No precipitation,6,,,,
28.03.2020 02:00,18.0,694.6,758.0,,79,Wind blowing from the west,1,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,31.1,,,2500 or more  or no clouds.,,,6.0,14.3,No precipitation,12,,,,
27.03.2020 20:00,26.1,693.1,757.2,0.4,44,Wind blowing from the south-southwest,2,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,31.1,,,1000-1500,,,7.0,12.9,No precipitation,12,,,,
27.03.2020 17:00,30.4,692.7,756.1,,32,Wind blowing from the west-southwest,4,,8,60%., ,,,14.5,31.1,,,1000-1500,,,13.0,11.9,No precipitation,6,,,,
27.03.2020 14:00,28.9,694.4,758.0,-1.7,40,Wind blowing from the south-west,2,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,30.4,,,1000-1500,,,9.0,14.0,No precipitation,12,,,,
27.03.2020 11:00,21.7,696.1,760.3,1.1,60,Wind blowing from the south-west,1,,2,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,30.4,,,,,,4.5,13.6,No precipitation,12,,,,
27.03.2020 08:00,14.6,695.0,759.4,,87,Wind blowing from the west,1,,3,10%  or less  but not 0,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,30.4,,,600-1000,,,3.9,12.5,No precipitation,6,,,,
27.03.2020 05:00,15.4,694.2,757.8,-0.6,87,Wind blowing from the west,1,,6,,Mist. ,,,13.2,30.4,,,2500 or more  or no clouds.,,,3.2,13.2,No precipitation,12,,,,
27.03.2020 02:00,17.1,694.8,758.7,,79,Wind blowing from the west,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,30.4,,,2500 or more  or no clouds.,,,3.6,13.4,No precipitation,12,,,,
26.03.2020 20:00,25.0,692.5,756.7,0.6,46,Wind blowing from the south-southeast,1,,7,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,30.4,,,1000-1500,,,8.0,12.6,No precipitation,12,,,,
26.03.2020 17:00,30.0,691.9,755.5,,31,Wind blowing from the west,3,,7,20–30%., ,,,13.2,30.4,,,1000-1500,,,15.0,11.0,No precipitation,6,,,,
26.03.2020 14:00,26.0,693.9,757.9,-1.7,41,Wind blowing from the south-west,1,,4,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,29.8,,,1000-1500,,,10.0,11.7,No precipitation,12,,,,
26.03.2020 11:00,19.2,695.6,760.2,,60,Wind blowing from the south-southwest,1,,3,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,,,,600-1000,,,5.0,11.3,No precipitation,6,,,,
26.03.2020 08:00,13.6,694.3,758.7,1.0,84,Wind blowing from the south-southeast,1,,2,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,29.8,,,600-1000,,,5.0,11.0,No precipitation,12,,,,
26.03.2020 05:00,14.2,693.3,757.0,,85,Wind blowing from the west,0,,7,,Haze. ,,,12.8,29.8,,,,,,6.0,11.7,No precipitation,6,,,,
26.03.2020 02:00,16.1,693.7,757.6,,73,Calm  no wind,0,,,, ,,,12.8,29.8,,,,,,14.0,11.3,No precipitation,6,,,,
25.03.2020 20:00,24.4,691.7,756.1,0.5,36,Wind blowing from the west,2,,7,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,29.8,,,1000-1500,,,20.0,8.4,No precipitation,12,,,,
25.03.2020 17:00,29.6,691.2,754.7,,30,Wind blowing from the west,3,,6,20–30%., ,,,12.8,29.8,,,1000-1500,,,21.0,10.2,No precipitation,6,,,,
25.03.2020 14:00,26.2,693.4,757.2,-2.0,40,Wind blowing from the south-southwest,2,,4,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,28.2,,,1000-1500,,,15.0,11.5,No precipitation,12,,,,
25.03.2020 11:00,18.7,695.4,760.0,,69,Wind blowing from the south,1,,3,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,28.2,,,,,,5.0,12.9,No precipitation,6,,,,
25.03.2020 08:00,12.8,694.0,759.0,0.6,92,Wind blowing from the west-southwest,0,,3,10%  or less  but not 0,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,28.2,,,600-1000,,,3.6,11.5,No precipitation,12,,,,
