Local time in Aletai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
04.04.2020 08:00,9.6,703.9,768.3,0.3,16,Wind blowing from the north,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,18.3,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
04.04.2020 05:00,10.1,703.6,767.8,-0.3,17,Wind blowing from the north,3,,9,,Cloud development not observed or not observable. ,,,6.5,18.3,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
04.04.2020 02:00,9.8,703.9,768.1,-0.4,20,Wind blowing from the north-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,18.3,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
03.04.2020 23:00,11.5,704.3,768.5,0.5,19,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,,,6.5,18.3,,,2500 or more  or no clouds.,,,30.0,-11.3,No precipitation,12,,,,
03.04.2020 20:00,15.1,703.8,768.5,-0.4,17,Wind blowing from the north,0,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,18.3,,,2500 or more  or no clouds.,,,5.0,-9.8,No precipitation,12,,,,
03.04.2020 17:00,17.3,704.2,768.7,-1.3,11,Wind blowing from the east-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,18.3,,,2500 or more  or no clouds.,,,,-13.4,No precipitation,12,,,,
03.04.2020 14:00,17.1,705.5,769.9,-0.3,10,Wind blowing from the south-east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,17.2,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
03.04.2020 11:00,15.4,705.8,770.4,0.7,11,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,17.2,,,2500 or more  or no clouds.,,,25.0,-14.9,No precipitation,12,,,,
03.04.2020 08:00,7.4,705.1,769.9,0.7,20,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,17.2,,,2500 or more  or no clouds.,,,25.0,-14.1,No precipitation,12,,,,
03.04.2020 05:00,7.3,704.4,769.0,0.5,22,Wind blowing from the north-northeast,2,,8,,Cloud development not observed or not observable. ,,,5.8,17.2,,,2500 or more  or no clouds.,,,26.0,-13.0,No precipitation,12,,,,
03.04.2020 02:00,8.8,703.9,768.5,0.2,21,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,17.2,,,2500 or more  or no clouds.,,,27.0,-12.3,No precipitation,12,,,,
02.04.2020 23:00,9.5,703.7,768.4,0.7,24,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,,,5.5,17.2,,,2500 or more  or no clouds.,,,25.0,-10.1,No precipitation,12,,,,
02.04.2020 20:00,14.8,703.0,767.8,-0.3,15,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,17.2,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
02.04.2020 17:00,16.3,703.3,768.0,-1.0,11,Wind blowing from the east-southeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,17.2,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
02.04.2020 14:00,15.1,704.3,769.2,-0.5,11,Wind blowing from the south-southeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,16.0,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,12,,,,
02.04.2020 11:00,13.2,704.8,769.7,0.9,15,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,13.9,,,2500 or more  or no clouds.,,,27.0,-12.9,No precipitation,12,,,,
02.04.2020 08:00,6.0,703.9,769.2,0.4,22,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,13.9,,,2500 or more  or no clouds.,,,26.0,-14.1,No precipitation,12,,,,
02.04.2020 05:00,5.7,703.5,768.6,0.2,25,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,,,2.4,13.9,,,2500 or more  or no clouds.,,,28.0,-12.8,0.1,12,,,,
02.04.2020 02:00,6.4,703.3,768.4,0.6,26,Wind blowing from the north-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,13.9,,,2500 or more  or no clouds.,,,27.0,-11.7,0.1,12,,,,
01.04.2020 23:00,7.6,702.7,767.8,0.9,25,Wind blowing from the north-northeast,2,,10,,Cloud development not observed or not observable. ,,,2.4,13.9,,,2500 or more  or no clouds.,,,29.0,-11.2,0.1,12,,,,
01.04.2020 20:00,12.2,701.8,767.2,-0.3,16,Wind blowing from the north-east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,13.9,,,2500 or more  or no clouds.,,,30.0,-12.9,No precipitation,12,,,,
01.04.2020 17:00,13.3,702.1,767.4,-1.2,13,Wind blowing from the east-northeast,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,13.6,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
01.04.2020 14:00,12.1,703.3,768.7,-0.5,17,Wind blowing from the east-southeast,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,12.3,,,2500 or more  or no clouds.,,,25.0,-12.2,No precipitation,12,,,,
01.04.2020 11:00,10.1,703.8,769.4,0.7,13,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,10.8,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
01.04.2020 08:00,3.1,703.1,769.0,0.0,23,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,10.8,,,2500 or more  or no clouds.,,,26.0,-16.0,No precipitation,12,,,,
01.04.2020 05:00,3.5,703.1,768.8,-0.2,25,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,,,-1.9,10.8,,,2500 or more  or no clouds.,,,27.0,-14.7,No precipitation,12,,,,
01.04.2020 02:00,4.4,703.3,769.0,-0.1,26,Wind blowing from the north-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,10.8,,,2500 or more  or no clouds.,,,26.0,-13.4,No precipitation,12,,,,
31.03.2020 23:00,4.6,703.4,769.4,-0.2,32,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,,,-1.9,10.8,,,2500 or more  or no clouds.,,,27.0,-10.7,No precipitation,12,,,,
31.03.2020 20:00,8.9,703.6,770.1,-0.9,25,Wind blowing from the south-east,1,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,10.8,,,,,,29.0,-10.1,No precipitation,12,,,,
31.03.2020 17:00,10.2,704.5,770.6,-1.4,17,Wind blowing from the south-east,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,10.5,,,,,,26.0,-13.8,No precipitation,12,,,,
31.03.2020 14:00,9.2,705.9,772.2,-0.3,21,Wind blowing from the south-east,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,9.5,,,,,,28.0,-12.0,No precipitation,12,,,,
31.03.2020 11:00,6.8,706.2,772.8,0.6,22,Wind blowing from the west-southwest,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,7.0,,,,,,26.0,-13.4,No precipitation,12,,,,
31.03.2020 08:00,-1.6,705.6,772.7,0.8,46,Wind blowing from the south,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,7.0,,,,,,25.0,-11.7,No precipitation,12,,,,
31.03.2020 05:00,1.0,704.8,771.5,-0.5,27,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,,,-6.0,7.0,,,2500 or more  or no clouds.,,,27.0,-15.9,No precipitation,12,,,,
31.03.2020 02:00,1.4,705.3,772.3,0.2,26,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,7.0,,,2500 or more  or no clouds.,,,26.0,-16.0,No precipitation,12,,,,
30.03.2020 23:00,1.8,705.1,772.6,0.3,31,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,,,-6.0,7.0,,,2500 or more  or no clouds.,,,24.0,-13.5,No precipitation,12,,,,
30.03.2020 20:00,5.8,704.8,772.4,-0.1,31,Wind blowing from the west,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,7.0,,,,,,30.0,-10.0,No precipitation,12,,,,
30.03.2020 17:00,5.8,704.9,772.4,-0.7,31,Wind blowing from the south-west,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,6.0,,,,,,26.0,-10.0,No precipitation,12,,,,
30.03.2020 14:00,3.4,705.6,773.2,0.0,37,Wind blowing from the south-west,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,4.4,,,,,,26.0,-9.9,No precipitation,12,,,,
30.03.2020 11:00,-0.2,705.6,773.4,1.0,52,Wind blowing from the south,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,4.4,,,2500 or more  or no clouds.,,,21.0,-8.9,No precipitation,12,,,,
30.03.2020 08:00,-5.7,704.6,772.8,0.8,88,Wind blowing from the west,1,,10,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,4.4,,,2500 or more  or no clouds.,,,19.0,-7.4,No precipitation,12,,,,
30.03.2020 05:00,-5.1,703.8,771.6,0.5,84,Wind blowing from the north,0,,11,,Cloud development not observed or not observable. ,,,-5.1,4.4,,,2500 or more  or no clouds.,,,21.0,-7.4,No precipitation,12,,,,
30.03.2020 02:00,-3.1,703.3,770.7,0.1,71,Wind blowing from the east-northeast,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,4.4,,,2500 or more  or no clouds.,,,19.0,-7.6,No precipitation,12,,,,
29.03.2020 23:00,-1.3,703.2,770.5,1.4,60,Wind blowing from the west-northwest,4,,12,,Cloud development not observed or not observable. ,,,-2.1,4.4,,,2500 or more  or no clouds.,,,18.0,-8.1,No precipitation,12,,,,
29.03.2020 20:00,0.8,701.8,769.0,0.7,53,Wind blowing from the west-northwest,4,,12,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,8.0,,,2500 or more  or no clouds.,,,19.0,-7.7,No precipitation,12,,,,
29.03.2020 17:00,2.4,701.1,768.1,0.4,44,Wind blowing from the west,6,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,9.8,,,2500 or more  or no clouds.,,,21.0,-8.6,No precipitation,12,,,,
29.03.2020 14:00,3.3,700.7,767.2,0.7,58,Wind blowing from the west,7,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,9.8,,,2500 or more  or no clouds.,,,24.0,-4.2,No precipitation,12,,,,
29.03.2020 11:00,2.2,700.0,766.5,1.7,64,Wind blowing from the west,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,9.8,,,2500 or more  or no clouds.,,,20.0,-3.9,No precipitation,12,,,,
29.03.2020 08:00,-0.6,698.3,764.3,0.5,74,Wind blowing from the north-northeast,0,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,9.8,,,2500 or more  or no clouds.,,,19.0,-4.8,No precipitation,12,,,,
29.03.2020 05:00,-1.1,697.8,763.6,-0.1,75,Wind blowing from the north-northeast,0,,5,,Cloud development not observed or not observable. ,,,-1.2,9.8,,,2500 or more  or no clouds.,,,20.0,-5.0,0.1,12,,,,
29.03.2020 02:00,2.7,697.9,763.5,-0.3,36,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,9.8,,,2500 or more  or no clouds.,,,24.0,-10.9,0.1,12,,,,
28.03.2020 23:00,2.7,698.2,763.9,0.6,46,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,,,0.4,9.8,,,2500 or more  or no clouds.,,,22.0,-7.8,0.1,12,,,,
28.03.2020 20:00,8.0,697.6,763.4,-0.5,26,Wind blowing from the south-southwest,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,9.8,,,,,,29.0,-10.3,No precipitation,12,,,,
28.03.2020 17:00,9.4,698.1,763.6,-1.3,23,Wind blowing from the south-southeast,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,9.5,,,,,,28.0,-10.7,No precipitation,12,,,,
28.03.2020 14:00,8.2,699.4,765.3,-0.5,28,Wind blowing from the south-southeast,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,8.3,,,,,,28.0,-9.2,No precipitation,12,,,,
28.03.2020 11:00,6.7,699.9,765.8,0.0,21,Wind blowing from the east-southeast,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,8.1,,,,,,22.0,-14.1,No precipitation,12,,,,
28.03.2020 08:00,0.6,699.9,766.1,-0.5,33,Wind blowing from the north,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,8.1,,,,,,20.0,-13.8,No precipitation,12,,,,
28.03.2020 05:00,1.3,700.4,766.4,-1.4,32,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,,,-2.5,8.1,,,2500 or more  or no clouds.,,,22.0,-13.6,No precipitation,12,,,,
28.03.2020 02:00,1.5,701.8,767.9,-0.9,33,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,8.1,,,2500 or more  or no clouds.,,,22.0,-13.0,No precipitation,12,,,,
27.03.2020 23:00,2.5,702.7,769.3,-0.4,35,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,,,-2.5,8.1,,,2500 or more  or no clouds.,,,24.0,-11.4,No precipitation,12,,,,
27.03.2020 20:00,6.1,703.1,769.9,-1.4,27,Wind blowing from the south-east,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,8.1,,,,,,30.0,-11.5,No precipitation,12,,,,
27.03.2020 17:00,8.0,704.5,771.1,-1.3,24,Wind blowing from the south-east,3,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,8.1,,,,,,30.0,-11.3,No precipitation,12,,,,
