Local time in Mangnai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,6.4,535.1,766.1,-0.8,19,Wind blowing from the north-east,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,7.1,,,2500 or more  or no clouds.,,,28.0,-15.6,No precipitation,12,,,,
06.04.2020 14:00,5.6,535.9,766.0,-1.4,19,Wind blowing from the west-northwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,7.4,,,2500 or more  or no clouds.,,,18.0,-16.2,No precipitation,12,,,,
06.04.2020 11:00,-0.5,537.3,769.9,0.7,53,Wind blowing from the south-southwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,7.4,,,2500 or more  or no clouds.,,,21.0,-8.9,No precipitation,12,,,,
06.04.2020 08:00,-5.8,536.6,771.0,0.7,75,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,7.4,,,2500 or more  or no clouds.,,,22.0,-9.5,No precipitation,12,,,,
06.04.2020 05:00,-6.4,535.9,767.5,-0.5,75,Wind blowing from the east-northeast,0,,11,,Cloud development not observed or not observable. ,,,-6.4,7.4,,,2500 or more  or no clouds.,,,23.0,-10.1,No precipitation,12,,,,
06.04.2020 02:00,-3.0,536.4,767.1,-0.5,60,Wind blowing from the north-east,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,7.4,,,2500 or more  or no clouds.,,,23.0,-9.7,No precipitation,12,,,,
05.04.2020 23:00,-0.5,536.9,769.0,0.0,57,Wind blowing from the south-east,3,,14,,Cloud development not observed or not observable. ,,,-6.4,7.4,,,2500 or more  or no clouds.,,,19.0,-8.0,No precipitation,12,,,,
05.04.2020 20:00,0.4,536.9,771.6,1.7,69,Wind blowing from the north-northeast,2,,14,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,7.4,,,2500 or more  or no clouds.,,,14.0,-4.6,No precipitation,12,,,,
05.04.2020 17:00,6.0,535.2,765.5,-0.6,32,Wind blowing from the south-southwest,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,7.4,,,2500 or more  or no clouds.,,,17.0,-9.4,No precipitation,12,,,,
05.04.2020 14:00,4.8,535.8,765.7,-1.3,26,Wind blowing from the west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,7.7,,,2500 or more  or no clouds.,,,17.0,-13.1,No precipitation,12,,,,
05.04.2020 11:00,-0.1,537.1,768.7,0.4,47,Wind blowing from the south-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,7.7,,,2500 or more  or no clouds.,,,13.0,-10.1,No precipitation,12,,,,
05.04.2020 08:00,-6.1,536.7,769.6,0.2,80,Wind blowing from the east-northeast,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,7.7,,,2500 or more  or no clouds.,,,11.0,-9.0,No precipitation,12,,,,
05.04.2020 05:00,-4.5,536.5,767.2,-0.3,80,Wind blowing from the south-east,2,,13,,Cloud development not observed or not observable. ,,,-4.5,7.7,,,2500 or more  or no clouds.,,,15.0,-7.4,No precipitation,12,,,,
05.04.2020 02:00,-1.7,536.8,766.6,-0.4,69,Wind blowing from the east,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,7.7,,,2500 or more  or no clouds.,,,12.0,-6.8,No precipitation,12,,,,
04.04.2020 23:00,0.8,537.2,768.4,0.7,61,Wind blowing from the south,3,,13,,Cloud development not observed or not observable. ,,,-4.1,7.7,,,2500 or more  or no clouds.,,,12.0,-5.9,No precipitation,12,,,,
04.04.2020 20:00,3.8,536.5,768.2,0.6,34,Wind blowing from the west-southwest,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,7.7,,,2500 or more  or no clouds.,,,8.0,-10.6,No precipitation,12,,,,
04.04.2020 17:00,6.6,535.9,765.1,-0.9,29,Wind blowing from the west-southwest,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,7.7,,,2500 or more  or no clouds.,,,10.0,-10.2,No precipitation,12,,,,
04.04.2020 14:00,5.9,536.8,766.1,-1.2,27,Wind blowing from the west-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,7.5,,,2500 or more  or no clouds.,,,19.0,-11.7,No precipitation,12,,,,
04.04.2020 11:00,0.6,538.0,769.9,0.4,49,Wind blowing from the south,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,7.5,,,2500 or more  or no clouds.,,,14.0,-9.1,No precipitation,12,,,,
04.04.2020 08:00,-3.8,537.6,769.6,0.8,51,Wind blowing from the south-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,7.5,,,2500 or more  or no clouds.,,,13.0,-12.5,No precipitation,12,,,,
04.04.2020 05:00,-1.9,536.8,766.3,-0.1,45,Wind blowing from the east-southeast,2,,9,,Cloud development not observed or not observable. ,,,-2.7,7.5,,,2500 or more  or no clouds.,,,13.0,-12.5,No precipitation,12,,,,
04.04.2020 02:00,-0.8,536.9,766.9,-0.2,32,Wind blowing from the south-east,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,7.5,,,2500 or more  or no clouds.,,,16.0,-15.4,No precipitation,12,,,,
03.04.2020 23:00,0.2,537.1,768.6,1.6,26,Wind blowing from the east,3,,9,,Cloud development not observed or not observable. ,,,-2.7,7.5,,,2500 or more  or no clouds.,,,16.0,-17.1,No precipitation,12,,,,
03.04.2020 20:00,4.0,535.5,766.0,0.8,18,Wind blowing from the north-east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,7.5,,,2500 or more  or no clouds.,,,17.0,-18.2,No precipitation,12,,,,
03.04.2020 17:00,6.7,534.7,762.7,-0.9,10,Wind blowing from the east-northeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,9.3,,,2500 or more  or no clouds.,,,30.0,-22.8,No precipitation,12,,,,
03.04.2020 14:00,4.4,535.6,764.7,-0.2,14,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,9.3,,,2500 or more  or no clouds.,,,29.0,-20.8,No precipitation,12,,,,
03.04.2020 11:00,0.7,535.8,765.6,1.2,37,Wind blowing from the south-southeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,9.3,,,2500 or more  or no clouds.,,,19.0,-12.3,No precipitation,12,,,,
03.04.2020 08:00,-2.5,534.6,764.2,1.1,33,Wind blowing from the east,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,9.3,,,2500 or more  or no clouds.,,,16.0,-16.6,No precipitation,12,,,,
03.04.2020 05:00,-0.6,533.5,759.9,-0.1,21,Wind blowing from the north,0,,11,,Cloud development not observed or not observable. ,,,-2.3,9.3,,,2500 or more  or no clouds.,,,27.0,-20.2,No precipitation,12,,,,
03.04.2020 02:00,0.1,533.6,760.4,0.6,22,Wind blowing from the east-southeast,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,9.3,,,2500 or more  or no clouds.,,,24.0,-19.1,No precipitation,12,,,,
02.04.2020 23:00,2.5,533.0,760.4,1.1,24,Wind blowing from the north-east,5,,11,,Cloud development not observed or not observable. ,,,-2.3,9.3,,,2500 or more  or no clouds.,,,20.0,-16.0,No precipitation,12,,,,
02.04.2020 20:00,5.2,531.9,759.3,0.9,19,Wind blowing from the north-east,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,10.0,,,2500 or more  or no clouds.,,,17.0,-16.6,No precipitation,12,,,,
02.04.2020 17:00,8.9,531.0,757.1,-1.2,19,Wind blowing from the south,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,12.7,,,2500 or more  or no clouds.,,,13.0,-13.5,No precipitation,12,,,,
02.04.2020 14:00,7.4,532.2,757.5,-0.9,24,Wind blowing from the south,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,12.7,,,2500 or more  or no clouds.,,,12.0,-11.9,No precipitation,12,,,,
02.04.2020 11:00,3.2,533.1,759.4,0.5,29,Wind blowing from the south-east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,12.7,,,2500 or more  or no clouds.,,,10.0,-13.1,No precipitation,12,,,,
02.04.2020 08:00,-0.6,532.6,758.1,0.2,35,Wind blowing from the east-southeast,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,12.7,,,2500 or more  or no clouds.,,,11.0,-14.2,No precipitation,12,,,,
02.04.2020 05:00,-2.1,532.4,757.3,0.4,36,Wind blowing from the north-northwest,1,,10,,Cloud development not observed or not observable. ,,,-5.5,12.7,,,2500 or more  or no clouds.,,,17.0,-15.2,No precipitation,12,,,,
02.04.2020 02:00,2.2,532.0,756.7,0.3,27,Wind blowing from the east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,12.7,,,2500 or more  or no clouds.,,,17.0,-14.9,No precipitation,12,,,,
01.04.2020 23:00,5.0,531.7,757.4,1.5,22,Wind blowing from the east-northeast,6,,10,,Cloud development not observed or not observable. ,,,-5.5,12.7,,,2500 or more  or no clouds.,,,14.0,-15.0,No precipitation,12,,,,
01.04.2020 20:00,10.0,530.2,756.7,0.7,15,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,12.7,,,2500 or more  or no clouds.,,,27.0,-15.5,No precipitation,12,,,,
01.04.2020 17:00,12.4,529.5,753.4,-1.6,15,Wind blowing from the south-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,12.5,,,2500 or more  or no clouds.,,,15.0,-13.5,No precipitation,12,,,,
01.04.2020 14:00,8.4,531.1,756.7,-1.3,19,Wind blowing from the south-southwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,9.1,,,2500 or more  or no clouds.,,,15.0,-13.9,No precipitation,12,,,,
01.04.2020 11:00,3.1,532.4,759.7,0.1,26,Wind blowing from the south,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,9.1,,,2500 or more  or no clouds.,,,19.0,-14.6,No precipitation,12,,,,
01.04.2020 08:00,-5.0,532.3,761.9,0.7,44,Wind blowing from the east,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,9.1,,,2500 or more  or no clouds.,,,16.0,-15.4,No precipitation,12,,,,
01.04.2020 05:00,-2.2,531.6,758.2,-0.4,35,Wind blowing from the east-northeast,2,,18,,Cloud development not observed or not observable. ,,,-4.9,9.1,,,2500 or more  or no clouds.,,,20.0,-15.9,No precipitation,12,,,,
01.04.2020 02:00,-0.6,532.0,758.3,-0.7,35,Wind blowing from the east-southeast,2,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,9.1,,,2500 or more  or no clouds.,,,22.0,-14.2,No precipitation,12,,,,
31.03.2020 23:00,2.1,532.7,760.7,0.8,33,Wind blowing from the south,2,,19,,Cloud development not observed or not observable. ,,,-4.9,9.1,,,2500 or more  or no clouds.,,,22.0,-12.5,No precipitation,12,,,,
31.03.2020 20:00,5.5,531.9,761.1,0.3,26,Wind blowing from the north-west,6,,19,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,9.1,,,1500-2000,,,18.0,-12.5,No precipitation,12,,,,
31.03.2020 17:00,8.3,531.6,758.8,-0.9,20,Wind blowing from the north-west,9,,,90  or more  but not 100%,Dust or sand raised by wind at or near the station at the time of observation  but no well-developed dust whirl(s) or sand whirl(s)  and no duststorm or sandstorm seen, or  in the case of ships  blowing spray at the station. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,9.1,,,1500-2000,,,1.4,-13.3,No precipitation,12,,,,
31.03.2020 14:00,7.7,532.5,759.9,-1.2,15,Wind blowing from the west-northwest,8,,18,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,8.1,,,1500-2000,,,7.0,-17.3,No precipitation,12,,,,
31.03.2020 11:00,2.1,533.7,762.8,0.6,26,Wind blowing from the south-southwest,1,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,6.3,,,2500 or more  or no clouds.,,,14.0,-15.4,No precipitation,12,,,,
31.03.2020 08:00,-4.4,533.1,763.1,0.8,43,Wind blowing from the east-southeast,2,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,6.3,,,,,,15.0,-15.1,No precipitation,12,,,,
31.03.2020 05:00,-3.6,532.3,761.1,-0.1,38,Wind blowing from the east,2,,16,,Cloud development not observed or not observable. ,,,-4.2,6.3,,,2500 or more  or no clouds.,,,19.0,-15.9,No precipitation,12,,,,
31.03.2020 02:00,-2.3,532.4,761.2,-0.4,31,Wind blowing from the east,1,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,6.3,,,2500 or more  or no clouds.,,,12.0,-17.1,No precipitation,12,,,,
30.03.2020 23:00,0.6,532.8,762.7,0.4,29,Wind blowing from the north,1,,16,,Cloud development not observed or not observable. ,,,-4.2,6.3,,,2500 or more  or no clouds.,,,11.0,-15.4,No precipitation,12,,,,
30.03.2020 20:00,4.9,532.4,761.9,0.5,21,Wind blowing from the west,5,,16,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,6.3,,,1500-2000,,,14.0,-15.6,No precipitation,12,,,,
30.03.2020 17:00,5.8,531.9,760.4,-1.3,25,Wind blowing from the south,3,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,6.1,,,1500-2000,,,7.0,-12.7,No precipitation,12,,,,
30.03.2020 14:00,4.4,533.2,761.5,-0.9,33,Wind blowing from the south,3,,7,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,6.8,,,1500-2000,,,4.3,-10.5,No precipitation,12,,,,
30.03.2020 11:00,-0.4,534.1,764.7,1.0,54,Wind blowing from the south-southeast,3,,,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,6.8,,,2500 or more  or no clouds.,,,3.2,-8.6,No precipitation,12,,,,
30.03.2020 08:00,-4.1,533.1,763.9,0.8,69,Wind blowing from the south-east,2,,9,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,6.8,,,2500 or more  or no clouds.,,,2.9,-9.1,No precipitation,12,,,,
30.03.2020 05:00,-3.3,532.3,761.1,-0.2,65,Wind blowing from the south,2,,10,,Haze. ,,,-3.3,6.8,,,2500 or more  or no clouds.,,,2.6,-9.1,No precipitation,12,,,,
30.03.2020 02:00,-0.5,532.5,759.4,0.3,61,Wind blowing from the south-southwest,3,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,6.8,,,2500 or more  or no clouds.,,,2.6,-7.1,No precipitation,12,,,,
29.03.2020 23:00,0.5,532.2,760.5,1.1,77,Wind blowing from the south-east,4,,10,,Haze. ,,,-2.3,6.8,,,2500 or more  or no clouds.,,,6.0,-3.1,No precipitation,12,,,,
29.03.2020 20:00,3.1,531.1,759.2,1.1,54,Wind blowing from the east-northeast,4,,10,100%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,6.8,,,1500-2000,,,15.0,-5.5,No precipitation,12,,,,
29.03.2020 17:00,5.5,530.0,757.1,-0.7,32,Wind blowing from the east,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,7.7,,,2500 or more  or no clouds.,,,19.0,-9.9,No precipitation,12,,,,
29.03.2020 14:00,6.6,530.7,756.4,-0.8,22,Wind blowing from the east,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,7.8,,,2500 or more  or no clouds.,,,19.0,-13.6,No precipitation,12,,,,
29.03.2020 11:00,2.6,531.5,758.6,0.5,31,Wind blowing from the south,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,7.8,,,2500 or more  or no clouds.,,,13.0,-12.8,No precipitation,12,,,,
29.03.2020 08:00,-0.6,531.0,757.9,0.2,32,Wind blowing from the east-northeast,2,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,7.8,,,2500 or more  or no clouds.,,,16.0,-15.3,No precipitation,12,,,,
29.03.2020 05:00,-1.9,530.8,757.3,-0.3,36,Wind blowing from the north-northeast,2,,10,,Cloud development not observed or not observable. ,,,-2.3,7.8,,,2500 or more  or no clouds.,,,17.0,-15.0,No precipitation,12,,,,
29.03.2020 02:00,0.9,531.1,757.6,-0.5,26,Wind blowing from the north-east,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,7.8,,,2500 or more  or no clouds.,,,17.0,-16.4,No precipitation,12,,,,
28.03.2020 23:00,2.3,531.6,759.1,0.9,25,Wind blowing from the east-northeast,2,,10,,Cloud development not observed or not observable. ,,,0.8,7.8,,,2500 or more  or no clouds.,,,15.0,-15.7,No precipitation,12,,,,
28.03.2020 20:00,5.4,530.7,756.4,0.3,20,Wind blowing from the north-northeast,5,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,9.8,,,2500 or more  or no clouds.,,,13.0,-15.8,No precipitation,12,,,,
28.03.2020 17:00,7.7,530.4,755.2,-1.0,31,Wind blowing from the south,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,12.9,,,2500 or more  or no clouds.,,,17.0,-8.4,No precipitation,12,,,,
28.03.2020 14:00,4.9,531.4,756.5,-0.5,42,Wind blowing from the south,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,,,,2500 or more  or no clouds.,,,17.0,-7.2,No precipitation,12,,,,
28.03.2020 11:00,2.2,531.9,757.9,0.6,45,Wind blowing from the south,2,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,12.9,,,2500 or more  or no clouds.,,,11.0,-8.5,No precipitation,12,,,,
28.03.2020 08:00,1.6,531.3,755.2,-0.2,33,Wind blowing from the east,1,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,12.9,,,1500-2000,,,17.0,-12.9,No precipitation,12,,,,
28.03.2020 05:00,1.1,531.5,754.6,-0.7,31,Wind blowing from the north-west,2,,11,,Cloud development not observed or not observable. ,,,-3.3,12.9,,,2500 or more  or no clouds.,,,19.0,-14.1,No precipitation,12,,,,
28.03.2020 02:00,4.2,532.2,756.1,-0.3,25,Wind blowing from the east-northeast,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,12.9,,,2500 or more  or no clouds.,,,20.0,-14.1,No precipitation,12,,,,
27.03.2020 23:00,5.7,532.5,758.9,0.4,22,Wind blowing from the east-northeast,5,,11,,Cloud development not observed or not observable. ,,,-3.3,12.9,,,2500 or more  or no clouds.,,,16.0,-14.4,No precipitation,12,,,,
