Local time in Da Qaidam,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
02.04.2020 08:00,-1.3,516.3,757.9,-0.1,36,Wind blowing from the north-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,8.8,,,2500 or more  or no clouds.,,,24.0,-14.5,No precipitation,12,,,,
02.04.2020 05:00,-2.3,516.4,756.5,-0.5,41,Wind blowing from the north,0,,10,,Cloud development not observed or not observable. ,,,-2.4,8.8,,,2500 or more  or no clouds.,,,22.0,-13.8,No precipitation,12,,,,
02.04.2020 02:00,-0.6,516.9,757.0,0.3,35,Wind blowing from the south-southeast,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,8.8,,,2500 or more  or no clouds.,,,21.0,-14.2,No precipitation,12,,,,
01.04.2020 23:00,2.9,516.6,756.9,0.8,25,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,,,-2.2,8.8,,,2500 or more  or no clouds.,,,20.0,-15.2,No precipitation,12,,,,
01.04.2020 20:00,4.6,515.8,757.2,0.2,30,Wind blowing from the west,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,8.8,,,2500 or more  or no clouds.,,,24.0,-11.5,No precipitation,12,,,,
01.04.2020 17:00,8.4,515.6,755.2,-1.0,20,Wind blowing from the west,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,8.7,,,2500 or more  or no clouds.,,,24.0,-13.3,No precipitation,12,,,,
01.04.2020 14:00,7.2,516.6,756.0,-1.2,22,Wind blowing from the west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,7.3,,,2500 or more  or no clouds.,,,20.0,-13.1,No precipitation,12,,,,
01.04.2020 11:00,3.1,517.8,759.0,0.5,25,Wind blowing from the west-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,5.9,,,2500 or more  or no clouds.,,,23.0,-15.0,No precipitation,12,,,,
01.04.2020 08:00,-1.5,517.3,760.3,0.6,32,Wind blowing from the north,0,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,5.9,,,2500 or more  or no clouds.,,,28.0,-16.1,No precipitation,12,,,,
01.04.2020 05:00,-2.1,516.7,758.4,-0.8,30,Wind blowing from the north,0,,16,,Cloud development not observed or not observable. ,,,-5.0,5.9,,,2500 or more  or no clouds.,,,30.0,-17.4,No precipitation,12,,,,
01.04.2020 02:00,0.7,517.5,758.2,-0.6,35,Wind blowing from the north-northwest,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,5.9,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
31.03.2020 23:00,2.1,518.1,760.3,1.0,31,Wind blowing from the north-west,3,,16,,Cloud development not observed or not observable. ,,,-5.0,5.9,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
31.03.2020 20:00,2.7,517.1,760.3,-0.4,22,Wind blowing from the west,3,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,5.9,,,1000-1500,,,24.0,-16.9,No precipitation,12,,,,
31.03.2020 17:00,5.4,517.5,760.6,-0.6,12,Wind blowing from the north-west,6,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,5.9,,,1000-1500,,,24.0,-21.8,No precipitation,12,,,,
31.03.2020 14:00,5.2,518.1,760.1,-0.3,21,Wind blowing from the west,6,,14,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,5.4,,,2500 or more  or no clouds.,,,21.0,-15.4,No precipitation,12,,,,
31.03.2020 11:00,1.7,518.4,761.2,1.1,43,Wind blowing from the west,4,,6,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,5.4,,,2500 or more  or no clouds.,,,10.0,-9.8,No precipitation,12,,,,
31.03.2020 08:00,-2.1,517.3,761.5,0.5,51,Wind blowing from the east-southeast,1,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,5.4,,,2500 or more  or no clouds.,,,11.0,-11.1,No precipitation,12,,,,
31.03.2020 05:00,-4.2,516.8,760.1,-1.5,63,Wind blowing from the south-southwest,1,,,,Cloud development not observed or not observable. ,,,-4.2,5.4,,,2500 or more  or no clouds.,,,10.0,-10.2,No precipitation,12,,,,
31.03.2020 02:00,-1.3,518.3,761.2,0.3,52,Wind blowing from the north-west,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,5.4,,,2500 or more  or no clouds.,,,10.0,-9.9,No precipitation,12,,,,
30.03.2020 23:00,0.9,518.0,761.1,0.5,30,Wind blowing from the north-east,1,,12,,Cloud development not observed or not observable. ,,,-3.5,5.4,,,2500 or more  or no clouds.,,,12.0,-14.7,No precipitation,12,,,,
30.03.2020 20:00,1.1,517.5,762.1,-0.2,30,Wind blowing from the west,3,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,5.4,,,1000-1500,,,16.0,-14.5,No precipitation,12,,,,
30.03.2020 17:00,4.4,517.7,760.7,-1.0,17,Wind blowing from the north-west,7,,12,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,5.4,,,600-1000,,,16.0,-18.5,No precipitation,12,,,,
30.03.2020 14:00,3.8,518.7,762.1,-0.2,22,Wind blowing from the north-west,5,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,5.0,,,600-1000,,,14.0,-16.0,No precipitation,12,,,,
30.03.2020 11:00,0.8,518.9,762.4,1.0,40,Wind blowing from the west,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,5.0,,,2500 or more  or no clouds.,,,8.0,-11.3,No precipitation,12,,,,
30.03.2020 08:00,-2.7,517.9,761.9,1.0,50,Wind blowing from the north,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,5.0,,,1000-1500,,,17.0,-11.9,No precipitation,12,,,,
30.03.2020 05:00,-2.8,516.9,759.6,0.7,45,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,,,-5.7,5.0,,,2500 or more  or no clouds.,,,22.0,-13.1,No precipitation,12,,,,
30.03.2020 02:00,-2.1,516.2,757.9,0.2,31,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,5.0,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
29.03.2020 23:00,0.9,516.0,757.2,0.9,27,Wind blowing from the north-west,2,,10,,Cloud development not observed or not observable. ,,,,5.0,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
29.03.2020 20:00,2.6,515.1,759.2,0.5,41,Wind blowing from the west,2,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,5.0,,,1000-1500,,,27.0,-9.6,No precipitation,12,,,,
29.03.2020 17:00,4.5,514.6,756.6,-0.8,30,Wind blowing from the north,3,,10,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,6.7,,,1000-1500,,,25.0,-11.6,No precipitation,12,,,,
29.03.2020 14:00,4.8,515.4,756.5,-0.6,28,Wind blowing from the west,4,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,7.4,,,1000-1500,,,25.0,-12.2,No precipitation,12,,,,
29.03.2020 11:00,2.6,516.0,757.3,0.5,28,Wind blowing from the south-west,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,7.4,,,1000-1500,,,26.0,-14.1,No precipitation,12,,,,
29.03.2020 08:00,-5.5,515.5,759.1,-0.2,52,Wind blowing from the south-southwest,1,,5,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,7.4,,,2500 or more  or no clouds.,,,17.0,-13.8,No precipitation,12,,,,
29.03.2020 05:00,-3.7,515.7,757.3,-0.6,36,Wind blowing from the east,2,,9,,Cloud development not observed or not observable. ,,,-4.1,7.4,,,2500 or more  or no clouds.,,,20.0,-16.6,No precipitation,12,,,,
29.03.2020 02:00,-1.5,516.3,757.4,0.0,33,Wind blowing from the north-northeast,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,7.4,,,2500 or more  or no clouds.,,,20.0,-15.7,No precipitation,12,,,,
28.03.2020 23:00,1.0,516.3,757.7,1.3,34,Wind blowing from the south,1,,11,,Cloud development not observed or not observable. ,,,-2.4,7.4,,,2500 or more  or no clouds.,,,20.0,-13.1,No precipitation,12,,,,
28.03.2020 20:00,4.0,515.0,756.1,0.8,32,Wind blowing from the west,3,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,7.4,,,2500 or more  or no clouds.,,,25.0,-11.2,No precipitation,12,,,,
28.03.2020 17:00,6.3,514.2,753.1,-0.8,27,Wind blowing from the west,5,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,9.8,,,1000-1500,,,21.0,-11.3,No precipitation,12,,,,
28.03.2020 14:00,5.7,515.0,753.7,-0.7,27,Wind blowing from the west-southwest,5,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,9.8,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
28.03.2020 11:00,2.6,515.7,755.6,0.2,37,Wind blowing from the south-west,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,9.8,,,2500 or more  or no clouds.,,,30.0,-10.6,No precipitation,12,,,,
28.03.2020 08:00,-1.0,515.5,756.6,-0.3,38,Wind blowing from the east-northeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,9.8,,,1000-1500,,,29.0,-13.5,No precipitation,12,,,,
28.03.2020 05:00,0.4,515.8,753.7,-1.3,26,Wind blowing from the north-east,2,,10,,Cloud development not observed or not observable. ,,,-2.1,9.8,,,2500 or more  or no clouds.,,,30.0,-16.9,No precipitation,12,,,,
28.03.2020 02:00,2.0,517.1,756.0,-0.9,27,Wind blowing from the south-east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,9.8,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
27.03.2020 23:00,3.3,518.0,758.6,0.0,23,Wind blowing from the east,1,,10,,Cloud development not observed or not observable. ,,,-2.1,9.8,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
27.03.2020 20:00,4.4,518.0,760.3,-0.9,29,Wind blowing from the west-northwest,2,,10,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,9.8,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
