Local time in Kuche,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
04.04.2020 11:00,14.2,675.6,768.3,0.6,34,Wind blowing from the north,0,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,16.3,,,2500 or more  or no clouds.,,,12.0,-1.4,No precipitation,12,,,,
04.04.2020 08:00,7.6,675.0,767.8,0.0,59,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,16.3,,,2500 or more  or no clouds.,,,10.0,0.1,No precipitation,12,,,,
04.04.2020 05:00,8.1,675.0,767.7,-0.4,51,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,6.5,16.3,,,2500 or more  or no clouds.,,,13.0,-1.4,No precipitation,12,,,,
04.04.2020 02:00,10.2,675.4,768.2,0.0,44,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,16.3,,,2500 or more  or no clouds.,,,16.0,-1.5,No precipitation,12,,,,
03.04.2020 23:00,9.5,675.4,768.6,0.9,46,Calm  no wind,0,,,,Haze. ,,,6.5,16.3,,,2500 or more  or no clouds.,,,5.0,-1.8,No precipitation,12,,,,
03.04.2020 20:00,14.8,674.5,767.4,-0.5,31,Wind blowing from the north-west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,16.3,,,2500 or more  or no clouds.,,,16.0,-2.2,No precipitation,12,,,,
03.04.2020 17:00,15.5,675.0,767.5,-1.5,27,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,16.3,,,2500 or more  or no clouds.,,,17.0,-3.4,No precipitation,12,,,,
03.04.2020 14:00,13.3,676.5,769.3,-0.1,30,Wind blowing from the east-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,14.7,,,2500 or more  or no clouds.,,,19.0,-3.9,No precipitation,12,,,,
03.04.2020 11:00,11.7,676.6,769.6,1.5,36,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,14.7,,,2500 or more  or no clouds.,,,12.0,-2.9,No precipitation,12,,,,
03.04.2020 08:00,6.8,675.1,768.6,0.5,60,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,14.7,,,2500 or more  or no clouds.,,,12.0,-0.4,Trace of precipitation,12,,,,
03.04.2020 05:00,9.4,674.6,767.2,-0.2,49,Wind blowing from the north-northwest,1,,7,,Cloud development not observed or not observable. ,,,9.0,14.7,,,2500 or more  or no clouds.,,,11.0,-1.0,No precipitation,12,,,,
03.04.2020 02:00,10.6,674.8,767.5,0.1,51,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,14.7,,,2500 or more  or no clouds.,,,17.0,0.9,No precipitation,12,,,,
02.04.2020 23:00,11.0,674.7,767.5,1.5,52,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,,,9.3,14.7,,,2500 or more  or no clouds.,,,14.0,1.3,No precipitation,12,,,,
02.04.2020 20:00,12.4,673.2,765.7,0.4,44,Wind blowing from the north-northwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,14.7,,,2500 or more  or no clouds.,,,14.0,0.5,No precipitation,12,,,,
02.04.2020 17:00,14.4,672.8,764.8,-1.4,29,Wind blowing from the north-west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,15.3,,,2500 or more  or no clouds.,,,14.0,-3.4,No precipitation,12,,,,
02.04.2020 14:00,12.5,674.2,766.5,0.2,32,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,15.3,,,2500 or more  or no clouds.,,,15.0,-3.7,No precipitation,12,,,,
02.04.2020 11:00,11.6,674.0,766.6,1.6,35,Wind blowing from the east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,,,,2500 or more  or no clouds.,,,12.0,-3.3,No precipitation,12,,,,
02.04.2020 08:00,10.8,672.4,764.6,0.4,36,Wind blowing from the north-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,15.3,,,2500 or more  or no clouds.,,,11.0,-3.7,No precipitation,12,,,,
02.04.2020 05:00,11.1,672.0,763.9,-0.2,33,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,,,8.9,15.3,,,2500 or more  or no clouds.,,,13.0,-4.6,No precipitation,12,,,,
02.04.2020 02:00,12.3,672.2,764.2,0.5,29,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,15.3,,,2500 or more  or no clouds.,,,12.0,-5.2,No precipitation,12,,,,
01.04.2020 23:00,11.7,671.7,764.1,1.8,27,Wind blowing from the north,0,,6,,Cloud development not observed or not observable. ,,,8.9,15.3,,,2500 or more  or no clouds.,,,11.0,-6.7,No precipitation,12,,,,
01.04.2020 20:00,13.7,669.9,762.0,0.3,20,Wind blowing from the south,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,15.3,,,2500 or more  or no clouds.,,,14.0,-8.8,No precipitation,12,,,,
01.04.2020 17:00,14.7,669.6,761.3,-1.4,19,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,14.8,,,2500 or more  or no clouds.,,,16.0,-8.7,No precipitation,12,,,,
01.04.2020 14:00,13.0,671.0,763.0,-0.2,20,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,13.8,,,2500 or more  or no clouds.,,,17.0,-9.4,No precipitation,12,,,,
01.04.2020 11:00,10.6,671.2,763.6,0.6,22,Wind blowing from the east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,13.8,,,2500 or more  or no clouds.,,,18.0,-10.2,No precipitation,12,,,,
01.04.2020 08:00,9.1,670.6,763.0,0.3,28,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,13.8,,,2500 or more  or no clouds.,,,20.0,-8.4,No precipitation,12,,,,
01.04.2020 05:00,10.2,670.3,762.3,-0.7,30,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,,,5.3,13.8,,,2500 or more  or no clouds.,,,12.0,-6.6,No precipitation,12,,,,
01.04.2020 02:00,11.4,671.0,763.1,0.3,29,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.8,,,2500 or more  or no clouds.,,,12.0,-6.0,No precipitation,12,,,,
31.03.2020 23:00,11.4,670.7,763.3,0.8,32,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,,,5.3,13.8,,,2500 or more  or no clouds.,,,10.0,-4.7,No precipitation,12,,,,
31.03.2020 20:00,12.9,669.9,762.4,-0.8,27,Wind blowing from the south-east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,14.2,,,2500 or more  or no clouds.,,,11.0,-5.6,No precipitation,12,,,,
31.03.2020 17:00,13.4,670.7,763.6,-2.0,24,Wind blowing from the east-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,15.7,,,2500 or more  or no clouds.,,,12.0,-6.8,No precipitation,12,,,,
31.03.2020 14:00,12.3,672.7,765.8,-0.5,25,Wind blowing from the east-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,15.7,,,2500 or more  or no clouds.,,,15.0,-7.2,No precipitation,12,,,,
31.03.2020 11:00,9.5,673.2,766.0,1.4,34,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,15.7,,,2500 or more  or no clouds.,,,13.0,-5.6,No precipitation,12,,,,
31.03.2020 08:00,7.3,671.8,764.5,0.6,47,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,15.7,,,2500 or more  or no clouds.,,,10.0,-3.3,No precipitation,12,,,,
31.03.2020 05:00,5.9,671.2,763.8,0.3,47,Wind blowing from the north,1,,8,,Cloud development not observed or not observable. ,,,5.9,15.7,,,2500 or more  or no clouds.,,,9.0,-4.8,No precipitation,12,,,,
31.03.2020 02:00,7.3,670.9,763.4,1.1,41,Wind blowing from the east,1,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,15.7,,,2500 or more  or no clouds.,,,6.0,-5.1,No precipitation,12,,,,
30.03.2020 23:00,11.8,669.8,761.8,1.3,28,Wind blowing from the east,3,,11,,Haze. ,,,6.8,15.7,,,2500 or more  or no clouds.,,,5.0,-6.1,No precipitation,12,,,,
30.03.2020 20:00,14.2,668.5,760.5,0.0,23,Wind blowing from the south-east,3,,11,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.1,,,2500 or more  or no clouds.,,,4.8,-6.6,No precipitation,12,,,,
30.03.2020 17:00,15.5,668.5,760.1,-1.5,21,Wind blowing from the south-east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,18.2,,,2500 or more  or no clouds.,,,11.0,-6.7,No precipitation,12,,,,
30.03.2020 14:00,14.3,670.0,761.4,-0.3,22,Wind blowing from the east,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,18.2,,,2500 or more  or no clouds.,,,9.0,-7.1,No precipitation,12,,,,
30.03.2020 11:00,11.6,670.3,762.4,1.2,19,Wind blowing from the east,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,18.2,,,2500 or more  or no clouds.,,,12.0,-11.2,No precipitation,12,,,,
30.03.2020 08:00,8.2,669.1,760.8,0.5,32,Wind blowing from the east-southeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,18.2,,,2500 or more  or no clouds.,,,17.0,-7.5,No precipitation,12,,,,
30.03.2020 05:00,8.6,668.6,759.9,0.3,41,Wind blowing from the east,0,,7,,Haze. ,,,4.0,18.2,,,2500 or more  or no clouds.,,,5.0,-3.9,No precipitation,12,,,,
30.03.2020 02:00,13.2,668.3,759.1,0.8,12,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,18.2,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
29.03.2020 23:00,11.1,667.5,759.4,1.3,31,Wind blowing from the north,2,,7,,Haze. ,,,4.0,18.2,,,2500 or more  or no clouds.,,,2.9,-5.4,No precipitation,12,,,,
29.03.2020 20:00,16.2,666.2,758.2,0.0,25,Wind blowing from the west-southwest,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,18.2,,,2500 or more  or no clouds.,,,3.7,-3.8,No precipitation,12,,,,
29.03.2020 17:00,17.9,666.2,757.6,-1.4,19,Wind blowing from the south-southwest,3,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,18.1,,,2500 or more  or no clouds.,,,4.2,-6.0,No precipitation,12,,,,
29.03.2020 14:00,15.8,667.6,759.4,-0.6,19,Wind blowing from the south-southwest,3,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,16.6,,,2500 or more  or no clouds.,,,4.6,-7.8,No precipitation,12,,,,
29.03.2020 11:00,10.9,668.2,760.1,0.6,27,Wind blowing from the west-southwest,1,,2,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,16.6,,,2500 or more  or no clouds.,,,3.8,-7.4,No precipitation,12,,,,
29.03.2020 08:00,4.7,667.6,760.0,0.1,45,Wind blowing from the north,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,16.6,,,2500 or more  or no clouds.,,,4.9,-6.2,No precipitation,12,,,,
29.03.2020 05:00,6.2,667.5,759.4,-0.8,40,Wind blowing from the north,1,,6,,Haze. ,,,2.2,16.6,,,2500 or more  or no clouds.,,,5.0,-6.4,No precipitation,12,,,,
29.03.2020 02:00,7.1,668.3,760.5,-0.5,41,Wind blowing from the north-northeast,1,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,16.6,,,2500 or more  or no clouds.,,,4.8,-5.3,No precipitation,12,,,,
28.03.2020 23:00,11.2,668.8,761.0,0.9,24,Wind blowing from the west-southwest,1,,6,,Haze. ,,,2.2,16.6,,,2500 or more  or no clouds.,,,5.0,-8.6,No precipitation,12,,,,
28.03.2020 20:00,14.5,667.9,760.7,-0.4,21,Wind blowing from the west-southwest,2,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,16.6,,,2500 or more  or no clouds.,,,7.0,-7.6,No precipitation,12,,,,
28.03.2020 17:00,15.9,668.3,760.9,-1.6,17,Wind blowing from the south-west,2,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,16.5,,,2500 or more  or no clouds.,,,6.0,-9.1,No precipitation,12,,,,
28.03.2020 14:00,14.2,669.9,762.5,-0.7,19,Wind blowing from the south-west,3,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,15.4,,,2500 or more  or no clouds.,,,6.0,-9.1,No precipitation,12,,,,
28.03.2020 11:00,10.4,670.6,763.3,0.7,26,Wind blowing from the east,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,15.4,,,2500 or more  or no clouds.,,,6.0,-8.3,No precipitation,12,,,,
28.03.2020 08:00,2.8,669.9,763.1,-0.5,44,Wind blowing from the north-northeast,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,15.4,,,2500 or more  or no clouds.,,,6.0,-8.5,No precipitation,12,,,,
28.03.2020 05:00,3.0,670.4,763.4,-0.9,49,Wind blowing from the north,1,,6,,Haze. ,,,2.2,15.4,,,2500 or more  or no clouds.,,,6.0,-6.7,No precipitation,12,,,,
28.03.2020 02:00,5.5,671.3,764.4,0.0,43,Wind blowing from the north,0,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,15.4,,,2500 or more  or no clouds.,,,6.0,-6.1,No precipitation,12,,,,
27.03.2020 23:00,9.7,671.3,764.2,0.4,30,Wind blowing from the west,1,,6,,Haze. ,,,2.2,15.4,,,2500 or more  or no clouds.,,,5.0,-7.0,No precipitation,12,,,,
27.03.2020 20:00,13.6,670.9,764.2,-1.4,20,Wind blowing from the south-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,15.4,,,2500 or more  or no clouds.,,,8.0,-8.9,No precipitation,12,,,,
27.03.2020 17:00,15.0,672.3,765.1,-1.8,17,Wind blowing from the south-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,15.1,,,2500 or more  or no clouds.,,,9.0,-9.8,No precipitation,12,,,,
27.03.2020 14:00,12.6,674.1,767.5,-1.2,19,Wind blowing from the east-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,13.2,,,2500 or more  or no clouds.,,,9.0,-10.4,No precipitation,12,,,,
27.03.2020 11:00,9.4,675.3,769.2,0.8,28,Wind blowing from the east,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,11.8,,,2500 or more  or no clouds.,,,12.0,-8.2,No precipitation,12,,,,
