Local time in Chenzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,11.4,733.3,766.6,0.6,99,Wind blowing from the south-southwest,1,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,12.0,,,2500 or more  or no clouds.,,,2.0,11.2,7.0,12,,,,
06.04.2020 08:00,11.0,732.7,766.0,0.7,99,Wind blowing from the west-northwest,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,10.8,,,,2500 or more  or no clouds.,,,1.3,10.8,6.0,12,,,,
06.04.2020 05:00,10.9,732.0,765.2,-0.8,99,Wind blowing from the north-west,2,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.4,12.0,,,2500 or more  or no clouds.,,,0.4,10.7,7.0,12,,,,
06.04.2020 02:00,11.1,732.8,766.0,-1.7,99,Wind blowing from the south,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,10.3,12.0,,,2500 or more  or no clouds.,,,0.4,10.9,3.0,12,,,,
05.04.2020 23:00,11.1,734.5,767.8,0.9,99,Wind blowing from the west-northwest,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.3,12.0,,,2500 or more  or no clouds.,,,1.0,10.9,2.0,12,,,,
05.04.2020 20:00,11.3,733.6,766.9,0.9,99,Wind blowing from the north,2,,4,,Drizzle  not freezing  intermittent  moderate at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,12.0,,,2500 or more  or no clouds.,,,0.5,11.1,2.0,12,,,,
05.04.2020 17:00,11.6,732.7,766.0,-0.9,99,Wind blowing from the east-northeast,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,10.1,12.0,,,2500 or more  or no clouds.,,,0.8,11.4,2.0,12,,,,
05.04.2020 14:00,11.9,733.6,766.9,-1.6,99,Wind blowing from the north,2,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,12.0,,,2500 or more  or no clouds.,,,1.8,11.7,4.0,12,,,,
05.04.2020 11:00,11.6,735.2,768.6,0.4,99,Wind blowing from the north-northwest,1,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,11.7,,,2500 or more  or no clouds.,,,1.7,11.4,14.0,12,,,,
05.04.2020 08:00,10.7,734.8,768.1,1.2,99,Wind blowing from the north,1,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,10.7,,,2500 or more  or no clouds.,,,0.9,10.5,17.0,12,,,,
05.04.2020 05:00,10.4,733.6,767.0,-0.6,99,Wind blowing from the north,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.7,10.4,,,2500 or more  or no clouds.,,,0.5,10.2,17.0,12,,,,
05.04.2020 02:00,10.3,734.2,767.7,-1.3,99,Wind blowing from the south-southeast,1,,6,,Rain  not freezing  intermittent  moderate at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,10.7,,,2500 or more  or no clouds.,,,0.3,10.1,17.0,12,,,,
04.04.2020 23:00,10.4,735.5,769.0,1.2,99,Wind blowing from the south-east,1,,,,Rain  not freezing  intermittent  moderate at time of observation. ,,,9.7,10.7,,,2500 or more  or no clouds.,,,1.0,10.2,8.0,12,,,,
04.04.2020 20:00,10.2,734.3,767.8,0.0,99,Wind blowing from the west-northwest,1,,7,,Fog or ice fog. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,10.8,,,2500 or more  or no clouds.,,,0.8,10.0,5.0,12,,,,
04.04.2020 17:00,10.1,734.3,767.8,-0.6,99,Wind blowing from the north-northwest,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,11.0,,,2500 or more  or no clouds.,,,0.8,9.9,5.0,12,,,,
04.04.2020 14:00,9.8,734.9,768.4,-0.9,99,Wind blowing from the north-west,4,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,11.0,,,2500 or more  or no clouds.,,,0.9,9.7,10.0,12,,,,
04.04.2020 11:00,10.3,735.8,769.3,0.4,99,Wind blowing from the north-northwest,3,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,10.0,11.3,,,2500 or more  or no clouds.,,,0.4,10.1,9.0,12,,,,
04.04.2020 08:00,10.2,735.4,768.9,1.5,99,Wind blowing from the north,3,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,9.9,11.3,,,2500 or more  or no clouds.,,,0.7,10.0,10.0,12,,,,
04.04.2020 05:00,10.2,733.9,767.3,0.1,99,Wind blowing from the north,3,,10,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.7,11.3,,,2500 or more  or no clouds.,,,0.4,10.0,9.0,12,,,,
04.04.2020 02:00,10.7,733.8,767.1,-0.9,99,Wind blowing from the north-northwest,3,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,,11.3,,,2500 or more  or no clouds.,,,0.5,10.5,6.0,12,,,,
03.04.2020 23:00,10.7,734.7,768.1,1.4,99,Wind blowing from the north-northwest,3,,8,,Drizzle  not freezing  intermittent  moderate at time of observation. ,,,,11.3,,,2500 or more  or no clouds.,,,0.5,10.5,5.0,12,,,,
03.04.2020 20:00,10.7,733.3,766.7,1.7,99,Wind blowing from the north,3,,8,,Drizzle  not freezing  intermittent  moderate at time of observation. ,Rain.,Fog or ice fog or thick haze.,9.7,11.3,,,2500 or more  or no clouds.,,,0.5,10.5,17.0,12,,,,
03.04.2020 17:00,11.0,731.6,764.9,-1.1,99,Wind blowing from the north-east,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,11.3,,,2500 or more  or no clouds.,,,0.9,10.8,22.0,12,,,,
03.04.2020 14:00,10.8,732.7,766.0,-1.9,99,Wind blowing from the north-northwest,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,11.3,,,2500 or more  or no clouds.,,,2.3,10.6,20.0,12,,,,
03.04.2020 11:00,10.8,734.6,768.1,0.4,99,Wind blowing from the north-northwest,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,11.0,,,2500 or more  or no clouds.,,,0.7,10.6,26.0,12,,,,
03.04.2020 08:00,9.9,734.2,767.7,1.8,99,Wind blowing from the north-northwest,1,,6,,Rain  not freezing  intermittent  moderate at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,9.7,10.2,,,2500 or more  or no clouds.,,,0.5,9.8,32.0,12,,,,
03.04.2020 05:00,9.8,732.4,765.8,-0.3,99,Wind blowing from the north-west,2,,10,,Drizzle  not freezing  intermittent  moderate at time of observation. ,,,9.5,10.2,,,2500 or more  or no clouds.,,,0.6,9.7,31.0,12,,,,
03.04.2020 02:00,9.8,732.7,766.0,-0.9,99,Wind blowing from the north,2,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,10.2,,,2500 or more  or no clouds.,,,0.5,9.7,48.0,12,,,,
02.04.2020 23:00,9.9,733.6,767.0,1.1,99,Wind blowing from the north,3,,10,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.5,10.2,,,2500 or more  or no clouds.,,,0.7,9.8,50.0,12,,,,
02.04.2020 20:00,10.1,732.5,765.9,2.0,99,Wind blowing from the north-northwest,4,,10,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,10.2,,,2500 or more  or no clouds.,,,0.4,9.9,34.0,12,,,,
02.04.2020 17:00,9.8,730.5,763.8,-1.6,99,Wind blowing from the east-southeast,5,,10,,Rain  not freezing  intermittent  moderate at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,10.2,,,2500 or more  or no clouds.,,,0.4,9.7,30.0,12,,,,
02.04.2020 14:00,9.9,732.1,765.5,-1.7,99,Wind blowing from the north-northwest,3,,10,,Rain  not freezing  intermittent  moderate at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,,,,2500 or more  or no clouds.,,,0.6,9.8,32.0,12,,,,
02.04.2020 11:00,10.0,733.8,767.2,1.1,99,Wind blowing from the north-west,3,,9,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,,,,2500 or more  or no clouds.,,,0.6,9.9,30.0,12,,,,
02.04.2020 08:00,9.8,732.7,766.0,1.2,99,Wind blowing from the north-northwest,1,,9,,Drizzle  not freezing  intermittent  moderate at time of observation. ,Rain.,Fog or ice fog or thick haze.,,,,,2500 or more  or no clouds.,,,0.5,9.7,27.0,12,,,,
02.04.2020 05:00,9.5,731.5,764.9,-0.9,99,Wind blowing from the north,2,,9,,Drizzle  not freezing  intermittent  heavy (dense) at time of observation. ,,,,,,,2500 or more  or no clouds.,,,0.4,9.4,27.0,12,,,,
02.04.2020 02:00,9.7,732.4,765.7,-1.4,99,Wind blowing from the west-northwest,3,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.8,,,2500 or more  or no clouds.,,,0.7,9.6,6.0,12,,,,
01.04.2020 23:00,9.8,733.8,767.2,2.6,99,Wind blowing from the west,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,,11.8,,,2500 or more  or no clouds.,,,22.0,9.7,0.5,12,,,,
01.04.2020 20:00,10.0,731.2,764.8,1.0,98,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,11.8,,,2500 or more  or no clouds.,,,30.0,9.7,0.1,12,,,,
01.04.2020 17:00,10.2,730.2,763.7,-0.7,91,Wind blowing from the north,2,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,11.8,,,2500 or more  or no clouds.,,,30.0,8.8,0.1,12,,,,
01.04.2020 14:00,10.7,730.9,764.3,-2.1,83,Wind blowing from the north,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,11.8,,,2500 or more  or no clouds.,,,30.0,7.9,0.1,12,,,,
01.04.2020 11:00,9.9,733.0,766.5,1.3,97,Wind blowing from the north,3,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,9.9,,,2500 or more  or no clouds.,,,30.0,9.4,No precipitation,12,,,,
01.04.2020 08:00,6.8,731.7,765.3,0.3,99,Wind blowing from the south,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,9.0,,,2500 or more  or no clouds.,,,2.0,6.7,No precipitation,12,,,,
01.04.2020 05:00,5.8,731.4,765.1,-0.4,99,Wind blowing from the west-northwest,2,,6,,Mist. ,,,5.8,9.0,,,2500 or more  or no clouds.,,,1.1,5.7,0.1,12,,,,
01.04.2020 02:00,7.4,731.8,765.4,-0.6,99,Wind blowing from the north-west,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,9.0,,,2500 or more  or no clouds.,,,2.8,7.3,No precipitation,12,,,,
31.03.2020 23:00,8.1,732.4,766.0,0.8,99,Wind blowing from the south-east,1,,6,,Mist. ,,,7.2,9.0,,,2500 or more  or no clouds.,,,5.0,8.0,0.1,12,,,,
31.03.2020 20:00,8.3,731.6,765.2,1.6,99,Wind blowing from the north-northeast,2,,6,40%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,9.0,,,1000-1500,,,8.0,8.2,0.4,12,,,,
31.03.2020 17:00,8.8,730.0,763.4,-0.9,99,Wind blowing from the north-northwest,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,8.9,,,2500 or more  or no clouds.,,,3.5,8.7,0.7,12,,,,
31.03.2020 14:00,8.3,730.9,764.4,-0.9,99,Wind blowing from the north,3,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,6.9,8.5,,,300-600,,,2.2,8.2,0.8,12,,,,
31.03.2020 11:00,7.8,731.8,765.4,0.8,99,Wind blowing from the north,4,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,8.1,,,2500 or more  or no clouds.,,,1.1,7.7,1.0,12,,,,
31.03.2020 08:00,7.5,731.0,764.6,1.4,99,Wind blowing from the north-northwest,3,,6,,Drizzle  not freezing  intermittent  moderate at time of observation. ,Rain.,Fog or ice fog or thick haze.,,7.6,,,2500 or more  or no clouds.,,,0.6,7.4,1.0,12,,,,
31.03.2020 05:00,7.4,729.6,763.2,-0.8,99,Wind blowing from the north-northwest,3,,6,,Drizzle  not freezing  intermittent  moderate at time of observation. ,,,,7.4,,,2500 or more  or no clouds.,,,0.6,7.3,1.0,12,,,,
31.03.2020 02:00,7.3,730.4,764.0,-0.8,99,Wind blowing from the north,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,,7.4,,,2500 or more  or no clouds.,,,0.5,7.2,1.0,12,,,,
30.03.2020 23:00,7.2,731.2,764.8,1.5,99,Wind blowing from the north-northwest,2,,6,,Drizzle  not freezing  intermittent  moderate at time of observation. ,,,5.9,7.4,,,2500 or more  or no clouds.,,,0.5,7.1,1.0,12,,,,
30.03.2020 20:00,7.1,729.7,763.4,0.4,99,Wind blowing from the north-northwest,2,,6,,Fog or ice fog  sky visible  no appreciable change during the preceding hour. ,Rain.,Drizzle.,5.9,7.4,,,2500 or more  or no clouds.,,,0.6,7.0,1.0,12,,,,
30.03.2020 17:00,7.1,729.3,763.0,-0.7,99,Wind blowing from the north,3,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,7.4,,,300-600,,,1.3,7.0,2.0,12,,,,
30.03.2020 14:00,7.4,730.0,763.7,-1.6,99,Wind blowing from the north,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,7.4,,,2500 or more  or no clouds.,,,1.8,7.3,2.0,12,,,,
30.03.2020 11:00,6.5,731.6,765.4,0.2,99,Wind blowing from the north-northwest,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,7.0,,,300-600,,,0.7,6.4,4.0,12,,,,
30.03.2020 08:00,6.1,731.4,765.1,0.5,99,Wind blowing from the north-northwest,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,,,,2500 or more  or no clouds.,,,1.0,6.0,7.0,12,,,,
30.03.2020 05:00,5.9,730.9,764.7,-0.2,99,Wind blowing from the north,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,5.9,7.0,,,2500 or more  or no clouds.,,,0.8,5.8,11.0,12,,,,
30.03.2020 02:00,6.1,731.1,764.8,-0.9,99,Wind blowing from the north,4,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,7.0,,,2500 or more  or no clouds.,,,1.8,6.0,13.0,12,,,,
29.03.2020 23:00,6.3,732.0,765.7,1.3,99,Wind blowing from the north-northwest,3,,7,,Rain  not freezing  intermittent  moderate at time of observation. ,,,6.0,7.0,,,2500 or more  or no clouds.,,,0.8,6.2,14.0,12,,,,
29.03.2020 20:00,6.1,730.7,764.5,1.4,99,Wind blowing from the north-northwest,4,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,6.1,7.0,,,300-600,,,1.0,6.0,17.0,12,,,,
29.03.2020 17:00,6.7,729.3,763.0,-1.0,99,Wind blowing from the north,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,6.1,7.0,,,300-600,,,1.1,6.6,12.0,12,,,,
29.03.2020 14:00,6.8,730.3,763.9,-0.9,99,Wind blowing from the north-northwest,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,6.1,7.0,,,300-600,,,1.9,6.7,14.0,12,,,,
29.03.2020 11:00,7.0,731.2,764.9,1.2,99,Wind blowing from the north,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,5.4,7.0,,,300-600,,,1.2,6.9,10.0,12,,,,
29.03.2020 08:00,6.3,730.0,763.7,1.8,99,Wind blowing from the north-northwest,5,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,,,,,300-600,,,0.8,6.2,5.0,12,,,,
29.03.2020 05:00,6.2,728.2,761.8,-1.5,99,Wind blowing from the north-northeast,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,5.1,6.9,,,2500 or more  or no clouds.,,,2.1,6.1,4.0,12,,,,
29.03.2020 02:00,6.2,729.7,763.3,-1.3,99,Wind blowing from the north-northwest,4,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,6.9,,,2500 or more  or no clouds.,,,0.7,6.1,No precipitation,12,,,,
28.03.2020 23:00,6.4,731.0,764.8,-0.8,99,Wind blowing from the east,3,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,5.1,7.7,,,2500 or more  or no clouds.,,,30.0,6.3,No precipitation,12,,,,
28.03.2020 20:00,6.2,731.8,765.7,0.3,99,Wind blowing from the north,2,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,9.3,,,300-600,,,30.0,6.1,Trace of precipitation,12,,,,
28.03.2020 17:00,6.8,731.5,765.3,-2.3,91,Wind blowing from the north,4,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,,,,1500-2000,,,30.0,5.4,0.1,12,,,,
28.03.2020 14:00,6.3,733.8,767.7,-2.0,94,Wind blowing from the north,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,,,,2500 or more  or no clouds.,,,30.0,5.4,0.1,12,,,,
28.03.2020 11:00,5.6,735.8,769.7,0.2,99,Wind blowing from the north,5,,13,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,,,,300-600,,,30.0,5.5,0.8,12,,,,
28.03.2020 08:00,5.2,735.6,769.4,0.8,99,Wind blowing from the north,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,,,,2500 or more  or no clouds.,,,8.0,5.1,3.0,12,,,,
28.03.2020 05:00,5.3,734.8,768.5,-0.3,99,Wind blowing from the north,4,,13,,Rain (not freezing) not falling as shower(s). ,,,5.2,,,,2500 or more  or no clouds.,,,3.1,5.2,6.0,12,,,,
28.03.2020 02:00,5.9,735.1,768.7,1.1,99,Wind blowing from the north-northwest,10,,13,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,21.6,,,2500 or more  or no clouds.,,,1.9,5.8,8.0,12,,,,
27.03.2020 23:00,7.7,734.0,767.1,3.0,99,Wind blowing from the north,7,,13,,Rain  not freezing  intermittent  slight at time of observation. ,,,7.7,21.6,,,2500 or more  or no clouds.,,,1.2,7.6,15.0,12,,,,
27.03.2020 20:00,9.2,731.0,763.8,2.3,99,Wind blowing from the north-northwest,6,,12,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,21.9,,,300-600,,,1.1,9.1,23.0,12,,,,
27.03.2020 17:00,11.0,728.7,761.2,-0.1,99,Wind blowing from the north,5,,13,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,22.6,,,300-600,,,0.9,10.8,20.0,12,,,,
27.03.2020 14:00,12.6,728.8,761.2,-0.3,99,Wind blowing from the north,5,,13,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,23.6,,,300-600,,,1.5,12.4,18.0,12,,,,
27.03.2020 11:00,18.1,729.1,761.2,1.5,99,Wind blowing from the north-east,2,,15,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,23.7,,,300-600,,,2.5,17.9,11.0,12,,,,
27.03.2020 08:00,19.7,727.6,759.5,1.6,84,Wind blowing from the north,2,,15,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,23.7,,,1500-2000,,,30.0,16.9,1.0,12,,,,
27.03.2020 05:00,21.1,726.0,757.7,-0.9,81,Wind blowing from the south-southeast,10,,15,,Cloud development not observed or not observable. ,,,,23.7,,,2500 or more  or no clouds.,,,30.0,17.7,1.0,12,,,,
27.03.2020 02:00,21.5,726.9,758.5,-0.1,77,Wind blowing from the south-southeast,8,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,23.7,,,2500 or more  or no clouds.,,,30.0,17.3,No precipitation,12,,,,
26.03.2020 23:00,21.2,727.0,758.8,0.9,78,Wind blowing from the south-southeast,9,,16,,Cloud development not observed or not observable. ,,,16.2,23.7,,,2500 or more  or no clouds.,,,30.0,17.2,0.1,12,,,,
