Local time in Yangjiang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.04.2020 14:00,17.7,752.5,760.6,-1.9,92,Wind blowing from the north-east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,18.6,,,2500 or more  or no clouds.,,,21.0,16.3,0.2,12,,,,
01.04.2020 11:00,17.3,754.4,762.5,0.0,93,Wind blowing from the north-east,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,18.6,,,2500 or more  or no clouds.,,,30.0,16.1,0.3,12,,,,
01.04.2020 08:00,15.7,754.4,762.6,2.0,97,Wind blowing from the north-east,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,18.6,,,2500 or more  or no clouds.,,,10.0,15.3,0.9,12,,,,
01.04.2020 05:00,15.7,752.4,760.5,0.2,97,Wind blowing from the north-northeast,4,,10,,Mist. ,,,15.5,18.6,,,2500 or more  or no clouds.,,,6.0,15.3,2.0,12,,,,
01.04.2020 02:00,16.0,752.2,760.3,-0.6,97,Wind blowing from the north-east,6,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,18.6,,,2500 or more  or no clouds.,,,10.0,15.6,2.0,12,,,,
31.03.2020 23:00,16.5,752.8,760.9,0.7,99,Wind blowing from the north-east,4,,9,,Mist. ,,,15.5,18.6,,,2500 or more  or no clouds.,,,2.1,16.3,2.0,12,,,,
31.03.2020 20:00,16.8,752.1,760.2,1.6,99,Wind blowing from the north-east,4,,9,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,18.6,,,300-600,,,2.1,16.6,2.0,12,,,,
31.03.2020 17:00,18.3,750.5,758.6,-0.8,96,Wind blowing from the north-east,3,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,18.6,,,1000-1500,,,11.0,17.6,2.0,12,,,,
31.03.2020 14:00,18.0,751.3,759.4,-1.8,97,Wind blowing from the north-east,3,,11,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,18.0,,,300-600,,,10.0,17.5,2.0,12,,,,
31.03.2020 11:00,16.5,753.1,761.3,0.6,98,Wind blowing from the north-northeast,3,,11,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,17.8,,,300-600,,,5.0,16.1,2.0,12,,,,
31.03.2020 08:00,15.7,752.5,760.7,1.6,97,Wind blowing from the east-northeast,4,,11,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,,,,300-600,,,3.9,15.3,1.0,12,,,,
31.03.2020 05:00,15.8,750.9,759.0,-0.1,97,Wind blowing from the north-east,4,,11,,Cloud development not observed or not observable. ,,,15.5,,,,2500 or more  or no clouds.,,,14.0,15.3,0.1,12,,,,
31.03.2020 02:00,15.6,751.0,759.1,-0.8,97,Wind blowing from the north-east,4,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,,,,2500 or more  or no clouds.,,,6.0,15.1,0.5,12,,,,
30.03.2020 23:00,15.7,751.8,759.9,1.1,97,Wind blowing from the north-east,3,,11,,Cloud development not observed or not observable. ,,,15.7,,,,2500 or more  or no clouds.,,,12.0,15.2,0.9,12,,,,
30.03.2020 20:00,15.9,750.7,758.8,1.1,97,Wind blowing from the north-east,5,,11,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,,,,300-600,,,15.0,15.5,1.0,12,,,,
30.03.2020 17:00,16.5,749.6,757.6,-0.8,97,Wind blowing from the north-east,4,,10,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.5,23.9,,,300-600,,,6.0,16.0,2.0,12,,,,
30.03.2020 14:00,17.0,750.4,758.4,-1.6,97,Wind blowing from the east-northeast,6,,10,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Drizzle.,16.8,24.4,,,300-600,,,10.0,16.5,3.0,12,,,,
30.03.2020 11:00,17.9,752.0,760.0,0.7,96,Wind blowing from the north-east,5,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,24.4,,,300-600,,,9.0,17.2,10.0,12,,,,
30.03.2020 08:00,18.4,751.3,759.2,1.5,97,Wind blowing from the east-northeast,6,,10,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,24.4,,,300-600,,,30.0,17.9,10.0,12,,,,
30.03.2020 05:00,22.7,749.8,757.7,-0.3,98,Wind blowing from the east,3,,11,,Rain  not freezing  intermittent  slight at time of observation. ,,,,24.4,,,2500 or more  or no clouds.,,,8.0,22.3,9.0,12,,,,
30.03.2020 02:00,23.7,750.1,757.9,-0.3,98,Wind blowing from the south,5,,14,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,24.4,,,2500 or more  or no clouds.,,,1.6,23.3,7.0,12,,,,
29.03.2020 23:00,23.8,750.4,758.3,0.9,96,Wind blowing from the south-east,5,,16,,Rain  not freezing  intermittent  slight at time of observation. ,,,17.2,24.4,,,2500 or more  or no clouds.,,,11.0,23.2,0.8,12,,,,
29.03.2020 20:00,23.7,749.5,757.4,0.6,96,Wind blowing from the south-east,5,,16,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,24.4,,,300-600,,,13.0,23.0,0.7,12,,,,
29.03.2020 17:00,23.2,748.9,756.8,-1.1,96,Wind blowing from the south-east,6,,16,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,24.4,,,300-600,,,8.0,22.5,0.6,12,,,,
29.03.2020 14:00,24.3,750.0,757.9,-2.5,92,Wind blowing from the south-east,9,,16,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,24.3,,,2500 or more  or no clouds.,,,21.0,23.0,0.8,12,,,,
29.03.2020 11:00,19.6,752.5,760.5,0.1,96,Wind blowing from the east-northeast,2,,12,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,23.1,,,300-600,,,5.0,18.9,0.4,12,,,,
29.03.2020 08:00,18.3,752.4,760.4,0.7,97,Wind blowing from the north-east,4,,12,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,23.1,,,300-600,,,4.3,17.8,0.5,12,,,,
29.03.2020 05:00,17.2,751.7,759.7,-0.5,98,Wind blowing from the north-east,5,,12,,Rain (not freezing) not falling as shower(s). ,,,17.2,23.1,,,2500 or more  or no clouds.,,,4.0,16.8,0.6,12,,,,
29.03.2020 02:00,17.6,752.2,760.3,-0.3,96,Wind blowing from the east-northeast,6,,12,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,23.1,,,2500 or more  or no clouds.,,,5.0,16.9,0.3,12,,,,
28.03.2020 23:00,18.5,752.5,760.6,1.4,92,Wind blowing from the north-east,6,,12,,Cloud development not observed or not observable. ,,,18.5,24.3,,,2500 or more  or no clouds.,,,13.0,17.1,0.4,12,,,,
28.03.2020 20:00,20.4,751.1,759.1,0.6,78,Wind blowing from the east-northeast,6,,12,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.4,24.6,,,300-600,,,30.0,16.4,0.4,12,,,,
28.03.2020 17:00,21.3,750.5,758.5,-1.1,80,Wind blowing from the north-east,5,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,,,,300-600,,,30.0,17.7,0.6,12,,,,
28.03.2020 14:00,22.5,751.6,759.5,-1.9,91,Wind blowing from the north-east,5,,10,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.4,,,,300-600,,,18.0,20.9,2.0,12,,,,
28.03.2020 11:00,22.2,753.5,761.5,1.0,94,Wind blowing from the north-northeast,3,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.4,26.2,,,300-600,,,27.0,21.1,40.0,12,,,,
28.03.2020 08:00,21.7,752.5,760.5,1.3,97,Wind blowing from the north-east,5,,9,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,26.2,,,300-600,,,4.9,21.2,40.0,12,,,,
28.03.2020 05:00,21.8,751.2,759.1,-0.4,98,Wind blowing from the east-northeast,3,,9,,Rain (not freezing) not falling as shower(s). ,,,21.8,26.2,,,2500 or more  or no clouds.,,,7.0,21.4,39.0,12,,,,
28.03.2020 02:00,22.6,751.6,759.5,0.3,96,Wind blowing from the east-northeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.6,26.2,,,2500 or more  or no clouds.,,,7.0,22.0,38.0,12,,,,
27.03.2020 23:00,24.3,751.3,759.2,0.9,96,Wind blowing from the south-southeast,5,,11,,Rain  not freezing  intermittent  slight at time of observation. ,,,23.4,26.2,,,2500 or more  or no clouds.,,,18.0,23.7,No precipitation,12,,,,
27.03.2020 20:00,24.5,750.4,758.3,0.9,96,Wind blowing from the south-east,4,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.4,26.2,,,300-600,,,23.0,23.8,No precipitation,12,,,,
27.03.2020 17:00,24.9,749.5,757.3,-1.4,95,Wind blowing from the south-southeast,4,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.4,26.2,,,300-600,,,25.0,24.0,No precipitation,12,,,,
27.03.2020 14:00,26.1,750.9,758.8,-1.7,93,Wind blowing from the south-southeast,5,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.4,26.5,,,300-600,,,28.0,24.8,No precipitation,12,,,,
27.03.2020 11:00,25.3,752.6,760.5,0.5,94,Wind blowing from the south-east,5,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.4,26.5,,,300-600,,,30.0,24.2,No precipitation,12,,,,
27.03.2020 08:00,23.9,752.1,760.0,1.1,96,Wind blowing from the south-east,3,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.2,,,,300-600,,,10.0,23.3,Trace of precipitation,12,,,,
27.03.2020 05:00,23.6,751.0,758.8,-0.6,96,Wind blowing from the south-east,3,,8,,Cloud development not observed or not observable. ,,,22.2,26.5,,,2500 or more  or no clouds.,,,14.0,23.0,No precipitation,12,,,,
27.03.2020 02:00,23.8,751.6,759.4,-1.0,96,Wind blowing from the south-east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.1,26.5,,,2500 or more  or no clouds.,,,18.0,23.2,No precipitation,12,,,,
