Local time in Jixi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 11:00,3.6,739.6,765.1,-0.4,43,Wind blowing from the north-west,10,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,4.1,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
05.04.2020 08:00,0.7,740.0,765.6,0.9,53,Wind blowing from the west-northwest,9,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,1.7,,,2500 or more  or no clouds.,,,30.0,-8.0,No precipitation,12,,,,
05.04.2020 05:00,-0.7,739.1,764.7,1.0,59,Wind blowing from the west-northwest,8,,20,,Cloud development not observed or not observable. ,,,,1.7,,,2500 or more  or no clouds.,,,30.0,-7.7,0.1,12,,,,
05.04.2020 02:00,0.3,738.1,763.8,0.9,59,Wind blowing from the west-northwest,8,,22,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,1.7,,,2500 or more  or no clouds.,,,30.0,-6.8,0.3,12,,,,
04.04.2020 23:00,1.1,737.2,762.9,-0.3,57,Wind blowing from the north-west,11,,22,,Cloud development not observed or not observable. ,,,-5.2,1.7,,,2500 or more  or no clouds.,,,30.0,-6.5,1.0,12,,,,
04.04.2020 20:00,0.7,737.5,763.3,1.7,75,Wind blowing from the north-west,10,,22,,Intermittent fall of snowflakes  slight at time of observation. ,Rain and snow or other types of solid precipitation,Rain.,-5.2,1.7,,,2500 or more  or no clouds.,,,15.0,-3.2,2.0,12,,,,
04.04.2020 17:00,1.5,735.8,761.5,0.9,57,Wind blowing from the north-west,11,,22,,Rain  not freezing  intermittent  slight at time of observation. ,Rain and snow or other types of solid precipitation,Rain.,-5.2,5.6,,,2500 or more  or no clouds.,,,29.0,-6.1,3.0,12,,,,
04.04.2020 14:00,-1.4,734.9,760.6,0.5,75,Wind blowing from the west-northwest,10,,19,,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-5.2,,,,2500 or more  or no clouds.,,,23.0,-5.3,3.0,12,,,,
04.04.2020 11:00,-3.5,734.4,760.1,0.2,84,Wind blowing from the west-northwest,9,,18,,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-5.2,,,,2500 or more  or no clouds.,,,2.9,-5.8,3.0,12,,,,
04.04.2020 08:00,-5.2,734.2,759.9,0.3,87,Wind blowing from the west-northwest,12,,18,,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,,,,2500 or more  or no clouds.,,,1.0,-7.0,2.0,12,,,,
04.04.2020 05:00,-4.0,733.9,759.2,0.5,86,Wind blowing from the west-northwest,8,,17,,Intermittent fall of snowflakes  slight at time of observation. ,,,-4.0,12.7,,,2500 or more  or no clouds.,,,4.0,-6.1,0.9,12,,,,
04.04.2020 02:00,-3.3,733.4,758.5,0.1,88,Wind blowing from the west,7,,21,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,12.7,,,2500 or more  or no clouds.,,,3.2,-5.0,0.4,12,,,,
03.04.2020 23:00,-2.7,733.3,758.4,1.8,77,Wind blowing from the west-northwest,7,,21,,Intermittent fall of snowflakes  slight at time of observation. ,,,-2.8,12.7,,,2500 or more  or no clouds.,,,30.0,-6.3,0.1,12,,,,
03.04.2020 20:00,-0.4,731.5,756.7,2.1,91,Wind blowing from the west-northwest,8,,21,,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Rain.,-1.9,12.7,,,2500 or more  or no clouds.,,,1.3,-1.7,0.1,12,,,,
03.04.2020 17:00,5.3,729.4,754.6,1.1,67,Wind blowing from the west,12,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,12.7,,,2500 or more  or no clouds.,,,10.0,-0.5,No precipitation,12,,,,
03.04.2020 14:00,12.2,728.3,753.0,-3.5,20,Wind blowing from the south-west,9,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,14.6,,,2500 or more  or no clouds.,,,29.0,-10.1,No precipitation,12,,,,
03.04.2020 11:00,11.4,731.8,756.4,-3.3,14,Wind blowing from the south-southwest,7,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,15.5,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,12,,,,
03.04.2020 08:00,5.0,735.1,760.0,-0.9,23,Wind blowing from the south-southwest,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,15.5,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
03.04.2020 05:00,-1.4,736.0,761.0,-0.7,40,Wind blowing from the south-west,2,,17,,Cloud development not observed or not observable. ,,,-1.6,15.5,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
03.04.2020 02:00,0.1,736.7,761.6,-0.4,36,Wind blowing from the south,3,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,15.5,,,2500 or more  or no clouds.,,,30.0,-13.2,No precipitation,12,,,,
02.04.2020 23:00,3.6,737.1,761.9,1.8,27,Wind blowing from the west-northwest,7,,21,,Cloud development not observed or not observable. ,,,0.3,15.5,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
02.04.2020 20:00,7.0,735.3,760.2,2.9,26,Wind blowing from the west,10,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,15.5,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
02.04.2020 17:00,11.2,732.4,757.3,1.7,23,Wind blowing from the west-northwest,11,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,15.5,,,2500 or more  or no clouds.,,,28.0,-9.2,No precipitation,12,,,,
02.04.2020 14:00,14.5,730.7,755.3,-1.4,15,Wind blowing from the west,10,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,15.5,,,2500 or more  or no clouds.,,,28.0,-11.8,No precipitation,12,,,,
02.04.2020 11:00,12.5,732.1,756.8,-1.2,18,Wind blowing from the west-southwest,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,12.7,,,2500 or more  or no clouds.,,,27.0,-11.2,No precipitation,12,,,,
02.04.2020 08:00,5.9,733.3,758.2,-0.7,30,Wind blowing from the south-west,8,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,11.5,,,2500 or more  or no clouds.,,,19.0,-10.3,No precipitation,12,,,,
02.04.2020 05:00,0.8,734.0,759.0,-1.1,42,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,,,0.2,11.5,,,2500 or more  or no clouds.,,,13.0,-10.7,No precipitation,12,,,,
02.04.2020 02:00,1.0,735.1,760.0,-0.9,41,Wind blowing from the west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,11.5,,,2500 or more  or no clouds.,,,15.0,-10.8,No precipitation,12,,,,
01.04.2020 23:00,2.9,736.0,761.0,-0.5,34,Wind blowing from the west-southwest,2,,10,,Intermittent fall of snowflakes  slight at time of observation. ,,,0.2,11.5,,,2500 or more  or no clouds.,,,27.0,-11.4,No precipitation,12,,,,
01.04.2020 20:00,5.5,736.5,761.5,1.3,26,Wind blowing from the west-southwest,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,11.5,,,2500 or more  or no clouds.,,,29.0,-12.5,No precipitation,12,,,,
01.04.2020 17:00,9.8,735.2,760.2,-0.4,15,Wind blowing from the south-west,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,11.5,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
01.04.2020 14:00,10.6,735.6,760.5,-1.9,14,Wind blowing from the west,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,14.5,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
01.04.2020 11:00,8.3,737.5,762.5,-0.9,16,Wind blowing from the west-northwest,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,15.3,,,2500 or more  or no clouds.,,,30.0,-16.1,No precipitation,12,,,,
01.04.2020 08:00,4.6,738.4,763.4,0.4,59,Wind blowing from the west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,15.3,,,2500 or more  or no clouds.,,,29.0,-2.9,No precipitation,12,,,,
01.04.2020 05:00,0.7,738.0,763.1,1.1,85,Wind blowing from the west-northwest,3,,10,,Cloud development not observed or not observable. ,,,0.7,15.3,,,2500 or more  or no clouds.,,,17.0,-1.5,No precipitation,12,,,,
01.04.2020 02:00,2.9,736.9,761.6,0.7,78,Wind blowing from the west-northwest,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,15.3,,,2500 or more  or no clouds.,,,23.0,-0.6,No precipitation,12,,,,
31.03.2020 23:00,5.0,736.2,760.9,1.4,68,Wind blowing from the west-southwest,3,,15,,Cloud development not observed or not observable. ,,,5.0,15.3,,,2500 or more  or no clouds.,,,18.0,-0.4,No precipitation,12,,,,
31.03.2020 20:00,8.9,734.8,759.4,1.2,40,Wind blowing from the west,6,,15,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,15.3,,,2500 or more  or no clouds.,,,19.0,-4.0,Trace of precipitation,12,,,,
31.03.2020 17:00,9.3,733.6,758.3,1.4,53,Wind blowing from the south-west,5,,15,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,15.3,,,600-1000,,,12.0,0.0,No precipitation,12,,,,
31.03.2020 14:00,14.5,732.2,756.7,-0.9,27,Wind blowing from the west-southwest,8,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,16.9,,,600-1000,,,20.0,-4.3,No precipitation,12,,,,
31.03.2020 11:00,13.0,733.1,757.6,-0.7,27,Wind blowing from the south-west,7,,13,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,16.9,,,2500 or more  or no clouds.,,,25.0,-5.6,No precipitation,12,,,,
31.03.2020 08:00,10.6,733.8,758.2,-0.8,29,Wind blowing from the south-west,4,,9,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,16.9,,,2500 or more  or no clouds.,,,14.0,-6.7,No precipitation,12,,,,
31.03.2020 05:00,6.0,734.6,759.1,-0.7,39,Wind blowing from the north-west,2,,10,,Cloud development not observed or not observable. ,,,4.5,16.9,,,2500 or more  or no clouds.,,,17.0,-7.2,No precipitation,12,,,,
31.03.2020 02:00,7.0,735.3,759.7,0.2,37,Wind blowing from the west-southwest,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,16.9,,,2500 or more  or no clouds.,,,29.0,-6.7,No precipitation,12,,,,
30.03.2020 23:00,9.2,735.1,759.7,0.1,32,Wind blowing from the west-southwest,5,,14,,Cloud development not observed or not observable. ,,,2.7,16.9,,,2500 or more  or no clouds.,,,26.0,-6.6,No precipitation,12,,,,
30.03.2020 20:00,11.1,735.0,759.6,0.9,27,Wind blowing from the west-northwest,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,16.9,,,,,,24.0,-7.2,No precipitation,12,,,,
30.03.2020 17:00,14.6,734.1,758.7,0.2,20,Wind blowing from the south-west,6,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,16.9,,,,,,28.0,-8.1,No precipitation,12,,,,
30.03.2020 14:00,16.4,733.9,758.3,-1.5,18,Wind blowing from the west-southwest,8,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,16.9,,,,,,27.0,-8.0,No precipitation,12,,,,
30.03.2020 11:00,12.8,735.4,760.1,-0.7,21,Wind blowing from the south-southwest,8,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,12.9,,,,,,26.0,-9.0,No precipitation,12,,,,
30.03.2020 08:00,7.9,736.1,760.9,0.6,27,Wind blowing from the west-southwest,8,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,12.1,,,2500 or more  or no clouds.,,,30.0,-9.9,No precipitation,12,,,,
30.03.2020 05:00,4.4,735.5,760.3,0.2,35,Wind blowing from the west-southwest,8,,11,,Cloud development not observed or not observable. ,,,-1.7,12.1,,,2500 or more  or no clouds.,,,30.0,-9.7,No precipitation,12,,,,
30.03.2020 02:00,4.9,735.3,760.0,-0.5,33,Wind blowing from the west-southwest,7,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,12.1,,,2500 or more  or no clouds.,,,30.0,-10.0,No precipitation,12,,,,
29.03.2020 23:00,4.5,735.8,760.7,0.1,34,Wind blowing from the west-southwest,1,,15,,Intermittent fall of snowflakes  slight at time of observation. ,,,-1.8,12.1,,,2500 or more  or no clouds.,,,28.0,-10.0,No precipitation,12,,,,
29.03.2020 20:00,6.6,735.7,760.7,1.0,27,Wind blowing from the south,2,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,12.1,,,,,,30.0,-11.1,No precipitation,12,,,,
29.03.2020 17:00,10.7,734.7,759.7,-0.3,19,Wind blowing from the south-west,6,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,12.1,,,,,,30.0,-12.0,No precipitation,12,,,,
29.03.2020 14:00,11.6,735.0,760.0,-2.0,17,Wind blowing from the south-west,8,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,12.0,,,,,,30.0,-12.6,No precipitation,12,,,,
29.03.2020 11:00,8.8,737.0,762.2,-1.9,20,Wind blowing from the south-west,7,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,8.8,,,,,,30.0,-12.9,No precipitation,12,,,,
29.03.2020 08:00,2.6,738.9,764.4,0.0,28,Wind blowing from the south-west,6,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,2.7,,,,,,30.0,-14.1,No precipitation,12,,,,
29.03.2020 05:00,-1.7,738.9,764.5,0.0,41,Wind blowing from the south-west,4,,12,,Cloud development not observed or not observable. ,,,-5.1,2.7,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
29.03.2020 02:00,-1.1,738.9,764.5,-0.1,38,Wind blowing from the west-southwest,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,2.7,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
28.03.2020 23:00,-0.5,739.0,764.7,0.3,34,Wind blowing from the south-west,5,,16,,Cloud development not observed or not observable. ,,,-5.1,2.7,,,2500 or more  or no clouds.,,,24.0,-14.4,No precipitation,12,,,,
28.03.2020 20:00,-0.3,738.7,764.5,1.1,33,Wind blowing from the west-southwest,6,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,2.7,,,,,,30.0,-14.6,No precipitation,12,,,,
28.03.2020 17:00,1.4,737.6,763.3,0.4,24,Wind blowing from the west,7,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,2.7,,,,,,26.0,-17.0,No precipitation,12,,,,
28.03.2020 14:00,2.1,737.2,762.9,-1.0,23,Wind blowing from the west-southwest,10,,17,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,3.5,,,1000-1500,,,30.0,-16.9,No precipitation,12,,,,
28.03.2020 11:00,-0.1,738.2,763.9,0.2,25,Wind blowing from the west,8,,17,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,3.5,,,1000-1500,,,30.0,-17.8,No precipitation,12,,,,
28.03.2020 08:00,-2.3,738.0,763.8,0.9,34,Wind blowing from the west,7,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,3.5,,,,,,30.0,-16.0,No precipitation,12,,,,
28.03.2020 05:00,-5.0,737.1,762.8,1.1,54,Wind blowing from the west-southwest,5,,14,,Cloud development not observed or not observable. ,,,-5.0,3.5,,,2500 or more  or no clouds.,,,30.0,-12.9,No precipitation,12,,,,
28.03.2020 02:00,-3.7,736.0,761.6,0.0,48,Wind blowing from the west-southwest,6,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,3.5,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
27.03.2020 23:00,-2.3,736.0,761.6,0.1,40,Wind blowing from the west,6,,15,,Cloud development not observed or not observable. ,,,-2.4,3.5,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
27.03.2020 20:00,-1.6,735.9,761.5,0.8,46,Wind blowing from the west,5,,15,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,3.5,,,2500 or more  or no clouds.,,,30.0,-11.7,No precipitation,12,,,,
27.03.2020 17:00,0.9,735.1,760.6,0.7,29,Wind blowing from the west,7,,15,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,6.8,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,12,,,,
27.03.2020 14:00,3.2,734.4,759.7,-1.4,20,Wind blowing from the west-southwest,8,,14,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,10.4,,,600-1000,,,30.0,-17.6,No precipitation,12,,,,
