Local time in Yichun (weather station),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 08:00,11.1,754.9,767.0,1.2,97,Wind blowing from the south-east,2,,,,Rain  not freezing  intermittent  moderate at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,11.9,,,2500 or more  or no clouds.,,,0.9,10.6,12.0,12,,,,
03.04.2020 05:00,11.3,753.7,765.8,-0.7,96,Wind blowing from the east,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,,11.9,,,2500 or more  or no clouds.,,,1.7,10.7,6.0,12,,,,
03.04.2020 02:00,11.3,754.4,766.5,,97,Wind blowing from the north-east,1,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.9,,,2500 or more  or no clouds.,,,2.2,10.8,11.0,12,,,,
02.04.2020 20:00,11.5,754.0,766.1,0.0,96,Wind blowing from the east-southeast,2,,9,,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,11.9,,,2500 or more  or no clouds.,,,3.8,10.9,18.0,12,,,,
02.04.2020 17:00,11.5,754.0,766.0,0.6,96,Wind blowing from the west,1,,8,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,12.2,,,2500 or more  or no clouds.,,,0.9,10.9,19.0,12,,,,
02.04.2020 14:00,11.7,753.4,765.4,-1.4,93,Wind blowing from the south-southeast,1,,,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,12.9,,,2500 or more  or no clouds.,,,4.7,10.6,13.0,12,,,,
02.04.2020 11:00,11.4,754.8,766.9,1.3,95,Wind blowing from the east-southeast,1,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,,,,2500 or more  or no clouds.,,,3.2,10.6,13.0,12,,,,
02.04.2020 08:00,10.6,753.5,765.6,0.9,93,Wind blowing from the east,2,,8,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.9,,,2500 or more  or no clouds.,,,1.3,9.5,6.0,12,,,,
02.04.2020 05:00,10.6,752.6,764.7,-0.4,90,Wind blowing from the north-northeast,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,,12.9,,,2500 or more  or no clouds.,,,4.0,9.0,No precipitation,12,,,,
02.04.2020 02:00,10.7,753.0,765.0,,88,Wind blowing from the east-southeast,2,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.9,,,2500 or more  or no clouds.,,,4.1,8.8,No precipitation,12,,,,
01.04.2020 20:00,11.7,753.1,765.2,0.8,80,Wind blowing from the east,2,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,12.9,,,2500 or more  or no clouds.,,,6.0,8.4,No precipitation,12,,,,
01.04.2020 17:00,12.2,752.3,764.5,-0.8,75,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,12.9,,,2500 or more  or no clouds.,,,7.0,7.9,No precipitation,12,,,,
01.04.2020 14:00,12.8,753.1,765.2,-2.1,73,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,12.9,,,2500 or more  or no clouds.,,,11.0,8.1,No precipitation,12,,,,
01.04.2020 11:00,11.8,755.2,767.4,0.6,84,Wind blowing from the east-northeast,3,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,11.8,,,2500 or more  or no clouds.,,,7.0,9.2,No precipitation,12,,,,
01.04.2020 08:00,7.2,754.6,766.9,1.1,98,Wind blowing from the east-northeast,2,,,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,11.0,,,2500 or more  or no clouds.,,,0.3,6.9,No precipitation,12,,,,
01.04.2020 05:00,6.2,753.5,765.7,0.6,98,Wind blowing from the east-southeast,1,,,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,5.9,11.0,,,2500 or more  or no clouds.,,,0.1,5.9,No precipitation,12,,,,
01.04.2020 02:00,7.2,752.9,765.1,,95,Wind blowing from the south-southwest,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,11.0,,,2500 or more  or no clouds.,,,5.0,6.5,No precipitation,12,,,,
31.03.2020 20:00,10.3,752.3,764.5,1.2,88,Wind blowing from the west,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,11.0,,,1500-2000,,,7.0,8.4,0.1,12,,,,
31.03.2020 17:00,10.7,751.1,763.2,-0.1,83,Wind blowing from the west,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,11.0,,,300-600,,,12.0,7.9,0.5,12,,,,
31.03.2020 14:00,10.5,751.2,763.3,-1.3,84,Wind blowing from the west,4,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,10.7,,,300-600,,,10.0,7.9,1.0,12,,,,
31.03.2020 11:00,9.1,752.5,764.6,0.5,92,Wind blowing from the west,2,,5,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,9.2,,,300-600,,,5.0,7.9,2.0,12,,,,
31.03.2020 08:00,8.3,752.0,764.2,0.8,91,Wind blowing from the east-southeast,1,,5,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,9.3,,,300-600,,,7.0,6.9,5.0,12,,,,
31.03.2020 05:00,8.5,751.2,763.3,-0.6,95,Wind blowing from the north-east,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,,9.3,,,2500 or more  or no clouds.,,,1.5,7.7,6.0,12,,,,
31.03.2020 02:00,8.7,751.8,763.9,,94,Wind blowing from the east-southeast,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,9.3,,,2500 or more  or no clouds.,,,2.7,7.8,5.0,12,,,,
30.03.2020 20:00,8.7,751.6,763.7,0.5,91,Wind blowing from the east-southeast,2,,5,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,9.3,,,300-600,,,4.6,7.3,1.0,12,,,,
30.03.2020 17:00,9.0,751.1,763.3,-1.1,84,Wind blowing from the east,3,,,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,9.3,,,300-600,,,5.0,6.4,0.9,12,,,,
30.03.2020 14:00,8.4,752.2,764.4,-1.3,90,Wind blowing from the east,3,,,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,9.3,,,300-600,,,5.0,6.9,2.0,12,,,,
30.03.2020 11:00,8.9,753.5,765.7,0.6,87,Wind blowing from the east,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,9.3,,,300-600,,,12.0,6.9,4.0,12,,,,
30.03.2020 08:00,7.9,752.9,765.1,0.7,94,Wind blowing from the east-southeast,2,,3,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,7.9,,,300-600,,,6.0,7.0,11.0,12,,,,
30.03.2020 05:00,7.6,752.2,764.5,-0.7,96,Wind blowing from the west,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,,7.6,,,2500 or more  or no clouds.,,,3.7,7.0,16.0,12,,,,
30.03.2020 02:00,7.5,752.9,765.1,,96,Wind blowing from the west,2,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,7.6,,,2500 or more  or no clouds.,,,4.5,6.9,20.0,12,,,,
29.03.2020 20:00,7.4,752.2,764.4,0.9,96,Wind blowing from the south-west,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,6.8,,,,300-600,,,3.4,6.8,31.0,12,,,,
29.03.2020 17:00,7.4,751.3,763.6,-0.5,92,Wind blowing from the north-northeast,2,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,6.8,,,,300-600,,,6.0,6.2,31.0,12,,,,
29.03.2020 14:00,7.4,751.8,764.0,-1.3,94,Wind blowing from the north-northeast,2,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,,,,300-600,,,3.9,6.5,27.0,12,,,,
29.03.2020 11:00,7.2,753.1,765.3,1.2,93,Wind blowing from the north-east,2,,10,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Rain.,6.8,,,,300-600,,,4.7,6.1,18.0,12,,,,
29.03.2020 08:00,7.0,751.9,764.1,0.6,94,Wind blowing from the north-east,2,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,9.7,,,300-600,,,5.0,6.1,7.0,12,,,,
29.03.2020 05:00,7.2,751.3,763.4,-0.6,90,Wind blowing from the east-northeast,2,,10,,Rain  not freezing  intermittent  slight at time of observation. ,,,6.6,9.7,,,2500 or more  or no clouds.,,,4.9,5.7,1.0,12,,,,
29.03.2020 02:00,7.6,751.9,764.1,,85,Wind blowing from the east,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,9.7,,,2500 or more  or no clouds.,,,11.0,5.2,1.0,12,,,,
28.03.2020 20:00,8.6,754.5,766.7,0.7,79,Wind blowing from the east-southeast,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,10.9,,,600-1000,,,23.0,5.2,1.0,12,,,,
28.03.2020 17:00,8.5,753.8,766.0,-1.3,92,Wind blowing from the east-southeast,4,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,12.2,,,300-600,,,3.7,7.3,0.9,12,,,,
28.03.2020 14:00,9.2,755.1,767.3,-2.3,81,Wind blowing from the west,2,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,,,,300-600,,,20.0,6.1,1.0,12,,,,
28.03.2020 11:00,8.9,757.4,769.6,0.0,83,Wind blowing from the west,4,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,,,,300-600,,,26.0,6.2,3.0,12,,,,
28.03.2020 08:00,6.6,757.4,769.6,1.9,93,Wind blowing from the west,5,,12,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,,,,300-600,,,9.0,5.6,6.0,12,,,,
28.03.2020 05:00,7.2,755.5,767.7,0.4,95,Wind blowing from the west,4,,12,,Rain (not freezing) not falling as shower(s). ,,,7.2,18.8,,,2500 or more  or no clouds.,,,2.5,6.5,7.0,12,,,,
28.03.2020 02:00,8.5,755.1,767.2,,93,Wind blowing from the west,5,,12,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,19.8,,,2500 or more  or no clouds.,,,5.0,7.4,8.0,12,,,,
27.03.2020 20:00,10.9,751.5,763.3,1.4,94,Wind blowing from the west,6,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,21.2,,,300-600,,,7.0,10.0,4.0,12,,,,
27.03.2020 17:00,12.2,750.1,761.9,0.5,93,Wind blowing from the west,4,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,22.3,,,300-600,,,9.0,11.1,5.0,12,,,,
27.03.2020 14:00,16.2,749.6,761.4,-0.6,87,Wind blowing from the east,3,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.1,,,,300-600,,,10.0,14.0,8.0,12,,,,
27.03.2020 11:00,17.7,750.2,761.9,0.7,92,Wind blowing from the north-east,4,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,,,,300-600,,,7.0,16.4,8.0,12,,,,
27.03.2020 08:00,18.4,749.5,761.2,1.6,92,Wind blowing from the east-northeast,2,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,23.6,,,300-600,,,11.0,17.1,8.0,12,,,,
27.03.2020 05:00,18.6,747.9,759.5,0.0,93,Wind blowing from the east,2,,8,,Rain (not freezing) not falling as shower(s). ,,,18.4,23.6,,,2500 or more  or no clouds.,,,12.0,17.4,6.0,12,,,,
27.03.2020 02:00,18.6,747.9,759.4,,92,Wind blowing from the east-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,23.6,,,2500 or more  or no clouds.,,,8.0,17.3,No precipitation,12,,,,
26.03.2020 20:00,21.2,746.7,758.2,1.3,80,Wind blowing from the east,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,23.6,,,300-600,,,21.0,17.6,3.0,12,,,,
26.03.2020 17:00,22.0,745.4,757.0,,75,Wind blowing from the east-southeast,3,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,23.6,,,1500-2000,,,24.0,17.4,0.1,6,,,,
26.03.2020 14:00,22.9,746.3,757.9,-0.8,77,Wind blowing from the south,1,,6,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,28.3,,,600-1000,,,11.0,18.7,4.0,12,,,,
26.03.2020 11:00,20.5,747.1,758.8,,90,Wind blowing from the north-west,2,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,,,,1500-2000,,,7.0,18.8,4.0,6,,,,
26.03.2020 08:00,19.4,745.9,757.5,1.0,96,Wind blowing from the west-southwest,1,,6,100%.,Shower(s) of hail  or of rain and hail. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,,,,600-1000,,,2.6,18.7,0.4,12,,,,
26.03.2020 05:00,19.1,744.9,756.4,,96,Wind blowing from the west-northwest,1,,8,,Mist. ,,,17.7,28.3,,,,,,2.6,18.4,No precipitation,6,,,,
26.03.2020 02:00,20.5,745.1,756.5,,90,Wind blowing from the north-east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,28.3,,,2500 or more  or no clouds.,,,7.0,18.8,0.3,12,,,,
25.03.2020 20:00,21.5,745.0,756.6,0.6,85,Wind blowing from the north-east,1,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,28.3,,,2500 or more  or no clouds.,,,14.0,18.9,0.3,12,,,,
25.03.2020 17:00,23.3,744.4,756.0,,82,Wind blowing from the north,2,,8,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,28.3,,,300-600,,,10.0,20.1,No precipitation,6,,,,
25.03.2020 14:00,27.6,744.9,756.4,,59,Wind blowing from the north-east,2,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,27.6,,,600-1000,,,14.0,18.9,No precipitation,12,,,,
