Local time in Shangzhi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,9.7,746.1,763.9,-1.6,24,Wind blowing from the south-west,5,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,9.8,,,2500 or more  or no clouds.,,,6.0,-9.9,No precipitation,12,,,,
06.04.2020 08:00,2.2,747.7,765.7,-0.7,47,Wind blowing from the south-west,3,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,9.8,,,2500 or more  or no clouds.,,,7.0,-8.2,No precipitation,12,,,,
06.04.2020 05:00,-3.6,748.4,766.3,-0.3,69,Wind blowing from the south-west,2,,5,,Haze. ,,,-5.4,9.8,,,2500 or more  or no clouds.,,,6.0,-8.6,No precipitation,12,,,,
06.04.2020 02:00,-3.6,748.7,766.6,,70,Wind blowing from the south-west,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,9.8,,,2500 or more  or no clouds.,,,23.0,-8.3,No precipitation,12,,,,
05.04.2020 20:00,2.5,749.5,767.5,0.8,42,Wind blowing from the west-southwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,9.8,,,2500 or more  or no clouds.,,,9.0,-9.1,No precipitation,12,,,,
05.04.2020 17:00,8.4,748.7,766.7,-0.4,22,Wind blowing from the north-northwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,9.8,,,2500 or more  or no clouds.,,,26.0,-12.1,No precipitation,12,,,,
05.04.2020 14:00,9.3,749.1,767.0,-1.3,23,Wind blowing from the north-northwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,9.4,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
05.04.2020 11:00,7.0,750.4,768.3,-0.9,30,Wind blowing from the north-northwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,7.4,,,2500 or more  or no clouds.,,,30.0,-9.4,No precipitation,12,,,,
05.04.2020 08:00,0.6,751.3,769.3,0.6,55,Wind blowing from the south-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,4.1,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
05.04.2020 05:00,-5.5,750.7,768.9,0.4,79,Wind blowing from the south-west,1,,,,Cloud development not observed or not observable. ,,,-5.5,4.1,,,2500 or more  or no clouds.,,,20.0,-8.6,No precipitation,12,,,,
05.04.2020 02:00,-4.1,750.3,768.4,,70,Wind blowing from the south-southwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,4.1,,,2500 or more  or no clouds.,,,12.0,-8.9,No precipitation,12,,,,
04.04.2020 20:00,2.1,750.3,768.4,1.1,39,Wind blowing from the west-northwest,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,4.1,,,2500 or more  or no clouds.,,,30.0,-10.4,No precipitation,12,,,,
04.04.2020 17:00,3.4,749.2,767.3,0.6,35,Wind blowing from the north-west,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,4.1,,,2500 or more  or no clouds.,,,30.0,-10.6,No precipitation,12,,,,
04.04.2020 14:00,3.6,748.6,766.6,0.1,31,Wind blowing from the north-west,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,9.6,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
04.04.2020 11:00,2.4,748.5,766.6,0.0,31,Wind blowing from the north-northwest,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
04.04.2020 08:00,-0.8,748.5,766.6,0.7,35,Wind blowing from the north-west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
04.04.2020 05:00,-2.6,747.8,765.9,1.1,43,Wind blowing from the north-west,5,,13,,Cloud development not observed or not observable. ,,,-5.6,,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
04.04.2020 02:00,-1.3,746.7,764.5,,47,Wind blowing from the north-west,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,12.1,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
03.04.2020 20:00,-0.2,745.2,763.0,3.8,52,Wind blowing from the north-west,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,12.1,,,2500 or more  or no clouds.,,,19.0,-9.1,No precipitation,12,,,,
03.04.2020 17:00,2.6,741.4,759.4,3.2,53,Wind blowing from the north-northwest,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,12.1,,,2500 or more  or no clouds.,,,29.0,-6.0,No precipitation,12,,,,
03.04.2020 14:00,8.8,738.2,755.9,-0.2,46,Wind blowing from the north-west,8,,14,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,14.2,,,2500 or more  or no clouds.,,,4.3,-2.2,No precipitation,12,,,,
03.04.2020 11:00,10.6,738.4,755.9,-3.2,30,Wind blowing from the west-southwest,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,14.4,,,2500 or more  or no clouds.,,,11.0,-6.2,No precipitation,12,,,,
03.04.2020 08:00,4.3,741.6,759.2,-2.0,41,Wind blowing from the south-west,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,14.4,,,2500 or more  or no clouds.,,,20.0,-7.8,No precipitation,12,,,,
03.04.2020 05:00,-5.5,743.6,761.4,-1.7,83,Wind blowing from the south-east,0,,,,Cloud development not observed or not observable. ,,,-5.5,14.4,,,2500 or more  or no clouds.,,,30.0,-7.9,No precipitation,12,,,,
03.04.2020 02:00,-3.9,745.3,763.0,,72,Wind blowing from the west-southwest,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,14.4,,,2500 or more  or no clouds.,,,30.0,-8.2,No precipitation,12,,,,
02.04.2020 20:00,5.0,746.5,764.2,2.4,28,Wind blowing from the north,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,14.4,,,2500 or more  or no clouds.,,,29.0,-12.0,No precipitation,12,,,,
02.04.2020 17:00,10.7,744.1,761.7,1.8,21,Wind blowing from the west-northwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,14.4,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
02.04.2020 14:00,13.4,742.3,759.8,0.1,25,Wind blowing from the west-northwest,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,14.4,,,2500 or more  or no clouds.,,,23.0,-6.2,No precipitation,12,,,,
02.04.2020 11:00,11.1,742.2,759.7,-0.2,29,Wind blowing from the west-southwest,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,11.2,,,2500 or more  or no clouds.,,,9.0,-6.3,No precipitation,12,,,,
02.04.2020 08:00,5.7,742.4,760.0,-0.2,37,Wind blowing from the west-southwest,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,10.8,,,2500 or more  or no clouds.,,,15.0,-7.9,No precipitation,12,,,,
02.04.2020 05:00,-0.6,742.6,760.2,-0.2,60,Wind blowing from the south-southwest,1,,5,,Cloud development not observed or not observable. ,,,-4.3,10.8,,,2500 or more  or no clouds.,,,22.0,-7.6,No precipitation,12,,,,
02.04.2020 02:00,-2.2,742.8,760.5,,67,Wind blowing from the south,1,,10,, ,,,-4.7,10.8,,,,,,14.0,-7.5,No precipitation,6,,,,
01.04.2020 20:00,3.6,744.8,762.6,0.6,46,Wind blowing from the west-southwest,2,,10,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,10.8,,,2500 or more  or no clouds.,,,6.0,-7.2,No precipitation,12,,,,
01.04.2020 17:00,9.5,744.2,762.0,-0.8,24,Wind blowing from the west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,11.1,,,2500 or more  or no clouds.,,,7.0,-10.1,No precipitation,12,,,,
01.04.2020 14:00,10.4,745.0,762.7,-2.0,20,Wind blowing from the west-southwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,12.9,,,2500 or more  or no clouds.,,,20.0,-11.6,No precipitation,12,,,,
01.04.2020 11:00,8.4,747.0,764.6,-0.8,24,Wind blowing from the west-southwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,12.9,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
01.04.2020 08:00,2.0,747.8,765.6,0.4,55,Wind blowing from the south-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,12.9,,,2500 or more  or no clouds.,,,11.0,-6.1,No precipitation,12,,,,
01.04.2020 05:00,-4.3,747.4,765.2,0.9,84,Wind blowing from the south,1,,8,,Cloud development not observed or not observable. ,,,-4.7,12.9,,,2500 or more  or no clouds.,,,30.0,-6.7,No precipitation,12,,,,
01.04.2020 02:00,-3.1,746.5,764.2,,71,Wind blowing from the south-southwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,12.9,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
31.03.2020 20:00,7.5,744.9,762.3,,28,Wind blowing from the west-northwest,4,,,40%., ,,,,12.9,,,1000-1500,,,30.0,-9.8,No precipitation,6,,,,
31.03.2020 17:00,11.1,742.7,760.3,0.2,28,Wind blowing from the west-northwest,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,14.8,,,2500 or more  or no clouds.,,,30.0,-6.7,No precipitation,12,,,,
31.03.2020 14:00,12.2,742.5,760.0,0.2,32,Wind blowing from the west,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,16.1,,,2500 or more  or no clouds.,,,15.0,-4.0,No precipitation,12,,,,
31.03.2020 11:00,10.5,742.3,759.9,0.5,51,Wind blowing from the west-southwest,7,,14,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,16.1,,,2500 or more  or no clouds.,,,4.6,0.8,No precipitation,12,,,,
31.03.2020 08:00,9.6,741.8,759.3,0.7,43,Wind blowing from the west-southwest,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,16.1,,,2500 or more  or no clouds.,,,10.0,-2.4,No precipitation,12,,,,
31.03.2020 05:00,1.0,741.1,758.5,-0.8,73,Wind blowing from the south-west,1,,4,,Cloud development not observed or not observable. ,,,-1.8,16.1,,,2500 or more  or no clouds.,,,7.0,-3.3,No precipitation,12,,,,
31.03.2020 02:00,1.5,741.9,759.3,,73,Wind blowing from the west-southwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,16.1,,,2500 or more  or no clouds.,,,15.0,-2.8,No precipitation,12,,,,
30.03.2020 20:00,3.6,742.2,759.7,,65,Wind blowing from the east-southeast,1,,12,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,16.1,,,1000-1500,,,2.9,-2.4,No precipitation,6,,,,
30.03.2020 17:00,14.8,741.8,759.3,0.0,30,Wind blowing from the west-southwest,2,,,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,16.1,,,1000-1500,,,10.0,-2.6,No precipitation,12,,,,
30.03.2020 14:00,15.3,741.8,759.3,-1.6,24,Wind blowing from the west-southwest,6,,,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,15.6,,,1000-1500,,,15.0,-5.1,No precipitation,12,,,,
30.03.2020 11:00,11.9,743.4,760.9,-0.4,29,Wind blowing from the south-west,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,13.1,,,2500 or more  or no clouds.,,,15.0,-5.6,No precipitation,12,,,,
30.03.2020 08:00,7.7,743.8,761.4,0.0,36,Wind blowing from the south-west,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,13.1,,,,,,15.0,-6.4,No precipitation,12,,,,
30.03.2020 05:00,-0.8,743.8,761.4,0.3,61,Wind blowing from the west,1,,6,,Cloud development not observed or not observable. ,,,-4.9,13.1,,,2500 or more  or no clouds.,,,19.0,-7.4,No precipitation,12,,,,
30.03.2020 02:00,-2.1,743.5,761.1,,73,Wind blowing from the north,0,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,13.1,,,2500 or more  or no clouds.,,,18.0,-6.3,No precipitation,12,,,,
29.03.2020 20:00,5.8,742.9,760.6,1.1,42,Wind blowing from the south-west,2,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,13.1,,,,,,18.0,-6.1,No precipitation,12,,,,
29.03.2020 17:00,11.0,741.8,759.4,-1.0,32,Wind blowing from the south-west,4,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,13.1,,,,,,14.0,-5.1,No precipitation,12,,,,
29.03.2020 14:00,12.6,742.8,760.5,-1.9,24,Wind blowing from the west-southwest,5,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,12.6,,,,,,16.0,-7.4,No precipitation,12,,,,
29.03.2020 11:00,8.7,744.7,762.4,-1.5,25,Wind blowing from the west-southwest,6,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,8.9,,,,,,7.0,-10.2,No precipitation,12,,,,
29.03.2020 08:00,3.9,746.2,764.2,-0.1,34,Wind blowing from the south-southwest,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,5.0,,,,,,21.0,-10.5,No precipitation,12,,,,
29.03.2020 05:00,-2.8,746.3,764.3,-0.5,54,Wind blowing from the south-west,2,,9,,Cloud development not observed or not observable. ,,,-6.7,5.0,,,2500 or more  or no clouds.,,,21.0,-10.8,No precipitation,12,,,,
29.03.2020 02:00,-5.3,746.8,764.9,,76,Wind blowing from the west-northwest,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.7,5.0,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
28.03.2020 20:00,0.0,746.8,764.8,0.6,47,Wind blowing from the south-west,2,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.7,5.0,,,,,,13.0,-10.0,No precipitation,12,,,,
28.03.2020 17:00,4.0,746.2,764.2,-0.8,27,Wind blowing from the west,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.7,5.0,,,,,,17.0,-13.3,No precipitation,12,,,,
28.03.2020 14:00,4.1,747.0,765.1,,26,Wind blowing from the west-southwest,7,,13,20–30%., ,,,-6.7,4.3,,,600-1000,,,22.0,-13.7,No precipitation,6,,,,
28.03.2020 11:00,2.3,748.5,766.6,-0.1,25,Wind blowing from the west,4,,10,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.7,4.4,,,600-1000,,,21.0,-15.7,No precipitation,12,,,,
28.03.2020 08:00,-2.3,748.6,766.8,1.5,44,Wind blowing from the west-southwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.7,4.4,,,2500 or more  or no clouds.,,,26.0,-12.9,No precipitation,12,,,,
28.03.2020 05:00,-6.3,747.1,765.4,0.6,70,Wind blowing from the west-southwest,2,,9,,Cloud development not observed or not observable. ,,,-6.6,4.4,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
28.03.2020 02:00,-5.0,746.5,764.5,,65,Wind blowing from the west-southwest,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,4.4,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
27.03.2020 20:00,-0.9,745.6,763.6,0.7,36,Wind blowing from the west,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,4.4,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
27.03.2020 17:00,1.1,744.9,763.0,0.5,30,Wind blowing from the west,4,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,4.4,,,600-1000,,,20.0,-14.5,No precipitation,12,,,,
27.03.2020 14:00,3.7,744.4,762.3,-1.3,26,Wind blowing from the west,5,,12,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,4.4,,,600-1000,,,30.0,-14.0,No precipitation,12,,,,
27.03.2020 11:00,2.0,745.7,763.6,-1.6,33,Wind blowing from the west-southwest,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,3.9,,,2500 or more  or no clouds.,,,17.0,-12.6,No precipitation,12,,,,
27.03.2020 08:00,-1.6,747.3,765.4,-0.2,44,Wind blowing from the west-southwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,6.7,,,2500 or more  or no clouds.,,,23.0,-12.3,No precipitation,12,,,,
27.03.2020 05:00,-4.6,747.5,765.7,0.4,63,Wind blowing from the west,3,,8,,Cloud development not observed or not observable. ,,,-4.6,8.8,,,2500 or more  or no clouds.,,,30.0,-10.6,No precipitation,12,,,,
27.03.2020 02:00,-2.4,747.1,765.1,,43,Wind blowing from the west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,8.8,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
26.03.2020 20:00,1.7,746.8,764.5,1.3,45,Wind blowing from the west-southwest,3,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,8.8,,,2500 or more  or no clouds.,,,30.0,-9.0,0.1,12,,,,
26.03.2020 17:00,2.5,745.5,763.2,,77,Wind blowing from the south-west,5,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,9.7,,,,,,22.0,-1.1,0.1,6,,,,
26.03.2020 14:00,2.9,745.4,763.3,-0.3,75,Wind blowing from the south-west,5,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,10.8,,,2500 or more  or no clouds.,,,22.0,-1.1,0.1,12,,,,
26.03.2020 11:00,3.2,745.7,763.6,,82,Wind blowing from the west,4,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,13.1,,,,,,14.0,0.4,No precipitation,6,,,,
26.03.2020 08:00,6.7,743.6,761.2,1.7,55,Wind blowing from the west-southwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,13.1,,,2500 or more  or no clouds.,,,14.0,-1.7,No precipitation,12,,,,
26.03.2020 05:00,7.2,741.9,759.3,,48,Wind blowing from the south-west,4,,7,, ,,,-2.9,13.1,,,,,,30.0,-3.1,No precipitation,6,,,,
