Local time in Weichang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
04.04.2020 17:00,14.6,690.1,769.5,-1.5,7,Wind blowing from the south,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,15.3,,,2500 or more  or no clouds.,,,30.0,-20.9,No precipitation,12,,,,
04.04.2020 14:00,13.2,691.6,770.9,-2.1,7,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,17.5,,,2500 or more  or no clouds.,,,30.0,-21.9,No precipitation,12,,,,
04.04.2020 11:00,6.8,693.7,773.5,-0.6,13,Wind blowing from the west-northwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,,,,2500 or more  or no clouds.,,,27.0,-19.7,No precipitation,12,,,,
04.04.2020 08:00,-1.9,694.3,774.6,1.2,33,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,,,,2500 or more  or no clouds.,,,28.0,-16.0,No precipitation,12,,,,
04.04.2020 05:00,-4.5,693.1,772.7,0.9,46,Wind blowing from the north-northeast,2,,11,,Cloud development not observed or not observable. ,,,-4.5,17.5,,,2500 or more  or no clouds.,,,30.0,-14.6,No precipitation,12,,,,
04.04.2020 02:00,-0.7,692.2,770.9,,31,Wind blowing from the north,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,17.5,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
03.04.2020 20:00,9.4,689.1,768.4,2.6,20,Wind blowing from the north-northeast,4,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,17.5,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
03.04.2020 17:00,15.3,686.5,765.1,0.4,11,Wind blowing from the west,7,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,17.5,,,2500 or more  or no clouds.,,,21.0,-15.0,No precipitation,12,,,,
03.04.2020 14:00,17.3,686.1,764.1,,9,Wind blowing from the west-northwest,5,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,17.5,,,2500 or more  or no clouds.,,,21.0,-15.9,No precipitation,12,,,,
03.04.2020 08:00,0.3,688.9,769.0,0.0,45,Wind blowing from the north-northeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,14.2,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
03.04.2020 05:00,-2.5,688.9,768.1,-0.3,52,Wind blowing from the north-northeast,3,,8,,Cloud development not observed or not observable. ,,,-5.8,14.2,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
03.04.2020 02:00,-0.9,689.2,768.1,,46,Wind blowing from the north-northeast,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,14.2,,,2500 or more  or no clouds.,,,30.0,-11.3,No precipitation,12,,,,
02.04.2020 20:00,4.7,688.3,768.6,1.2,25,Wind blowing from the north-northeast,1,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,14.2,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
02.04.2020 17:00,13.4,687.1,766.6,0.0,12,Wind blowing from the west-northwest,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,14.2,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
02.04.2020 14:00,13.7,687.1,766.3,-1.2,12,Wind blowing from the west,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,14.2,,,2500 or more  or no clouds.,,,25.0,-15.2,No precipitation,12,,,,
02.04.2020 11:00,11.0,688.3,767.6,-1.0,12,Wind blowing from the west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,11.4,,,2500 or more  or no clouds.,,,30.0,-17.3,No precipitation,12,,,,
02.04.2020 08:00,-1.5,689.3,770.3,0.1,34,Wind blowing from the north-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,11.4,,,2500 or more  or no clouds.,,,16.0,-15.3,No precipitation,12,,,,
02.04.2020 05:00,-5.8,689.2,769.3,0.0,44,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,,,-8.5,11.4,,,2500 or more  or no clouds.,,,30.0,-16.1,No precipitation,12,,,,
02.04.2020 02:00,-4.6,689.2,769.2,,40,Wind blowing from the north-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,11.4,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
01.04.2020 20:00,0.9,688.6,769.8,1.1,22,Wind blowing from the east-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,11.4,,,2500 or more  or no clouds.,,,30.0,-18.4,No precipitation,12,,,,
01.04.2020 17:00,10.3,687.5,767.7,-0.6,9,Wind blowing from the west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,11.4,,,2500 or more  or no clouds.,,,30.0,-21.2,No precipitation,12,,,,
01.04.2020 14:00,10.7,688.1,768.0,-2.3,8,Wind blowing from the west-northwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,10.9,,,2500 or more  or no clouds.,,,30.0,-22.3,No precipitation,12,,,,
01.04.2020 11:00,7.4,690.4,770.5,-1.0,12,Wind blowing from the west-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,9.8,,,2500 or more  or no clouds.,,,30.0,-20.2,No precipitation,12,,,,
01.04.2020 08:00,-3.9,691.4,772.6,0.2,36,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,9.8,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
01.04.2020 05:00,-7.2,691.2,772.2,-0.1,49,Wind blowing from the north-northeast,2,,9,,Cloud development not observed or not observable. ,,,-7.4,9.8,,,2500 or more  or no clouds.,,,30.0,-16.3,No precipitation,12,,,,
01.04.2020 02:00,-4.9,691.3,771.7,,44,Wind blowing from the north-northeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,9.8,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
31.03.2020 20:00,3.8,689.6,769.9,3.2,21,Wind blowing from the north,4,,10,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,10.0,,,600-1000,,,30.0,-16.5,No precipitation,12,,,,
31.03.2020 17:00,8.0,686.4,765.9,0.3,17,Wind blowing from the north-east,2,,10,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,14.3,,,600-1000,,,30.0,-15.6,No precipitation,12,,,,
31.03.2020 14:00,9.5,686.1,765.1,-0.7,22,Wind blowing from the east-northeast,3,,10,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,16.5,,,600-1000,,,30.0,-11.2,No precipitation,12,,,,
31.03.2020 11:00,5.5,686.8,765.6,1.5,34,Wind blowing from the north-northeast,6,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,,,,600-1000,,,30.0,-9.1,No precipitation,12,,,,
31.03.2020 08:00,0.2,685.3,764.3,1.5,74,Wind blowing from the north-northeast,2,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,16.5,,,2500 or more  or no clouds.,,,5.0,-3.9,No precipitation,12,,,,
31.03.2020 05:00,-1.2,683.8,762.0,0.3,80,Wind blowing from the north-east,2,,8,,Mist. ,,,-4.1,16.5,,,2500 or more  or no clouds.,,,5.0,-4.2,No precipitation,12,,,,
31.03.2020 02:00,0.2,683.5,761.3,,73,Wind blowing from the north-northeast,1,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,16.5,,,2500 or more  or no clouds.,,,6.0,-4.1,No precipitation,12,,,,
30.03.2020 20:00,9.0,682.5,761.3,1.4,39,Wind blowing from the east-southeast,2,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,16.5,,,2500 or more  or no clouds.,,,14.0,-4.2,No precipitation,12,,,,
30.03.2020 17:00,14.3,681.1,759.3,-0.8,26,Wind blowing from the south,3,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,16.5,,,2500 or more  or no clouds.,,,14.0,-4.9,No precipitation,12,,,,
30.03.2020 14:00,15.5,681.9,759.9,-2.2,19,Wind blowing from the south-west,5,,10,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,15.9,,,2500 or more  or no clouds.,,,18.0,-8.0,No precipitation,12,,,,
30.03.2020 11:00,9.1,684.1,763.0,-0.9,36,Wind blowing from the south-southwest,3,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,13.1,,,2500 or more  or no clouds.,,,12.0,-5.2,No precipitation,12,,,,
30.03.2020 08:00,-0.9,685.0,764.7,0.6,63,Wind blowing from the north,2,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,13.1,,,2500 or more  or no clouds.,,,8.0,-7.1,No precipitation,12,,,,
30.03.2020 05:00,-3.3,684.4,763.6,0.0,71,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,,,-8.2,13.1,,,2500 or more  or no clouds.,,,12.0,-7.8,No precipitation,12,,,,
30.03.2020 02:00,-2.3,684.4,763.3,,66,Wind blowing from the north-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,13.1,,,2500 or more  or no clouds.,,,16.0,-7.8,No precipitation,12,,,,
29.03.2020 20:00,5.5,683.0,763.0,1.4,37,Wind blowing from the east-southeast,2,,8,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,13.1,,,600-1000,,,27.0,-8.0,No precipitation,12,,,,
29.03.2020 17:00,11.2,681.6,761.1,-1.2,23,Wind blowing from the south-southeast,4,,,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,13.1,,,600-1000,,,30.0,-9.2,No precipitation,12,,,,
29.03.2020 14:00,11.7,682.8,762.1,-2.2,22,Wind blowing from the south,4,,7,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,12.2,,,600-1000,,,30.0,-9.3,No precipitation,12,,,,
29.03.2020 11:00,5.9,685.0,765.1,-1.4,25,Wind blowing from the south-west,3,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,8.0,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
29.03.2020 08:00,-4.5,686.4,767.8,-0.4,54,Wind blowing from the north-northeast,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.7,8.0,,,,,,24.0,-12.6,No precipitation,12,,,,
29.03.2020 05:00,-8.1,686.8,767.5,-0.6,68,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,,,-13.6,8.0,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
29.03.2020 02:00,-6.4,687.4,767.8,,60,Wind blowing from the north-northeast,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,8.0,,,2500 or more  or no clouds.,,,30.0,-12.9,No precipitation,12,,,,
28.03.2020 20:00,-0.9,686.8,768.8,0.5,36,Wind blowing from the east,2,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,8.0,,,,,,30.0,-14.4,No precipitation,12,,,,
28.03.2020 17:00,7.2,686.3,767.8,-1.1,16,Wind blowing from the west,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.6,8.0,,,,,,30.0,-17.0,No precipitation,12,,,,
28.03.2020 14:00,7.3,687.4,768.7,-2.5,14,Wind blowing from the west-southwest,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.6,7.4,,,,,,30.0,-18.5,No precipitation,12,,,,
28.03.2020 11:00,3.0,689.9,771.7,-1.4,15,Wind blowing from the west-southwest,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.6,3.3,,,,,,30.0,-21.1,No precipitation,12,,,,
28.03.2020 08:00,-8.7,691.3,774.1,0.8,51,Wind blowing from the north,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.6,1.7,,,,,,29.0,-17.0,No precipitation,12,,,,
28.03.2020 05:00,-13.3,690.5,773.8,-0.2,64,Wind blowing from the east-northeast,1,,12,,Cloud development not observed or not observable. ,,,-13.3,1.7,,,2500 or more  or no clouds.,,,30.0,-18.7,No precipitation,12,,,,
28.03.2020 02:00,-11.5,690.7,773.5,,56,Wind blowing from the east,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.0,1.7,,,2500 or more  or no clouds.,,,30.0,-18.7,No precipitation,12,,,,
27.03.2020 20:00,-2.3,690.9,773.4,0.7,19,Wind blowing from the north-northwest,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.0,1.7,,,,,,30.0,-22.8,No precipitation,12,,,,
27.03.2020 17:00,-0.8,690.2,773.0,0.3,22,Wind blowing from the north-west,5,,16,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.0,1.7,,,600-1000,,,30.0,-19.9,No precipitation,12,,,,
27.03.2020 14:00,0.0,689.9,772.3,0.4,26,Wind blowing from the north-northwest,5,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.0,1.7,,,600-1000,,,30.0,-17.2,No precipitation,12,,,,
27.03.2020 11:00,1.0,689.5,771.1,-0.6,19,Wind blowing from the west-northwest,6,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.0,1.9,,,,,,29.0,-20.1,No precipitation,12,,,,
27.03.2020 08:00,-6.7,690.1,772.3,0.6,39,Wind blowing from the north,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.0,2.1,,,,,,30.0,-18.4,No precipitation,12,,,,
27.03.2020 05:00,-10.5,689.5,772.0,-0.9,50,Wind blowing from the east,1,,13,,Cloud development not observed or not observable. ,,,-10.5,2.1,,,2500 or more  or no clouds.,,,30.0,-18.9,No precipitation,12,,,,
27.03.2020 02:00,-9.0,690.4,772.7,,52,Wind blowing from the north-east,1,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.0,2.1,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
26.03.2020 20:00,-1.3,690.1,771.4,1.2,21,Wind blowing from the north-west,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,,,,,,,25.0,-20.8,No precipitation,12,,,,
26.03.2020 17:00,0.2,688.9,770.0,,25,Wind blowing from the north-northwest,4,,15,90  or more  but not 100%, ,,,-2.2,,,,600-1000,,,30.0,-17.5,No precipitation,6,,,,
26.03.2020 14:00,0.4,688.9,769.6,0.4,23,Wind blowing from the north-west,7,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,,,,600-1000,,,30.0,-18.3,3.0,12,,,,
26.03.2020 11:00,1.9,688.5,767.7,,26,Wind blowing from the north-west,3,,12,90  or more  but not 100%, ,,,-2.2,,,,600-1000,,,30.0,-15.6,No precipitation,6,,,,
26.03.2020 08:00,-0.4,687.7,766.8,1.1,56,Wind blowing from the north,2,,13,100%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Rain.,-2.2,,,,600-1000,,,30.0,-8.3,4.0,12,,,,
26.03.2020 05:00,-2.2,686.6,764.9,,88,Wind blowing from the north-east,2,,13,,Snow not falling as shower(s). ,,,-2.2,18.9,,,,,,30.0,-3.9,4.0,6,,,,
