Local time in Fuding,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,15.2,761.1,764.5,-0.7,57,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,16.2,,,2500 or more  or no clouds.,,,14.0,6.7,No precipitation,12,,,,
06.04.2020 14:00,15.9,761.8,765.2,-1.8,58,Wind blowing from the east-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,17.3,,,2500 or more  or no clouds.,,,14.0,7.7,No precipitation,12,,,,
06.04.2020 11:00,14.6,763.6,766.9,-0.4,68,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,17.5,,,2500 or more  or no clouds.,,,11.0,8.8,No precipitation,12,,,,
06.04.2020 08:00,12.4,764.0,767.4,0.7,80,Wind blowing from the west-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,,,,2500 or more  or no clouds.,,,12.0,9.1,No precipitation,12,,,,
06.04.2020 05:00,11.7,763.3,766.7,-0.9,86,Wind blowing from the north-northwest,1,,4,,Cloud development not observed or not observable. ,,,11.7,17.5,,,2500 or more  or no clouds.,,,11.0,9.4,No precipitation,12,,,,
06.04.2020 02:00,11.9,764.2,767.5,-1.1,84,Wind blowing from the north-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,17.5,,,2500 or more  or no clouds.,,,13.0,9.3,0.2,12,,,,
05.04.2020 23:00,12.1,765.3,768.7,0.3,80,Wind blowing from the north-east,2,,4,,Rain (not freezing) not falling as shower(s). ,,,11.9,17.5,,,2500 or more  or no clouds.,,,13.0,8.8,0.2,12,,,,
05.04.2020 20:00,12.5,765.0,768.4,1.3,78,Wind blowing from the north-northeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,17.5,,,2500 or more  or no clouds.,,,11.0,8.8,0.2,12,,,,
05.04.2020 17:00,14.1,763.7,767.1,-0.7,79,Wind blowing from the west-southwest,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,17.5,,,2500 or more  or no clouds.,,,6.0,10.5,0.2,12,,,,
05.04.2020 14:00,17.2,764.4,767.8,-1.3,46,Wind blowing from the south-west,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,17.5,,,2500 or more  or no clouds.,,,14.0,5.5,No precipitation,12,,,,
05.04.2020 11:00,16.4,765.7,769.0,,54,Wind blowing from the north-east,1,,2,, ,,,11.9,16.6,,,,,,15.0,7.1,No precipitation,6,,,,
05.04.2020 08:00,13.0,765.6,769.0,1.1,81,Wind blowing from the west,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,16.6,,,2500 or more  or no clouds.,,,14.0,9.8,No precipitation,12,,,,
05.04.2020 05:00,11.9,764.5,767.9,0.0,92,Wind blowing from the east,1,,3,,Cloud development not observed or not observable. ,,,11.8,16.6,,,2500 or more  or no clouds.,,,14.0,10.6,No precipitation,12,,,,
05.04.2020 02:00,12.6,764.5,767.9,-0.8,86,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,16.6,,,2500 or more  or no clouds.,,,17.0,10.3,No precipitation,12,,,,
04.04.2020 23:00,13.1,765.3,768.7,0.1,82,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,,,11.7,16.6,,,2500 or more  or no clouds.,,,17.0,10.1,No precipitation,12,,,,
04.04.2020 20:00,14.1,765.2,768.6,1.2,71,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,16.6,,,2500 or more  or no clouds.,,,17.0,8.9,No precipitation,12,,,,
04.04.2020 17:00,16.0,764.0,767.4,0.4,54,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,16.6,,,2500 or more  or no clouds.,,,24.0,6.7,No precipitation,12,,,,
04.04.2020 14:00,16.3,763.6,767.0,-1.2,50,Wind blowing from the east-northeast,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,16.3,,,2500 or more  or no clouds.,,,28.0,5.9,No precipitation,12,,,,
04.04.2020 11:00,14.4,764.8,768.2,0.4,71,Wind blowing from the east-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,14.8,,,2500 or more  or no clouds.,,,15.0,9.2,No precipitation,12,,,,
04.04.2020 08:00,12.4,764.4,767.8,1.4,85,Wind blowing from the north-northwest,0,,3,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,,,,2500 or more  or no clouds.,,,10.0,10.0,0.3,12,,,,
04.04.2020 05:00,11.9,763.0,766.4,-0.2,95,Wind blowing from the west-southwest,1,,2,,Mist. ,,,11.7,,,,2500 or more  or no clouds.,,,4.8,11.1,1.0,12,,,,
04.04.2020 02:00,11.8,763.2,766.6,-0.7,98,Wind blowing from the west-northwest,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,14.8,,,2500 or more  or no clouds.,,,3.8,11.5,2.0,12,,,,
03.04.2020 23:00,12.1,763.9,767.3,0.1,96,Wind blowing from the north,0,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.7,14.8,,,2500 or more  or no clouds.,,,3.3,11.5,2.0,12,,,,
03.04.2020 20:00,12.0,763.8,767.2,1.4,95,Wind blowing from the west,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,14.8,,,2500 or more  or no clouds.,,,4.1,11.2,2.0,12,,,,
03.04.2020 17:00,13.0,762.4,765.8,0.0,84,Wind blowing from the north-east,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,14.8,,,2500 or more  or no clouds.,,,5.0,10.4,0.8,12,,,,
03.04.2020 14:00,14.5,762.4,765.8,-1.4,65,Wind blowing from the north-northeast,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,14.9,,,2500 or more  or no clouds.,,,11.0,8.0,No precipitation,12,,,,
03.04.2020 11:00,14.0,763.8,767.2,0.4,70,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,16.2,,,2500 or more  or no clouds.,,,10.0,8.6,0.5,12,,,,
03.04.2020 08:00,12.3,763.4,766.8,0.9,83,Wind blowing from the north,1,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,,,,2500 or more  or no clouds.,,,6.0,9.5,1.0,12,,,,
03.04.2020 05:00,11.7,762.5,765.9,-1.0,95,Wind blowing from the north,1,,3,,Mist. ,,,11.7,16.2,,,2500 or more  or no clouds.,,,4.0,10.9,1.0,12,,,,
03.04.2020 02:00,11.9,763.5,766.9,-0.5,96,Wind blowing from the west-northwest,1,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,16.2,,,2500 or more  or no clouds.,,,3.3,11.3,1.0,12,,,,
02.04.2020 23:00,12.4,764.0,767.4,-0.3,90,Wind blowing from the east,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.4,16.2,,,2500 or more  or no clouds.,,,3.5,10.8,0.9,12,,,,
02.04.2020 20:00,13.1,764.3,767.7,1.6,77,Wind blowing from the north-west,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,16.2,,,2500 or more  or no clouds.,,,6.0,9.2,0.3,12,,,,
02.04.2020 17:00,13.6,762.7,766.0,-0.5,74,Wind blowing from the north-east,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,18.4,,,2500 or more  or no clouds.,,,6.0,9.1,0.3,12,,,,
02.04.2020 14:00,14.9,763.2,766.6,-1.4,64,Wind blowing from the north-northeast,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,19.2,,,2500 or more  or no clouds.,,,9.0,8.2,No precipitation,12,,,,
02.04.2020 11:00,15.2,764.6,768.0,,54,Wind blowing from the north-northeast,2,,3,, ,,,11.4,19.2,,,,,,14.0,6.0,No precipitation,6,,,,
02.04.2020 08:00,12.4,765.0,768.4,1.7,88,Wind blowing from the north-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,,,,2500 or more  or no clouds.,,,10.0,10.5,No precipitation,12,,,,
02.04.2020 05:00,11.7,763.3,766.6,-0.2,90,Wind blowing from the west-northwest,1,,5,,Cloud development not observed or not observable. ,,,11.4,19.2,,,2500 or more  or no clouds.,,,11.0,10.1,No precipitation,12,,,,
02.04.2020 02:00,11.8,763.5,766.9,-0.8,93,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,19.2,,,2500 or more  or no clouds.,,,9.0,10.7,No precipitation,12,,,,
01.04.2020 23:00,13.1,764.3,767.7,1.3,89,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,,,11.7,19.2,,,2500 or more  or no clouds.,,,11.0,11.3,No precipitation,12,,,,
01.04.2020 20:00,14.0,763.0,766.4,1.9,82,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,19.2,,,2500 or more  or no clouds.,,,13.0,11.0,No precipitation,12,,,,
01.04.2020 17:00,18.2,761.1,764.5,-0.1,53,Wind blowing from the north-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,19.2,,,2500 or more  or no clouds.,,,28.0,8.5,No precipitation,12,,,,
01.04.2020 14:00,18.8,761.2,764.5,-1.6,51,Wind blowing from the north-northeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,18.9,,,2500 or more  or no clouds.,,,30.0,8.5,No precipitation,12,,,,
01.04.2020 11:00,17.4,762.8,766.2,0.7,52,Wind blowing from the north-northeast,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,18.4,,,2500 or more  or no clouds.,,,30.0,7.5,No precipitation,12,,,,
01.04.2020 08:00,13.7,762.1,765.4,2.4,92,Wind blowing from the south-southwest,1,,3,,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,15.4,,,2500 or more  or no clouds.,,,11.0,12.4,2.0,12,,,,
01.04.2020 05:00,12.0,759.7,763.1,0.9,99,Wind blowing from the north,1,,4,,Mist. ,,,11.6,,,,2500 or more  or no clouds.,,,6.0,11.8,20.0,12,,,,
01.04.2020 02:00,12.4,758.8,762.1,0.0,99,Wind blowing from the north,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,15.4,,,2500 or more  or no clouds.,,,8.0,12.2,21.0,12,,,,
31.03.2020 23:00,12.1,758.8,762.1,0.4,99,Wind blowing from the north,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.5,15.4,,,2500 or more  or no clouds.,,,9.0,11.9,22.0,12,,,,
31.03.2020 20:00,12.1,758.4,761.8,1.7,99,Wind blowing from the north,1,,4,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,15.4,,,600-1000,,,3.2,11.9,20.0,12,,,,
31.03.2020 17:00,12.5,756.7,760.1,-0.5,99,Wind blowing from the north,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,15.4,,,600-1000,,,5.0,12.3,7.0,12,,,,
31.03.2020 14:00,14.3,757.2,760.6,-2.2,91,Wind blowing from the west-southwest,1,,3,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,15.4,,,600-1000,,,17.0,12.9,15.0,12,,,,
31.03.2020 11:00,13.5,759.4,762.8,-0.7,94,Wind blowing from the south-east,2,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,13.6,,,300-600,,,19.0,12.6,27.0,12,,,,
31.03.2020 08:00,11.9,760.1,763.5,,99,Wind blowing from the west-southwest,0,,3,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,600-1000,,,3.2,11.7,13.0,6,,,,
31.03.2020 05:00,11.6,759.7,763.1,-0.6,99,Wind blowing from the south-west,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,,13.0,,,2500 or more  or no clouds.,,,5.0,11.4,33.0,12,,,,
31.03.2020 02:00,11.6,760.3,763.6,-0.5,99,Wind blowing from the west,1,,3,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,13.0,,,2500 or more  or no clouds.,,,5.0,11.4,25.0,12,,,,
30.03.2020 23:00,11.7,760.8,764.2,0.5,99,Wind blowing from the north-northwest,1,,3,,Rain  not freezing  intermittent  moderate at time of observation. ,,,,13.0,,,2500 or more  or no clouds.,,,4.5,11.5,13.0,12,,,,
30.03.2020 20:00,11.7,760.3,763.7,1.0,99,Wind blowing from the west,1,,3,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,13.0,,,600-1000,,,3.3,11.5,10.0,12,,,,
30.03.2020 17:00,12.3,759.3,762.7,0.3,97,Wind blowing from the west,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,13.0,,,600-1000,,,8.0,11.8,9.0,12,,,,
30.03.2020 14:00,12.9,759.0,762.4,-1.0,92,Wind blowing from the north,0,,2,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,13.0,,,300-600,,,9.0,11.6,19.0,12,,,,
30.03.2020 11:00,11.5,760.0,763.4,0.2,98,Wind blowing from the south-east,0,,2,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,11.9,,,300-600,,,5.0,11.2,34.0,12,,,,
30.03.2020 08:00,10.2,759.8,763.2,0.9,99,Wind blowing from the north,0,,2,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,11.9,,,2500 or more  or no clouds.,,,4.1,10.0,40.0,12,,,,
30.03.2020 05:00,9.6,758.9,762.3,-0.5,99,Wind blowing from the south,1,,4,,Rain  not freezing  intermittent  moderate at time of observation. ,,,,,,,2500 or more  or no clouds.,,,6.0,9.5,42.0,12,,,,
30.03.2020 02:00,9.1,759.4,762.7,-1.2,99,Wind blowing from the south-west,1,,5,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,11.9,,,2500 or more  or no clouds.,,,4.4,9.0,31.0,12,,,,
29.03.2020 23:00,9.1,760.6,763.9,-0.1,98,Wind blowing from the north,1,,5,,Rain  not freezing  intermittent  moderate at time of observation. ,,,7.2,11.9,,,2500 or more  or no clouds.,,,3.9,8.8,15.0,12,,,,
29.03.2020 20:00,9.0,760.7,764.2,0.1,95,Wind blowing from the north,0,,5,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,11.9,,,600-1000,,,4.0,8.2,6.0,12,,,,
29.03.2020 17:00,9.6,760.6,764.0,0.5,83,Wind blowing from the north,3,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,11.9,,,600-1000,,,9.0,6.9,0.6,12,,,,
29.03.2020 14:00,11.4,760.1,763.5,-2.9,64,Wind blowing from the north-west,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,12.0,,,600-1000,,,29.0,4.8,No precipitation,12,,,,
29.03.2020 11:00,10.9,763.0,766.3,,63,Wind blowing from the north-northwest,2,,5,100%., ,,,7.2,12.0,,,600-1000,,,30.0,4.1,No precipitation,6,,,,
29.03.2020 08:00,8.6,763.9,767.4,0.6,79,Wind blowing from the north,1,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,12.0,,,600-1000,,,30.0,5.2,No precipitation,12,,,,
29.03.2020 05:00,7.6,763.3,766.7,-0.2,83,Wind blowing from the north-northeast,2,,10,,Cloud development not observed or not observable. ,,,7.2,12.0,,,2500 or more  or no clouds.,,,30.0,4.9,No precipitation,12,,,,
29.03.2020 02:00,7.4,763.5,766.9,-1.2,85,Wind blowing from the north-northwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,13.3,,,2500 or more  or no clouds.,,,30.0,5.0,No precipitation,12,,,,
28.03.2020 23:00,9.7,764.7,768.1,1.0,68,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,,,9.7,13.8,,,2500 or more  or no clouds.,,,30.0,4.1,2.0,12,,,,
28.03.2020 20:00,10.5,763.7,767.1,1.9,65,Wind blowing from the north,3,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,,,,600-1000,,,30.0,4.2,10.0,12,,,,
28.03.2020 17:00,11.9,761.8,765.1,0.5,65,Wind blowing from the north-northeast,4,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,,,,600-1000,,,30.0,5.5,15.0,12,,,,
28.03.2020 14:00,11.1,761.3,764.7,-1.1,85,Wind blowing from the east-northeast,3,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,,,,300-600,,,30.0,8.7,21.0,12,,,,
28.03.2020 11:00,11.2,762.4,765.8,0.3,92,Wind blowing from the north-east,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,9.9,,,,300-600,,,5.0,9.9,24.0,12,,,,
28.03.2020 08:00,10.4,762.1,765.4,2.2,90,Wind blowing from the north-northwest,3,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,,,,300-600,,,13.0,8.8,20.0,12,,,,
28.03.2020 05:00,11.9,759.9,763.2,-0.8,96,Wind blowing from the north,2,,6,,Rain  not freezing  intermittent  moderate at time of observation. ,,,11.9,28.0,,,2500 or more  or no clouds.,,,6.0,11.3,19.0,12,,,,
28.03.2020 02:00,13.2,760.7,764.0,-0.8,94,Wind blowing from the south-southeast,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,28.0,,,2500 or more  or no clouds.,,,8.0,12.3,12.0,12,,,,
27.03.2020 23:00,13.7,761.5,764.8,0.8,95,Wind blowing from the south-southeast,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,13.6,28.0,,,2500 or more  or no clouds.,,,8.0,12.9,7.0,12,,,,
27.03.2020 20:00,16.1,760.7,764.0,2.3,87,Wind blowing from the south-east,3,,,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,28.0,,,600-1000,,,26.0,13.9,3.0,12,,,,
27.03.2020 17:00,19.5,758.4,761.7,,78,Wind blowing from the east-northeast,3,,7,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,28.0,,,600-1000,,,19.0,15.6,No precipitation,6,,,,
27.03.2020 14:00,24.5,757.3,760.5,,69,Wind blowing from the north,2,,6,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,28.0,,,600-1000,,,30.0,18.4,No precipitation,6,,,,
27.03.2020 11:00,26.1,758.2,761.4,0.0,64,Wind blowing from the south,2,,5,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,26.1,,,600-1000,,,29.0,18.8,No precipitation,12,,,,
27.03.2020 08:00,19.5,758.2,761.5,,94,Wind blowing from the north-west,1,,2,90  or more  but not 100%, ,,,17.9,,,,600-1000,,,11.0,18.5,No precipitation,6,,,,
27.03.2020 05:00,18.1,757.0,760.3,0.4,99,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,,,17.7,25.7,,,2500 or more  or no clouds.,,,8.0,17.9,2.0,12,,,,
27.03.2020 02:00,18.7,756.6,759.8,-1.0,98,Wind blowing from the north,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,25.7,,,2500 or more  or no clouds.,,,16.0,18.4,2.0,12,,,,
26.03.2020 23:00,19.5,757.6,760.9,0.9,97,Wind blowing from the west-southwest,1,,8,,Cloud development not observed or not observable. ,,,17.7,25.7,,,2500 or more  or no clouds.,,,30.0,19.0,2.0,12,,,,
