Local time in Yichun,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,11.0,736.4,760.9,-1.9,15,Wind blowing from the north-west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,11.3,,,2500 or more  or no clouds.,,,24.0,-14.6,No precipitation,12,,,,
06.04.2020 08:00,2.1,738.3,763.1,-1.0,43,Wind blowing from the east,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,9.9,,,2500 or more  or no clouds.,,,24.0,-9.2,No precipitation,12,,,,
06.04.2020 05:00,-5.7,739.3,764.1,-0.6,67,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,,,-6.8,9.9,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
06.04.2020 02:00,-4.2,739.9,764.6,-0.5,58,Wind blowing from the east-southeast,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,9.9,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
05.04.2020 23:00,-3.2,740.4,765.2,-0.4,54,Wind blowing from the north-northeast,0,,8,,Cloud development not observed or not observable. ,,,-6.8,9.9,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
05.04.2020 20:00,0.0,740.8,765.8,0.7,39,Wind blowing from the north-northeast,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,9.9,,,2500 or more  or no clouds.,,,20.0,-12.3,No precipitation,12,,,,
05.04.2020 17:00,8.9,740.1,765.0,-0.7,16,Wind blowing from the west-northwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,9.9,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
05.04.2020 14:00,9.3,740.8,765.6,-1.8,19,Wind blowing from the north-west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,9.4,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
05.04.2020 11:00,5.8,742.6,767.5,-1.2,32,Wind blowing from the west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,5.8,,,2500 or more  or no clouds.,,,30.0,-9.6,No precipitation,12,,,,
05.04.2020 08:00,-0.7,743.8,769.0,0.1,53,Wind blowing from the west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,4.2,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,12,,,,
05.04.2020 05:00,-6.7,743.7,769.0,0.0,78,Wind blowing from the west,1,,9,,Cloud development not observed or not observable. ,,,-6.7,4.2,,,2500 or more  or no clouds.,,,30.0,-9.9,No precipitation,12,,,,
05.04.2020 02:00,-3.4,743.7,768.8,0.1,61,Wind blowing from the west-southwest,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,4.2,,,2500 or more  or no clouds.,,,30.0,-10.0,No precipitation,12,,,,
04.04.2020 23:00,-1.8,743.6,768.8,0.1,54,Wind blowing from the west-southwest,2,,13,,Cloud development not observed or not observable. ,,,-6.0,4.2,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
04.04.2020 20:00,-0.3,743.5,768.7,1.5,46,Wind blowing from the west,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,4.2,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
04.04.2020 17:00,3.1,742.0,767.2,0.7,39,Wind blowing from the north-west,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,4.2,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
04.04.2020 14:00,3.0,741.3,766.3,-0.1,39,Wind blowing from the north-west,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,3.5,,,2500 or more  or no clouds.,,,30.0,-9.6,No precipitation,12,,,,
04.04.2020 11:00,-0.4,741.4,766.6,-0.2,46,Wind blowing from the north-northwest,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,0.4,,,2500 or more  or no clouds.,,,30.0,-10.6,No precipitation,12,,,,
04.04.2020 08:00,-4.3,741.6,766.9,1.1,54,Wind blowing from the north-northwest,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,2.4,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
04.04.2020 05:00,-5.7,740.5,765.9,1.2,48,Wind blowing from the west-northwest,4,,13,,Cloud development not observed or not observable. ,,,-5.7,2.4,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
04.04.2020 02:00,-3.8,739.3,764.5,1.2,47,Wind blowing from the north-west,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,,,,2500 or more  or no clouds.,,,30.0,-13.7,0.2,12,,,,
03.04.2020 23:00,-2.4,738.1,763.1,1.3,53,Wind blowing from the north-northwest,6,,13,,Cloud development not observed or not observable. ,,,-5.3,2.4,,,2500 or more  or no clouds.,,,30.0,-10.7,2.0,12,,,,
03.04.2020 20:00,-2.5,736.8,761.7,1.7,83,Wind blowing from the north-west,5,,12,,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,2.4,,,2500 or more  or no clouds.,,,22.0,-5.0,2.0,12,,,,
03.04.2020 17:00,-2.2,735.1,760.1,1.8,66,Wind blowing from the north-northwest,4,,12,,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,5.4,,,2500 or more  or no clouds.,,,12.0,-7.7,2.0,12,,,,
03.04.2020 14:00,-2.9,733.3,758.4,2.5,80,Wind blowing from the north-northeast,6,,12,,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Fog or ice fog or thick haze.,-5.3,8.9,,,2500 or more  or no clouds.,,,2.5,-5.9,2.0,12,,,,
03.04.2020 11:00,0.4,730.8,755.6,-1.0,84,Wind blowing from the north,3,,10,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,9.2,,,2500 or more  or no clouds.,,,25.0,-2.0,0.2,12,,,,
03.04.2020 08:00,0.9,731.8,756.4,-2.1,78,Wind blowing from the west-southwest,3,,9,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,9.2,,,2500 or more  or no clouds.,,,3.2,-2.5,No precipitation,12,,,,
03.04.2020 05:00,-3.6,733.9,758.5,-2.2,53,Wind blowing from the east-southeast,2,,10,,Cloud development not observed or not observable. ,,,-5.3,9.2,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
03.04.2020 02:00,-4.8,736.1,760.8,-1.1,51,Wind blowing from the north-west,1,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,9.2,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
02.04.2020 23:00,-3.5,737.2,761.9,-0.3,44,Wind blowing from the north-west,1,,16,,Cloud development not observed or not observable. ,,,-3.5,9.2,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
02.04.2020 20:00,1.6,737.5,762.1,1.5,21,Wind blowing from the west-southwest,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,9.2,,,2500 or more  or no clouds.,,,30.0,-18.4,No precipitation,12,,,,
02.04.2020 17:00,5.4,736.0,760.5,2.4,15,Wind blowing from the north-west,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,9.3,,,2500 or more  or no clouds.,,,30.0,-19.2,No precipitation,12,,,,
02.04.2020 14:00,8.7,733.6,757.7,-0.1,18,Wind blowing from the north-west,8,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,10.1,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
02.04.2020 11:00,5.8,733.7,757.9,1.8,48,Wind blowing from the north,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,10.1,,,2500 or more  or no clouds.,,,30.0,-4.6,No precipitation,12,,,,
02.04.2020 08:00,6.4,731.9,756.0,0.4,34,Wind blowing from the west,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,10.1,,,2500 or more  or no clouds.,,,10.0,-8.3,No precipitation,12,,,,
02.04.2020 05:00,1.9,731.5,755.7,-0.7,46,Wind blowing from the west,1,,9,,Cloud development not observed or not observable. ,,,-5.3,10.1,,,2500 or more  or no clouds.,,,10.0,-8.5,No precipitation,12,,,,
02.04.2020 02:00,4.1,732.2,756.3,-0.9,36,Wind blowing from the west-southwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,10.1,,,2500 or more  or no clouds.,,,30.0,-9.6,No precipitation,12,,,,
01.04.2020 23:00,6.0,733.1,757.3,-1.1,35,Wind blowing from the south-west,2,,14,,Cloud development not observed or not observable. ,,,,10.1,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,12,,,,
01.04.2020 20:00,7.2,734.2,758.5,0.3,33,Wind blowing from the south-west,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,10.1,,,2500 or more  or no clouds.,,,30.0,-8.0,No precipitation,12,,,,
01.04.2020 17:00,9.3,733.9,758.5,-0.8,29,Wind blowing from the west-southwest,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,10.1,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
01.04.2020 14:00,9.5,734.7,759.2,-1.7,25,Wind blowing from the west-southwest,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,10.0,,,2500 or more  or no clouds.,,,30.0,-9.5,No precipitation,12,,,,
01.04.2020 11:00,7.5,736.4,761.0,-1.2,22,Wind blowing from the west,9,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,8.6,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
01.04.2020 08:00,3.0,737.6,762.2,0.0,33,Wind blowing from the west-southwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,8.6,,,2500 or more  or no clouds.,,,30.0,-11.7,No precipitation,12,,,,
01.04.2020 05:00,-5.0,737.6,762.4,-0.2,88,Wind blowing from the east-southeast,1,,7,,Cloud development not observed or not observable. ,,,-5.1,8.6,,,2500 or more  or no clouds.,,,30.0,-6.7,No precipitation,12,,,,
01.04.2020 02:00,-4.0,737.8,762.5,-0.1,82,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,8.6,,,2500 or more  or no clouds.,,,30.0,-6.6,No precipitation,12,,,,
31.03.2020 23:00,-2.9,737.9,762.6,0.9,71,Wind blowing from the north-northeast,1,,8,,Cloud development not observed or not observable. ,,,-2.9,8.6,,,2500 or more  or no clouds.,,,30.0,-7.4,No precipitation,12,,,,
31.03.2020 20:00,2.9,737.0,761.6,1.9,46,Wind blowing from the west-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,8.6,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
31.03.2020 17:00,5.9,735.1,759.6,0.8,43,Wind blowing from the north-west,5,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,10.9,,,2500 or more  or no clouds.,,,30.0,-5.7,No precipitation,12,,,,
31.03.2020 14:00,6.7,734.3,758.7,0.2,53,Wind blowing from the north-west,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,13.4,,,1000-1500,,,30.0,-2.2,No precipitation,12,,,,
31.03.2020 11:00,7.4,734.1,758.5,0.3,56,Wind blowing from the north,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,13.4,,,1000-1500,,,20.0,-0.8,No precipitation,12,,,,
31.03.2020 08:00,3.0,733.8,758.2,0.6,62,Wind blowing from the east-southeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,,,,2500 or more  or no clouds.,,,14.0,-3.6,No precipitation,12,,,,
31.03.2020 05:00,1.6,733.2,757.3,-0.1,66,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,,,1.1,13.4,,,2500 or more  or no clouds.,,,14.0,-4.1,No precipitation,12,,,,
31.03.2020 02:00,1.5,733.3,757.3,-0.2,65,Wind blowing from the south-west,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,13.4,,,2500 or more  or no clouds.,,,12.0,-4.4,No precipitation,12,,,,
30.03.2020 23:00,1.5,733.5,757.7,-0.1,63,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,,,1.5,13.4,,,2500 or more  or no clouds.,,,13.0,-4.8,No precipitation,12,,,,
30.03.2020 20:00,4.5,733.6,757.9,0.2,49,Wind blowing from the south-west,0,,8,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,13.4,,,2500 or more  or no clouds.,,,15.0,-5.3,No precipitation,12,,,,
30.03.2020 17:00,10.9,733.4,757.5,-0.2,26,Wind blowing from the south-west,1,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,13.4,,,2500 or more  or no clouds.,,,24.0,-7.8,No precipitation,12,,,,
30.03.2020 14:00,12.6,733.6,757.6,-1.1,22,Wind blowing from the west,3,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,12.6,,,2500 or more  or no clouds.,,,26.0,-8.5,No precipitation,12,,,,
30.03.2020 11:00,9.9,734.7,758.6,0.1,29,Wind blowing from the south-west,3,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,11.6,,,2500 or more  or no clouds.,,,22.0,-7.3,No precipitation,12,,,,
30.03.2020 08:00,6.2,734.6,758.8,0.9,42,Wind blowing from the west-southwest,3,,15,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,11.6,,,2500 or more  or no clouds.,,,16.0,-5.8,No precipitation,12,,,,
30.03.2020 05:00,4.4,733.7,757.8,1.6,46,Wind blowing from the south,2,,15,,Cloud development not observed or not observable. ,,,-1.1,11.6,,,2500 or more  or no clouds.,,,17.0,-6.2,No precipitation,12,,,,
30.03.2020 02:00,6.0,732.1,756.1,1.1,43,Wind blowing from the west-southwest,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.6,,,2500 or more  or no clouds.,,,17.0,-5.9,No precipitation,12,,,,
29.03.2020 23:00,9.2,731.0,754.9,-0.3,29,Wind blowing from the west-southwest,5,,14,,Cloud development not observed or not observable. ,,,,11.6,,,2500 or more  or no clouds.,,,17.0,-7.9,No precipitation,12,,,,
29.03.2020 20:00,8.6,731.3,755.5,0.0,31,Wind blowing from the south-west,4,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,11.6,,,2500 or more  or no clouds.,,,15.0,-7.6,No precipitation,12,,,,
29.03.2020 17:00,10.2,731.3,755.5,-1.2,24,Wind blowing from the west-southwest,4,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,11.6,,,2500 or more  or no clouds.,,,30.0,-9.5,No precipitation,12,,,,
29.03.2020 14:00,10.6,732.5,756.7,-1.8,20,Wind blowing from the west-southwest,6,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,10.6,,,,,,30.0,-11.4,No precipitation,12,,,,
29.03.2020 11:00,8.0,734.3,758.8,-1.4,27,Wind blowing from the west-southwest,5,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,8.0,,,,,,29.0,-9.9,No precipitation,12,,,,
29.03.2020 08:00,2.2,735.7,760.5,0.0,39,Wind blowing from the west-southwest,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,2.2,,,,,,19.0,-10.6,No precipitation,12,,,,
29.03.2020 05:00,-0.8,735.7,760.5,0.0,46,Wind blowing from the west-southwest,2,,14,,Cloud development not observed or not observable. ,,,,2.2,,,2500 or more  or no clouds.,,,25.0,-11.2,No precipitation,12,,,,
29.03.2020 02:00,-0.1,735.7,760.4,-0.4,34,Wind blowing from the south-west,2,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,2.2,,,2500 or more  or no clouds.,,,28.0,-14.1,No precipitation,12,,,,
28.03.2020 23:00,-1.2,736.1,761.0,-0.2,44,Wind blowing from the west,3,,18,,Cloud development not observed or not observable. ,,,,2.2,,,2500 or more  or no clouds.,,,21.0,-11.9,No precipitation,12,,,,
28.03.2020 20:00,0.0,736.3,761.3,0.9,34,Wind blowing from the south-west,2,,18,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,2.2,,,,,,30.0,-14.0,No precipitation,12,,,,
28.03.2020 17:00,2.0,735.4,760.4,-0.2,27,Wind blowing from the west,9,,18,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,2.2,,,1000-1500,,,30.0,-15.0,No precipitation,12,,,,
28.03.2020 14:00,1.3,735.6,760.6,-1.0,29,Wind blowing from the west,11,,18,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,1.5,,,1000-1500,,,30.0,-14.8,No precipitation,12,,,,
28.03.2020 11:00,-0.4,736.6,761.8,-0.5,29,Wind blowing from the west,9,,15,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,-0.2,,,1000-1500,,,30.0,-16.3,No precipitation,12,,,,
28.03.2020 08:00,-4.1,737.1,762.4,0.8,45,Wind blowing from the west,6,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,-1.5,,,,,,30.0,-14.3,No precipitation,12,,,,
28.03.2020 05:00,-8.0,736.3,761.7,0.8,60,Wind blowing from the west,2,,10,,Cloud development not observed or not observable. ,,,-8.0,-1.5,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
28.03.2020 02:00,-6.4,735.5,760.7,0.1,59,Wind blowing from the west,4,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,-1.5,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
27.03.2020 23:00,-5.9,735.4,760.6,-0.3,60,Wind blowing from the west-southwest,4,,17,,Cloud development not observed or not observable. ,,,-5.9,-1.5,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
27.03.2020 20:00,-4.5,735.7,760.9,0.6,52,Wind blowing from the west,5,,17,no clouds,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,-0.2,,,,,,30.0,-12.9,Trace of precipitation,12,,,,
27.03.2020 17:00,-3.1,735.1,760.3,0.6,57,Wind blowing from the west,5,,17,60%.,Snow not falling as shower(s). ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,0.2,,,1000-1500,,,30.0,-10.6,No precipitation,12,,,,
