Local time in Lhasa,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 17:00,6.9,488.1,754.9,-1.0,34,Wind blowing from the north-east,5,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,10.8,,,2500 or more  or no clouds.,,,30.0,-7.9,,,,,,
05.04.2020 14:00,8.6,489.1,752.8,-1.8,34,Wind blowing from the west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,10.7,,,2500 or more  or no clouds.,,,30.0,-6.4,3.0,12,,,,
05.04.2020 11:00,4.6,490.9,757.3,0.8,61,Wind blowing from the north-east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,10.7,,,2500 or more  or no clouds.,,,30.0,-2.3,3.0,12,,,,
05.04.2020 08:00,-0.1,490.1,757.8,0.5,86,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,10.7,,,2500 or more  or no clouds.,,,30.0,-2.2,2.0,12,,,,
05.04.2020 05:00,1.0,489.6,755.6,0.2,79,Wind blowing from the south-west,4,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,1.0,10.7,,,2500 or more  or no clouds.,,,2.2,-2.2,No precipitation,12,,,,
05.04.2020 02:00,5.6,489.4,752.8,-0.2,36,Wind blowing from the north-west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,10.7,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,12,,,,
04.04.2020 23:00,6.6,489.6,754.5,1.0,25,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,,,0.7,10.7,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
04.04.2020 20:00,8.1,488.6,754.6,0.1,18,Wind blowing from the north-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,11.2,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
04.04.2020 17:00,9.6,488.5,753.6,-1.5,20,Wind blowing from the north-east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,12.9,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,12,,,,
04.04.2020 14:00,9.4,490.0,756.4,-1.4,22,Wind blowing from the north-east,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,14.9,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
04.04.2020 11:00,6.0,491.4,755.2,0.6,47,Wind blowing from the east-southeast,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,14.9,,,2500 or more  or no clouds.,,,30.0,-4.7,0.3,12,,,,
04.04.2020 08:00,1.3,490.8,756.3,0.9,71,Wind blowing from the east,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,14.9,,,2500 or more  or no clouds.,,,30.0,-3.4,0.3,12,,,,
04.04.2020 05:00,1.5,489.9,753.9,-0.5,71,Wind blowing from the east,1,,12,,Cloud development not observed or not observable. ,,,0.7,14.9,,,2500 or more  or no clouds.,,,30.0,-3.2,0.3,12,,,,
04.04.2020 02:00,0.9,490.4,754.9,3.5,86,Wind blowing from the east,2,,14,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,14.9,,,2500 or more  or no clouds.,,,2.4,-1.2,0.3,12,,,,
03.04.2020 23:00,10.2,486.9,746.0,2.0,19,Wind blowing from the south-southwest,2,,14,,Cloud development not observed or not observable. ,,,,14.9,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
03.04.2020 20:00,11.1,484.9,746.4,0.1,9,Wind blowing from the west-southwest,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,14.9,,,2500 or more  or no clouds.,,,30.0,-20.6,No precipitation,12,,,,
03.04.2020 17:00,12.9,484.8,743.8,-1.7,6,Wind blowing from the west,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,14.9,,,2500 or more  or no clouds.,,,30.0,-23.9,No precipitation,12,,,,
03.04.2020 14:00,13.0,486.5,745.0,-1.4,7,Wind blowing from the west-southwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,14.3,,,2500 or more  or no clouds.,,,30.0,-22.1,No precipitation,12,,,,
03.04.2020 11:00,10.0,487.9,748.2,0.4,13,Wind blowing from the west,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,14.3,,,2500 or more  or no clouds.,,,30.0,-17.2,No precipitation,12,,,,
03.04.2020 08:00,3.0,487.5,750.7,1.3,52,Wind blowing from the east,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,14.3,,,2500 or more  or no clouds.,,,30.0,-5.9,No precipitation,12,,,,
03.04.2020 05:00,5.5,486.2,746.2,-0.1,25,Wind blowing from the west-northwest,2,,12,,Cloud development not observed or not observable. ,,,1.9,14.3,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
03.04.2020 02:00,7.9,486.3,745.6,0.4,21,Wind blowing from the west-southwest,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,14.3,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
02.04.2020 23:00,9.1,485.9,745.6,1.9,26,Wind blowing from the east-southeast,3,,12,,Cloud development not observed or not observable. ,,,,14.3,,,2500 or more  or no clouds.,,,30.0,-9.4,No precipitation,12,,,,
02.04.2020 20:00,10.5,484.0,745.6,-0.2,22,Wind blowing from the east,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,14.3,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
02.04.2020 17:00,12.4,484.2,744.1,-2.1,12,Wind blowing from the north-northeast,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,14.2,,,2500 or more  or no clouds.,,,30.0,-16.3,No precipitation,12,,,,
02.04.2020 14:00,11.4,486.3,747.0,-1.3,16,Wind blowing from the south-west,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,15.1,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
02.04.2020 11:00,9.1,487.6,749.4,0.4,31,Wind blowing from the north-west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,15.1,,,2500 or more  or no clouds.,,,30.0,-7.1,No precipitation,12,,,,
02.04.2020 08:00,2.6,487.2,750.2,0.3,56,Wind blowing from the west,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,15.1,,,2500 or more  or no clouds.,,,30.0,-5.3,No precipitation,12,,,,
02.04.2020 05:00,3.6,486.9,747.3,-0.5,59,Wind blowing from the west-northwest,1,,11,,Cloud development not observed or not observable. ,,,2.1,15.1,,,2500 or more  or no clouds.,,,30.0,-3.7,No precipitation,12,,,,
02.04.2020 02:00,5.5,487.4,747.2,0.2,52,Wind blowing from the west,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,15.1,,,2500 or more  or no clouds.,,,30.0,-3.6,No precipitation,12,,,,
01.04.2020 23:00,7.0,487.2,748.8,1.3,40,Wind blowing from the west-southwest,1,,11,,Cloud development not observed or not observable. ,,,2.1,15.1,,,2500 or more  or no clouds.,,,30.0,-5.7,No precipitation,12,,,,
01.04.2020 20:00,10.8,485.9,748.4,0.8,25,Wind blowing from the south-southwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,15.1,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
01.04.2020 17:00,14.2,485.1,744.5,-2.1,18,Wind blowing from the east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,15.4,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
01.04.2020 14:00,13.9,487.2,747.4,-3.0,18,Wind blowing from the west-northwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,16.4,,,2500 or more  or no clouds.,,,30.0,-10.0,No precipitation,12,,,,
01.04.2020 11:00,9.1,490.2,752.0,0.0,24,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,16.4,,,2500 or more  or no clouds.,,,30.0,-10.4,No precipitation,12,,,,
01.04.2020 08:00,2.3,490.2,755.3,0.7,40,Wind blowing from the east-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,16.4,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
01.04.2020 05:00,3.9,489.5,750.9,-0.2,36,Wind blowing from the east,2,,14,,Cloud development not observed or not observable. ,,,0.9,16.4,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
01.04.2020 02:00,4.7,489.7,750.7,0.1,28,Wind blowing from the east,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,16.4,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,12,,,,
31.03.2020 23:00,9.4,489.6,752.5,1.2,19,Wind blowing from the east-northeast,2,,14,,Cloud development not observed or not observable. ,,,0.9,16.4,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
31.03.2020 20:00,10.3,488.4,753.4,1.8,19,Wind blowing from the north-northeast,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,16.4,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,12,,,,
31.03.2020 17:00,14.7,486.6,747.0,-2.3,7,Wind blowing from the west-northwest,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,16.4,,,1000-1500,,,30.0,-20.8,No precipitation,12,,,,
31.03.2020 14:00,15.0,488.9,748.8,-2.1,8,Wind blowing from the west-southwest,2,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,16.1,,,1000-1500,,,30.0,-19.0,No precipitation,12,,,,
31.03.2020 11:00,6.6,491.0,755.1,0.5,16,Wind blowing from the west-southwest,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,16.1,,,,,,30.0,-17.4,No precipitation,12,,,,
31.03.2020 08:00,1.0,490.5,755.4,0.9,27,Wind blowing from the east,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.0,16.1,,,,,,30.0,-15.9,No precipitation,12,,,,
31.03.2020 05:00,3.1,489.6,751.0,-0.5,20,Wind blowing from the east,3,,15,,Cloud development not observed or not observable. ,,,2.9,16.1,,,2500 or more  or no clouds.,,,30.0,-17.7,No precipitation,12,,,,
31.03.2020 02:00,5.8,490.1,752.0,-0.1,14,Wind blowing from the east,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,16.1,,,2500 or more  or no clouds.,,,30.0,-19.7,No precipitation,12,,,,
30.03.2020 23:00,8.6,490.2,751.8,1.5,9,Wind blowing from the east-northeast,2,,15,,Cloud development not observed or not observable. ,,,7.2,16.1,,,2500 or more  or no clouds.,,,30.0,-22.5,No precipitation,12,,,,
30.03.2020 20:00,12.2,488.7,749.2,0.4,3,Wind blowing from the north,3,,15,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,16.3,,,1000-1500,,,30.0,-31.9,No precipitation,12,,,,
30.03.2020 17:00,15.6,488.3,745.9,-1.3,4,Wind blowing from the west-southwest,4,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,18.4,,,1000-1500,,,30.0,-26.4,No precipitation,12,,,,
30.03.2020 14:00,12.5,489.6,748.1,0.3,9,Wind blowing from the west-northwest,5,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,18.4,,,1000-1500,,,30.0,-19.5,No precipitation,12,,,,
30.03.2020 11:00,10.3,489.3,747.6,1.5,12,Wind blowing from the west-southwest,4,,,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,18.4,,,1000-1500,,,30.0,-17.9,No precipitation,12,,,,
30.03.2020 08:00,7.4,487.8,745.5,1.4,21,Wind blowing from the south-west,4,,12,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,18.4,,,1000-1500,,,30.0,-13.5,No precipitation,12,,,,
30.03.2020 05:00,8.8,486.4,742.3,0.2,18,Wind blowing from the south-southwest,3,,12,,Cloud development not observed or not observable. ,,,6.8,18.4,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
30.03.2020 02:00,11.4,486.2,741.1,1.6,14,Wind blowing from the south-southwest,5,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,18.4,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,12,,,,
29.03.2020 23:00,14.0,484.6,739.3,1.8,12,Wind blowing from the south,5,,21,,Cloud development not observed or not observable. ,,,6.8,18.4,,,2500 or more  or no clouds.,,,21.0,-15.0,No precipitation,12,,,,
29.03.2020 20:00,16.3,482.8,738.1,-1.8,5,Wind blowing from the south,3,,21,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,18.8,,,1000-1500,,,30.0,-23.5,No precipitation,12,,,,
29.03.2020 17:00,16.9,484.6,738.7,-3.2,4,Wind blowing from the south,3,,21,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,20.9,,,2500 or more  or no clouds.,,,30.0,-25.5,No precipitation,12,,,,
29.03.2020 14:00,15.9,487.8,742.8,-2.1,4,Wind blowing from the south-southwest,3,,12,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,20.9,,,1000-1500,,,30.0,-26.2,No precipitation,12,,,,
29.03.2020 11:00,12.3,489.9,746.2,1.4,4,Wind blowing from the west-southwest,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,20.9,,,,,,30.0,-28.8,No precipitation,12,,,,
29.03.2020 08:00,7.0,488.5,745.6,1.3,10,Wind blowing from the west,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,20.9,,,,,,30.0,-22.6,No precipitation,12,,,,
29.03.2020 05:00,10.4,487.2,741.0,0.7,9,Wind blowing from the south-west,3,,14,,Cloud development not observed or not observable. ,,,2.7,20.9,,,2500 or more  or no clouds.,,,30.0,-21.2,No precipitation,12,,,,
29.03.2020 02:00,12.9,486.5,739.8,1.7,7,Wind blowing from the west-southwest,4,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,20.9,,,2500 or more  or no clouds.,,,30.0,-22.1,No precipitation,12,,,,
28.03.2020 23:00,16.1,484.8,737.5,2.4,4,Wind blowing from the south-southwest,5,,18,,Cloud development not observed or not observable. ,,,,20.9,,,2500 or more  or no clouds.,,,28.0,-26.1,No precipitation,12,,,,
28.03.2020 20:00,18.7,482.4,738.4,-0.7,3,Wind blowing from the west,4,,18,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,20.9,,,1000-1500,,,23.0,-27.4,No precipitation,12,,,,
28.03.2020 17:00,20.2,483.1,737.8,-3.2,9,Wind blowing from the south-southwest,4,,18,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,20.5,,,1000-1500,,,30.0,-13.7,No precipitation,12,,,,
28.03.2020 14:00,17.8,486.3,741.5,-2.4,13,Wind blowing from the south-southwest,4,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,19.5,,,1000-1500,,,30.0,-11.0,No precipitation,12,,,,
28.03.2020 11:00,14.2,488.7,745.9,-0.1,22,Wind blowing from the west-southwest,3,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,19.5,,,1000-1500,,,30.0,-7.2,No precipitation,12,,,,
28.03.2020 08:00,2.8,488.8,749.8,,59,Wind blowing from the north-northeast,0,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,19.5,,,,,,30.0,-4.4,No precipitation,12,,,,
28.03.2020 02:00,9.0,488.3,745.5,-0.1,35,Wind blowing from the east-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,19.5,,,2500 or more  or no clouds.,,,30.0,-5.6,No precipitation,12,,,,
27.03.2020 23:00,11.4,488.4,747.7,1.1,24,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,,,3.3,19.5,,,2500 or more  or no clouds.,,,24.0,-8.4,No precipitation,12,,,,
27.03.2020 20:00,15.8,487.3,747.3,-1.1,15,Wind blowing from the north-northeast,2,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,19.5,,,1000-1500,,,30.0,-10.8,No precipitation,12,,,,
27.03.2020 17:00,18.2,488.4,746.9,-2.7,12,Wind blowing from the north-northeast,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,19.5,,,2500 or more  or no clouds.,,,30.0,-11.7,No precipitation,12,,,,
27.03.2020 14:00,16.1,491.1,750.7,-1.7,17,Wind blowing from the east-northeast,2,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,17.3,,,1000-1500,,,30.0,-8.9,No precipitation,12,,,,
