Local time in Qionghai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,21.6,756.5,758.6,-0.5,89,Wind blowing from the north,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,27.3,,,2500 or more  or no clouds.,,,22.0,19.7,20.0,12,,,,
06.04.2020 14:00,27.0,757.0,759.1,-1.9,83,Wind blowing from the north-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.1,27.0,,,2500 or more  or no clouds.,,,30.0,23.9,22.0,12,,,,
06.04.2020 11:00,23.6,758.9,761.0,0.4,96,Wind blowing from the south-southeast,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.8,24.1,,,2500 or more  or no clouds.,,,4.1,22.9,25.0,12,,,,
06.04.2020 08:00,23.5,758.5,760.6,0.9,96,Wind blowing from the east-northeast,1,,8,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,,,,2500 or more  or no clouds.,,,3.2,22.8,20.0,12,,,,
06.04.2020 05:00,23.2,757.6,759.7,-1.0,96,Wind blowing from the east,3,,9,,Rain (not freezing) not falling as shower(s). ,,,22.7,24.8,,,2500 or more  or no clouds.,,,6.0,22.5,10.0,12,,,,
06.04.2020 02:00,23.7,758.6,760.7,-1.2,95,Wind blowing from the east,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,,,,2500 or more  or no clouds.,,,5.0,22.9,10.0,12,,,,
05.04.2020 23:00,23.7,759.8,762.0,1.0,96,Wind blowing from the east-northeast,3,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,22.7,25.0,,,2500 or more  or no clouds.,,,5.0,23.0,8.0,12,,,,
05.04.2020 20:00,23.3,758.8,760.9,0.9,94,Wind blowing from the east,3,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,25.3,,,2500 or more  or no clouds.,,,6.0,22.3,16.0,12,,,,
05.04.2020 17:00,23.8,757.9,760.0,-1.1,93,Wind blowing from the east,3,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,,,,2500 or more  or no clouds.,,,15.0,22.6,23.0,12,,,,
05.04.2020 14:00,23.5,759.0,761.1,-1.8,95,Wind blowing from the north-east,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,,,,2500 or more  or no clouds.,,,8.0,22.7,22.0,12,,,,
05.04.2020 11:00,22.8,760.8,763.0,,95,Wind blowing from the north-northeast,3,,7,,Rain  not freezing  intermittent  heavy at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,,,,,,,6.0,22.0,20.0,6,,,,
05.04.2020 08:00,24.0,760.0,762.1,1.6,95,Wind blowing from the east-northeast,2,,5,,Rain  not freezing  intermittent  heavy at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.0,,,,2500 or more  or no clouds.,,,3.6,23.1,9.0,12,,,,
05.04.2020 05:00,24.3,758.4,760.5,-0.6,95,Wind blowing from the north,0,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,24.3,29.5,,,2500 or more  or no clouds.,,,10.0,23.4,0.7,12,,,,
05.04.2020 02:00,24.8,759.0,761.1,-0.8,94,Wind blowing from the east-northeast,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.8,29.5,,,2500 or more  or no clouds.,,,7.0,23.8,0.7,12,,,,
04.04.2020 23:00,24.9,759.8,761.9,0.9,92,Wind blowing from the east-northeast,3,,7,,Cloud development not observed or not observable. ,,,24.9,29.5,,,2500 or more  or no clouds.,,,17.0,23.5,No precipitation,12,,,,
04.04.2020 20:00,25.1,758.9,761.0,0.5,90,Wind blowing from the east-northeast,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.1,29.5,,,2500 or more  or no clouds.,,,13.0,23.3,Trace of precipitation,12,,,,
04.04.2020 17:00,27.2,758.4,760.5,-0.4,81,Wind blowing from the east-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.2,29.5,,,2500 or more  or no clouds.,,,24.0,23.7,No precipitation,12,,,,
04.04.2020 14:00,29.3,758.8,760.9,-1.3,68,Wind blowing from the east-southeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.2,29.3,,,2500 or more  or no clouds.,,,25.0,22.8,No precipitation,12,,,,
04.04.2020 11:00,28.3,760.1,762.2,0.2,75,Wind blowing from the east,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.2,29.5,,,2500 or more  or no clouds.,,,23.0,23.4,No precipitation,12,,,,
04.04.2020 08:00,25.8,759.9,762.0,1.7,90,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.2,,,,2500 or more  or no clouds.,,,14.0,24.0,No precipitation,12,,,,
04.04.2020 05:00,25.4,758.2,760.3,-0.4,91,Wind blowing from the east-southeast,1,,7,,Rain (not freezing) not falling as shower(s). ,,,25.0,29.5,,,2500 or more  or no clouds.,,,15.0,23.8,No precipitation,12,,,,
04.04.2020 02:00,25.6,758.6,760.7,-0.3,91,Wind blowing from the east-southeast,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.0,29.5,,,2500 or more  or no clouds.,,,16.0,24.0,No precipitation,12,,,,
03.04.2020 23:00,25.7,758.9,761.0,0.9,89,Wind blowing from the south-east,2,,8,,Cloud development not observed or not observable. ,,,25.0,29.5,,,2500 or more  or no clouds.,,,18.0,23.7,No precipitation,12,,,,
03.04.2020 20:00,26.1,758.0,760.1,1.2,87,Wind blowing from the south-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.0,29.5,,,2500 or more  or no clouds.,,,19.0,23.8,No precipitation,12,,,,
03.04.2020 17:00,28.1,756.8,758.9,-1.4,76,Wind blowing from the south-east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.0,29.5,,,2500 or more  or no clouds.,,,24.0,23.5,No precipitation,12,,,,
03.04.2020 14:00,29.0,758.2,760.3,-1.7,69,Wind blowing from the south-east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.0,29.5,,,2500 or more  or no clouds.,,,26.0,22.7,No precipitation,12,,,,
03.04.2020 11:00,28.9,759.9,762.0,0.5,69,Wind blowing from the south-east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.0,29.8,,,2500 or more  or no clouds.,,,23.0,22.6,No precipitation,12,,,,
03.04.2020 08:00,26.5,759.4,761.5,1.8,84,Wind blowing from the south-east,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.0,,,,2500 or more  or no clouds.,,,18.0,23.6,No precipitation,12,,,,
03.04.2020 05:00,25.0,757.6,759.7,-0.3,90,Wind blowing from the east-southeast,2,,8,,Cloud development not observed or not observable. ,,,25.0,29.8,,,2500 or more  or no clouds.,,,19.0,23.2,No precipitation,12,,,,
03.04.2020 02:00,25.1,757.9,760.0,-0.9,91,Wind blowing from the east-southeast,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.8,29.8,,,2500 or more  or no clouds.,,,17.0,23.5,No precipitation,12,,,,
02.04.2020 23:00,25.4,758.8,760.9,1.1,88,Wind blowing from the east-southeast,1,,10,,Cloud development not observed or not observable. ,,,24.8,29.8,,,2500 or more  or no clouds.,,,21.0,23.3,No precipitation,12,,,,
02.04.2020 20:00,26.0,757.7,759.8,0.5,84,Wind blowing from the south-east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.8,29.8,,,2500 or more  or no clouds.,,,26.0,23.1,No precipitation,12,,,,
02.04.2020 17:00,27.7,757.2,759.3,-1.0,74,Wind blowing from the south-east,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.8,29.8,,,2500 or more  or no clouds.,,,27.0,22.6,No precipitation,12,,,,
02.04.2020 14:00,29.4,758.2,760.3,-1.5,64,Wind blowing from the south-southeast,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.8,30.7,,,2500 or more  or no clouds.,,,30.0,21.9,0.1,12,,,,
02.04.2020 11:00,29.0,759.7,761.8,,68,Wind blowing from the south-east,6,,10,, ,,,24.8,30.8,,,,,,27.0,22.5,No precipitation,6,,,,
02.04.2020 08:00,26.2,758.8,760.9,1.8,84,Wind blowing from the east-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.6,,,,2500 or more  or no clouds.,,,24.0,23.3,0.1,12,,,,
02.04.2020 05:00,25.4,757.0,759.1,-0.1,95,Wind blowing from the south-southeast,2,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,23.0,30.8,,,2500 or more  or no clouds.,,,8.0,24.5,0.1,12,,,,
02.04.2020 02:00,24.9,757.1,759.2,-0.8,95,Wind blowing from the south-east,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,30.8,,,2500 or more  or no clouds.,,,12.0,24.0,No precipitation,12,,,,
01.04.2020 23:00,25.5,757.9,760.0,1.5,92,Wind blowing from the east-southeast,1,,9,,Cloud development not observed or not observable. ,,,22.7,30.8,,,2500 or more  or no clouds.,,,21.0,24.1,No precipitation,12,,,,
01.04.2020 20:00,26.5,756.4,758.5,0.9,84,Wind blowing from the south-southeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,30.8,,,2500 or more  or no clouds.,,,29.0,23.6,No precipitation,12,,,,
01.04.2020 17:00,29.6,755.5,757.6,-1.0,68,Wind blowing from the south-southeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,30.8,,,2500 or more  or no clouds.,,,30.0,23.1,No precipitation,12,,,,
01.04.2020 14:00,30.0,756.5,758.6,-2.0,68,Wind blowing from the south-southeast,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,32.1,,,2500 or more  or no clouds.,,,24.0,23.4,No precipitation,12,,,,
01.04.2020 11:00,28.9,758.5,760.6,0.0,69,Wind blowing from the south-west,3,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,32.9,,,2500 or more  or no clouds.,,,22.0,22.6,No precipitation,12,,,,
01.04.2020 08:00,23.5,758.5,760.6,1.9,89,Wind blowing from the west,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,32.9,,,2500 or more  or no clouds.,,,5.0,21.6,No precipitation,12,,,,
01.04.2020 05:00,23.0,756.6,758.7,0.3,92,Wind blowing from the north,2,,7,,Mist. ,,,22.7,32.9,,,2500 or more  or no clouds.,,,3.2,21.6,No precipitation,12,,,,
01.04.2020 02:00,23.4,756.3,758.4,-0.7,87,Wind blowing from the west,0,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.4,32.9,,,2500 or more  or no clouds.,,,6.0,21.1,No precipitation,12,,,,
31.03.2020 23:00,24.7,757.0,759.1,1.2,84,Wind blowing from the east,1,,9,,Cloud development not observed or not observable. ,,,24.7,32.9,,,2500 or more  or no clouds.,,,8.0,21.8,No precipitation,12,,,,
31.03.2020 20:00,27.1,755.8,757.9,1.5,76,Wind blowing from the west-southwest,2,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.2,32.9,,,600-1000,,,30.0,22.5,No precipitation,12,,,,
31.03.2020 17:00,30.4,754.3,756.4,-0.9,65,Wind blowing from the south-southeast,3,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.2,32.9,,,600-1000,,,27.0,23.1,No precipitation,12,,,,
31.03.2020 14:00,32.0,755.2,757.3,-2.0,63,Wind blowing from the south-southeast,4,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.2,32.9,,,600-1000,,,25.0,24.1,No precipitation,12,,,,
31.03.2020 11:00,30.4,757.2,759.3,0.8,64,Wind blowing from the south-west,4,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.2,31.6,,,600-1000,,,30.0,22.8,No precipitation,12,,,,
31.03.2020 08:00,26.4,756.4,758.5,,86,Wind blowing from the south,3,,8,70 – 80%., ,,,25.2,,,,600-1000,,,21.0,23.9,No precipitation,6,,,,
31.03.2020 05:00,25.5,754.9,757.0,0.0,88,Wind blowing from the south,3,,,,Cloud development not observed or not observable. ,,,25.0,31.6,,,2500 or more  or no clouds.,,,23.0,23.4,No precipitation,12,,,,
31.03.2020 02:00,25.4,754.9,757.0,-0.7,90,Wind blowing from the south,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.7,31.6,,,2500 or more  or no clouds.,,,20.0,23.6,No precipitation,12,,,,
30.03.2020 23:00,26.2,755.6,757.7,1.0,85,Wind blowing from the south-southwest,4,,11,,Cloud development not observed or not observable. ,,,24.7,31.6,,,2500 or more  or no clouds.,,,25.0,23.5,No precipitation,12,,,,
30.03.2020 20:00,27.1,754.6,756.7,1.1,80,Wind blowing from the south,4,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.7,31.6,,,600-1000,,,27.0,23.4,No precipitation,12,,,,
30.03.2020 17:00,29.5,753.5,755.6,-0.9,69,Wind blowing from the south,6,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.7,31.6,,,600-1000,,,28.0,23.2,No precipitation,12,,,,
30.03.2020 14:00,31.1,754.4,756.5,-2.0,64,Wind blowing from the south,5,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.7,31.5,,,600-1000,,,30.0,23.5,No precipitation,12,,,,
30.03.2020 11:00,30.3,756.4,758.5,0.6,67,Wind blowing from the south,4,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.7,30.3,,,600-1000,,,29.0,23.5,No precipitation,12,,,,
30.03.2020 08:00,26.3,755.8,757.9,1.6,86,Wind blowing from the south,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.7,,,,600-1000,,,21.0,23.8,No precipitation,12,,,,
30.03.2020 05:00,25.0,754.2,756.3,-0.5,89,Wind blowing from the south,3,,,,Cloud development not observed or not observable. ,,,24.7,29.5,,,2500 or more  or no clouds.,,,24.0,23.1,No precipitation,12,,,,
30.03.2020 02:00,25.0,754.7,756.8,-0.7,90,Wind blowing from the south,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,29.5,,,2500 or more  or no clouds.,,,23.0,23.2,No precipitation,12,,,,
29.03.2020 23:00,25.3,755.4,757.5,1.1,90,Wind blowing from the south,2,,12,,Cloud development not observed or not observable. ,,,24.2,29.5,,,2500 or more  or no clouds.,,,19.0,23.5,No precipitation,12,,,,
29.03.2020 20:00,26.4,754.3,756.4,0.7,81,Wind blowing from the south,3,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,29.5,,,600-1000,,,29.0,22.9,No precipitation,12,,,,
29.03.2020 17:00,28.4,753.6,755.7,-1.4,77,Wind blowing from the south,4,,12,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,29.5,,,600-1000,,,26.0,24.0,0.1,12,,,,
29.03.2020 14:00,29.0,755.0,757.1,-2.5,73,Wind blowing from the south,5,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,31.3,,,600-1000,,,27.0,23.7,0.1,12,,,,
29.03.2020 11:00,28.5,757.5,759.6,,75,Wind blowing from the south-southeast,4,,,90  or more  but not 100%, ,,,24.2,31.7,,,600-1000,,,28.0,23.6,0.1,6,,,,
29.03.2020 08:00,26.0,757.0,759.1,1.1,88,Wind blowing from the south-east,3,,,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.1,,,,600-1000,,,22.0,23.9,0.1,12,,,,
29.03.2020 05:00,24.7,755.9,758.0,-0.6,94,Wind blowing from the south-southeast,1,,7,,Rain (not freezing) not falling as shower(s). ,,,23.0,31.7,,,2500 or more  or no clouds.,,,14.0,23.7,No precipitation,12,,,,
29.03.2020 02:00,25.1,756.5,758.6,-0.2,89,Wind blowing from the south-east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,31.7,,,2500 or more  or no clouds.,,,29.0,23.2,No precipitation,12,,,,
28.03.2020 23:00,25.6,756.7,758.8,1.5,89,Wind blowing from the south,2,,10,,Cloud development not observed or not observable. ,,,23.0,31.7,,,2500 or more  or no clouds.,,,27.0,23.7,No precipitation,12,,,,
28.03.2020 20:00,26.0,755.2,757.3,0.7,85,Wind blowing from the south-southeast,2,,10,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,31.7,,,600-1000,,,30.0,23.3,No precipitation,12,,,,
28.03.2020 17:00,28.9,754.5,756.6,-0.9,70,Wind blowing from the south-southeast,3,,10,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,31.7,,,600-1000,,,30.0,22.9,No precipitation,12,,,,
28.03.2020 14:00,31.0,755.4,757.5,-2.1,60,Wind blowing from the south-southeast,3,,,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,31.8,,,600-1000,,,30.0,22.3,No precipitation,12,,,,
28.03.2020 11:00,29.6,757.5,759.6,0.5,65,Wind blowing from the south,3,,8,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,31.9,,,600-1000,,,28.0,22.3,No precipitation,12,,,,
28.03.2020 08:00,24.0,757.0,759.1,1.5,87,Wind blowing from the west-southwest,1,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,,,,600-1000,,,23.0,21.7,No precipitation,12,,,,
28.03.2020 05:00,23.8,755.5,757.6,-0.5,86,Wind blowing from the south,1,,11,,Cloud development not observed or not observable. ,,,23.8,31.9,,,2500 or more  or no clouds.,,,30.0,21.3,No precipitation,12,,,,
28.03.2020 02:00,24.2,756.0,758.1,-0.7,87,Wind blowing from the south,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,31.9,,,2500 or more  or no clouds.,,,27.0,21.9,No precipitation,12,,,,
27.03.2020 23:00,25.3,756.7,758.8,1.5,85,Wind blowing from the south,3,,11,,Cloud development not observed or not observable. ,,,24.4,31.9,,,2500 or more  or no clouds.,,,29.0,22.6,No precipitation,12,,,,
27.03.2020 20:00,26.3,755.2,757.3,1.1,77,Wind blowing from the south,4,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.4,31.9,,,600-1000,,,30.0,21.9,No precipitation,12,,,,
27.03.2020 17:00,29.9,754.1,756.2,,61,Wind blowing from the south,6,,11,20–30%., ,,,24.4,31.9,,,600-1000,,,30.0,21.6,No precipitation,6,,,,
27.03.2020 14:00,31.8,755.5,757.6,,56,Wind blowing from the south,5,,10,40%., ,,,24.4,31.9,,,600-1000,,,30.0,21.9,No precipitation,6,,,,
27.03.2020 11:00,30.0,757.3,759.4,0.4,64,Wind blowing from the south,5,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.4,30.3,,,600-1000,,,29.0,22.4,No precipitation,12,,,,
27.03.2020 08:00,25.8,756.9,759.0,,85,Wind blowing from the south,3,,6,70 – 80%., ,,,24.4,,,,600-1000,,,24.0,23.1,No precipitation,6,,,,
27.03.2020 05:00,24.7,755.5,757.6,-0.8,88,Wind blowing from the south,3,,8,,Cloud development not observed or not observable. ,,,24.4,30.3,,,2500 or more  or no clouds.,,,20.0,22.6,No precipitation,12,,,,
