Local time in Haikou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 11:00,29.5,756.2,761.8,0.4,64,Wind blowing from the south-east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.4,30.6,,,2500 or more  or no clouds.,,,30.0,22.0,No precipitation,12,,,,
03.04.2020 08:00,25.2,755.8,761.4,1.7,91,Wind blowing from the east-southeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.4,,,,2500 or more  or no clouds.,,,17.0,23.6,No precipitation,12,,,,
03.04.2020 05:00,24.4,754.1,759.7,-0.1,94,Wind blowing from the south-east,3,,10,,Cloud development not observed or not observable. ,,,24.4,30.6,,,2500 or more  or no clouds.,,,15.0,23.4,No precipitation,12,,,,
03.04.2020 02:00,24.9,754.2,759.7,-1.0,90,Wind blowing from the east-southeast,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.9,30.6,,,2500 or more  or no clouds.,,,27.0,23.1,No precipitation,12,,,,
02.04.2020 23:00,25.5,755.2,760.7,1.6,85,Wind blowing from the south-east,3,,11,,Cloud development not observed or not observable. ,,,25.1,30.6,,,2500 or more  or no clouds.,,,30.0,22.8,No precipitation,12,,,,
02.04.2020 20:00,26.5,753.6,759.2,0.8,76,Wind blowing from the south-east,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.1,30.6,,,2500 or more  or no clouds.,,,30.0,21.9,No precipitation,12,,,,
02.04.2020 17:00,28.6,752.8,758.3,-1.2,66,Wind blowing from the south-east,4,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.1,30.6,,,2500 or more  or no clouds.,,,23.0,21.6,4.0,12,,,,
02.04.2020 14:00,29.7,754.0,759.6,-1.8,61,Wind blowing from the south-east,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.1,31.1,,,2500 or more  or no clouds.,,,30.0,21.4,4.0,12,,,,
02.04.2020 11:00,28.3,755.8,761.4,0.8,69,Wind blowing from the south-east,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.1,32.5,,,2500 or more  or no clouds.,,,30.0,22.1,4.0,12,,,,
02.04.2020 08:00,25.4,755.0,760.6,1.5,90,Wind blowing from the east-southeast,5,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,,,,2500 or more  or no clouds.,,,19.0,23.6,4.0,12,,,,
02.04.2020 05:00,25.4,753.5,759.1,-0.2,93,Wind blowing from the south-east,2,,11,,Cloud development not observed or not observable. ,,,21.6,32.5,,,2500 or more  or no clouds.,,,21.0,24.2,No precipitation,12,,,,
02.04.2020 02:00,25.7,753.7,759.2,-0.6,91,Wind blowing from the east-southeast,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,32.5,,,2500 or more  or no clouds.,,,29.0,24.1,No precipitation,12,,,,
01.04.2020 23:00,26.5,754.3,759.8,1.8,84,Wind blowing from the east-southeast,4,,11,,Cloud development not observed or not observable. ,,,21.1,32.5,,,2500 or more  or no clouds.,,,30.0,23.6,No precipitation,12,,,,
01.04.2020 20:00,27.4,752.5,758.2,1.3,75,Wind blowing from the east-southeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.1,32.5,,,2500 or more  or no clouds.,,,30.0,22.6,No precipitation,12,,,,
01.04.2020 17:00,29.1,751.2,756.7,-1.1,74,Wind blowing from the north-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.1,32.5,,,2500 or more  or no clouds.,,,17.0,24.0,No precipitation,12,,,,
01.04.2020 14:00,30.4,752.3,757.9,-2.4,68,Wind blowing from the north-east,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.1,32.5,,,2500 or more  or no clouds.,,,27.0,23.8,No precipitation,12,,,,
01.04.2020 11:00,29.8,754.7,760.3,-0.2,64,Wind blowing from the south-east,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.1,29.9,,,2500 or more  or no clouds.,,,12.0,22.3,No precipitation,12,,,,
01.04.2020 08:00,22.0,754.9,760.5,1.8,93,Wind blowing from the west,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.1,,,,2500 or more  or no clouds.,,,3.2,20.8,No precipitation,12,,,,
01.04.2020 05:00,22.1,753.1,758.7,0.0,94,Wind blowing from the south,1,,6,,Mist. ,,,21.1,29.9,,,2500 or more  or no clouds.,,,5.0,21.1,No precipitation,12,,,,
01.04.2020 02:00,21.6,753.1,758.8,-0.9,96,Wind blowing from the north-east,2,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.1,29.9,,,2500 or more  or no clouds.,,,4.2,20.9,No precipitation,12,,,,
31.03.2020 23:00,21.4,754.0,759.7,1.5,95,Wind blowing from the north-east,3,,8,,Mist. ,,,21.4,29.9,,,2500 or more  or no clouds.,,,2.6,20.6,No precipitation,12,,,,
31.03.2020 20:00,23.2,752.5,758.1,1.2,90,Wind blowing from the north-northeast,2,,8,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,29.9,,,300-600,,,3.7,21.5,No precipitation,12,,,,
31.03.2020 17:00,24.7,751.3,757.0,-0.8,80,Wind blowing from the west,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,29.9,,,300-600,,,8.0,21.0,No precipitation,12,,,,
31.03.2020 14:00,28.1,752.1,757.6,-1.9,71,Wind blowing from the west-northwest,4,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,30.2,,,300-600,,,8.0,22.3,No precipitation,12,,,,
31.03.2020 11:00,27.8,754.0,759.7,0.8,73,Wind blowing from the north-northwest,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,31.2,,,300-600,,,8.0,22.5,No precipitation,12,,,,
31.03.2020 08:00,22.1,753.2,758.8,2.0,97,Wind blowing from the west-southwest,2,,4,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,,,,300-600,,,1.6,21.6,No precipitation,12,,,,
31.03.2020 05:00,22.7,751.2,756.8,0.4,92,Wind blowing from the west-southwest,1,,5,,Cloud development not observed or not observable. ,,,22.7,31.2,,,2500 or more  or no clouds.,,,7.0,21.3,No precipitation,12,,,,
31.03.2020 02:00,25.1,750.8,756.4,-0.9,84,Wind blowing from the south-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.1,31.2,,,2500 or more  or no clouds.,,,20.0,22.2,No precipitation,12,,,,
30.03.2020 23:00,23.4,751.7,757.3,0.9,86,Wind blowing from the south-west,1,,7,,Cloud development not observed or not observable. ,,,23.4,31.2,,,2500 or more  or no clouds.,,,11.0,20.9,No precipitation,12,,,,
30.03.2020 20:00,23.9,750.8,756.4,1.1,82,Wind blowing from the west-southwest,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.9,31.2,,,300-600,,,16.0,20.6,No precipitation,12,,,,
30.03.2020 17:00,26.7,749.7,755.2,-1.0,73,Wind blowing from the west,3,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.5,31.2,,,300-600,,,16.0,21.5,No precipitation,12,,,,
30.03.2020 14:00,29.7,750.7,756.2,-2.1,64,Wind blowing from the west-northwest,3,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.5,31.8,,,300-600,,,28.0,22.2,No precipitation,12,,,,
30.03.2020 11:00,29.5,752.8,758.3,0.7,63,Wind blowing from the south,3,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.5,31.8,,,300-600,,,30.0,21.7,No precipitation,12,,,,
30.03.2020 08:00,25.4,752.1,757.6,1.8,84,Wind blowing from the south-southeast,2,,,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.5,,,,300-600,,,30.0,22.5,No precipitation,12,,,,
30.03.2020 05:00,24.9,750.3,755.8,-0.4,83,Wind blowing from the south-southeast,3,,11,,Cloud development not observed or not observable. ,,,24.6,31.8,,,2500 or more  or no clouds.,,,30.0,21.8,No precipitation,12,,,,
30.03.2020 02:00,25.3,750.7,756.2,-0.4,84,Wind blowing from the south-east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.6,31.8,,,2500 or more  or no clouds.,,,30.0,22.4,No precipitation,12,,,,
29.03.2020 23:00,26.0,751.1,756.7,1.0,77,Wind blowing from the south-southeast,3,,13,,Cloud development not observed or not observable. ,,,24.6,31.8,,,2500 or more  or no clouds.,,,30.0,21.7,No precipitation,12,,,,
29.03.2020 20:00,27.7,750.1,755.7,1.3,67,Wind blowing from the south-west,2,,13,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.6,31.8,,,300-600,,,29.0,21.0,No precipitation,12,,,,
29.03.2020 17:00,30.8,748.8,754.3,-1.6,65,Wind blowing from the south-southeast,5,,13,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.6,31.8,,,300-600,,,30.0,23.5,No precipitation,12,,,,
29.03.2020 14:00,31.6,750.4,756.0,-2.7,61,Wind blowing from the south-southeast,5,,13,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.6,31.8,,,300-600,,,30.0,23.2,No precipitation,12,,,,
29.03.2020 11:00,29.2,753.1,758.7,0.1,68,Wind blowing from the south-southeast,5,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.6,31.8,,,300-600,,,30.0,22.7,No precipitation,12,,,,
29.03.2020 08:00,25.3,753.0,758.5,0.8,89,Wind blowing from the south-east,4,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.6,,,,300-600,,,23.0,23.4,No precipitation,12,,,,
29.03.2020 05:00,24.6,752.2,757.7,-0.4,92,Wind blowing from the south-east,4,,12,,Cloud development not observed or not observable. ,,,24.2,31.8,,,2500 or more  or no clouds.,,,30.0,23.2,No precipitation,12,,,,
29.03.2020 02:00,25.2,752.6,758.2,-0.4,90,Wind blowing from the east-southeast,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,31.8,,,2500 or more  or no clouds.,,,30.0,23.4,No precipitation,12,,,,
28.03.2020 23:00,25.7,753.0,758.5,1.9,86,Wind blowing from the east-southeast,4,,12,,Cloud development not observed or not observable. ,,,24.2,31.8,,,2500 or more  or no clouds.,,,30.0,23.2,No precipitation,12,,,,
28.03.2020 20:00,26.9,751.1,756.7,1.1,76,Wind blowing from the south-east,6,,11,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,31.8,,,300-600,,,30.0,22.3,No precipitation,12,,,,
28.03.2020 17:00,31.4,750.0,755.5,-1.9,60,Wind blowing from the east-southeast,5,,10,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,32.4,,,300-600,,,30.0,22.7,No precipitation,12,,,,
28.03.2020 14:00,30.1,751.9,757.4,-1.8,63,Wind blowing from the north-northeast,4,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,34.6,,,300-600,,,30.0,22.3,No precipitation,12,,,,
28.03.2020 11:00,30.3,753.7,759.3,0.6,53,Wind blowing from the south-east,2,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,34.6,,,300-600,,,30.0,19.7,No precipitation,12,,,,
28.03.2020 08:00,24.8,753.1,758.6,1.2,79,Wind blowing from the south-east,3,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,,,,300-600,,,30.0,20.9,No precipitation,12,,,,
28.03.2020 05:00,24.4,751.9,757.4,0.0,81,Wind blowing from the south-east,2,,11,,Cloud development not observed or not observable. ,,,24.1,34.6,,,2500 or more  or no clouds.,,,30.0,20.9,No precipitation,12,,,,
28.03.2020 02:00,25.1,751.9,757.3,-0.4,77,Wind blowing from the south-southeast,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.1,34.6,,,2500 or more  or no clouds.,,,30.0,20.8,No precipitation,12,,,,
27.03.2020 23:00,26.4,752.3,757.9,1.6,69,Wind blowing from the south-southeast,3,,11,,Cloud development not observed or not observable. ,,,24.1,34.6,,,2500 or more  or no clouds.,,,30.0,20.3,No precipitation,12,,,,
27.03.2020 20:00,28.4,750.7,756.3,1.1,66,Wind blowing from the south-east,4,,11,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.1,34.6,,,300-600,,,30.0,21.4,No precipitation,12,,,,
27.03.2020 17:00,32.3,749.6,755.2,-1.4,54,Wind blowing from the south-east,6,,11,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.1,34.6,,,300-600,,,30.0,21.8,No precipitation,12,,,,
27.03.2020 14:00,33.8,751.0,756.4,-2.2,49,Wind blowing from the south,4,,10,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.1,33.8,,,300-600,,,30.0,21.6,No precipitation,12,,,,
