Local time in Guiping,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.04.2020 20:00,15.2,749.1,760.9,0.5,86,Wind blowing from the north-northeast,9,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,16.2,,,2500 or more  or no clouds.,,,30.0,12.9,0.4,12,,,,
01.04.2020 17:00,14.0,748.6,760.3,-0.9,93,Wind blowing from the north-east,6,,13,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,16.2,,,2500 or more  or no clouds.,,,6.0,12.9,0.2,12,,,,
01.04.2020 14:00,14.4,749.5,761.2,-1.7,87,Wind blowing from the north-east,4,,13,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,16.2,,,2500 or more  or no clouds.,,,6.0,12.3,No precipitation,12,,,,
01.04.2020 11:00,16.0,751.2,763.0,0.4,71,Wind blowing from the north-east,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,16.2,,,2500 or more  or no clouds.,,,30.0,10.8,0.1,12,,,,
01.04.2020 08:00,14.6,750.8,762.7,1.4,78,Wind blowing from the north-east,7,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,15.1,,,2500 or more  or no clouds.,,,30.0,10.8,0.1,12,,,,
01.04.2020 05:00,14.1,749.4,761.2,-0.4,85,Wind blowing from the east-northeast,6,,10,,Cloud development not observed or not observable. ,,,,14.3,,,2500 or more  or no clouds.,,,30.0,11.6,0.1,12,,,,
01.04.2020 02:00,14.0,749.8,761.7,,85,Wind blowing from the north-east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,14.2,,,2500 or more  or no clouds.,,,30.0,11.5,,,,,,
31.03.2020 20:00,13.8,749.4,761.2,0.5,93,Wind blowing from the north-northeast,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,14.2,,,2500 or more  or no clouds.,,,9.0,12.7,0.5,12,,,,
31.03.2020 17:00,13.6,748.9,760.8,-1.2,88,Wind blowing from the south-east,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,14.2,,,2500 or more  or no clouds.,,,23.0,11.7,0.9,12,,,,
31.03.2020 14:00,12.7,750.1,762.0,-1.5,98,Wind blowing from the south-west,2,,5,,Mist. ,Rain.,Fog or ice fog or thick haze.,12.3,,,,2500 or more  or no clouds.,,,2.0,12.4,0.9,12,,,,
31.03.2020 11:00,12.8,751.6,763.4,1.0,98,Wind blowing from the south,1,,8,,Fog or ice fog  sky visible  no appreciable change during the preceding hour. ,Rain.,Fog or ice fog or thick haze.,12.3,14.2,,,2500 or more  or no clouds.,,,0.1,12.5,0.8,12,,,,
31.03.2020 08:00,12.4,750.6,762.4,,98,Wind blowing from the south-west,1,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,11.9,14.2,,,,,,0.3,12.1,0.4,6,,,,
31.03.2020 05:00,12.5,748.7,760.6,0.1,97,Wind blowing from the east,2,,11,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.9,14.2,,,2500 or more  or no clouds.,,,3.2,12.0,0.1,12,,,,
31.03.2020 02:00,13.1,748.6,760.4,,93,Wind blowing from the east,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,14.2,,,2500 or more  or no clouds.,,,15.0,12.0,0.1,12,,,,
30.03.2020 20:00,12.8,747.4,759.2,0.3,94,Wind blowing from the north-northeast,6,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,14.2,,,2500 or more  or no clouds.,,,5.0,11.9,0.1,12,,,,
30.03.2020 17:00,13.4,747.1,758.9,-1.3,92,Wind blowing from the north-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,15.5,,,2500 or more  or no clouds.,,,15.0,12.1,0.1,12,,,,
30.03.2020 14:00,13.2,748.4,760.3,-2.0,93,Wind blowing from the east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,,,,2500 or more  or no clouds.,,,8.0,12.1,2.0,12,,,,
30.03.2020 11:00,12.4,750.4,762.3,0.4,97,Wind blowing from the east,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,,,,2500 or more  or no clouds.,,,4.5,11.9,3.0,12,,,,
30.03.2020 08:00,12.1,750.0,761.8,1.6,98,Wind blowing from the east,2,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,15.9,,,2500 or more  or no clouds.,,,4.1,11.8,4.0,12,,,,
30.03.2020 05:00,12.3,748.4,760.2,-0.3,98,Wind blowing from the east,4,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.2,16.9,,,2500 or more  or no clouds.,,,6.0,12.0,5.0,12,,,,
30.03.2020 02:00,13.0,748.7,760.5,,98,Wind blowing from the east,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,12.9,16.9,,,2500 or more  or no clouds.,,,0.2,12.7,3.0,12,,,,
29.03.2020 20:00,13.8,747.3,759.1,1.4,98,Wind blowing from the south-west,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,13.8,17.9,,,2500 or more  or no clouds.,,,0.1,13.5,4.0,12,,,,
29.03.2020 17:00,15.5,745.9,757.6,-0.9,98,Wind blowing from the south-west,1,,14,,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,17.9,,,2500 or more  or no clouds.,,,1.3,15.2,4.0,12,,,,
29.03.2020 14:00,15.6,746.8,758.5,-1.5,98,Wind blowing from the west-southwest,2,,16,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,15.6,18.6,,,2500 or more  or no clouds.,,,0.4,15.3,4.0,12,,,,
29.03.2020 11:00,15.7,748.3,760.0,,97,Wind blowing from the south,1,,20,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,15.6,,,,,,,0.6,15.2,2.0,6,,,,
29.03.2020 08:00,15.7,748.0,759.7,1.2,91,Wind blowing from the east-northeast,3,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,19.5,,,2500 or more  or no clouds.,,,,14.2,0.5,12,,,,
29.03.2020 05:00,16.6,746.8,758.4,-1.0,82,Wind blowing from the north-northeast,7,,20,,Cloud development not observed or not observable. ,,,16.1,20.3,,,2500 or more  or no clouds.,,,30.0,13.5,0.3,12,,,,
29.03.2020 02:00,16.8,747.8,759.4,,80,Wind blowing from the north-northeast,9,,20,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.1,,,,2500 or more  or no clouds.,,,30.0,13.3,0.3,12,,,,
28.03.2020 20:00,17.7,747.7,759.4,0.2,69,Wind blowing from the north-northeast,7,,14,,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,,,,2500 or more  or no clouds.,,,30.0,11.9,No precipitation,12,,,,
28.03.2020 17:00,17.9,747.5,759.1,-1.9,70,Wind blowing from the north-northeast,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.8,,,,2500 or more  or no clouds.,,,30.0,12.4,No precipitation,12,,,,
28.03.2020 14:00,18.6,749.4,760.9,-2.2,70,Wind blowing from the east,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.8,26.3,,,2500 or more  or no clouds.,,,30.0,13.0,No precipitation,12,,,,
28.03.2020 11:00,18.4,751.6,763.1,0.6,73,Wind blowing from the east-northeast,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.8,26.3,,,2500 or more  or no clouds.,,,30.0,13.5,No precipitation,12,,,,
28.03.2020 08:00,18.1,751.0,762.5,2.1,83,Wind blowing from the north-northeast,4,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,26.3,,,2500 or more  or no clouds.,,,30.0,15.2,No precipitation,12,,,,
28.03.2020 05:00,20.3,748.9,760.3,0.2,82,Wind blowing from the north-east,4,,15,,Cloud development not observed or not observable. ,,,20.2,26.3,,,2500 or more  or no clouds.,,,30.0,17.1,No precipitation,12,,,,
28.03.2020 02:00,21.8,748.7,760.1,,77,Wind blowing from the north-northeast,7,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.7,26.3,,,2500 or more  or no clouds.,,,30.0,17.6,No precipitation,12,,,,
27.03.2020 20:00,23.9,745.9,757.3,1.2,87,Wind blowing from the north-northwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,26.3,,,2500 or more  or no clouds.,,,17.0,21.6,No precipitation,12,,,,
27.03.2020 17:00,26.1,744.7,756.0,,79,Wind blowing from the west-northwest,3,,5,, ,,,22.5,26.2,,,,,,18.0,22.2,No precipitation,6,,,,
27.03.2020 14:00,25.4,745.6,757.0,,88,Wind blowing from the north-northeast,1,,5,, ,,,22.5,25.9,,,,,,7.0,23.3,No precipitation,6,,,,
27.03.2020 11:00,24.3,747.6,759.0,0.8,89,Wind blowing from the west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,25.7,,,2500 or more  or no clouds.,,,8.0,22.4,0.1,12,,,,
27.03.2020 08:00,22.6,746.8,758.2,,95,Wind blowing from the west-northwest,2,,5,,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,3.4,21.8,0.1,6,,,,
27.03.2020 05:00,22.7,745.9,757.3,-0.8,95,Wind blowing from the north,2,,6,,Mist. ,,,19.3,25.7,,,2500 or more  or no clouds.,,,6.0,21.9,2.0,12,,,,
27.03.2020 02:00,23.5,746.7,758.0,,89,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.3,25.7,,,2500 or more  or no clouds.,,,13.0,21.6,2.0,12,,,,
26.03.2020 20:00,23.0,746.0,757.5,1.0,94,Wind blowing from the north,4,,6,,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,25.7,,,2500 or more  or no clouds.,,,10.0,22.0,2.0,12,,,,
26.03.2020 17:00,25.3,745.0,756.4,,78,Wind blowing from the north,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,25.7,,,,,,20.0,21.2,No precipitation,6,,,,
26.03.2020 14:00,25.5,746.0,757.4,-2.3,77,Wind blowing from the north-east,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,25.5,,,2500 or more  or no clouds.,,,28.0,21.2,No precipitation,12,,,,
26.03.2020 11:00,22.2,748.3,759.7,,86,Wind blowing from the north-east,2,,10,, ,,,18.3,22.3,,,,,,25.0,19.7,No precipitation,6,,,,
26.03.2020 08:00,20.7,747.5,759.1,0.9,92,Wind blowing from the north-northeast,2,,11,,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,22.3,,,2500 or more  or no clouds.,,,23.0,19.4,1.0,12,,,,
26.03.2020 05:00,19.4,746.6,758.2,,90,Wind blowing from the east-northeast,3,,11,, ,,,18.3,,,,,,,28.0,17.7,No precipitation,6,,,,
26.03.2020 02:00,19.6,747.7,759.2,,89,Wind blowing from the north-east,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,22.7,,,2500 or more  or no clouds.,,,30.0,17.7,19.0,12,,,,
25.03.2020 20:00,18.4,746.5,758.1,-0.9,95,Wind blowing from the north-northeast,5,,14,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,23.1,,,600-1000,,,12.0,17.6,34.0,12,,,,
25.03.2020 17:00,18.7,747.4,758.8,,96,Wind blowing from the south-southeast,2,,14,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,23.3,,,300-600,,,7.0,18.0,30.0,6,,,,
25.03.2020 14:00,20.3,747.1,758.6,-2.5,93,Wind blowing from the north-east,5,,11,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,24.7,,,600-1000,,,17.0,19.1,16.0,12,,,,
