Local time in Wuzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
02.04.2020 14:00,15.6,751.8,762.2,-1.7,93,Wind blowing from the north-northeast,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,15.7,,,2500 or more  or no clouds.,,,6.0,14.5,No precipitation,12,,,,
02.04.2020 11:00,15.1,753.5,763.9,0.3,92,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,15.7,,,2500 or more  or no clouds.,,,7.0,13.8,No precipitation,12,,,,
02.04.2020 08:00,14.2,753.2,763.6,1.2,95,Wind blowing from the north-northeast,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,15.7,,,2500 or more  or no clouds.,,,5.0,13.4,No precipitation,12,,,,
02.04.2020 05:00,13.9,752.0,762.4,-0.2,95,Wind blowing from the north-east,3,,6,,Mist. ,,,12.8,15.7,,,2500 or more  or no clouds.,,,6.0,13.1,No precipitation,12,,,,
02.04.2020 02:00,13.9,752.2,762.6,-0.3,94,Wind blowing from the north-northeast,3,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,15.7,,,2500 or more  or no clouds.,,,4.4,13.0,No precipitation,12,,,,
01.04.2020 23:00,14.5,752.5,762.9,1.0,89,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,,,12.7,15.7,,,2500 or more  or no clouds.,,,8.0,12.7,No precipitation,12,,,,
01.04.2020 20:00,14.5,751.5,761.9,1.0,88,Wind blowing from the north-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,15.7,,,2500 or more  or no clouds.,,,8.0,12.5,No precipitation,12,,,,
01.04.2020 17:00,14.8,750.5,760.9,-0.8,85,Wind blowing from the east-northeast,3,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,15.7,,,2500 or more  or no clouds.,,,11.0,12.3,No precipitation,12,,,,
01.04.2020 14:00,15.3,751.3,761.8,-1.9,81,Wind blowing from the north-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,15.7,,,2500 or more  or no clouds.,,,11.0,12.1,0.8,12,,,,
01.04.2020 11:00,15.4,753.2,763.6,0.0,78,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,15.5,,,2500 or more  or no clouds.,,,13.0,11.6,0.9,12,,,,
01.04.2020 08:00,13.7,753.2,763.7,1.9,90,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,13.7,,,2500 or more  or no clouds.,,,9.0,12.1,0.9,12,,,,
01.04.2020 05:00,12.8,751.3,761.8,-0.3,89,Wind blowing from the east,2,,4,,Cloud development not observed or not observable. ,,,,13.4,,,2500 or more  or no clouds.,,,12.0,11.0,0.9,12,,,,
01.04.2020 02:00,13.2,751.6,762.1,-0.7,87,Wind blowing from the north-northeast,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,13.4,,,2500 or more  or no clouds.,,,8.0,11.1,0.2,12,,,,
31.03.2020 23:00,13.3,752.3,762.8,0.9,86,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,,,11.5,13.3,,,2500 or more  or no clouds.,,,14.0,11.0,0.4,12,,,,
31.03.2020 20:00,12.9,751.4,761.9,0.8,93,Wind blowing from the north-northeast,1,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,13.0,,,600-1000,,,7.0,11.8,0.6,12,,,,
31.03.2020 17:00,13.0,750.6,761.1,-1.0,93,Wind blowing from the west-northwest,1,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,13.0,,,300-600,,,8.0,11.9,0.8,12,,,,
31.03.2020 14:00,12.0,751.6,762.1,-1.0,96,Wind blowing from the north-west,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,12.9,,,200-300,,,2.6,11.4,0.7,12,,,,
31.03.2020 11:00,11.9,752.6,763.1,0.9,96,Wind blowing from the north-west,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,12.9,,,200-300,,,2.5,11.3,0.4,12,,,,
31.03.2020 08:00,11.9,751.7,762.2,1.6,95,Wind blowing from the north-northeast,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.9,,,300-600,,,6.0,11.1,0.2,12,,,,
31.03.2020 05:00,12.0,750.1,760.6,0.0,93,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,,,,,,,2500 or more  or no clouds.,,,8.0,10.9,No precipitation,12,,,,
31.03.2020 02:00,12.3,750.1,760.6,-0.6,91,Wind blowing from the north-east,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,12.9,,,2500 or more  or no clouds.,,,12.0,10.9,No precipitation,12,,,,
30.03.2020 23:00,12.3,750.7,761.2,0.9,92,Wind blowing from the north-east,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.0,12.9,,,2500 or more  or no clouds.,,,10.0,11.0,No precipitation,12,,,,
30.03.2020 20:00,12.2,749.8,760.3,0.9,93,Wind blowing from the north-northeast,2,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,13.3,,,300-600,,,7.0,11.1,Trace of precipitation,12,,,,
30.03.2020 17:00,12.2,748.9,759.4,-1.0,94,Wind blowing from the north-northeast,2,,7,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,15.5,,,300-600,,,7.0,11.3,0.6,12,,,,
30.03.2020 14:00,12.9,749.9,760.4,-2.1,86,Wind blowing from the north,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,,,,600-1000,,,13.0,10.6,3.0,12,,,,
30.03.2020 11:00,12.2,752.0,762.5,0.4,88,Wind blowing from the north-northeast,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,,,,300-600,,,17.0,10.3,3.0,12,,,,
30.03.2020 08:00,11.1,751.6,762.1,1.4,94,Wind blowing from the north,3,,8,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,16.4,,,300-600,,,9.0,10.2,10.0,12,,,,
30.03.2020 05:00,11.1,750.2,760.6,-0.3,94,Wind blowing from the north,3,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.1,16.4,,,2500 or more  or no clouds.,,,3.6,10.2,12.0,12,,,,
30.03.2020 02:00,11.5,750.5,760.9,-0.1,95,Wind blowing from the north,3,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,16.4,,,2500 or more  or no clouds.,,,8.0,10.7,9.0,12,,,,
29.03.2020 23:00,12.0,750.6,761.0,1.5,95,Wind blowing from the north,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.9,16.4,,,2500 or more  or no clouds.,,,6.0,11.2,9.0,12,,,,
29.03.2020 20:00,13.3,749.1,759.5,1.6,95,Wind blowing from the north,3,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,17.3,,,300-600,,,10.0,12.5,2.0,12,,,,
29.03.2020 17:00,15.6,747.5,757.9,-0.7,93,Wind blowing from the north-northeast,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,,,,1500-2000,,,5.0,14.5,No precipitation,12,,,,
29.03.2020 14:00,16.2,748.2,758.5,-1.9,88,Wind blowing from the north,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,,,,1500-2000,,,8.0,14.2,No precipitation,12,,,,
29.03.2020 11:00,15.6,750.1,760.4,0.4,88,Wind blowing from the north-northeast,2,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,,,,1500-2000,,,7.0,13.6,No precipitation,12,,,,
29.03.2020 08:00,14.9,749.7,760.0,0.7,86,Wind blowing from the north-northeast,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,19.1,,,1500-2000,,,10.0,12.6,No precipitation,12,,,,
29.03.2020 05:00,14.9,749.0,759.3,-1.7,81,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,,,14.9,19.1,,,2500 or more  or no clouds.,,,13.0,11.7,No precipitation,12,,,,
29.03.2020 02:00,15.5,750.7,761.0,-0.1,76,Wind blowing from the north-east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,19.1,,,2500 or more  or no clouds.,,,15.0,11.3,No precipitation,12,,,,
28.03.2020 23:00,15.9,750.8,761.2,0.9,75,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,,,15.2,19.2,,,2500 or more  or no clouds.,,,15.0,11.5,No precipitation,12,,,,
28.03.2020 20:00,17.3,749.9,760.3,0.5,72,Wind blowing from the north-east,2,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,19.5,,,1500-2000,,,16.0,12.2,No precipitation,12,,,,
28.03.2020 17:00,18.6,749.4,759.7,-1.9,72,Wind blowing from the east-northeast,2,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,20.1,,,1500-2000,,,21.0,13.5,No precipitation,12,,,,
28.03.2020 14:00,19.0,751.3,761.5,-2.2,65,Wind blowing from the north-northeast,2,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,22.4,,,1500-2000,,,27.0,12.3,No precipitation,12,,,,
28.03.2020 11:00,16.9,753.5,763.9,0.7,69,Wind blowing from the north-east,3,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,22.4,,,600-1000,,,23.0,11.2,No precipitation,12,,,,
28.03.2020 08:00,15.3,752.8,763.1,1.8,74,Wind blowing from the north-east,6,,11,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,22.4,,,1500-2000,,,21.0,10.7,2.0,12,,,,
28.03.2020 05:00,17.5,751.0,761.3,0.2,82,Wind blowing from the north-northeast,3,,11,,Cloud development not observed or not observable. ,,,17.5,22.5,,,2500 or more  or no clouds.,,,17.0,14.4,36.0,12,,,,
28.03.2020 02:00,19.0,750.8,761.0,0.3,93,Wind blowing from the north-east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,23.0,,,2500 or more  or no clouds.,,,10.0,17.8,42.0,12,,,,
27.03.2020 23:00,19.2,750.5,760.7,1.7,96,Wind blowing from the north-northeast,2,,11,,Rain (not freezing) not falling as shower(s). ,,,19.2,23.7,,,2500 or more  or no clouds.,,,6.0,18.5,42.0,12,,,,
27.03.2020 20:00,19.3,748.8,759.0,2.2,96,Wind blowing from the north-northeast,3,,11,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.3,24.6,,,300-600,,,5.0,18.6,40.0,12,,,,
27.03.2020 17:00,20.1,746.6,756.7,-1.0,94,Wind blowing from the north-east,3,,10,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,,,,300-600,,,5.0,19.1,7.0,12,,,,
27.03.2020 14:00,20.8,747.6,757.7,-1.9,89,Wind blowing from the north-northeast,3,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.7,,,,600-1000,,,13.0,18.9,1.0,12,,,,
27.03.2020 11:00,21.5,749.5,759.6,0.9,90,Wind blowing from the north-east,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.7,,,,600-1000,,,14.0,19.8,1.0,12,,,,
27.03.2020 08:00,21.0,748.6,758.8,0.7,92,Wind blowing from the north-northeast,2,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.3,28.2,,,600-1000,,,8.0,19.7,1.0,12,,,,
27.03.2020 05:00,22.5,747.9,757.9,-0.6,86,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,,,18.5,28.2,,,2500 or more  or no clouds.,,,10.0,20.0,No precipitation,12,,,,
