Local time in Nenjiang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 11:00,8.2,745.0,767.8,-1.4,17,Wind blowing from the west-southwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,8.4,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
05.04.2020 08:00,2.8,746.4,769.4,-0.4,27,Wind blowing from the south-west,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,4.6,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
05.04.2020 05:00,-9.1,746.8,770.1,-1.0,68,Wind blowing from the east-southeast,1,,8,,Cloud development not observed or not observable. ,,,-9.7,4.6,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
05.04.2020 02:00,-8.9,747.8,771.1,0.1,63,Wind blowing from the south,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,4.6,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
04.04.2020 23:00,-5.4,747.7,771.0,0.0,60,Wind blowing from the west-southwest,1,,13,,Cloud development not observed or not observable. ,,,-5.6,4.6,,,2500 or more  or no clouds.,,,18.0,-12.1,No precipitation,12,,,,
04.04.2020 20:00,-3.9,747.7,771.1,0.5,40,Wind blowing from the east-southeast,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,4.6,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
04.04.2020 17:00,4.1,747.2,770.3,-0.6,20,Wind blowing from the north,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,4.6,,,2500 or more  or no clouds.,,,30.0,-16.9,No precipitation,12,,,,
04.04.2020 14:00,3.5,747.8,770.8,-0.9,21,Wind blowing from the north,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,3.5,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
04.04.2020 11:00,0.5,748.7,771.8,-0.5,23,Wind blowing from the north,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,2.2,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
04.04.2020 08:00,-3.3,749.2,772.4,0.8,27,Wind blowing from the north,7,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,2.2,,,2500 or more  or no clouds.,,,30.0,-19.6,No precipitation,12,,,,
04.04.2020 05:00,-5.6,748.4,771.7,1.0,36,Wind blowing from the north-northwest,5,,17,,Cloud development not observed or not observable. ,,,-5.6,2.2,,,2500 or more  or no clouds.,,,30.0,-18.3,No precipitation,12,,,,
04.04.2020 02:00,-3.7,747.4,770.5,1.0,29,Wind blowing from the north,7,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,2.2,,,2500 or more  or no clouds.,,,30.0,-19.2,No precipitation,12,,,,
03.04.2020 23:00,-2.2,746.4,769.5,1.4,25,Wind blowing from the north,6,,20,,Cloud development not observed or not observable. ,,,-4.1,2.2,,,2500 or more  or no clouds.,,,30.0,-19.6,No precipitation,12,,,,
03.04.2020 20:00,-0.9,745.0,768.1,2.7,25,Wind blowing from the north,6,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,2.2,,,2500 or more  or no clouds.,,,30.0,-18.5,No precipitation,12,,,,
03.04.2020 17:00,1.2,742.3,765.1,1.9,21,Wind blowing from the north,8,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,6.7,,,2500 or more  or no clouds.,,,30.0,-18.7,0.2,12,,,,
03.04.2020 14:00,2.1,740.4,763.2,0.8,26,Wind blowing from the north,9,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,7.6,,,2500 or more  or no clouds.,,,30.0,-15.4,0.2,12,,,,
03.04.2020 11:00,-0.6,739.6,762.4,1.8,34,Wind blowing from the north,9,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,,,,2500 or more  or no clouds.,,,30.0,-14.5,0.2,12,,,,
03.04.2020 08:00,-3.8,737.8,760.9,4.6,87,Wind blowing from the north-northeast,11,,18,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,,,,2500 or more  or no clouds.,,,1.6,-5.6,0.2,12,,,,
03.04.2020 05:00,-0.3,733.2,755.5,-1.0,54,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,,,-3.7,7.6,,,2500 or more  or no clouds.,,,30.0,-8.5,No precipitation,12,,,,
03.04.2020 02:00,-1.7,734.2,756.7,-3.3,49,Wind blowing from the east-southeast,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,7.6,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
02.04.2020 23:00,-0.1,737.5,760.1,-1.3,40,Wind blowing from the east-southeast,3,,15,,Cloud development not observed or not observable. ,,,-3.7,7.6,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
02.04.2020 20:00,-2.5,738.8,761.5,-0.4,44,Wind blowing from the east-southeast,2,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,7.6,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
02.04.2020 17:00,6.8,739.2,761.5,-0.7,17,Wind blowing from the north-northeast,3,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,11.5,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
02.04.2020 14:00,6.8,739.9,762.3,-0.4,17,Wind blowing from the north-west,6,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,13.1,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
02.04.2020 11:00,4.0,740.3,762.8,1.4,17,Wind blowing from the north,8,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,,,,2500 or more  or no clouds.,,,30.0,-18.9,No precipitation,12,,,,
02.04.2020 08:00,2.7,738.9,761.3,3.6,38,Wind blowing from the north,9,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
02.04.2020 05:00,3.9,735.3,757.3,2.5,51,Wind blowing from the north-northwest,6,,12,,Cloud development not observed or not observable. ,,,-2.1,13.1,,,2500 or more  or no clouds.,,,30.0,-5.3,No precipitation,12,,,,
02.04.2020 02:00,1.9,732.8,754.8,-0.4,48,Wind blowing from the west-southwest,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,13.1,,,2500 or more  or no clouds.,,,30.0,-8.2,No precipitation,12,,,,
01.04.2020 23:00,3.4,733.2,755.2,-0.7,44,Wind blowing from the west-southwest,3,,11,,Cloud development not observed or not observable. ,,,-3.2,13.1,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
01.04.2020 20:00,4.8,733.9,756.1,0.9,37,Wind blowing from the west-southwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,13.1,,,2500 or more  or no clouds.,,,22.0,-8.7,No precipitation,12,,,,
01.04.2020 17:00,11.6,733.0,755.2,-1.5,24,Wind blowing from the west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,13.1,,,2500 or more  or no clouds.,,,14.0,-8.3,No precipitation,12,,,,
01.04.2020 14:00,12.3,734.5,756.7,-2.1,22,Wind blowing from the west-southwest,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,12.3,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
01.04.2020 11:00,9.8,736.6,758.9,-1.0,26,Wind blowing from the west,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,9.9,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
01.04.2020 08:00,3.6,737.6,760.2,-0.2,36,Wind blowing from the west-southwest,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,7.5,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
01.04.2020 05:00,-2.1,737.8,760.4,-0.7,47,Wind blowing from the south-west,4,,6,,Cloud development not observed or not observable. ,,,-3.2,7.5,,,2500 or more  or no clouds.,,,15.0,-11.9,No precipitation,12,,,,
01.04.2020 02:00,-2.1,738.5,761.1,-1.0,44,Wind blowing from the west-southwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,7.5,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
31.03.2020 23:00,-2.0,739.5,762.1,-0.1,42,Wind blowing from the south-west,3,,,,Cloud development not observed or not observable. ,,,-2.2,7.5,,,2500 or more  or no clouds.,,,30.0,-13.2,No precipitation,12,,,,
31.03.2020 20:00,0.4,739.6,762.2,0.9,33,Wind blowing from the west-southwest,2,,11,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,8.0,,,,,,6.0,-14.0,No precipitation,12,,,,
31.03.2020 17:00,6.3,738.7,761.1,-0.2,15,Wind blowing from the north-west,3,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,9.2,,,1000-1500,,,30.0,-18.5,No precipitation,12,,,,
31.03.2020 14:00,6.1,738.9,761.2,-0.2,21,Wind blowing from the north-west,6,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,14.2,,,1000-1500,,,30.0,-14.6,No precipitation,12,,,,
31.03.2020 11:00,6.4,739.1,761.4,0.5,24,Wind blowing from the north-northwest,7,,11,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,14.2,,,1000-1500,,,30.0,-12.7,No precipitation,12,,,,
31.03.2020 08:00,3.0,738.6,760.9,1.3,39,Wind blowing from the north,5,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,14.2,,,,,,30.0,-9.9,No precipitation,12,,,,
31.03.2020 05:00,1.2,737.3,759.6,0.6,40,Wind blowing from the north,5,,11,,Cloud development not observed or not observable. ,,,-3.2,14.2,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
31.03.2020 02:00,3.4,736.7,758.7,1.0,35,Wind blowing from the north,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,14.2,,,2500 or more  or no clouds.,,,30.0,-10.6,No precipitation,12,,,,
30.03.2020 23:00,5.6,735.7,757.6,0.9,32,Wind blowing from the north-northwest,4,,11,,Cloud development not observed or not observable. ,,,-3.2,14.2,,,2500 or more  or no clouds.,,,22.0,-9.8,No precipitation,12,,,,
30.03.2020 20:00,7.9,734.8,756.8,0.9,38,Wind blowing from the west-northwest,3,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,14.2,,,2500 or more  or no clouds.,,,30.0,-5.5,No precipitation,12,,,,
30.03.2020 17:00,9.2,733.9,756.3,0.2,38,Wind blowing from the east-northeast,2,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,14.2,,,2500 or more  or no clouds.,,,30.0,-4.4,No precipitation,12,,,,
30.03.2020 14:00,13.8,733.7,755.8,-1.3,18,Wind blowing from the south-west,6,,9,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,13.8,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
30.03.2020 11:00,10.6,735.0,757.1,0.2,31,Wind blowing from the south-southwest,4,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,13.8,,,2500 or more  or no clouds.,,,30.0,-5.8,No precipitation,12,,,,
30.03.2020 08:00,5.5,734.8,757.0,0.6,39,Wind blowing from the south-west,4,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,13.8,,,2500 or more  or no clouds.,,,25.0,-7.4,No precipitation,12,,,,
30.03.2020 05:00,-3.1,734.2,756.4,0.6,79,Wind blowing from the south-east,2,,9,,Cloud development not observed or not observable. ,,,-3.9,13.8,,,2500 or more  or no clouds.,,,30.0,-6.2,No precipitation,12,,,,
30.03.2020 02:00,-1.9,733.6,755.8,0.9,73,Wind blowing from the south-southeast,2,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,13.8,,,2500 or more  or no clouds.,,,30.0,-6.1,No precipitation,12,,,,
29.03.2020 23:00,2.1,732.7,754.8,1.7,48,Wind blowing from the west,3,,17,,Cloud development not observed or not observable. ,,,-4.0,13.8,,,2500 or more  or no clouds.,,,30.0,-8.0,No precipitation,12,,,,
29.03.2020 20:00,4.3,731.0,753.2,2.8,40,Wind blowing from the west,3,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,13.8,,,,,,10.0,-8.4,No precipitation,12,,,,
29.03.2020 17:00,11.7,728.2,750.4,-0.7,26,Wind blowing from the south-west,6,,17,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,13.8,,,1000-1500,,,30.0,-7.2,No precipitation,12,,,,
29.03.2020 14:00,12.9,728.9,751.0,-2.8,21,Wind blowing from the south-west,11,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,13.2,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
29.03.2020 11:00,9.8,731.7,753.9,-2.6,26,Wind blowing from the south-west,10,,14,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,10.1,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
29.03.2020 08:00,3.6,734.3,756.8,-0.8,42,Wind blowing from the south-southwest,4,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,5.7,,,,,,30.0,-8.1,No precipitation,12,,,,
29.03.2020 05:00,-4.0,735.1,757.6,-0.5,62,Wind blowing from the south-west,2,,9,,Cloud development not observed or not observable. ,,,-9.3,5.7,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
29.03.2020 02:00,-2.9,735.6,758.2,-0.3,64,Wind blowing from the west-southwest,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,5.7,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
28.03.2020 23:00,-1.7,735.9,758.5,0.3,63,Wind blowing from the west,1,,,,Cloud development not observed or not observable. ,,,-9.3,5.7,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
28.03.2020 20:00,0.0,735.6,758.4,0.8,57,Wind blowing from the west-southwest,2,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,5.7,,,2500 or more  or no clouds.,,,18.0,-7.7,No precipitation,12,,,,
28.03.2020 17:00,5.3,734.8,757.6,-0.9,30,Wind blowing from the west-southwest,6,,13,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,5.7,,,2500 or more  or no clouds.,,,28.0,-10.9,No precipitation,12,,,,
28.03.2020 14:00,3.9,735.7,758.6,-1.7,23,Wind blowing from the west-southwest,7,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,4.5,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
28.03.2020 11:00,1.7,737.4,760.3,-1.3,27,Wind blowing from the west-southwest,7,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,1.7,,,,,,30.0,-15.3,No precipitation,12,,,,
28.03.2020 08:00,-3.2,738.7,761.7,0.1,41,Wind blowing from the west-southwest,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,-1.5,,,,,,30.0,-14.6,No precipitation,12,,,,
28.03.2020 05:00,-9.1,738.6,761.8,0.2,63,Wind blowing from the south-west,3,,9,,Cloud development not observed or not observable. ,,,-9.3,-1.5,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
28.03.2020 02:00,-8.3,738.4,761.7,-0.2,63,Wind blowing from the west,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,-1.5,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
27.03.2020 23:00,-7.2,738.6,761.8,0.0,63,Wind blowing from the west,3,,12,,Cloud development not observed or not observable. ,,,-7.5,-1.5,,,2500 or more  or no clouds.,,,30.0,-13.2,No precipitation,12,,,,
27.03.2020 20:00,-3.7,738.6,761.7,1.1,34,Wind blowing from the north-west,4,,12,no clouds,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,-1.5,,,,,,30.0,-17.3,Trace of precipitation,12,,,,
