Local time in Sanya (weather station),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
04.04.2020 11:00,24.9,726.5,762.4,0.4,95,Wind blowing from the east-northeast,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,26.5,,,2500 or more  or no clouds.,,,26.0,24.0,No precipitation,12,,,,
04.04.2020 08:00,23.0,726.1,762.0,1.6,100,Wind blowing from the east,5,,9,,Fog or ice fog. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,,,,2500 or more  or no clouds.,,,3.2,23.0,No precipitation,12,,,,
04.04.2020 05:00,22.7,724.5,760.3,,100,Wind blowing from the east,5,,9,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,22.7,26.5,,,2500 or more  or no clouds.,,,0.4,22.7,No precipitation,12,,,,
04.04.2020 02:00,23.1,724.9,760.6,,100,Wind blowing from the east,5,,9,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,26.5,,,,,,less than 0.1,23.1,No precipitation,6,,,,
03.04.2020 23:00,23.3,725.2,761.0,0.6,100,Wind blowing from the east,4,,10,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,23.0,26.5,,,2500 or more  or no clouds.,,,0.3,23.3,No precipitation,12,,,,
03.04.2020 20:00,23.5,724.6,760.5,0.9,100,Wind blowing from the east-southeast,4,,10,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,26.5,,,2500 or more  or no clouds.,,,0.5,23.5,No precipitation,12,,,,
03.04.2020 17:00,24.6,723.7,759.4,-1.3,99,Wind blowing from the east-southeast,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,26.5,,,2500 or more  or no clouds.,,,17.0,24.4,No precipitation,12,,,,
03.04.2020 14:00,25.7,725.0,760.8,-1.6,92,Wind blowing from the south-east,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,26.9,,,2500 or more  or no clouds.,,,18.0,24.3,No precipitation,12,,,,
03.04.2020 11:00,25.3,726.6,762.4,1.1,95,Wind blowing from the east-southeast,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,27.1,,,2500 or more  or no clouds.,,,18.0,24.4,No precipitation,12,,,,
03.04.2020 08:00,23.3,725.5,761.5,1.5,100,Wind blowing from the east,5,,10,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,,,,2500 or more  or no clouds.,,,0.1,23.3,No precipitation,12,,,,
03.04.2020 05:00,23.2,724.0,759.8,-0.2,100,Wind blowing from the east,5,,10,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,22.9,,,,2500 or more  or no clouds.,,,less than 0.1,23.2,No precipitation,12,,,,
03.04.2020 02:00,23.1,724.2,760.0,-0.9,100,Wind blowing from the east,5,,10,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.9,27.1,,,2500 or more  or no clouds.,,,less than 0.1,23.1,No precipitation,12,,,,
02.04.2020 23:00,23.4,725.1,760.9,0.8,100,Wind blowing from the east-southeast,5,,10,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,22.9,27.1,,,2500 or more  or no clouds.,,,0.3,23.4,No precipitation,12,,,,
02.04.2020 20:00,23.4,724.3,760.1,0.7,100,Wind blowing from the east-southeast,7,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.9,27.1,,,2500 or more  or no clouds.,,,1.0,23.4,,,,,,
02.04.2020 17:00,24.7,723.6,759.4,-1.1,97,Wind blowing from the east,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.9,27.1,,,2500 or more  or no clouds.,,,21.0,24.2,0.7,12,,,,
02.04.2020 14:00,25.2,724.7,760.5,-1.4,91,Wind blowing from the east,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.9,27.1,,,2500 or more  or no clouds.,,,20.0,23.6,0.7,12,,,,
02.04.2020 11:00,24.6,726.1,762.0,1.2,99,Wind blowing from the east-southeast,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.9,,,,2500 or more  or no clouds.,,,14.0,24.4,0.7,12,,,,
02.04.2020 08:00,23.1,724.9,760.7,1.3,100,Wind blowing from the east-southeast,7,,10,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.8,,,,2500 or more  or no clouds.,,,0.2,23.1,0.6,12,,,,
02.04.2020 05:00,23.2,723.6,759.3,-0.4,100,Wind blowing from the east-southeast,3,,,,Fog or ice fog  sky visible  no appreciable change during the preceding hour. ,,,22.6,,,,2500 or more  or no clouds.,,,less than 0.1,23.2,No precipitation,12,,,,
02.04.2020 02:00,23.0,724.0,759.7,-0.5,100,Wind blowing from the east,3,,8,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,28.2,,,2500 or more  or no clouds.,,,0.2,23.0,No precipitation,12,,,,
01.04.2020 23:00,23.2,724.5,760.1,0.9,100,Wind blowing from the east-southeast,4,,8,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,22.5,28.2,,,2500 or more  or no clouds.,,,0.4,23.2,No precipitation,12,,,,
01.04.2020 20:00,23.5,723.6,759.4,1.0,100,Wind blowing from the east-southeast,4,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,28.2,,,2500 or more  or no clouds.,,,5.0,23.5,No precipitation,12,,,,
01.04.2020 17:00,24.9,722.6,758.3,-1.0,93,Wind blowing from the south-east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,28.2,,,2500 or more  or no clouds.,,,30.0,23.7,No precipitation,12,,,,
01.04.2020 14:00,26.0,723.6,759.3,-1.6,89,Wind blowing from the south-east,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,28.2,,,2500 or more  or no clouds.,,,30.0,24.0,No precipitation,12,,,,
01.04.2020 11:00,26.9,725.2,760.9,0.5,75,Wind blowing from the south-east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,27.7,,,2500 or more  or no clouds.,,,30.0,22.1,No precipitation,12,,,,
01.04.2020 08:00,22.9,724.7,760.6,1.9,100,Wind blowing from the south,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,,,,2500 or more  or no clouds.,,,0.4,22.9,No precipitation,12,,,,
01.04.2020 05:00,22.8,722.8,758.6,-0.3,100,Wind blowing from the south-southeast,4,,7,,Fog or ice fog. ,,,22.5,,,,2500 or more  or no clouds.,,,4.6,22.8,No precipitation,12,,,,
01.04.2020 02:00,22.9,723.1,758.8,-0.7,100,Wind blowing from the south,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.8,27.7,,,2500 or more  or no clouds.,,,11.0,22.9,No precipitation,12,,,,
31.03.2020 23:00,23.1,723.8,759.5,1.1,100,Wind blowing from the east,4,,7,,Fog or ice fog. ,,,22.9,27.7,,,2500 or more  or no clouds.,,,3.6,23.1,No precipitation,12,,,,
31.03.2020 20:00,23.6,722.7,758.5,0.9,100,Wind blowing from the east,4,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.9,27.7,,,200-300,,,15.0,23.6,No precipitation,12,,,,
31.03.2020 17:00,24.5,721.8,757.5,-1.2,100,Wind blowing from the south-east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.9,27.7,,,2500 or more  or no clouds.,,,14.0,24.5,No precipitation,12,,,,
31.03.2020 14:00,26.1,723.0,758.6,-1.4,87,Wind blowing from the south-east,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.9,26.8,,,300-600,,,30.0,23.8,No precipitation,12,,,,
31.03.2020 11:00,25.5,724.4,760.1,0.7,95,Wind blowing from the east-southeast,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.9,26.0,,,200-300,,,21.0,24.6,No precipitation,12,,,,
31.03.2020 08:00,23.4,723.7,759.4,1.5,100,Wind blowing from the south-southeast,3,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.9,,,,100-200,,,15.0,23.4,No precipitation,12,,,,
31.03.2020 05:00,23.2,722.2,757.9,-0.2,100,Wind blowing from the south-east,4,,8,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,22.9,,,,2500 or more  or no clouds.,,,0.1,23.2,No precipitation,12,,,,
31.03.2020 02:00,23.0,722.4,758.0,-0.4,100,Wind blowing from the south-southeast,5,,,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,25.9,,,2500 or more  or no clouds.,,,1.8,23.0,No precipitation,12,,,,
30.03.2020 23:00,23.4,722.8,758.5,0.7,100,Wind blowing from the east,3,,8,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,22.7,25.9,,,2500 or more  or no clouds.,,,0.1,23.4,No precipitation,12,,,,
30.03.2020 20:00,23.6,722.1,757.8,0.8,100,Wind blowing from the east-southeast,4,,8,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,25.9,,,2500 or more  or no clouds.,,,0.1,23.6,No precipitation,12,,,,
30.03.2020 17:00,24.1,721.3,757.0,-0.7,100,Wind blowing from the south-southeast,3,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,25.9,,,200-300,,,20.0,24.1,No precipitation,12,,,,
30.03.2020 14:00,25.4,722.0,757.6,-1.7,93,Wind blowing from the south-east,5,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,27.9,,,200-300,,,23.0,24.2,No precipitation,12,,,,
30.03.2020 11:00,24.6,723.7,759.5,0.8,97,Wind blowing from the south-east,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,,,,2500 or more  or no clouds.,,,17.0,24.1,No precipitation,12,,,,
30.03.2020 08:00,23.4,722.9,758.7,1.4,100,Wind blowing from the south-east,5,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.7,,,,2500 or more  or no clouds.,,,15.0,23.4,No precipitation,12,,,,
30.03.2020 05:00,23.1,721.5,757.1,-0.5,100,Wind blowing from the south-east,4,,8,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,22.6,,,,2500 or more  or no clouds.,,,0.1,23.1,No precipitation,12,,,,
30.03.2020 02:00,23.1,722.0,757.6,-0.6,100,Wind blowing from the south-southeast,5,,9,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.6,27.9,,,2500 or more  or no clouds.,,,0.5,23.1,No precipitation,12,,,,
29.03.2020 23:00,23.3,722.6,758.3,1.0,100,Wind blowing from the south-east,4,,9,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,22.6,27.9,,,2500 or more  or no clouds.,,,0.1,23.3,No precipitation,12,,,,
29.03.2020 20:00,23.3,721.6,757.3,0.3,100,Wind blowing from the south-east,4,,9,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.6,27.9,,,2500 or more  or no clouds.,,,0.2,23.3,No precipitation,12,,,,
29.03.2020 17:00,24.6,721.3,757.0,-1.3,96,Wind blowing from the south-southeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.6,27.9,,,2500 or more  or no clouds.,,,30.0,23.9,No precipitation,12,,,,
29.03.2020 14:00,25.5,722.6,758.3,-1.9,92,Wind blowing from the south-east,5,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.6,26.3,,,2500 or more  or no clouds.,,,26.0,24.1,No precipitation,12,,,,
29.03.2020 11:00,24.6,724.5,760.3,0.8,100,Wind blowing from the south-east,5,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.6,26.8,,,2500 or more  or no clouds.,,,20.0,24.6,No precipitation,12,,,,
29.03.2020 08:00,23.2,723.7,759.5,1.0,100,Wind blowing from the east,4,,9,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.4,,,,2500 or more  or no clouds.,,,less than 0.1,23.2,No precipitation,12,,,,
29.03.2020 05:00,22.6,722.7,758.5,-0.4,100,Wind blowing from the east,3,,9,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,21.5,,,,2500 or more  or no clouds.,,,0.1,22.6,No precipitation,12,,,,
29.03.2020 02:00,22.9,723.1,758.8,-0.5,100,Wind blowing from the east-southeast,4,,9,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,26.8,,,2500 or more  or no clouds.,,,0.2,22.9,No precipitation,12,,,,
28.03.2020 23:00,22.9,723.6,759.3,1.5,100,Wind blowing from the east-southeast,3,,9,,Fog or ice fog. ,,,21.5,26.8,,,2500 or more  or no clouds.,,,1.3,22.9,No precipitation,12,,,,
28.03.2020 20:00,22.9,722.1,757.9,0.7,100,Wind blowing from the east-southeast,5,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,26.8,,,2500 or more  or no clouds.,,,20.0,22.9,No precipitation,12,,,,
28.03.2020 17:00,24.0,721.4,757.2,-1.4,98,Wind blowing from the south-east,5,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,26.8,,,2500 or more  or no clouds.,,,21.0,23.7,No precipitation,12,,,,
28.03.2020 14:00,25.8,722.8,758.5,-1.7,84,Wind blowing from the south-east,4,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,26.8,,,300-600,,,30.0,22.9,No precipitation,12,,,,
28.03.2020 11:00,25.9,724.5,760.3,0.8,84,Wind blowing from the east-southeast,3,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,26.8,,,300-600,,,30.0,23.0,No precipitation,12,,,,
28.03.2020 08:00,22.3,723.7,759.6,1.2,100,Wind blowing from the east,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,,,,2500 or more  or no clouds.,,,18.0,22.3,No precipitation,12,,,,
28.03.2020 05:00,21.5,722.5,758.3,-0.7,100,Wind blowing from the east,4,,7,,Cloud development not observed or not observable. ,,,21.5,26.8,,,2500 or more  or no clouds.,,,13.0,21.5,No precipitation,12,,,,
28.03.2020 02:00,21.8,723.2,759.0,-0.4,100,Wind blowing from the east-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.8,26.8,,,2500 or more  or no clouds.,,,16.0,21.8,No precipitation,12,,,,
27.03.2020 23:00,22.7,723.6,759.4,1.1,100,Wind blowing from the east,3,,8,,Mist. ,,,22.3,26.8,,,2500 or more  or no clouds.,,,2.1,22.7,No precipitation,12,,,,
27.03.2020 20:00,22.9,722.5,758.3,0.5,100,Wind blowing from the south-east,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.3,26.8,,,2500 or more  or no clouds.,,,20.0,22.9,No precipitation,12,,,,
