Local time in Xinyang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 02:00,10.1,758.3,768.8,-0.4,94,Wind blowing from the north-northwest,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,15.2,,,2500 or more  or no clouds.,,,2.5,9.2,No precipitation,12,,,,
02.04.2020 23:00,10.5,758.7,769.3,0.4,91,Wind blowing from the north,2,,8,,Mist. ,,,7.8,15.2,,,2500 or more  or no clouds.,,,3.2,9.1,No precipitation,12,,,,
02.04.2020 20:00,11.5,758.3,769.0,2.0,87,Wind blowing from the north,2,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,15.2,,,2500 or more  or no clouds.,,,3.5,9.4,No precipitation,12,,,,
02.04.2020 17:00,13.9,756.3,766.9,-0.5,80,Wind blowing from the north-northeast,4,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,15.2,,,2500 or more  or no clouds.,,,4.7,10.5,No precipitation,12,,,,
02.04.2020 14:00,14.9,756.8,767.3,-2.0,73,Wind blowing from the north-east,3,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,14.9,,,2500 or more  or no clouds.,,,4.9,10.1,No precipitation,12,,,,
02.04.2020 11:00,11.3,758.8,769.4,1.0,80,Wind blowing from the north-northeast,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,11.6,,,2500 or more  or no clouds.,,,6.0,8.0,No precipitation,12,,,,
02.04.2020 08:00,8.2,757.8,768.4,1.0,86,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,11.6,,,2500 or more  or no clouds.,,,11.0,6.0,No precipitation,12,,,,
02.04.2020 05:00,8.3,756.8,767.5,-0.1,94,Wind blowing from the north,3,,6,,Fog or ice fog. ,,,4.2,11.6,,,2500 or more  or no clouds.,,,4.1,7.4,No precipitation,12,,,,
02.04.2020 02:00,9.8,756.9,767.5,-0.4,99,Wind blowing from the north-west,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.6,,,2500 or more  or no clouds.,,,3.3,9.7,No precipitation,12,,,,
01.04.2020 23:00,10.0,757.3,767.9,0.7,97,Wind blowing from the west-northwest,1,,4,,Mist. ,,,,11.6,,,2500 or more  or no clouds.,,,4.8,9.5,No precipitation,12,,,,
01.04.2020 20:00,10.9,756.6,767.2,1.1,91,Wind blowing from the north-northwest,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,11.6,,,2500 or more  or no clouds.,,,7.0,9.5,No precipitation,12,,,,
01.04.2020 17:00,11.2,755.5,766.2,-0.9,89,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,11.2,,,2500 or more  or no clouds.,,,8.0,9.5,No precipitation,12,,,,
01.04.2020 14:00,10.5,756.4,767.0,-0.6,89,Wind blowing from the north,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,10.5,,,2500 or more  or no clouds.,,,8.0,8.8,No precipitation,12,,,,
01.04.2020 11:00,8.8,757.0,767.6,-0.5,97,Wind blowing from the north-east,3,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,10.1,,,2500 or more  or no clouds.,,,7.0,8.4,No precipitation,12,,,,
01.04.2020 08:00,5.3,757.5,768.2,2.3,99,Wind blowing from the north-west,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,10.1,,,2500 or more  or no clouds.,,,5.0,5.2,No precipitation,12,,,,
01.04.2020 05:00,4.9,755.2,765.8,0.4,98,Wind blowing from the west-northwest,1,,4,,Mist. ,,,4.8,10.1,,,2500 or more  or no clouds.,,,5.0,4.6,No precipitation,12,,,,
01.04.2020 02:00,6.7,754.8,765.4,0.2,99,Wind blowing from the east-southeast,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,10.1,,,2500 or more  or no clouds.,,,5.0,6.6,1.0,12,,,,
31.03.2020 23:00,7.6,754.6,765.2,1.3,99,Wind blowing from the east-northeast,1,,,,Mist. ,,,7.5,10.1,,,2500 or more  or no clouds.,,,4.1,7.5,2.0,12,,,,
31.03.2020 20:00,8.6,753.3,763.9,1.6,97,Wind blowing from the west,1,,4,20–30%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,10.1,,,2500 or more  or no clouds.,,,4.2,8.2,2.0,12,,,,
31.03.2020 17:00,9.6,751.7,762.3,-0.9,89,Wind blowing from the south-southeast,2,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,10.1,,,1500-2000,,,11.0,7.9,2.0,12,,,,
31.03.2020 14:00,9.3,752.6,763.2,-1.1,88,Wind blowing from the west-northwest,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,10.0,,,1500-2000,,,9.0,7.4,0.7,12,,,,
31.03.2020 11:00,9.4,753.7,764.2,-0.1,80,Wind blowing from the south-east,1,,2,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,9.4,,,2500 or more  or no clouds.,,,12.0,6.1,No precipitation,12,,,,
31.03.2020 08:00,7.8,753.8,764.5,0.5,90,Wind blowing from the west,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,9.0,,,2500 or more  or no clouds.,,,9.0,6.3,No precipitation,12,,,,
31.03.2020 05:00,7.6,753.3,763.9,-1.0,93,Wind blowing from the west,1,,5,,Cloud development not observed or not observable. ,,,5.6,9.0,,,2500 or more  or no clouds.,,,9.0,6.5,No precipitation,12,,,,
31.03.2020 02:00,7.8,754.3,765.0,-1.2,86,Wind blowing from the north,1,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,9.0,,,2500 or more  or no clouds.,,,13.0,5.6,No precipitation,12,,,,
30.03.2020 23:00,8.3,755.5,766.1,0.8,84,Wind blowing from the west,1,,5,,Cloud development not observed or not observable. ,,,,9.0,,,2500 or more  or no clouds.,,,14.0,5.8,No precipitation,12,,,,
30.03.2020 20:00,8.6,754.7,765.4,1.2,76,Wind blowing from the north-east,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,9.0,,,2500 or more  or no clouds.,,,19.0,4.6,No precipitation,12,,,,
30.03.2020 17:00,8.7,753.5,764.2,-1.1,73,Wind blowing from the east,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,9.0,,,2500 or more  or no clouds.,,,18.0,4.1,No precipitation,12,,,,
30.03.2020 14:00,8.2,754.6,765.3,-1.8,74,Wind blowing from the east,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,8.7,,,2500 or more  or no clouds.,,,21.0,3.8,No precipitation,12,,,,
30.03.2020 11:00,7.6,756.4,767.2,1.1,71,Wind blowing from the east-northeast,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,7.6,,,2500 or more  or no clouds.,,,30.0,2.7,No precipitation,12,,,,
30.03.2020 08:00,6.5,755.3,766.0,0.7,85,Wind blowing from the east-northeast,2,,5,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,7.2,,,1000-1500,,,10.0,4.2,Trace of precipitation,12,,,,
30.03.2020 05:00,5.7,754.6,765.4,-0.8,92,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,,,5.0,7.2,,,2500 or more  or no clouds.,,,8.0,4.5,No precipitation,12,,,,
30.03.2020 02:00,6.1,755.4,766.1,-0.3,94,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,7.2,,,2500 or more  or no clouds.,,,7.0,5.2,0.1,12,,,,
29.03.2020 23:00,6.6,755.7,766.4,0.7,92,Wind blowing from the north-northeast,2,,9,,Cloud development not observed or not observable. ,,,5.0,7.9,,,2500 or more  or no clouds.,,,9.0,5.4,1.0,12,,,,
29.03.2020 20:00,6.9,755.0,765.7,0.6,84,Wind blowing from the north-east,2,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,8.9,,,1000-1500,,,18.0,4.4,3.0,12,,,,
29.03.2020 17:00,7.2,754.4,765.1,-0.6,81,Wind blowing from the east,3,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,10.2,,,300-600,,,23.0,4.2,4.0,12,,,,
29.03.2020 14:00,5.9,755.0,765.7,-1.7,92,Wind blowing from the north-east,5,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,,,,300-600,,,9.0,4.7,6.0,12,,,,
29.03.2020 11:00,5.8,756.7,767.4,0.8,95,Wind blowing from the north-east,3,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,11.2,,,300-600,,,8.0,5.1,9.0,12,,,,
29.03.2020 08:00,5.4,755.9,766.6,0.6,95,Wind blowing from the north-east,2,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,11.2,,,1000-1500,,,10.0,4.7,7.0,12,,,,
29.03.2020 05:00,5.0,755.3,766.0,-1.6,92,Wind blowing from the east-northeast,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,3.9,11.2,,,2500 or more  or no clouds.,,,14.0,3.8,7.0,12,,,,
29.03.2020 02:00,6.0,756.9,767.5,-0.7,91,Wind blowing from the east-northeast,2,,7,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,11.2,,,2500 or more  or no clouds.,,,6.0,4.6,4.0,12,,,,
28.03.2020 23:00,7.9,757.6,768.2,0.5,73,Wind blowing from the north,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,,11.2,,,2500 or more  or no clouds.,,,20.0,3.4,0.1,12,,,,
28.03.2020 20:00,8.9,757.1,767.8,-0.2,59,Wind blowing from the east,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,11.2,,,2500 or more  or no clouds.,,,26.0,1.3,No precipitation,12,,,,
28.03.2020 17:00,10.2,757.3,768.0,-1.2,49,Wind blowing from the east-northeast,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,11.2,,,2500 or more  or no clouds.,,,25.0,0.0,No precipitation,12,,,,
28.03.2020 14:00,10.6,758.5,769.3,-2.8,49,Wind blowing from the east,4,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,11.0,,,2500 or more  or no clouds.,,,24.0,0.3,0.7,12,,,,
28.03.2020 11:00,8.4,761.3,772.2,0.1,68,Wind blowing from the north-east,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,8.9,,,2500 or more  or no clouds.,,,24.0,2.8,7.0,12,,,,
28.03.2020 08:00,4.6,761.2,772.1,0.6,98,Wind blowing from the north-west,1,,10,70 – 80%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Rain.,1.1,8.9,,,2500 or more  or no clouds.,,,8.0,4.3,13.0,12,,,,
28.03.2020 05:00,3.9,760.6,771.4,0.0,98,Wind blowing from the north-northeast,1,,10,,Cloud development not observed or not observable. ,,,1.1,8.9,,,2500 or more  or no clouds.,,,14.0,3.6,14.0,12,,,,
28.03.2020 02:00,1.9,760.6,771.4,-1.0,98,Wind blowing from the north-northwest,1,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,8.9,,,2500 or more  or no clouds.,,,6.0,1.6,13.0,12,,,,
27.03.2020 23:00,2.4,761.6,772.5,1.6,95,Wind blowing from the north,3,,10,,Rain or drizzle and snow  slight. ,,,2.4,8.9,,,2500 or more  or no clouds.,,,8.0,1.7,7.0,12,,,,
27.03.2020 20:00,4.8,760.0,770.8,0.9,89,Wind blowing from the north-northwest,3,,12,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,9.1,,,2500 or more  or no clouds.,,,18.0,3.1,0.9,12,,,,
27.03.2020 17:00,7.4,759.1,769.9,0.3,54,Wind blowing from the north,5,,12,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,,,,2500 or more  or no clouds.,,,30.0,-1.3,No precipitation,12,,,,
27.03.2020 14:00,8.8,758.8,769.5,-1.2,56,Wind blowing from the north-northeast,4,,12,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,,,,2500 or more  or no clouds.,,,30.0,0.3,Trace of precipitation,12,,,,
27.03.2020 11:00,7.9,760.0,770.7,0.9,69,Wind blowing from the north-northeast,5,,12,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,,,,2500 or more  or no clouds.,,,29.0,2.4,1.0,12,,,,
27.03.2020 08:00,6.8,759.1,769.9,1.6,79,Wind blowing from the north-east,4,,14,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,6.8,,,,2500 or more  or no clouds.,,,25.0,3.4,2.0,12,,,,
27.03.2020 05:00,7.2,757.5,768.1,-0.1,75,Wind blowing from the north-northeast,4,,15,,Cloud development not observed or not observable. ,,,7.0,18.1,,,2500 or more  or no clouds.,,,30.0,3.1,2.0,12,,,,
