Local time in Yong'an,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,10.9,740.8,764.2,-0.5,97,Wind blowing from the north-east,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,13.5,,,2500 or more  or no clouds.,,,1.8,10.4,2.0,12,,,,
06.04.2020 14:00,12.3,741.3,764.6,-1.6,88,Wind blowing from the north-northeast,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,14.3,,,2500 or more  or no clouds.,,,5.0,10.4,0.1,12,,,,
06.04.2020 11:00,12.8,742.9,766.3,0.2,87,Wind blowing from the north,1,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,14.3,,,2500 or more  or no clouds.,,,5.0,10.7,No precipitation,12,,,,
06.04.2020 08:00,11.9,742.7,766.0,0.9,92,Wind blowing from the east-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,,,,2500 or more  or no clouds.,,,8.0,10.6,No precipitation,12,,,,
06.04.2020 05:00,11.2,741.8,765.1,-1.3,93,Calm  no wind,0,,,,Mist. ,,,11.1,14.3,,,2500 or more  or no clouds.,,,6.0,10.1,0.1,12,,,,
06.04.2020 02:00,11.2,743.1,766.4,-1.3,95,Wind blowing from the east-northeast,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,14.3,,,2500 or more  or no clouds.,,,6.0,10.4,0.1,12,,,,
05.04.2020 23:00,11.5,744.4,767.8,0.3,92,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,,,11.5,14.3,,,2500 or more  or no clouds.,,,10.0,10.2,0.1,12,,,,
05.04.2020 20:00,12.0,744.1,767.5,1.6,94,Wind blowing from the south-southwest,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,14.3,,,2500 or more  or no clouds.,,,5.0,11.1,1.0,12,,,,
05.04.2020 17:00,13.4,742.5,765.7,-1.5,81,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,14.3,,,2500 or more  or no clouds.,,,7.0,10.2,3.0,12,,,,
05.04.2020 14:00,13.3,744.0,767.3,-1.3,84,Wind blowing from the north-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,,,,2500 or more  or no clouds.,,,9.0,10.7,3.0,12,,,,
05.04.2020 11:00,12.2,745.3,768.7,0.8,82,Wind blowing from the south,1,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,,,,2500 or more  or no clouds.,,,10.0,9.2,3.0,12,,,,
05.04.2020 08:00,11.8,744.5,767.8,1.1,96,Wind blowing from the north-east,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,16.2,,,2500 or more  or no clouds.,,,2.4,11.2,2.0,12,,,,
05.04.2020 05:00,12.6,743.4,766.6,0.2,93,Wind blowing from the north-northeast,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.5,16.2,,,2500 or more  or no clouds.,,,4.8,11.5,0.6,12,,,,
05.04.2020 02:00,13.1,743.2,766.4,-0.8,93,Wind blowing from the north-northeast,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,16.2,,,2500 or more  or no clouds.,,,7.0,12.0,0.5,12,,,,
04.04.2020 23:00,13.4,744.0,767.2,-0.1,96,Wind blowing from the north-northeast,2,,6,,Mist. ,,,13.4,16.2,,,2500 or more  or no clouds.,,,3.9,12.8,0.5,12,,,,
04.04.2020 20:00,13.7,744.1,767.4,1.2,98,Wind blowing from the west-northwest,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,16.2,,,2500 or more  or no clouds.,,,2.1,13.4,0.9,12,,,,
04.04.2020 17:00,14.3,742.9,766.0,0.3,96,Wind blowing from the north-east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,16.2,,,2500 or more  or no clouds.,,,8.0,13.7,0.5,12,,,,
04.04.2020 14:00,16.1,742.6,765.7,-1.2,85,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,16.2,,,2500 or more  or no clouds.,,,16.0,13.6,0.5,12,,,,
04.04.2020 11:00,14.2,743.8,767.0,0.3,96,Wind blowing from the north,2,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,,,,2500 or more  or no clouds.,,,13.0,13.6,0.6,12,,,,
04.04.2020 08:00,14.1,743.5,766.6,1.4,97,Wind blowing from the north,1,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,,,,2500 or more  or no clouds.,,,4.6,13.6,0.1,12,,,,
04.04.2020 05:00,13.9,742.1,765.2,,98,Wind blowing from the east-northeast,1,,9,,Fog or ice fog. ,,,13.1,15.5,,,2500 or more  or no clouds.,,,1.0,13.6,1.0,12,,,,
04.04.2020 02:00,14.1,742.0,765.1,,96,Wind blowing from the east-southeast,0,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,15.5,,,,,,6.0,13.5,0.1,6,,,,
03.04.2020 23:00,14.2,742.2,765.3,0.2,98,Wind blowing from the south-east,1,,,,Mist. ,,,13.1,15.5,,,2500 or more  or no clouds.,,,3.6,13.9,5.0,12,,,,
03.04.2020 20:00,14.2,742.0,765.1,0.8,97,Wind blowing from the north-east,4,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,15.5,,,2500 or more  or no clouds.,,,4.1,13.7,8.0,12,,,,
03.04.2020 17:00,15.2,741.2,764.3,-1.1,97,Wind blowing from the south-southeast,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,15.5,,,2500 or more  or no clouds.,,,2.3,14.7,9.0,12,,,,
03.04.2020 14:00,15.1,742.3,765.4,-0.6,97,Wind blowing from the north-east,2,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,15.5,,,2500 or more  or no clouds.,,,2.3,14.6,10.0,12,,,,
03.04.2020 11:00,15.2,742.9,766.0,0.7,98,Wind blowing from the north,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,15.4,,,2500 or more  or no clouds.,,,3.2,14.9,13.0,12,,,,
03.04.2020 08:00,13.6,742.2,765.4,1.4,99,Wind blowing from the north,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,14.2,,,2500 or more  or no clouds.,,,0.5,13.4,11.0,12,,,,
03.04.2020 05:00,13.1,740.8,764.0,-1.5,98,Wind blowing from the south-west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.0,14.2,,,2500 or more  or no clouds.,,,0.4,12.8,10.0,12,,,,
03.04.2020 02:00,13.3,742.3,765.6,0.0,98,Wind blowing from the north-northeast,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,14.2,,,2500 or more  or no clouds.,,,0.4,13.0,8.0,12,,,,
02.04.2020 23:00,13.5,742.3,765.5,-0.9,98,Wind blowing from the north,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,,14.2,,,2500 or more  or no clouds.,,,1.2,13.2,6.0,12,,,,
02.04.2020 20:00,13.7,743.2,766.5,2.2,98,Wind blowing from the north-east,1,,7,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Rain.,Drizzle.,12.0,14.5,,,2500 or more  or no clouds.,,,0.5,13.4,7.0,12,,,,
02.04.2020 17:00,13.8,741.0,764.2,-0.6,98,Wind blowing from the north-west,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,16.3,,,2500 or more  or no clouds.,,,1.6,13.5,10.0,12,,,,
02.04.2020 14:00,13.5,741.6,764.8,-1.3,97,Wind blowing from the south,1,,7,,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,,,,2500 or more  or no clouds.,,,1.4,13.0,16.0,12,,,,
02.04.2020 11:00,13.5,742.9,766.1,1.6,97,Wind blowing from the north-northeast,3,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,,,,2500 or more  or no clouds.,,,4.8,13.0,17.0,12,,,,
02.04.2020 08:00,12.4,741.3,764.5,0.4,98,Wind blowing from the east,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,17.5,,,2500 or more  or no clouds.,,,1.9,12.1,16.0,12,,,,
02.04.2020 05:00,12.0,740.9,764.0,-0.4,97,Wind blowing from the north,2,,7,,Rain  not freezing  intermittent  moderate at time of observation. ,,,10.5,17.5,,,2500 or more  or no clouds.,,,1.9,11.5,13.0,12,,,,
02.04.2020 02:00,12.5,741.3,764.5,-0.2,98,Wind blowing from the east,1,,6,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,17.5,,,2500 or more  or no clouds.,,,1.0,12.2,4.0,12,,,,
01.04.2020 23:00,13.1,741.5,764.8,0.5,88,Wind blowing from the east-northeast,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.5,17.5,,,2500 or more  or no clouds.,,,7.0,11.2,0.5,12,,,,
01.04.2020 20:00,14.3,741.0,764.2,1.3,76,Wind blowing from the north-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,17.5,,,2500 or more  or no clouds.,,,18.0,10.1,No precipitation,12,,,,
01.04.2020 17:00,16.3,739.7,762.9,-1.3,68,Wind blowing from the south-west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,17.5,,,2500 or more  or no clouds.,,,14.0,10.4,No precipitation,12,,,,
01.04.2020 14:00,15.7,741.0,764.2,-2.1,66,Wind blowing from the east-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,15.8,,,2500 or more  or no clouds.,,,11.0,9.4,No precipitation,12,,,,
01.04.2020 11:00,12.4,743.1,766.5,0.2,80,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,14.1,,,2500 or more  or no clouds.,,,12.0,9.1,No precipitation,12,,,,
01.04.2020 08:00,10.9,742.9,766.3,1.6,90,Wind blowing from the east-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,,,,2500 or more  or no clouds.,,,11.0,9.3,0.3,12,,,,
01.04.2020 05:00,10.7,741.3,764.6,0.5,92,Wind blowing from the north-east,2,,10,,Cloud development not observed or not observable. ,,,10.7,14.1,,,2500 or more  or no clouds.,,,14.0,9.5,0.4,12,,,,
01.04.2020 02:00,11.0,740.8,764.1,-0.2,90,Wind blowing from the north-east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,14.1,,,2500 or more  or no clouds.,,,12.0,9.4,0.5,12,,,,
31.03.2020 23:00,11.1,741.0,764.2,0.8,96,Wind blowing from the north-northeast,2,,10,,Mist. ,,,10.8,14.1,,,2500 or more  or no clouds.,,,5.0,10.5,0.5,12,,,,
31.03.2020 20:00,11.6,740.2,763.5,2.4,90,Wind blowing from the north-northeast,2,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,14.1,,,300-600,,,22.0,10.0,0.2,12,,,,
31.03.2020 17:00,12.9,737.8,760.9,0.7,96,Wind blowing from the north-northeast,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,14.1,,,300-600,,,3.5,12.3,0.1,12,,,,
31.03.2020 14:00,13.5,737.1,760.3,-1.5,91,Wind blowing from the north-east,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,14.1,,,300-600,,,7.0,12.1,2.0,12,,,,
31.03.2020 11:00,13.5,738.6,761.8,-0.7,88,Wind blowing from the south-southeast,1,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,13.5,,,300-600,,,4.1,11.6,2.0,12,,,,
31.03.2020 08:00,11.2,739.3,762.7,-0.1,98,Wind blowing from the north-east,1,,4,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,,,,300-600,,,2.5,10.9,2.0,12,,,,
31.03.2020 05:00,10.9,739.4,762.7,-0.2,98,Wind blowing from the south,1,,4,,Rain (not freezing) not falling as shower(s). ,,,10.8,,,,2500 or more  or no clouds.,,,2.7,10.6,2.0,12,,,,
31.03.2020 02:00,10.8,739.6,763.0,-0.2,97,Wind blowing from the north-northeast,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,12.1,,,2500 or more  or no clouds.,,,2.5,10.3,1.0,12,,,,
30.03.2020 23:00,10.9,739.8,763.1,0.4,97,Wind blowing from the north-northeast,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.6,12.1,,,2500 or more  or no clouds.,,,4.0,10.4,4.0,12,,,,
30.03.2020 20:00,10.9,739.4,762.7,0.6,97,Wind blowing from the east,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,12.1,,,300-600,,,2.5,10.4,5.0,12,,,,
30.03.2020 17:00,11.2,738.8,762.1,-0.3,97,Wind blowing from the north-northeast,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,12.7,,,300-600,,,3.7,10.7,5.0,12,,,,
30.03.2020 14:00,11.7,739.1,762.4,-1.1,97,Wind blowing from the north,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,,,,300-600,,,3.8,11.2,5.0,12,,,,
30.03.2020 11:00,11.8,740.2,763.5,0.1,96,Wind blowing from the north-northeast,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,,,,600-1000,,,5.0,11.2,3.0,12,,,,
30.03.2020 08:00,11.1,740.1,763.4,1.2,98,Wind blowing from the north-northeast,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,10.6,,,,300-600,,,3.7,10.8,4.0,12,,,,
30.03.2020 05:00,10.8,738.9,762.1,-0.6,98,Wind blowing from the south-southeast,1,,6,,Mist. ,,,10.5,,,,2500 or more  or no clouds.,,,4.3,10.5,5.0,12,,,,
30.03.2020 02:00,10.7,739.5,762.7,0.2,98,Wind blowing from the north-east,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,17.0,,,2500 or more  or no clouds.,,,0.9,10.4,5.0,12,,,,
29.03.2020 23:00,10.9,739.3,762.4,0.6,97,Wind blowing from the north-northeast,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.5,17.0,,,2500 or more  or no clouds.,,,3.5,10.4,3.0,12,,,,
29.03.2020 20:00,12.0,738.7,762.0,0.9,97,Wind blowing from the north-northeast,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,17.0,,,300-600,,,2.4,11.5,2.0,12,,,,
29.03.2020 17:00,12.7,737.8,761.0,0.2,96,Wind blowing from the north-northeast,2,,5,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,17.0,,,300-600,,,4.2,12.1,1.0,12,,,,
29.03.2020 14:00,15.5,737.6,760.7,-1.4,75,Wind blowing from the north-northeast,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,17.0,,,1000-1500,,,13.0,11.1,No precipitation,12,,,,
29.03.2020 11:00,16.6,739.0,762.0,-1.0,68,Wind blowing from the north-northwest,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,16.9,,,2500 or more  or no clouds.,,,10.0,10.7,No precipitation,12,,,,
29.03.2020 08:00,11.9,740.0,763.3,0.7,88,Wind blowing from the north-east,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,14.3,,,300-600,,,7.0,10.0,No precipitation,12,,,,
29.03.2020 05:00,10.8,739.3,762.5,-1.9,93,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,,,10.8,,,,2500 or more  or no clouds.,,,11.0,9.7,No precipitation,12,,,,
29.03.2020 02:00,11.5,741.2,764.5,-1.1,90,Wind blowing from the north-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,18.4,,,2500 or more  or no clouds.,,,12.0,9.9,No precipitation,12,,,,
28.03.2020 23:00,11.9,742.3,765.6,0.9,79,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,,,11.7,,,,2500 or more  or no clouds.,,,16.0,8.4,No precipitation,12,,,,
28.03.2020 20:00,12.5,741.4,764.7,0.7,71,Wind blowing from the north-northeast,2,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,,,,1000-1500,,,22.0,7.4,No precipitation,12,,,,
28.03.2020 17:00,13.1,740.7,763.7,-0.6,74,Wind blowing from the north-east,2,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,21.7,,,1000-1500,,,24.0,8.6,0.3,12,,,,
28.03.2020 14:00,14.3,741.3,764.2,-1.9,74,Wind blowing from the east-northeast,3,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,22.1,,,2500 or more  or no clouds.,,,27.0,9.7,0.8,12,,,,
28.03.2020 11:00,12.9,743.2,766.2,1.5,76,Wind blowing from the west-northwest,3,,13,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,22.1,,,300-600,,,30.0,8.8,4.0,12,,,,
28.03.2020 08:00,13.5,741.7,764.6,4.5,76,Wind blowing from the north-northwest,6,,11,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,22.1,,,600-1000,,,30.0,9.4,6.0,12,,,,
28.03.2020 05:00,18.2,737.2,759.7,-0.8,97,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,,,17.0,22.1,,,2500 or more  or no clouds.,,,6.0,17.7,14.0,12,,,,
28.03.2020 02:00,18.4,738.0,760.6,-0.8,97,Wind blowing from the south,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.5,22.1,,,2500 or more  or no clouds.,,,7.0,17.9,13.0,12,,,,
27.03.2020 23:00,18.8,738.8,761.5,0.6,97,Wind blowing from the south,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,16.5,22.1,,,2500 or more  or no clouds.,,,5.0,18.3,11.0,12,,,,
27.03.2020 20:00,19.4,738.2,760.9,1.8,97,Wind blowing from the east-northeast,4,,7,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.5,22.1,,,300-600,,,0.9,18.9,8.0,12,,,,
27.03.2020 17:00,21.7,736.4,759.0,-1.1,83,Wind blowing from the south,0,,4,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.5,23.0,,,300-600,,,6.0,18.7,0.3,12,,,,
27.03.2020 14:00,20.0,737.5,760.2,-1.8,93,Wind blowing from the north-northeast,1,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Fog or ice fog or thick haze.,16.5,,,,300-600,,,3.9,18.8,0.3,12,,,,
27.03.2020 11:00,19.7,739.3,762.0,0.6,89,Wind blowing from the east-northeast,1,,3,100%.,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.5,,,,300-600,,,2.6,17.8,No precipitation,12,,,,
27.03.2020 08:00,17.2,738.7,761.4,0.9,98,Calm  no wind,0,,,100%.,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.5,,,,300-600,,,0.3,16.9,No precipitation,12,,,,
27.03.2020 05:00,17.1,737.8,760.3,-0.4,98,Wind blowing from the east-northeast,2,,5,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,16.5,27.8,,,2500 or more  or no clouds.,,,0.5,16.8,No precipitation,12,,,,
