Local time in Tailai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 08:00,2.6,757.3,770.5,-0.1,16,Wind blowing from the west,3,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,7.2,,,2500 or more  or no clouds.,,,4.6,-20.7,No precipitation,12,,,,
05.04.2020 05:00,-8.8,757.4,770.8,-0.8,51,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,-9.1,7.2,,,2500 or more  or no clouds.,,,9.0,-17.1,No precipitation,12,,,,
05.04.2020 02:00,-7.2,758.2,771.6,,49,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,7.2,,,2500 or more  or no clouds.,,,9.0,-16.3,No precipitation,12,,,,
04.04.2020 20:00,-2.0,757.9,771.3,0.3,22,Wind blowing from the south-southeast,2,,17,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,7.2,,,2500 or more  or no clouds.,,,5.0,-20.9,No precipitation,12,,,,
04.04.2020 17:00,6.6,757.6,770.8,-0.9,10,Wind blowing from the north-northeast,5,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,7.2,,,2500 or more  or no clouds.,,,30.0,-22.9,No precipitation,12,,,,
04.04.2020 14:00,5.7,758.5,771.7,-0.9,10,Wind blowing from the north,8,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,6.1,,,2500 or more  or no clouds.,,,15.0,-23.6,No precipitation,12,,,,
04.04.2020 11:00,3.3,759.4,772.8,-0.3,16,Wind blowing from the north,8,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,6.0,,,2500 or more  or no clouds.,,,9.0,-20.1,No precipitation,12,,,,
04.04.2020 08:00,0.7,759.7,773.1,0.6,22,Wind blowing from the north,8,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,,,,2500 or more  or no clouds.,,,18.0,-18.6,No precipitation,12,,,,
04.04.2020 05:00,-4.6,759.1,772.4,0.6,33,Wind blowing from the north-northwest,4,,15,,Cloud development not observed or not observable. ,,,-6.1,13.1,,,2500 or more  or no clouds.,,,30.0,-18.4,No precipitation,12,,,,
04.04.2020 02:00,-3.1,758.5,771.7,,28,Wind blowing from the north,3,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,13.1,,,2500 or more  or no clouds.,,,9.0,-19.0,No precipitation,12,,,,
03.04.2020 20:00,0.1,755.2,768.3,3.6,25,Wind blowing from the north,4,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,13.1,,,2500 or more  or no clouds.,,,30.0,-17.6,No precipitation,12,,,,
03.04.2020 17:00,4.4,751.6,764.6,2.2,21,Wind blowing from the north-northeast,9,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,13.1,,,2500 or more  or no clouds.,,,21.0,-16.0,No precipitation,12,,,,
03.04.2020 14:00,4.7,749.4,762.4,2.2,27,Wind blowing from the north-northeast,12,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,13.1,,,2500 or more  or no clouds.,,,8.0,-12.7,No precipitation,12,,,,
03.04.2020 11:00,4.9,747.2,760.2,3.2,46,Wind blowing from the north-northeast,13,,21,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,14.9,,,2500 or more  or no clouds.,,,1.6,-6.0,No precipitation,12,,,,
03.04.2020 08:00,9.0,744.0,756.8,-0.7,27,Wind blowing from the north-west,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,14.9,,,2500 or more  or no clouds.,,,24.0,-9.0,No precipitation,12,,,,
03.04.2020 05:00,4.7,744.7,757.4,-3.1,35,Wind blowing from the south-west,6,,8,,Cloud development not observed or not observable. ,,,-0.6,14.9,,,2500 or more  or no clouds.,,,8.0,-9.5,No precipitation,12,,,,
03.04.2020 02:00,2.2,747.8,760.6,,53,Wind blowing from the south-west,2,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,14.9,,,2500 or more  or no clouds.,,,1.2,-6.6,No precipitation,12,,,,
02.04.2020 20:00,1.8,750.7,763.6,1.1,43,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,14.9,,,2500 or more  or no clouds.,,,30.0,-9.7,,,,,,
02.04.2020 17:00,11.1,749.6,762.5,-0.1,25,Wind blowing from the south-east,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,15.3,,,2500 or more  or no clouds.,,,30.0,-8.2,,,,,,
02.04.2020 14:00,13.0,749.7,762.4,0.2,22,Wind blowing from the east-northeast,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,16.3,,,2500 or more  or no clouds.,,,30.0,-8.2,No precipitation,12,,,,
02.04.2020 11:00,13.2,749.5,762.2,1.5,20,Wind blowing from the north-northeast,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,16.3,,,2500 or more  or no clouds.,,,27.0,-9.3,No precipitation,12,,,,
02.04.2020 08:00,10.9,748.0,760.6,2.2,22,Wind blowing from the north-northwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,16.3,,,2500 or more  or no clouds.,,,15.0,-10.0,No precipitation,12,,,,
02.04.2020 05:00,1.7,745.8,758.5,0.4,33,Wind blowing from the west-northwest,3,,9,,Cloud development not observed or not observable. ,,,-1.7,16.3,,,2500 or more  or no clouds.,,,23.0,-12.9,No precipitation,12,,,,
02.04.2020 02:00,4.5,745.4,758.1,,27,Wind blowing from the west,5,,11,, ,,,-2.3,16.3,,,,,,13.0,-12.9,No precipitation,6,,,,
01.04.2020 20:00,9.0,746.7,759.5,1.1,18,Wind blowing from the west,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,16.3,,,2500 or more  or no clouds.,,,22.0,-14.1,No precipitation,12,,,,
01.04.2020 17:00,15.4,745.6,758.3,-1.6,12,Wind blowing from the west-northwest,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,16.3,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
01.04.2020 14:00,15.4,747.2,760.0,-2.8,12,Wind blowing from the west,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,15.4,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
01.04.2020 11:00,12.5,750.0,762.9,-1.6,14,Wind blowing from the west,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,12.7,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
01.04.2020 08:00,4.0,751.6,764.7,-0.4,25,Wind blowing from the west,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,10.7,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
01.04.2020 05:00,-1.6,752.0,765.1,-0.4,30,Wind blowing from the west,4,,8,,Cloud development not observed or not observable. ,,,-2.6,10.7,,,2500 or more  or no clouds.,,,18.0,-16.9,No precipitation,12,,,,
01.04.2020 02:00,-2.1,752.4,765.4,,29,Wind blowing from the west-northwest,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,10.7,,,2500 or more  or no clouds.,,,8.0,-17.8,No precipitation,12,,,,
31.03.2020 20:00,2.6,752.1,765.1,,20,Wind blowing from the north-west,3,,14,no clouds, ,,,2.6,10.7,,,,,,12.0,-18.1,No precipitation,6,,,,
31.03.2020 17:00,8.7,750.1,763.0,0.3,12,Wind blowing from the north-northwest,5,,14,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,16.9,,,1000-1500,,,30.0,-19.1,No precipitation,12,,,,
31.03.2020 14:00,10.0,749.8,762.6,-0.2,11,Wind blowing from the north-northwest,7,,14,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,18.6,,,1000-1500,,,30.0,-19.1,No precipitation,12,,,,
31.03.2020 11:00,9.6,750.0,762.7,0.8,13,Wind blowing from the north-west,8,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,,,,,,,30.0,-17.5,No precipitation,12,,,,
31.03.2020 08:00,6.9,749.2,762.1,1.6,21,Wind blowing from the north-northwest,7,,15,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,,,,2500 or more  or no clouds.,,,26.0,-13.9,No precipitation,12,,,,
31.03.2020 05:00,4.4,747.6,760.3,1.1,26,Wind blowing from the north-northwest,5,,15,,Cloud development not observed or not observable. ,,,-4.9,18.6,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
31.03.2020 02:00,5.6,746.5,759.1,,25,Wind blowing from the north,6,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.6,,,2500 or more  or no clouds.,,,24.0,-12.9,No precipitation,12,,,,
30.03.2020 20:00,9.1,742.9,755.6,,33,Wind blowing from the north-east,3,,7,90  or more  but not 100%, ,,,,18.6,,,2500 or more  or no clouds.,,,9.0,-6.3,No precipitation,6,,,,
30.03.2020 17:00,16.9,742.0,754.7,-1.1,13,Wind blowing from the west-southwest,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,18.6,,,2500 or more  or no clouds.,,,12.0,-11.7,No precipitation,12,,,,
30.03.2020 14:00,16.3,743.1,755.8,-1.3,18,Wind blowing from the south-west,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,18.1,,,2500 or more  or no clouds.,,,9.0,-8.1,No precipitation,12,,,,
30.03.2020 11:00,12.9,744.4,757.1,-1.0,24,Wind blowing from the south,4,,6,50%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,,,,2500 or more  or no clouds.,,,7.0,-7.2,No precipitation,12,,,,
30.03.2020 08:00,4.0,745.4,758.2,0.7,34,Wind blowing from the south-southwest,1,,4,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,,,,,,,3.0,-10.4,No precipitation,12,,,,
30.03.2020 05:00,-3.8,744.7,757.4,-0.1,47,Wind blowing from the south,1,,11,,Cloud development not observed or not observable. ,,,-4.3,18.1,,,2500 or more  or no clouds.,,,13.0,-13.5,No precipitation,12,,,,
30.03.2020 02:00,-2.9,744.8,757.6,,44,Calm  no wind,0,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,18.1,,,2500 or more  or no clouds.,,,8.0,-13.7,No precipitation,12,,,,
29.03.2020 20:00,9.1,742.6,755.4,1.8,20,Wind blowing from the south-west,3,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.1,,,,,,19.0,-12.7,No precipitation,12,,,,
29.03.2020 17:00,16.9,740.8,753.5,-1.1,9,Wind blowing from the west-southwest,8,,15,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,18.1,,,2500 or more  or no clouds.,,,27.0,-16.2,No precipitation,12,,,,
29.03.2020 14:00,17.7,741.9,754.6,-2.6,6,Wind blowing from the west-southwest,8,,15,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,17.7,,,2500 or more  or no clouds.,,,16.0,-20.4,No precipitation,12,,,,
29.03.2020 11:00,14.1,744.5,757.3,-1.7,10,Wind blowing from the west-southwest,8,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,14.2,,,,,,28.0,-17.1,No precipitation,12,,,,
29.03.2020 08:00,2.6,746.2,759.2,-0.9,32,Wind blowing from the south,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,9.8,,,,,,9.0,-12.4,No precipitation,12,,,,
29.03.2020 05:00,-1.4,747.1,760.0,-0.6,34,Wind blowing from the south-southwest,3,,,,Haze. ,,,-7.2,9.8,,,2500 or more  or no clouds.,,,6.0,-15.2,No precipitation,12,,,,
29.03.2020 02:00,-0.2,747.7,760.6,,35,Wind blowing from the south-west,3,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,9.8,,,2500 or more  or no clouds.,,,1.7,-13.8,No precipitation,12,,,,
28.03.2020 20:00,3.3,747.7,760.8,0.7,31,Wind blowing from the south-west,2,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,9.8,,,,,,17.0,-12.2,No precipitation,12,,,,
28.03.2020 17:00,9.7,747.0,760.0,-1.7,14,Wind blowing from the west,4,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,9.8,,,,,,30.0,-16.5,No precipitation,12,,,,
28.03.2020 14:00,8.4,748.7,761.8,,14,Wind blowing from the west,6,,12,no clouds, ,,,-7.4,8.5,,,,,,30.0,-17.6,No precipitation,6,,,,
28.03.2020 11:00,4.6,751.1,764.3,-1.4,16,Wind blowing from the west,6,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,4.8,,,,,,30.0,-19.1,No precipitation,12,,,,
28.03.2020 08:00,-1.4,752.5,765.8,0.6,31,Wind blowing from the west,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,2.3,,,,,,20.0,-16.3,No precipitation,12,,,,
28.03.2020 05:00,-7.1,751.9,765.3,-0.3,38,Wind blowing from the west,4,,12,,Cloud development not observed or not observable. ,,,-7.4,2.3,,,2500 or more  or no clouds.,,,30.0,-19.0,No precipitation,12,,,,
28.03.2020 02:00,-7.1,752.2,765.5,,37,Wind blowing from the west,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,2.3,,,2500 or more  or no clouds.,,,15.0,-19.3,No precipitation,12,,,,
27.03.2020 20:00,-4.2,751.9,765.3,1.6,30,Wind blowing from the north-west,3,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,2.3,,,,,,22.0,-19.2,No precipitation,12,,,,
27.03.2020 17:00,0.6,750.3,763.6,0.6,20,Wind blowing from the north-west,6,,16,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,2.3,,,1500-2000,,,30.0,-19.8,No precipitation,12,,,,
27.03.2020 14:00,1.7,749.7,763.0,-0.8,18,Wind blowing from the west-northwest,7,,16,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,4.4,,,1500-2000,,,28.0,-20.1,No precipitation,12,,,,
27.03.2020 11:00,0.5,750.5,763.8,-0.7,18,Wind blowing from the north-west,9,,16,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,4.4,,,1500-2000,,,15.0,-21.1,No precipitation,12,,,,
27.03.2020 08:00,-1.8,751.2,764.5,-0.4,30,Wind blowing from the west-northwest,5,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,4.4,,,,,,20.0,-17.1,No precipitation,12,,,,
27.03.2020 05:00,-7.1,751.6,765.0,-0.6,35,Wind blowing from the west,3,,12,,Cloud development not observed or not observable. ,,,-7.8,5.4,,,2500 or more  or no clouds.,,,30.0,-20.0,No precipitation,12,,,,
27.03.2020 02:00,-5.4,752.2,765.5,,31,Wind blowing from the west-southwest,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,6.3,,,2500 or more  or no clouds.,,,30.0,-19.9,No precipitation,12,,,,
26.03.2020 20:00,-2.4,752.2,765.4,2.5,23,Wind blowing from the west-northwest,4,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,15.8,,,,,,29.0,-20.7,No precipitation,12,,,,
26.03.2020 17:00,2.1,749.7,762.7,,13,Wind blowing from the west,8,,15,no clouds, ,,,2.1,,,,,,,30.0,-23.5,No precipitation,6,,,,
26.03.2020 14:00,4.1,748.9,761.8,-0.8,11,Wind blowing from the west,9,,18,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,,,,,,,17.0,-23.8,No precipitation,12,,,,
26.03.2020 11:00,3.6,749.7,762.5,,16,Wind blowing from the west,8,,18,no clouds, ,,,3.0,,,,,,,30.0,-19.9,No precipitation,6,,,,
26.03.2020 08:00,3.2,749.1,761.8,2.6,15,Wind blowing from the west-northwest,7,,18,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,19.3,,,1500-2000,,,30.0,-21.0,No precipitation,12,,,,
26.03.2020 05:00,5.2,746.5,759.1,,28,Wind blowing from the west-northwest,3,,18,, ,,,1.8,19.3,,,,,,30.0,-11.8,No precipitation,6,,,,
26.03.2020 02:00,4.5,746.1,758.7,,63,Wind blowing from the north-west,10,,17,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,19.3,,,2500 or more  or no clouds.,,,9.0,-2.1,No precipitation,12,,,,
25.03.2020 20:00,15.9,740.4,752.9,,48,Wind blowing from the west-southwest,7,,,90  or more  but not 100%, ,,,1.8,19.3,,,,,,10.0,4.9,No precipitation,6,,,,
25.03.2020 17:00,17.5,738.7,751.2,,35,Wind blowing from the south,5,,10,90  or more  but not 100%, ,,,1.8,19.3,,,,,,8.0,1.9,No precipitation,6,,,,
