Local time in Xingtai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 02:00,7.7,754.6,771.4,-0.2,64,Wind blowing from the west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,16.5,,,2500 or more  or no clouds.,,,19.0,1.3,No precipitation,12,,,,
04.04.2020 23:00,10.2,754.8,771.6,0.3,48,Wind blowing from the west,1,,14,,Cloud development not observed or not observable. ,,,10.1,16.5,,,2500 or more  or no clouds.,,,18.0,-0.3,No precipitation,12,,,,
04.04.2020 20:00,12.4,754.5,771.1,0.4,36,Wind blowing from the east-northeast,1,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,17.9,,,2500 or more  or no clouds.,,,19.0,-2.2,No precipitation,12,,,,
04.04.2020 17:00,14.9,754.1,770.8,-1.2,34,Wind blowing from the east,3,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,,,,2500 or more  or no clouds.,,,17.0,-0.8,No precipitation,12,,,,
04.04.2020 14:00,15.5,755.3,772.0,-0.8,37,Wind blowing from the east-northeast,5,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,,,,2500 or more  or no clouds.,,,11.0,0.9,No precipitation,12,,,,
04.04.2020 11:00,13.3,756.1,772.9,2.6,43,Wind blowing from the north-east,9,,18,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,,,,2500 or more  or no clouds.,,,7.0,1.0,No precipitation,12,,,,
04.04.2020 08:00,15.7,753.5,770.0,3.2,21,Wind blowing from the north,11,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,22.3,,,2500 or more  or no clouds.,,,26.0,-6.6,No precipitation,12,,,,
04.04.2020 05:00,13.6,750.3,766.7,1.1,25,Wind blowing from the west-northwest,3,,9,,Cloud development not observed or not observable. ,,,9.9,22.3,,,2500 or more  or no clouds.,,,30.0,-6.0,No precipitation,12,,,,
04.04.2020 02:00,13.3,749.2,765.6,-0.8,30,Wind blowing from the west-northwest,6,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,22.3,,,2500 or more  or no clouds.,,,30.0,-3.9,No precipitation,12,,,,
03.04.2020 23:00,14.3,750.0,766.3,0.5,33,Wind blowing from the west-northwest,3,,9,,Cloud development not observed or not observable. ,,,9.1,22.3,,,2500 or more  or no clouds.,,,21.0,-1.7,No precipitation,12,,,,
03.04.2020 20:00,17.9,749.5,766.0,0.9,19,Wind blowing from the south,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,22.3,,,2500 or more  or no clouds.,,,30.0,-6.0,No precipitation,12,,,,
03.04.2020 17:00,21.2,748.6,765.0,-0.9,14,Wind blowing from the south-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,22.3,,,2500 or more  or no clouds.,,,30.0,-7.3,No precipitation,12,,,,
03.04.2020 14:00,20.9,749.5,766.0,-1.8,16,Wind blowing from the east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,22.3,,,2500 or more  or no clouds.,,,30.0,-5.8,No precipitation,12,,,,
03.04.2020 11:00,21.2,751.3,767.8,0.0,12,Wind blowing from the east-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,21.3,,,2500 or more  or no clouds.,,,30.0,-9.3,No precipitation,12,,,,
03.04.2020 08:00,13.5,751.3,768.0,0.9,25,Wind blowing from the west-northwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,16.4,,,2500 or more  or no clouds.,,,29.0,-6.1,No precipitation,12,,,,
03.04.2020 05:00,10.1,750.4,767.0,-0.6,42,Wind blowing from the west-northwest,5,,8,,Cloud development not observed or not observable. ,,,4.8,16.4,,,2500 or more  or no clouds.,,,23.0,-2.2,No precipitation,12,,,,
03.04.2020 02:00,10.2,751.0,767.6,-0.7,57,Wind blowing from the west-northwest,6,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,16.4,,,2500 or more  or no clouds.,,,13.0,2.1,No precipitation,12,,,,
02.04.2020 23:00,10.3,751.7,768.5,0.4,62,Wind blowing from the west-northwest,2,,7,,Cloud development not observed or not observable. ,,,4.8,16.4,,,2500 or more  or no clouds.,,,10.0,3.3,No precipitation,12,,,,
02.04.2020 20:00,13.1,751.3,768.2,0.4,49,Wind blowing from the south,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,16.4,,,2500 or more  or no clouds.,,,13.0,2.6,No precipitation,12,,,,
02.04.2020 17:00,15.5,750.9,767.7,-0.8,41,Wind blowing from the east-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,16.4,,,2500 or more  or no clouds.,,,16.0,2.3,No precipitation,12,,,,
02.04.2020 14:00,15.0,751.7,768.5,-1.7,41,Wind blowing from the east,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,15.5,,,2500 or more  or no clouds.,,,16.0,1.9,No precipitation,12,,,,
02.04.2020 11:00,12.4,753.4,770.3,0.8,61,Wind blowing from the south-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,12.7,,,2500 or more  or no clouds.,,,11.0,5.1,0.4,12,,,,
02.04.2020 08:00,6.3,752.6,769.6,0.7,99,Wind blowing from the west-southwest,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,10.4,,,2500 or more  or no clouds.,,,3.9,6.2,1.0,12,,,,
02.04.2020 05:00,5.5,751.9,768.9,-0.3,99,Wind blowing from the east-southeast,1,,,,Mist. ,,,5.5,10.4,,,2500 or more  or no clouds.,,,3.0,5.4,1.0,12,,,,
02.04.2020 02:00,5.8,752.2,769.3,-1.1,99,Wind blowing from the south,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,11.2,,,2500 or more  or no clouds.,,,4.7,5.7,1.0,12,,,,
01.04.2020 23:00,5.9,753.3,770.3,0.4,94,Wind blowing from the west-southwest,2,,10,,Rain  not freezing  intermittent  slight at time of observation. ,,,5.9,11.9,,,2500 or more  or no clouds.,,,7.0,5.0,0.6,12,,,,
01.04.2020 20:00,9.1,752.9,769.9,0.6,47,Wind blowing from the west-southwest,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,13.2,,,2500 or more  or no clouds.,,,21.0,-1.6,,,,,,
01.04.2020 17:00,10.0,752.3,769.2,-1.0,49,Wind blowing from the east,1,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,,,,2500 or more  or no clouds.,,,15.0,-0.2,4.0,12,,,,
01.04.2020 14:00,9.8,753.3,770.2,-1.9,62,Wind blowing from the north,4,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,16.6,,,2500 or more  or no clouds.,,,11.0,2.9,5.0,12,,,,
01.04.2020 11:00,8.5,755.2,772.1,1.5,70,Wind blowing from the north-northwest,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,16.6,,,2500 or more  or no clouds.,,,20.0,3.3,5.0,12,,,,
01.04.2020 08:00,7.1,753.7,770.6,2.8,99,Wind blowing from the north,12,,16,,Rain or drizzle and snow  slight. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,16.6,,,2500 or more  or no clouds.,,,3.4,7.0,4.0,12,,,,
01.04.2020 05:00,9.8,750.9,767.5,1.1,99,Wind blowing from the north,8,,13,,Rain  not freezing  intermittent  slight at time of observation. ,,,7.2,16.6,,,2500 or more  or no clouds.,,,1.5,9.7,1.0,12,,,,
01.04.2020 02:00,11.2,749.8,766.3,0.7,83,Wind blowing from the north,1,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,16.6,,,2500 or more  or no clouds.,,,5.0,8.4,No precipitation,12,,,,
31.03.2020 23:00,12.0,749.1,765.7,2.4,78,Wind blowing from the north,2,,10,,Mist. ,,,7.2,16.6,,,2500 or more  or no clouds.,,,5.0,8.3,No precipitation,12,,,,
31.03.2020 20:00,13.3,746.7,763.4,3.0,71,Wind blowing from the east-northeast,3,,10,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,16.6,,,2500 or more  or no clouds.,,,5.0,8.0,No precipitation,12,,,,
31.03.2020 17:00,16.1,743.7,760.3,0.1,53,Wind blowing from the south-east,4,,10,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,16.6,,,2500 or more  or no clouds.,,,6.0,6.5,No precipitation,12,,,,
31.03.2020 14:00,15.9,743.6,760.1,-1.6,51,Wind blowing from the south-east,6,,10,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,17.9,,,2500 or more  or no clouds.,,,6.0,5.8,No precipitation,12,,,,
31.03.2020 11:00,13.1,745.2,761.8,-0.1,62,Wind blowing from the south-southeast,4,,,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,17.9,,,2500 or more  or no clouds.,,,6.0,6.0,No precipitation,12,,,,
31.03.2020 08:00,8.1,745.3,762.0,0.8,88,Wind blowing from the south-southeast,3,,9,90  or more  but not 100%,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,17.9,,,2500 or more  or no clouds.,,,5.0,6.2,Trace of precipitation,12,,,,
31.03.2020 05:00,7.8,744.5,761.1,-1.7,86,Wind blowing from the south-southeast,4,,10,,Mist. ,,,4.4,17.9,,,2500 or more  or no clouds.,,,6.0,5.6,No precipitation,12,,,,
31.03.2020 02:00,8.8,746.2,762.7,-0.2,80,Wind blowing from the south,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,17.9,,,2500 or more  or no clouds.,,,7.0,5.5,No precipitation,12,,,,
30.03.2020 23:00,10.6,746.4,763.0,0.2,70,Wind blowing from the south,5,,12,,Rain  not freezing  intermittent  slight at time of observation. ,,,3.5,17.9,,,2500 or more  or no clouds.,,,10.0,5.4,No precipitation,12,,,,
30.03.2020 20:00,12.6,746.2,762.9,1.5,58,Wind blowing from the south-southeast,5,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,17.9,,,2500 or more  or no clouds.,,,14.0,4.6,No precipitation,12,,,,
30.03.2020 17:00,16.2,744.7,761.3,-1.0,38,Wind blowing from the south-southeast,6,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,17.9,,,2500 or more  or no clouds.,,,19.0,1.9,No precipitation,12,,,,
30.03.2020 14:00,17.4,745.7,762.3,-1.7,35,Wind blowing from the south-southeast,6,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,17.5,,,2500 or more  or no clouds.,,,10.0,1.8,No precipitation,12,,,,
30.03.2020 11:00,13.7,747.4,764.2,-0.1,50,Wind blowing from the south-southeast,5,,9,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,17.0,,,2500 or more  or no clouds.,,,5.0,3.5,No precipitation,12,,,,
30.03.2020 08:00,7.3,747.5,764.4,0.9,77,Wind blowing from the south,1,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,17.0,,,2500 or more  or no clouds.,,,8.0,3.4,No precipitation,12,,,,
30.03.2020 05:00,4.4,746.6,763.4,-0.2,91,Wind blowing from the north-west,1,,12,,Mist. ,,,3.5,17.0,,,2500 or more  or no clouds.,,,5.0,3.1,No precipitation,12,,,,
30.03.2020 02:00,7.7,746.8,763.4,-0.3,70,Wind blowing from the south,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,17.0,,,2500 or more  or no clouds.,,,8.0,2.6,No precipitation,12,,,,
29.03.2020 23:00,7.5,747.1,763.8,0.6,74,Wind blowing from the south,4,,14,,Cloud development not observed or not observable. ,,,5.1,17.0,,,2500 or more  or no clouds.,,,11.0,3.2,No precipitation,12,,,,
29.03.2020 20:00,9.6,746.5,763.3,1.2,52,Wind blowing from the south,5,,14,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,17.0,,,2500 or more  or no clouds.,,,23.0,0.2,No precipitation,12,,,,
29.03.2020 17:00,14.3,745.3,762.0,-1.2,32,Wind blowing from the south-southeast,7,,14,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,17.0,,,2500 or more  or no clouds.,,,19.0,-2.2,No precipitation,12,,,,
29.03.2020 14:00,16.2,746.5,763.1,-2.3,23,Wind blowing from the south-southeast,7,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,17.0,,,2500 or more  or no clouds.,,,19.0,-4.9,No precipitation,12,,,,
29.03.2020 11:00,12.7,748.8,765.5,-0.1,34,Wind blowing from the east-southeast,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,13.1,,,2500 or more  or no clouds.,,,19.0,-2.7,No precipitation,12,,,,
29.03.2020 08:00,6.8,748.9,765.8,0.4,52,Wind blowing from the west-northwest,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,12.6,,,2500 or more  or no clouds.,,,21.0,-2.6,No precipitation,12,,,,
29.03.2020 05:00,6.0,748.5,765.4,-0.6,51,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,,,2.4,12.6,,,2500 or more  or no clouds.,,,26.0,-3.4,No precipitation,12,,,,
29.03.2020 02:00,7.7,749.1,765.9,-1.0,41,Wind blowing from the north-west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,12.6,,,2500 or more  or no clouds.,,,23.0,-4.7,No precipitation,12,,,,
28.03.2020 23:00,9.4,750.1,767.0,0.0,34,Wind blowing from the south,4,,,,Cloud development not observed or not observable. ,,,,12.6,,,2500 or more  or no clouds.,,,24.0,-5.7,No precipitation,12,,,,
28.03.2020 20:00,10.3,750.1,767.1,0.3,29,Wind blowing from the south,4,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,12.6,,,2500 or more  or no clouds.,,,30.0,-7.0,No precipitation,12,,,,
28.03.2020 17:00,12.1,749.8,766.7,-2.2,23,Wind blowing from the south-southeast,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,12.6,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
28.03.2020 14:00,12.1,752.0,769.0,-3.4,25,Wind blowing from the south-southeast,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,12.5,,,2500 or more  or no clouds.,,,26.0,-7.3,No precipitation,12,,,,
28.03.2020 11:00,9.7,755.4,772.4,-0.3,31,Wind blowing from the east-southeast,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,11.3,,,2500 or more  or no clouds.,,,28.0,-6.6,No precipitation,12,,,,
28.03.2020 08:00,5.4,755.7,772.8,1.3,55,Wind blowing from the north,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,11.3,,,2500 or more  or no clouds.,,,27.0,-2.9,No precipitation,12,,,,
28.03.2020 05:00,4.2,754.4,771.5,-0.3,63,Wind blowing from the west-northwest,4,,7,,Cloud development not observed or not observable. ,,,4.0,11.3,,,2500 or more  or no clouds.,,,30.0,-2.2,No precipitation,12,,,,
28.03.2020 02:00,5.6,754.7,771.7,0.4,56,Wind blowing from the west-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,11.3,,,2500 or more  or no clouds.,,,28.0,-2.7,No precipitation,12,,,,
27.03.2020 23:00,6.9,754.3,771.4,0.3,49,Wind blowing from the north-west,2,,8,,Cloud development not observed or not observable. ,,,4.0,11.3,,,2500 or more  or no clouds.,,,30.0,-3.1,No precipitation,12,,,,
27.03.2020 20:00,8.9,754.0,771.0,0.7,38,Wind blowing from the south-southwest,1,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,11.3,,,2500 or more  or no clouds.,,,30.0,-4.6,No precipitation,12,,,,
27.03.2020 17:00,10.6,753.3,770.3,-0.4,32,Wind blowing from the south-east,3,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,11.3,,,2500 or more  or no clouds.,,,30.0,-5.4,No precipitation,12,,,,
