Local time in Bijie,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
02.04.2020 17:00,9.6,635.9,761.6,0.1,90,Wind blowing from the north,1,,3,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,11.9,,,2500 or more  or no clouds.,,,8.0,8.0,0.5,12,,,,
02.04.2020 14:00,10.6,635.8,761.2,-1.6,88,Wind blowing from the north-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,12.0,,,2500 or more  or no clouds.,,,11.0,8.7,0.7,12,,,,
02.04.2020 11:00,9.8,637.4,763.1,0.9,94,Wind blowing from the north-east,1,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,,,,2500 or more  or no clouds.,,,5.0,8.9,0.9,12,,,,
02.04.2020 08:00,9.4,636.5,762.0,0.9,95,Wind blowing from the east,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,12.0,,,2500 or more  or no clouds.,,,2.8,8.6,0.6,12,,,,
02.04.2020 05:00,9.5,635.6,760.6,-0.7,95,Wind blowing from the north-northeast,1,,3,,Mist. ,,,9.3,12.0,,,2500 or more  or no clouds.,,,3.4,8.7,0.5,12,,,,
02.04.2020 02:00,9.8,636.3,761.5,,95,Wind blowing from the south-east,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,12.0,,,2500 or more  or no clouds.,,,2.6,9.0,,,,,,
01.04.2020 20:00,10.9,635.2,760.4,1.1,85,Wind blowing from the south-southeast,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,,,,2500 or more  or no clouds.,,,5.0,8.5,No precipitation,12,,,,
01.04.2020 17:00,11.9,634.1,758.8,-1.1,76,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,,,,2500 or more  or no clouds.,,,10.0,7.8,No precipitation,12,,,,
01.04.2020 14:00,11.3,635.2,760.1,-1.8,77,Wind blowing from the east-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,,,,2500 or more  or no clouds.,,,7.0,7.4,No precipitation,12,,,,
01.04.2020 11:00,10.4,637.0,762.2,0.2,80,Wind blowing from the east,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,,,,2500 or more  or no clouds.,,,13.0,7.1,No precipitation,12,,,,
01.04.2020 08:00,9.3,636.8,761.0,1.1,87,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,20.9,,,2500 or more  or no clouds.,,,8.0,7.3,No precipitation,12,,,,
01.04.2020 05:00,9.6,635.7,758.6,0.2,85,Wind blowing from the north-northeast,1,,6,,Cloud development not observed or not observable. ,,,6.6,20.9,,,2500 or more  or no clouds.,,,7.0,7.2,No precipitation,12,,,,
01.04.2020 02:00,10.2,635.5,759.0,,80,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,20.9,,,2500 or more  or no clouds.,,,15.0,6.9,No precipitation,12,,,,
31.03.2020 20:00,16.7,634.1,758.2,0.7,54,Wind blowing from the east,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,20.9,,,,,,20.0,7.4,No precipitation,12,,,,
31.03.2020 17:00,20.9,633.4,756.6,-2.1,41,Wind blowing from the south-east,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,20.9,,,,,,25.0,7.2,No precipitation,12,,,,
31.03.2020 14:00,18.0,635.5,759.7,-2.2,45,Wind blowing from the south-east,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,18.0,,,,,,26.0,5.9,No precipitation,12,,,,
31.03.2020 11:00,12.8,637.7,763.5,-0.2,60,Wind blowing from the east-northeast,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,12.8,,,,,,21.0,5.2,0.1,12,,,,
31.03.2020 08:00,7.4,637.9,764.9,1.2,75,Wind blowing from the north-west,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,8.8,,,1000-1500,,,19.0,3.3,0.2,12,,,,
31.03.2020 05:00,6.7,636.7,763.5,-0.3,85,Wind blowing from the north-west,1,,4,,Cloud development not observed or not observable. ,,,5.9,8.8,,,2500 or more  or no clouds.,,,12.0,4.4,0.3,12,,,,
31.03.2020 02:00,6.9,637.0,763.8,,87,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,8.8,,,2500 or more  or no clouds.,,,20.0,4.9,0.3,12,,,,
30.03.2020 20:00,7.7,634.4,761.1,2.1,93,Wind blowing from the north-northeast,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,8.8,,,300-600,,,3.0,6.6,0.1,12,,,,
30.03.2020 17:00,8.2,632.3,758.4,-0.5,90,Wind blowing from the east,1,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,8.8,,,300-600,,,4.5,6.7,0.1,12,,,,
30.03.2020 14:00,8.7,632.8,758.8,-1.9,83,Wind blowing from the east-northeast,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,9.0,,,300-600,,,10.0,6.0,0.1,12,,,,
30.03.2020 11:00,7.4,634.7,761.4,-0.1,87,Wind blowing from the east-southeast,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,9.0,,,300-600,,,9.0,5.4,0.1,12,,,,
30.03.2020 08:00,6.1,634.8,761.5,-0.1,95,Wind blowing from the east,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,9.0,,,300-600,,,2.7,5.4,0.2,12,,,,
30.03.2020 05:00,6.1,634.9,761.5,-1.3,91,Wind blowing from the east,1,,4,,Mist. ,,,6.1,9.0,,,2500 or more  or no clouds.,,,5.0,4.7,0.1,12,,,,
30.03.2020 02:00,6.6,636.2,762.9,,88,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,9.0,,,2500 or more  or no clouds.,,,12.0,4.8,,,,,,
29.03.2020 20:00,7.5,635.0,761.6,0.7,82,Wind blowing from the north,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,9.0,,,300-600,,,21.0,4.6,No precipitation,12,,,,
29.03.2020 17:00,7.9,634.3,760.7,-1.0,78,Wind blowing from the west-northwest,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,9.0,,,300-600,,,23.0,4.3,No precipitation,12,,,,
29.03.2020 14:00,8.5,635.3,761.8,-1.1,73,Wind blowing from the north-west,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,9.4,,,300-600,,,30.0,3.9,No precipitation,12,,,,
29.03.2020 11:00,7.8,636.4,763.2,1.5,80,Wind blowing from the north,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,,,,300-600,,,23.0,4.6,0.4,12,,,,
29.03.2020 08:00,6.9,634.9,761.7,1.5,87,Wind blowing from the north-northeast,1,,4,100%.,Cloud development not observed or not observable. ,Rain.,Drizzle.,6.7,,,,300-600,,,30.0,4.9,2.0,12,,,,
29.03.2020 05:00,6.9,633.4,759.6,-0.1,91,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,,,6.7,,,,2500 or more  or no clouds.,,,15.0,5.5,2.0,12,,,,
29.03.2020 02:00,6.8,633.5,759.4,,94,Wind blowing from the east-southeast,1,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,10.5,,,2500 or more  or no clouds.,,,4.2,5.9,2.0,12,,,,
28.03.2020 20:00,7.0,632.2,757.8,0.3,94,Wind blowing from the east,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,12.1,,,300-600,,,2.0,6.1,0.2,12,,,,
28.03.2020 17:00,8.0,631.9,757.2,-2.4,89,Wind blowing from the east-southeast,2,,,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,,,,300-600,,,8.0,6.3,No precipitation,12,,,,
28.03.2020 14:00,9.5,634.3,759.7,-2.7,90,Wind blowing from the east-southeast,2,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,,,,300-600,,,5.0,7.9,No precipitation,12,,,,
28.03.2020 11:00,10.1,637.0,762.4,-0.3,88,Wind blowing from the south-east,2,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,,,,300-600,,,10.0,8.2,0.3,12,,,,
28.03.2020 08:00,9.3,637.3,762.7,-0.3,88,Wind blowing from the south-east,1,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,,,,300-600,,,8.0,7.4,0.3,12,,,,
28.03.2020 05:00,9.2,637.6,762.2,-1.6,86,Wind blowing from the north-west,0,,6,,Cloud development not observed or not observable. ,,,9.2,17.9,,,2500 or more  or no clouds.,,,14.0,7.0,0.3,12,,,,
28.03.2020 02:00,9.7,639.2,763.5,,79,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,17.9,,,2500 or more  or no clouds.,,,30.0,6.2,,,,,,
27.03.2020 20:00,12.0,637.9,762.7,1.9,81,Wind blowing from the north,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,19.5,,,2500 or more  or no clouds.,,,15.0,8.8,No precipitation,12,,,,
27.03.2020 17:00,15.5,636.0,759.5,-0.1,68,Wind blowing from the north-northeast,2,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,23.5,,,600-1000,,,19.0,9.6,No precipitation,12,,,,
27.03.2020 14:00,17.9,636.1,758.2,-0.7,57,Wind blowing from the north-northeast,2,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,25.7,,,600-1000,,,27.0,9.3,5.0,12,,,,
27.03.2020 11:00,14.6,636.8,759.8,1.4,75,Wind blowing from the north-northeast,1,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,,,,600-1000,,,21.0,10.2,5.0,12,,,,
27.03.2020 08:00,12.3,635.4,757.9,1.4,82,Wind blowing from the north,2,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,25.7,,,600-1000,,,15.0,9.3,5.0,12,,,,
27.03.2020 05:00,12.7,634.0,755.2,1.0,90,Wind blowing from the north-west,2,,9,,Rain (not freezing) not falling as shower(s). ,,,10.7,25.7,,,2500 or more  or no clouds.,,,9.0,11.1,5.0,12,,,,
27.03.2020 02:00,16.2,633.0,753.0,,86,Wind blowing from the north-northeast,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,25.7,,,2500 or more  or no clouds.,,,7.0,13.9,0.8,12,,,,
26.03.2020 20:00,19.6,632.2,754.4,1.8,62,Wind blowing from the west,1,,8,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,25.7,,,1000-1500,,,11.0,12.1,No precipitation,12,,,,
26.03.2020 17:00,23.6,630.4,751.2,,45,Wind blowing from the east-northeast,2,,,70 – 80%., ,,,,,,,600-1000,,,16.0,11.0,,,,,,
26.03.2020 14:00,25.2,631.1,751.3,-1.4,37,Wind blowing from the east-northeast,2,,,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,25.8,,,600-1000,,,16.0,9.5,No precipitation,12,,,,
26.03.2020 11:00,20.1,632.5,753.4,,49,Wind blowing from the south-southeast,1,,3,no clouds, ,,,10.7,25.8,,,,,,12.0,9.1,No precipitation,6,,,,
26.03.2020 08:00,11.3,631.9,753.7,1.3,90,Wind blowing from the north-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,25.8,,,2500 or more  or no clouds.,,,8.0,9.7,No precipitation,12,,,,
26.03.2020 05:00,12.0,630.6,751.3,,88,Wind blowing from the west-northwest,1,,,, ,,,,,,,,,,8.0,10.1,,,,,,
26.03.2020 02:00,13.7,631.0,751.3,,83,Wind blowing from the west-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,25.8,,,2500 or more  or no clouds.,,,9.0,10.9,No precipitation,12,,,,
25.03.2020 20:00,20.6,629.8,751.2,0.7,49,Wind blowing from the east-southeast,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,25.8,,,,,,15.0,9.5,No precipitation,12,,,,
25.03.2020 17:00,24.1,629.1,749.5,,35,Wind blowing from the east,2,,,50%., ,,,,,,,600-1000,,,18.0,7.7,,,,,,
25.03.2020 14:00,24.6,630.4,750.7,-2.2,28,Wind blowing from the south-southeast,3,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,24.7,,,600-1000,,,19.0,4.9,No precipitation,12,,,,
25.03.2020 11:00,19.8,632.6,753.7,,52,Wind blowing from the south-west,2,,,no clouds, ,,,,,,,,,,10.0,9.7,,,,,,
