Local time in Nanchong,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 08:00,11.9,735.4,766.6,0.4,98,Wind blowing from the north,2,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,,,,2500 or more  or no clouds.,,,7.0,11.6,No precipitation,12,,,,
06.04.2020 05:00,11.6,735.0,766.1,-1.4,98,Wind blowing from the north,2,,6,,Mist. ,,,10.9,14.8,,,2500 or more  or no clouds.,,,4.9,11.3,No precipitation,12,,,,
06.04.2020 02:00,11.4,736.4,767.7,-0.8,98,Wind blowing from the east-northeast,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,14.8,,,2500 or more  or no clouds.,,,0.9,11.1,No precipitation,12,,,,
05.04.2020 23:00,12.0,737.2,768.4,1.1,98,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,,,10.9,14.8,,,2500 or more  or no clouds.,,,9.0,11.7,0.2,12,,,,
05.04.2020 20:00,12.1,736.1,767.4,1.0,98,Wind blowing from the north,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,14.8,,,2500 or more  or no clouds.,,,7.0,11.8,0.9,12,,,,
05.04.2020 17:00,13.9,735.1,766.2,-1.7,84,Wind blowing from the east,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,14.8,,,2500 or more  or no clouds.,,,16.0,11.2,1.0,12,,,,
05.04.2020 14:00,13.0,736.8,768.1,-1.6,96,Wind blowing from the north-northeast,2,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,13.4,,,2500 or more  or no clouds.,,,11.0,12.4,1.0,12,,,,
05.04.2020 11:00,11.8,738.4,769.9,1.0,98,Wind blowing from the north,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,6.0,11.5,1.0,12,,,,
05.04.2020 08:00,11.4,737.4,768.7,0.8,98,Wind blowing from the north,0,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,13.4,,,2500 or more  or no clouds.,,,3.7,11.1,0.4,12,,,,
05.04.2020 05:00,11.0,736.6,767.8,-1.2,98,Wind blowing from the north,0,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.3,13.4,,,2500 or more  or no clouds.,,,4.6,10.7,0.2,12,,,,
05.04.2020 02:00,11.2,737.8,769.2,-0.5,98,Wind blowing from the south,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,13.4,,,2500 or more  or no clouds.,,,12.0,10.9,No precipitation,12,,,,
04.04.2020 23:00,11.3,738.3,769.7,0.8,98,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,,,10.3,13.4,,,2500 or more  or no clouds.,,,13.0,11.0,No precipitation,12,,,,
04.04.2020 20:00,12.1,737.5,768.9,0.8,88,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,13.4,,,2500 or more  or no clouds.,,,24.0,10.2,,,,,,
04.04.2020 17:00,13.1,736.7,768.0,-1.2,83,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,13.4,,,2500 or more  or no clouds.,,,28.0,10.3,,,,,,
04.04.2020 14:00,12.8,737.9,769.3,-1.2,81,Wind blowing from the north,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,13.3,,,2500 or more  or no clouds.,,,30.0,9.6,0.2,12,,,,
04.04.2020 11:00,11.8,739.1,770.5,0.9,96,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,11.8,,,2500 or more  or no clouds.,,,30.0,11.2,0.6,12,,,,
04.04.2020 08:00,10.5,738.2,769.7,1.5,98,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,12.1,,,2500 or more  or no clouds.,,,21.0,10.2,0.5,12,,,,
04.04.2020 05:00,10.3,736.7,768.1,-0.5,98,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,,,10.3,,,,2500 or more  or no clouds.,,,22.0,10.0,0.8,12,,,,
04.04.2020 02:00,10.6,737.2,768.6,-0.2,98,Wind blowing from the north,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,,,,2500 or more  or no clouds.,,,11.0,10.3,1.0,12,,,,
03.04.2020 23:00,10.9,737.4,768.7,1.1,98,Wind blowing from the north,2,,7,,Rain (not freezing) not falling as shower(s). ,,,10.9,13.0,,,2500 or more  or no clouds.,,,13.0,10.6,1.0,12,,,,
03.04.2020 20:00,11.0,736.3,767.6,1.6,98,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,13.2,,,2500 or more  or no clouds.,,,15.0,10.7,1.0,12,,,,
03.04.2020 17:00,11.1,734.7,765.9,-0.4,98,Wind blowing from the north,4,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,13.6,,,2500 or more  or no clouds.,,,5.0,10.8,1.0,12,,,,
03.04.2020 14:00,11.2,735.1,766.3,-1.1,98,Wind blowing from the north,4,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,,,,2500 or more  or no clouds.,,,6.0,10.9,0.4,12,,,,
03.04.2020 11:00,11.8,736.2,767.4,1.4,92,Wind blowing from the north,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,,,,2500 or more  or no clouds.,,,16.0,10.5,No precipitation,12,,,,
03.04.2020 08:00,11.9,734.8,765.9,1.5,87,Wind blowing from the north,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,,,,2500 or more  or no clouds.,,,30.0,9.8,No precipitation,12,,,,
03.04.2020 05:00,12.5,733.3,764.4,-0.6,79,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,,,12.4,,,,2500 or more  or no clouds.,,,30.0,9.0,No precipitation,12,,,,
03.04.2020 02:00,12.6,733.9,764.8,-0.6,85,Wind blowing from the north-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,15.9,,,2500 or more  or no clouds.,,,30.0,10.1,No precipitation,12,,,,
02.04.2020 23:00,13.0,734.5,765.4,1.2,90,Wind blowing from the north-northeast,5,,8,,Cloud development not observed or not observable. ,,,12.9,15.9,,,2500 or more  or no clouds.,,,30.0,11.4,No precipitation,12,,,,
02.04.2020 20:00,13.2,733.3,764.3,1.3,97,Wind blowing from the north,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,15.9,,,2500 or more  or no clouds.,,,22.0,12.7,No precipitation,12,,,,
02.04.2020 17:00,13.6,732.0,762.9,-0.4,98,Wind blowing from the north-east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,18.0,,,2500 or more  or no clouds.,,,15.0,13.3,No precipitation,12,,,,
02.04.2020 14:00,15.3,732.4,763.3,-0.8,78,Wind blowing from the north-east,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,19.1,,,2500 or more  or no clouds.,,,21.0,11.5,No precipitation,12,,,,
02.04.2020 11:00,15.7,733.2,763.9,1.2,69,Wind blowing from the north-northeast,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,19.1,,,2500 or more  or no clouds.,,,30.0,10.0,No precipitation,12,,,,
02.04.2020 08:00,13.6,732.0,762.8,1.3,81,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,,,,2500 or more  or no clouds.,,,28.0,10.4,No precipitation,12,,,,
02.04.2020 05:00,13.7,730.7,761.3,-0.5,75,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,,,12.4,19.1,,,2500 or more  or no clouds.,,,30.0,9.4,No precipitation,12,,,,
02.04.2020 02:00,13.2,731.2,761.8,-0.6,83,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,19.1,,,2500 or more  or no clouds.,,,25.0,10.4,No precipitation,12,,,,
01.04.2020 23:00,14.8,731.8,762.5,1.2,71,Wind blowing from the south-east,1,,,,Cloud development not observed or not observable. ,,,12.4,19.1,,,2500 or more  or no clouds.,,,30.0,9.6,No precipitation,12,,,,
01.04.2020 20:00,15.3,730.6,761.5,1.5,73,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,19.1,,,2500 or more  or no clouds.,,,30.0,10.5,No precipitation,12,,,,
01.04.2020 17:00,18.0,729.1,759.7,-1.0,56,Wind blowing from the east-northeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,19.1,,,2500 or more  or no clouds.,,,30.0,9.1,No precipitation,12,,,,
01.04.2020 14:00,18.3,730.1,760.7,-2.3,52,Wind blowing from the south,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,19.2,,,2500 or more  or no clouds.,,,30.0,8.3,No precipitation,12,,,,
01.04.2020 11:00,15.4,732.4,763.1,0.5,66,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,19.2,,,2500 or more  or no clouds.,,,30.0,9.1,No precipitation,12,,,,
01.04.2020 08:00,12.8,731.9,762.7,1.0,88,Wind blowing from the north-northeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,19.2,,,2500 or more  or no clouds.,,,30.0,10.9,No precipitation,12,,,,
01.04.2020 05:00,12.7,730.9,761.5,-0.1,82,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,,,9.0,19.2,,,2500 or more  or no clouds.,,,30.0,9.7,No precipitation,12,,,,
01.04.2020 02:00,13.3,731.0,761.6,-0.7,84,Wind blowing from the east-northeast,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,19.2,,,2500 or more  or no clouds.,,,30.0,10.7,No precipitation,12,,,,
31.03.2020 23:00,14.9,731.7,762.4,1.4,65,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,,,9.0,19.2,,,2500 or more  or no clouds.,,,30.0,8.4,No precipitation,12,,,,
31.03.2020 20:00,15.1,730.3,761.2,1.4,73,Wind blowing from the east-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,19.2,,,2500 or more  or no clouds.,,,30.0,10.3,No precipitation,12,,,,
31.03.2020 17:00,18.4,728.9,759.6,-2.0,50,Wind blowing from the east,2,,,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,19.2,,,600-1000,,,30.0,7.8,No precipitation,12,,,,
31.03.2020 14:00,19.1,730.9,761.6,-2.3,48,Wind blowing from the east-northeast,2,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,19.2,,,600-1000,,,30.0,7.8,0.3,12,,,,
31.03.2020 11:00,15.6,733.2,764.2,0.2,67,Wind blowing from the west-northwest,2,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,15.6,,,600-1000,,,30.0,9.5,0.3,12,,,,
31.03.2020 08:00,10.3,733.0,764.1,1.0,98,Wind blowing from the south,1,,4,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,14.3,,,600-1000,,,10.0,10.0,0.3,12,,,,
31.03.2020 05:00,10.4,732.0,763.0,-0.7,98,Wind blowing from the east-northeast,1,,,,Rain (not freezing) not falling as shower(s). ,,,9.0,14.3,,,2500 or more  or no clouds.,,,30.0,10.1,0.3,12,,,,
31.03.2020 02:00,11.0,732.7,763.7,0.3,98,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,14.3,,,2500 or more  or no clouds.,,,30.0,10.7,No precipitation,12,,,,
30.03.2020 23:00,11.4,732.4,763.4,2.0,92,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,,,8.5,14.3,,,2500 or more  or no clouds.,,,30.0,10.1,No precipitation,12,,,,
30.03.2020 20:00,13.1,730.4,761.5,1.6,76,Wind blowing from the north-northeast,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,14.3,,,2000-2500,,,30.0,9.0,No precipitation,12,,,,
30.03.2020 17:00,14.0,728.8,759.8,-0.9,72,Wind blowing from the north,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,14.3,,,1500-2000,,,30.0,9.0,No precipitation,12,,,,
30.03.2020 14:00,13.5,729.7,760.7,-1.5,73,Wind blowing from the north-west,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,13.7,,,1500-2000,,,27.0,8.8,No precipitation,12,,,,
30.03.2020 11:00,13.0,731.2,762.4,0.2,81,Wind blowing from the west-southwest,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,13.7,,,2500 or more  or no clouds.,,,28.0,9.8,No precipitation,12,,,,
30.03.2020 08:00,9.8,731.0,762.2,0.3,98,Wind blowing from the north-east,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,13.7,,,2000-2500,,,12.0,9.5,No precipitation,12,,,,
30.03.2020 05:00,9.2,730.7,761.8,-1.2,98,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,,,8.5,13.7,,,2500 or more  or no clouds.,,,9.0,8.9,No precipitation,12,,,,
30.03.2020 02:00,9.9,731.9,763.1,-0.5,98,Wind blowing from the south,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,13.7,,,2500 or more  or no clouds.,,,17.0,9.6,No precipitation,12,,,,
29.03.2020 23:00,10.1,732.4,763.6,1.3,98,Wind blowing from the south,2,,4,,Cloud development not observed or not observable. ,,,8.6,13.7,,,2500 or more  or no clouds.,,,18.0,9.8,No precipitation,12,,,,
29.03.2020 20:00,11.4,731.1,762.3,0.3,91,Wind blowing from the south,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,13.7,,,2500 or more  or no clouds.,,,23.0,10.0,Trace of precipitation,12,,,,
29.03.2020 17:00,12.5,730.8,762.0,-1.5,77,Wind blowing from the south,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,13.7,,,2500 or more  or no clouds.,,,30.0,8.6,0.2,12,,,,
29.03.2020 14:00,11.3,732.3,763.6,-1.0,86,Wind blowing from the north,2,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,11.5,,,300-600,,,30.0,9.0,0.9,12,,,,
29.03.2020 11:00,10.5,733.3,764.6,1.5,95,Wind blowing from the north,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,10.6,,,2000-2500,,,30.0,9.7,2.0,12,,,,
29.03.2020 08:00,9.0,731.8,763.2,1.2,98,Wind blowing from the north-east,3,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,,,,600-1000,,,20.0,8.7,3.0,12,,,,
29.03.2020 05:00,8.7,730.6,761.9,0.0,98,Wind blowing from the north,3,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,8.7,10.9,,,2500 or more  or no clouds.,,,16.0,8.4,4.0,12,,,,
29.03.2020 02:00,8.8,730.6,761.8,0.0,98,Wind blowing from the north-northeast,5,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,11.4,,,2500 or more  or no clouds.,,,6.0,8.5,4.0,12,,,,
28.03.2020 23:00,9.0,730.6,761.9,0.9,98,Wind blowing from the north-northeast,4,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.0,11.7,,,2500 or more  or no clouds.,,,7.0,8.7,5.0,12,,,,
28.03.2020 20:00,9.4,729.7,760.9,0.8,98,Wind blowing from the north-east,4,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,9.4,,,,300-600,,,6.0,9.1,4.0,12,,,,
28.03.2020 17:00,10.1,728.9,760.0,-2.1,98,Wind blowing from the north-east,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,10.0,,,,600-1000,,,10.0,9.8,4.0,12,,,,
28.03.2020 14:00,10.5,731.0,762.1,-2.4,98,Wind blowing from the north-northeast,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,,,,600-1000,,,6.0,10.2,2.0,12,,,,
28.03.2020 11:00,10.4,733.4,764.7,0.1,98,Wind blowing from the north-northeast,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,,,,600-1000,,,12.0,10.1,0.1,12,,,,
28.03.2020 08:00,10.8,733.3,764.5,-0.3,77,Wind blowing from the north-northeast,2,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,14.1,,,1500-2000,,,30.0,6.9,No precipitation,12,,,,
28.03.2020 05:00,10.7,733.6,764.7,-1.6,78,Wind blowing from the north-northeast,4,,12,,Cloud development not observed or not observable. ,,,10.5,14.1,,,2500 or more  or no clouds.,,,30.0,7.0,No precipitation,12,,,,
28.03.2020 02:00,11.5,735.2,766.4,-0.8,76,Wind blowing from the north-east,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,14.1,,,2500 or more  or no clouds.,,,30.0,7.4,No precipitation,12,,,,
27.03.2020 23:00,11.0,736.0,767.3,1.8,84,Wind blowing from the north-northeast,2,,12,,Cloud development not observed or not observable. ,,,10.6,15.6,,,2500 or more  or no clouds.,,,30.0,8.4,0.1,12,,,,
27.03.2020 20:00,13.2,734.2,765.3,1.7,73,Wind blowing from the north-east,4,,12,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,,,,300-600,,,30.0,8.5,0.1,12,,,,
27.03.2020 17:00,14.0,732.5,763.5,0.3,81,Wind blowing from the north-northeast,6,,11,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,,,,300-600,,,30.0,10.8,0.2,12,,,,
27.03.2020 14:00,12.5,732.2,763.3,-0.4,95,Wind blowing from the north,6,,14,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,,,,300-600,,,30.0,11.7,21.0,12,,,,
27.03.2020 11:00,11.7,732.6,763.6,2.3,91,Wind blowing from the north-west,3,,16,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,,,,300-600,,,30.0,10.3,24.0,12,,,,
27.03.2020 08:00,11.0,730.3,760.9,2.1,98,Wind blowing from the north-northwest,4,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,,,,600-1000,,,30.0,10.7,24.0,12,,,,
