Local time in Hohhot,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 14:00,15.8,667.0,765.5,-2.0,14,Wind blowing from the south,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,17.2,,,2500 or more  or no clouds.,,,18.0,-11.6,No precipitation,12,,,,
05.04.2020 11:00,11.9,669.0,768.1,-0.1,15,Wind blowing from the east-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,17.2,,,2500 or more  or no clouds.,,,25.0,-13.9,No precipitation,12,,,,
05.04.2020 08:00,6.1,669.1,769.0,0.7,26,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,17.2,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
05.04.2020 05:00,4.0,668.4,767.1,-0.8,26,Wind blowing from the north-west,5,,6,,Cloud development not observed or not observable. ,,,1.4,17.2,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
05.04.2020 02:00,4.7,669.2,768.1,-0.4,25,Wind blowing from the north-west,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,17.2,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
04.04.2020 23:00,7.6,669.6,768.4,0.2,20,Wind blowing from the north-west,4,,8,,Cloud development not observed or not observable. ,,,1.4,17.2,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
04.04.2020 20:00,9.0,669.4,769.1,0.6,19,Wind blowing from the north-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,17.2,,,2500 or more  or no clouds.,,,26.0,-13.4,No precipitation,12,,,,
04.04.2020 17:00,16.9,668.8,767.6,-1.6,10,Wind blowing from the south-west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,17.2,,,2500 or more  or no clouds.,,,30.0,-14.9,No precipitation,12,,,,
04.04.2020 14:00,16.0,670.4,769.1,-1.8,11,Wind blowing from the south-east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,17.5,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
04.04.2020 11:00,13.3,672.2,771.0,-0.4,13,Wind blowing from the east-southeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,17.5,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
04.04.2020 08:00,6.9,672.6,772.9,1.4,19,Wind blowing from the south-east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,17.5,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,12,,,,
04.04.2020 05:00,3.8,671.2,770.4,0.3,21,Wind blowing from the north-west,4,,10,,Cloud development not observed or not observable. ,,,1.7,17.5,,,2500 or more  or no clouds.,,,30.0,-16.5,No precipitation,12,,,,
04.04.2020 02:00,6.3,670.9,769.6,0.3,18,Wind blowing from the north-west,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,17.5,,,2500 or more  or no clouds.,,,30.0,-16.3,No precipitation,12,,,,
03.04.2020 23:00,10.4,670.6,769.5,1.0,12,Wind blowing from the north-northwest,5,,11,,Cloud development not observed or not observable. ,,,-0.4,17.5,,,2500 or more  or no clouds.,,,30.0,-17.8,No precipitation,12,,,,
03.04.2020 20:00,8.9,669.6,769.8,1.3,13,Wind blowing from the north-northwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,17.5,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
03.04.2020 17:00,17.0,668.3,767.2,-1.1,7,Wind blowing from the north,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,17.5,,,2500 or more  or no clouds.,,,30.0,-19.1,No precipitation,12,,,,
03.04.2020 14:00,16.1,669.4,769.1,-1.7,9,Wind blowing from the north,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,16.1,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
03.04.2020 11:00,11.0,671.1,771.4,-0.1,17,Wind blowing from the south,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,13.0,,,2500 or more  or no clouds.,,,27.0,-13.1,No precipitation,12,,,,
03.04.2020 08:00,4.9,671.2,772.2,0.9,22,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,13.0,,,2500 or more  or no clouds.,,,25.0,-15.0,No precipitation,12,,,,
03.04.2020 05:00,2.7,670.3,770.2,-0.1,23,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,,,-2.3,13.0,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
03.04.2020 02:00,-0.2,670.4,771.3,0.3,27,Wind blowing from the north-west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,13.0,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
02.04.2020 23:00,3.5,670.1,770.8,0.7,18,Wind blowing from the north-west,4,,8,,Cloud development not observed or not observable. ,,,-2.3,13.0,,,2500 or more  or no clouds.,,,30.0,-18.6,No precipitation,12,,,,
02.04.2020 20:00,5.7,669.4,770.8,0.8,15,Wind blowing from the north-northwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,13.0,,,2500 or more  or no clouds.,,,30.0,-18.9,No precipitation,12,,,,
02.04.2020 17:00,12.8,668.6,768.8,-0.8,10,Wind blowing from the north,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,13.0,,,2500 or more  or no clouds.,,,30.0,-18.1,No precipitation,12,,,,
02.04.2020 14:00,11.3,669.4,769.6,-1.5,9,Wind blowing from the east-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,11.3,,,2500 or more  or no clouds.,,,30.0,-20.5,No precipitation,12,,,,
02.04.2020 11:00,8.1,670.9,771.7,0.0,9,Wind blowing from the south,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,9.3,,,2500 or more  or no clouds.,,,30.0,-22.9,No precipitation,12,,,,
02.04.2020 08:00,1.6,670.9,772.6,0.9,13,Wind blowing from the west-southwest,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,9.3,,,2500 or more  or no clouds.,,,30.0,-23.9,No precipitation,12,,,,
02.04.2020 05:00,0.3,670.0,771.1,0.3,12,Wind blowing from the north-northwest,3,,10,,Cloud development not observed or not observable. ,,,-0.6,9.3,,,2500 or more  or no clouds.,,,30.0,-25.8,No precipitation,12,,,,
02.04.2020 02:00,1.8,669.7,770.7,0.3,12,Wind blowing from the north-northwest,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,9.3,,,2500 or more  or no clouds.,,,30.0,-24.6,No precipitation,12,,,,
01.04.2020 23:00,3.1,669.4,770.7,1.5,10,Wind blowing from the north,4,,9,,Cloud development not observed or not observable. ,,,-0.6,9.3,,,2500 or more  or no clouds.,,,30.0,-25.6,No precipitation,12,,,,
01.04.2020 20:00,5.0,667.9,769.4,1.0,9,Wind blowing from the north-northwest,6,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,9.3,,,2500 or more  or no clouds.,,,30.0,-25.3,No precipitation,12,,,,
01.04.2020 17:00,9.0,666.9,767.6,-1.3,9,Wind blowing from the west-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,9.2,,,2500 or more  or no clouds.,,,30.0,-22.2,No precipitation,12,,,,
01.04.2020 14:00,7.7,668.2,769.3,-2.3,10,Wind blowing from the south-east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,10.3,,,2500 or more  or no clouds.,,,30.0,-22.0,No precipitation,12,,,,
01.04.2020 11:00,4.7,670.5,772.3,-0.4,13,Wind blowing from the east-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,10.5,,,2500 or more  or no clouds.,,,30.0,-21.4,No precipitation,12,,,,
01.04.2020 08:00,1.0,670.9,773.1,0.8,17,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,,,,2500 or more  or no clouds.,,,30.0,-21.3,No precipitation,12,,,,
01.04.2020 05:00,-0.1,670.1,771.4,-0.2,18,Wind blowing from the north-northwest,3,,10,,Cloud development not observed or not observable. ,,,-0.1,10.5,,,2500 or more  or no clouds.,,,30.0,-21.6,No precipitation,12,,,,
01.04.2020 02:00,0.3,670.3,771.2,0.0,18,Wind blowing from the north,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,10.5,,,2500 or more  or no clouds.,,,30.0,-21.3,No precipitation,12,,,,
31.03.2020 23:00,1.7,670.3,771.4,1.7,19,Wind blowing from the north-northwest,5,,,,Cloud development not observed or not observable. ,,,1.7,10.5,,,2500 or more  or no clouds.,,,30.0,-19.5,No precipitation,12,,,,
31.03.2020 20:00,3.8,668.6,770.0,2.2,16,Wind blowing from the north-northwest,3,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,10.5,,,2500 or more  or no clouds.,,,30.0,-19.7,No precipitation,12,,,,
31.03.2020 17:00,8.3,666.4,766.2,0.6,15,Wind blowing from the north,6,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,14.1,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
31.03.2020 14:00,10.1,665.8,765.1,-0.2,15,Wind blowing from the north,7,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,14.1,,,600-1000,,,30.0,-15.4,No precipitation,12,,,,
31.03.2020 11:00,8.0,666.0,765.1,1.5,19,Wind blowing from the north,10,,17,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,14.1,,,2500 or more  or no clouds.,,,26.0,-14.2,No precipitation,12,,,,
31.03.2020 08:00,3.1,664.5,764.2,1.6,26,Wind blowing from the north,10,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,14.1,,,,,,23.0,-14.6,No precipitation,12,,,,
31.03.2020 05:00,5.2,662.9,761.1,0.1,26,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,,,-1.8,14.1,,,2500 or more  or no clouds.,,,13.0,-12.7,No precipitation,12,,,,
31.03.2020 02:00,4.9,662.8,761.5,-0.3,30,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,14.1,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
30.03.2020 23:00,8.8,663.1,761.7,0.9,24,Wind blowing from the north-northwest,3,,7,,Cloud development not observed or not observable. ,,,-1.8,14.1,,,2500 or more  or no clouds.,,,29.0,-10.7,No precipitation,12,,,,
30.03.2020 20:00,9.2,662.2,761.8,1.0,43,Wind blowing from the north-west,3,,7,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,14.1,,,600-1000,,,9.0,-3.0,No precipitation,12,,,,
30.03.2020 17:00,14.0,661.2,760.1,-1.2,28,Wind blowing from the south,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,14.0,,,600-1000,,,11.0,-4.2,No precipitation,12,,,,
30.03.2020 14:00,11.6,662.4,761.6,-1.5,38,Wind blowing from the south-southeast,3,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,11.6,,,2500 or more  or no clouds.,,,9.0,-2.2,No precipitation,12,,,,
30.03.2020 11:00,8.3,663.9,763.7,0.7,48,Wind blowing from the south-southeast,1,,5,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,11.2,,,2500 or more  or no clouds.,,,6.0,-2.1,No precipitation,12,,,,
30.03.2020 08:00,2.5,663.2,763.7,0.6,71,Wind blowing from the north,1,,5,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,11.2,,,,,,4.4,-2.2,No precipitation,12,,,,
30.03.2020 05:00,0.0,662.6,762.4,-0.2,80,Wind blowing from the north-west,4,,8,,Haze. ,,,-0.1,11.2,,,2500 or more  or no clouds.,,,3.9,-3.0,No precipitation,12,,,,
30.03.2020 02:00,1.8,662.8,762.5,-0.1,71,Wind blowing from the north-northwest,2,,10,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,11.2,,,2500 or more  or no clouds.,,,5.0,-2.9,No precipitation,12,,,,
29.03.2020 23:00,3.0,662.9,763.2,1.0,68,Wind blowing from the north-west,4,,10,,Haze. ,,,2.0,11.2,,,2500 or more  or no clouds.,,,5.0,-2.3,No precipitation,12,,,,
29.03.2020 20:00,4.8,661.9,762.3,0.3,65,Wind blowing from the north-west,3,,10,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,11.2,,,2500 or more  or no clouds.,,,5.0,-1.2,No precipitation,12,,,,
29.03.2020 17:00,10.3,661.6,760.8,-1.4,45,Wind blowing from the south-southwest,6,,,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,11.2,,,600-1000,,,7.0,-1.1,,,,,,
29.03.2020 14:00,9.0,663.0,762.7,-1.8,51,Wind blowing from the south,5,,8,60%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,9.4,,,2500 or more  or no clouds.,,,6.0,-0.6,0.1,12,,,,
29.03.2020 11:00,5.0,664.8,765.2,0.3,70,Wind blowing from the south-east,2,,5,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,8.6,,,2500 or more  or no clouds.,,,3.5,0.0,0.1,12,,,,
29.03.2020 08:00,2.1,664.5,765.3,0.6,91,Wind blowing from the south-southwest,2,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,8.6,,,600-1000,,,6.0,0.8,0.1,12,,,,
29.03.2020 05:00,2.4,663.9,763.8,-1.0,90,Wind blowing from the south-southwest,1,,9,,Rain (not freezing) not falling as shower(s). ,,,-6.9,8.6,,,2500 or more  or no clouds.,,,3.0,0.9,No precipitation,12,,,,
29.03.2020 02:00,2.3,664.9,765.3,-0.4,80,Wind blowing from the north-west,1,,13,,Rain (not freezing) not falling as shower(s). ,Drizzle.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,8.6,,,2500 or more  or no clouds.,,,8.0,-0.8,No precipitation,12,,,,
28.03.2020 23:00,4.0,665.3,766.0,0.3,69,Wind blowing from the south-southwest,2,,13,,Cloud development not observed or not observable. ,,,,8.6,,,2500 or more  or no clouds.,,,15.0,-1.2,No precipitation,12,,,,
28.03.2020 20:00,4.6,665.0,766.6,0.7,56,Wind blowing from the south,1,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,8.6,,,600-1000,,,17.0,-3.4,No precipitation,12,,,,
28.03.2020 17:00,8.4,664.3,766.0,-1.5,22,Wind blowing from the west-southwest,5,,13,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,8.6,,,600-1000,,,30.0,-12.1,No precipitation,12,,,,
28.03.2020 14:00,7.0,665.8,767.8,-2.7,15,Wind blowing from the south,5,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,7.0,,,2500 or more  or no clouds.,,,30.0,-17.9,No precipitation,12,,,,
28.03.2020 11:00,3.6,668.5,771.2,-1.0,16,Wind blowing from the south-southeast,3,,5,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,5.6,,,2500 or more  or no clouds.,,,30.0,-19.9,No precipitation,12,,,,
28.03.2020 08:00,-1.8,669.5,772.6,0.2,23,Wind blowing from the west-northwest,0,,5,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,5.6,,,2500 or more  or no clouds.,,,30.0,-20.2,No precipitation,12,,,,
28.03.2020 05:00,-7.0,669.3,772.5,-0.6,31,Wind blowing from the north-west,5,,8,,Cloud development not observed or not observable. ,,,-8.1,5.6,,,2500 or more  or no clouds.,,,30.0,-21.3,No precipitation,12,,,,
28.03.2020 02:00,-5.0,669.9,772.9,-0.7,28,Wind blowing from the west-northwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,5.6,,,2500 or more  or no clouds.,,,30.0,-20.7,No precipitation,12,,,,
27.03.2020 23:00,-3.4,670.6,774.1,0.0,26,Wind blowing from the north-northwest,3,,11,,Cloud development not observed or not observable. ,,,-8.3,5.6,,,2500 or more  or no clouds.,,,30.0,-20.2,No precipitation,12,,,,
27.03.2020 20:00,0.6,670.6,774.3,0.2,16,Wind blowing from the north-northwest,3,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,5.6,,,,,,30.0,-22.4,No precipitation,12,,,,
27.03.2020 17:00,5.2,670.4,773.9,-1.3,12,Wind blowing from the west-northwest,5,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,5.6,,,,,,30.0,-21.9,No precipitation,12,,,,
