Local time in Heyuan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
30.03.2020 02:00,13.8,754.6,761.1,0.3,96,Wind blowing from the west,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,18.5,,,2500 or more  or no clouds.,,,4.0,13.1,4.0,12,,,,
29.03.2020 23:00,15.6,754.3,760.7,0.9,94,Wind blowing from the east-northeast,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.0,18.5,,,2500 or more  or no clouds.,,,3.8,14.6,0.2,12,,,,
29.03.2020 20:00,16.8,753.4,759.8,0.8,85,Wind blowing from the north,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,18.5,,,600-1000,,,22.0,14.2,No precipitation,12,,,,
29.03.2020 17:00,17.4,752.6,759.1,-1.0,77,Wind blowing from the east-northeast,2,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,18.5,,,600-1000,,,26.0,13.3,No precipitation,12,,,,
29.03.2020 14:00,18.2,753.6,760.0,-2.2,74,Wind blowing from the west-northwest,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,21.1,,,600-1000,,,30.0,13.4,No precipitation,12,,,,
29.03.2020 11:00,16.3,755.8,762.2,0.0,73,Wind blowing from the north-east,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,,,,1500-2000,,,30.0,11.4,No precipitation,12,,,,
29.03.2020 08:00,14.7,755.8,762.3,0.3,72,Wind blowing from the east,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,,,,1500-2000,,,30.0,9.7,No precipitation,12,,,,
29.03.2020 05:00,14.2,755.5,762.0,-1.1,74,Wind blowing from the west,1,,9,,Cloud development not observed or not observable. ,,,14.1,21.1,,,2500 or more  or no clouds.,,,30.0,9.6,No precipitation,12,,,,
29.03.2020 02:00,14.4,756.6,763.0,-1.1,68,Wind blowing from the east-northeast,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,21.1,,,2500 or more  or no clouds.,,,30.0,8.5,No precipitation,12,,,,
28.03.2020 23:00,14.8,757.7,764.2,1.2,68,Wind blowing from the east-northeast,3,,12,,Cloud development not observed or not observable. ,,,14.8,21.1,,,2500 or more  or no clouds.,,,30.0,8.9,No precipitation,12,,,,
28.03.2020 20:00,15.7,756.5,762.9,1.3,69,Wind blowing from the north-northeast,3,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,21.1,,,1500-2000,,,30.0,10.0,No precipitation,12,,,,
28.03.2020 17:00,18.3,755.2,761.5,-0.4,65,Wind blowing from the north-east,3,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,23.8,,,1000-1500,,,30.0,11.6,No precipitation,12,,,,
28.03.2020 14:00,19.8,755.6,762.0,-1.4,62,Wind blowing from the east-northeast,5,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,,,,2500 or more  or no clouds.,,,30.0,12.3,No precipitation,12,,,,
28.03.2020 11:00,18.6,757.0,763.4,1.1,71,Wind blowing from the east-northeast,5,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,,,,600-1000,,,30.0,13.2,4.0,12,,,,
28.03.2020 08:00,20.6,755.9,762.3,1.7,92,Wind blowing from the north-northeast,1,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,,,,600-1000,,,26.0,19.2,6.0,12,,,,
28.03.2020 05:00,20.1,754.2,760.5,-0.4,94,Wind blowing from the west-southwest,1,,8,,Cloud development not observed or not observable. ,,,20.1,27.7,,,2500 or more  or no clouds.,,,22.0,19.1,32.0,12,,,,
28.03.2020 02:00,20.4,754.6,760.9,-0.5,97,Wind blowing from the north-east,2,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.2,27.7,,,2500 or more  or no clouds.,,,20.0,19.9,32.0,12,,,,
27.03.2020 23:00,20.6,755.1,761.4,1.0,96,Wind blowing from the north-west,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,20.2,27.7,,,2500 or more  or no clouds.,,,21.0,19.9,28.0,12,,,,
27.03.2020 20:00,20.6,754.1,760.4,2.2,96,Wind blowing from the east-northeast,2,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.2,27.7,,,600-1000,,,16.0,19.9,28.0,12,,,,
27.03.2020 17:00,23.8,751.9,758.2,-0.7,83,Wind blowing from the west-southwest,3,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.2,27.7,,,600-1000,,,30.0,20.7,3.0,12,,,,
27.03.2020 14:00,27.6,752.6,758.8,-1.9,66,Wind blowing from the south-west,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.2,27.7,,,2500 or more  or no clouds.,,,30.0,20.6,3.0,12,,,,
27.03.2020 11:00,24.5,754.5,760.8,-1.0,76,Wind blowing from the south-west,2,,6,50%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.2,26.9,,,600-1000,,,30.0,19.9,3.0,12,,,,
