Local time in Suifenhe,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 17:00,8.1,703.3,754.4,-0.7,37,Wind blowing from the west,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,10.3,,,2500 or more  or no clouds.,,,30.0,-5.7,No precipitation,12,,,,
03.04.2020 14:00,10.0,704.0,754.6,-3.2,19,Wind blowing from the south-southwest,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,13.2,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
03.04.2020 11:00,8.7,707.2,757.9,-2.4,17,Wind blowing from the south-west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,13.2,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
03.04.2020 08:00,3.1,709.6,760.6,-0.3,28,Wind blowing from the west,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,13.2,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
03.04.2020 05:00,-2.9,709.9,761.3,-1.2,52,Wind blowing from the west-northwest,2,,16,,Cloud development not observed or not observable. ,,,-2.9,13.2,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
03.04.2020 02:00,0.3,711.1,762.0,,35,Wind blowing from the west-southwest,1,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,13.2,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
02.04.2020 20:00,6.7,708.3,759.1,1.4,32,Wind blowing from the west-northwest,8,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,13.2,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
02.04.2020 17:00,10.0,706.9,758.0,0.9,25,Wind blowing from the west-northwest,7,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,13.2,,,2500 or more  or no clouds.,,,28.0,-9.1,No precipitation,12,,,,
02.04.2020 14:00,12.4,706.0,756.7,-1.2,19,Wind blowing from the west,8,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,12.8,,,2500 or more  or no clouds.,,,30.0,-10.6,No precipitation,12,,,,
02.04.2020 11:00,11.1,707.2,757.9,-1.0,19,Wind blowing from the west-northwest,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,11.1,,,2500 or more  or no clouds.,,,25.0,-11.7,No precipitation,12,,,,
02.04.2020 08:00,5.5,708.2,759.4,-0.7,28,Wind blowing from the west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,8.5,,,2500 or more  or no clouds.,,,24.0,-11.6,No precipitation,12,,,,
02.04.2020 05:00,-1.8,708.9,760.3,-0.8,48,Wind blowing from the west,3,,6,,Cloud development not observed or not observable. ,,,-2.4,8.5,,,2500 or more  or no clouds.,,,18.0,-11.4,No precipitation,12,,,,
02.04.2020 02:00,-1.2,709.7,761.2,,47,Wind blowing from the west-northwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,8.5,,,2500 or more  or no clouds.,,,20.0,-11.1,No precipitation,12,,,,
01.04.2020 20:00,2.6,710.7,762.1,1.1,32,Wind blowing from the west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,8.5,,,2500 or more  or no clouds.,,,16.0,-12.4,No precipitation,12,,,,
01.04.2020 17:00,7.2,709.6,760.8,-0.2,20,Wind blowing from the west-northwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,11.3,,,2500 or more  or no clouds.,,,27.0,-14.3,No precipitation,12,,,,
01.04.2020 14:00,7.7,709.8,760.8,-1.6,17,Wind blowing from the north-west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,15.6,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
01.04.2020 11:00,5.9,711.4,762.5,-0.2,28,Wind blowing from the west-northwest,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
01.04.2020 08:00,4.2,711.6,762.7,0.4,49,Wind blowing from the north-northwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,,,,2500 or more  or no clouds.,,,30.0,-5.8,No precipitation,12,,,,
01.04.2020 05:00,1.0,711.2,762.2,1.0,77,Wind blowing from the north-northwest,3,,12,,Cloud development not observed or not observable. ,,,0.6,15.6,,,2500 or more  or no clouds.,,,30.0,-2.6,No precipitation,12,,,,
01.04.2020 02:00,3.1,710.2,760.6,,67,Wind blowing from the north-west,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,15.6,,,2500 or more  or no clouds.,,,30.0,-2.6,No precipitation,12,,,,
31.03.2020 20:00,6.4,709.3,759.9,1.9,58,Wind blowing from the west-northwest,3,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,15.6,,,1000-1500,,,15.0,-1.3,No precipitation,12,,,,
31.03.2020 17:00,11.3,707.4,757.8,0.7,36,Wind blowing from the west-northwest,6,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,15.6,,,2500 or more  or no clouds.,,,23.0,-3.2,No precipitation,12,,,,
31.03.2020 14:00,14.7,706.7,756.8,-1.8,22,Wind blowing from the south-southwest,5,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,14.8,,,2500 or more  or no clouds.,,,30.0,-6.8,No precipitation,12,,,,
31.03.2020 11:00,13.0,708.5,758.8,-1.2,23,Wind blowing from the south-west,4,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,14.8,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
31.03.2020 08:00,8.3,709.7,760.2,-0.5,32,Wind blowing from the south-southwest,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,14.8,,,2500 or more  or no clouds.,,,29.0,-7.4,No precipitation,12,,,,
31.03.2020 05:00,3.9,710.2,760.8,-0.6,40,Wind blowing from the west-northwest,1,,6,,Cloud development not observed or not observable. ,,,0.0,14.8,,,2500 or more  or no clouds.,,,30.0,-8.5,No precipitation,12,,,,
31.03.2020 02:00,3.5,710.8,761.2,,44,Wind blowing from the north-west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,14.8,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
30.03.2020 20:00,8.3,710.8,761.5,1.2,25,Wind blowing from the south-west,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,14.8,,,,,,30.0,-10.6,No precipitation,12,,,,
30.03.2020 17:00,12.6,709.6,760.5,0.2,16,Wind blowing from the south-west,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,14.8,,,,,,30.0,-12.6,No precipitation,12,,,,
30.03.2020 14:00,14.5,709.4,760.0,-1.4,15,Wind blowing from the south-southwest,3,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,14.5,,,,,,30.0,-11.8,No precipitation,12,,,,
30.03.2020 11:00,12.2,710.8,761.7,-0.3,21,Wind blowing from the west-southwest,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,12.2,,,,,,30.0,-9.5,No precipitation,12,,,,
30.03.2020 08:00,6.9,711.1,762.2,0.3,30,Wind blowing from the west,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,10.7,,,,,,30.0,-9.5,No precipitation,12,,,,
30.03.2020 05:00,0.2,710.8,762.1,0.4,46,Wind blowing from the north-west,2,,6,,Cloud development not observed or not observable. ,,,-4.2,10.7,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
30.03.2020 02:00,1.3,710.4,761.4,,40,Wind blowing from the west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,10.7,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
29.03.2020 20:00,4.6,710.8,762.4,1.0,28,Wind blowing from the south-west,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,10.7,,,,,,30.0,-12.3,No precipitation,12,,,,
29.03.2020 17:00,8.5,709.8,761.4,-0.3,21,Wind blowing from the west-southwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,10.7,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
29.03.2020 14:00,10.1,710.1,761.5,-1.8,19,Wind blowing from the south-west,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,10.4,,,,,,30.0,-12.5,No precipitation,12,,,,
29.03.2020 11:00,7.7,711.9,763.6,-1.5,21,Wind blowing from the south-west,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,7.7,,,,,,30.0,-13.3,No precipitation,12,,,,
29.03.2020 08:00,1.3,713.4,765.8,0.1,29,Wind blowing from the west,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,1.3,,,,,,30.0,-14.8,No precipitation,12,,,,
29.03.2020 05:00,-3.4,713.3,766.0,0.3,40,Wind blowing from the west,3,,11,,Cloud development not observed or not observable. ,,,-6.0,0.5,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,12,,,,
29.03.2020 02:00,-2.9,713.0,765.6,,39,Wind blowing from the west,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,0.5,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,12,,,,
28.03.2020 20:00,-2.1,712.9,765.9,1.6,34,Wind blowing from the west,4,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,0.5,,,,,,30.0,-15.9,No precipitation,12,,,,
28.03.2020 17:00,-0.5,711.3,764.1,0.4,28,Wind blowing from the west-northwest,6,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,0.5,,,,,,30.0,-16.8,No precipitation,12,,,,
28.03.2020 14:00,0.0,710.9,763.6,-1.0,28,Wind blowing from the west,7,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,1.4,,,,,,30.0,-16.3,No precipitation,12,,,,
28.03.2020 11:00,-2.1,711.9,764.7,0.6,36,Wind blowing from the west,7,,17,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,1.5,,,600-1000,,,30.0,-15.2,No precipitation,12,,,,
28.03.2020 08:00,-4.4,711.3,764.2,1.1,38,Wind blowing from the west-northwest,9,,16,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,1.5,,,600-1000,,,25.0,-16.6,No precipitation,12,,,,
28.03.2020 05:00,-6.0,710.2,762.9,0.9,47,Wind blowing from the west,5,,,,Cloud development not observed or not observable. ,,,-6.0,1.5,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
28.03.2020 02:00,-5.0,709.3,761.7,,44,Wind blowing from the west,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,1.5,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
27.03.2020 20:00,-2.7,709.5,762.1,1.3,44,Wind blowing from the west-northwest,6,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,3.4,,,,,,30.0,-13.5,No precipitation,12,,,,
27.03.2020 17:00,-0.2,708.2,760.4,0.3,29,Wind blowing from the west-northwest,6,,,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,,,,600-1000,,,30.0,-16.1,No precipitation,12,,,,
27.03.2020 14:00,1.2,707.9,760.0,-1.3,27,Wind blowing from the west-northwest,7,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,,,,,,,30.0,-15.7,No precipitation,12,,,,
27.03.2020 11:00,-0.5,709.2,761.4,-0.8,37,Wind blowing from the west,6,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,,,,,,,30.0,-13.7,0.3,12,,,,
27.03.2020 08:00,-2.8,710.0,762.1,-0.4,33,Wind blowing from the west-northwest,8,,15,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,12.0,,,1000-1500,,,30.0,-16.8,0.3,12,,,,
27.03.2020 05:00,-2.6,710.4,761.9,-0.1,69,Wind blowing from the west,4,,15,,Cloud development not observed or not observable. ,,,-3.1,12.0,,,2500 or more  or no clouds.,,,30.0,-7.5,0.3,12,,,,
27.03.2020 02:00,-2.9,710.5,761.8,,75,Wind blowing from the west,4,,15,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,12.0,,,2500 or more  or no clouds.,,,20.0,-6.7,0.3,12,,,,
26.03.2020 20:00,3.4,710.4,761.6,1.5,71,Wind blowing from the west,6,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,12.0,,,2500 or more  or no clouds.,,,30.0,-1.5,No precipitation,12,,,,
26.03.2020 17:00,8.4,708.9,759.9,,50,Wind blowing from the west-northwest,5,,,100%., ,,,,,,,2500 or more  or no clouds.,,,30.0,-1.4,,,,,,
26.03.2020 14:00,11.4,708.9,759.5,-0.7,33,Wind blowing from the west,5,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,11.9,,,2500 or more  or no clouds.,,,30.0,-4.3,No precipitation,12,,,,
26.03.2020 11:00,11.7,709.6,760.2,,31,Wind blowing from the west,5,,9,90  or more  but not 100%, ,,,0.8,11.8,,,,,,30.0,-4.9,No precipitation,6,,,,
26.03.2020 08:00,5.5,710.3,761.5,0.7,64,Wind blowing from the west-northwest,3,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,10.9,,,2500 or more  or no clouds.,,,24.0,-0.8,No precipitation,12,,,,
26.03.2020 05:00,2.3,709.6,760.9,,81,Wind blowing from the west-northwest,2,,3,, ,,,-4.2,10.9,,,,,,25.0,-0.6,No precipitation,6,,,,
