Local time in Shaoyang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 20:00,11.1,739.5,767.8,1.3,100,Wind blowing from the north-east,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,11.9,,,2500 or more  or no clouds.,,,5.0,11.1,1.0,12,,,,
03.04.2020 17:00,11.0,738.2,766.4,-0.3,100,Wind blowing from the north-northeast,2,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,11.9,,,2500 or more  or no clouds.,,,2.4,11.0,3.0,12,,,,
03.04.2020 14:00,11.7,738.5,766.7,-1.7,100,Wind blowing from the north-northeast,3,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,11.9,,,2500 or more  or no clouds.,,,4.7,11.7,19.0,12,,,,
03.04.2020 11:00,11.4,740.2,768.4,0.6,100,Wind blowing from the north-northeast,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,12.3,,,2500 or more  or no clouds.,,,2.5,11.4,20.0,12,,,,
03.04.2020 08:00,10.7,739.6,767.8,1.8,100,Wind blowing from the north,0,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,,,,2500 or more  or no clouds.,,,1.4,10.7,20.0,12,,,,
03.04.2020 05:00,10.5,737.8,766.0,-1.0,100,Wind blowing from the east-northeast,1,,6,,Rain  not freezing  intermittent  heavy at time of observation. ,,,10.3,,,,2500 or more  or no clouds.,,,0.4,10.5,19.0,12,,,,
03.04.2020 02:00,10.6,738.8,767.0,,100,Wind blowing from the north-west,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,,,,2500 or more  or no clouds.,,,1.3,10.6,10.0,12,,,,
02.04.2020 20:00,10.7,738.3,766.5,1.1,100,Wind blowing from the north-northwest,1,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,,,,2500 or more  or no clouds.,,,1.7,10.7,13.0,12,,,,
02.04.2020 17:00,10.9,737.2,765.4,-1.2,100,Wind blowing from the north-east,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,,,,2500 or more  or no clouds.,,,2.8,10.9,12.0,12,,,,
02.04.2020 14:00,10.8,738.4,766.5,-0.6,100,Wind blowing from the west-southwest,1,,6,,Rain  not freezing  intermittent  heavy at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,,,,2500 or more  or no clouds.,,,1.4,10.8,5.0,12,,,,
02.04.2020 11:00,11.8,739.0,767.1,,85,Wind blowing from the east-northeast,3,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,,,,,,,4.9,9.4,0.2,6,,,,
02.04.2020 08:00,10.5,738.2,766.3,1.0,100,Wind blowing from the east-northeast,1,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,16.9,,,2500 or more  or no clouds.,,,2.4,10.5,1.0,12,,,,
02.04.2020 05:00,10.8,737.2,765.1,0.0,100,Wind blowing from the east-northeast,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,6.8,16.9,,,2500 or more  or no clouds.,,,2.2,10.8,0.9,12,,,,
02.04.2020 02:00,12.1,737.2,765.0,,81,Wind blowing from the east-northeast,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.9,,,2500 or more  or no clouds.,,,5.0,8.9,No precipitation,12,,,,
01.04.2020 20:00,13.7,736.2,764.3,1.1,67,Wind blowing from the east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.9,,,2500 or more  or no clouds.,,,8.0,7.7,No precipitation,12,,,,
01.04.2020 17:00,15.2,735.1,763.1,-0.6,67,Wind blowing from the east,3,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.9,,,2500 or more  or no clouds.,,,7.0,9.1,No precipitation,12,,,,
01.04.2020 14:00,16.3,735.7,763.7,-2.4,60,Wind blowing from the east-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.4,,,2500 or more  or no clouds.,,,7.0,8.5,No precipitation,12,,,,
01.04.2020 11:00,13.2,738.1,766.3,0.3,100,Wind blowing from the north-northwest,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,15.3,,,2500 or more  or no clouds.,,,5.0,13.2,No precipitation,12,,,,
01.04.2020 08:00,8.3,737.8,766.0,1.5,100,Wind blowing from the east,0,,4,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,15.3,,,2500 or more  or no clouds.,,,0.1,8.3,No precipitation,12,,,,
01.04.2020 05:00,7.1,736.3,764.4,-0.8,100,Wind blowing from the north-east,1,,5,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,7.1,15.3,,,2500 or more  or no clouds.,,,0.1,7.1,No precipitation,12,,,,
01.04.2020 02:00,8.3,737.1,765.2,,100,Wind blowing from the east-northeast,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,15.3,,,2500 or more  or no clouds.,,,2.5,8.3,No precipitation,12,,,,
31.03.2020 20:00,11.3,736.1,764.4,1.3,82,Wind blowing from the east-northeast,2,,6,10%  or less  but not 0,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,15.3,,,2000-2500,,,6.0,8.3,No precipitation,12,,,,
31.03.2020 17:00,14.6,734.8,762.8,-0.7,62,Wind blowing from the east-southeast,1,,,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,15.3,,,2000-2500,,,9.0,7.4,0.3,12,,,,
31.03.2020 14:00,14.2,735.5,763.6,,66,Wind blowing from the south-west,3,,,50%., ,,,,,,,2000-2500,,,8.0,7.9,,,,,,
31.03.2020 11:00,10.6,737.3,765.7,0.4,87,Wind blowing from the west-southwest,2,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,10.6,,,1500-2000,,,7.0,8.5,0.8,12,,,,
31.03.2020 08:00,7.6,736.9,765.4,1.2,100,Wind blowing from the west-southwest,1,,4,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,,,,1500-2000,,,1.8,7.6,0.9,12,,,,
31.03.2020 05:00,7.1,735.7,764.2,-0.6,100,Wind blowing from the north-northeast,1,,4,,Rain (not freezing) not falling as shower(s). ,,,6.1,8.9,,,2500 or more  or no clouds.,,,1.6,7.1,0.6,12,,,,
31.03.2020 02:00,7.2,736.3,764.8,,100,Wind blowing from the north-northeast,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,8.9,,,2500 or more  or no clouds.,,,1.2,7.2,0.4,12,,,,
30.03.2020 20:00,7.5,735.6,764.1,1.1,100,Wind blowing from the east,2,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,8.9,,,1500-2000,,,2.8,7.5,Trace of precipitation,12,,,,
30.03.2020 17:00,8.2,734.5,762.9,-1.2,87,Wind blowing from the east,2,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,8.9,,,1500-2000,,,6.0,6.2,0.1,12,,,,
30.03.2020 14:00,8.7,735.7,764.2,-1.8,82,Wind blowing from the east,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,8.9,,,2500 or more  or no clouds.,,,6.0,5.8,0.7,12,,,,
30.03.2020 11:00,7.7,737.5,766.1,0.3,100,Wind blowing from the east,1,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,7.7,,,1500-2000,,,4.8,7.7,4.0,12,,,,
30.03.2020 08:00,6.3,737.2,765.8,0.7,100,Wind blowing from the south-east,0,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,,,,300-600,,,2.2,6.3,8.0,12,,,,
30.03.2020 05:00,6.2,736.5,765.1,-0.7,100,Wind blowing from the east-northeast,1,,5,,Mist. ,,,5.6,7.0,,,2500 or more  or no clouds.,,,2.8,6.2,12.0,12,,,,
30.03.2020 02:00,6.1,737.2,765.8,,100,Wind blowing from the north-east,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,7.0,,,2500 or more  or no clouds.,,,1.5,6.1,13.0,12,,,,
29.03.2020 20:00,6.2,736.6,765.3,1.2,100,Wind blowing from the east-northeast,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,7.0,,,300-600,,,2.9,6.2,15.0,12,,,,
29.03.2020 17:00,7.0,735.4,764.0,-0.8,100,Wind blowing from the north-northeast,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,7.3,,,300-600,,,3.0,7.0,17.0,12,,,,
29.03.2020 14:00,6.9,736.2,764.8,-1.0,100,Wind blowing from the north-west,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,8.3,,,300-600,,,3.2,6.9,17.0,12,,,,
29.03.2020 11:00,6.7,737.2,765.8,1.1,100,Wind blowing from the north,0,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,8.3,,,300-600,,,3.1,6.7,15.0,12,,,,
29.03.2020 08:00,6.0,736.1,764.7,,100,Wind blowing from the north,1,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,,,,300-600,,,2.0,6.0,8.0,6,,,,
29.03.2020 05:00,5.6,735.2,763.7,-0.4,100,Wind blowing from the north-northeast,3,,7,,Rain  not freezing  intermittent  moderate at time of observation. ,,,5.0,8.3,,,2500 or more  or no clouds.,,,2.5,5.6,3.0,12,,,,
29.03.2020 02:00,5.5,735.6,764.2,,100,Wind blowing from the east-northeast,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,8.3,,,2500 or more  or no clouds.,,,1.3,5.5,1.0,12,,,,
28.03.2020 20:00,6.5,737.3,766.0,-0.2,85,Wind blowing from the east-northeast,3,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,8.3,,,1500-2000,,,8.0,4.2,No precipitation,12,,,,
28.03.2020 17:00,7.3,737.5,766.1,-1.9,77,Wind blowing from the east-northeast,3,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,9.7,,,1500-2000,,,10.0,3.5,No precipitation,12,,,,
28.03.2020 14:00,7.4,739.4,768.1,-1.6,77,Wind blowing from the north-northeast,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,10.5,,,1500-2000,,,9.0,3.5,No precipitation,12,,,,
28.03.2020 11:00,7.0,741.0,769.7,-1.3,73,Wind blowing from the east-northeast,4,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,,,,1500-2000,,,12.0,2.5,No precipitation,12,,,,
28.03.2020 08:00,5.8,742.3,771.1,1.3,77,Wind blowing from the north-northeast,3,,10,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,,,,1500-2000,,,13.0,2.1,0.1,12,,,,
28.03.2020 05:00,5.0,741.0,769.6,,84,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,13.0,2.5,,,,,,
28.03.2020 02:00,5.9,741.5,770.1,,84,Wind blowing from the north-east,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,,,,2500 or more  or no clouds.,,,11.0,3.4,1.0,12,,,,
27.03.2020 20:00,7.8,738.4,766.6,2.7,90,Wind blowing from the north-northeast,5,,12,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,22.0,,,300-600,,,7.0,6.3,11.0,12,,,,
27.03.2020 17:00,9.6,735.7,763.6,,91,Wind blowing from the north-east,6,,15,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,25.1,,,1500-2000,,,12.0,8.2,9.0,6,,,,
27.03.2020 14:00,10.5,735.1,762.7,-1.7,100,Wind blowing from the north-east,4,,15,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,25.1,,,300-600,,,3.8,10.5,20.0,12,,,,
27.03.2020 11:00,12.0,736.8,764.4,3.0,91,Wind blowing from the north,3,,15,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,25.1,,,300-600,,,3.7,10.6,12.0,12,,,,
27.03.2020 08:00,14.0,733.8,761.1,,98,Wind blowing from the north-east,6,,15,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,25.1,,,1500-2000,,,10.0,13.7,10.0,6,,,,
27.03.2020 05:00,17.8,731.4,758.3,-0.4,100,Wind blowing from the north-east,7,,13,,Rain  not freezing  intermittent  heavy at time of observation. ,,,16.0,25.1,,,2500 or more  or no clouds.,,,1.2,17.8,6.0,12,,,,
27.03.2020 02:00,20.3,731.8,758.6,,95,Wind blowing from the north-east,6,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,25.1,,,2500 or more  or no clouds.,,,6.0,19.5,No precipitation,12,,,,
26.03.2020 20:00,21.8,730.0,757.1,1.3,86,Wind blowing from the east,3,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,25.1,,,2500 or more  or no clouds.,,,8.0,19.4,No precipitation,12,,,,
26.03.2020 17:00,25.1,728.7,755.5,,69,Wind blowing from the south-east,3,,,60%., ,,,,,,,2500 or more  or no clouds.,,,9.0,19.0,,,,,,
26.03.2020 14:00,24.6,729.4,756.3,-2.0,68,Wind blowing from the south-east,3,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,26.1,,,1500-2000,,,10.0,18.3,10.0,12,,,,
26.03.2020 11:00,18.6,731.4,758.5,,100,Wind blowing from the east-northeast,1,,9,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,,,,,,,6.0,18.6,5.0,6,,,,
26.03.2020 08:00,16.2,730.5,757.6,1.5,100,Wind blowing from the north,0,,9,100%.,Rain (not freezing) not falling as shower(s). ,Shower(s).,Rain.,16.0,26.1,,,300-600,,,2.5,16.2,10.0,12,,,,
26.03.2020 05:00,16.6,729.0,755.9,,100,Wind blowing from the west,4,,9,,Rain  not freezing  intermittent  moderate at time of observation. ,,,16.6,26.1,,,,,,2.3,16.6,5.0,6,,,,
26.03.2020 02:00,18.4,729.2,756.0,,82,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,9.0,15.3,,,,,,
25.03.2020 20:00,22.1,728.4,755.3,0.3,73,Wind blowing from the south,2,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.0,26.1,,,1500-2000,,,9.0,17.0,No precipitation,12,,,,
25.03.2020 17:00,24.4,728.1,754.9,,66,Wind blowing from the south,4,,,90  or more  but not 100%, ,,,,,,,,,,9.0,17.6,,,,,,
25.03.2020 14:00,25.5,729.1,756.0,-1.5,68,Wind blowing from the east-southeast,2,,4,90  or more  but not 100%,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.0,25.5,,,2500 or more  or no clouds.,,,6.0,19.2,No precipitation,12,,,,
25.03.2020 11:00,22.5,730.6,757.6,,93,Wind blowing from the south-southwest,1,,3,70 – 80%.,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.0,22.5,,,1500-2000,,,4.8,21.3,No precipitation,6,,,,
25.03.2020 08:00,17.4,731.2,758.4,0.8,100,Wind blowing from the east-northeast,1,,,100%.,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.4,,,,1500-2000,,,0.1,17.4,No precipitation,12,,,,
