Local time in Lenghu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,5.4,546.5,766.3,-0.7,20,Wind blowing from the west-northwest,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,7.8,,,2500 or more  or no clouds.,,,23.0,-15.8,No precipitation,12,,,,
06.04.2020 14:00,5.5,547.2,766.4,-0.9,18,Wind blowing from the west-northwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,7.9,,,2500 or more  or no clouds.,,,18.0,-17.0,No precipitation,12,,,,
06.04.2020 11:00,2.9,548.1,767.8,0.6,24,Wind blowing from the west-northwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,7.9,,,2500 or more  or no clouds.,,,19.0,-15.7,No precipitation,12,,,,
06.04.2020 08:00,-7.3,547.5,769.1,0.4,44,Wind blowing from the north-west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,7.9,,,2500 or more  or no clouds.,,,10.0,-17.7,No precipitation,12,,,,
06.04.2020 05:00,-5.2,547.1,766.0,-0.5,37,Wind blowing from the north-west,2,,13,,Cloud development not observed or not observable. ,,,-7.8,7.9,,,2500 or more  or no clouds.,,,21.0,-17.9,No precipitation,12,,,,
06.04.2020 02:00,-3.5,547.6,767.0,-0.2,30,Wind blowing from the north-northwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,7.9,,,2500 or more  or no clouds.,,,21.0,-18.6,No precipitation,12,,,,
05.04.2020 23:00,-0.9,547.8,767.5,0.7,25,Wind blowing from the west,5,,,,Cloud development not observed or not observable. ,,,-7.8,7.9,,,2500 or more  or no clouds.,,,14.0,-18.5,No precipitation,12,,,,
05.04.2020 20:00,4.4,547.1,768.8,0.9,15,Wind blowing from the west-northwest,8,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,7.9,,,2500 or more  or no clouds.,,,6.0,-20.0,No precipitation,12,,,,
05.04.2020 17:00,7.9,546.2,765.0,-1.2,20,Wind blowing from the west,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,7.9,,,2500 or more  or no clouds.,,,15.0,-13.7,No precipitation,12,,,,
05.04.2020 14:00,5.6,547.4,766.3,-1.2,23,Wind blowing from the west-southwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,6.7,,,2500 or more  or no clouds.,,,15.0,-13.9,No precipitation,12,,,,
05.04.2020 11:00,2.7,548.6,768.5,0.4,42,Wind blowing from the west-southwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,6.7,,,2500 or more  or no clouds.,,,11.0,-9.2,No precipitation,12,,,,
05.04.2020 08:00,-7.8,548.2,770.8,0.4,51,Wind blowing from the south-southeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,6.7,,,2500 or more  or no clouds.,,,10.0,-16.2,No precipitation,12,,,,
05.04.2020 05:00,-5.7,547.8,767.8,-0.3,57,Wind blowing from the west-northwest,1,,13,,Cloud development not observed or not observable. ,,,-9.8,6.7,,,2500 or more  or no clouds.,,,12.0,-12.9,No precipitation,12,,,,
05.04.2020 02:00,-2.6,548.1,767.6,-0.5,47,Wind blowing from the west,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,6.7,,,2500 or more  or no clouds.,,,12.0,-12.6,No precipitation,12,,,,
04.04.2020 23:00,-1.0,548.6,769.5,0.8,37,Wind blowing from the west,5,,,,Cloud development not observed or not observable. ,,,-9.8,6.7,,,2500 or more  or no clouds.,,,15.0,-13.9,No precipitation,12,,,,
04.04.2020 20:00,3.4,547.8,771.3,0.3,26,Wind blowing from the west,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,6.7,,,2500 or more  or no clouds.,,,17.0,-14.3,No precipitation,12,,,,
04.04.2020 17:00,6.5,547.5,767.7,-1.0,21,Wind blowing from the west,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,6.6,,,2500 or more  or no clouds.,,,10.0,-14.3,No precipitation,12,,,,
04.04.2020 14:00,4.9,548.5,768.4,-0.9,26,Wind blowing from the west,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,7.0,,,2500 or more  or no clouds.,,,12.0,-13.0,No precipitation,12,,,,
04.04.2020 11:00,0.7,549.4,770.8,0.5,17,Wind blowing from the south,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,7.0,,,2500 or more  or no clouds.,,,11.0,-21.6,No precipitation,12,,,,
04.04.2020 08:00,-9.8,548.9,773.5,1.0,41,Wind blowing from the north,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,7.0,,,2500 or more  or no clouds.,,,22.0,-20.6,No precipitation,12,,,,
04.04.2020 05:00,-6.1,547.9,768.7,0.1,31,Wind blowing from the west-northwest,3,,13,,Cloud development not observed or not observable. ,,,-7.0,7.0,,,2500 or more  or no clouds.,,,26.0,-20.5,No precipitation,12,,,,
04.04.2020 02:00,-3.1,547.8,767.2,-0.1,26,Wind blowing from the north-northeast,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,7.0,,,2500 or more  or no clouds.,,,27.0,-19.9,No precipitation,12,,,,
03.04.2020 23:00,-1.5,547.9,767.5,1.6,24,Wind blowing from the north-northeast,6,,14,,Cloud development not observed or not observable. ,,,-7.0,7.0,,,2500 or more  or no clouds.,,,24.0,-19.5,No precipitation,12,,,,
03.04.2020 20:00,1.9,546.3,768.1,0.9,15,Wind blowing from the west-northwest,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,7.0,,,2500 or more  or no clouds.,,,29.0,-22.0,No precipitation,12,,,,
03.04.2020 17:00,5.3,545.4,765.4,-0.4,9,Wind blowing from the west,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,9.3,,,2500 or more  or no clouds.,,,28.0,-25.1,No precipitation,12,,,,
03.04.2020 14:00,5.5,545.8,764.7,-0.2,11,Wind blowing from the south-east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,9.6,,,2500 or more  or no clouds.,,,30.0,-22.7,No precipitation,12,,,,
03.04.2020 11:00,3.5,546.0,764.2,1.1,16,Wind blowing from the north-east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,9.6,,,2500 or more  or no clouds.,,,22.0,-20.0,No precipitation,12,,,,
03.04.2020 08:00,-6.1,544.9,764.4,0.7,31,Wind blowing from the north-northwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,9.6,,,2500 or more  or no clouds.,,,24.0,-20.5,No precipitation,12,,,,
03.04.2020 05:00,-6.5,544.2,761.9,0.3,26,Wind blowing from the north-northwest,3,,13,,Cloud development not observed or not observable. ,,,-6.8,9.6,,,2500 or more  or no clouds.,,,27.0,-22.9,No precipitation,12,,,,
03.04.2020 02:00,-3.8,543.9,760.4,-0.2,32,Wind blowing from the north-northeast,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,9.6,,,2500 or more  or no clouds.,,,25.0,-18.1,No precipitation,12,,,,
02.04.2020 23:00,-0.1,544.1,761.1,1.7,26,Wind blowing from the north-east,5,,14,,Cloud development not observed or not observable. ,,,-6.1,9.6,,,2500 or more  or no clouds.,,,22.0,-17.3,No precipitation,12,,,,
02.04.2020 20:00,5.6,542.4,760.7,0.5,18,Wind blowing from the north-east,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,9.6,,,2500 or more  or no clouds.,,,16.0,-16.9,No precipitation,12,,,,
02.04.2020 17:00,9.2,541.9,757.2,-1.1,8,Wind blowing from the west-northwest,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,9.6,,,2500 or more  or no clouds.,,,27.0,-23.4,No precipitation,12,,,,
02.04.2020 14:00,8.8,543.0,758.5,-0.9,8,Wind blowing from the north-northwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,9.5,,,2500 or more  or no clouds.,,,22.0,-23.7,No precipitation,12,,,,
02.04.2020 11:00,4.4,543.9,760.8,0.2,20,Wind blowing from the north-northeast,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,9.5,,,2500 or more  or no clouds.,,,15.0,-16.6,No precipitation,12,,,,
02.04.2020 08:00,-5.9,543.7,762.9,0.4,51,Wind blowing from the north-northwest,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,9.5,,,2500 or more  or no clouds.,,,14.0,-14.4,No precipitation,12,,,,
02.04.2020 05:00,-3.0,543.3,759.1,0.0,36,Wind blowing from the west-northwest,2,,13,,Cloud development not observed or not observable. ,,,-7.5,9.5,,,2500 or more  or no clouds.,,,18.0,-16.0,No precipitation,12,,,,
02.04.2020 02:00,-2.1,543.3,759.9,0.1,38,Wind blowing from the west-northwest,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,9.5,,,2500 or more  or no clouds.,,,16.0,-14.8,No precipitation,12,,,,
01.04.2020 23:00,-0.2,543.2,760.2,1.1,33,Wind blowing from the west,5,,,,Cloud development not observed or not observable. ,,,-7.5,9.5,,,2500 or more  or no clouds.,,,10.0,-14.5,No precipitation,12,,,,
01.04.2020 20:00,5.1,542.1,761.2,0.4,21,Wind blowing from the west,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,9.5,,,2500 or more  or no clouds.,,,14.0,-15.4,No precipitation,12,,,,
01.04.2020 17:00,9.2,541.7,758.1,-1.3,16,Wind blowing from the west,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,9.5,,,2500 or more  or no clouds.,,,12.0,-15.3,No precipitation,12,,,,
01.04.2020 14:00,6.7,543.0,759.7,-1.2,17,Wind blowing from the south-west,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,6.8,,,2500 or more  or no clouds.,,,14.0,-16.6,No precipitation,12,,,,
01.04.2020 11:00,3.6,544.2,761.2,0.3,14,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,6.5,,,2500 or more  or no clouds.,,,21.0,-21.4,No precipitation,12,,,,
01.04.2020 08:00,-7.4,543.9,765.1,0.6,39,Wind blowing from the west,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,6.5,,,2500 or more  or no clouds.,,,19.0,-19.0,No precipitation,12,,,,
01.04.2020 05:00,-5.7,543.3,762.1,-0.4,33,Wind blowing from the east-northeast,1,,13,,Cloud development not observed or not observable. ,,,-5.8,6.5,,,2500 or more  or no clouds.,,,20.0,-19.4,No precipitation,12,,,,
01.04.2020 02:00,-2.8,543.7,761.8,-0.8,25,Wind blowing from the north-west,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,6.5,,,2500 or more  or no clouds.,,,20.0,-20.1,No precipitation,12,,,,
31.03.2020 23:00,0.7,544.5,762.5,0.8,19,Wind blowing from the west-northwest,6,,15,,Cloud development not observed or not observable. ,,,-5.8,6.5,,,2500 or more  or no clouds.,,,18.0,-20.3,No precipitation,12,,,,
31.03.2020 20:00,2.4,543.7,763.9,-0.1,13,Wind blowing from the north-west,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,6.5,,,2500 or more  or no clouds.,,,20.0,-23.2,No precipitation,12,,,,
31.03.2020 17:00,5.5,543.8,761.0,-0.9,8,Wind blowing from the north-west,8,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,6.5,,,2500 or more  or no clouds.,,,17.0,-26.2,No precipitation,12,,,,
31.03.2020 14:00,4.4,544.7,763.0,-0.6,22,Wind blowing from the west,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,5.9,,,2500 or more  or no clouds.,,,10.0,-15.5,No precipitation,12,,,,
31.03.2020 11:00,1.6,545.3,763.7,1.1,32,Wind blowing from the west-northwest,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,5.9,,,2500 or more  or no clouds.,,,8.0,-13.3,No precipitation,12,,,,
31.03.2020 08:00,-5.5,544.2,764.3,0.9,57,Wind blowing from the south,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,5.9,,,2500 or more  or no clouds.,,,11.0,-12.7,No precipitation,12,,,,
31.03.2020 05:00,-2.0,543.3,760.3,-0.7,56,Wind blowing from the south-west,1,,12,,Cloud development not observed or not observable. ,,,-7.1,5.9,,,2500 or more  or no clouds.,,,8.0,-9.8,No precipitation,12,,,,
31.03.2020 02:00,-2.4,544.0,762.1,-0.5,59,Wind blowing from the north,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,5.9,,,2500 or more  or no clouds.,,,8.0,-9.5,No precipitation,12,,,,
30.03.2020 23:00,0.5,544.5,763.1,0.5,53,Wind blowing from the west-southwest,5,,,,Cloud development not observed or not observable. ,,,-7.1,5.9,,,2500 or more  or no clouds.,,,9.0,-8.2,No precipitation,12,,,,
30.03.2020 20:00,2.9,544.0,764.3,-0.2,36,Wind blowing from the west-southwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,5.9,,,2500 or more  or no clouds.,,,7.0,-10.7,No precipitation,12,,,,
30.03.2020 17:00,5.5,544.2,762.6,-0.9,26,Wind blowing from the west,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,7.3,,,2500 or more  or no clouds.,,,8.0,-12.5,No precipitation,12,,,,
30.03.2020 14:00,4.3,545.1,763.8,-0.5,28,Wind blowing from the west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,7.9,,,2500 or more  or no clouds.,,,9.0,-12.6,No precipitation,12,,,,
30.03.2020 11:00,0.5,545.6,765.4,1.0,39,Wind blowing from the west,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,7.9,,,2500 or more  or no clouds.,,,9.0,-11.9,No precipitation,12,,,,
30.03.2020 08:00,-5.9,544.6,765.4,1.4,54,Wind blowing from the west,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,7.9,,,2500 or more  or no clouds.,,,9.0,-13.7,No precipitation,12,,,,
30.03.2020 05:00,-4.4,543.2,760.5,0.0,48,Wind blowing from the west-southwest,6,,14,,Cloud development not observed or not observable. ,,,-6.1,7.9,,,2500 or more  or no clouds.,,,11.0,-14.0,No precipitation,12,,,,
30.03.2020 02:00,-2.7,543.2,760.3,0.1,40,Wind blowing from the west-northwest,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,7.9,,,2500 or more  or no clouds.,,,14.0,-14.7,No precipitation,12,,,,
29.03.2020 23:00,-1.0,543.1,761.2,1.0,36,Wind blowing from the west,5,,14,,Cloud development not observed or not observable. ,,,-6.1,7.9,,,2500 or more  or no clouds.,,,16.0,-14.2,No precipitation,12,,,,
29.03.2020 20:00,2.2,542.1,762.1,1.2,25,Wind blowing from the west-northwest,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,7.9,,,2500 or more  or no clouds.,,,16.0,-15.8,No precipitation,12,,,,
29.03.2020 17:00,7.2,540.9,757.3,-0.9,15,Wind blowing from the west-northwest,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,8.2,,,2500 or more  or no clouds.,,,21.0,-17.7,No precipitation,12,,,,
29.03.2020 14:00,5.8,541.8,759.3,-0.8,14,Wind blowing from the west,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,8.8,,,2500 or more  or no clouds.,,,16.0,-19.7,No precipitation,12,,,,
29.03.2020 11:00,2.1,542.6,761.1,0.5,18,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,8.8,,,2500 or more  or no clouds.,,,20.0,-19.8,No precipitation,12,,,,
29.03.2020 08:00,-6.0,542.1,761.6,0.3,33,Wind blowing from the east,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,8.8,,,2500 or more  or no clouds.,,,17.0,-19.7,No precipitation,12,,,,
29.03.2020 05:00,-4.5,541.8,758.2,-0.9,31,Wind blowing from the north-northwest,3,,,,Cloud development not observed or not observable. ,,,-5.5,8.8,,,2500 or more  or no clouds.,,,16.0,-19.1,No precipitation,12,,,,
29.03.2020 02:00,-4.6,542.7,759.6,-0.2,33,Wind blowing from the north,2,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,8.8,,,2500 or more  or no clouds.,,,18.0,-18.4,No precipitation,12,,,,
28.03.2020 23:00,-2.5,542.9,760.9,0.9,34,Wind blowing from the north-west,2,,16,,Cloud development not observed or not observable. ,,,-3.3,8.8,,,2500 or more  or no clouds.,,,17.0,-16.2,No precipitation,12,,,,
28.03.2020 20:00,2.9,542.0,760.0,1.3,21,Wind blowing from the west-northwest,7,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,8.8,,,2500 or more  or no clouds.,,,13.0,-17.3,No precipitation,12,,,,
28.03.2020 17:00,8.3,540.7,755.4,-0.9,12,Wind blowing from the west,8,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,9.6,,,2500 or more  or no clouds.,,,18.0,-19.5,No precipitation,12,,,,
28.03.2020 14:00,7.7,541.6,756.9,-1.0,18,Wind blowing from the west,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,9.6,,,2500 or more  or no clouds.,,,12.0,-15.1,No precipitation,12,,,,
28.03.2020 11:00,3.6,542.6,759.0,0.3,27,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,9.6,,,2500 or more  or no clouds.,,,13.0,-13.7,No precipitation,12,,,,
28.03.2020 08:00,-2.7,542.3,759.1,-0.2,40,Wind blowing from the north-northwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,9.6,,,2500 or more  or no clouds.,,,15.0,-14.7,No precipitation,12,,,,
28.03.2020 05:00,-1.9,542.5,757.5,-1.1,36,Wind blowing from the north-west,3,,9,,Cloud development not observed or not observable. ,,,-7.4,9.6,,,2500 or more  or no clouds.,,,14.0,-15.0,No precipitation,12,,,,
28.03.2020 02:00,-1.9,543.6,759.7,-0.7,34,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,9.6,,,2500 or more  or no clouds.,,,11.0,-15.7,No precipitation,12,,,,
27.03.2020 23:00,0.6,544.3,761.2,-0.2,29,Wind blowing from the west-southwest,3,,10,,Cloud development not observed or not observable. ,,,-7.4,9.6,,,2500 or more  or no clouds.,,,13.0,-15.4,No precipitation,12,,,,
27.03.2020 20:00,5.9,544.5,763.0,-0.6,24,Wind blowing from the west-northwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,9.6,,,2500 or more  or no clouds.,,,13.0,-13.1,No precipitation,12,,,,
