Local time in Karamay,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
04.04.2020 17:00,20.1,726.4,766.0,-1.3,9,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,20.4,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
04.04.2020 14:00,18.6,727.7,767.5,-0.5,10,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,19.7,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
04.04.2020 11:00,16.0,728.2,768.1,0.4,11,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,19.7,,,2500 or more  or no clouds.,,,29.0,-14.5,No precipitation,12,,,,
04.04.2020 08:00,10.3,727.8,767.7,0.5,18,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,19.7,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
04.04.2020 05:00,12.0,727.3,767.0,-0.3,15,Wind blowing from the north-northwest,3,,7,,Cloud development not observed or not observable. ,,,9.2,19.7,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
04.04.2020 02:00,12.9,727.6,767.5,-0.1,15,Wind blowing from the north-west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,19.7,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
03.04.2020 23:00,14.6,727.7,767.8,0.9,14,Wind blowing from the north-west,2,,6,,Cloud development not observed or not observable. ,,,9.2,19.7,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
03.04.2020 20:00,18.6,726.8,766.7,-0.3,10,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,19.7,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
03.04.2020 17:00,19.2,727.1,766.9,-1.4,9,Wind blowing from the south-east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,19.3,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
03.04.2020 14:00,16.4,728.5,768.4,-0.4,11,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,18.4,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
03.04.2020 11:00,11.9,728.9,769.2,0.8,16,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,18.4,,,2500 or more  or no clouds.,,,27.0,-13.1,No precipitation,12,,,,
03.04.2020 08:00,9.4,728.1,768.2,0.8,18,Wind blowing from the north-west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,18.4,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
03.04.2020 05:00,11.7,727.3,767.1,0.1,16,Wind blowing from the north-west,4,,6,,Cloud development not observed or not observable. ,,,8.5,18.4,,,2500 or more  or no clouds.,,,25.0,-13.3,No precipitation,12,,,,
03.04.2020 02:00,12.6,727.2,767.1,-0.1,15,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,18.4,,,2500 or more  or no clouds.,,,18.0,-13.4,No precipitation,12,,,,
02.04.2020 23:00,13.1,727.3,767.4,0.9,14,Wind blowing from the north-west,3,,8,,Cloud development not observed or not observable. ,,,8.5,18.4,,,2500 or more  or no clouds.,,,16.0,-13.8,No precipitation,12,,,,
02.04.2020 20:00,17.2,726.4,766.4,0.2,10,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,18.4,,,2500 or more  or no clouds.,,,16.0,-14.7,No precipitation,12,,,,
02.04.2020 17:00,18.0,726.2,766.2,-0.8,10,Wind blowing from the east-southeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,18.3,,,2500 or more  or no clouds.,,,25.0,-14.1,No precipitation,12,,,,
02.04.2020 14:00,15.9,727.0,767.1,-0.3,11,Wind blowing from the east-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,16.6,,,2500 or more  or no clouds.,,,27.0,-14.5,No precipitation,12,,,,
02.04.2020 11:00,12.2,727.3,767.6,1.0,13,Wind blowing from the east-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,16.6,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
02.04.2020 08:00,8.6,726.3,766.5,0.8,15,Wind blowing from the north-northwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.6,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
02.04.2020 05:00,9.1,725.5,765.6,0.2,16,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,,,6.8,16.6,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
02.04.2020 02:00,10.8,725.3,765.4,0.3,15,Wind blowing from the north-northwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.6,,,2500 or more  or no clouds.,,,24.0,-14.8,No precipitation,12,,,,
01.04.2020 23:00,10.8,725.0,765.4,1.0,15,Wind blowing from the north-northwest,2,,9,,Cloud development not observed or not observable. ,,,6.8,16.6,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
01.04.2020 20:00,15.6,724.0,764.2,0.3,10,Wind blowing from the east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.6,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
01.04.2020 17:00,16.4,723.7,763.8,-0.9,10,Wind blowing from the east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.5,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
01.04.2020 14:00,14.0,724.6,764.8,-1.1,10,Wind blowing from the east-northeast,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,14.0,,,2500 or more  or no clouds.,,,30.0,-17.2,No precipitation,12,,,,
01.04.2020 11:00,10.2,725.7,766.3,0.5,11,Wind blowing from the east-northeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,11.3,,,2500 or more  or no clouds.,,,30.0,-19.0,No precipitation,12,,,,
01.04.2020 08:00,6.8,725.2,765.9,0.3,12,Wind blowing from the north-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.3,,,2500 or more  or no clouds.,,,30.0,-20.7,No precipitation,12,,,,
01.04.2020 05:00,7.7,724.9,765.4,-0.5,12,Wind blowing from the north-east,2,,9,,Cloud development not observed or not observable. ,,,,11.3,,,2500 or more  or no clouds.,,,30.0,-19.9,No precipitation,12,,,,
01.04.2020 02:00,9.1,725.4,766.0,-0.9,16,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.3,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
31.03.2020 23:00,8.0,726.3,767.2,-0.1,18,Wind blowing from the north-northwest,2,,8,,Cloud development not observed or not observable. ,,,0.5,11.3,,,2500 or more  or no clouds.,,,30.0,-14.9,No precipitation,12,,,,
31.03.2020 20:00,10.4,726.4,767.6,-0.8,15,Wind blowing from the north-east,3,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,11.3,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,12,,,,
31.03.2020 17:00,11.0,727.2,768.2,-2.1,14,Wind blowing from the east,4,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,11.1,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
31.03.2020 14:00,8.7,729.3,770.5,-0.8,21,Wind blowing from the east-northeast,4,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,8.7,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
31.03.2020 11:00,6.0,730.1,771.4,0.2,25,Wind blowing from the east,3,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,8.6,,,,,,30.0,-12.5,No precipitation,12,,,,
31.03.2020 08:00,0.6,729.9,771.4,0.2,34,Wind blowing from the north-northwest,2,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,8.6,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
31.03.2020 05:00,2.1,729.7,771.1,-0.6,33,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,,,0.7,8.6,,,2500 or more  or no clouds.,,,30.0,-12.5,No precipitation,12,,,,
31.03.2020 02:00,3.5,730.3,771.9,-0.1,32,Wind blowing from the north-west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,8.6,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
30.03.2020 23:00,5.4,730.4,772.0,0.6,30,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,,,0.7,8.6,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
30.03.2020 20:00,7.8,729.8,771.4,-0.1,25,Wind blowing from the east,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,9.0,,,,,,30.0,-11.0,No precipitation,12,,,,
30.03.2020 17:00,8.2,729.9,771.3,-1.3,25,Wind blowing from the south-east,3,,,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,10.6,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
30.03.2020 14:00,5.1,731.2,772.9,-0.5,32,Wind blowing from the east,3,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,11.1,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
30.03.2020 11:00,2.2,731.7,773.4,1.1,37,Wind blowing from the east-northeast,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,11.1,,,,,,30.0,-11.0,No precipitation,12,,,,
30.03.2020 08:00,1.0,730.6,772.1,0.8,36,Wind blowing from the east,1,,13,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.0,11.1,,,2000-2500,,,30.0,-12.4,No precipitation,12,,,,
30.03.2020 05:00,2.6,729.8,771.0,0.8,34,Wind blowing from the east,3,,17,,Cloud development not observed or not observable. ,,,2.4,11.1,,,2500 or more  or no clouds.,,,30.0,-11.7,No precipitation,12,,,,
30.03.2020 02:00,3.6,729.0,770.1,1.1,33,Wind blowing from the east,2,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,11.1,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
29.03.2020 23:00,5.7,727.9,768.9,0.9,30,Wind blowing from the west,2,,20,,Cloud development not observed or not observable. ,,,5.7,11.1,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
29.03.2020 20:00,9.1,727.0,767.6,1.3,18,Wind blowing from the north-west,6,,20,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,13.6,,,2000-2500,,,30.0,-14.0,No precipitation,12,,,,
29.03.2020 17:00,10.5,725.7,766.2,-0.3,14,Wind blowing from the west-northwest,9,,20,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,14.5,,,2000-2500,,,30.0,-15.9,No precipitation,12,,,,
29.03.2020 14:00,10.2,726.0,766.4,-0.4,25,Wind blowing from the west-northwest,8,,16,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,14.5,,,2000-2500,,,30.0,-8.9,No precipitation,12,,,,
29.03.2020 11:00,7.7,726.4,767.1,2.1,41,Wind blowing from the west,5,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,14.5,,,2000-2500,,,30.0,-5.0,No precipitation,12,,,,
29.03.2020 08:00,8.8,724.3,764.5,1.6,28,Wind blowing from the west-northwest,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,14.5,,,2500 or more  or no clouds.,,,30.0,-8.7,No precipitation,12,,,,
29.03.2020 05:00,8.8,722.7,762.8,0.1,42,Wind blowing from the north-west,6,,12,,Cloud development not observed or not observable. ,,,0.6,14.5,,,2500 or more  or no clouds.,,,30.0,-3.4,No precipitation,12,,,,
29.03.2020 02:00,10.8,722.6,762.8,-0.4,25,Wind blowing from the north-west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,14.5,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
28.03.2020 23:00,10.5,723.0,763.5,1.1,27,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,,,0.6,14.5,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
28.03.2020 20:00,13.7,721.9,762.6,-0.2,19,Wind blowing from the south-southwest,3,,8,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,14.5,,,2000-2500,,,30.0,-9.5,No precipitation,12,,,,
28.03.2020 17:00,13.8,722.1,762.7,-1.7,18,Wind blowing from the south,4,,7,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,14.0,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
28.03.2020 14:00,10.5,723.8,764.5,-1.2,20,Wind blowing from the south-southeast,3,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,10.5,,,2500 or more  or no clouds.,,,30.0,-11.5,No precipitation,12,,,,
28.03.2020 11:00,6.8,725.0,766.0,-0.2,24,Wind blowing from the south,2,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,10.0,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
28.03.2020 08:00,0.7,725.2,766.3,-0.2,44,Wind blowing from the north-west,3,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,10.0,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
28.03.2020 05:00,1.6,725.4,766.5,-1.2,44,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,,,-1.0,10.0,,,2500 or more  or no clouds.,,,30.0,-9.6,No precipitation,12,,,,
28.03.2020 02:00,3.8,726.6,767.8,-1.0,35,Wind blowing from the north-northwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,10.0,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
27.03.2020 23:00,4.8,727.6,769.0,0.0,30,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,,,-1.0,10.0,,,2500 or more  or no clouds.,,,30.0,-11.3,No precipitation,12,,,,
27.03.2020 20:00,8.9,727.6,769.0,-1.3,20,Wind blowing from the south-southeast,3,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,10.0,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
27.03.2020 17:00,9.6,728.9,770.3,-1.9,18,Wind blowing from the south,3,,8,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,9.6,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
