Local time in Jinghe,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 02:00,14.4,733.7,762.7,,23,Wind blowing from the south-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,24.7,,,2500 or more  or no clouds.,,,24.0,-6.5,No precipitation,12,,,,
05.04.2020 20:00,23.3,732.7,761.8,-0.6,13,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,24.7,,,2500 or more  or no clouds.,,,28.0,-6.6,No precipitation,12,,,,
05.04.2020 17:00,24.1,733.3,762.2,-1.7,12,Wind blowing from the west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,24.1,,,2500 or more  or no clouds.,,,27.0,-7.1,No precipitation,12,,,,
05.04.2020 14:00,20.9,735.0,764.1,-0.8,15,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,22.1,,,2500 or more  or no clouds.,,,20.0,-6.7,No precipitation,12,,,,
05.04.2020 11:00,15.8,735.8,765.1,0.4,27,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,22.1,,,2500 or more  or no clouds.,,,25.0,-3.1,No precipitation,12,,,,
05.04.2020 08:00,8.0,735.4,764.8,-0.2,42,Wind blowing from the west-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,22.1,,,2500 or more  or no clouds.,,,23.0,-4.4,No precipitation,12,,,,
05.04.2020 05:00,11.1,735.6,764.8,-0.7,32,Wind blowing from the south-southeast,2,,4,,Cloud development not observed or not observable. ,,,10.8,22.1,,,2500 or more  or no clouds.,,,26.0,-5.0,No precipitation,12,,,,
05.04.2020 02:00,12.7,736.3,765.5,,22,Wind blowing from the south-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,22.1,,,2500 or more  or no clouds.,,,18.0,-8.5,No precipitation,12,,,,
04.04.2020 20:00,21.0,735.9,765.1,-0.4,10,Wind blowing from the north-northeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,22.1,,,2500 or more  or no clouds.,,,27.0,-11.8,No precipitation,12,,,,
04.04.2020 17:00,21.7,736.3,765.5,-1.6,12,Wind blowing from the west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,22.0,,,2500 or more  or no clouds.,,,21.0,-8.9,No precipitation,12,,,,
04.04.2020 14:00,19.5,737.9,767.0,-0.8,14,Wind blowing from the north-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,21.0,,,2500 or more  or no clouds.,,,22.0,-8.7,No precipitation,12,,,,
04.04.2020 11:00,16.4,738.7,767.8,0.8,20,Wind blowing from the south,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,21.0,,,2500 or more  or no clouds.,,,15.0,-6.6,No precipitation,12,,,,
04.04.2020 08:00,12.1,737.9,767.2,0.2,24,Wind blowing from the south-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,21.0,,,2500 or more  or no clouds.,,,24.0,-7.9,No precipitation,12,,,,
04.04.2020 05:00,11.1,737.7,766.9,-0.1,25,Wind blowing from the south-southwest,4,,6,,Cloud development not observed or not observable. ,,,9.1,21.0,,,2500 or more  or no clouds.,,,23.0,-8.2,No precipitation,12,,,,
04.04.2020 02:00,15.4,737.8,767.0,,20,Wind blowing from the south-southwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,21.0,,,2500 or more  or no clouds.,,,20.0,-7.4,No precipitation,12,,,,
03.04.2020 20:00,20.3,736.1,765.4,-0.6,13,Wind blowing from the south-southwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,21.0,,,2500 or more  or no clouds.,,,18.0,-9.0,No precipitation,12,,,,
03.04.2020 17:00,20.7,736.7,766.0,-1.4,14,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,20.8,,,2500 or more  or no clouds.,,,25.0,-7.7,No precipitation,12,,,,
03.04.2020 14:00,19.2,738.1,767.5,,16,Wind blowing from the east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,19.5,,,2500 or more  or no clouds.,,,24.0,-7.2,No precipitation,12,,,,
03.04.2020 08:00,9.8,738.6,768.1,0.4,30,Wind blowing from the south-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,17.8,,,2500 or more  or no clouds.,,,19.0,-6.9,No precipitation,12,,,,
03.04.2020 05:00,9.7,738.2,767.8,0.1,27,Wind blowing from the south-southwest,2,,4,,Cloud development not observed or not observable. ,,,6.5,17.8,,,2500 or more  or no clouds.,,,21.0,-8.4,No precipitation,12,,,,
03.04.2020 02:00,10.3,738.1,767.6,,25,Wind blowing from the south-southeast,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,17.8,,,2500 or more  or no clouds.,,,18.0,-8.9,No precipitation,12,,,,
02.04.2020 20:00,17.0,736.9,766.6,0.1,15,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,17.8,,,2500 or more  or no clouds.,,,27.0,-9.8,No precipitation,12,,,,
02.04.2020 17:00,17.3,736.8,766.4,-0.7,13,Wind blowing from the west-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,17.3,,,2500 or more  or no clouds.,,,29.0,-11.4,No precipitation,12,,,,
02.04.2020 14:00,16.1,737.5,767.2,-0.3,17,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,16.1,,,2500 or more  or no clouds.,,,27.0,-8.9,No precipitation,12,,,,
02.04.2020 11:00,11.7,737.8,767.5,1.1,23,Wind blowing from the south-west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,16.1,,,2500 or more  or no clouds.,,,25.0,-8.7,No precipitation,12,,,,
02.04.2020 08:00,6.8,736.7,766.5,0.7,33,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,16.1,,,2500 or more  or no clouds.,,,21.0,-8.3,No precipitation,12,,,,
02.04.2020 05:00,7.1,736.0,765.7,0.0,32,Wind blowing from the west-southwest,1,,6,,Cloud development not observed or not observable. ,,,2.4,16.1,,,2500 or more  or no clouds.,,,19.0,-8.5,No precipitation,12,,,,
02.04.2020 02:00,7.9,736.0,765.8,,29,Wind blowing from the east-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,16.1,,,2500 or more  or no clouds.,,,19.0,-9.0,No precipitation,12,,,,
01.04.2020 20:00,15.1,734.3,764.2,0.0,16,Wind blowing from the south,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,16.1,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
01.04.2020 17:00,15.0,734.3,764.2,-1.1,17,Wind blowing from the south-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,15.5,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
01.04.2020 14:00,12.9,735.4,765.4,-0.6,20,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,13.4,,,2500 or more  or no clouds.,,,30.0,-9.5,No precipitation,12,,,,
01.04.2020 11:00,11.2,736.0,765.9,0.6,26,Wind blowing from the south-east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,12.9,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
01.04.2020 08:00,3.7,735.4,765.4,0.0,45,Wind blowing from the south-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,12.9,,,2500 or more  or no clouds.,,,22.0,-7.4,No precipitation,12,,,,
01.04.2020 05:00,3.8,735.4,765.4,-1.1,43,Wind blowing from the south-southeast,5,,7,,Cloud development not observed or not observable. ,,,2.1,12.9,,,2500 or more  or no clouds.,,,22.0,-7.9,No precipitation,12,,,,
01.04.2020 02:00,5.4,736.5,766.6,,38,Wind blowing from the south,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,12.9,,,2500 or more  or no clouds.,,,27.0,-7.8,No precipitation,12,,,,
31.03.2020 20:00,12.3,736.0,766.0,-0.8,24,Wind blowing from the north-west,2,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,12.9,,,1500-2000,,,30.0,-7.7,No precipitation,12,,,,
31.03.2020 17:00,12.2,736.8,766.9,-2.2,25,Wind blowing from the south,3,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,12.5,,,,,,30.0,-7.2,No precipitation,12,,,,
31.03.2020 14:00,9.2,739.0,769.2,-1.2,29,Wind blowing from the east,1,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,12.2,,,1500-2000,,,30.0,-7.9,No precipitation,12,,,,
31.03.2020 11:00,5.3,740.2,770.5,0.6,35,Wind blowing from the south,1,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,,,,1500-2000,,,30.0,-8.9,No precipitation,12,,,,
31.03.2020 08:00,3.7,739.6,769.8,0.3,47,Wind blowing from the east-northeast,1,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,12.2,,,1500-2000,,,30.0,-6.6,No precipitation,12,,,,
31.03.2020 05:00,2.4,739.3,769.6,-0.8,50,Wind blowing from the north,1,,10,,Cloud development not observed or not observable. ,,,-2.3,12.2,,,2500 or more  or no clouds.,,,30.0,-7.2,No precipitation,12,,,,
31.03.2020 02:00,5.6,740.1,770.4,,41,Wind blowing from the south-southeast,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,12.2,,,2500 or more  or no clouds.,,,30.0,-6.9,No precipitation,12,,,,
30.03.2020 20:00,11.3,738.8,769.3,-0.2,27,Wind blowing from the north-east,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,12.2,,,,,,30.0,-7.0,No precipitation,12,,,,
30.03.2020 17:00,11.5,739.0,769.3,-1.6,27,Wind blowing from the east-northeast,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,12.2,,,,,,30.0,-6.8,No precipitation,12,,,,
30.03.2020 14:00,8.8,740.6,771.0,-0.7,33,Wind blowing from the north,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,11.2,,,,,,30.0,-6.6,No precipitation,12,,,,
30.03.2020 11:00,5.3,741.3,771.8,0.8,44,Wind blowing from the north-northeast,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,11.2,,,,,,30.0,-6.0,No precipitation,12,,,,
30.03.2020 08:00,-0.6,740.5,771.1,0.9,56,Wind blowing from the east-northeast,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,11.2,,,,,,30.0,-8.5,No precipitation,12,,,,
30.03.2020 05:00,1.7,739.6,770.0,0.0,47,Wind blowing from the south-east,2,,13,,Cloud development not observed or not observable. ,,,1.7,11.2,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
30.03.2020 02:00,4.6,739.6,769.9,,42,Wind blowing from the east-northeast,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,11.2,,,2500 or more  or no clouds.,,,30.0,-7.2,No precipitation,12,,,,
29.03.2020 20:00,8.9,738.1,768.1,0.5,29,Wind blowing from the north-northeast,3,,15,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,13.3,,,2500 or more  or no clouds.,,,30.0,-8.2,No precipitation,12,,,,
29.03.2020 17:00,10.7,737.6,767.5,-0.7,27,Wind blowing from the north,7,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,13.9,,,,,,26.0,-7.5,No precipitation,12,,,,
29.03.2020 14:00,9.9,738.3,768.2,-0.1,33,Wind blowing from the north-northeast,9,,15,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,13.9,,,2500 or more  or no clouds.,,,12.0,-5.6,No precipitation,12,,,,
29.03.2020 11:00,7.2,738.4,768.6,2.1,51,Wind blowing from the north-northeast,3,,13,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,13.9,,,1500-2000,,,30.0,-2.3,No precipitation,12,,,,
29.03.2020 08:00,7.9,736.3,766.1,1.9,35,Wind blowing from the east-southeast,2,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,13.9,,,1500-2000,,,30.0,-6.6,No precipitation,12,,,,
29.03.2020 05:00,10.4,734.4,763.9,0.7,26,Wind blowing from the north,4,,11,,Cloud development not observed or not observable. ,,,,13.9,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,12,,,,
29.03.2020 02:00,10.3,733.7,763.4,,33,Wind blowing from the east,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.9,,,2500 or more  or no clouds.,,,30.0,-5.3,No precipitation,12,,,,
28.03.2020 20:00,13.3,733.0,763.0,-0.2,23,Wind blowing from the south-east,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,13.9,,,1500-2000,,,30.0,-7.4,No precipitation,12,,,,
28.03.2020 17:00,13.2,733.2,763.3,-1.7,25,Wind blowing from the north-west,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,13.3,,,1500-2000,,,30.0,-6.4,No precipitation,12,,,,
28.03.2020 14:00,10.8,734.9,765.1,-1.1,28,Wind blowing from the east,1,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,11.3,,,1500-2000,,,30.0,-7.0,No precipitation,12,,,,
28.03.2020 11:00,6.6,736.0,766.2,0.1,43,Wind blowing from the west-southwest,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,11.3,,,,,,27.0,-5.1,No precipitation,12,,,,
28.03.2020 08:00,-0.2,735.9,766.3,-0.3,57,Wind blowing from the south,3,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,11.3,,,,,,22.0,-7.9,No precipitation,12,,,,
28.03.2020 05:00,0.3,736.2,766.5,-1.0,52,Wind blowing from the south-southeast,2,,5,,Cloud development not observed or not observable. ,,,-2.5,11.3,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
28.03.2020 02:00,2.5,737.2,767.6,,46,Wind blowing from the south-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.3,,,2500 or more  or no clouds.,,,30.0,-8.2,No precipitation,12,,,,
27.03.2020 20:00,10.2,737.9,768.5,-1.5,27,Wind blowing from the north-northeast,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.3,,,,,,30.0,-8.0,No precipitation,12,,,,
27.03.2020 17:00,10.7,739.4,769.9,-2.0,29,Wind blowing from the north,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.1,,,,,,30.0,-6.6,No precipitation,12,,,,
27.03.2020 14:00,8.4,741.4,772.0,-1.4,36,Wind blowing from the north-northwest,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,8.8,,,,,,30.0,-5.8,No precipitation,12,,,,
27.03.2020 11:00,3.7,742.8,773.5,0.3,50,Wind blowing from the west-southwest,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,7.7,,,,,,28.0,-5.8,No precipitation,12,,,,
27.03.2020 08:00,-2.0,742.5,773.4,0.3,67,Wind blowing from the south,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,7.7,,,,,,24.0,-7.3,No precipitation,12,,,,
27.03.2020 05:00,-0.2,742.2,773.0,-1.0,63,Wind blowing from the south-southeast,3,,5,,Cloud development not observed or not observable. ,,,-0.2,7.7,,,2500 or more  or no clouds.,,,26.0,-6.4,No precipitation,12,,,,
27.03.2020 02:00,1.3,743.2,774.1,,59,Wind blowing from the south-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,7.7,,,2500 or more  or no clouds.,,,25.0,-6.0,No precipitation,12,,,,
26.03.2020 20:00,7.5,742.9,773.5,-0.1,38,Wind blowing from the west,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,7.7,,,1500-2000,,,30.0,-6.2,No precipitation,12,,,,
26.03.2020 17:00,7.2,743.0,773.8,,43,Wind blowing from the east,3,,,90  or more  but not 100%, ,,,0.4,7.6,,,1500-2000,,,30.0,-4.8,No precipitation,6,,,,
26.03.2020 14:00,5.4,744.4,775.4,-0.4,53,Wind blowing from the west-northwest,3,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,6.1,,,1500-2000,,,30.0,-3.4,No precipitation,12,,,,
26.03.2020 11:00,2.9,744.8,775.9,,62,Wind blowing from the east-northeast,2,,,90  or more  but not 100%, ,,,0.4,6.1,,,1500-2000,,,30.0,-3.7,No precipitation,6,,,,
26.03.2020 08:00,1.9,744.2,775.1,0.2,63,Wind blowing from the east,2,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,6.1,,,1500-2000,,,30.0,-4.4,No precipitation,12,,,,
26.03.2020 05:00,0.8,744.0,775.0,,69,Wind blowing from the south-southwest,2,,6,, ,,,0.4,6.1,,,,,,30.0,-4.4,No precipitation,6,,,,
