Local time in East Ujimqin,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
02.04.2020 14:00,10.7,693.1,768.0,-0.6,22,Wind blowing from the north-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,10.9,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
02.04.2020 11:00,8.1,693.7,768.7,0.6,28,Wind blowing from the west-northwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,10.9,,,2500 or more  or no clouds.,,,30.0,-9.3,No precipitation,12,,,,
02.04.2020 08:00,2.0,693.1,768.4,1.5,33,Wind blowing from the south-southwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,10.9,,,2500 or more  or no clouds.,,,28.0,-12.6,No precipitation,12,,,,
02.04.2020 05:00,-4.1,691.6,766.7,0.9,44,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,-7.7,10.9,,,2500 or more  or no clouds.,,,21.0,-14.8,No precipitation,12,,,,
02.04.2020 02:00,-1.9,690.7,765.4,0.2,33,Wind blowing from the north,0,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,10.9,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
01.04.2020 23:00,0.4,690.5,765.3,0.1,28,Wind blowing from the south,0,,14,,Cloud development not observed or not observable. ,,,-8.3,10.9,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
01.04.2020 20:00,4.3,690.4,765.8,0.5,18,Wind blowing from the west-northwest,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,10.9,,,2500 or more  or no clouds.,,,30.0,-17.9,No precipitation,12,,,,
01.04.2020 17:00,10.2,689.9,765.3,-1.3,12,Wind blowing from the west,8,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,10.9,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
01.04.2020 14:00,10.0,691.2,766.8,-2.3,10,Wind blowing from the west-northwest,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,10.1,,,2500 or more  or no clouds.,,,30.0,-20.2,No precipitation,12,,,,
01.04.2020 11:00,7.7,693.5,769.4,-1.0,12,Wind blowing from the west,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,7.7,,,2500 or more  or no clouds.,,,30.0,-19.9,No precipitation,12,,,,
01.04.2020 08:00,-0.7,694.5,771.2,-0.1,27,Wind blowing from the south-west,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,3.7,,,2500 or more  or no clouds.,,,30.0,-17.4,No precipitation,12,,,,
01.04.2020 05:00,-7.2,694.6,771.5,-0.3,46,Wind blowing from the south-west,1,,10,,Cloud development not observed or not observable. ,,,-8.3,3.7,,,2500 or more  or no clouds.,,,30.0,-16.9,No precipitation,12,,,,
01.04.2020 02:00,-7.5,694.9,772.1,-0.2,45,Wind blowing from the north-east,0,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,3.7,,,2500 or more  or no clouds.,,,30.0,-17.4,No precipitation,12,,,,
31.03.2020 23:00,-5.3,695.1,772.1,0.4,36,Wind blowing from the north,0,,13,,Cloud development not observed or not observable. ,,,-5.7,3.7,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
31.03.2020 20:00,-1.7,694.7,771.7,1.1,25,Wind blowing from the west,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,3.7,,,,,,30.0,-19.2,No precipitation,12,,,,
31.03.2020 17:00,3.2,693.6,770.0,-0.6,15,Wind blowing from the north-northwest,6,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,7.0,,,2500 or more  or no clouds.,,,30.0,-21.0,No precipitation,12,,,,
31.03.2020 14:00,2.4,694.2,770.8,-0.9,16,Wind blowing from the north-northwest,6,,13,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,8.9,,,600-1000,,,30.0,-20.9,No precipitation,12,,,,
31.03.2020 11:00,1.1,695.1,771.5,1.0,24,Wind blowing from the north-west,5,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,8.9,,,,,,30.0,-17.2,No precipitation,12,,,,
31.03.2020 08:00,-2.4,694.1,770.6,2.0,35,Wind blowing from the north-northeast,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,8.9,,,,,,30.0,-15.8,No precipitation,12,,,,
31.03.2020 05:00,-4.2,692.1,767.8,1.4,37,Wind blowing from the north-northeast,1,,12,,Cloud development not observed or not observable. ,,,-4.7,8.9,,,2500 or more  or no clouds.,,,30.0,-16.7,No precipitation,12,,,,
31.03.2020 02:00,-4.2,690.7,766.0,1.1,42,Wind blowing from the south-southwest,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,8.9,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,12,,,,
30.03.2020 23:00,-1.3,689.6,764.5,1.6,38,Wind blowing from the north,3,,12,,Cloud development not observed or not observable. ,,,-3.9,8.9,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
30.03.2020 20:00,1.3,688.0,763.4,2.4,29,Wind blowing from the north-northeast,5,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,8.9,,,,,,30.0,-14.8,No precipitation,12,,,,
30.03.2020 17:00,7.0,685.6,760.0,0.2,22,Wind blowing from the north-northeast,7,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,14.0,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
30.03.2020 14:00,8.6,685.4,759.6,-0.2,25,Wind blowing from the north-northeast,5,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,14.7,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
30.03.2020 11:00,7.3,685.6,759.7,0.6,23,Wind blowing from the north-northeast,5,,8,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,14.7,,,2500 or more  or no clouds.,,,30.0,-12.5,No precipitation,12,,,,
30.03.2020 08:00,0.4,685.0,759.4,1.1,34,Wind blowing from the north-northeast,0,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,14.7,,,,,,13.0,-13.6,No precipitation,12,,,,
30.03.2020 05:00,-0.3,683.9,757.2,-0.1,30,Wind blowing from the south-west,2,,12,,Cloud development not observed or not observable. ,,,-1.9,14.7,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
30.03.2020 02:00,-0.6,684.0,757.3,0.1,29,Wind blowing from the west-southwest,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,14.7,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
29.03.2020 23:00,0.9,683.9,757.7,0.6,26,Wind blowing from the south-west,2,,15,,Cloud development not observed or not observable. ,,,-2.1,14.7,,,2500 or more  or no clouds.,,,27.0,-16.4,No precipitation,12,,,,
29.03.2020 20:00,6.0,683.3,757.4,1.0,12,Wind blowing from the south-west,1,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,14.7,,,,,,30.0,-21.3,No precipitation,12,,,,
29.03.2020 17:00,14.0,682.3,755.6,-0.8,6,Wind blowing from the west,5,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,14.7,,,,,,30.0,-23.1,No precipitation,12,,,,
29.03.2020 14:00,13.7,683.1,756.5,-1.8,6,Wind blowing from the west,7,,15,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,14.3,,,2500 or more  or no clouds.,,,30.0,-23.3,No precipitation,12,,,,
29.03.2020 11:00,8.8,684.9,758.9,-0.7,21,Wind blowing from the south-west,7,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,9.3,,,,,,30.0,-12.3,No precipitation,12,,,,
29.03.2020 08:00,1.3,685.6,760.3,-0.5,34,Wind blowing from the south-west,7,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,9.3,,,,,,30.0,-12.8,No precipitation,12,,,,
29.03.2020 05:00,-1.9,686.1,760.5,-1.3,34,Wind blowing from the west-southwest,3,,9,,Cloud development not observed or not observable. ,,,-10.4,9.3,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
29.03.2020 02:00,-1.6,687.4,762.1,-0.4,29,Wind blowing from the south-west,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.4,9.3,,,2500 or more  or no clouds.,,,30.0,-17.3,No precipitation,12,,,,
28.03.2020 23:00,0.3,687.8,762.9,0.4,24,Wind blowing from the west-southwest,5,,14,,Cloud development not observed or not observable. ,,,,9.3,,,2500 or more  or no clouds.,,,30.0,-17.9,No precipitation,12,,,,
28.03.2020 20:00,2.8,687.4,763.3,0.2,17,Wind blowing from the west-southwest,2,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.4,9.3,,,,,,30.0,-19.9,No precipitation,12,,,,
28.03.2020 17:00,9.1,687.2,762.9,-1.2,11,Wind blowing from the west,4,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.4,9.2,,,,,,30.0,-19.8,No precipitation,12,,,,
28.03.2020 14:00,7.6,688.4,764.0,-2.0,13,Wind blowing from the west-northwest,8,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.4,7.9,,,,,,30.0,-19.1,No precipitation,12,,,,
28.03.2020 11:00,3.5,690.4,766.9,-0.9,17,Wind blowing from the west-southwest,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.4,3.7,,,,,,30.0,-19.3,No precipitation,12,,,,
28.03.2020 08:00,-4.9,691.3,768.7,-0.2,32,Wind blowing from the south-west,4,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.4,-0.7,,,,,,30.0,-19.1,No precipitation,12,,,,
28.03.2020 05:00,-10.2,691.5,769.2,-1.0,49,Wind blowing from the north-east,1,,13,,Cloud development not observed or not observable. ,,,-10.3,-0.7,,,2500 or more  or no clouds.,,,30.0,-18.9,No precipitation,12,,,,
28.03.2020 02:00,-7.1,692.5,769.9,-0.5,31,Wind blowing from the south-west,2,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,-0.7,,,2500 or more  or no clouds.,,,24.0,-21.4,No precipitation,12,,,,
27.03.2020 23:00,-7.9,693.0,771.0,-0.1,33,Wind blowing from the north,0,,20,,Cloud development not observed or not observable. ,,,-9.2,-0.7,,,2500 or more  or no clouds.,,,30.0,-21.4,No precipitation,12,,,,
27.03.2020 20:00,-4.8,693.1,771.1,0.3,25,Wind blowing from the west-northwest,3,,20,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,-0.7,,,2500 or more  or no clouds.,,,30.0,-21.8,No precipitation,12,,,,
27.03.2020 17:00,-1.0,692.8,770.2,-0.3,16,Wind blowing from the north-west,7,,20,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,-0.7,,,2500 or more  or no clouds.,,,30.0,-23.7,No precipitation,12,,,,
