Local time in Dengqen,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,0.4,478.4,764.2,0.8,55,Wind blowing from the west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,5.9,,,2500 or more  or no clouds.,,,17.0,-7.6,2.0,12,,,,
06.04.2020 08:00,-7.2,477.6,766.9,0.7,86,Wind blowing from the west-northwest,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,5.9,,,2500 or more  or no clouds.,,,4.0,-9.1,2.0,12,,,,
06.04.2020 05:00,-4.2,476.9,761.2,-0.4,90,Wind blowing from the west-southwest,3,,,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,-5.9,5.9,,,2500 or more  or no clouds.,,,0.3,-5.6,0.8,12,,,,
06.04.2020 02:00,-1.9,477.3,761.5,0.0,81,Wind blowing from the east-northeast,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,5.9,,,2500 or more  or no clouds.,,,30.0,-4.7,No precipitation,12,,,,
05.04.2020 23:00,-0.6,477.3,762.0,1.3,74,Wind blowing from the east-southeast,2,,12,,Cloud development not observed or not observable. ,,,-5.9,5.9,,,2500 or more  or no clouds.,,,30.0,-4.7,No precipitation,12,,,,
05.04.2020 20:00,1.0,476.0,763.3,0.9,59,Wind blowing from the south-west,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,5.9,,,2500 or more  or no clouds.,,,8.0,-6.3,No precipitation,12,,,,
05.04.2020 17:00,5.0,475.1,758.5,-1.6,39,Wind blowing from the east-southeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,5.9,,,2500 or more  or no clouds.,,,30.0,-8.1,No precipitation,12,,,,
05.04.2020 14:00,3.1,476.7,761.8,,43,Wind blowing from the south-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,6.6,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,12,,,,
05.04.2020 08:00,-5.8,478.0,767.3,0.1,70,Wind blowing from the east,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,6.6,,,2500 or more  or no clouds.,,,7.0,-10.4,No precipitation,12,,,,
05.04.2020 05:00,-4.5,477.9,763.3,-0.8,72,Wind blowing from the east-northeast,1,,12,,Cloud development not observed or not observable. ,,,-5.5,6.6,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
05.04.2020 02:00,-3.6,478.7,764.8,0.0,78,Wind blowing from the west-southwest,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,6.6,,,2500 or more  or no clouds.,,,30.0,-6.9,No precipitation,12,,,,
04.04.2020 23:00,-1.4,478.7,766.3,1.3,65,Wind blowing from the south-east,2,,12,,Cloud development not observed or not observable. ,,,-5.5,6.6,,,2500 or more  or no clouds.,,,15.0,-7.3,No precipitation,12,,,,
04.04.2020 20:00,-0.2,477.4,765.5,1.9,65,Wind blowing from the south-east,2,,12,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,6.6,,,2500 or more  or no clouds.,,,7.0,-6.0,No precipitation,12,,,,
04.04.2020 17:00,4.5,475.5,757.9,-0.7,27,Wind blowing from the south,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,6.6,,,2500 or more  or no clouds.,,,30.0,-12.9,1.0,12,,,,
04.04.2020 14:00,3.2,476.2,759.7,-1.2,46,Wind blowing from the west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,5.6,,,2500 or more  or no clouds.,,,30.0,-7.3,1.0,12,,,,
04.04.2020 11:00,-1.3,477.4,763.8,1.0,69,Wind blowing from the south,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,5.6,,,2500 or more  or no clouds.,,,19.0,-6.4,1.0,12,,,,
04.04.2020 08:00,-4.5,476.4,763.3,0.4,84,Wind blowing from the east,2,,9,,Fog or ice fog. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,5.6,,,2500 or more  or no clouds.,,,10.0,-6.8,1.0,12,,,,
04.04.2020 05:00,-2.2,476.0,758.8,-0.5,80,Wind blowing from the north,0,,15,,Rain  not freezing  intermittent  slight at time of observation. ,,,-6.8,5.6,,,2500 or more  or no clouds.,,,6.0,-5.2,No precipitation,12,,,,
04.04.2020 02:00,-1.7,476.5,761.8,-0.2,67,Wind blowing from the west,1,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,5.6,,,2500 or more  or no clouds.,,,30.0,-7.0,No precipitation,12,,,,
03.04.2020 23:00,-0.7,476.7,761.5,1.2,68,Wind blowing from the west-northwest,1,,15,,Cloud development not observed or not observable. ,,,-7.4,5.6,,,2500 or more  or no clouds.,,,21.0,-5.9,0.9,12,,,,
03.04.2020 20:00,0.7,475.5,762.7,1.3,70,Wind blowing from the south-southeast,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,5.6,,,2500 or more  or no clouds.,,,13.0,-4.3,2.0,12,,,,
03.04.2020 17:00,4.4,474.2,758.8,-0.7,42,Wind blowing from the north-west,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,6.6,,,2500 or more  or no clouds.,,,30.0,-7.4,2.0,12,,,,
03.04.2020 14:00,0.5,474.9,760.9,-0.5,73,Wind blowing from the east,3,,13,,Fog or ice fog. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,8.4,,,2500 or more  or no clouds.,,,30.0,-3.8,2.0,12,,,,
03.04.2020 11:00,0.5,475.4,759.7,0.4,64,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,9.0,,,2500 or more  or no clouds.,,,8.0,-5.7,0.6,12,,,,
03.04.2020 08:00,-5.7,475.0,763.1,0.2,81,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,9.0,,,2500 or more  or no clouds.,,,7.0,-8.4,3.0,12,,,,
03.04.2020 05:00,-6.6,474.8,758.4,-0.4,85,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,-10.6,9.0,,,2500 or more  or no clouds.,,,30.0,-8.8,4.0,12,,,,
03.04.2020 02:00,-4.3,475.2,757.0,-0.3,85,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,9.0,,,2500 or more  or no clouds.,,,30.0,-6.4,4.0,12,,,,
02.04.2020 23:00,-1.3,475.5,756.1,1.2,85,Wind blowing from the east,2,,17,,Rain  not freezing  intermittent  slight at time of observation. ,,,-10.6,9.0,,,2500 or more  or no clouds.,,,27.0,-3.5,4.0,12,,,,
02.04.2020 20:00,-1.3,474.3,759.4,3.0,90,Wind blowing from the west-northwest,5,,17,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,9.0,,,2500 or more  or no clouds.,,,0.4,-2.7,0.8,12,,,,
02.04.2020 17:00,6.5,471.3,749.7,-1.2,39,Wind blowing from the north-west,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,9.0,,,2500 or more  or no clouds.,,,30.0,-6.5,No precipitation,12,,,,
02.04.2020 14:00,7.5,472.5,749.9,-1.5,29,Wind blowing from the south-east,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,11.3,,,2500 or more  or no clouds.,,,30.0,-9.4,No precipitation,12,,,,
02.04.2020 11:00,6.7,474.0,750.9,0.0,31,Wind blowing from the east-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,11.3,,,2500 or more  or no clouds.,,,30.0,-9.2,No precipitation,12,,,,
02.04.2020 08:00,-1.6,474.0,755.1,0.2,68,Wind blowing from the west,0,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,11.3,,,2500 or more  or no clouds.,,,3.2,-6.9,No precipitation,12,,,,
02.04.2020 05:00,-1.4,473.8,752.1,-1.1,67,Wind blowing from the north-west,1,,12,,Cloud development not observed or not observable. ,,,-6.0,11.3,,,2500 or more  or no clouds.,,,30.0,-6.9,No precipitation,12,,,,
02.04.2020 02:00,0.3,474.9,752.8,-0.3,55,Wind blowing from the west,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,11.3,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
01.04.2020 23:00,3.5,475.2,756.6,0.9,35,Wind blowing from the north-northeast,1,,12,,Cloud development not observed or not observable. ,,,-6.0,11.3,,,2500 or more  or no clouds.,,,27.0,-10.5,No precipitation,12,,,,
01.04.2020 20:00,4.8,474.3,757.9,0.7,35,Wind blowing from the north,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,11.3,,,2500 or more  or no clouds.,,,30.0,-9.4,No precipitation,12,,,,
01.04.2020 17:00,9.0,473.6,752.9,-1.9,19,Wind blowing from the south-east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,11.3,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
01.04.2020 14:00,8.8,475.5,755.1,,29,Wind blowing from the east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,9.1,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,12,,,,
01.04.2020 08:00,-5.4,477.6,763.6,0.6,86,Wind blowing from the west-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,8.8,,,2500 or more  or no clouds.,,,5.0,-7.4,0.7,12,,,,
01.04.2020 05:00,-3.4,477.0,760.3,-0.4,85,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,,,-5.8,8.8,,,2500 or more  or no clouds.,,,30.0,-5.6,0.7,12,,,,
01.04.2020 02:00,-1.9,477.4,759.6,-0.5,88,Wind blowing from the west-northwest,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,8.8,,,2500 or more  or no clouds.,,,30.0,-3.6,0.7,12,,,,
31.03.2020 23:00,1.4,477.9,762.4,2.2,76,Wind blowing from the north-northwest,3,,12,,Cloud development not observed or not observable. ,,,-5.8,8.8,,,2500 or more  or no clouds.,,,3.9,-2.5,No precipitation,12,,,,
31.03.2020 20:00,4.0,475.7,760.7,0.5,52,Wind blowing from the east-southeast,4,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,8.8,,,1000-1500,,,17.0,-5.2,No precipitation,12,,,,
31.03.2020 17:00,5.7,475.2,758.3,-1.2,41,Wind blowing from the east,3,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,8.8,,,1000-1500,,,30.0,-6.5,No precipitation,12,,,,
31.03.2020 14:00,6.6,476.4,758.5,-1.6,32,Wind blowing from the west-southwest,1,,5,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,6.7,,,1000-1500,,,30.0,-8.9,No precipitation,12,,,,
31.03.2020 11:00,0.0,478.0,763.6,0.1,52,Wind blowing from the north-northeast,1,,3,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,6.6,,,1000-1500,,,23.0,-8.7,No precipitation,12,,,,
31.03.2020 08:00,-5.5,477.9,765.4,0.4,73,Wind blowing from the west-southwest,0,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,6.6,,,1000-1500,,,9.0,-9.7,No precipitation,12,,,,
31.03.2020 05:00,-4.8,477.5,761.8,-0.5,71,Wind blowing from the west-northwest,0,,18,,Cloud development not observed or not observable. ,,,-4.9,6.6,,,2500 or more  or no clouds.,,,30.0,-9.4,No precipitation,12,,,,
31.03.2020 02:00,-2.8,478.0,762.0,-0.1,63,Wind blowing from the west-northwest,1,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,6.6,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
30.03.2020 23:00,-0.3,478.1,762.8,1.0,52,Wind blowing from the east-southeast,1,,18,,Cloud development not observed or not observable. ,,,-1.6,7.1,,,2500 or more  or no clouds.,,,28.0,-9.0,0.6,12,,,,
30.03.2020 20:00,2.0,477.1,761.6,2.1,42,Wind blowing from the north-west,5,,18,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,9.3,,,1000-1500,,,18.0,-9.6,0.6,12,,,,
30.03.2020 17:00,6.2,475.0,755.4,0.1,29,Wind blowing from the north-west,5,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,12.6,,,1000-1500,,,30.0,-10.5,0.6,12,,,,
30.03.2020 14:00,5.2,474.9,753.0,0.0,28,Wind blowing from the west-northwest,6,,10,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,12.8,,,1000-1500,,,30.0,-11.8,9.0,12,,,,
30.03.2020 11:00,1.5,474.9,753.2,1.4,76,Wind blowing from the east,1,,12,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,12.8,,,1000-1500,,,11.0,-2.3,8.0,12,,,,
30.03.2020 08:00,-1.4,473.5,751.4,0.8,92,Wind blowing from the west-northwest,0,,12,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,12.8,,,2500 or more  or no clouds.,,,3.6,-2.5,8.0,12,,,,
30.03.2020 05:00,-0.9,472.7,747.9,0.5,93,Calm  no wind,0,,,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,-2.5,12.8,,,2500 or more  or no clouds.,,,0.5,-1.9,8.0,12,,,,
30.03.2020 02:00,3.6,472.2,745.8,-0.3,61,Wind blowing from the south-southwest,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,12.8,,,2500 or more  or no clouds.,,,20.0,-3.2,No precipitation,12,,,,
29.03.2020 23:00,7.1,472.5,746.6,0.9,27,Wind blowing from the south-east,2,,14,,Cloud development not observed or not observable. ,,,-2.5,12.8,,,2500 or more  or no clouds.,,,19.0,-10.6,No precipitation,12,,,,
29.03.2020 20:00,9.3,471.6,748.9,-0.6,11,Wind blowing from the west-northwest,2,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,12.8,,,2500 or more  or no clouds.,,,12.0,-19.7,No precipitation,12,,,,
29.03.2020 17:00,12.5,472.2,746.5,-1.8,4,Wind blowing from the west-northwest,7,,,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,12.8,,,1000-1500,,,30.0,-28.6,No precipitation,12,,,,
29.03.2020 14:00,10.3,474.0,749.6,-1.5,7,Wind blowing from the north-west,7,,14,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.3,,,1000-1500,,,30.0,-24.1,No precipitation,12,,,,
29.03.2020 11:00,6.2,475.5,754.0,0.8,23,Wind blowing from the west-northwest,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.6,,,,,,20.0,-13.4,0.2,12,,,,
29.03.2020 08:00,-2.1,474.7,757.1,1.2,81,Wind blowing from the west,1,,5,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.6,,,1000-1500,,,7.0,-4.9,0.5,12,,,,
29.03.2020 05:00,0.0,473.5,751.9,-0.2,81,Wind blowing from the west-northwest,1,,6,,Cloud development not observed or not observable. ,,,-0.6,11.6,,,2500 or more  or no clouds.,,,30.0,-2.9,0.5,12,,,,
29.03.2020 02:00,1.8,473.7,748.3,0.0,86,Wind blowing from the south-west,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,11.6,,,2500 or more  or no clouds.,,,30.0,-0.3,0.5,12,,,,
28.03.2020 23:00,2.6,473.7,749.6,1.1,84,Wind blowing from the west,1,,14,,Cloud development not observed or not observable. ,,,-0.6,11.6,,,2500 or more  or no clouds.,,,9.0,0.2,0.3,12,,,,
28.03.2020 20:00,3.8,472.6,752.6,0.3,77,Wind blowing from the east-northeast,1,,14,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Shower(s).,Rain.,-0.6,11.6,,,1000-1500,,,26.0,0.1,Trace of precipitation,12,,,,
28.03.2020 17:00,7.0,472.3,748.6,-0.2,55,Wind blowing from the east-southeast,3,,14,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Shower(s).,Rain.,-0.6,14.3,,,1000-1500,,,30.0,-1.4,No precipitation,12,,,,
28.03.2020 14:00,11.6,472.5,746.5,-2.3,28,Wind blowing from the south-east,2,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,14.4,,,1000-1500,,,30.0,-6.3,No precipitation,12,,,,
28.03.2020 11:00,8.7,474.8,749.8,-0.3,30,Wind blowing from the south-east,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,14.4,,,2500 or more  or no clouds.,,,30.0,-7.9,No precipitation,12,,,,
28.03.2020 08:00,-0.2,475.1,752.9,0.2,54,Wind blowing from the north-northwest,1,,4,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,14.4,,,1000-1500,,,10.0,-8.6,No precipitation,12,,,,
28.03.2020 05:00,2.5,474.9,748.7,-1.4,38,Wind blowing from the west,1,,10,,Cloud development not observed or not observable. ,,,-5.9,14.4,,,2500 or more  or no clouds.,,,30.0,-10.4,No precipitation,12,,,,
28.03.2020 02:00,1.9,476.3,751.9,-0.3,34,Wind blowing from the west,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,14.4,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,12,,,,
27.03.2020 23:00,5.3,476.6,754.2,1.1,24,Wind blowing from the west,1,,,,Cloud development not observed or not observable. ,,,,14.4,,,2500 or more  or no clouds.,,,16.0,-13.6,No precipitation,12,,,,
27.03.2020 20:00,9.8,475.5,756.1,-0.6,12,Wind blowing from the west,1,,,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,14.4,,,1000-1500,,,12.0,-18.3,No precipitation,12,,,,
27.03.2020 17:00,13.7,476.1,754.2,-2.1,6,Wind blowing from the west-northwest,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,14.4,,,2500 or more  or no clouds.,,,30.0,-23.3,No precipitation,12,,,,
27.03.2020 14:00,12.5,478.2,758.2,-1.5,9,Wind blowing from the west-northwest,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,12.5,,,2500 or more  or no clouds.,,,17.0,-19.5,No precipitation,12,,,,
27.03.2020 11:00,6.1,479.7,761.0,0.6,30,Wind blowing from the south-southeast,1,,3,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,10.5,,,1000-1500,,,9.0,-10.2,No precipitation,12,,,,
27.03.2020 08:00,-4.6,479.1,765.1,1.0,63,Wind blowing from the west-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,10.5,,,2500 or more  or no clouds.,,,18.0,-10.6,No precipitation,12,,,,
