Local time in Hoboksar,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,12.0,652.1,763.7,0.2,17,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,17.3,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,12,,,,
06.04.2020 08:00,2.3,651.9,764.1,0.2,30,Wind blowing from the north,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,17.3,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
06.04.2020 05:00,1.9,651.7,763.3,-0.6,32,Wind blowing from the north,5,,10,,Cloud development not observed or not observable. ,,,1.1,17.3,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
06.04.2020 02:00,4.7,652.3,763.9,-0.4,24,Wind blowing from the north,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,17.3,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
05.04.2020 23:00,7.5,652.7,764.5,0.8,17,Wind blowing from the north-east,4,,10,,Cloud development not observed or not observable. ,,,1.5,17.3,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
05.04.2020 20:00,14.5,651.9,764.2,0.1,9,Wind blowing from the south-southeast,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,17.3,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
05.04.2020 17:00,17.1,651.8,763.1,-1.0,6,Wind blowing from the south-southwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,17.1,,,2500 or more  or no clouds.,,,30.0,-20.8,No precipitation,12,,,,
05.04.2020 14:00,15.0,652.8,764.7,-0.9,6,Wind blowing from the south,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,15.3,,,2500 or more  or no clouds.,,,30.0,-22.3,No precipitation,12,,,,
05.04.2020 11:00,11.7,653.7,765.9,0.2,8,Wind blowing from the west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,15.3,,,2500 or more  or no clouds.,,,30.0,-21.5,No precipitation,12,,,,
05.04.2020 08:00,1.6,653.5,766.5,-0.3,26,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,15.3,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
05.04.2020 05:00,3.8,653.8,766.0,-0.9,19,Wind blowing from the north,5,,8,,Cloud development not observed or not observable. ,,,1.3,15.3,,,2500 or more  or no clouds.,,,30.0,-17.7,No precipitation,12,,,,
05.04.2020 02:00,3.7,654.7,767.2,-0.6,22,Wind blowing from the north,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,15.3,,,2500 or more  or no clouds.,,,30.0,-16.1,No precipitation,12,,,,
04.04.2020 23:00,6.4,655.3,767.8,0.3,18,Wind blowing from the north,6,,8,,Cloud development not observed or not observable. ,,,0.2,15.3,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
04.04.2020 20:00,12.8,655.0,768.0,0.0,7,Wind blowing from the east-southeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,15.3,,,2500 or more  or no clouds.,,,30.0,-22.2,No precipitation,12,,,,
04.04.2020 17:00,14.9,655.0,767.8,-1.0,6,Wind blowing from the east-southeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,15.3,,,2500 or more  or no clouds.,,,30.0,-22.4,No precipitation,12,,,,
04.04.2020 14:00,14.0,656.0,769.0,-0.2,7,Wind blowing from the south-east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,14.2,,,2500 or more  or no clouds.,,,30.0,-21.3,No precipitation,12,,,,
04.04.2020 11:00,11.5,656.2,769.2,0.5,13,Wind blowing from the south,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,13.6,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
04.04.2020 08:00,2.4,655.7,769.2,-0.2,26,Wind blowing from the north,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,13.6,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,12,,,,
04.04.2020 05:00,1.5,655.9,769.3,-0.2,31,Wind blowing from the north,5,,7,,Cloud development not observed or not observable. ,,,0.2,13.6,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
04.04.2020 02:00,2.4,656.1,769.5,-0.4,31,Wind blowing from the north,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,13.6,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
03.04.2020 23:00,5.0,656.5,769.8,0.9,24,Wind blowing from the north-northeast,5,,9,,Cloud development not observed or not observable. ,,,2.2,13.6,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
03.04.2020 20:00,11.3,655.6,768.9,0.0,12,Wind blowing from the south-east,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,13.6,,,2500 or more  or no clouds.,,,28.0,-17.1,No precipitation,12,,,,
03.04.2020 17:00,12.9,655.6,768.6,-0.8,9,Wind blowing from the south,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,17.4,,,2500 or more  or no clouds.,,,30.0,-19.2,No precipitation,12,,,,
03.04.2020 14:00,12.1,656.4,769.6,-0.1,11,Wind blowing from the south-east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,17.4,,,2500 or more  or no clouds.,,,27.0,-17.5,No precipitation,12,,,,
03.04.2020 11:00,10.1,656.5,770.1,0.6,13,Wind blowing from the south-east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,17.4,,,2500 or more  or no clouds.,,,27.0,-17.1,No precipitation,12,,,,
03.04.2020 08:00,3.1,655.9,769.6,0.4,21,Wind blowing from the north,6,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,17.4,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
03.04.2020 05:00,3.1,655.5,768.8,-0.1,23,Wind blowing from the north,7,,9,,Cloud development not observed or not observable. ,,,-0.7,17.4,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
03.04.2020 02:00,3.5,655.6,769.1,-0.1,22,Wind blowing from the north,7,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,17.4,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
02.04.2020 23:00,4.0,655.7,769.9,0.9,22,Wind blowing from the north,7,,7,,Cloud development not observed or not observable. ,,,-0.7,17.4,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
02.04.2020 20:00,9.8,654.8,769.1,0.3,11,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,11.8,,,2500 or more  or no clouds.,,,30.0,-19.3,No precipitation,12,,,,
02.04.2020 17:00,11.3,654.5,768.3,-0.5,12,Wind blowing from the east-southeast,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,11.8,,,2500 or more  or no clouds.,,,20.0,-17.1,No precipitation,12,,,,
02.04.2020 14:00,10.0,655.0,769.0,-0.3,13,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,10.6,,,2500 or more  or no clouds.,,,29.0,-17.2,No precipitation,12,,,,
02.04.2020 11:00,6.2,655.3,769.6,0.8,20,Wind blowing from the east-southeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,10.6,,,2500 or more  or no clouds.,,,28.0,-15.1,No precipitation,12,,,,
02.04.2020 08:00,-0.3,654.5,768.9,0.1,29,Wind blowing from the north,6,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,10.6,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
02.04.2020 05:00,0.1,654.4,768.4,0.0,27,Wind blowing from the north,4,,13,,Cloud development not observed or not observable. ,,,-2.4,10.6,,,2500 or more  or no clouds.,,,30.0,-16.7,No precipitation,12,,,,
02.04.2020 02:00,1.2,654.4,768.7,0.4,23,Wind blowing from the north,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,10.6,,,2500 or more  or no clouds.,,,30.0,-17.7,No precipitation,12,,,,
01.04.2020 23:00,3.1,654.0,768.6,1.2,21,Wind blowing from the north-northeast,5,,13,,Cloud development not observed or not observable. ,,,-2.4,10.6,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
01.04.2020 20:00,9.1,652.8,767.2,0.2,14,Wind blowing from the east,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,10.6,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
01.04.2020 17:00,10.0,652.6,766.8,-0.8,13,Wind blowing from the east,7,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,10.2,,,2500 or more  or no clouds.,,,30.0,-17.2,No precipitation,12,,,,
01.04.2020 14:00,7.7,653.4,768.1,-0.5,16,Wind blowing from the east,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,7.7,,,2500 or more  or no clouds.,,,30.0,-16.5,No precipitation,12,,,,
01.04.2020 11:00,4.2,653.9,769.3,0.7,16,Wind blowing from the east,6,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,6.0,,,2500 or more  or no clouds.,,,30.0,-19.4,No precipitation,12,,,,
01.04.2020 08:00,-1.8,653.2,768.7,0.3,23,Wind blowing from the north-northeast,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,6.0,,,2500 or more  or no clouds.,,,30.0,-20.2,No precipitation,12,,,,
01.04.2020 05:00,-1.9,652.9,768.1,-0.9,22,Wind blowing from the north,5,,9,,Cloud development not observed or not observable. ,,,-7.9,6.0,,,2500 or more  or no clouds.,,,30.0,-20.8,No precipitation,12,,,,
01.04.2020 02:00,-1.5,653.8,769.3,-0.5,23,Wind blowing from the north,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,6.0,,,2500 or more  or no clouds.,,,30.0,-20.0,No precipitation,12,,,,
31.03.2020 23:00,-0.4,654.3,770.5,0.2,31,Wind blowing from the north,5,,10,,Cloud development not observed or not observable. ,,,-7.9,6.0,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
31.03.2020 20:00,4.1,654.1,771.1,-0.4,21,Wind blowing from the east,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,6.0,,,,,,30.0,-16.3,No precipitation,12,,,,
31.03.2020 17:00,5.6,654.5,771.1,-0.8,11,Wind blowing from the east,6,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,6.0,,,,,,30.0,-22.6,No precipitation,12,,,,
31.03.2020 14:00,4.7,655.3,772.0,-0.7,18,Wind blowing from the east,6,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,4.7,,,,,,30.0,-17.6,No precipitation,12,,,,
31.03.2020 11:00,0.8,656.0,773.2,0.5,27,Wind blowing from the east,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,2.8,,,,,,30.0,-16.1,No precipitation,12,,,,
31.03.2020 08:00,-6.9,655.5,773.2,0.3,50,Wind blowing from the north-northeast,4,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,2.8,,,,,,30.0,-15.6,No precipitation,12,,,,
31.03.2020 05:00,-6.6,655.2,772.7,-0.8,54,Wind blowing from the north,4,,6,,Cloud development not observed or not observable. ,,,-9.4,2.8,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
31.03.2020 02:00,-5.6,656.0,773.8,-0.2,52,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,2.8,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
30.03.2020 23:00,-3.2,656.2,774.1,0.9,42,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,,,-9.4,2.8,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
30.03.2020 20:00,1.6,655.3,773.5,0.3,25,Wind blowing from the south-east,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,2.8,,,,,,30.0,-16.3,No precipitation,12,,,,
30.03.2020 17:00,2.0,655.0,772.9,-0.5,24,Wind blowing from the south-east,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,2.6,,,,,,30.0,-16.5,No precipitation,12,,,,
30.03.2020 14:00,0.2,655.5,773.7,0.2,26,Wind blowing from the east,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,2.4,,,,,,30.0,-17.1,No precipitation,12,,,,
30.03.2020 11:00,-2.6,655.3,773.8,0.8,42,Wind blowing from the south-southwest,1,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,2.4,,,,,,30.0,-14.0,No precipitation,12,,,,
30.03.2020 08:00,-9.2,654.5,773.6,0.6,68,Wind blowing from the north,1,,18,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,2.4,,,1500-2000,,,30.0,-14.0,No precipitation,12,,,,
30.03.2020 05:00,-8.0,653.9,771.6,-0.3,60,Wind blowing from the north-west,3,,22,,Cloud development not observed or not observable. ,,,-8.2,2.4,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
30.03.2020 02:00,-7.5,654.2,772.0,0.6,63,Wind blowing from the north-northwest,3,,24,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,2.4,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
29.03.2020 23:00,-5.8,653.6,771.0,1.9,55,Wind blowing from the west,11,,24,,Cloud development not observed or not observable. ,,,-5.8,2.4,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
29.03.2020 20:00,-2.6,651.7,768.1,1.5,44,Wind blowing from the west,13,,24,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,4.7,,,,,,30.0,-13.2,No precipitation,12,,,,
29.03.2020 17:00,1.6,650.2,765.4,0.0,18,Wind blowing from the west,15,,24,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,,,,1500-2000,,,30.0,-20.2,No precipitation,12,,,,
29.03.2020 14:00,1.2,650.2,765.4,0.0,29,Wind blowing from the west-southwest,14,,20,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,,,,2500 or more  or no clouds.,,,19.0,-14.9,No precipitation,12,,,,
29.03.2020 11:00,0.4,650.2,765.4,1.4,38,Wind blowing from the west,5,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,,,,1500-2000,,,30.0,-12.3,No precipitation,12,,,,
29.03.2020 08:00,-0.2,648.8,763.1,0.2,44,Wind blowing from the west,12,,16,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,8.6,,,1500-2000,,,30.0,-11.0,No precipitation,12,,,,
29.03.2020 05:00,0.3,648.6,762.1,-0.6,37,Wind blowing from the south-west,7,,17,,Cloud development not observed or not observable. ,,,-7.2,8.6,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
29.03.2020 02:00,0.7,649.2,763.1,-0.1,40,Wind blowing from the west,8,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,8.6,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
28.03.2020 23:00,1.6,649.3,764.1,0.4,46,Wind blowing from the west-southwest,6,,17,,Cloud development not observed or not observable. ,,,-7.2,8.6,,,2500 or more  or no clouds.,,,30.0,-9.0,No precipitation,12,,,,
28.03.2020 20:00,4.7,648.9,764.6,0.5,31,Wind blowing from the west,8,,17,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,8.6,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
28.03.2020 17:00,7.6,648.4,763.2,-1.0,22,Wind blowing from the west,11,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,8.6,,,,,,30.0,-12.8,No precipitation,12,,,,
28.03.2020 14:00,5.7,649.4,764.8,-1.1,19,Wind blowing from the south-east,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,6.2,,,,,,30.0,-16.1,No precipitation,12,,,,
28.03.2020 11:00,1.0,650.5,766.5,0.0,37,Wind blowing from the south-southeast,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,4.6,,,,,,30.0,-12.1,No precipitation,12,,,,
28.03.2020 08:00,-6.3,650.5,767.0,-0.6,53,Wind blowing from the north,3,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,4.6,,,1500-2000,,,30.0,-14.5,No precipitation,12,,,,
28.03.2020 05:00,-5.7,651.1,767.2,-1.5,56,Wind blowing from the north-northwest,4,,6,,Cloud development not observed or not observable. ,,,-8.3,4.6,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
28.03.2020 02:00,-5.3,652.6,769.3,-0.9,62,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,4.6,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
27.03.2020 23:00,-2.8,653.5,770.7,0.0,44,Wind blowing from the north-northeast,3,,8,,Cloud development not observed or not observable. ,,,-8.3,4.6,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
27.03.2020 20:00,2.6,653.5,770.9,-0.7,24,Wind blowing from the south-southeast,3,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,4.6,,,,,,30.0,-15.9,No precipitation,12,,,,
27.03.2020 17:00,4.1,654.2,771.4,-1.4,15,Wind blowing from the south-east,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,4.3,,,,,,30.0,-20.2,No precipitation,12,,,,
27.03.2020 14:00,2.0,655.6,773.2,-0.9,15,Wind blowing from the south-southwest,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,2.0,,,,,,30.0,-22.0,No precipitation,12,,,,
