Local time in Wenzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 20:00,11.6,765.1,768.7,0.6,83,Wind blowing from the east,1,,,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,14.5,,,2500 or more  or no clouds.,,,10.0,8.8,No precipitation,12,,,,
05.04.2020 17:00,12.5,764.5,768.0,-0.3,75,Wind blowing from the east,3,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,15.2,,,2500 or more  or no clouds.,,,14.0,8.2,No precipitation,12,,,,
05.04.2020 14:00,13.3,764.8,768.4,-1.0,72,Wind blowing from the east,3,,,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,16.0,,,2500 or more  or no clouds.,,,6.0,8.4,No precipitation,12,,,,
05.04.2020 11:00,14.2,765.8,769.3,0.0,66,Wind blowing from the east,2,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,16.2,,,2500 or more  or no clouds.,,,4.5,7.9,No precipitation,12,,,,
05.04.2020 08:00,13.4,765.8,769.3,1.6,72,Wind blowing from the north-east,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,16.2,,,2500 or more  or no clouds.,,,5.0,8.5,No precipitation,12,,,,
05.04.2020 05:00,11.9,764.2,767.8,-0.5,86,Wind blowing from the west,1,,5,,Mist. ,,,10.9,16.2,,,2500 or more  or no clouds.,,,3.8,9.6,No precipitation,12,,,,
05.04.2020 02:00,12.9,764.7,768.2,-0.6,77,Wind blowing from the north-east,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,16.2,,,2500 or more  or no clouds.,,,6.0,9.0,No precipitation,12,,,,
04.04.2020 23:00,12.6,765.3,768.8,0.0,76,Wind blowing from the north,0,,6,,Cloud development not observed or not observable. ,,,10.9,16.2,,,2500 or more  or no clouds.,,,9.0,8.5,No precipitation,12,,,,
04.04.2020 20:00,13.9,765.3,768.8,1.3,69,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,16.2,,,2500 or more  or no clouds.,,,9.0,8.3,No precipitation,12,,,,
04.04.2020 17:00,15.2,764.0,767.5,0.1,60,Wind blowing from the north-northeast,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,16.2,,,2500 or more  or no clouds.,,,12.0,7.5,No precipitation,12,,,,
04.04.2020 14:00,15.9,763.9,767.4,-0.9,51,Wind blowing from the north-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,16.2,,,2500 or more  or no clouds.,,,15.0,5.8,No precipitation,12,,,,
04.04.2020 11:00,15.0,764.8,768.3,0.3,46,Wind blowing from the west-northwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,15.0,,,2500 or more  or no clouds.,,,19.0,3.5,No precipitation,12,,,,
04.04.2020 08:00,11.7,764.5,768.1,1.4,82,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,7.0,8.7,No precipitation,12,,,,
04.04.2020 05:00,11.4,763.1,766.6,0.3,96,Wind blowing from the north-northeast,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.3,14.8,,,2500 or more  or no clouds.,,,1.2,10.8,No precipitation,12,,,,
04.04.2020 02:00,11.4,762.8,766.3,-1.1,96,Wind blowing from the west-northwest,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,14.8,,,2500 or more  or no clouds.,,,1.4,10.8,No precipitation,12,,,,
03.04.2020 23:00,11.6,763.9,767.5,0.2,92,Wind blowing from the north-east,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.2,14.8,,,2500 or more  or no clouds.,,,2.1,10.3,No precipitation,12,,,,
03.04.2020 20:00,12.3,763.7,767.2,1.1,91,Wind blowing from the east-northeast,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,14.8,,,2500 or more  or no clouds.,,,2.4,10.9,No precipitation,12,,,,
03.04.2020 17:00,13.6,762.6,766.1,0.0,73,Wind blowing from the north-northeast,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,14.8,,,2500 or more  or no clouds.,,,6.0,8.9,No precipitation,12,,,,
03.04.2020 14:00,14.1,762.6,766.1,-1.4,65,Wind blowing from the north,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,14.8,,,2500 or more  or no clouds.,,,7.0,7.6,No precipitation,12,,,,
03.04.2020 11:00,14.7,764.0,767.5,0.1,64,Wind blowing from the north-northeast,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,14.8,,,2500 or more  or no clouds.,,,7.0,8.0,No precipitation,12,,,,
03.04.2020 08:00,11.8,763.9,767.5,1.2,86,Wind blowing from the west-northwest,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,,,,2500 or more  or no clouds.,,,2.3,9.5,No precipitation,12,,,,
03.04.2020 05:00,11.5,762.7,766.3,-0.6,88,Wind blowing from the west,1,,4,,Mist. ,,,11.2,14.5,,,2500 or more  or no clouds.,,,2.3,9.6,No precipitation,12,,,,
03.04.2020 02:00,11.4,763.3,766.8,-1.0,88,Wind blowing from the west-northwest,1,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,14.5,,,2500 or more  or no clouds.,,,1.8,9.5,No precipitation,12,,,,
02.04.2020 23:00,11.6,764.3,767.8,0.2,87,Wind blowing from the west,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.2,14.5,,,2500 or more  or no clouds.,,,1.8,9.5,No precipitation,12,,,,
02.04.2020 20:00,12.6,764.1,767.6,0.8,72,Wind blowing from the west-northwest,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,14.5,,,2500 or more  or no clouds.,,,4.4,7.7,No precipitation,12,,,,
02.04.2020 17:00,13.1,763.3,766.8,0.3,71,Wind blowing from the north-east,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,15.9,,,2500 or more  or no clouds.,,,4.0,8.0,No precipitation,12,,,,
02.04.2020 14:00,14.0,763.0,766.5,-1.9,71,Wind blowing from the west-northwest,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,17.8,,,2500 or more  or no clouds.,,,4.3,8.8,No precipitation,12,,,,
02.04.2020 11:00,14.1,764.9,768.4,-0.1,65,Wind blowing from the east,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,18.3,,,2500 or more  or no clouds.,,,5.0,7.6,No precipitation,12,,,,
02.04.2020 08:00,12.9,765.0,768.5,1.7,82,Wind blowing from the east,2,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,,,,2500 or more  or no clouds.,,,4.0,9.9,No precipitation,12,,,,
02.04.2020 05:00,11.3,763.3,766.8,0.0,91,Wind blowing from the west,1,,6,,Mist. ,,,11.2,18.3,,,2500 or more  or no clouds.,,,4.6,9.9,No precipitation,12,,,,
02.04.2020 02:00,11.7,763.3,766.8,-1.1,91,Wind blowing from the north,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,18.3,,,2500 or more  or no clouds.,,,4.2,10.3,No precipitation,12,,,,
01.04.2020 23:00,12.9,764.4,767.9,1.4,82,Wind blowing from the south,1,,7,,Cloud development not observed or not observable. ,,,11.3,18.3,,,2500 or more  or no clouds.,,,9.0,9.9,No precipitation,12,,,,
01.04.2020 20:00,13.1,763.0,766.6,1.5,85,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,18.3,,,2500 or more  or no clouds.,,,7.0,10.6,No precipitation,12,,,,
01.04.2020 17:00,15.9,761.5,765.1,0.0,72,Wind blowing from the east-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,18.3,,,2500 or more  or no clouds.,,,9.0,10.9,No precipitation,12,,,,
01.04.2020 14:00,17.4,761.5,765.0,-1.5,67,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,18.3,,,2500 or more  or no clouds.,,,15.0,11.2,No precipitation,12,,,,
01.04.2020 11:00,16.4,763.0,766.6,0.9,61,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,16.8,,,2500 or more  or no clouds.,,,19.0,8.9,No precipitation,12,,,,
01.04.2020 08:00,14.0,762.1,765.6,2.0,75,Wind blowing from the east-northeast,1,,6,,Cloud development not observed or not observable. ,Rain.,Drizzle.,11.3,14.8,,,2500 or more  or no clouds.,,,20.0,9.6,4.0,12,,,,
01.04.2020 05:00,12.3,760.1,763.6,1.2,82,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,,,,,,,2500 or more  or no clouds.,,,20.0,9.3,10.0,12,,,,
01.04.2020 02:00,12.0,758.9,762.4,0.1,99,Wind blowing from the west-northwest,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,14.8,,,2500 or more  or no clouds.,,,1.1,11.8,13.0,12,,,,
31.03.2020 23:00,12.0,758.8,762.3,0.6,98,Wind blowing from the south,0,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.8,14.8,,,2500 or more  or no clouds.,,,1.8,11.7,13.0,12,,,,
31.03.2020 20:00,12.1,758.2,761.8,1.2,97,Wind blowing from the west,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,14.8,,,300-600,,,2.7,11.6,10.0,12,,,,
31.03.2020 17:00,12.6,757.0,760.5,-0.2,96,Wind blowing from the north,0,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,14.8,,,300-600,,,2.4,12.0,4.0,12,,,,
31.03.2020 14:00,13.7,757.2,760.7,-2.3,82,Wind blowing from the south-east,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,14.8,,,300-600,,,12.0,10.7,6.0,12,,,,
31.03.2020 11:00,13.6,759.5,763.0,-0.8,87,Wind blowing from the west,1,,3,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,13.6,,,1000-1500,,,6.0,11.5,10.0,12,,,,
31.03.2020 08:00,11.5,760.3,763.8,0.5,98,Wind blowing from the west,1,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.5,,,1000-1500,,,1.6,11.2,10.0,12,,,,
31.03.2020 05:00,10.9,759.8,763.3,-0.3,98,Wind blowing from the west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,,11.4,,,2500 or more  or no clouds.,,,1.9,10.6,10.0,12,,,,
31.03.2020 02:00,11.1,760.1,763.6,-0.7,97,Wind blowing from the west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.4,,,2500 or more  or no clouds.,,,1.2,10.6,4.0,12,,,,
30.03.2020 23:00,11.3,760.8,764.3,0.2,94,Wind blowing from the north-west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,8.5,11.4,,,2500 or more  or no clouds.,,,11.0,10.4,3.0,12,,,,
30.03.2020 20:00,11.3,760.6,764.1,1.2,91,Wind blowing from the north,1,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,11.4,,,1000-1500,,,17.0,9.9,4.0,12,,,,
30.03.2020 17:00,11.4,759.4,762.9,0.0,96,Wind blowing from the north-northwest,1,,4,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,11.4,,,300-600,,,6.0,10.8,7.0,12,,,,
30.03.2020 14:00,10.9,759.4,763.0,-1.2,96,Wind blowing from the north-northwest,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,10.9,,,300-600,,,2.6,10.3,18.0,12,,,,
30.03.2020 11:00,9.9,760.6,764.1,0.4,96,Wind blowing from the north-northeast,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,11.4,,,2500 or more  or no clouds.,,,6.0,9.3,23.0,12,,,,
30.03.2020 08:00,9.5,760.2,763.8,1.0,98,Wind blowing from the west,2,,4,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Rain.,8.2,,,,300-600,,,4.8,9.2,33.0,12,,,,
30.03.2020 05:00,8.9,759.2,762.8,-0.5,98,Wind blowing from the west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,,,,,2500 or more  or no clouds.,,,2.0,8.6,36.0,12,,,,
30.03.2020 02:00,8.7,759.7,763.2,-0.5,98,Wind blowing from the west,2,,5,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,11.4,,,2500 or more  or no clouds.,,,1.8,8.4,31.0,12,,,,
29.03.2020 23:00,8.5,760.2,763.7,-0.4,97,Wind blowing from the north-northeast,1,,6,,Rain  not freezing  intermittent  moderate at time of observation. ,,,6.5,11.4,,,2500 or more  or no clouds.,,,2.0,8.1,23.0,12,,,,
29.03.2020 20:00,8.3,760.6,764.2,-0.4,96,Wind blowing from the west-northwest,1,,6,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,11.4,,,300-600,,,2.8,7.7,13.0,12,,,,
29.03.2020 17:00,8.2,761.0,764.6,0.6,94,Wind blowing from the west-northwest,1,,6,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,11.4,,,300-600,,,4.3,7.3,7.0,12,,,,
29.03.2020 14:00,10.7,760.4,764.0,-2.9,70,Wind blowing from the north-west,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,11.4,,,1000-1500,,,13.0,5.3,No precipitation,12,,,,
29.03.2020 11:00,9.7,763.3,766.9,-0.6,70,Wind blowing from the north,3,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,10.9,,,1000-1500,,,15.0,4.5,No precipitation,12,,,,
29.03.2020 08:00,8.5,763.9,767.5,0.6,82,Wind blowing from the west,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,10.9,,,1500-2000,,,7.0,5.6,No precipitation,12,,,,
29.03.2020 05:00,6.5,763.3,766.9,0.0,90,Wind blowing from the west-northwest,2,,7,,Mist. ,,,6.5,10.9,,,2500 or more  or no clouds.,,,4.9,5.0,No precipitation,12,,,,
29.03.2020 02:00,6.9,763.3,766.9,-1.5,83,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,11.1,,,2500 or more  or no clouds.,,,20.0,4.2,0.1,12,,,,
28.03.2020 23:00,8.2,764.8,768.4,0.8,74,Wind blowing from the west-northwest,2,,8,,Cloud development not observed or not observable. ,,,8.1,12.8,,,2500 or more  or no clouds.,,,20.0,3.8,0.5,12,,,,
28.03.2020 20:00,9.4,764.0,767.6,1.5,70,Wind blowing from the north,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,,,,1000-1500,,,20.0,4.2,8.0,12,,,,
28.03.2020 17:00,10.2,762.5,766.0,0.5,72,Wind blowing from the north-northwest,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,,,,1000-1500,,,20.0,5.4,14.0,12,,,,
28.03.2020 14:00,10.3,762.0,765.5,-1.5,82,Wind blowing from the north,2,,8,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,,,,600-1000,,,20.0,7.4,18.0,12,,,,
28.03.2020 11:00,9.1,763.5,767.0,1.5,91,Wind blowing from the north,3,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,8.9,,,,600-1000,,,17.0,7.7,21.0,12,,,,
28.03.2020 08:00,9.7,762.0,765.5,1.8,95,Wind blowing from the north,2,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,,,,300-600,,,5.0,8.9,15.0,12,,,,
28.03.2020 05:00,9.4,760.2,763.7,-0.7,93,Wind blowing from the east-northeast,3,,10,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.4,25.0,,,2500 or more  or no clouds.,,,8.0,8.3,12.0,12,,,,
28.03.2020 02:00,11.1,760.9,764.4,-0.6,94,Wind blowing from the east,4,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,25.0,,,2500 or more  or no clouds.,,,7.0,10.2,8.0,12,,,,
27.03.2020 23:00,12.8,761.5,764.9,1.1,93,Wind blowing from the east,4,,12,,Rain  not freezing  intermittent  moderate at time of observation. ,,,12.8,25.0,,,2500 or more  or no clouds.,,,2.4,11.7,4.0,12,,,,
27.03.2020 20:00,14.2,760.4,763.9,1.9,95,Wind blowing from the east,4,,12,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,25.0,,,300-600,,,5.0,13.4,3.0,12,,,,
27.03.2020 17:00,16.9,758.5,762.0,0.0,85,Wind blowing from the east,5,,12,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.9,25.0,,,300-600,,,7.0,14.4,No precipitation,12,,,,
27.03.2020 14:00,19.3,758.5,761.9,-0.3,82,Wind blowing from the east,5,,12,70 – 80%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,25.0,,,600-1000,,,5.0,16.2,No precipitation,12,,,,
27.03.2020 11:00,24.3,758.8,762.1,0.3,69,Wind blowing from the east,4,,7,40%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,24.6,,,600-1000,,,2.4,18.3,No precipitation,12,,,,
27.03.2020 08:00,19.1,758.5,761.9,1.8,94,Wind blowing from the west,2,,4,90  or more  but not 100%,Mist. ,Rain.,Fog or ice fog or thick haze.,17.3,,,,1000-1500,,,2.8,18.1,1.0,12,,,,
27.03.2020 05:00,18.3,756.7,760.1,0.4,98,Wind blowing from the west,2,,18,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,16.9,22.3,,,2500 or more  or no clouds.,,,0.6,18.0,14.0,12,,,,
27.03.2020 02:00,18.7,756.3,759.7,-0.8,98,Wind blowing from the east-northeast,1,,18,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.7,22.3,,,2500 or more  or no clouds.,,,1.3,18.4,14.0,12,,,,
