Local time in Changbai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 20:00,9.9,688.1,756.3,-0.4,28,Wind blowing from the south-southwest,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,13.5,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
03.04.2020 17:00,11.4,688.5,757.3,-1.2,19,Wind blowing from the west,6,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,13.5,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
03.04.2020 14:00,13.1,689.7,758.2,,15,Wind blowing from the west,8,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,13.3,,,2500 or more  or no clouds.,,,30.0,-12.9,No precipitation,12,,,,
03.04.2020 08:00,1.6,695.0,764.7,-0.2,50,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,12.1,,,2500 or more  or no clouds.,,,30.0,-7.9,No precipitation,12,,,,
03.04.2020 05:00,-4.5,695.2,764.7,0.1,78,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,,,-7.4,12.1,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
03.04.2020 02:00,-2.7,695.1,764.3,,69,Wind blowing from the north-northeast,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,12.1,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
02.04.2020 20:00,3.8,693.8,763.7,0.9,38,Wind blowing from the east,1,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,12.1,,,2500 or more  or no clouds.,,,30.0,-9.5,No precipitation,12,,,,
02.04.2020 17:00,11.0,692.9,762.6,0.1,14,Wind blowing from the west-southwest,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,12.1,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
02.04.2020 14:00,11.6,692.8,762.2,-1.5,12,Wind blowing from the west-southwest,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,11.6,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
02.04.2020 11:00,8.5,694.3,763.9,-1.6,19,Wind blowing from the west-southwest,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,8.6,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
02.04.2020 08:00,-0.9,695.9,766.1,-0.2,47,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,8.2,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
02.04.2020 05:00,-7.2,696.1,766.7,0.3,75,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,,,-7.2,8.2,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
02.04.2020 02:00,-5.5,695.8,766.0,,71,Wind blowing from the north-northeast,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,8.2,,,2500 or more  or no clouds.,,,30.0,-10.0,No precipitation,12,,,,
01.04.2020 20:00,3.1,694.5,763.9,1.8,22,Wind blowing from the west,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,8.2,,,2500 or more  or no clouds.,,,30.0,-16.5,No precipitation,12,,,,
01.04.2020 17:00,6.6,692.7,761.8,0.9,15,Wind blowing from the north-west,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,11.4,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
01.04.2020 14:00,7.6,691.8,760.5,-1.3,15,Wind blowing from the north-northeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,13.6,,,2500 or more  or no clouds.,,,30.0,-17.4,No precipitation,12,,,,
01.04.2020 11:00,7.0,693.1,762.0,-0.6,19,Wind blowing from the north-east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,13.6,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
01.04.2020 08:00,3.6,693.7,762.7,0.2,44,Wind blowing from the north-east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
01.04.2020 05:00,1.6,693.5,762.1,-0.1,75,Wind blowing from the south-east,1,,10,,Cloud development not observed or not observable. ,,,-4.8,13.6,,,2500 or more  or no clouds.,,,30.0,-2.4,No precipitation,12,,,,
01.04.2020 02:00,3.0,693.6,761.7,,74,Wind blowing from the west,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,13.6,,,2500 or more  or no clouds.,,,30.0,-1.3,No precipitation,12,,,,
31.03.2020 20:00,5.9,692.5,761.8,1.2,55,Wind blowing from the west,0,,11,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,13.6,,,600-1000,,,16.0,-2.6,No precipitation,12,,,,
31.03.2020 17:00,11.4,691.3,760.3,0.0,30,Wind blowing from the south-west,3,,,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,13.6,,,600-1000,,,30.0,-5.5,No precipitation,12,,,,
31.03.2020 14:00,13.3,691.3,760.1,-2.7,26,Wind blowing from the west,4,,11,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,13.4,,,600-1000,,,29.0,-5.7,No precipitation,12,,,,
31.03.2020 11:00,8.2,694.0,763.4,-1.3,31,Wind blowing from the south,2,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,12.5,,,600-1000,,,30.0,-7.9,No precipitation,12,,,,
31.03.2020 08:00,-0.4,695.3,765.4,0.4,54,Wind blowing from the east,1,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,12.5,,,600-1000,,,30.0,-8.7,No precipitation,12,,,,
31.03.2020 05:00,-4.4,694.9,764.4,-1.0,72,Wind blowing from the north-east,2,,5,,Cloud development not observed or not observable. ,,,-8.0,12.5,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
31.03.2020 02:00,-3.7,695.9,765.4,,69,Wind blowing from the north-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,12.5,,,2500 or more  or no clouds.,,,30.0,-8.7,No precipitation,12,,,,
30.03.2020 20:00,2.8,694.9,765.1,1.5,39,Wind blowing from the north-northeast,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,12.5,,,,,,30.0,-10.0,No precipitation,12,,,,
30.03.2020 17:00,10.8,693.4,763.3,-0.3,24,Wind blowing from the north-west,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,12.5,,,,,,25.0,-8.9,No precipitation,12,,,,
30.03.2020 14:00,11.1,693.7,763.3,-1.8,17,Wind blowing from the south-east,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,11.5,,,,,,30.0,-13.0,No precipitation,12,,,,
30.03.2020 11:00,5.9,695.5,765.7,-1.0,32,Wind blowing from the south-southwest,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,9.1,,,,,,30.0,-9.5,No precipitation,12,,,,
30.03.2020 08:00,-1.5,696.5,767.2,0.1,53,Wind blowing from the east-northeast,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,9.1,,,,,,30.0,-10.0,No precipitation,12,,,,
30.03.2020 05:00,-7.6,696.4,766.9,0.7,80,Wind blowing from the north-northeast,1,,4,,Cloud development not observed or not observable. ,,,-11.9,9.1,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
30.03.2020 02:00,-5.9,695.7,765.9,,76,Wind blowing from the north-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.9,9.1,,,2500 or more  or no clouds.,,,30.0,-9.5,No precipitation,12,,,,
29.03.2020 20:00,0.2,694.9,766.1,1.3,49,Wind blowing from the north-northeast,2,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.9,9.1,,,600-1000,,,30.0,-9.4,No precipitation,12,,,,
29.03.2020 17:00,7.9,693.6,764.3,-0.6,23,Wind blowing from the north,1,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.9,9.1,,,,,,17.0,-11.9,No precipitation,12,,,,
29.03.2020 14:00,7.7,694.2,764.8,-2.5,22,Wind blowing from the south-southeast,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.9,7.7,,,,,,30.0,-12.6,No precipitation,12,,,,
29.03.2020 11:00,1.3,696.7,768.1,-2.1,34,Wind blowing from the south-southwest,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.9,2.4,,,,,,30.0,-13.1,No precipitation,12,,,,
29.03.2020 08:00,-6.0,698.8,770.7,0.4,53,Wind blowing from the east-southeast,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.9,2.4,,,,,,30.0,-14.2,No precipitation,12,,,,
29.03.2020 05:00,-11.5,698.4,770.5,0.2,74,Wind blowing from the north-east,2,,8,,Cloud development not observed or not observable. ,,,-11.5,2.4,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
29.03.2020 02:00,-9.4,698.2,769.9,,68,Wind blowing from the north-east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,2.4,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
28.03.2020 20:00,-2.0,696.4,767.8,1.5,31,Wind blowing from the north-west,1,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,2.4,,,,,,30.0,-17.2,No precipitation,12,,,,
28.03.2020 17:00,1.4,694.9,766.3,0.0,23,Wind blowing from the west-southwest,5,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,2.6,,,,,,30.0,-17.4,No precipitation,12,,,,
28.03.2020 14:00,1.9,694.9,765.9,-1.6,25,Wind blowing from the west-southwest,5,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,4.3,,,,,,30.0,-16.0,No precipitation,12,,,,
28.03.2020 11:00,-0.4,696.5,767.6,-0.7,29,Wind blowing from the south-west,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,4.3,,,,,,30.0,-16.2,No precipitation,12,,,,
28.03.2020 08:00,-3.9,697.2,768.5,1.1,34,Wind blowing from the west-southwest,5,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,4.3,,,,,,30.0,-17.7,No precipitation,12,,,,
28.03.2020 05:00,-8.7,696.1,767.5,0.3,73,Wind blowing from the north-east,2,,10,,Cloud development not observed or not observable. ,,,-8.8,4.3,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
28.03.2020 02:00,-6.5,695.8,766.6,,66,Wind blowing from the north-west,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.7,4.3,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
27.03.2020 20:00,-1.3,694.0,764.8,2.1,28,Wind blowing from the north-east,1,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,8.5,,,,,,30.0,-17.4,No precipitation,12,,,,
27.03.2020 17:00,2.6,691.9,762.0,0.6,23,Wind blowing from the west-southwest,5,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,12.1,,,,,,30.0,-16.4,No precipitation,12,,,,
27.03.2020 14:00,4.0,691.3,760.9,-1.2,14,Wind blowing from the west-southwest,6,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,,,,600-1000,,,30.0,-21.1,No precipitation,12,,,,
27.03.2020 11:00,1.7,692.5,762.1,-1.2,37,Wind blowing from the west-southwest,5,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,,,,600-1000,,,30.0,-11.4,0.5,12,,,,
27.03.2020 08:00,-2.0,693.7,763.1,0.0,48,Wind blowing from the west-southwest,3,,10,100%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Rain.,-2.9,15.0,,,600-1000,,,30.0,-11.7,0.5,12,,,,
27.03.2020 05:00,-2.9,693.7,762.8,0.0,74,Wind blowing from the west,3,,10,,Rain (not freezing) not falling as shower(s). ,,,-3.3,15.0,,,2500 or more  or no clouds.,,,30.0,-7.0,0.5,12,,,,
27.03.2020 02:00,-1.1,693.7,762.2,,83,Wind blowing from the west-southwest,3,,10,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,15.0,,,2500 or more  or no clouds.,,,5.0,-3.7,0.5,12,,,,
26.03.2020 20:00,8.5,691.8,760.5,1.2,53,Wind blowing from the west,2,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,15.0,,,600-1000,,,30.0,-0.7,No precipitation,12,,,,
26.03.2020 17:00,12.2,690.6,759.4,,34,Wind blowing from the south-east,1,,8,100%., ,,,-3.3,15.0,,,600-1000,,,26.0,-3.5,No precipitation,6,,,,
26.03.2020 14:00,14.4,691.4,759.8,-2.3,24,Wind blowing from the south-southeast,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,14.5,,,,,,30.0,-5.8,No precipitation,12,,,,
26.03.2020 11:00,8.9,693.7,762.8,,44,Wind blowing from the south-southwest,1,,3,60%., ,,,-3.3,8.9,,,600-1000,,,12.0,-2.9,No precipitation,6,,,,
26.03.2020 08:00,1.8,695.3,765.1,-0.2,65,Wind blowing from the east,1,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,7.9,,,,,,16.0,-4.2,No precipitation,12,,,,
26.03.2020 05:00,-3.0,695.5,765.5,,91,Wind blowing from the south-west,1,,4,, ,,,-5.1,7.9,,,,,,30.0,-4.3,No precipitation,6,,,,
26.03.2020 02:00,-1.8,694.9,764.7,,88,Wind blowing from the north,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,7.9,,,2500 or more  or no clouds.,,,30.0,-3.6,No precipitation,12,,,,
