Local time in Jinghong,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,27.4,709.4,757.9,1.0,35,Wind blowing from the south-east,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,34.6,,,2500 or more  or no clouds.,,,6.0,10.6,No precipitation,12,,,,
06.04.2020 08:00,20.4,708.4,757.1,1.0,57,Wind blowing from the east-northeast,0,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,34.6,,,2500 or more  or no clouds.,,,6.0,11.6,No precipitation,12,,,,
06.04.2020 05:00,22.3,707.4,755.5,-0.4,54,Wind blowing from the east,1,,4,,Haze. ,,,22.0,34.6,,,2500 or more  or no clouds.,,,6.0,12.6,No precipitation,12,,,,
06.04.2020 02:00,23.6,707.8,756.0,,56,Wind blowing from the north-northeast,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,34.6,,,2500 or more  or no clouds.,,,4.1,14.3,No precipitation,12,,,,
05.04.2020 20:00,29.8,705.7,754.0,0.9,40,Wind blowing from the west,0,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,34.6,,,2500 or more  or no clouds.,,,2.8,14.8,No precipitation,12,,,,
05.04.2020 17:00,34.4,704.8,752.6,-2.7,26,Wind blowing from the east-southeast,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,35.1,,,2500 or more  or no clouds.,,,4.1,12.1,No precipitation,12,,,,
05.04.2020 14:00,33.0,707.5,755.5,,23,Wind blowing from the south-southeast,1,,3,, ,,,22.0,35.5,,,,,,8.0,9.1,No precipitation,6,,,,
05.04.2020 11:00,27.7,710.2,758.8,0.9,45,Wind blowing from the south-east,1,,2,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,35.5,,,2500 or more  or no clouds.,,,4.6,14.7,No precipitation,12,,,,
05.04.2020 08:00,22.0,709.3,757.9,1.6,64,Wind blowing from the west-southwest,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,35.5,,,2500 or more  or no clouds.,,,4.2,14.9,No precipitation,12,,,,
05.04.2020 05:00,23.2,707.7,755.7,-0.4,59,Wind blowing from the west-northwest,1,,4,,Haze. ,,,18.7,35.5,,,2500 or more  or no clouds.,,,4.5,14.8,No precipitation,12,,,,
05.04.2020 02:00,24.6,708.1,756.1,,52,Wind blowing from the west-northwest,0,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,35.5,,,2500 or more  or no clouds.,,,4.2,14.1,No precipitation,12,,,,
04.04.2020 20:00,29.8,705.9,754.5,1.0,34,Wind blowing from the north-northwest,0,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,35.5,,,2500 or more  or no clouds.,,,2.7,12.3,No precipitation,12,,,,
04.04.2020 17:00,35.1,704.9,752.9,,23,Wind blowing from the south-east,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,35.9,,,,,,2.8,10.9,No precipitation,6,,,,
04.04.2020 14:00,33.0,707.4,755.5,-2.7,28,Wind blowing from the south-southeast,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,36.6,,,2500 or more  or no clouds.,,,3.2,12.1,No precipitation,12,,,,
04.04.2020 11:00,25.3,710.1,758.8,0.7,47,Wind blowing from the south-east,1,,2,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,,,,2500 or more  or no clouds.,,,3.9,13.2,No precipitation,12,,,,
04.04.2020 08:00,19.2,709.4,758.2,1.6,67,Wind blowing from the south-southwest,1,,2,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,36.6,,,2500 or more  or no clouds.,,,3.6,12.9,No precipitation,12,,,,
04.04.2020 05:00,20.5,707.8,755.9,,61,Wind blowing from the west-southwest,1,,6,,Haze. ,,,18.4,36.6,,,,,,3.8,12.7,No precipitation,6,,,,
04.04.2020 02:00,22.6,708.1,756.2,,56,Wind blowing from the north,1,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,36.6,,,2500 or more  or no clouds.,,,4.5,13.4,No precipitation,12,,,,
03.04.2020 20:00,30.7,705.7,754.3,0.6,28,Wind blowing from the east-northeast,1,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,36.6,,,2500 or more  or no clouds.,,,4.1,10.1,No precipitation,12,,,,
03.04.2020 17:00,35.9,705.1,753.1,-2.3,18,Wind blowing from the south,3,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,36.9,,,2500 or more  or no clouds.,,,4.3,7.9,No precipitation,12,,,,
03.04.2020 14:00,35.2,707.4,755.5,-2.7,21,Wind blowing from the east-southeast,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,37.3,,,2500 or more  or no clouds.,,,6.0,9.6,No precipitation,12,,,,
03.04.2020 11:00,26.6,710.1,758.8,0.8,38,Wind blowing from the south-southeast,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,,,,2500 or more  or no clouds.,,,5.0,11.1,No precipitation,12,,,,
03.04.2020 08:00,18.6,709.3,758.0,2.1,61,Wind blowing from the north,0,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,37.3,,,2500 or more  or no clouds.,,,5.0,10.9,No precipitation,12,,,,
03.04.2020 05:00,19.6,707.2,755.2,0.6,57,Wind blowing from the west-northwest,1,,8,,Haze. ,,,19.2,37.3,,,2500 or more  or no clouds.,,,6.0,10.9,No precipitation,12,,,,
03.04.2020 02:00,22.0,706.6,754.6,,46,Wind blowing from the west,0,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,37.3,,,2500 or more  or no clouds.,,,6.0,9.9,No precipitation,12,,,,
02.04.2020 20:00,31.6,704.5,752.8,0.9,20,Wind blowing from the east-northeast,0,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,37.3,,,2500 or more  or no clouds.,,,7.0,5.9,No precipitation,12,,,,
02.04.2020 17:00,36.9,703.6,751.4,-2.6,13,Wind blowing from the south-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,37.3,,,2500 or more  or no clouds.,,,7.0,4.0,No precipitation,12,,,,
02.04.2020 14:00,35.5,706.2,754.0,-2.7,23,Wind blowing from the north-east,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,36.1,,,2500 or more  or no clouds.,,,4.2,11.2,No precipitation,12,,,,
02.04.2020 11:00,26.8,708.9,757.4,,46,Wind blowing from the east,1,,2,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,36.1,,,,,,3.8,14.2,No precipitation,6,,,,
02.04.2020 08:00,19.4,707.7,756.2,1.8,72,Wind blowing from the north,0,,2,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,36.1,,,2500 or more  or no clouds.,,,3.6,14.2,No precipitation,12,,,,
02.04.2020 05:00,20.7,705.9,753.9,0.1,67,Wind blowing from the south,0,,6,,Haze. ,,,20.5,36.1,,,2500 or more  or no clouds.,,,4.2,14.4,No precipitation,12,,,,
02.04.2020 02:00,23.1,705.8,753.7,,58,Wind blowing from the south-west,1,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,36.1,,,2500 or more  or no clouds.,,,4.4,14.4,No precipitation,12,,,,
01.04.2020 20:00,31.9,704.1,752.3,0.7,31,Wind blowing from the east,1,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,36.1,,,2500 or more  or no clouds.,,,4.7,12.7,No precipitation,12,,,,
01.04.2020 17:00,35.6,703.4,751.2,-2.5,24,Wind blowing from the south,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,38.1,,,2500 or more  or no clouds.,,,4.6,11.9,No precipitation,12,,,,
01.04.2020 14:00,34.6,705.9,753.8,-3.2,26,Wind blowing from the east-northeast,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,38.5,,,2500 or more  or no clouds.,,,4.4,12.3,No precipitation,12,,,,
01.04.2020 11:00,26.7,709.1,757.6,1.1,38,Wind blowing from the east,1,,2,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,,,,2500 or more  or no clouds.,,,5.0,11.2,No precipitation,12,,,,
01.04.2020 08:00,20.5,708.0,756.4,2.0,57,Wind blowing from the north,0,,2,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.4,38.5,,,2500 or more  or no clouds.,,,6.0,11.7,No precipitation,12,,,,
01.04.2020 05:00,21.5,706.0,753.8,0.0,54,Wind blowing from the north,0,,6,,Haze. ,,,19.4,38.5,,,2500 or more  or no clouds.,,,5.0,11.8,No precipitation,12,,,,
01.04.2020 02:00,23.1,706.0,753.7,,47,Wind blowing from the north-northwest,0,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.4,38.5,,,2500 or more  or no clouds.,,,4.1,11.2,No precipitation,12,,,,
31.03.2020 20:00,33.1,704.3,752.5,0.8,23,Wind blowing from the south-southeast,1,,6,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.4,38.5,,,,,,3.6,9.2,No precipitation,12,,,,
31.03.2020 17:00,38.1,703.5,751.1,-2.8,14,Wind blowing from the south-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.4,40.1,,,2500 or more  or no clouds.,,,,6.0,No precipitation,12,,,,
31.03.2020 14:00,36.8,706.3,754.0,,17,Wind blowing from the east,2,,3,no clouds, ,,,19.4,40.3,,,,,,10.0,7.8,No precipitation,6,,,,
31.03.2020 11:00,28.9,709.0,757.3,0.9,37,Wind blowing from the north-east,1,,2,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.4,,,,,,,,12.8,No precipitation,12,,,,
31.03.2020 08:00,19.4,708.1,756.6,1.9,72,Wind blowing from the west,1,,3,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,,,,,,,3.7,14.2,No precipitation,12,,,,
31.03.2020 05:00,21.2,706.2,753.8,0.3,62,Wind blowing from the west,1,,8,,Haze. ,,,18.7,40.3,,,2500 or more  or no clouds.,,,4.7,13.6,No precipitation,12,,,,
31.03.2020 02:00,24.0,705.9,753.5,,55,Wind blowing from the south-southwest,1,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,40.3,,,2500 or more  or no clouds.,,,4.8,14.4,No precipitation,12,,,,
30.03.2020 20:00,32.5,703.4,751.7,1.1,32,Wind blowing from the east,1,,9,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,40.3,,,,,,4.7,13.7,No precipitation,12,,,,
30.03.2020 17:00,40.1,702.3,749.7,-2.5,14,Wind blowing from the west,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,40.3,,,,,,17.0,7.5,No precipitation,12,,,,
30.03.2020 14:00,36.9,704.8,752.5,-3.1,22,Wind blowing from the south-southeast,2,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,37.9,,,1500-2000,,,8.0,11.7,No precipitation,12,,,,
30.03.2020 11:00,27.2,707.9,756.4,0.8,46,Wind blowing from the east,1,,2,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,,,,1500-2000,,,4.3,14.6,No precipitation,12,,,,
30.03.2020 08:00,18.7,707.1,755.7,1.7,76,Wind blowing from the west-northwest,1,,2,50%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,37.9,,,1500-2000,,,3.6,14.4,No precipitation,12,,,,
30.03.2020 05:00,20.5,705.4,753.2,0.0,65,Wind blowing from the south,0,,5,,Haze. ,,,18.9,37.9,,,2500 or more  or no clouds.,,,5.0,13.7,No precipitation,12,,,,
30.03.2020 02:00,22.7,705.4,753.3,,59,Wind blowing from the south,0,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,37.9,,,2500 or more  or no clouds.,,,5.0,14.3,No precipitation,12,,,,
29.03.2020 20:00,31.4,703.2,751.5,0.9,35,Wind blowing from the north-northeast,1,,5,40%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,37.9,,,1500-2000,,,3.4,14.1,No precipitation,12,,,,
29.03.2020 17:00,37.7,702.3,749.9,-2.7,21,Wind blowing from the south,1,,5,40%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,37.8,,,1500-2000,,,5.0,11.6,No precipitation,12,,,,
29.03.2020 14:00,35.3,705.0,752.8,-2.7,28,Wind blowing from the east-northeast,1,,3,40%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,36.4,,,1500-2000,,,3.1,14.0,No precipitation,12,,,,
29.03.2020 11:00,26.1,707.7,756.2,1.1,48,Wind blowing from the north,1,,2,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,36.4,,,1500-2000,,,4.4,14.2,No precipitation,12,,,,
29.03.2020 08:00,18.9,706.6,755.2,,75,Wind blowing from the north-northwest,0,,2,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,36.4,,,1500-2000,,,4.1,14.4,No precipitation,6,,,,
29.03.2020 05:00,20.6,705.1,753.1,-0.5,68,Wind blowing from the south,1,,5,,Haze. ,,,18.3,36.4,,,2500 or more  or no clouds.,,,5.0,14.5,No precipitation,12,,,,
29.03.2020 02:00,22.6,705.6,753.6,,59,Wind blowing from the west-northwest,1,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,36.4,,,2500 or more  or no clouds.,,,5.0,14.2,No precipitation,12,,,,
28.03.2020 20:00,31.2,703.5,751.9,0.4,31,Wind blowing from the north-west,0,,5,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,36.4,,,1500-2000,,,3.4,12.1,No precipitation,12,,,,
28.03.2020 17:00,36.3,703.1,751.0,-2.9,23,Wind blowing from the south,2,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,36.4,,,1500-2000,,,8.0,11.9,No precipitation,12,,,,
28.03.2020 14:00,34.0,706.0,754.0,-3.2,27,Wind blowing from the east,1,,3,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,36.7,,,1500-2000,,,7.0,12.4,No precipitation,12,,,,
28.03.2020 11:00,25.5,709.2,757.9,0.8,47,Wind blowing from the west,1,,2,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,,,,1500-2000,,,5.0,13.4,No precipitation,12,,,,
28.03.2020 08:00,18.3,708.4,757.3,1.5,76,Wind blowing from the north-west,1,,2,40%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.8,36.7,,,1500-2000,,,3.9,14.0,No precipitation,12,,,,
28.03.2020 05:00,19.6,706.9,755.0,,70,Wind blowing from the west,1,,7,,Haze. ,,,16.8,36.7,,,,,,3.6,14.0,No precipitation,6,,,,
28.03.2020 02:00,21.9,707.5,755.6,,60,Wind blowing from the north,0,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.8,36.7,,,2500 or more  or no clouds.,,,5.0,13.8,No precipitation,12,,,,
27.03.2020 20:00,30.4,705.4,754.2,0.7,32,Wind blowing from the west-southwest,1,,9,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.8,36.7,,,1500-2000,,,6.0,11.9,No precipitation,12,,,,
27.03.2020 17:00,36.0,704.7,752.8,,22,Wind blowing from the north-northwest,2,,9,50%., ,,,16.8,36.7,,,1500-2000,,,10.0,10.9,No precipitation,6,,,,
27.03.2020 14:00,35.0,706.7,754.9,-2.9,23,Wind blowing from the west,3,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.8,35.8,,,1500-2000,,,10.0,10.8,No precipitation,12,,,,
27.03.2020 11:00,25.0,709.6,758.6,0.9,46,Wind blowing from the south-southwest,1,,2,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.8,,,,1500-2000,,,5.0,12.6,No precipitation,12,,,,
27.03.2020 08:00,16.8,708.7,757.8,,75,Wind blowing from the west,1,,3,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,35.8,,,1500-2000,,,4.5,12.3,No precipitation,6,,,,
27.03.2020 05:00,18.3,707.1,755.4,-0.5,68,Wind blowing from the west,0,,5,,Haze. ,,,16.0,35.8,,,2500 or more  or no clouds.,,,4.8,12.3,No precipitation,12,,,,
27.03.2020 02:00,20.5,707.6,756.0,,57,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,35.8,,,2500 or more  or no clouds.,,,7.0,11.7,No precipitation,12,,,,
26.03.2020 20:00,28.4,705.3,754.3,1.3,33,Wind blowing from the north-northeast,0,,8,60%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,35.8,,,1500-2000,,,4.1,10.6,No precipitation,12,,,,
26.03.2020 17:00,35.2,704.0,752.2,,18,Wind blowing from the west,3,,8,70 – 80%., ,,,16.0,35.8,,,1500-2000,,,11.0,7.3,No precipitation,6,,,,
26.03.2020 14:00,33.1,706.0,754.3,-3.2,25,Wind blowing from the east,2,,4,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,35.7,,,1500-2000,,,7.0,10.5,No precipitation,12,,,,
26.03.2020 11:00,24.0,709.2,758.2,,41,Wind blowing from the west,1,,2,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,,,,1500-2000,,,6.0,9.9,No precipitation,6,,,,
26.03.2020 08:00,16.0,707.8,757.0,1.2,72,Wind blowing from the west,1,,2,40%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,,,,1500-2000,,,6.0,11.0,No precipitation,12,,,,
26.03.2020 05:00,17.5,706.6,754.9,,61,Wind blowing from the west,1,,5,,Haze. ,,,17.5,35.7,,,,,,6.0,9.9,No precipitation,6,,,,
26.03.2020 02:00,20.1,706.7,755.1,,51,Wind blowing from the west,1,,12,, ,,,18.5,35.7,,,,,,9.0,9.7,No precipitation,6,,,,
25.03.2020 20:00,28.8,704.0,752.6,0.6,25,Wind blowing from the north-west,1,,12,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,35.7,,,1500-2000,,,12.0,6.8,No precipitation,12,,,,
25.03.2020 17:00,35.6,703.4,751.3,,15,Wind blowing from the west,3,,12,40%., ,,,18.5,35.7,,,1500-2000,,,18.0,5.0,No precipitation,6,,,,
25.03.2020 14:00,32.5,706.0,754.3,-2.5,24,Wind blowing from the south-east,2,,4,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,33.3,,,1500-2000,,,10.0,9.3,No precipitation,12,,,,
25.03.2020 11:00,25.0,708.5,757.4,,45,Wind blowing from the south-east,1,,3,50%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,33.3,,,1500-2000,,,5.0,12.3,No precipitation,6,,,,
25.03.2020 08:00,18.6,707.4,756.3,1.4,71,Wind blowing from the west,1,,6,50%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.0,33.3,,,1500-2000,,,5.0,13.2,No precipitation,12,,,,
25.03.2020 05:00,19.4,706.0,754.3,,66,Calm  no wind,0,,,,Haze. ,,,16.9,33.3,,,,,,7.0,12.9,No precipitation,6,,,,
