Local time in Zhongxiang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 14:00,19.6,757.7,767.5,-1.9,50,Wind blowing from the west-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,22.2,,,2500 or more  or no clouds.,,,16.0,8.9,No precipitation,12,,,,
05.04.2020 11:00,18.0,759.6,769.4,,59,Wind blowing from the north-west,2,,4,, ,,,13.3,22.2,,,,,,12.0,9.9,No precipitation,6,,,,
05.04.2020 08:00,13.7,759.3,769.1,1.1,80,Wind blowing from the west-northwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,22.2,,,2500 or more  or no clouds.,,,10.0,10.3,No precipitation,12,,,,
05.04.2020 05:00,14.2,758.2,767.9,-0.4,87,Wind blowing from the north-northwest,2,,8,,Cloud development not observed or not observable. ,,,10.7,22.2,,,2500 or more  or no clouds.,,,15.0,12.1,No precipitation,12,,,,
05.04.2020 02:00,15.6,758.6,768.4,,61,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,22.2,,,2500 or more  or no clouds.,,,19.0,8.1,No precipitation,12,,,,
04.04.2020 20:00,17.1,758.2,768.1,1.3,69,Wind blowing from the south,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,22.2,,,2500 or more  or no clouds.,,,16.0,11.4,No precipitation,12,,,,
04.04.2020 17:00,21.8,756.9,766.6,-1.1,28,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,22.2,,,2500 or more  or no clouds.,,,30.0,2.5,No precipitation,12,,,,
04.04.2020 14:00,21.0,758.0,767.8,-1.7,45,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,21.3,,,2500 or more  or no clouds.,,,27.0,8.6,No precipitation,12,,,,
04.04.2020 11:00,17.8,759.7,769.6,0.4,58,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,18.1,,,2500 or more  or no clouds.,,,19.0,9.4,No precipitation,12,,,,
04.04.2020 08:00,11.2,759.3,769.3,1.3,99,Wind blowing from the north-northwest,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,18.1,,,2500 or more  or no clouds.,,,2.8,11.0,No precipitation,12,,,,
04.04.2020 05:00,10.9,758.0,767.9,-0.2,99,Wind blowing from the north-west,2,,9,,Mist. ,,,10.9,18.1,,,2500 or more  or no clouds.,,,3.6,10.7,No precipitation,12,,,,
04.04.2020 02:00,11.7,758.2,768.1,,99,Wind blowing from the north-northwest,2,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,18.1,,,2500 or more  or no clouds.,,,4.6,11.5,No precipitation,12,,,,
03.04.2020 20:00,13.8,758.2,768.1,1.2,81,Wind blowing from the north-northwest,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,18.1,,,2500 or more  or no clouds.,,,9.0,10.6,No precipitation,12,,,,
03.04.2020 17:00,16.4,757.0,766.9,-0.8,56,Wind blowing from the north-northwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,18.1,,,2500 or more  or no clouds.,,,14.0,7.6,No precipitation,12,,,,
03.04.2020 14:00,17.6,757.8,767.6,-1.9,61,Wind blowing from the north-northwest,6,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,18.1,,,2500 or more  or no clouds.,,,6.0,10.0,No precipitation,12,,,,
03.04.2020 11:00,15.4,759.7,769.6,0.7,71,Wind blowing from the north-northwest,5,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,16.0,,,2500 or more  or no clouds.,,,5.0,10.2,No precipitation,12,,,,
03.04.2020 08:00,11.4,759.0,769.0,1.4,99,Wind blowing from the north-west,3,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,,,,2500 or more  or no clouds.,,,2.3,11.2,No precipitation,12,,,,
03.04.2020 05:00,11.2,757.6,767.5,-0.9,99,Wind blowing from the north-west,4,,8,,Mist. ,,,10.1,16.0,,,2500 or more  or no clouds.,,,2.7,11.0,No precipitation,12,,,,
03.04.2020 02:00,11.4,758.5,768.4,,98,Wind blowing from the north-west,3,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,16.0,,,2500 or more  or no clouds.,,,3.2,11.1,No precipitation,12,,,,
02.04.2020 20:00,12.2,758.2,768.1,1.7,93,Wind blowing from the north-west,4,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,16.0,,,2500 or more  or no clouds.,,,4.7,11.1,No precipitation,12,,,,
02.04.2020 17:00,13.9,756.5,766.4,-0.3,84,Wind blowing from the north-west,5,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,16.3,,,2500 or more  or no clouds.,,,6.0,11.2,No precipitation,12,,,,
02.04.2020 14:00,14.9,756.8,766.7,-1.6,83,Wind blowing from the north-west,4,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,17.0,,,2500 or more  or no clouds.,,,7.0,12.0,No precipitation,12,,,,
02.04.2020 11:00,15.0,758.4,768.3,,83,Wind blowing from the north-northwest,3,,8,, ,,,10.1,17.0,,,,,,10.0,12.1,No precipitation,6,,,,
02.04.2020 08:00,11.2,757.6,767.5,1.5,97,Wind blowing from the north-west,4,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,17.0,,,2500 or more  or no clouds.,,,7.0,10.7,No precipitation,12,,,,
02.04.2020 05:00,10.4,756.1,766.0,-0.6,99,Wind blowing from the north-northwest,3,,6,,Mist. ,,,8.7,17.0,,,2500 or more  or no clouds.,,,6.0,10.2,No precipitation,12,,,,
02.04.2020 02:00,11.3,756.7,766.5,,95,Wind blowing from the north-northwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,17.0,,,2500 or more  or no clouds.,,,10.0,10.5,No precipitation,12,,,,
01.04.2020 20:00,13.8,756.2,766.1,1.7,84,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,17.0,,,2500 or more  or no clouds.,,,11.0,11.1,No precipitation,12,,,,
01.04.2020 17:00,16.3,754.5,764.4,-1.0,69,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,17.0,,,2500 or more  or no clouds.,,,12.0,10.6,No precipitation,12,,,,
01.04.2020 14:00,16.8,755.5,765.4,-2.0,67,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,17.0,,,2500 or more  or no clouds.,,,12.0,10.6,No precipitation,12,,,,
01.04.2020 11:00,14.7,757.5,767.5,0.4,76,Wind blowing from the south,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,14.9,,,2500 or more  or no clouds.,,,9.0,10.5,No precipitation,12,,,,
01.04.2020 08:00,10.2,757.1,767.1,2.5,96,Wind blowing from the south-east,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,13.7,,,2500 or more  or no clouds.,,,5.0,9.6,No precipitation,12,,,,
01.04.2020 05:00,8.8,754.6,764.5,-0.3,99,Wind blowing from the east-southeast,3,,4,,Mist. ,,,8.3,13.7,,,2500 or more  or no clouds.,,,5.0,8.7,No precipitation,12,,,,
01.04.2020 02:00,8.3,754.9,764.8,,99,Wind blowing from the east-southeast,3,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,13.7,,,2500 or more  or no clouds.,,,5.0,8.2,No precipitation,12,,,,
31.03.2020 20:00,11.0,753.5,763.5,1.4,89,Wind blowing from the south,2,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,13.7,,,2500 or more  or no clouds.,,,12.0,9.3,No precipitation,12,,,,
31.03.2020 17:00,13.2,752.1,762.0,-1.4,78,Wind blowing from the south-southeast,2,,4,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,13.7,,,2500 or more  or no clouds.,,,15.0,9.5,No precipitation,12,,,,
31.03.2020 14:00,11.8,753.5,763.5,-1.1,81,Wind blowing from the north,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,11.9,,,2500 or more  or no clouds.,,,11.0,8.6,No precipitation,12,,,,
31.03.2020 11:00,11.0,754.6,764.6,0.2,77,Wind blowing from the west-southwest,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,11.8,,,2500 or more  or no clouds.,,,14.0,7.1,No precipitation,12,,,,
31.03.2020 08:00,9.3,754.4,764.4,,95,Wind blowing from the south,0,,4,100%., ,,,,,,,2500 or more  or no clouds.,,,8.0,8.5,No precipitation,6,,,,
31.03.2020 05:00,8.8,754.1,764.1,-0.9,99,Wind blowing from the south-southeast,1,,5,,Mist. ,,,5.2,11.8,,,2500 or more  or no clouds.,,,4.1,8.7,No precipitation,12,,,,
31.03.2020 02:00,9.2,755.0,765.0,,94,Wind blowing from the south-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,11.8,,,2500 or more  or no clouds.,,,9.0,8.3,No precipitation,12,,,,
30.03.2020 20:00,9.8,754.9,764.9,1.4,88,Wind blowing from the south,3,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,11.8,,,2500 or more  or no clouds.,,,12.0,7.9,No precipitation,12,,,,
30.03.2020 17:00,11.6,753.5,763.5,-0.9,74,Wind blowing from the south-southeast,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,11.8,,,2500 or more  or no clouds.,,,30.0,7.1,No precipitation,12,,,,
30.03.2020 14:00,11.7,754.4,764.4,-2.0,72,Wind blowing from the north-northeast,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,11.8,,,2500 or more  or no clouds.,,,30.0,6.8,No precipitation,12,,,,
30.03.2020 11:00,10.3,756.4,766.5,0.4,73,Wind blowing from the north,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,10.3,,,2500 or more  or no clouds.,,,20.0,5.7,No precipitation,12,,,,
30.03.2020 08:00,6.2,756.0,766.1,1.3,99,Wind blowing from the west,2,,8,70 – 80%.,Fog or ice fog. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,7.3,,,2500 or more  or no clouds.,,,1.6,6.1,No precipitation,12,,,,
30.03.2020 05:00,5.7,754.7,764.8,-1.3,99,Wind blowing from the north-northwest,2,,8,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,4.8,7.3,,,2500 or more  or no clouds.,,,0.5,5.6,No precipitation,12,,,,
30.03.2020 02:00,6.4,756.0,766.1,,99,Wind blowing from the north-northwest,2,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,7.3,,,2500 or more  or no clouds.,,,3.1,6.3,No precipitation,12,,,,
29.03.2020 20:00,6.7,755.4,765.5,0.6,97,Wind blowing from the north-northwest,3,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,8.4,,,2500 or more  or no clouds.,,,19.0,6.3,2.0,12,,,,
29.03.2020 17:00,7.3,754.8,764.9,-0.7,88,Wind blowing from the north,4,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,10.5,,,2500 or more  or no clouds.,,,30.0,5.4,4.0,12,,,,
29.03.2020 14:00,6.4,755.5,765.7,-1.4,92,Wind blowing from the north-northwest,5,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,,,,2500 or more  or no clouds.,,,30.0,5.2,7.0,12,,,,
29.03.2020 11:00,5.8,756.9,767.0,,99,Wind blowing from the north-northwest,4,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,,,,2500 or more  or no clouds.,,,25.0,5.7,4.0,6,,,,
29.03.2020 08:00,5.0,756.4,766.5,1.5,99,Wind blowing from the north-northwest,5,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,11.9,,,300-600,,,3.9,4.9,12.0,12,,,,
29.03.2020 05:00,5.5,754.9,765.0,-1.8,99,Wind blowing from the north-northwest,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,4.1,11.9,,,2500 or more  or no clouds.,,,2.8,5.4,10.0,12,,,,
29.03.2020 02:00,6.5,756.7,766.8,,99,Wind blowing from the north,4,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,11.9,,,2500 or more  or no clouds.,,,3.5,6.4,7.0,12,,,,
28.03.2020 20:00,8.4,757.2,767.3,0.5,88,Wind blowing from the west-northwest,3,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,11.9,,,2500 or more  or no clouds.,,,17.0,6.5,0.3,12,,,,
28.03.2020 17:00,10.5,756.7,766.8,-2.1,74,Wind blowing from the north-west,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,11.9,,,2500 or more  or no clouds.,,,26.0,6.1,No precipitation,12,,,,
28.03.2020 14:00,11.7,758.8,769.0,-3.3,67,Wind blowing from the north-northwest,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,11.9,,,2500 or more  or no clouds.,,,30.0,5.8,0.2,12,,,,
28.03.2020 11:00,8.4,762.1,772.3,0.3,83,Wind blowing from the north-northwest,3,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,9.7,,,2500 or more  or no clouds.,,,30.0,5.7,0.6,12,,,,
28.03.2020 08:00,5.3,761.8,772.1,1.2,99,Wind blowing from the north,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,,,,2500 or more  or no clouds.,,,17.0,5.2,6.0,12,,,,
28.03.2020 05:00,4.1,760.6,770.8,-0.9,99,Wind blowing from the north,3,,14,,Rain (not freezing) not falling as shower(s). ,,,2.4,9.7,,,2500 or more  or no clouds.,,,8.0,4.0,16.0,12,,,,
28.03.2020 02:00,3.1,761.5,771.7,,99,Wind blowing from the north-northwest,5,,14,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,10.5,,,2500 or more  or no clouds.,,,16.0,3.0,20.0,12,,,,
27.03.2020 20:00,4.6,760.6,770.8,1.5,99,Wind blowing from the north-northwest,7,,14,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,18.8,,,300-600,,,7.0,4.5,14.0,12,,,,
27.03.2020 17:00,5.9,759.1,769.2,,99,Wind blowing from the north-northwest,7,,14,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,,,,300-600,,,10.0,5.8,4.0,6,,,,
27.03.2020 14:00,9.0,758.4,768.4,,66,Wind blowing from the north-northwest,6,,,100%., ,,,,,,,2500 or more  or no clouds.,,,30.0,3.0,,,,,,
27.03.2020 11:00,9.4,759.4,769.3,1.5,71,Wind blowing from the north,6,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,,,,2500 or more  or no clouds.,,,30.0,4.4,6.0,12,,,,
27.03.2020 08:00,8.8,757.9,767.8,,78,Wind blowing from the north-northwest,6,,15,100%., ,,,8.5,20.3,,,2500 or more  or no clouds.,,,30.0,5.2,No precipitation,6,,,,
27.03.2020 05:00,9.5,756.7,766.5,0.2,82,Wind blowing from the north,6,,15,,Cloud development not observed or not observable. ,,,9.5,20.3,,,2500 or more  or no clouds.,,,30.0,6.6,6.0,12,,,,
27.03.2020 02:00,10.6,756.5,766.3,,99,Wind blowing from the north-northwest,5,,15,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,20.7,,,2500 or more  or no clouds.,,,15.0,10.4,7.0,12,,,,
26.03.2020 20:00,18.8,751.1,760.7,3.1,86,Wind blowing from the north-northeast,6,,11,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,21.1,,,2500 or more  or no clouds.,,,20.0,16.4,21.0,12,,,,
26.03.2020 17:00,20.0,748.0,757.6,,97,Wind blowing from the north,5,,9,, ,,,18.8,,,,,,,30.0,19.5,21.0,6,,,,
26.03.2020 14:00,19.3,747.4,757.0,-0.3,99,Wind blowing from the north-northwest,4,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,18.8,,,,2500 or more  or no clouds.,,,1.6,19.1,21.0,12,,,,
26.03.2020 11:00,19.2,747.7,757.2,,99,Wind blowing from the north-west,3,,4,100%.,Fog or ice fog  sky visible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,,,,2500 or more  or no clouds.,,,0.6,19.0,0.2,6,,,,
26.03.2020 08:00,19.0,746.5,756.1,1.5,99,Wind blowing from the north-west,2,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,,,,2500 or more  or no clouds.,,,0.9,18.8,0.2,12,,,,
26.03.2020 05:00,19.4,745.0,754.4,,99,Wind blowing from the north-west,3,,8,,Mist. ,,,19.0,24.6,,,,,,2.4,19.2,0.1,6,,,,
26.03.2020 02:00,20.7,745.6,755.0,,99,Wind blowing from the east,2,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,24.6,,,2500 or more  or no clouds.,,,5.0,20.5,0.1,12,,,,
25.03.2020 20:00,20.6,745.1,754.6,0.6,97,Wind blowing from the south-east,2,,8,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,24.6,,,2500 or more  or no clouds.,,,7.0,20.1,1.0,12,,,,
25.03.2020 17:00,24.1,744.5,754.0,,79,Wind blowing from the south,4,,,70 – 80%., ,,,,,,,2500 or more  or no clouds.,,,17.0,20.2,,,,,,
25.03.2020 14:00,22.1,745.4,754.9,-1.1,91,Wind blowing from the south,3,,7,70 – 80%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,23.6,,,2500 or more  or no clouds.,,,6.0,20.6,1.0,12,,,,
