Local time in Wulate Zhongqi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,17.4,652.7,761.2,-1.3,10,Wind blowing from the south-southwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,18.4,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
06.04.2020 14:00,17.6,654.0,762.4,-1.3,8,Wind blowing from the south,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,18.1,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
06.04.2020 11:00,14.9,655.3,763.7,0.1,20,Wind blowing from the south-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,18.1,,,2500 or more  or no clouds.,,,21.0,-7.9,No precipitation,12,,,,
06.04.2020 08:00,6.8,655.2,764.3,0.5,26,Wind blowing from the east-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,18.1,,,2500 or more  or no clouds.,,,10.0,-11.4,No precipitation,12,,,,
06.04.2020 05:00,3.0,654.7,763.4,-0.3,29,Wind blowing from the east,0,,6,,Cloud development not observed or not observable. ,,,3.0,18.1,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
06.04.2020 02:00,4.2,655.0,763.7,-0.3,26,Wind blowing from the north-northeast,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,18.1,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
05.04.2020 23:00,7.6,655.3,763.6,0.5,23,Wind blowing from the east,1,,11,,Cloud development not observed or not observable. ,,,4.5,18.1,,,2500 or more  or no clouds.,,,12.0,-12.2,No precipitation,12,,,,
05.04.2020 20:00,12.5,654.8,763.4,1.3,14,Wind blowing from the south-west,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,18.1,,,2500 or more  or no clouds.,,,14.0,-14.3,No precipitation,12,,,,
05.04.2020 17:00,17.8,653.5,761.7,-1.5,7,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,18.1,,,2500 or more  or no clouds.,,,30.0,-18.5,No precipitation,12,,,,
05.04.2020 14:00,17.1,655.0,763.3,-1.7,8,Wind blowing from the south-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,18.0,,,2500 or more  or no clouds.,,,30.0,-17.4,No precipitation,12,,,,
05.04.2020 11:00,15.4,656.7,765.5,-0.2,9,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,17.1,,,2500 or more  or no clouds.,,,30.0,-17.3,No precipitation,12,,,,
05.04.2020 08:00,9.0,656.9,766.1,0.1,16,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,17.1,,,2500 or more  or no clouds.,,,15.0,-15.5,No precipitation,12,,,,
05.04.2020 05:00,4.8,656.8,765.7,-0.6,23,Wind blowing from the west-southwest,1,,6,,Cloud development not observed or not observable. ,,,-2.0,17.1,,,2500 or more  or no clouds.,,,22.0,-14.6,No precipitation,12,,,,
05.04.2020 02:00,6.0,657.4,766.3,-0.5,18,Wind blowing from the north,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,17.1,,,2500 or more  or no clouds.,,,30.0,-16.5,No precipitation,12,,,,
04.04.2020 23:00,6.4,657.9,767.2,0.1,17,Wind blowing from the east-northeast,1,,8,,Cloud development not observed or not observable. ,,,,17.1,,,2500 or more  or no clouds.,,,20.0,-16.9,No precipitation,12,,,,
04.04.2020 20:00,11.4,657.8,768.1,0.4,12,Wind blowing from the south-west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,17.1,,,2500 or more  or no clouds.,,,10.0,-17.0,No precipitation,12,,,,
04.04.2020 17:00,16.5,657.4,767.5,-1.5,6,Wind blowing from the south-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,17.1,,,2500 or more  or no clouds.,,,30.0,-21.2,No precipitation,12,,,,
04.04.2020 14:00,16.4,658.9,767.9,-1.7,7,Wind blowing from the south-southeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,16.5,,,2500 or more  or no clouds.,,,30.0,-19.5,No precipitation,12,,,,
04.04.2020 11:00,14.5,660.6,770.3,-0.1,8,Wind blowing from the west-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,15.4,,,2500 or more  or no clouds.,,,30.0,-19.4,No precipitation,12,,,,
04.04.2020 08:00,4.3,660.7,771.4,0.7,19,Wind blowing from the north-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,15.4,,,2500 or more  or no clouds.,,,18.0,-17.3,No precipitation,12,,,,
04.04.2020 05:00,-0.4,660.0,770.9,-0.1,28,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,,,-4.0,15.4,,,2500 or more  or no clouds.,,,30.0,-16.7,No precipitation,12,,,,
04.04.2020 02:00,6.1,660.1,769.8,0.3,15,Wind blowing from the north-east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,15.4,,,2500 or more  or no clouds.,,,30.0,-18.6,No precipitation,12,,,,
03.04.2020 23:00,6.3,659.8,769.9,0.6,14,Wind blowing from the north-east,2,,8,,Cloud development not observed or not observable. ,,,,15.4,,,2500 or more  or no clouds.,,,30.0,-19.3,No precipitation,12,,,,
03.04.2020 20:00,11.8,659.2,769.9,0.9,9,Wind blowing from the north-northwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,15.4,,,2500 or more  or no clouds.,,,26.0,-20.1,No precipitation,12,,,,
03.04.2020 17:00,14.9,658.3,769.4,-0.8,7,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,15.4,,,2500 or more  or no clouds.,,,30.0,-20.6,No precipitation,12,,,,
03.04.2020 14:00,14.2,659.1,769.1,-1.4,8,Wind blowing from the north-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,14.7,,,2500 or more  or no clouds.,,,30.0,-19.6,No precipitation,12,,,,
03.04.2020 11:00,12.1,660.5,770.9,0.1,11,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,12.2,,,2500 or more  or no clouds.,,,30.0,-17.5,No precipitation,12,,,,
03.04.2020 08:00,3.2,660.4,772.0,0.9,25,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,12.2,,,2500 or more  or no clouds.,,,10.0,-14.9,No precipitation,12,,,,
03.04.2020 05:00,-2.4,659.5,771.4,0.0,34,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,,,-8.1,12.2,,,2500 or more  or no clouds.,,,25.0,-16.1,No precipitation,12,,,,
03.04.2020 02:00,3.8,659.5,770.3,-0.3,21,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.2,,,2500 or more  or no clouds.,,,30.0,-16.5,No precipitation,12,,,,
02.04.2020 23:00,5.4,659.8,771.1,1.2,17,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,,,,12.2,,,2500 or more  or no clouds.,,,30.0,-17.7,No precipitation,12,,,,
02.04.2020 20:00,9.0,658.6,770.8,0.6,12,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.2,,,2500 or more  or no clouds.,,,30.0,-18.9,No precipitation,12,,,,
02.04.2020 17:00,11.6,658.0,770.9,-0.9,9,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,12.2,,,2500 or more  or no clouds.,,,30.0,-20.2,No precipitation,12,,,,
02.04.2020 14:00,10.6,658.9,771.4,-1.3,9,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,10.8,,,2500 or more  or no clouds.,,,30.0,-21.0,No precipitation,12,,,,
02.04.2020 11:00,7.0,660.2,772.6,0.3,7,Wind blowing from the north-northwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,7.8,,,2500 or more  or no clouds.,,,30.0,-26.6,No precipitation,12,,,,
02.04.2020 08:00,-1.9,659.9,773.6,1.0,16,Wind blowing from the north-east,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,7.8,,,2500 or more  or no clouds.,,,5.0,-24.4,No precipitation,12,,,,
02.04.2020 05:00,-7.6,658.9,772.9,0.2,23,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,,,-7.9,7.8,,,2500 or more  or no clouds.,,,30.0,-25.2,No precipitation,12,,,,
02.04.2020 02:00,-4.2,658.7,772.1,0.1,19,Wind blowing from the north,0,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,7.8,,,2500 or more  or no clouds.,,,24.0,-24.4,No precipitation,12,,,,
01.04.2020 23:00,0.6,658.6,771.5,1.2,9,Wind blowing from the north-east,3,,7,,Cloud development not observed or not observable. ,,,-6.3,7.8,,,2500 or more  or no clouds.,,,30.0,-28.7,No precipitation,12,,,,
01.04.2020 20:00,3.4,657.4,770.5,1.1,7,Wind blowing from the north-northeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,7.8,,,2500 or more  or no clouds.,,,30.0,-29.3,No precipitation,12,,,,
01.04.2020 17:00,6.9,656.3,769.0,-1.2,7,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,7.4,,,2500 or more  or no clouds.,,,30.0,-26.6,No precipitation,12,,,,
01.04.2020 14:00,6.2,657.5,770.2,-2.0,9,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,6.6,,,2500 or more  or no clouds.,,,30.0,-24.4,No precipitation,12,,,,
01.04.2020 11:00,3.3,659.5,772.9,0.0,12,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,6.6,,,2500 or more  or no clouds.,,,30.0,-23.4,No precipitation,12,,,,
01.04.2020 08:00,-0.9,659.5,773.0,0.5,16,Wind blowing from the north-east,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,6.6,,,2500 or more  or no clouds.,,,30.0,-23.6,No precipitation,12,,,,
01.04.2020 05:00,-3.2,659.0,772.3,-0.2,18,Wind blowing from the west-northwest,1,,11,,Cloud development not observed or not observable. ,,,-3.2,6.6,,,2500 or more  or no clouds.,,,30.0,-24.2,No precipitation,12,,,,
01.04.2020 02:00,-2.1,659.2,772.3,-0.9,16,Wind blowing from the north-east,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,6.6,,,2500 or more  or no clouds.,,,30.0,-24.6,No precipitation,12,,,,
31.03.2020 23:00,-0.6,660.1,773.4,1.6,16,Wind blowing from the north-east,4,,13,,Cloud development not observed or not observable. ,,,-2.1,7.2,,,2500 or more  or no clouds.,,,30.0,-23.3,No precipitation,12,,,,
31.03.2020 20:00,2.7,658.5,771.7,1.4,15,Wind blowing from the north-east,3,,13,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,9.5,,,2500 or more  or no clouds.,,,30.0,-21.4,No precipitation,12,,,,
31.03.2020 17:00,5.7,657.1,769.7,0.5,12,Wind blowing from the east-northeast,5,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,12.6,,,,,,30.0,-21.5,No precipitation,12,,,,
31.03.2020 14:00,5.8,656.6,768.1,-0.2,16,Wind blowing from the east-northeast,5,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,14.7,,,,,,30.0,-18.1,No precipitation,12,,,,
31.03.2020 11:00,4.5,656.8,767.8,1.1,21,Wind blowing from the north-east,6,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,14.7,,,,,,29.0,-15.9,No precipitation,12,,,,
31.03.2020 08:00,0.1,655.7,767.0,2.1,27,Wind blowing from the north-northeast,4,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,14.7,,,,,,28.0,-16.7,No precipitation,12,,,,
31.03.2020 05:00,-1.0,653.6,764.1,0.6,29,Wind blowing from the north-northeast,6,,12,,Cloud development not observed or not observable. ,,,-2.1,14.7,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
31.03.2020 02:00,3.3,653.0,762.1,0.5,22,Wind blowing from the north,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,14.7,,,2500 or more  or no clouds.,,,19.0,-16.4,No precipitation,12,,,,
30.03.2020 23:00,7.2,652.5,761.5,1.1,21,Wind blowing from the west-northwest,7,,15,,Cloud development not observed or not observable. ,,,-1.0,14.7,,,2500 or more  or no clouds.,,,8.0,-13.7,No precipitation,12,,,,
30.03.2020 20:00,9.4,651.4,761.4,1.0,21,Wind blowing from the west,3,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,14.7,,,2500 or more  or no clouds.,,,9.0,-11.8,No precipitation,12,,,,
30.03.2020 17:00,12.5,650.4,759.8,0.1,16,Wind blowing from the west-northwest,8,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,14.7,,,2500 or more  or no clouds.,,,23.0,-12.6,No precipitation,12,,,,
30.03.2020 14:00,14.3,650.3,759.1,-0.7,8,Wind blowing from the west,5,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,14.4,,,2500 or more  or no clouds.,,,22.0,-19.6,No precipitation,12,,,,
30.03.2020 11:00,10.3,651.0,760.9,0.4,19,Wind blowing from the south,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,12.3,,,2500 or more  or no clouds.,,,18.0,-12.3,No precipitation,12,,,,
30.03.2020 08:00,3.0,650.6,760.9,0.7,29,Wind blowing from the north-northeast,1,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,12.3,,,2500 or more  or no clouds.,,,7.0,-13.3,No precipitation,12,,,,
30.03.2020 05:00,1.3,649.9,759.4,-0.3,31,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,,,-1.0,12.3,,,2500 or more  or no clouds.,,,29.0,-14.0,No precipitation,12,,,,
30.03.2020 02:00,2.5,650.2,759.7,-0.3,28,Wind blowing from the east-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,12.3,,,2500 or more  or no clouds.,,,25.0,-14.2,No precipitation,12,,,,
29.03.2020 23:00,2.0,650.5,761.0,0.6,35,Wind blowing from the north,0,,9,,Haze. ,,,-0.1,12.3,,,2500 or more  or no clouds.,,,6.0,-11.9,No precipitation,12,,,,
29.03.2020 20:00,6.8,649.9,760.4,0.6,21,Wind blowing from the south-southwest,2,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,12.3,,,,,,13.0,-14.0,No precipitation,12,,,,
29.03.2020 17:00,11.5,649.3,759.0,-1.2,16,Wind blowing from the south-west,5,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,12.3,,,,,,24.0,-13.5,No precipitation,12,,,,
29.03.2020 14:00,11.5,650.5,760.0,-1.8,15,Wind blowing from the south-west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,11.9,,,,,,28.0,-14.2,No precipitation,12,,,,
29.03.2020 11:00,7.2,652.3,763.0,0.3,54,Wind blowing from the south,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,9.3,,,,,,7.0,-1.7,No precipitation,12,,,,
29.03.2020 08:00,1.5,652.0,763.3,0.6,81,Wind blowing from the south,1,,6,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,9.3,,,,,,4.1,-1.4,No precipitation,12,,,,
29.03.2020 05:00,0.2,651.4,762.0,-0.9,72,Wind blowing from the east-southeast,1,,7,,Cloud development not observed or not observable. ,,,-9.2,9.3,,,2500 or more  or no clouds.,,,9.0,-4.4,No precipitation,12,,,,
29.03.2020 02:00,2.1,652.3,762.9,-0.3,70,Wind blowing from the east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,9.3,,,2500 or more  or no clouds.,,,7.0,-2.8,No precipitation,12,,,,
28.03.2020 23:00,1.7,652.6,764.0,1.0,77,Wind blowing from the west-southwest,1,,9,,Cloud development not observed or not observable. ,,,-9.2,9.3,,,2500 or more  or no clouds.,,,8.0,-1.9,No precipitation,12,,,,
28.03.2020 20:00,4.8,651.6,763.7,0.5,60,Wind blowing from the south-southwest,3,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,9.3,,,1000-1500,,,12.0,-2.3,No precipitation,12,,,,
28.03.2020 17:00,8.8,651.1,763.6,-1.8,28,Wind blowing from the south-west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,9.3,,,2500 or more  or no clouds.,,,21.0,-8.7,No precipitation,12,,,,
28.03.2020 14:00,8.2,652.9,764.7,-2.4,18,Wind blowing from the south,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,8.5,,,,,,30.0,-14.7,No precipitation,12,,,,
28.03.2020 11:00,4.4,655.3,768.1,-0.8,13,Wind blowing from the south,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,4.7,,,,,,30.0,-21.6,No precipitation,12,,,,
28.03.2020 08:00,-2.6,656.1,769.7,-0.3,19,Wind blowing from the east-northeast,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,4.7,,,,,,9.0,-23.1,No precipitation,12,,,,
28.03.2020 05:00,-8.6,656.4,770.8,-1.1,39,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,,,-10.0,4.7,,,2500 or more  or no clouds.,,,8.0,-20.1,No precipitation,12,,,,
28.03.2020 02:00,-3.6,657.5,771.1,-1.1,19,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.0,4.7,,,2500 or more  or no clouds.,,,30.0,-23.9,No precipitation,12,,,,
27.03.2020 23:00,-2.1,658.6,772.7,0.0,16,Wind blowing from the north-east,2,,8,,Cloud development not observed or not observable. ,,,-10.0,4.7,,,2500 or more  or no clouds.,,,30.0,-24.6,No precipitation,12,,,,
27.03.2020 20:00,1.5,658.6,773.2,-0.3,10,Wind blowing from the north-northeast,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.0,4.7,,,,,,27.0,-26.9,No precipitation,12,,,,
27.03.2020 17:00,4.4,658.9,773.8,-1.3,7,Wind blowing from the west-northwest,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.0,4.7,,,,,,30.0,-28.5,No precipitation,12,,,,
